"","Table 3#11#3# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"11","3","  Gross output of general government","W085RA3",66.996,66.965,63.673,63.116,62.457,62.357,59.668,59.975,60.216,60.926,58.799,58.853,58.914,58.622,57.481,57.441,56.642,57.309,56.161,56.018,56.368,57.287,57.618,56.39,56.971,57.602,57.712,57.091,57.725,58.745,57.05,58.022,58.904,59.589,59.865,60.161,61.632,62.537,62.639,63.602,64.697,65.385,66.719,67.717,67.86,69.32,69.071,69.92,70.258,70.977,71.137,71.721,72.575,73.789,76.382,76.71,76.658,79.592,80.948,78.367,80.132,81.582,82.369,82.795,83.268,83.22,82.976,84.994,82.046,84.887,84.754,84.763,85.422,84.839,83.168,85.198,87.31,87.088,85.472,82.809,81.941,81.841,83.215,82.104,79.896,79.264,79.965,79.025,76.304,76.505,78.051,75.183,73.672,73.845,73.264,71.185,70.539,72.516,71.943,72.057,69.494,71.872,70.204,70.637,66.838,68.943,69.494,69.084,67.917,68.329,70.283,72.135,67.306,70.533,68.855,68.709,70.411,70.75,71.358,71.779,73.462,74.324,75.509,76.892,76.622,82.44,80.752,83.252,83.705,84.3,86.478,84.354,85.351,85.627,87.544,84.863,86.637,86.531,86.456,88.211,86.197,87.364,89.769,89.941,91.481,91.98,96.151,97.467,95.947,99.803,102.096,102.154,101.873,103.132,105.263,103.865,101.208,102.95,104.064,100.697,99.935,99.131,102.749,95.867,93.556,92.799,92.405
"12","4","    Value added","W086RA3",89.355,87.688,87.555,87.564,85.709,84.428,83.482,83.275,83.175,82.919,82.549,82.738,82.329,81.764,81.51,81.221,80.977,80.617,80.286,80.191,79.989,79.975,80.127,80.142,80.332,80.483,80.673,80.478,80.284,80.169,80.308,80.373,80.406,80.76,81.326,81.703,82.475,83.038,83.806,84.33,84.849,85.633,86.143,86.722,87.607,88.074,88.722,89.23,90.132,91.036,91.915,92.786,93.864,94.955,96.179,96.83,97.665,98.346,99.297,100.192,100.894,102.039,103.326,103.873,103.94,104.11,104.477,104.796,105.141,105.853,106.55,106.77,106.697,106.76,106.929,107.445,109.067,108.159,106.878,105.429,104.744,104.289,103.591,102.834,102.341,101.348,100.619,99.291,98.476,97.702,96.882,95.599,94.701,93.869,93.007,91.538,90.961,90.693,90.138,89.061,88.475,87.793,87.447,86.595,86.05,85.386,85.148,84.342,83.798,83.4,83.381,83.144,82.519,82.65,82.517,82.298,82.464,82.486,82.538,82.472,83.142,83.602,83.886,83.757,85.047,85.892,86.233,86.473,87.323,87.38,88.188,88.776,89.115,89.148,89.457,89.835,89.258,89.381,90.284,90.675,90.433,90.543,91.529,92.008,92.823,93.785,95.554,96.963,97.912,99.513,100.904,101.67,102.394,102.982,103.486,103.963,104.241,104.534,104.787,105.119,104.291,103.888,103.678,103.219,102.69,102.37,100.69
"13","5","      Compensation of general government employees","B237RA3",124.377,121.447,121.622,122.04,118.643,116.342,114.752,114.628,114.702,114.495,113.931,114.524,113.896,112.876,112.5,111.982,111.488,110.752,110.153,109.902,109.506,109.443,109.696,109.69,110.132,110.363,110.729,110.267,109.756,109.351,109.452,109.41,109.236,109.699,110.582,111.031,112.282,113.018,114.144,114.69,115.165,116.134,116.45,116.812,117.766,117.78,118.121,118.05,118.757,119.406,119.885,120.243,120.957,121.626,122.52,122.211,122.291,122.014,122.33,122.498,122.316,123.091,124.228,123.956,122.765,121.912,121.605,121.287,121.144,121.777,122.446,122.184,121.356,120.913,120.772,121.394,124.284,122.261,119.548,116.616,115.281,114.481,113.252,111.968,111.258,109.586,108.478,106.282,105.118,104.083,102.952,100.933,99.709,98.586,97.37,94.931,94.248,94.185,93.578,91.98,91.2,90.285,90.018,88.784,88.191,87.317,87.251,86.048,85.292,84.875,85.133,85.01,84.161,84.655,84.61,84.353,84.763,84.925,85.116,85.121,86.45,87.292,87.695,87.285,89.255,90.387,90.622,90.605,91.622,91.248,92.104,92.562,92.582,92.086,92.061,92.119,90.624,90.265,91.187,91.263,90.29,89.883,90.888,91.061,91.751,92.675,94.87,96.446,97.26,99.3,101.196,102.243,102.72,103.081,103.398,103.774,103.927,104.136,104.339,104.711,103.235,102.478,102.041,101.227,100.332,99.785,97.04
"14","6","        Military","B4080A3",123.861,119.16,119.334,120.137,117.428,114.133,112.207,111.513,110.893,110.162,108.779,109.37,108.791,107.789,106.902,106.224,105.58,105.036,104.394,104.16,104.057,103.951,104.017,103.618,103.323,102.728,103.036,102.512,101.773,100.987,101.066,101.277,101.31,101.705,102.878,103.418,104.619,105.059,106.208,106.678,107.079,107.327,107.78,107.882,109.139,109.251,109.573,109.469,110.264,110.603,110.954,111.027,111.93,112.29,112.811,112.221,112.574,112.89,113.672,114.053,114.418,114.095,114.947,115.324,114.609,113.474,113.539,113.826,113.19,112.91,113.362,113.742,113.108,112.597,112.838,115.863,120.935,117.208,112.472,109.198,107.331,105.458,104.381,103.501,101.628,100.302,99.361,97.794,96.857,95.784,94.589,92.745,91.779,90.816,89.415,88.361,87.771,86.918,86.673,85.891,85.143,84.368,84.57,83.898,83.343,82.542,82.683,81.841,81.077,80.735,81.471,81.279,81.155,81.188,82.31,82.705,83.326,83.565,83.238,83.844,86.143,86.622,86.844,86.598,89.683,92.228,91.914,91.321,92.828,91.931,91.85,92.714,92.73,91.629,91.23,91.523,89.573,89.056,90.138,89.785,88.752,88.214,89.504,89.279,90.514,91.187,93.779,96.004,97.32,99.714,101.523,101.444,101.934,101.937,101.469,101.092,101.113,101.303,101.266,101.153,99.67,98.815,98.29,97.411,96.488,96.362,96.125
"15","7","        Civilian","W090RA3",123.933,124.614,124.788,124.429,119.693,119.407,118.507,119.532,121.017,121.893,123.028,123.613,122.89,121.845,122.491,122.297,122.102,120.992,120.484,120.203,119.245,119.266,119.877,120.627,122.483,124.3,124.776,124.44,124.377,124.716,124.863,124.326,123.743,124.335,124.639,124.89,126.217,127.549,128.597,129.284,129.904,132.462,132.461,133.394,133.639,133.433,133.81,133.815,134.302,135.63,136.378,137.363,137.629,138.971,140.689,141.057,140.51,138.87,138.099,137.763,136.297,139.621,141.378,139.588,137.326,137.158,136.013,134.339,135.323,138.001,139.126,137.421,136.161,135.869,134.897,130.374,128.674,130.229,131.793,129.664,129.522,131.105,129.569,127.441,129.189,126.82,125.385,121.953,120.359,119.417,118.421,116.073,114.348,112.921,112.075,106.998,106.155,107.57,106.291,103.177,102.336,101.163,100.028,97.761,97.098,96.088,95.641,93.773,93.031,92.472,91.853,91.854,89.675,91.009,88.842,87.418,87.446,87.457,88.585,87.473,87.046,88.531,89.275,88.582,88.42,86.832,88.156,89.272,89.329,89.956,92.613,92.284,92.311,93.024,93.742,93.33,92.753,92.719,93.314,94.269,93.417,93.284,93.701,94.689,94.257,95.697,97.076,97.323,97.137,98.482,100.565,103.816,104.272,105.344,107.196,109.034,109.442,109.688,110.354,111.662,110.202,109.641,109.379,108.697,107.858,106.466,98.709
"16","8","      Consumption of general government fixed capital \2\","B432RA3",54.68,54.21,53.803,53.438,53.046,52.732,52.398,52.12,51.867,51.577,51.392,51.225,51.027,50.882,50.745,50.668,50.65,50.629,50.542,50.582,50.555,50.582,50.64,50.673,50.642,50.718,50.752,50.788,50.869,50.999,51.158,51.306,51.509,51.75,52.021,52.316,52.639,53.025,53.448,53.923,54.45,55.033,55.674,56.404,57.182,58.008,58.877,59.844,60.863,61.94,63.12,64.39,65.739,67.159,68.619,70.107,71.6,73.134,74.64,76.182,77.685,79.144,80.531,81.831,83.092,84.243,85.255,86.179,86.989,87.763,88.472,89.155,89.82,90.381,90.85,91.246,91.569,91.789,91.964,92.04,92.045,91.965,91.841,91.646,91.382,91.095,90.763,90.338,89.89,89.396,88.904,88.38,87.828,87.305,86.815,86.347,85.89,85.42,84.929,84.401,84.026,83.598,83.176,82.734,82.25,81.821,81.406,81.033,80.73,80.36,80.042,79.686,79.315,79.046,78.818,78.644,78.534,78.397,78.29,78.141,78.004,77.985,78.121,78.357,78.727,79.173,79.662,80.256,80.865,81.54,82.272,83.037,83.838,84.662,85.47,86.325,87.146,88.017,88.892,89.762,90.659,91.587,92.542,93.504,94.515,95.539,96.633,97.784,98.948,99.85,100.442,100.76,101.873,102.824,103.626,104.265,104.748,105.176,105.51,105.778,105.989,106.154,106.309,106.419,106.479,106.528,106.576
"17","9","    Intermediate goods and services purchased \3\","W087RA3",40.199,42.569,34.38,32.935,33.97,35.559,30.219,31.243,31.952,33.984,29.516,29.398,30.049,30.1,27.857,28.127,26.633,28.565,26.425,26.228,27.245,29.27,29.81,27.123,28.16,29.349,29.354,28.243,29.811,32.095,28.411,30.333,32.088,33.078,33.039,33.223,35.317,36.498,35.898,37.244,38.878,39.414,41.54,42.926,42.259,44.703,43.504,44.674,44.376,44.851,44.209,44.437,44.987,46.274,50.283,50.227,49.17,54.594,56.374,49.836,52.778,54.523,54.706,54.973,55.895,55.593,54.633,58.583,51.822,57.124,55.997,55.751,57.25,55.923,52.166,55.875,58.493,59.113,57.154,53.122,52.032,52.355,56.22,54.703,50.48,50.301,52.71,52.266,47.298,48.688,53.078,48.353,46.123,47.528,47.304,44.526,43.808,48.501,47.917,49.472,44.55,50.654,47.376,49.385,41.606,47.145,48.67,48.762,46.818,48.263,52.711,57.179,47.066,54.197,50.576,50.529,54.16,54.901,56.209,57.249,60.245,61.627,63.984,67.36,64.965,77.617,73.129,78.731,78.638,79.98,84.046,78.206,80.093,80.695,84.848,77.916,82.981,82.546,81.099,84.748,80.231,82.906,87.332,87.072,89.629,89.486,96.955,98.143,93.14,100.223,103.791,102.845,101.129,103.341,107.787,103.734,96.952,100.717,103.021,94.535,93.86,92.499,101.415,85.645,80.869,79.504,80.9
"18","10","      Durable goods","B998RA3",38.944,39.498,35.09,33.669,35.948,35.769,30.484,32.153,29.051,32.325,25.221,29.807,30.309,30.786,30.54,31.091,26.667,30.112,25.842,28.507,32.474,39.007,33.483,34.102,37.148,40.058,38.383,37.686,38.77,43.884,39.882,44.373,44.058,44.574,46.117,41.353,48.676,53.219,49.28,55.044,51.37,55.64,57.553,62.452,65.778,68.895,68.034,68.854,70.713,71.333,64.344,69.714,69.363,72.807,79.941,76.805,71.739,82.97,85.998,80.124,80.388,83.224,89.973,87.525,87.63,86.211,85.974,91.741,84.32,87.991,85.797,79.865,83.044,81.144,79.827,81.811,79.427,80.628,77.335,73.571,70.925,68.209,70.207,70.433,63.729,73.943,58.872,57.825,54.371,53.447,57.946,52.376,51.578,46.527,55.923,44.717,46.13,52.367,51.903,46.813,48.374,52.067,48.145,49.407,47.367,48.461,52.633,51.173,47.673,54.189,57.953,52.281,53.162,52.859,53.112,50.864,49.63,53.818,57.168,50.857,51.699,54.625,58.413,55.439,53.618,61.559,63.152,63.541,64.056,66.5,70.202,66.796,64.776,66.617,69.086,69.138,70.976,71.391,73.723,77.434,74.509,78.164,83.632,86.061,87.757,92.696,97.562,98.818,90.786,99.552,106.438,103.224,95.104,100.077,104.934,109.837,90.903,96.092,98.808,102.44,92.777,93.66,97.599,95.349,86.111,88.983,88.022
"19","11","        Aircraft","B999RA3",68.318,67.539,56.992,51.261,56.303,50.972,48.777,47.876,40.62,46.135,30.621,41.075,39.993,31.177,40.354,34.502,27.999,34.461,26.481,33.318,41.508,52.833,46.853,45.525,44.968,48.909,45.278,51.613,50.406,66.156,55.084,65.836,65.011,62.575,66.055,64.295,80.879,82.669,73.469,95.354,87.504,93.005,99.998,108.321,114.988,118.751,118.49,120.91,116.28,114.091,104.801,112.125,114.726,115.373,126.619,123.846,114.883,141.915,141.291,133.41,133.234,123.377,153.776,158.733,150.995,144.935,142.26,151.061,143.623,143.225,137.418,131.454,124.993,120.953,113.705,128.515,113.575,109.825,106.646,106.674,99.209,96.399,90.737,94.565,82.19,100.911,70.609,76.415,67.823,66.19,73.973,72.233,75.675,53.113,78.479,59.838,64.604,66.341,68.733,65.228,69.063,77.271,64.375,72.347,69.234,73.082,75.807,82.36,72.164,82.42,87.26,75.479,78.918,71.879,76.351,68.229,65.701,71.743,83.847,70.093,68.615,73.606,76.047,74.076,70.833,85.099,85.125,88.69,83.166,84.396,89.993,86.026,75.88,75.553,74.554,77.402,74.176,71.385,73.686,86.002,70.101,75.667,82.321,88.582,79.551,85.363,91.969,95.001,91.485,97.348,102.019,109.147,94.101,104.666,111.085,129.628,106.172,118.846,127.383,134.084,124.462,125.182,133.65,139.632,116.563,120.201,125.707
"20","12","        Missiles","B277RA3",73.032,70.528,86.741,73.078,81.144,81.193,71.021,84.177,76.6,70.981,68.474,76.599,74.114,87.898,77.852,96.194,68.469,94.596,87.469,74.15,73.466,86.075,76.942,64.775,85.282,102.16,83.143,80.593,78.872,80.081,74.564,75.065,77.886,80.786,83.334,69.386,81.154,88.286,90.125,87.822,84.568,104.015,91.595,97.059,95.06,107.658,99.098,109.755,100.968,100.329,83.213,116.024,87.043,87.954,108.555,119.679,104.808,124.255,128.788,113.259,118.001,137.885,120.763,114.768,125.973,137.431,122.319,166.847,127.845,146.436,142.198,125.42,154.93,128.817,150.351,130.919,129.885,148.352,145.449,129.814,118.663,117.761,128.464,112.659,113.055,94.783,109.78,91.728,89.726,83.002,94.846,73.773,59.294,75.215,83.025,64.368,59.247,73.64,73.219,57.659,55.807,61.212,58.168,58.778,53.861,46.96,79.568,52.334,54.261,55.268,58.188,58.866,55.955,62.022,61.987,68.778,69.587,66.958,66.567,60.974,58.148,53.776,67.358,65.936,53.002,56.398,57.095,67.034,58.235,60.968,69.821,62.958,70.111,79.143,74.99,87.404,92.731,100.533,88.583,94.792,97.272,97.964,103.582,108.83,106.944,102.831,103.712,104.054,91.455,94.994,119.128,94.423,89.488,99.455,102.621,103.786,84.012,78.096,79.078,78.426,76.012,69.756,76.304,70.106,61.539,79.514,70.888
