"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"34","27","    Gross investment","A798RX1",83.3,82.2,84.1,90,93.3,94.1,95.4,99.6,100.8,104.5,109,117.9,117.8,114.2
"35","28","      Structures","A830RX1",16.8,12.6,11.8,14.2,14.3,12.7,9.7,10.5,11.9,11.4,12,16.1,16.3,13.5
"36","29","      Equipment","Y066RX1",9.4,8.8,8.4,10.5,11.1,12.1,13.9,16.1,15.4,17.3,17.7,19.1,18.4,19.3
"37","30","      Intellectual property products","Y067RX1",59.3,62.3,65.4,66.8,69.3,70.2,71.9,72.9,73.6,75.7,79.3,82.8,83.1,81.5
"38","31","        Software","Y068RX1",11.4,12.2,12.8,11.5,11.6,12,12.9,13.5,14.4,15.2,15,16,16.7,17.2
"39","32","        Research and development","Y069RX1",47.9,50,52.5,55.3,57.8,58.3,59.1,59.5,59.2,60.5,64.3,66.7,66.3,64.4
"40","33","State and local","A829RX1",1643.6,1689.1,1751.5,1802.4,1795.3,1792.8,1792.3,1808.8,1836.1,1842.4,1871.4,1820.8,1754.5,1742.8
"41","34","  Consumption expenditures","A991RX1",1327.6,1355.5,1401.3,1439.5,1430.3,1431.7,1440,1450.7,1474.1,1477.4,1508.4,1469.7,1426.8,1427.1
"42","35","  Gross investment","A799RX1",316.2,334,350.6,363.5,365.8,361.6,352.3,358.2,362.1,365.2,363,351,327.3,315.1
"43","36","    Structures","A842RX1",269.9,284.7,300.8,313.2,313.9,308,296.2,296.5,292.5,291.9,289.8,279.5,255.9,243.7
"44","37","    Equipment","Y070RX1",30.9,32.6,33.3,34,34.3,34.2,34.8,37.8,43.3,45.5,44.5,42.2,41.5,41.3
"45","38","    Intellectual property products","Y071RX1",17.9,19.2,20,20.5,21.4,22.4,23.3,25,26.4,27.8,28.7,29.3,30,30.3
"46","39","      Software","Y072RX1",8.6,9.2,9.4,9.2,9.7,10.4,10.9,11.3,11.7,12.2,12.2,12.3,12.8,13.5
"47","40","      Research and development","Y073RX1",9.3,9.9,10.5,11.3,11.7,12,12.4,13.7,14.7,15.6,16.5,17.1,17.2,16.8
"48","41","Residual","A979RX1",-14.8,-15.2,-16.2,-14.9,-11.2,-6.9,-3.5,-1.6,-0.8,-0.2,0.1,0,0.4,0.5
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and the 2009 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
