"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"15","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RA3",8.653,8.945,9.282,10.323,14.127,16.249,13.992,15.319,16.523,19.182,26.06,27.328,29.124,30.245,29.476,34.123,30.625,29.642,31.93,38.06,42.79,43.763,37.846,33.402,33.424,38.829,47.342,49.89,55.889,56.857,62.748,72.821,60.738,58.158,64.184,79.043,97.388,118.699,139.692,132.777,100,110.174,120.058,120.425
"16","9","Less: Income payments to the rest of the world, command basis \1\","C655RA3",5.394,5.82,5.511,6.347,8.497,10.102,9.722,9.521,9.736,13.265,17.995,20.116,24.244,25.036,24.304,31.064,30.764,32.575,35.523,41.993,47.736,46.313,39.86,34.453,34.421,43.829,53.696,56.336,66.22,69.024,74.481,85.278,66.203,63.795,67.31,82.024,105.748,139.34,154.943,137.387,100,101.974,105.09,107.898
"17","10","Equals: Command-basis gross national product \1,3\","CB22RA3",33.308,33.341,34.413,36.181,38.221,37.672,37.553,39.629,41.344,43.588,44.908,44.233,45.371,44.754,46.992,50.451,52.524,54.214,55.944,58.332,60.473,61.594,61.649,63.788,65.604,68.184,70.03,72.765,76.131,79.798,83.626,86.844,88.101,89.76,92.24,95.695,98.586,100.878,102.994,102.005,100,102.546,104.387,107.261
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Command-basis net domestic product \4\","C362RA3",36.399,36.222,37.35,39.334,41.482,40.49,40.248,42.572,44.403,46.906,48.011,46.828,48.019,46.878,49.405,53.391,55.659,57.416,59.088,61.552,63.757,64.622,64.408,66.765,68.654,71.53,73.269,76.065,79.637,83.418,87.133,90.066,90.702,92.219,94.56,97.983,100.816,103.127,104.536,102.458,100,102.507,104.091,107.306
"20","12","  Net domestic product","A362RA3",35.447,35.316,36.47,38.461,40.663,40.17,39.877,42.176,44.167,46.695,48.038,47.545,48.671,47.236,49.532,53.39,55.531,57.331,59.18,61.653,63.87,64.89,64.499,66.895,68.698,71.544,73.335,76.051,79.391,82.741,86.551,89.787,90.028,91.364,93.866,97.48,100.66,103.113,104.609,103.706,100,102.88,104.898,108.019
"21","13","  Command-basis net national product \4\","C027RA3",36.205,36.029,37.175,39.156,41.395,40.463,40.119,42.496,44.363,46.833,48.102,46.912,48.013,46.913,49.397,53.302,55.363,56.969,58.621,61.117,63.312,64.277,64.014,66.327,68.195,70.936,72.703,75.492,78.934,82.604,86.364,89.354,90.122,91.581,94.068,97.635,100.438,102.477,104.344,102.638,100,102.929,104.884,107.967
"22","14","  Net national product","A027RA3",35.331,35.198,36.369,38.36,40.649,40.221,39.82,42.167,44.192,46.688,48.196,47.701,48.731,47.338,49.591,53.374,55.313,56.958,58.769,61.274,63.474,64.582,64.13,66.484,68.271,70.986,72.797,75.506,78.719,81.962,85.811,89.104,89.479,90.759,93.405,97.163,100.306,102.486,104.435,103.893,100,103.173,105.552,108.537
"23",NA,"  Percent change from preceding period (seasonally adjusted at annual rates):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","    Real gross domestic product","A191RL1",3.1,0.2,3.3,5.2,5.6,-0.5,-0.2,5.4,4.6,5.6,3.2,-0.2,2.6,-1.9,4.6,7.3,4.2,3.5,3.5,4.2,3.7,1.9,-0.1,3.6,2.7,4,2.7,3.8,4.5,4.4,4.8,4.1,1,1.8,2.8,3.8,3.4,2.7,1.8,-0.3,-2.8,2.5,1.8,2.8
"25","16","    Command-basis gross domestic product","C191RL1",3.2,0.1,3.2,5.1,5.4,-1.6,-0.1,5.4,4.2,5.5,2.7,-1.5,2.7,-1.4,5.1,7.5,4.4,3.4,3.2,4.2,3.7,1.7,0.2,3.5,2.9,4.1,2.7,3.9,4.7,4.9,4.7,3.8,1.3,1.9,2.6,3.6,3,2.5,1.7,-1.3,-1.8,2.2,1.5,2.9
"26","17","    Real gross national product","A001RL1",3.1,0.2,3.3,5.3,5.9,-0.4,-0.4,5.5,4.7,5.5,3.5,-0.3,2.4,-1.8,4.6,7.1,3.9,3.3,3.4,4.3,3.7,2,-0.2,3.5,2.7,3.9,2.8,3.8,4.4,4.4,4.9,4.2,1.1,1.7,2.9,3.9,3.3,2.4,2.2,0,-3,2.8,2.1,2.7
"27","18","    Command-basis gross national product","CB22RL1",3.1,0.1,3.2,5.1,5.6,-1.4,-0.3,5.5,4.3,5.4,3,-1.5,2.6,-1.4,5,7.4,4.1,3.2,3.2,4.3,3.7,1.9,0.1,3.5,2.8,3.9,2.7,3.9,4.6,4.8,4.8,3.8,1.4,1.9,2.8,3.7,3,2.3,2.1,-1,-2,2.5,1.8,2.8
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Deflator is the gross domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","4. Deflator is the net domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
