"","Table 4#2#4U# Price Indexes for Exports and Imports of Goods and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"15","8","      Nondurable goods, excluding petroleum and products","IA0000053",72.332,76.099,73.473,72.805,78.204,85.176,92.9,96.829,104.431,114.753,100,112.843,127.862,122.218,120.947,120.097,110.677
"16","9","  Capital goods, except automotive","B640RG3",103.243,102.929,102.985,101.808,100.562,100.181,100.464,101.173,100.284,99.999,100,100.609,101.432,102.198,102.768,103.339,103.645
"17","10","    Civilian aircraft, engines, and parts","B688RG3",65.54,68.827,72.755,74.755,77.291,80.014,83.557,86.986,90.909,95.289,100,102.646,106.422,109.368,111.449,115.009,118.142
"18","11","    Computers, peripherals, and parts","B850RG3",172.871,164.388,159.194,149.346,145.83,143.721,132.615,126.645,117.093,107.284,100,97.41,92.272,92.881,90.574,89.547,85.212
"19","12","    Other","B689RG3",104.711,104.286,103.862,102.799,100.666,99.679,100.618,101.506,100.484,100.235,100,100.559,101.599,101.908,102.522,102.558,102.781
"20","13","  Automotive vehicles, engines, and parts","B641RG3",91.586,92.595,93.011,93.484,94.145,94.791,95.967,97.149,98.264,99.305,100,100.477,102.223,104.051,104.622,105.226,105.164
"21","14","  Consumer goods, except food and automotive","B642RG3",92.472,92.852,92.517,92.046,92.57,93.443,94.482,95.689,97.703,99.784,100,101.086,102.445,103.973,102.833,101.505,99.213
"22","15","    Durable goods","B690RG3",93.303,93.968,94.061,93.809,94.194,94.52,95.484,96.372,97.373,99.293,100,98.788,100.025,101.866,100.184,100.186,98.774
"23","16","    Nondurable goods","B691RG3",91.375,91.454,90.664,89.964,90.629,92.068,93.186,94.764,98.055,100.345,100,103.602,105.107,106.228,105.786,102.735,99.407
"24","17","  Other","B643RG3",81.395,83.258,83.007,82.873,85.144,88.883,92.818,96.636,100.891,106.919,100,105.322,114.186,114.73,114.415,113.707,105.658
"25","18","    Other durable goods n.e.c.","Y973RG3",81.389,83.252,83.002,82.865,85.135,88.875,92.815,96.631,100.884,106.91,100,105.306,114.183,114.725,114.41,113.7,105.769
"26","19","    Other nondurable goods","Y974RG3",81.4,83.263,83.012,82.88,85.152,88.891,92.822,96.642,100.898,106.928,100,105.338,114.189,114.735,114.42,113.713,105.664
"27","20","      Net exports of goods under merchanting","Y975RG3",81.571,83.336,82.848,83.117,85.486,89.199,92.951,96.864,101.17,107.327,100,105.6,114.546,114.998,114.644,114.261,106.032
"28","21","      Other other nondurable goods n.e.c.","Y976RG3",81.392,83.256,83.006,82.868,85.138,88.878,92.819,96.634,100.888,106.913,100,105.332,114.181,114.73,114.415,113.704,105.774
"29","22","Exports of services \1\","B646RG3",82.772,84.544,84.047,83.702,85.185,87.787,93.179,96.219,98.823,102.813,100,102.641,106.477,108.64,110.514,112.608,111.943
"30","23","  Transport","Y800RG3",71.507,75.911,75.685,76.101,80.831,87.711,92.952,95.228,100.101,109.075,100,108.787,117.911,121.49,121.079,122.719,115.326
"31","24","    Sea Transport","Y977RG3",73.489,82.669,81.377,80.124,84.794,90.36,92.725,95.534,98.505,104.151,100,105.244,108.517,110.933,112.7,115.126,115.192
"32","25","      Freight","Y978RG3",90.486,92.984,94.245,96.582,102.215,103.11,105.93,106.689,105.269,117.693,100,112.053,115.972,114.371,114.046,120.128,119.715
"33","26","      Port","Y979RG3",67.179,79.78,77.258,74.519,78.861,86.503,88.722,92.136,96.37,99.861,100,103.042,106.109,109.754,112.154,113.493,113.702
"34","27","    Air Transport","Y980RG3",69.504,72.492,72.541,73.461,78.604,86.504,92.808,94.748,100.57,110.946,100,110.345,121.628,125.548,124.29,125.624,115.568
"35","28","      Passenger","Y981RG3",66.513,68.316,68.881,70.932,79.32,87.471,94.312,94.742,103.431,114.206,100,116.022,128.747,133.6,130.998,130.283,113.827
"36","29","      Freight","Y982RG3",83.305,81.783,80.772,80.102,78.144,81.57,89.461,94.283,97.713,112.981,100,102.324,117.046,120.546,120.841,127.949,129.082
"37","30","      Port","Y983RG3",63.686,74.787,73.878,72.56,76.169,88.891,91.413,93.76,94.623,97.315,100,102.911,104.46,105.765,107.148,108.556,109.733
"38","31","    Other modes of transport","Y984RG3",82.411,84.595,85.381,86.833,87.616,89.294,93.706,97.408,99.653,106.316,100,103.718,109.287,113.144,115.1,117.842,116.833
"39","32","  Travel","Y801RG3",69.094,72.296,73.08,73.208,75.277,78.413,90.096,94.33,97.95,102.632,100,103.109,108.364,111.311,112.728,114.984,114.149
"40","33","    Business","Y985RG3",71.752,75.131,75.537,74.907,76.436,79.126,92.317,96.459,99.79,104.293,100,103.039,108.258,111.01,111.746,113.531,111.528
"41","34","      Expenditure of seasonal, border, and other short-term workers","Y986RG3",71.807,75.21,75.493,74.982,76.482,79.192,92.436,96.546,99.837,104.341,100,103.125,108.391,111.125,111.852,113.65,111.643
"42","35","      Other business travel","Y987RG3",71.742,75.118,75.546,74.888,76.425,79.109,92.287,96.437,99.779,104.281,100,103.02,108.23,110.986,111.724,113.506,111.511
"43","36","    Personal","Y988RG3",67.576,70.671,71.716,72.339,74.746,78.148,88.982,93.279,97.067,101.848,100,103.139,108.407,111.422,113.052,115.449,114.947
"44","37","      Education related","Y989RG3",57.773,59.974,62.613,65.916,70.141,75.361,80.094,84.654,89.474,95.004,100,103.039,108.289,112.123,116.853,121.172,125.338
"45","38","      Health-related","Y990RG3",52.743,55.886,59.568,64.742,69.527,73.597,77.511,82.433,87.859,94.025,100,107.007,112.964,118.378,123.535,129.258,134.175
"46","39","      Other personal travel","Y991RG3",71.72,75.099,75.51,74.876,76.405,79.089,92.268,96.426,99.791,104.288,100,103.012,108.259,110.976,111.698,113.482,111.486
"47","40","  Charges for the use of intellectual property n.e.c.","B684RG3",78.531,80.517,82.175,83.429,85.339,87.941,91.185,94.273,97.077,100.201,100,101.552,104.097,105.896,107.268,108.794,109.134
"48","41","  Other business services","Y802RG3",107.423,104.043,99.69,96.898,95.155,94.874,96.012,98.067,98.884,101.395,100,101.035,103.377,104.733,107.544,109.803,110.434
"49","42","    Maintenance and repair services","Y992RG3",70.146,70.971,71.239,70.921,72.264,78.246,85.242,92.017,95.394,104.75,100,107.269,116.543,116.942,117.475,118.653,113.264
"50","43","    Insurance services","Y993RG3",64.129,61.508,60.499,55.957,57.769,58.78,61.401,71.909,82.454,95.088,100,99.916,100.691,101.819,102.792,103.985,105.057
"51","44","    Financial services","Y994RG3",114.532,107.975,95.131,88.245,89.263,92.22,97.583,101.477,106.909,106.557,100,106.654,112.244,114.96,123.311,130.908,136.422
"52","45","    Telecommunications, computer, and information services","Y995RG3",478.408,396.112,346.281,314.515,242.914,191.782,151.598,128.043,96.554,94.906,100,83.03,76.221,74.471,73.838,70.995,68.298
"53","46","    Other other business services","Y996RG3",78.542,80.548,82.2,83.444,85.361,87.939,91.23,94.308,97.087,100.248,100,101.56,104.109,105.889,107.265,108.796,109.129
"54","47","  Government goods and services n.e.c.","Y803RG3",68.529,67.734,69.135,71.479,77.899,82.629,88.01,92.394,95.934,98.868,100,100.695,103.362,104.033,105.461,106.784,104.25
"55","48","  Other","B980RG3",97.298,103.178,101.97,102.166,105.171,109.955,115.6,121.327,124.541,125.43,100,106.717,107.941,114.896,121.088,127.162,133.325
"56","49","    Imports of goods and services","B021RG3",81.28,84.818,82.716,81.712,84.512,88.471,93.802,97.663,101.024,111.588,100,105.8,113.942,114.671,113.798,113.566,104.846
"57","50","Imports of goods \1\","B255RG3",81.687,85.988,83.548,82.085,84.553,88.7,94.581,98.665,102.188,113.852,100,106.737,116.178,116.918,115.598,115.025,104.79
"58","51","  Foods, feeds, and beverages","B647RG3",73.901,73.162,71.116,71.947,75.042,78.861,83.554,86.676,93.376,102.945,100,109.134,125.367,123.929,124.495,129.4,126.236
"59","52","  Industrial supplies and materials","IA0000043",47.761,61.492,57.05,55.314,62.662,74.012,90.117,102.371,111.591,145.088,100,122.34,151.102,151.243,147.125,143.691,102.803
"60","53","    Durable goods","B820RG3",72.692,76.737,74.161,71.463,73.276,86.14,90.955,99.589,107.158,118.205,100,114.081,126.058,120.203,117.588,117.009,106.378
"61","54","    Nondurable goods","IA0000073",39.413,55.954,51.022,49.6,58.512,69.235,88.963,102.406,112.137,152.93,100,124.589,158.298,160.415,155.807,151.285,97.942
"62","55","      Petroleum and products","B648RG3",27.688,46.725,39.373,40.264,48.491,61.524,83.573,102.487,114.93,163.453,100,131.463,175.096,179.358,172.099,163.311,88.723
"63","56","      Nondurable goods, excluding petroleum and products","B696RG3",68.454,78.46,79.771,72.463,82.93,87.432,101.14,101.161,104.423,126.874,100,107.542,118.446,115.987,116.768,120.264,107.753
"64","57","  Capital goods, except automotive","B650RG3",115.712,113.089,109.767,106.183,104.788,103.426,102.722,101.854,101.412,101.908,100,99.247,99.465,99.754,98.809,98.574,97.097
"65","58","    Civilian aircraft, engines, and parts","B932RG3",67.709,70.11,72.892,74.412,76.24,78.758,81.751,84.958,89.303,94.636,100,102.657,106.645,114.108,116.162,117.896,119.322
"66","59","    Computers, peripherals, and parts","B852RG3",202.888,191.016,173.243,159.556,148.996,139.29,128.324,118.847,112.295,105.945,100,98.082,93.232,91.637,91.076,90.451,88.139
"67","60","    Other","B853RG3",100.221,98.767,97.487,95.379,95.752,96.005,97.591,98.66,99.454,101.427,100,99.315,101.082,101.374,100.001,99.686,98.147
"68","61","  Automotive vehicles, engines, and parts","B651RG3",90.972,91.986,92.072,92.358,92.856,94.296,95.435,95.817,96.769,99.045,100,100.623,103.83,105.772,105.355,104.73,102.623
"69","62","  Consumer goods, except food and automotive","B652RG3",97.647,96.879,96.144,95.12,94.901,95.387,96.266,96.639,97.927,100.351,100,99.941,101.671,103.158,102.963,103.328,102.412
"70","63","    Durable goods","B697RG3",102.063,101.023,99.905,98.203,97.409,97.128,97.349,97.972,98.988,100.973,100,98.719,99.742,100.267,98.979,98.008,95.96
"71","64","    Nondurable goods","B698RG3",92.863,92.376,92.033,91.701,92.071,93.369,94.997,95.076,96.688,99.64,100,101.33,103.885,106.513,107.683,109.778,110.345
"72","65","  Other","B653RG3",82.209,83.504,83.165,82.32,84.02,86.615,89.676,91.693,93.424,102.39,100,102.787,106.748,107.626,107.782,108.674,107.114
"73","66","Imports of services \1\","B656RG3",80.428,80.012,79.636,80.973,85.548,88.576,91.089,93.826,96.417,101.809,100,101.816,104.105,104.789,105.929,107.247,105.459
"74","67","  Transport","Y804RG3",74.564,79.93,81.596,80.833,88.358,94.228,98.132,98.021,98.202,108.182,100,109.287,115.418,117.148,118.672,123.068,121.59
"75","68","    Sea Transport","Y997RG3",85.476,92.173,90.726,84.382,98.787,109.384,113.964,108.718,103.398,113.264,100,108.128,113.55,111.507,111.543,116.97,117.228
"76","69","      Freight","Y998RG3",86.898,92.89,91.542,84.891,100.063,110.853,115.57,109.826,103.922,114.21,100,108.464,114.03,111.645,111.545,117.236,117.5
"77","70","      Port","Y999RG3",67.28,79.576,77.131,74.607,78.857,86.461,88.684,92.152,96.384,99.882,100,103.092,106.167,109.871,112.208,113.533,113.74
"78","71","    Air Transport","Y810RG3",65.651,70.54,73.965,76.316,79.715,82.66,86.349,90.001,94.304,104.99,100,110.753,117.489,122.216,124.868,128.672,125.879
"79","72","      Passenger","Y811RG3",65.393,69.148,75.592,79.435,81.076,79.713,83.036,87.625,93.996,108.018,100,113.431,121.745,129.907,133.865,139.586,135.561
"80","73","      Freight","Y812RG3",72.456,72.184,69.765,72.254,81.044,85.931,92.621,94.458,96.249,108.712,100,116.921,128.59,125.874,125.293,125.37,119.965
"81","74","      Port","Y813RG3",63.836,74.876,73.724,72.561,76.192,88.885,91.384,93.767,94.646,97.35,100,102.896,104.448,105.75,107.131,108.546,109.719
"82","75","    Other modes of transport","Y814RG3",93.927,94.544,94.439,96.8,97.488,98.244,98.919,100.665,102.89,106.365,100,102.153,107.274,106.896,108.801,110.904,109.828
"83","76","  Travel","Y805RG3",69.597,68.095,67.627,70.136,76.067,80.55,85.303,89.666,97.066,103.418,100,102.155,104.964,105.983,106.023,105.599,101.628
"84","77","    Business","Y815RG3",70.45,68.995,68.312,70.721,76.668,81.063,85.867,90.103,97.577,104.225,100,101.875,104.514,105.359,105.347,104.871,100.816
"85","78","      Expenditure of seasonal, border, and other short-term workers","Y816RG3",70.44,68.957,68.268,70.739,76.597,81.067,85.87,90.085,97.575,104.084,100,101.841,104.504,105.357,105.336,104.851,100.807
"86","79","      Other business travel","Y817RG3",70.451,68.997,68.314,70.722,76.671,81.064,85.868,90.105,97.578,104.232,100,101.877,104.515,105.359,105.348,104.872,100.821
"87","80","    Personal","Y818RG3",69.266,67.737,67.377,69.934,75.863,80.385,85.12,89.534,96.908,103.159,100,102.244,105.106,106.175,106.227,105.815,101.857
"88","81","      Education related","Y819RG3",56.524,53.804,57.755,62.162,67.748,73.824,77.845,84.576,91.058,93.504,100,105.726,110.237,113.009,112.982,112.457,108.125
"89","82","      Health-related","Y820RG3",52.71,55.834,59.529,64.698,69.475,73.558,77.429,82.406,87.871,94.027,100,107.007,112.963,118.377,123.532,129.254,134.139
"90","83","      Other personal travel","Y821RG3",70.453,68.969,68.298,70.71,76.681,81.08,85.888,90.104,97.582,104.17,100,101.853,104.516,105.372,105.349,104.847,100.817
"91","84","  Charges for the use of intellectual property n.e.c.","B908RG3",78.554,80.558,82.19,83.425,85.36,87.975,91.222,94.29,97.063,100.243,100,101.542,104.108,105.894,107.266,108.79,109.126
"92","85","  Other business services","Y806RG3",107.521,102.05,98.49,99.77,98.286,95.604,93.235,96.257,95.51,98.357,100,99.63,99.697,100.105,101.433,102.328,102.315
"93","86","    Maintenance and repair services","Y822RG3",70.183,71.008,71.288,70.967,72.311,78.4,85.312,91.955,95.459,104.713,100,107.329,116.604,117.021,117.583,118.72,113.324
"94","87","    Insurance services","Y823RG3",69.423,65.265,66.23,75.057,79.218,77.61,75.204,85.575,90.428,95.134,100,103.201,102.173,101.601,102.572,103.768,104.842
"95","88","    Financial services","Y824RG3",114.512,107.995,95.287,88.298,89.277,92.233,97.584,101.532,106.807,106.633,100,106.653,112.244,114.994,123.388,130.945,136.441
"96","89","    Telecommunications, computer, and information services","Y825RG3",481.301,396.117,345.951,314.181,242.667,191.481,151.402,127.943,96.462,94.954,100,83.022,76.169,74.433,73.793,70.967,68.258
"97","90","    Other other business services","Y826RG3",78.554,80.551,82.213,83.461,85.369,87.957,91.258,94.294,97.097,100.239,100,101.561,104.129,105.901,107.285,108.802,109.138
"98","91","  Government goods and services n.e.c.","Y807RG3",58.111,54.347,55.102,57.907,69.113,77.169,82.869,86.595,96.833,103.868,100,98.23,103.468,100.685,102.928,104.774,93.091
"99","92","  Other","B910RG3",74.313,77.882,77.722,77.453,81.341,86.017,94.557,97.124,99.178,103.61,100,101.479,105.812,108.526,110.139,112.852,112.042
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","government, are included in services. Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
