"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"11","3","  Nonfarm \2\","A358RX1",2902.6,2905.6,2922,2900.2,2897.2,2902.8,2932.5,2885.3,2985.1,3004.6,3031.4,3038.1,3115.5,3203.5,3240.9,3300.9,3427.5,3466.5,3457.3,3452.2,3430.4,3430.6,3382.7,3357.5,3278.1,3301.6,3370.5,3429,3536.8,3571.5,3590.4,3618.6,3676.1,3764.9,3844.1,3829.8,3849.4,4041,4073.8,4147.5,4136.1,4140.7,4170.1,4173,4178.9,4058.2,4054.9,4149.2,4238.9,4183.6,4219.1,4149.5,4055.7,4080,4057.7,4056,4129.7,4272.2,4394.6,4497.9,4582.2,4671.5,4712.9,4750.5,4797.8,4841.6,4919,4965.2,5021.1,5046.8,5094.3,5119.2,5147.3,5212,5247.4,5350.5,5369.4,5464.8,5493.5,5585.4,5614.8,5657.8,5704.1,5710.3,5767.1,5784.8,5770.1,5691.7,5645.1,5693.9,5721.9,5741.2,5808.7,5874.8,5944.7,6030.2,6038.1,6083,6135.2,6228.7,6287.7,6388.6,6426.7,6525,6547.3,6561.1,6638.2,6694.9,6742.5,6873.9,6950,7040.1,7094.2,7217,7318.3,7383.2,7467.2,7545.7,7660,7826.5,7904.3,7965.7,8085.5,8250.5,8253,8443.3,8443.6,8493.4,8452.8,8516.1,8469.3,8491,8596.8,8623.7,8679,8685.1,8713.7,8806.1,9022.1,9100.1,9153.1,9233.2,9300.3,9373.8,9489.2,9528.4,9618.9,9675.7,9830.4,9860,9856,9951.9,9947.6,10062.9,10147.2,10170.8,10077.1,10087.5,9952.9,9619.4,9496.8,9436.3,9442.3,9563.4,9641.2,9707.1,9827.5,9921,9917.9,10000.8,10040.5,10169.9,10237.4,10290.7,10409.9,10427.9
"12","4","  Farm","B359RX1",27.3,27.4,27.8,27.7,27.8,28.1,28.5,28.9,29.4,29.8,30,30,27.7,30.4,29.8,31.3,27.9,30.1,26.5,33.5,28,29.3,28.8,29.1,33.1,34.6,35.1,34.5,33.1,32.5,32.4,32.9,32.2,33.9,34.4,37.4,32.4,33.1,35.9,31.8,35.5,35.4,36.9,37.4,36.8,36.2,33.4,34.5,40.2,43,52.9,50,49.5,49.3,47.6,48.8,42,32,25.4,28.2,38.4,43,45.4,46.4,50,50.6,57.8,53.3,52,48.1,52.1,50.7,50.4,50.1,52.6,51.9,52.7,47,44.7,38.1,52,51.7,52.6,52.8,55,54.6,56.3,58.3,56.7,56.8,56,58.3,65.3,68.1,67.8,63.8,57.8,60.1,52.1,61.4,71,72,72.7,66.4,57.8,56.5,53.7,57.6,64,67.1,64.6,65.5,69,71.8,75.4,73.8,69.5,68.1,70,69.9,70.2,74.5,72,74.3,82.5,83.3,85.5,82.8,79.2,73.3,71.1,87.3,65.9,78.9,88.4,91.5,93.7,99.1,90.8,82.5,100.9,91.3,95.3,104.1,99.4,103,104.4,101.3,93.8,107.3,99.5,96,93.7,89.8,85.1,92.9,102.5,99.4,95,110,108.4,114.4,127.3,120.1,115,118.6,111.1,102,95.4,87.9,90.3,94.2,95,92.5,84,80
"13","5","Households and institutions","A193RX1",494.2,499.9,503.8,506.7,506.5,506.7,510.8,517,523.7,528.2,534.3,540.5,549.1,552.7,556.5,560.7,565.4,571.1,577.5,584.4,591.1,595.5,599.9,604.5,611,616.7,620.8,623.2,623.4,626.4,629.9,633.1,632,633.6,639.9,644.4,657.1,661.9,668.2,678.3,687.4,691.1,697.4,705.4,720.3,731.7,733.6,738.2,746,750.4,755.9,764.2,771,776,783.1,785.3,790.4,795.8,802.1,815.8,820,819.1,829.3,838.7,836.3,839.4,840,849.1,856.1,860.2,866.7,870.5,879.2,884.4,905.3,914.2,925.1,929.6,940,954.2,963.2,973.1,978.4,984.5,995.3,1006.8,1014.5,1021.9,1029,1032.7,1041.8,1050.7,1053.7,1067.5,1078.9,1085.5,1101.3,1105.6,1108.8,1111.8,1118.5,1132,1149.9,1159.5,1168.5,1175,1175.4,1183.2,1187.2,1194.9,1203.7,1213.7,1224.5,1235.2,1245.4,1256.8,1267.1,1275.4,1286.3,1292.2,1303.7,1318.7,1330.9,1348.7,1360.1,1368.7,1379.3,1396.9,1396.5,1404.1,1416,1411.3,1415.1,1428.7,1416.6,1408.9,1418.2,1414.5,1399.7,1438.9,1439.4,1448.6,1464.9,1476.8,1491.7,1504.7,1509.7,1519.6,1533.8,1542.3,1546.1,1537,1559.8,1563.5,1574.9,1589.5,1603.9,1634.4,1636.9,1639.3,1584.2,1614.2,1639.9,1647.8,1648.3,1644.1,1624.7,1622.2,1636.8,1648.5,1652.1,1653.6,1652.4,1648.1,1643.5,1646.1
"14","6","  Households","B701RX1",281.1,284.9,287.6,290.1,290.1,290.6,292.9,297.1,300.6,303.2,307.5,312.2,315.5,318.1,319.9,322.7,325.1,328.3,332.4,336.5,341.3,343.7,346.1,348.9,350.7,353.6,355.6,356.8,357.4,360,362.3,363.9,360.9,361.8,367,370.2,381.1,383.8,388.4,396.1,401.5,401.4,405.1,412,423.1,433.2,431.6,434.6,439.4,442.5,445.4,448.8,450.5,451.2,453.7,452.8,454.8,456.8,460.1,470.5,471.7,468.9,478.6,486.2,485.5,487.2,486.2,490.8,492.1,491.6,495.3,495.7,499.1,498.9,512.1,517,521,521.2,526.3,534.4,537.2,542.5,543.9,544.5,548.4,554.6,557.7,562,566.1,568.2,574.9,579.1,578.2,587.8,594.3,595.7,603.4,602.5,602.4,605.8,614.1,626,640.5,646.9,649.9,651.9,649.2,654.4,657.2,662,668,674.3,680.2,685.6,689.8,694.8,696.6,700.5,707.4,710.6,722.8,734.7,745.5,758.4,765.9,770.2,775.5,784.7,786,790.5,800.8,794.9,793.6,801.1,786.5,778.3,787.2,784.8,770.8,805.6,805.8,812.9,828.6,839.4,852.8,863.4,865.3,876.1,890.6,900.8,905.7,894.8,901.6,905,917.9,932.4,938.1,961,958.7,961.3,947.8,938.8,941.7,943.5,954.2,958.2,942.1,937.6,946.9,951.3,948.4,946.2,941.5,936.5,930.4,931
"15","7","  Nonprofit institutions serving households \3\","B702RX1",213.1,214.8,215.8,215.9,215.6,215.3,217,218.8,222,224,225.5,226.5,232.4,233.3,235.3,236.5,239,241.5,243.7,246.4,248.1,250,252.2,253.9,258.9,261.8,264,265.2,264.7,265,266,267.7,270.1,270.8,271.6,272.6,273.7,276,277.5,279.7,283.3,287.4,290,290.6,294.1,295,298.8,300.4,303.3,304.5,307.1,312.2,317.6,322.2,327,330.4,333.6,337.2,340.2,343.1,346.2,348.6,348.5,350,348.1,349.6,351.4,355.9,361.9,367,369.8,373.4,378.9,384.7,392.2,396.3,403.4,408,413.4,419.4,425.9,430.6,434.7,440.6,447.8,453,457.8,460.9,463.9,465.5,467.7,472.5,476.6,480.6,485.6,490.9,499.2,504.6,508.2,507.6,505.6,506.6,509.7,512.8,519.1,523.6,527.1,529.5,530.7,533.5,536.1,539.8,544.7,550.1,556.3,562.9,571.9,576.3,580.3,582.9,581.5,584.3,585.4,590,593.8,598.2,603.4,611.9,610.1,613.2,614.5,615.9,621.4,627.5,630.5,631.3,631.5,630.1,629.5,633.5,633.8,635.8,636.4,637.4,638.9,641.3,644.4,643.5,643.3,641.8,640.7,642.4,658.2,658.5,657.2,657.5,666.1,673.9,678.6,678.4,638,675.2,697.6,703.6,693.9,686.2,682.4,684.3,689.6,696.7,702.8,706.3,709.7,710.2,711.5,713.4
"16","8","General government \4\","A765RX1",937,944.4,951.8,955.4,949.8,950.2,951.2,951.9,953.2,951.3,952,952.9,947.3,947.1,951.3,956.9,953.8,953,953.7,959.1,968.7,972.3,975.7,980.7,987.6,989.2,991.3,992.4,994.7,996,1000.1,1004,1004.9,1006.1,1011.2,1014.4,1020.8,1023.7,1031.6,1038.1,1039.3,1037,1036.9,1044.8,1050.5,1056.7,1056.8,1053.8,1054.8,1056.6,1063.2,1066.4,1068.7,1071.7,1071.2,1072.6,1076.2,1077.7,1079.5,1078,1081.1,1087.5,1095.8,1100.8,1108.7,1116.9,1129.7,1134.8,1140.1,1146,1152.3,1162.1,1166.2,1171.1,1175.8,1188.2,1198.2,1201.2,1207.4,1216.6,1222.8,1230,1239.5,1246.2,1258.2,1263.5,1270.4,1272.7,1281.8,1280.5,1277.8,1277.6,1282,1283.1,1285.7,1283.9,1287.4,1287,1287.3,1284.3,1286.3,1287.7,1288.6,1284.6,1289,1290.7,1290.7,1280.6,1280,1293.6,1293.1,1292.6,1295.3,1297.9,1302.2,1303.1,1308,1312.7,1317.3,1319.3,1322.1,1322.6,1327.2,1333.4,1341.3,1353.7,1350.3,1352.2,1361.5,1370.8,1378.8,1383.7,1392.3,1399.9,1405.8,1407.7,1415.3,1419.2,1419.2,1419.3,1422.8,1424.7,1427.3,1432.5,1434.9,1434.7,1437.5,1438.8,1437.6,1440.1,1448.7,1453.5,1454.7,1458,1464.5,1472.8,1479.6,1486.1,1498,1505.4,1511.6,1523.3,1525.1,1529.5,1531.3,1538.7,1531.5,1529.4,1528.4,1525.9,1522.4,1522.1,1521.2,1518.5,1520.5,1518.7
"17","9","  Federal","A766RX1",464.9,467.3,469.4,466.7,455.1,449.5,444.4,439.3,435.4,428.9,423.6,418.1,410.9,404.5,403.8,404.2,397.2,391.7,387,386.9,390.5,389.7,388.6,388.9,388.3,387.1,386.7,386.9,387.7,387.7,388,388.3,387.9,388.5,389.8,389.8,392.2,394,395.2,394.2,393.5,393.2,393.8,393.3,395.7,401.2,401.9,400,403.3,404.9,407.1,408.2,409.2,411.2,413.6,415.8,419,421.3,423.8,424.1,427.1,430.4,433.6,435.3,438.9,442.7,446.6,447.3,449.5,450.5,452.6,454.4,458.6,460.8,465.7,469.3,469.3,467.2,468.9,472,472.3,473.7,476.5,478.1,482.3,483.2,485,484.7,492.5,488.7,484.3,481.4,480.1,477.7,475.5,472.8,473.1,469.8,466.3,460.5,459,454.5,450.9,444.5,441.5,440,437.1,422,422.6,426.6,424.2,419.2,418.1,416.6,415.4,410.7,410.8,410.3,410.5,410.2,410.1,406.8,405.7,405.7,408.6,416.9,409.3,407.2,410.8,412.7,413.2,411.8,416.4,419.2,421.9,423.4,428.8,432.3,432.6,432.5,434.6,434.1,435.9,438.7,439.3,438.2,437.9,439.6,436.4,436.6,440.4,440.5,439.5,439,443.3,445.1,449.6,454.5,462.2,469.9,475.1,485.7,489.8,493.4,498.7,507.2,504.4,505,507.2,507.8,507.5,508.6,507.4,505.6,504.8,504.2
"18","10","  State and local","A767RX1",482.2,487.2,492.3,498.2,503.4,508.9,514.6,519.9,524.9,529.2,534.9,541.1,542.6,548.7,553.6,558.8,562.7,567.4,572.7,578.2,584.2,588.6,593.1,597.8,605.4,608.2,610.6,611.6,613.2,614.5,618.2,621.9,623.2,623.8,627.6,630.9,634.9,636,642.8,650.4,652.3,650.1,649.4,658,661.2,662.1,661.4,660.3,658,658.3,662.6,664.8,666.1,667,664.2,663.4,663.8,663.1,662.4,660.6,660.7,663.8,669,672.3,676.7,681,690.1,694.5,697.7,702.6,706.8,714.7,714.8,717.5,717.4,726.3,736.2,741,745.6,751.7,757.6,763.2,769.9,775,782.8,787.2,792.2,794.7,796.4,798.6,800,802.5,808,811.3,815.9,816.7,819.9,822.4,826,828.4,831.7,837.3,841.4,843.4,850.4,853.6,856.2,860.4,859.2,868.9,870.6,874.8,878.5,882.6,887.9,893.3,898.1,903.2,907.4,909.7,912.5,916.1,921.7,927.7,932.9,937.2,941,944.9,950.6,958,965.3,971.4,975.5,980.4,983.6,984.1,986.4,986.9,986.6,986.8,988.2,990.6,991.4,993.7,995.6,996.6,999.6,999.2,1001.2,1003.5,1008.3,1013.1,1015.1,1019,1021.3,1027.6,1030.1,1031.5,1035.8,1035.7,1036.7,1037.9,1035.7,1036.6,1033.2,1032.1,1027.7,1025.1,1021.9,1018.8,1015.6,1014.3,1014.6,1013.7,1016.4,1015.3
"19","11","Residual","A961RX1",-130.7,-134.4,-135.2,-139.2,-136.3,-134.5,-131.3,-136.3,-127.1,-124.6,-122.7,-123.5,-122.7,-109.4,-109.8,-103.9,-107.4,-97.1,-117.5,-84.9,-117.1,-113.9,-122.1,-125.9,-123.3,-119.1,-113.4,-110.7,-106.6,-106.6,-107.6,-106.2,-103.1,-92.1,-87.2,-84.6,-99,-84.2,-78.2,-88.4,-81.2,-81.8,-77,-79.8,-86.4,-103.5,-110.3,-100.6,-82.5,-84.1,-69.2,-83.5,-96.3,-96.9,-102.4,-101.2,-104,-110.2,-114.3,-104.2,-83.5,-72.2,-70.3,-69.1,-62.5,-61.2,-53.5,-57,-57.5,-61.6,-58,-60.8,-62.2,-60.7,-61.1,-59.6,-61.8,-62.8,-66.8,-73.6,-59.9,-61.2,-61.1,-63.4,-62.6,-64.7,-66.5,-70.3,-77.3,-74.7,-74.1,-72.8,-66.2,-63,-61.5,-60.3,-66.2,-63.2,-66.4,-56,-48.6,-45.2,-45.2,-43.5,-48.4,-49.7,-48.6,-42.4,-36.9,-33,-32.7,-29.4,-26.7,-22.5,-18.9,-18.4,-19.3,-18.5,-15.6,-11.2,-9.3,-7.2,-5.1,-1.8,-3.1,-0.3,0,0.1,-1.7,-2.1,-3.8,-2.3,-2.5,-2.7,-3.3,-3.1,-2.4,-1.8,-1.7,-2.4,1.5,-2,-1.2,0.1,-0.2,-0.2,0,0.2,0.7,-1.3,-0.2,-0.3,0.4,-0.6,-2.2,-0.3,3.3,2.7,3.7,8.8,8.2,12.7,12.3,12.5,11.4,10.2,8.3,6.2,4.9,1.4,1.8,1.5,0.8,-0.7,-4.5,-6.4
"20",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","12","  Gross housing value added","A2009X1",358,362.8,366.9,370.6,372.1,374.2,377.8,382.2,386.1,390.6,395.8,401.9,406.7,410.6,414.2,418.5,421.8,425.7,429.8,434.1,440.5,446,451.3,456.1,458.4,460.9,463.7,465.7,466.3,468.4,470.3,472.3,478.2,478.6,481.4,486.5,498.8,501.3,503.5,509.1,517.2,518.6,523.5,532.6,543.8,556.2,557.1,562.9,570,574.4,577.6,584.8,589.2,588.9,594.6,596.5,597.3,600.6,607.2,616.2,616.7,614.8,625.6,641.2,642.6,644.2,651.5,657.9,658.6,660.6,662.6,662.7,670.6,668.9,681.8,685.8,691.1,691.8,697.2,705.5,707.3,712.7,713.8,714.9,720.1,728,733.2,739.5,745.7,749.7,758.6,764.2,764.5,775.5,782.6,784,789.7,788.1,787.4,791.1,800.9,814.6,831.7,839.7,844.8,847.8,844.6,850.4,851.8,856.5,863.2,870.1,877.4,883.9,888.1,892.8,893.7,897.6,905,907.5,922.3,936.1,948.2,962.6,969.5,973.5,979.1,989.3,990.7,994.8,1006.8,999.1,996.8,1004.6,983.5,969,974.4,967.1,946.6,989.2,990.1,998.7,1016.8,1027.7,1041.5,1052.4,1054.2,1067.9,1086.4,1099.8,1107.7,1100.3,1113,1122.1,1139.1,1155.5,1161.3,1188.5,1189.7,1196.1,1182.7,1176.4,1182,1186.2,1201.3,1206.9,1190.5,1186.5,1199.7,1207.1,1204.6,1202.6,1199,1194.8,1189.4,1191.1
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
