"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","    Durable goods","DDURRA3",14.685,14.296,15.732,17.687,19.537,18.284,18.328,20.612,22.432,23.61,23.491,21.62,21.835,21.799,24.913,28.471,31.319,34.324,34.993,36.998,37.81,37.646,35.618,37.664,40.486,43.715,45.44,48.832,52.819,59.255,66.945,72.818,76.771,82.6,88.052,94.444,100,104.528,109.711,104.314,98.732,104.887,112.395,121.148
"12","5","    Nondurable goods","DNDGRA3",41.781,42.71,43.511,45.272,46.572,45.439,45.829,48.008,49.102,50.875,52.186,52.098,52.752,53.299,55.035,57.313,59.043,61.145,62.196,63.832,65.556,66.321,66.126,67.411,69.125,71.82,73.599,75.726,77.953,80.895,85.016,87.773,89.354,91.127,94.232,96.899,100,102.643,104.584,103.363,101.507,103.888,106.236,107.223
"13","6","  Services","DSERRA3",30.303,31.487,32.574,34.458,36.091,36.783,38.164,39.802,41.447,43.375,44.7,45.389,46.203,47.103,49.568,51.508,54.173,55.784,58.007,60.469,62.301,64.151,65.11,67.431,69.589,71.666,73.488,75.64,77.973,81.409,84.744,88.944,91.134,92.87,94.611,97.134,100,102.599,104.599,105.067,103.558,104.554,106.543,107.854
"14","7","Gross private domestic investment","B006RA3",23.323,21.791,24.275,27.15,30.331,28.097,23.12,27.791,31.989,35.846,36.989,32.926,35.886,30.859,33.733,43.672,43.266,42.971,44.295,45.337,47.156,45.569,41.862,45.254,49.299,55.998,57.743,62.851,70.672,77.747,84.592,90.371,84.023,82.879,86.09,94.749,100,102.742,99.412,89.296,67.124,76.327,80.284,88.127
"15","8","  Fixed investment","B007RA3",23.242,22.754,24.477,27.42,29.926,28.055,25.042,27.511,31.465,35.274,37.265,34.844,35.623,33.125,35.541,41.543,43.729,44.237,44.48,45.947,47.328,46.34,43.335,45.904,49.839,54.5,58.01,63.213,69.045,76.537,83.658,89.843,88.142,84.412,87.39,93.88,100,102.375,100.39,93.228,75.494,75.326,80.311,87.313
"16","9","    Nonresidential","B008RA3",20.07,19.963,19.964,21.797,24.968,25.177,22.689,23.8,26.486,30.45,33.517,33.429,35.333,34.003,33.563,39.486,42.103,40.901,40.87,43.008,45.409,45.633,43.186,44.565,48.456,52.915,58.478,63.94,71.658,80.264,88.64,97.327,94.614,87.112,88.29,93.74,100,108.027,115.039,114.125,93.507,94.148,102.288,110.431
"17","10","      Structures","B009RA3",74.096,74.3,73.082,75.359,81.52,79.755,71.355,73.073,76.079,87.058,98.098,103.837,112.161,110.325,98.404,112.125,120.095,106.935,103.859,104.539,106.616,108.187,96.15,90.354,89.768,91.405,97.235,102.744,110.28,115.911,116.049,125.101,123.191,101.377,97.514,98.571,100,109.18,124.578,132.595,104.659,88.308,90.733,100.506
"18","11","      Equipment and software","B010RA3",11.513,11.399,11.512,12.997,15.381,15.774,14.272,15.164,17.449,20.106,21.861,21.075,21.971,20.829,21.95,26.303,27.974,28.504,28.895,31.074,33.351,33.361,32.504,34.873,39.226,43.904,49.158,54.383,61.861,70.837,80.857,89.32,86.438,82.789,85.377,92.138,100,107.59,111.168,106.411,88.911,96.822,107.473,114.89
"19","12","    Residential","B011RA3",34.063,32.026,40.808,48.061,47.752,37.895,32.975,40.74,49.486,52.602,50.672,39.949,36.747,30.075,42.524,48.836,49.608,55.696,56.807,56.231,54.524,49.819,45.032,51.263,55.45,60.84,58.85,63.55,64.751,69.732,74.092,74.834,75.258,79.204,85.712,94.13,100,92.667,75.379,57.345,44.489,42.862,42.268,47.371
"20","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Exports","B020RA3",12.131,13.435,13.663,14.689,17.458,18.837,18.718,19.536,20.006,22.115,24.307,26.925,27.256,25.173,24.524,26.526,27.331,29.429,32.594,37.815,42.161,45.954,49.005,52.37,54.086,58.802,64.755,70.133,78.49,80.281,83.785,90.985,85.88,84.16,85.514,93.677,100,108.969,119.108,126.376,114.835,127.623,136.152,140.785
"23","16","    Goods","B253RA3",11.262,12.546,12.497,13.84,17.02,18.371,17.944,18.796,19.042,21.17,23.671,26.492,26.205,23.837,23.151,24.982,25.903,27.233,30.252,35.953,40.237,43.623,46.633,50.122,51.756,56.79,63.436,69.031,78.955,80.717,83.788,93.08,87.318,84.176,85.687,92.995,100,109.425,120.09,127.691,112.414,128.479,137.695,143.514
"24","17","    Services","B646RA3",14.442,15.729,16.942,16.835,18.025,19.432,20.626,21.236,22.606,24.496,25.25,26.826,29.683,28.86,28.38,30.911,31.279,35.82,39.39,42.939,47.375,52.372,55.505,58.496,60.437,64.275,68.316,73.101,77.436,79.303,83.857,86.102,82.534,84.115,85.107,95.237,100,107.935,116.885,123.395,120.204,125.805,132.793,134.72
"25","18","  Imports","B021RA3",11.181,11.658,12.28,13.662,14.296,13.972,12.419,14.848,16.471,17.898,18.195,16.987,17.433,17.214,19.386,24.105,25.669,27.863,29.511,30.671,32.022,33.168,33.118,35.44,38.505,43.098,46.547,50.595,57.409,64.119,71.5,80.813,78.54,81.213,84.806,94.212,100,106.099,108.652,105.733,91.422,102.832,107.746,110.369
"26","19","    Goods","B255RA3",9.502,9.874,10.702,12.158,13.016,12.654,11.059,13.56,15.213,16.577,16.861,15.61,15.931,15.531,17.641,21.908,23.279,25.665,26.855,27.943,29.146,29.995,30.13,32.971,36.27,41.114,44.817,49.018,56.082,62.727,70.549,80.018,77.464,80.341,84.302,93.637,100,105.92,108.674,104.5,88.2,101.309,106.561,108.793
"27","20","    Services","B656RA3",21.596,22.722,22.075,23.011,22.235,22.21,21.247,22.714,23.846,25.546,25.897,25.319,26.778,28.205,30.483,38.126,41.026,41.488,46.378,47.954,50.278,53.564,52.173,50.768,52.124,54.901,56.556,59.514,64.687,71.721,76.569,84.955,84.292,85.837,87.474,97.252,100,107.059,108.539,112.488,108.74,111.507,114.63,119.41
"28","21","Government consumption expenditures and gross investment","B822RA3",53.347,52.059,50.926,50.556,50.379,51.648,52.812,53.049,53.63,55.21,56.241,57.337,57.86,58.876,61.027,63.078,67.471,71.573,73.3,74.22,76.24,78.655,79.514,79.885,79.253,79.245,79.705,80.507,82.02,83.759,86.761,88.519,91.917,96.192,98.336,99.668,100,101.359,102.713,105.381,109.262,109.955,106.497,104.692
"29","22","  Federal","B823RA3",70.969,65.738,60.677,58.197,55.748,56.243,56.426,56.453,57.647,59.092,60.519,63.39,66.42,68.989,73.561,75.829,81.771,86.407,89.477,88.01,89.379,91.185,91,89.351,85.842,82.555,80.353,79.423,78.641,77.758,79.27,79.661,82.901,88.953,94.839,98.71,100,102.127,103.399,110.819,117.613,122.883,119.48,116.869
"30","23","    National defense","B824RA3",85.556,77.8,68.981,63.588,60.061,59.595,59.03,58.828,59.511,60.019,61.845,64.541,68.628,73.814,79.11,82.971,90.002,95.766,100.301,99.826,99.335,99.305,98.214,93.351,88.401,84.072,80.936,79.856,77.618,75.978,77.386,76.986,79.908,85.782,93.243,98.535,100,101.588,103.867,111.649,118.311,121.829,118.683,114.975
"31","24","    Nondefense","B825RA3",43.019,42.567,44.575,47.722,47.429,49.891,51.594,52.085,54.324,57.7,58.309,61.573,62.396,59.402,62.471,61.279,64.9,67.13,67.081,63.499,68.795,74.465,76.17,81.218,80.687,79.525,79.207,78.577,80.737,81.374,83.095,85.066,88.945,95.357,98.071,99.067,100,103.237,102.42,109.081,116.154,125.049,121.114,120.801
"32","25","  State and local","B829RA3",42.557,43.738,45.077,46.068,47.381,49.164,50.97,51.346,51.532,53.216,53.998,53.958,52.873,52.898,53.514,55.444,58.879,62.669,63.575,65.933,68.34,71.112,72.585,74.156,75.244,77.197,79.247,81.09,83.98,87.291,91.179,93.744,97.236,100.473,100.408,100.234,100,100.91,102.311,102.31,104.568,102.711,99.224,97.865
