"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"11","2","    Gross domestic income","A261RX1",4211.1,4238.5,4269.5,4263,4231.7,4229.8,4266.5,4224.1,4310.4,4341.6,4378.9,4433.9,4495.4,4555.4,4631.9,4757.3,4844.5,4870.6,4883.1,4938.3,4895.7,4875.6,4854.9,4790.6,4732.9,4775.7,4874.6,4923.6,5024.8,5056.4,5092.4,5109.8,5158.6,5289.2,5392.7,5425.4,5453,5620.2,5657.4,5705.3,5754.2,5721.1,5729.1,5768.8,5769,5658.9,5689.9,5835.2,5885.8,5883.5,5975.7,5901.6,5857.9,5885.2,5857.6,5829.6,5898.1,5995.5,6079.9,6206.5,6372.9,6493,6567.3,6641.3,6695.3,6736.2,6813.5,6854.5,6927,6944.1,6985.7,7035.1,7093.8,7203.9,7311.5,7415.4,7500.7,7586.1,7647.8,7751.4,7794,7774.2,7808.4,7819.1,7884.5,7938.4,7929.6,7889.1,7872.3,7893,7908.1,7934.3,8056.6,8119.2,8144.1,8226.7,8228.3,8319.7,8343.1,8479.4,8576.4,8680.8,8772.8,8877.6,8923.4,8966.2,9070.4,9126,9211.1,9354.8,9445.7,9566.9,9668.9,9780.9,9940.4,10059.2,10166.2,10309.6,10460.1,10561.8,10703.3,10775,10872.6,11059.6,11284.5,11347.1,11430.8,11408.3,11522.7,11482,11428.8,11373.6,11514.3,11577.4,11564.3,11612.5,11647.6,11765.3,11866.2,11996.4,12094.2,12211.9,12341.1,12431.8,12562.2,12655.7,12750.7,12902.2,13106.3,13150.8,13214.2,13300.7,13214.2,13232.2,13189.4,13236.9,13321.4,13283.5,13194.8,12857.4,12660.3,12579.9,12601.8,12757.8,12933.4,12983.7,13106.9,13143.7,13228.6,13242.5,13234.5,13379.3,13505.5,13481,13533,13621
"12","3","    Net domestic product \1\","A362RX1",3955.5,3963.1,3985.7,3959.6,3947.5,3951.3,3987.6,3938.7,4055.1,4076.3,4108.4,4117.5,4195.9,4302.4,4342.6,4415.8,4534.4,4585.8,4552,4594.1,4543.2,4550.6,4494.8,4469.9,4403.8,4437.2,4517.3,4579.5,4692.8,4727.8,4748.7,4782,4838.5,4940.7,5033.7,5025.6,5037.9,5254.4,5304.3,5374.9,5376,5372.8,5407.7,5416.1,5427.5,5293,5274.1,5378.2,5498.7,5441.2,5508.9,5422,5311,5336.1,5305.1,5303.5,5373.8,5506.5,5624.2,5749.6,5868.7,5974.9,6030.7,6075.4,6128.2,6175.6,6274.3,6317.9,6377.4,6396.6,6456.7,6481.8,6512.1,6580.8,6635.9,6755.5,6786,6875.7,6906.4,7001.4,7066.1,7116.1,7170.1,7178,7253.2,7276.7,7268.1,7188.2,7141.6,7189.4,7216.7,7241.6,7324.5,7406.4,7487.4,7571.8,7577.3,7622.1,7657.8,7762.7,7838.9,7950.2,7997.6,8086.9,8097.7,8105.2,8169.8,8221.3,8271.6,8419.7,8488,8577.9,8637.1,8765.6,8872.8,8931.7,9008.2,9080.3,9195.7,9355,9427.9,9489.8,9605,9779,9786.4,9979.2,9966.6,10014.2,9958.7,10017.3,9972.5,10000.2,10084.1,10134,10181,10174.3,10212.5,10302.1,10485,10581.1,10647.7,10714.2,10792.7,10879.9,10994.2,11036.7,11122.4,11173.1,11321.4,11358.1,11344.1,11416.4,11417.4,11519.3,11601.1,11643.3,11573.9,11605.2,11470.2,11157.4,10978.2,10965.7,11009.9,11134.4,11206.3,11273.8,11351.3,11421.8,11419,11493.1,11527,11650.7,11706.6,11739.2,11833.6,11836.3
"13","4","    Net domestic income \1\","W256RX1",3925,3948.3,3975.2,3963,3925.5,3919.4,3954.4,3908.8,3993.2,4021,4055.2,4108.5,4168.3,4226.1,4299.4,4422.8,4505.8,4526,4532.4,4583.2,4533.2,4506.7,4479.8,4408,4343.3,4383,4481.3,4527.9,4628.7,4656.9,4689.2,4701.5,4746.2,4875.7,4976.9,5004,5025.7,5192.3,5223,5264.4,5306.3,5263,5262.4,5295.4,5287.1,5164,5188.6,5333,5378.8,5368.8,5457.3,5371.3,5316.7,5337.3,5301.2,5265.5,5331.3,5426.4,5507.3,5631.5,5796.3,5911.7,5978.6,6044,6087.6,6118.3,6187.2,6219.4,6284.7,6292.5,6325.3,6366,6416.2,6519.6,6620.6,6718.1,6796.9,6875.5,6929.3,7026.1,7060,7029.7,7054.9,7056,7113.3,7159.6,7142.1,7092.9,7068.8,7083,7091.5,7110.9,7228.5,7285.9,7305.8,7385.4,7376.8,7459.8,7473.8,7603.1,7692.4,7788.6,7871.7,7967.1,8001.9,8033.3,8126.7,8170.1,8242.9,8374.8,8452.5,8560.3,8648.2,8745.1,8889.2,8991.1,9080.3,9205.5,9337,9418.8,9539.7,9590.5,9667.3,9834.2,10039,10078.1,10140.2,10098,10194.7,10137.9,10071.3,10003.7,10131.4,10183.4,10158.7,10196.2,10221.2,10329.9,10420.5,10538.8,10624,10730.2,10847.2,10924.5,11041.3,11121.6,11202.6,11339.8,11531.5,11560.4,11608,11679,11575.5,11577.9,11520.6,11554.3,11628.5,11578.3,11478.1,11131.2,10927.6,10844.9,10865.5,11019.6,11192.2,11238.1,11354.8,11384.6,11463.6,11471,11455,11589.3,11705.6,11672,11714.8,11792
"14",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","5","    Gross national product","A001RX1",4271.7,4283,4308.6,4288.5,4282.5,4291.2,4328.7,4280.7,4402.9,4429.4,4461.4,4475.3,4556.1,4662.9,4710,4786.8,4913.7,4972.8,4953.7,5000.8,4966.3,4975.6,4921.9,4895.5,4829.3,4866.2,4950.6,5022.6,5134.3,5174.4,5200,5238.6,5306.1,5409.2,5504.3,5496.9,5523.4,5728.7,5788.8,5872.6,5883.8,5896.8,5952.3,5967.8,5988.3,5860.9,5845.6,5938.6,6064.8,6013.2,6089.3,6022.1,5920.6,5960.6,5926.3,5928.6,6000.8,6138.3,6259.3,6389.9,6507.2,6618.8,6681.9,6728.7,6780,6840,6937.6,6994.5,7055.9,7073,7144.3,7168.5,7210.9,7293.5,7355.6,7483.8,7530.3,7623.1,7658.6,7763.7,7835.6,7892.6,7957.7,7983.3,8063.5,8096.6,8089.6,8050.1,7994.7,8033.4,8062.6,8104.4,8192.3,8278.3,8359.1,8447.8,8472.8,8518,8570.1,8663,8755.9,8870,8924,9022.1,9056.1,9078.7,9137.3,9214.6,9285,9434.1,9511.9,9621.4,9685,9837.4,9951.3,10019.8,10124.7,10212.5,10331.5,10512.2,10619,10707.5,10839.7,11045.6,11069.2,11288.1,11292.8,11386.8,11333.9,11416.9,11360.3,11468.8,11523.3,11564.5,11638.7,11661.7,11694.9,11808.1,12000.8,12136,12234,12285.1,12386.7,12460.7,12623.4,12667.7,12776.9,12812.4,12974.7,13021.6,13009.6,13107.3,13122.6,13248.4,13405.8,13511,13431.7,13476.6,13367.4,12991.9,12819.5,12806.8,12895.3,13034.5,13121.9,13216.5,13301.1,13374.2,13394.3,13486.1,13534.7,13672.9,13693.8,13763.6,13862.9,13895
"16","6","    Gross national income","A023RX1",4242.4,4268.7,4298.4,4291.9,4261.2,4260.3,4296.6,4251.8,4343,4376,4410,4466.8,4529.5,4589.2,4668.4,4793.4,4886.1,4915,4934.8,4990.3,4956.6,4933.2,4907.4,4835.9,4771.1,4814,4916,4972.9,5072.7,5106.3,5142.7,5161.2,5217.3,5346.8,5449.8,5476.1,5511.6,5669.2,5710.9,5766.5,5816.9,5791.4,5812.9,5852.2,5853.8,5737.4,5763.7,5895.4,5949.9,5943.9,6039.9,5973.7,5926.1,5961.8,5922.6,5892.2,5960,6061.4,6147,6276.1,6437.5,6557.8,6631.5,6698.3,6740.7,6784.5,6853.4,6899.1,6966.1,6972.1,7017.1,7056.4,7117.8,7234,7340.8,7447.4,7540.8,7622.8,7680.8,7787.8,7829.8,7808.4,7845.5,7864.4,7927,7982.3,7966.6,7957.2,7923.6,7929.3,7940.1,7976.4,8098.3,8160.1,8180.8,8264.6,8275.9,8358.4,8389.4,8506.1,8611.8,8711.1,8800.1,8904.2,8961.9,9008,9094.8,9164.2,9256.8,9389.8,9476.8,9604.1,9695.9,9817.1,9967.5,10078.7,10196.2,10336.6,10471.7,10575.4,10730.1,10807.5,10901.5,11100.4,11320.1,11386.5,11465.4,11470.3,11568.8,11537.2,11458.8,11472.4,11570.6,11613.7,11616.5,11683.6,11703.6,11835.8,11936.3,12093.8,12210.4,12301.2,12441.1,12505.2,12670.6,12752.6,12857,12979.1,13184.6,13223.7,13273.3,13369.6,13280.6,13307.1,13325.4,13421.9,13486.3,13449.7,13375.4,12965.8,12768.8,12685.6,12750.4,12919.3,13107.8,13180.6,13304.4,13336.7,13439.2,13463.9,13462.3,13611.2,13692.9,13696,13743.3,13850.5
"17","7","    Net national product \1\","A027RX1",3987.2,3993.7,4015,3988.8,3977.5,3982.3,4018.1,3966.7,4088.2,4111.2,4140,4150.8,4230.7,4336.6,4379.6,4452.7,4576.9,4631,4604.7,4647.1,4605.5,4609.6,4548.4,4516,4442.5,4476.2,4559.5,4629.9,4741.6,4778.6,4800,4834.5,4898.6,4999.6,5092,5077.2,5097.7,5304.1,5358.7,5437.5,5440.1,5444.8,5493.9,5501.6,5514.6,5373.4,5349.8,5439.6,5564.2,5502.9,5574.4,5495.8,5380.8,5414.6,5371.5,5367.3,5436.9,5573.7,5692.7,5820.8,5934.4,6041,6096.1,6133.4,6174.2,6224.7,6314.6,6363,6416.8,6424.6,6488.1,6502.8,6535.9,6610.9,6665.1,6787.6,6826.4,6912.5,6939.5,7037.8,7101.8,7150.4,7207.3,7223.7,7296,7320.9,7305.3,7257.1,7193.4,7225.9,7248.6,7284,7366.3,7447.6,7524.3,7609.9,7625.1,7661,7704.3,7789.2,7874.3,7980.4,8024.7,8113.4,8136.3,8147.1,8194,8259.5,8317.4,8454.7,8519.1,8615.1,8664,8801.9,8899.7,8951,9038,9107.1,9207.1,9368.4,9454.6,9522.3,9633.9,9819.7,9821.9,10018.5,10001.1,10076.1,10004.8,10072.5,10002.3,10099.1,10140.3,10170.3,10233.1,10245.4,10268.5,10372.6,10555.2,10678.4,10763.7,10803.4,10892.7,10953.4,11102.6,11133.7,11228.7,11249.9,11399.7,11430.9,11403.3,11485.2,11483.8,11594.2,11737.1,11828.4,11738.8,11771.3,11650.7,11265.8,11086.8,11071.7,11158.6,11295.8,11380.5,11470.5,11548.7,11614.6,11629.3,11714.2,11754.4,11882.2,11893.9,11954,12043.7,12065.5
"18",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","8","    Gross domestic purchases","A712RX1",4342.2,4349.5,4379.8,4348.5,4338.8,4340.5,4379.6,4334.4,4450.5,4494.3,4525.5,4542.1,4633.6,4740.8,4776.4,4856.3,4973.3,5006,4968.5,5000.3,4937.2,4950.6,4917.2,4883.3,4778.9,4798.5,4916.4,4978.1,5118.7,5170.6,5201,5249,5338.4,5436.4,5522.5,5541.9,5583.5,5756.9,5814.3,5878.8,5886.4,5893.5,5908.5,5904.9,5909.3,5732.1,5679.1,5818.5,5953.4,5903.8,5980.9,5920.6,5831.5,5850.8,5876.6,5882.8,5960.2,6131.7,6286.9,6433.6,6594.4,6720.4,6790.3,6853.7,6901.6,6992.6,7099.5,7164,7214.6,7266.9,7343.1,7364.1,7398.8,7472.9,7527.3,7649.4,7651,7719.9,7765.9,7872.2,7928.6,7960.4,8013.5,8034.4,8112.2,8132.3,8123.3,8023.4,7970.1,8010.8,8049.4,8081,8161.1,8261.4,8342.1,8446.1,8478.7,8540.9,8600.2,8722.9,8820.8,8947.7,8999,9106.5,9134.6,9151.1,9188.3,9251.4,9337.3,9505.2,9615.7,9678,9781.5,9922,10064.2,10169.8,10306.6,10440.4,10598.3,10779.1,10916.3,11030.6,11189.3,11391,11461.6,11691.9,11728.8,11804.1,11758.2,11823.2,11814.1,11867.6,11985.5,12068.7,12145.9,12189.9,12228.9,12354.6,12538.8,12656.6,12752.4,12883.3,12992.6,13113.6,13229.7,13279.9,13391.8,13481.2,13629.4,13682.1,13707.6,13733.3,13759.4,13863.2,13908.3,13890.1,13818,13794.5,13646.5,13353.3,13103.7,13014.4,13082,13209.3,13309.3,13438.9,13553.4,13590.5,13592.1,13655.2,13696.4,13851.4,13914.4,13948.5,14039.3,14040.8
"20","9","    Final sales to domestic purchasers \2\","A713RX1",4320,4335.8,4361.1,4351.2,4360.2,4345.5,4384.9,4378.1,4428.7,4478,4512.7,4571.1,4645,4719.6,4752.2,4863.9,4963.3,4962.7,4958.1,4948,4922.8,4929.1,4929.4,4843.4,4836,4868.7,4949.2,5005.1,5101.5,5132.2,5169,5251.5,5329.4,5407.2,5453.3,5518,5547.9,5721.6,5775.1,5836.8,5852.9,5854.3,5911.3,5918.2,5915.1,5742.8,5774.6,5860.6,5903.7,5913.1,5925.5,5904.7,5895.8,5881.2,5891.2,5979.4,6046.9,6170.6,6319.6,6420.3,6501,6632.1,6697.9,6802.6,6899.7,6985.1,7096.1,7136.5,7191.5,7268.4,7375.9,7403,7378.9,7472.1,7550.1,7580.2,7652,7714.9,7757.8,7860.3,7881.3,7929.9,8019.2,8032.7,8113.7,8105.4,8112.3,8054.1,8007.5,8051.9,8068.1,8060.9,8176.6,8248.9,8334.8,8437.8,8449.6,8528.3,8609.4,8721.8,8781.9,8862.6,8951.8,9031.7,9075.7,9125.7,9194.2,9246.9,9349.3,9490,9559.7,9650.8,9747.7,9821.7,9994,10086.7,10191.2,10403.4,10543.9,10720.1,10832.4,10995,11149.3,11294.2,11446.4,11591.6,11667.4,11747.8,11796.4,11837.5,11848.3,11961.2,12004.4,12059,12129.4,12160.3,12199.7,12360.1,12537,12619.1,12701,12805.7,12930.1,13042.5,13138.8,13264.4,13379.9,13399.9,13565,13610.7,13640,13700.1,13741.5,13815.8,13870.3,13878.2,13828.8,13809.7,13684.6,13441.5,13261.8,13202.3,13262.3,13245.6,13275.9,13403.9,13454.8,13544.1,13561.9,13623.8,13699.6,13771.3,13847.5,13897.1,13963.6,14016.6
"21",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","10","    Command-basis gross domestic product","C191RX1",4342.4,4352.5,4380.7,4361.2,4353,4360.7,4393.1,4345.5,4466.6,4490.4,4522.5,4533.2,4613.5,4718.5,4763,4848.5,4966,5007,4985.5,5038.9,4958.9,4948.4,4893.9,4878,4824.9,4860.9,4949.1,5015.4,5127.1,5164.7,5185.9,5231.9,5282.3,5372.1,5451.7,5475.6,5485.4,5696.2,5748,5835.3,5836.6,5837.5,5857.6,5849,5831,5699.2,5689.2,5801.3,5916.1,5874.3,5958.9,5890.1,5795.8,5835.3,5818.2,5826.4,5910.2,6045.7,6167.5,6304.9,6429,6537.9,6608.6,6669.7,6742.8,6799.9,6898.3,6940.9,7004.8,7055.7,7114,7141.8,7177.4,7243.9,7302.4,7429.9,7466.7,7561.3,7615,7706.4,7780.6,7831.2,7902.3,7916.2,7987.3,8037.4,8020.5,7914.6,7906.6,7980.5,8023.7,8054.4,8133.4,8219.4,8294.9,8387.7,8407.8,8461.4,8512.8,8631.4,8718.3,8831.7,8880.1,8980.2,9002.1,9013.6,9098.6,9167.3,9234.7,9398.7,9468.5,9571.4,9665.1,9813.1,9948.6,10029.6,10147,10248,10393.2,10574.8,10674.4,10737.3,10862.7,11037.3,11052.1,11276.7,11282.1,11346.4,11318.2,11418.5,11405.8,11472.7,11572,11611.5,11670.6,11669.6,11687.8,11813.3,12006.2,12114.5,12178.4,12251,12333.2,12410.1,12541.1,12583.9,12660.4,12703.5,12870.7,12923.7,12931.2,13045.1,13069.1,13173.4,13248.3,13245.3,13131.1,13117.7,12970.7,12818.8,12751.8,12711.5,12717.8,12808,12865.3,12972.3,13074.1,13137.7,13099,13153.3,13218.9,13327.5,13381,13448.8,13595.2,13587.2
"23","11","    Command-basis net domestic product \1\","C362RX1",4058.2,4063.4,4087.3,4061.7,4047.8,4051.5,4082,4030.9,4151.4,4171.5,4200.4,4207.8,4287.2,4391.3,4431.7,4513.7,4628.2,4663.6,4634.7,4683.6,4594.8,4578.2,4516.2,4494.5,4434.6,4467.4,4554.7,4619.1,4730.9,4765.1,4781.9,4824.2,4870.5,4957.6,5033.8,5051.6,5054.7,5266.7,5312.5,5395,5387.4,5379.3,5391.6,5374.2,5347,5201.7,5183.7,5293.1,5405.8,5354.8,5435.2,5355.1,5248,5281.2,5256.1,5258.3,5339.7,5474.3,5594.1,5729.4,5850.2,5954,6017.2,6069.3,6132.9,6180.4,6271,6304.7,6361.2,6403.9,6454,6472.4,6498.8,6557.3,6607.9,6729.7,6758.4,6846.5,6892.2,6976.5,7043,7085.1,7148.1,7152.6,7215.8,7258,7232.4,7116.5,7101.3,7169.8,7206.7,7230.8,7304.1,7385.3,7456.6,7546.4,7556.7,7601.2,7643.8,7754.9,7833.9,7939.2,7977.9,8068.5,8079.1,8078.7,8152.5,8209.2,8264.3,8416.6,8473,8562.2,8641.1,8774.4,8894.1,8958,9057.7,9140.1,9266.5,9428.8,9507.8,9549.8,9654.7,9809,9802.5,10004.8,9988.3,10033.6,9987.4,10072.4,10046.3,10101.2,10187.5,10216.1,10264,10252.5,10261.1,10377.4,10560.3,10656.9,10708.5,10769.6,10839.5,10903.1,11020.6,11050.1,11112.5,11141,11295.4,11332.7,11324.7,11422.5,11430.1,11519.2,11579.8,11563.2,11439.4,11414.3,11256.3,11094.2,11020.4,10978.3,10983.8,11072.6,11127.6,11230,11325.6,11382.3,11338.8,11386.4,11443.5,11541.8,11586,11644,11780.6,11762.6
"24","12","    Command-basis gross national product","CB22RX1",4371,4380,4406.8,4387.3,4379.9,4388.7,4420.7,4370.5,4496.8,4522.4,4551.3,4563.6,4645.1,4749.7,4797,4882.5,5005.7,5049.4,5035.2,5089.2,5017.5,5003.1,4943.3,4919.9,4859.9,4896.2,4987.8,5062.2,5172.6,5212.3,5234.2,5281.5,5338.8,5427.7,5506.8,5524.3,5541.8,5743.1,5799.5,5894.7,5897.5,5905.5,5938.9,5929.3,5912.3,5774,5759.5,5858,5977,5931.5,6020.2,5959.5,5861.3,5909,5880.4,5886.4,5969.8,6109.5,6232.6,6372.8,6491.6,6600.7,6670.7,6724.7,6785.9,6846.6,6937.5,6984.3,7042.5,7081.9,7143.3,7160.6,7199.4,7272.5,7330.1,7460.2,7505,7596.2,7646.2,7741.1,7814.9,7864.3,7938.7,7961.1,8029.5,8080.5,8056.9,7982.1,7957.6,8016.6,8055,8095.8,8173.7,8259,8330.1,8424.5,8454.8,8500.1,8559.3,8658.5,8754,8862.4,8907.5,9007,9040.9,9055.9,9123.7,9206.3,9281.2,9434.8,9500.4,9609.2,9692.6,9849.7,9976,10049.2,10177,10274.8,10404.5,10588.2,10701,10769.8,10891.5,11078.1,11087.4,11315.7,11316.5,11408,11364,11473.4,11435.7,11572.2,11628.3,11647.4,11722.3,11740.3,11743.4,11883.6,12076.1,12211.9,12294.6,12340.4,12433.2,12483.5,12649.5,12680.8,12766.9,12780.8,12949.5,12996.9,12990.9,13113.9,13135.9,13248.3,13384.1,13429.8,13295.4,13282.7,13150,12926,12860.1,12817.6,12866.4,12968.5,13037.9,13166.5,13268.7,13327.7,13307,13372.5,13444.1,13557.2,13566.7,13662.3,13804.3,13815.6
"25","13","    Command-basis net national product \1\","C027RX1",4087.9,4091.9,4114.4,4088.8,4075.7,4080.5,4110.6,4056.9,4182.7,4204.7,4230.3,4239.4,4320,4423.7,4466.9,4548.9,4669.3,4707.5,4686.2,4735.7,4655.4,4634.8,4567.4,4538.1,4471,4504.1,4595,4667.8,4778.3,4814.7,4832.2,4875.9,4929.4,5015.5,5091.2,5102.4,5113.4,5315.6,5366.2,5456.9,5450.8,5450.3,5476.3,5457.8,5431.7,5279.6,5256.9,5352.3,5469.2,5414.4,5499.2,5427.5,5316.3,5358.1,5321,5320.7,5401.7,5540.6,5661.7,5799.7,5915,6019.1,6081.5,6126.2,6177.4,6228.6,6311.5,6349.6,6400.1,6430.9,6484.2,6491.8,6521.5,6586.8,6636.4,6760.9,6797.8,6882.4,6924.3,7012.2,7078.1,7119,7185.4,7198.6,7259,7302.2,7269.7,7185.5,7153.4,7206.6,7238.7,7273,7345.2,7425.6,7492.5,7583.8,7604.5,7640.6,7691,7782.4,7870.2,7970.4,8005.7,8095.7,8118.5,8121.7,8177.9,8248.8,8311.4,8453.2,8505.2,8600.5,8668.9,8811.4,8921.9,8977.8,9088,9167.1,9277.9,9442.4,9534.6,9582.6,9683.7,9850,9838,10044,10022.9,10095.6,10033.4,10127.6,10076.3,10201,10244,10252.1,10315.8,10323.3,10316.7,10447.8,10630.3,10754.3,10824.7,10859,10939.5,10976.4,11129,11146.9,11219,11218.3,11374.2,11406,11384.3,11491.4,11496.8,11594.1,11715.5,11747.6,11603.4,11578.9,11435.2,11201.3,11128.7,11084.1,11131.8,11232.3,11299.3,11423.2,11519,11571.1,11545.4,11604.1,11667.1,11769.9,11770.5,11856,11988.3,11989.5
"26",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
