"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","        Structures","A760RG3",16.374,17.809,19.264,20.426,22.247,26.35,29.249,29.927,31.168,33.01,36.341,40.866,45.431,48.436,49.016,49.524,50.463,52.022,54.046,55.705,57.32,59.216,60.108,60.523,62.162,64.178,66.938,68.9,70.949,73.09,75.756,79.203,81.948,84.281,86.265,91.28,100,107.97,117.634,124.596,127.275,127.589,131.899,136.882
"12","5","        Equipment and software","A871RG3",46.848,50.158,52.665,63.314,63.895,66.996,72.339,77.337,81.965,86.954,90.82,96.211,103.791,110.026,112.305,113.303,111.606,108.04,105.175,105.147,106.507,108.245,110.194,110.23,111.731,113.293,114.257,112.832,109.431,106.153,105.002,104.429,102.375,100.368,99.382,99.539,100,100.149,100.316,101.474,101.451,101.788,102.792,103.335
"13","6","Federal","B823RG3",18.226,19.699,21.383,23.471,25.08,27.315,30.158,32.302,34.742,36.888,39.727,43.9,48.165,51.434,53.218,56.358,57.635,57.938,58.642,59.884,61.504,63.548,66.07,68.101,69.83,71.725,73.717,75.763,77.047,77.931,79.886,82.524,84.201,87.318,91.024,95.335,100,104.107,107.753,111.225,110.959,113.583,116.721,118.565
"14","7","    Consumption expenditures","B957RG3",16.169,17.483,19.028,20.671,22.154,24.216,26.818,28.752,30.98,32.913,35.559,39.525,43.465,46.446,48.182,51.471,53.042,53.796,54.902,56.289,57.915,59.996,62.628,64.893,66.586,68.439,70.41,72.708,74.361,75.462,77.545,80.463,82.458,86.106,90.283,94.978,100,104.439,108.455,112.174,111.923,114.917,118.3,120.322
"15","8","    Gross investment","B787RG3",34.502,37.193,39.579,47.864,49.884,52.874,57.18,60.935,64.821,68.584,72.561,77.579,84.014,89.386,91.264,92.612,91.451,88.414,86.323,86.563,88.149,89.959,91.723,92.113,94.112,96.305,98.429,98.523,96.911,96.091,97.112,97.677,96.936,96.07,96.326,97.848,100,101.874,103.134,105.085,104.738,105.187,106.873,107.624
"16","9","      Structures","B801RG3",15.007,16.204,17.636,18.957,21.202,23.847,26.973,28.361,30.308,31.993,35.737,39.537,43.195,45.933,46.724,48.405,49.634,50.296,52.05,53.818,56.784,58.701,60.262,61.05,63.101,65.2,67.87,69.757,71.303,73.427,76.174,79.314,82.34,84.25,86.609,91.505,100,107.775,114.01,118.928,119.141,117.938,121.271,124.757
"17","10","      Equipment and software","B872RG3",42.741,46.053,48.529,63.378,63.285,64.881,68.618,73.609,78.153,82.769,85.654,90.375,97.559,103.839,106.144,107.184,104.963,100.437,96.746,96.338,97.399,99.158,100.974,101.221,103.141,105.286,107.072,106.378,103.521,101.573,101.961,101.758,100.074,98.533,98.258,99.009,100,100.915,101.34,102.77,102.317,103.11,104.467,104.77
"18","11","  National defense","B824RG3",17.757,19.116,20.81,23.209,24.911,27.223,29.88,32.057,34.486,36.908,39.853,44.179,48.542,51.953,53.775,57.603,58.696,58.642,59.236,60.326,61.882,63.917,66.222,68.522,69.712,71.438,73.161,75.431,76.517,77.328,79.225,81.821,83.484,86.624,90.659,94.895,100,104.421,108.249,112.187,111.347,113.951,117.411,119.483
"19","12","    Consumption expenditures","B997RG3",15.764,16.979,18.535,20.357,21.928,24.113,26.591,28.52,30.696,32.855,35.642,39.812,43.864,46.969,48.694,52.712,54.173,54.706,55.839,57.134,58.713,60.804,63.185,65.704,66.723,68.314,69.956,72.437,73.868,74.848,76.786,79.69,81.716,85.382,89.898,94.474,100,104.779,108.974,113.16,112.227,115.161,118.894,121.213
"20","13","    Gross investment","B788RG3",32.506,34.86,37.085,49.4,51.249,53.203,56.45,60.768,65.158,69.704,73.283,77.747,84.061,89.758,92.18,93.848,92.067,87.935,85.002,84.75,86.191,87.933,89.786,90.595,93.058,95.841,98.204,98.76,96.927,96.254,97.774,97.832,96.578,95.645,96.098,97.853,100,102.014,103.486,105.935,105.623,106.355,108.212,108.803
"21","14","      Structures","B808RG3",12.654,13.643,14.987,16.272,19.539,22.016,24.131,25.231,27.683,28.843,34.12,36.888,39.092,40.842,41.431,44.276,45.666,45.773,48.01,49.887,53.631,55.268,56.945,58.116,61.575,63.761,66.525,68.303,70.44,72.403,75.308,78.581,81.753,83.877,86.459,91.537,100,108.136,114.451,118.876,118.792,117.423,120.794,124.018
"22","15","      Equipment and software","B873RG3",36.449,39.059,41.251,59.229,58.68,59.518,62.677,67.888,72.519,77.916,80.522,85.195,92.371,98.899,101.726,102.97,100.43,95.379,91.265,90.495,91.4,93.148,95.039,95.798,98.098,100.967,103.202,103.479,100.821,99.604,100.856,100.392,98.486,97.136,97.289,98.592,100,101.358,102.296,104.501,104.152,105.213,106.868,107.198
"23","16","  Nondefense","B825RG3",19.284,21.143,22.746,23.892,25.231,27.245,30.505,32.549,34.993,36.514,39.1,42.906,46.917,49.825,51.501,52.779,54.574,55.915,56.953,58.679,60.497,62.568,65.672,67.034,70.002,72.267,74.83,76.406,78.095,79.12,81.188,83.907,85.612,88.689,91.774,96.234,100,103.468,106.743,109.24,110.177,112.843,115.337,116.725
"24","17","    Consumption expenditures","B542RG3",17.217,18.88,20.347,21.396,22.614,24.335,27.231,29.167,31.506,32.921,35.242,38.745,42.416,45.098,46.859,48.208,50.085,51.458,52.493,54.173,55.947,58.009,61.306,62.944,66.195,68.627,71.299,73.207,75.322,76.664,79.036,81.985,83.922,87.54,91.075,96.008,100,103.747,107.398,110.153,111.3,114.415,117.1,118.533
"25","18","    Gross investment","B798RG3",35.549,38.933,41.454,43.249,45.446,50.089,56.276,58.73,61.435,63.662,68.274,74.17,80.605,85.053,85.435,85.86,86.695,87.584,88.571,90.548,92.592,94.578,96.045,95.352,96.318,97.278,98.913,98.156,96.933,95.888,96.188,97.525,97.628,96.877,96.777,97.837,100,101.587,102.41,103.253,102.821,102.631,103.961,105.041
"26","19","      Structures","B830RG3",16.884,18.251,19.739,21.069,22.466,25.24,29.097,30.684,32.384,34.383,37.516,41.918,46.404,49.781,50.728,51.411,52.482,53.677,54.919,56.52,58.534,60.67,62.143,62.723,64.047,66.101,68.715,70.67,71.859,74.08,76.748,79.806,82.735,84.511,86.725,91.483,100,107.462,113.632,119.056,119.645,118.646,121.952,125.657
"27","20","      Equipment and software","B880RG3",65.582,72.911,76.062,76.766,78.779,84.155,90.654,92.949,95.782,95.368,99.431,103.544,109.561,113.201,112.115,111.891,112.005,112.034,112.17,114.131,115.902,117.474,118.713,116.7,117.076,116.521,116.704,113.147,109.823,106.242,104.873,105.198,103.975,101.997,100.699,100.054,100,99.861,99.024,98.455,97.722,97.811,98.414,98.658
"28","21","State and local","B829RG3",17.013,18.411,19.72,20.896,22.495,24.97,27.41,29.114,31.005,33.042,35.976,40.002,43.975,46.786,48.857,51.034,53.002,54.577,56.849,58.621,60.654,63.474,65.443,66.856,68.494,70.351,72.252,73.806,75.219,76.32,79.036,82.482,85.019,86.81,90.425,94.062,100,105.276,111.112,117.666,116.763,119.579,124.001,126.462
"29","22","  Consumption expenditures","B991RG3",16.346,17.679,18.909,20.068,21.596,23.565,25.791,27.652,29.617,31.596,34.359,38.137,41.83,44.508,46.786,49.268,51.419,52.951,55.247,57.026,59.15,62.152,64.322,65.975,67.65,69.518,71.333,72.936,74.391,75.516,78.471,82.087,84.786,86.635,90.807,94.343,100,105.047,110.408,117.149,115.471,118.853,123.474,125.587
"30","23","  Gross investment","B799RG3",20.612,22.345,24.049,25.339,27.31,32.304,35.854,36.705,38.131,40.445,44.265,49.575,55.017,58.508,59.192,59.503,60.423,62.202,64.31,66.018,67.569,69.47,70.464,70.715,72.158,73.945,76.258,77.571,78.783,79.771,81.416,84.124,85.974,87.521,88.819,92.875,100,106.257,114.121,119.88,122.349,122.606,126.079,130.23
"31","24","    Structures","B842RG3",16.631,18.105,19.567,20.702,22.444,26.817,29.676,30.221,31.323,33.196,36.443,41.104,45.847,48.905,49.438,49.695,50.573,52.315,54.395,56.029,57.424,59.319,60.118,60.481,62.058,64.063,66.837,68.811,70.923,73.066,75.724,79.198,81.922,84.286,86.24,91.264,100,107.984,117.906,125.043,127.966,128.462,132.886,138.032
"32","25","    Equipment and software","B881RG3",52.054,54.309,56.382,57.455,59.286,65.262,73.959,78.487,82.771,88.241,94.724,101.536,109.327,114.346,116.129,116.773,117.519,118.673,119.948,121.475,123.719,125.169,127.321,126.688,126.862,126.934,126.185,123.351,119.031,113.606,110.07,108.934,106.321,103.57,101.395,100.511,100,98.725,98.435,99.112,99.916,99.329,99.621,100.643
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
