"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73"
"32","24","        Domestic","GAP660",59356,56838,60866,59407,60279,64579,65840,60313,64082,62299,62881,61905,60160,64235,59187,70318,64929,66319,68382,65644,69188,63207,62173,60330,62756,60325,55933,48707,47813,56059,55963,51571,48334,46625,49389,47472,45915,49611,51750,52498,52211,51597,54561,56798,60727,53393,52827,53600,53091,53204,55679,53368,50461,46223,47631,35139,23062,30312,29123,41582,42498,43530,43411,39685,41748,41032,44543,44806,54396,51652
"33","25","        Foreign","GAP690",9015,9146,8547,8524,7487,7606,8143,8282,8361,7777,8611,9233,8893,9391,9226,9887,11658,13142,13485,15209,17085,17177,17254,17709,19351,20639,20112,22258,24952,24455,25288,24582,25003,23043,23726,23034,22814,23410,22310,24636,22958,23819,24894,24218,24307,26155,26463,27443,29501,29344,28266,28965,28323,30678,25743,20154,19181,19278,23541,20113,23145,23934,25951,26667,27475,25972,25132,26847,29461,27847
"34","26","      Trucks","B705RX0",70742,68210,70513,74069,76005,78210,83462,88527,88452,88516,93058,98816,100375,109426,102330,114489,118091,116733,126403,125724,126014,119351,116087,102891,106616,102601,98212,100281,95904,99144,106078,99957,91068,95644,104548,108337,108285,112571,126520,130550,125626,132765,144482,137894,152804,146360,145979,149026,145696,133765,135092,132817,129128,110184,96852,76285,59405,60854,64809,75112,82045,88593,93989,100175,108715,108524,122407,124246,122548,128289
"35","27","        Light trucks (including utility vehicles)","B196RX0",39241,38312,40660,43501,48120,50347,55501,61606,62983,63293,66585,70185,70408,78457,68925,78415,82158,81118,89478,88385,90167,85521,85542,76834,81284,78997,76421,79120,75991,76383,80974,75724,71661,73856,81105,83164,80798,83843,94864,96662,89556,96559,107923,101102,113368,106664,106546,109683,109905,105348,110386,109169,107270,88378,76776,55795,44589,47275,49913,57572,65121,71137,74299,79803,83155,79149,90195,88659,86115,90818
"36","28","          Domestic","BTRLDD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65876,66156,70886,65714,60408,62425,68472,71042,68708,71406,81245,82025,76126,82797,92905,85056,95106,88377,88822,89713,90717,86915,91520,89299,87711,70691,62455,44307,34410,38490,40184,47782,54144,60076,61944,66542,69107,66763,76421,75096,72277,76375
"37","29","          Foreign","BTRLMD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10114,10227,10089,10011,11253,11431,12633,12122,12090,12436,13619,14637,13430,13762,15018,16047,18262,18287,17724,19970,19188,18433,18866,19870,19559,17688,14322,11488,10179,8785,9729,9790,10976,11060,12353,13259,14046,12384,13772,13561,13836,14440
"38","30","        Other trucks, buses, and truck trailers","B197RX0",34092,32297,32117,32777,29477,29341,29202,27687,25952,25667,26943,29237,30743,31554,34592,37217,36930,36615,37771,38265,36562,34488,30871,26213,25289,23480,21590,20849,19601,22645,25039,24204,19220,21655,23268,25031,27476,28714,31604,33850,36091,36192,36557,36788,39510,39709,39422,39319,35888,28890,25602,24653,23057,22475,20550,20078,14678,13698,14944,17554,17289,17985,20074,20883,25563,28779,31677,34597,35241,36331
"39","31","    Net purchases of used autos and used light trucks","W242RX0",-38318,-37218,-40314,-40473,-43485,-46989,-48766,-46124,-47568,-47591,-51314,-54527,-56591,-63052,-54976,-62210,-64968,-63515,-66249,-66911,-69930,-65764,-66842,-61401,-66174,-63220,-63352,-59043,-57732,-67121,-68720,-66987,-61682,-57802,-64712,-69099,-63949,-66357,-68269,-65707,-62342,-64871,-67443,-65326,-67359,-62897,-65157,-68861,-73045,-72874,-79037,-74587,-73449,-75560,-78478,-72626,-72907,-81226,-87734,-94494,-80653,-72308,-71590,-67266,-68230,-61197,-62697,-62669,-66551,-64897
"40","32","      Used autos","B140RX0",-28590,-27259,-29530,-28300,-29206,-32016,-33226,-29869,-33671,-31829,-32816,-32543,-33559,-36716,-33525,-38327,-36126,-35923,-35805,-35421,-38117,-34570,-35016,-33520,-34240,-33636,-31919,-28354,-28924,-33306,-33633,-32870,-31302,-29374,-31810,-32995,-31266,-33813,-33149,-32701,-32214,-32081,-32698,-33947,-31829,-30905,-32328,-33655,-34680,-34224,-36569,-34207,-35466,-36575,-38249,-33749,-31074,-36013,-39106,-44610,-39237,-33501,-32091,-29152,-32435,-30995,-29883,-29873,-34975,-32176
"41","33","        Margin","GAP720",1068,1100,1106,1066,1139,1171,1164,1117,1186,1175,1219,1177,1122,1156,1186,1242,1133,1228,1226,1121,1244,1140,1188,1245,1271,1319,1244,1249,1194,1128,1046,1066,1127,1060,1133,1120,1018,1149,1151,1152,1246,1150,1068,1080,1108,1109,1140,1142,1051,1096,1138,1133,1159,1113,1049,927,950,911,875,865,877,862,894,920,928,894,885,912,938,851
"42","34","        Net transactions","GAP750",-29641,-28309,-30618,-29347,-30309,-33178,-34400,-30969,-34862,-32990,-34019,-33715,-34704,-37919,-34716,-39607,-37304,-37169,-37049,-36583,-39397,-35740,-36225,-34754,-35498,-34924,-33140,-29554,-30091,-34438,-34695,-33949,-32427,-30431,-32940,-34115,-32284,-34961,-34300,-33853,-33459,-33232,-33767,-35026,-32938,-32013,-33467,-34796,-35728,-35319,-37703,-35337,-36618,-37683,-39300,-34679,-32027,-36931,-39986,-45476,-40114,-34366,-32991,-30085,-33372,-31900,-30781,-30799,-35922,-33034
"43","35","      Used light trucks (including utility vehicles)","W243RX0",-9913,-10123,-10962,-12313,-14401,-15115,-15685,-16349,-14069,-15879,-18598,-22071,-23119,-26422,-21551,-24002,-28906,-27661,-30491,-31525,-31868,-31224,-31855,-27931,-31954,-29620,-31439,-30673,-28810,-33816,-35084,-34114,-30387,-28435,-32897,-36096,-32680,-32544,-35123,-33008,-30126,-32789,-34743,-31382,-35529,-31992,-32829,-35205,-38365,-38652,-42471,-40385,-37981,-38986,-40235,-38879,-41836,-45222,-48639,-49884,-41408,-38803,-39503,-38128,-35793,-30195,-32809,-32791,-31562,-32708
"44","36","        Margin","W493RX0",1803,1904,2008,2113,2222,2333,2446,2562,2885,2821,2914,2842,2801,2994,3193,3510,3165,3525,3517,3329,3643,3359,3519,3519,3554,3733,3606,3810,3716,3604,3419,3512,3780,3703,4022,3973,3663,4090,4175,4113,4380,3991,3733,3810,3906,3870,4036,4184,3931,4168,4357,4092,3987,3689,3643,3523,3647,3678,3445,3495,3593,3640,3681,3702,3720,3631,3577,3664,3788,3542
"45","37","        Net transactions","W494RX0",-11547,-11830,-12776,-14256,-16500,-17319,-17995,-18778,-16638,-18491,-21367,-24853,-25899,-29447,-24591,-27356,-32113,-31129,-34022,-34937,-35535,-34653,-35423,-31388,-35549,-33284,-35060,-34447,-32484,-37469,-38597,-37708,-34165,-32109,-36918,-40092,-36347,-36638,-39291,-37117,-34507,-36779,-38477,-35190,-39435,-35863,-36864,-39391,-42288,-42817,-46811,-44455,-41944,-42659,-43874,-42398,-45489,-48908,-52066,-53367,-45020,-42481,-43219,-41875,-39574,-33910,-36460,-36531,-35439,-36327
"46","38","  Gross government investment","AB64RX0",9349,10832,10266,12222,11927,9808,9628,10848,10969,11220,12020,10279,10651,12847,11633,12876,11943,11036,12829,14620,13507,13185,12901,13030,14524,13454,13041,12960,13208,13541,14495,13858,15962,14048,14880,13078,14670,14204,14558,13598,14705,14217,16800,14667,14701,15912,17719,17899,15213,15131,19553,18243,17753,17816,19541,14133,16209,14817,16106,15767,15646,14617,16062,14868,15743,15159,15805,13156,12748,13737
"47","39","    Autos","B144RX0",3332,4051,3644,4320,3866,3234,3233,4177,3481,3196,3070,3304,3175,3694,3314,3443,3449,3272,3413,3858,3201,3258,3769,3340,3074,3634,3842,3543,3271,3097,3288,3507,3567,3187,3054,3131,3262,3072,2921,3429,3765,3227,3516,3301,3366,3833,3945,3853,3617,4020,3564,4020,3852,3529,3564,3340,3215,2661,2839,2794,2558,2956,2594,2557,2509,2659,2625,2317,2111,2204
"48","40","      New autos","GAP810",1823,2634,2143,2950,2499,1739,1771,2967,2129,1825,1891,2009,1845,2557,2126,2311,2195,2032,2193,3016,2051,2164,2759,2287,1822,2503,2694,2330,2164,1991,2215,2520,2546,2035,1900,2138,2292,2043,1755,2416,2949,2137,2550,2303,2383,2934,3085,3079,2704,3194,2650,3276,3042,2736,2808,2471,2555,1836,2276,2088,1642,2364,1787,1853,1784,2185,2065,1474,1014,1288
"49","41","      Net transactions in used autos","GAP840",-449,-608,-481,-651,-583,-430,-456,-802,-562,-503,-657,-536,-496,-706,-589,-662,-565,-532,-560,-869,-585,-618,-701,-657,-481,-655,-693,-597,-609,-562,-591,-738,-719,-563,-550,-694,-770,-716,-598,-781,-950,-668,-765,-689,-708,-793,-833,-842,-721,-855,-699,-850,-766,-730,-811,-742,-851,-658,-899,-794,-646,-972,-752,-837,-849,-1057,-999,-725,-500,-621
"50","42","      Employee reimbursement","GAP870",1973,1990,1969,1962,1924,1945,1941,1977,1918,1894,1869,1844,1843,1838,1779,1794,1815,1771,1775,1713,1734,1712,1708,1715,1729,1781,1834,1806,1716,1666,1663,1731,1746,1715,1703,1687,1739,1744,1767,1794,1761,1760,1732,1686,1691,1695,1697,1622,1634,1685,1614,1611,1590,1527,1567,1600,1494,1440,1418,1453,1495,1514,1492,1477,1504,1475,1498,1494,1514,1463
"51","43","    Trucks","B708RX0",5948,6694,6545,7812,7986,6512,6331,6575,7428,7983,8928,6907,7425,9103,8276,9402,8448,7718,9382,10726,10296,9911,9076,9662,11457,9782,9150,9377,9915,10440,11207,10326,12394,10858,11842,9936,11405,11133,11642,10170,10942,10990,13284,11365,11334,12078,13774,14048,11597,11116,15985,14221,13899,14288,15981,10792,12997,12166,13277,12981,13097,11679,13469,12316,13234,12508,13185,10849,10639,11532
"52","44","      New trucks","W495RX0",6613,7329,7199,8473,8681,7227,7043,7289,8010,8666,9815,7623,8132,10021,8942,10211,9229,8448,10257,11653,11237,10703,9863,10548,12285,10611,9993,10254,10811,11400,12034,11250,13366,11654,12879,10917,12460,12387,12745,11173,12199,11962,14341,12482,12470,13188,14866,15167,12653,12409,17264,15445,15069,15285,17214,11800,14287,13384,14823,14330,14190,13402,14928,14023,14738,14028,14804,12468,11964,13229
"53","45","        Light trucks (including utility vehicles)","GOVLTD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3553,3479,3741,3817,4106,3834,4713,4014,4266,4899,4282,4068,5013,3898,4514,4871,5068,5121,5275,5291,4910,6149,6040,6020,6087,5134,6275,4462,5020,4122,4754,4321,3433,5216,4169,4679,3972,4077,4383,4142,3393,4500
"54","46","        Other trucks, buses, and truck trailers","QTKGHT0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7271,7954,8323,7447,9295,7837,8160,6897,8208,7471,8469,7102,7170,8065,9826,7627,7426,8084,9586,9860,7768,6405,11175,9441,9021,10061,10908,7346,9213,9116,9939,9841,10459,8213,10528,9251,10517,9763,10235,8241,8394,8654
"55","47","      Net transactions in used light trucks","W496RX0",-640,-629,-642,-670,-700,-690,-684,-689,-594,-685,-870,-700,-698,-902,-675,-811,-775,-723,-868,-928,-936,-803,-788,-880,-857,-832,-835,-869,-892,-954,-848,-921,-982,-809,-1037,-978,-1051,-1260,-1104,-1003,-1258,-972,-1057,-1116,-1137,-1110,-1091,-1116,-1059,-1312,-1267,-1219,-1164,-977,-1216,-1012,-1305,-1233,-1604,-1385,-1108,-1790,-1506,-1775,-1554,-1572,-1675,-1676,-1366,-1756
"56","48","  Net exports","AB63RX0",-60717,-60944,-52416,-51484,-54170,-60029,-60026,-55601,-66184,-65621,-64827,-60887,-65287,-69705,-70365,-81569,-90299,-92381,-98269,-99154,-105085,-103958,-108087,-106462,-107447,-104028,-103704,-101014,-104383,-106441,-109502,-110019,-102508,-106652,-101171,-106610,-108581,-111866,-106589,-102960,-98076,-100386,-101852,-108050,-111525,-111583,-105478,-113262,-100971,-92994,-99161,-87593,-90420,-83828,-63055,-56650,-38993,-40438,-57534,-67622,-63537,-76271,-77818,-74482,-77105,-53431,-78118,-79292,-89675,-86628
