"","Table 4#2#3U# Real Exports and Imports of Goods and Services by ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"21","14","    Nondurable goods","B691RA3",57.825,62.992,62.479,60.696,65.342,72.36,77.106,82.662,87.153,95.041,100,101.119,100.065,104.678,107.704
"22","15","  Other","B643RA3",117.247,112.368,108.124,114.966,104.18,105.205,114.736,120.348,118.082,107.263,100,100.774,84.768,90.333,93.646
"23","16","    Other durable goods n.e.c.","Y973RA3",118.282,113.671,109.399,115.335,104.359,103.45,113.787,119.266,117,106.324,100,101.55,85.19,90.754,94.032
"24","17","    Other nondurable goods","Y974RA3",116.242,111.102,106.885,114.607,104.007,106.91,115.659,121.399,119.132,108.176,100,100.021,84.358,89.925,93.27
"25","18","      Net exports of goods under merchanting","Y975RA3",47.107,23.939,21.581,90.196,92.357,224.746,179.496,194.137,191.826,171.324,100,48.774,55.946,61.754,67.369
"26","19","      Other other nondurable goods n.e.c.","Y976RA3",118.278,113.667,109.395,115.331,104.356,103.448,113.783,119.262,116.997,106.321,100,101.526,85.191,90.751,94.03
"27","20","Exports of services \1\","B646RA3",64.786,67.802,64.4,66.145,67.129,75.66,78.508,84.863,96.462,101.082,100,106.77,114.921,117.624,121.801
"28","21","  Transport","Y800RA3",97.183,96.929,88.627,88.557,82.447,87.49,91.032,97.028,105.738,110.525,100,105.914,108.866,110.619,116.261
"29","22","    Sea Transport","Y977RA3",104.926,102.743,98.885,102.64,94.503,96.01,96.779,112.472,122.478,125.487,100,111.099,111.506,113.08,113.171
"30","23","      Freight","Y978RA3",134.393,142.368,123.448,118.963,121.019,113.431,100.619,98.296,123.177,127.272,100,116.162,109.45,112.439,109.189
"31","24","      Port","Y979RA3",93.997,87.804,89.585,96.608,84.277,89.334,95.185,117.497,122.256,124.878,100,109.442,112.284,113.386,114.553
"32","25","    Air Transport","Y980RA3",96.143,96.764,85.828,84.167,78.143,83.689,88.551,92.001,101.12,106.853,100,104.865,108.855,110.182,118.447
"33","26","      Passenger","Y981RA3",111.882,113.259,95.556,87.987,72.887,78.537,83.715,87.495,93.29,103.844,100,102.314,109.392,112.859,122.03
"34","27","      Freight","Y982RA3",55.341,64.552,61.421,66.031,80.342,86.569,95.291,97.678,105.801,109.075,100,109.689,105.279,105.171,108.32
"35","28","      Port","Y983RA3",110.867,94.008,92.449,100.333,94.482,98.767,97.278,101.141,123.954,114.662,100,107.263,111.494,105.915,118.629
"36","29","    Other modes of transport","Y984RA3",88.977,86.541,88.06,90.813,90.049,101.944,100.608,102.107,102.11,102.016,100,100.242,99.301,106.892,98.956
"37","30","  Travel","Y801RA3",111.46,115.578,98.983,93.268,89.002,98.264,93.93,92.959,101.356,108.698,100,110.823,116.114,120.635,128.395
"38","31","    Business","Y985RA3",149.182,155.502,129.723,119.073,108.833,117.491,113.164,111.663,117.5,120.625,100,105.036,101.891,96.579,96.093
"39","32","      Expenditure of seasonal, border, and other short-term workers","Y986RA3",120.498,116.099,122.5,130.454,129.19,135.874,133.339,131.684,116.859,121.215,100,89.895,85.841,86.947,91.261
"40","33","      Other business travel","Y987RA3",155.795,164.589,131.388,116.447,104.135,113.249,108.508,107.042,117.648,120.489,100,108.53,105.594,98.801,97.206
"41","34","    Personal","Y988RA3",94.501,97.616,85.2,81.727,80.149,89.679,85.339,84.607,94.169,103.41,100,113.356,122.337,131.158,142.522
"42","35","      Education related","Y989RA3",84.536,87.64,93.088,97.285,96.392,91.878,88.909,87.877,90.573,95.991,100,103.203,107.043,113.364,123.235
"43","36","      Health-related","Y990RA3",95.225,99.819,92.307,83.805,83.955,85.317,96.55,100.136,100.056,100.038,100,99.894,99.747,99.702,99.604
"44","37","      Other personal travel","Y991RA3",96.64,99.696,82.481,77.087,75.243,89.363,84.005,83.196,95.106,105.838,100,117.238,128.298,138.335,150.723
"45","38","  Charges for the use of intellectual property n.e.c.","B684RA3",61.765,65.387,61.196,65.6,67.653,77.529,82.968,90.06,102.38,103.572,100,107.592,120.398,120.423,122.48
"46","39","  Other business services","Y802RA3",35.118,37.892,41.795,46.55,50.88,59.176,63.449,72.914,88.159,94.606,100,106.377,114.393,118.122,121.533
"47","40","    Maintenance and repair services","Y992RA3",44.998,54.672,64.794,67.354,62.535,56.535,70.111,69.045,78.655,79.198,100,106.984,101.451,107.028,114.874
"48","41","    Insurance services","Y993RA3",32.633,40.468,38.799,54.099,70.897,85.308,84.476,90.05,90.14,96.635,100,98.788,102.907,116.161,119.97
"49","42","    Financial services","Y994RA3",26.332,31.788,35.725,43.08,48.402,61.236,63.419,73.226,89.093,91.794,100,105.272,108.219,103.412,105.567
"50","43","    Telecommunications, computer, and information services","Y995RA3",10.784,12.948,15.556,16.623,24.305,32.758,42.973,56.351,87.812,102.286,100,126.62,160.699,181,193.645
"51","44","    Other other business services","Y996RA3",54.353,52.38,55.954,59.927,59.529,64.447,66.58,75.804,88.404,96.379,100,103.639,112.649,117.953,119.995
"52","45","  Government goods and services n.e.c.","Y803RA3",57.481,63.422,56.511,51.097,54.928,69.184,83.319,101.585,107.331,91.976,100,92.749,111.202,112.138,112.406
"53","46","  Other","B980RA3",86.582,86.421,80.221,80.234,80.753,81.243,81.668,80.861,79.389,83.534,100,93.439,107.982,104.203,99.276
"54","47","    Imports of goods and services","B021RA3",77.463,87.547,85.064,88.181,92.119,102.63,109.129,116.028,118.951,115.907,100,112.716,118.883,121.653,123.048
"55","48","Imports of goods \1\","B255RA3",80.923,91.518,88.563,91.876,96.397,107.159,114.311,121.069,123.302,118.711,100,114.869,121.496,124.071,125.227
"56","49","  Foods, feeds, and beverages","B647RA3",71.986,76.685,80.129,84.404,90.901,96.411,99.767,105.934,107.242,106.024,100,102.283,104.214,108.094,112.302
"57","50","  Industrial supplies and materials, except petroleum and products","B649RA3",107.926,114.963,110.834,114.207,115.872,133.781,142.443,148.627,142.84,132.283,100,114.567,121.863,124.836,126.865
"58","51","    Durable goods","B820RA3",115.33,123.007,115.753,121.902,123.011,147.632,157.83,172.802,156.288,143.052,100,114.905,124.26,130.979,134.353
"59","52","    Nondurable goods","B696RA3",100.714,107.119,105.825,106.671,108.812,120.684,127.929,126.266,130.633,122.539,100,114.243,119.472,118.723,119.45
"60","53","  Petroleum and products","B648RA3",97.292,100.842,103.813,101.39,108.159,115.309,117.629,115.416,112.679,108.809,100,100.485,98.592,90.585,84.098
"61","54","  Capital goods, except automotive","B650RA3",68.42,82.197,72.858,71.736,75.936,89.466,99.634,110.925,118.394,120.332,100,121.326,137.998,148.003,151.083
"62","55","    Civilian aircraft, engines, and parts","B932RA3",114.483,122.736,140.31,111.615,103.094,100.725,102.929,109.195,125.87,122.262,100,99.354,108.598,116.464,133.701
"63","56","    Computers, peripherals, and parts","B852RA3",42.667,49.926,45.395,50.062,54.598,67.675,77.366,90.781,99.731,101.45,100,126.944,136.35,141.664,141.304
"64","57","    Other","B853RA3",76.411,94.055,79.736,77.505,82.526,97.393,108.357,118.987,124.742,127.387,100,121.966,142.194,154.081,156.37
"65","58","  Automotive vehicles, engines, and parts","B651RA3",123.08,133.137,128.778,137.922,141.509,151.445,157.13,167.813,167.806,147.909,100,140.868,154.416,176.745,183.851
"66","59","  Consumer goods, except food and automotive","B652RA3",58.048,68.35,69.458,76.143,82.95,92.217,99.742,107.762,113.972,112.592,100,112.924,118.038,117,120.635
"67","60","    Durable goods","B697RA3",55.654,66.817,66.239,74.054,79.862,92.496,102.526,110.976,118.636,117.2,100,116.658,121.138,122.589,129.826
"68","61","    Nondurable goods","B698RA3",60.897,70.155,73.281,78.628,86.608,92.001,96.691,104.234,108.812,107.493,100,108.876,114.661,111.021,110.969
"69","62","  Other","B653RA3",102.246,114.385,116.865,120.47,114.153,113.906,118.343,118.825,118.869,105.617,100,113.188,113.706,119.141,123.011
"70","63","Imports of services \1\","B656RA3",62.471,70.353,69.9,72.183,73.71,83.078,86.821,94.297,100.156,103.91,100,103.79,107.976,111.652,114.134
"71","64","  Transport","Y804RA3",103.765,112.379,102.886,99.325,102.112,114.44,120.193,124.018,125.955,121.054,100,106.477,109.939,113.081,119.759
"72","65","    Sea Transport","Y997RA3",87.698,101.8,98.852,102.589,111.458,124.853,134.864,142.598,144.782,131.044,100,117.483,118.978,128.258,141.591
"73","66","      Freight","Y998RA3",83.747,99.919,97.986,101.452,111.644,126.521,137.091,144.104,146.134,131.385,100,118.66,120.283,129.876,143.178
"74","67","      Port","Y999RA3",156.435,135.615,116.028,124.24,111.36,98.942,99.264,119.598,124.23,126,100,100.755,100.383,105.156,118.862
"75","68","    Air Transport","Y810RA3",119.503,123.833,108.911,99.76,97.912,110.096,111.763,112.652,114.855,115.827,100,99.866,104.28,103.868,107.647
"76","69","      Passenger","Y811RA3",128.732,136.994,116.309,96.112,98.778,117.765,119.865,120.006,116.373,117.342,100,95.914,102.032,105.881,111.269
"77","70","      Freight","Y812RA3",121.823,140.012,121.048,144.069,132.076,148.395,140.785,141.502,141.308,121.24,100,117.407,109.7,104.681,107.654
"78","71","      Port","Y813RA3",99.198,90.03,87.837,88.209,81.361,78.966,83.701,85.978,99.997,110.362,100,100.016,106.728,98.855,99.21
"79","72","    Other modes of transport","Y814RA3",87.068,94.837,87.037,85.797,90.719,98.845,111.172,114.442,112.266,108.181,100,104.925,111.065,113.808,110.243
"80","73","  Travel","Y805RA3",105.162,118.655,110.291,104.965,99.916,112.868,115.166,115.339,112.91,109.905,100,104.144,104.958,117.216,120.356
"81","74","    Business","Y815RA3",156.249,170.254,152.138,137.057,125.033,139.601,137.849,132.715,127.612,115.514,100,108.348,102.638,100.085,104.204
"82","75","      Expenditure of seasonal, border, and other short-term workers","Y816RA3",47.865,52.371,56.166,45.104,64.626,71.04,72.099,89.743,91.939,93.013,100,103.196,105.376,108.704,111.598
"83","76","      Other business travel","Y817RA3",162.262,176.793,157.462,142.158,128.384,143.404,141.496,135.099,129.59,116.762,100,108.634,102.487,99.606,103.793
"84","77","    Personal","Y818RA3",89.148,102.494,97.195,94.931,92.068,104.515,108.081,109.911,108.318,108.157,100,102.843,105.67,122.483,125.323
"85","78","      Education related","Y819RA3",62.154,73.426,77.39,84.476,90.311,93.281,99.701,102.682,100.882,106.932,100,100.549,101.979,102.03,104.035
"86","79","      Health-related","Y820RA3",30.149,31.518,29.887,26.76,27.54,65.084,74.906,80.69,85.4,91.561,100,108.341,114.717,123.203,132.815
"87","80","      Other personal travel","Y821RA3",92.127,105.815,99.767,96.774,93.156,106.03,109.27,110.947,109.281,108.511,100,102.969,105.871,124.493,127.296
"88","81","  Charges for the use of intellectual property n.e.c.","B908RA3",54.111,65.869,64.765,74.655,72.087,86.047,89.585,84.848,87.166,94.423,100,102.427,110.756,119.189,116.323
"89","82","  Other business services","Y806RA3",29.267,33.818,38.061,41.612,45.371,52.692,57.558,73.69,87.563,99.122,100,103.217,110.875,111.765,115.803
"90","83","    Maintenance and repair services","Y822RA3",30.664,60.924,47.22,52.607,52.304,51.442,59.507,83.934,91.897,92.346,100,108.398,118.938,114.692,109.129
"91","84","    Insurance services","Y823RA3",21.198,27.1,39.537,45.789,49.925,58.747,59.836,72.132,82.361,97.063,100,93.371,85.376,85.244,87.195
"92","85","    Financial services","Y824RA3",50.162,70.25,73.948,70.42,69.532,83.91,86.205,100.667,124.692,112.016,100,100.832,107.346,102.404,104.799
"93","86","    Telecommunications, computer, and information services","Y825RA3",10.743,12.137,13.924,14.468,20.878,28.783,40.923,59.948,89.996,100.704,100,135.543,166.788,167.561,176.168
"94","87","    Other other business services","Y826RA3",44.361,44.211,45.47,51.169,51.441,54.836,57.481,74.458,82.581,98.212,100,101.469,116.679,120.312,126.158
"95","88","  Government goods and services n.e.c.","Y827RA3",77.739,84.9,88.387,106.232,108.627,108.314,105.307,100.404,92.766,88.379,100,103.421,96.136,89.104,77.742
"96","89","  Other","Y828RA3",99.746,106.406,110.874,111.567,111.639,115.244,108.931,109.025,113.071,104.362,100,95.04,91.262,92.73,91.222
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
