"","Table 4#2#4U# Price Indexes for Exports and Imports of Goods and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"36","28","      Port","Y983RG3",59.296,63.06,65.319,67.92,72.125,72.082,76.179,79.636,75.373,74.849,74.439,69.964,69.807,71.984,73.712,74.829,78.291,74.908,75.162,76.157,88.561,88.783,88.605,89.724,90.059,90.491,92.436,92.801,93.85,94.189,93.999,93.086,93.916,94.286,94.863,95.576,96.306,97.484,97.976,97.661,98.045,99.548,101.071,101.564,102.943,102.734,102.898,103.064,104.111,104.328,104.511,104.886,105.711,105.477,106.14,106.367,106.246,107.036,107.09,107.661,107.944,108.446,109.199
"37","29","    Other modes of transport","Y984RG3",81.793,82.591,82.222,83.013,84.177,85.319,84.139,84.781,85.172,85.181,85.696,85.524,86.096,87.333,87.006,86.854,87.741,86.669,88.006,88.223,87.601,88.553,90.071,91.302,91.973,93.331,93.804,95.797,96.842,97.182,97.984,97.596,97.85,99.457,100.106,101.096,103.475,106.718,109.25,105.841,101.234,99.447,99.713,99.787,101.705,103.511,104.229,105.415,106.095,109.744,110.544,110.489,111.803,113.689,112.864,114.197,114.566,115.509,115.037,115.226,116.51,117.257,117.667
"38","30","  Travel","Y801RG3",67.902,68.817,69.524,70.132,71.294,71.993,72.647,73.251,73.373,73.593,73.066,72.288,72.486,73.115,73.28,73.951,74.697,74.47,75.61,76.332,77.083,77.971,78.717,79.881,88.419,89.02,90.828,92.117,93.043,94.467,95.455,94.355,95.651,97.395,98.576,100.178,101.539,103.213,105.184,100.592,99.13,98.665,100.288,101.918,102.472,102.588,103.033,104.344,106.46,108.289,109.297,109.409,110.828,111.362,111.625,112.108,112.461,111.726,112.993,112.664,113.485,115.02,115.346
"39","31","    Business","Y985RG3",70.475,71.463,72.217,72.852,74.118,74.817,75.484,76.106,76.132,76.253,75.455,74.307,74.348,74.901,74.886,75.491,76.173,75.648,76.666,77.255,77.88,78.722,79.375,80.525,90.622,91.114,93.097,94.435,95.294,96.748,97.677,96.115,97.437,99.295,100.491,101.937,103.594,104.993,106.899,101.685,99.162,98.65,100.276,101.912,102.438,102.522,102.952,104.243,106.367,108.19,109.196,109.278,110.716,111.233,111.488,111.958,112.293,111.539,112.794,112.439,113.142,114.682,115.03
"40","32","      Expenditure of seasonal, border, and other short-term workers","Y986RG3",70.529,71.515,72.273,72.922,74.211,74.914,75.564,76.15,76.118,76.21,75.414,74.293,74.39,74.978,74.977,75.577,76.231,75.688,76.698,77.289,77.928,78.783,79.449,80.614,90.738,91.239,93.226,94.56,95.406,96.848,97.763,96.186,97.494,99.347,100.545,102.001,103.678,105.092,107.009,101.792,99.266,98.75,100.373,102.005,102.524,102.607,103.04,104.341,106.482,108.316,109.327,109.408,110.839,111.351,111.601,112.068,112.402,111.646,112.901,112.545,113.249,114.79,115.138
"41","33","      Other business travel","Y987RG3",70.446,71.431,72.188,72.836,74.123,74.825,75.475,76.06,76.029,76.121,75.325,74.206,74.302,74.89,74.889,75.487,76.141,75.599,76.607,77.198,77.836,78.69,79.356,80.519,90.631,91.131,93.116,94.449,95.294,96.734,97.648,96.073,97.379,99.23,100.427,101.881,103.556,104.968,106.883,101.672,99.149,98.634,100.255,101.885,102.403,102.486,102.919,104.218,106.356,108.189,109.198,109.279,110.709,111.22,111.469,111.936,112.27,111.514,112.768,112.412,113.115,114.655,115.002
"42","34","    Personal","Y988RG3",66.437,67.306,67.985,68.577,69.672,70.374,71.022,71.618,71.808,72.098,71.75,71.21,71.509,72.189,72.472,73.187,73.976,73.926,75.139,75.942,76.769,77.684,78.483,79.658,87.313,87.978,89.686,90.95,91.919,93.329,94.353,93.513,94.794,96.476,97.652,99.344,100.554,102.377,104.378,100.081,99.123,98.672,100.289,101.915,102.485,102.616,103.068,104.388,106.499,108.33,109.339,109.462,110.874,111.413,111.679,112.167,112.525,111.796,113.067,112.746,113.602,115.134,115.454
"43","35","      Education related","Y989RG3",57.021,57.569,58.015,58.461,59.029,59.732,60.271,60.795,61.445,62.196,62.99,63.721,64.513,65.445,66.387,67.296,68.328,69.268,70.9,72.208,73.56,74.704,75.951,77.295,78.396,79.608,80.684,81.72,82.879,84.079,85.311,86.333,87.489,88.611,89.615,92.078,91.742,95.217,97.709,95.707,99.17,98.655,100.277,101.907,102.425,102.508,102.941,104.241,106.379,108.212,109.222,109.302,110.732,111.243,111.493,111.96,112.294,111.538,112.792,112.437,113.766,115.244,115.408
"44","36","      Health-related","Y990RG3",51.917,52.375,53.003,53.654,54.447,55.374,56.495,57.188,58.068,59.078,60.029,61.12,62.541,64.149,65.382,66.99,67.982,68.669,70.148,71.298,72.226,73.106,74.075,74.978,76.111,77.033,77.743,78.981,80.402,81.981,83.184,84.17,85.236,86.805,88.645,90.759,92.271,93.324,94.658,95.855,97.572,99.186,100.826,102.42,104.631,106.371,107.502,109.525,110.632,112.432,113.483,115.304,116.173,117.948,118.985,120.43,121.906,122.413,124.434,125.649,127.446,129.203,130.031
"45","37","      Other personal travel","Y991RG3",70.43,71.415,72.172,72.82,74.107,74.809,75.459,76.043,76.012,76.104,75.308,74.189,74.286,74.873,74.872,75.471,76.125,75.582,76.59,77.181,77.819,78.672,79.338,80.501,90.611,91.111,93.096,94.428,95.273,96.713,97.626,96.052,97.358,99.208,100.404,101.858,103.533,104.945,106.859,101.65,99.127,98.612,100.233,101.863,102.381,102.464,102.896,104.195,106.333,108.165,109.174,109.254,110.684,111.195,111.445,111.911,112.245,111.489,112.743,112.388,113.09,114.629,114.977
"46","38","  Charges for the use of intellectual property n.e.c.","B684RG3",77.932,78.34,78.702,79.132,79.864,80.302,80.739,81.169,81.689,82.162,82.372,82.477,82.71,83.241,83.604,84.124,84.939,84.993,85.477,85.916,86.774,87.547,88.246,89.076,89.878,90.58,91.688,92.619,93.258,94.072,94.738,94.967,96.01,96.766,97.247,98.143,99.159,100.247,101.272,100.13,99.546,99.608,100.062,100.66,101.102,101.264,101.604,102.208,103.066,103.966,104.558,104.789,105.447,105.637,106.033,106.452,106.777,106.84,107.337,107.769,108.145,108.676,109.063
"47","39","  Other business services","Y802RG3",110.264,109.885,106.449,103.093,104.473,103.836,105.469,102.393,102.213,99.739,99.128,97.682,96.988,98.779,96.988,94.838,95.041,95.244,96.126,94.209,94.168,94.723,95.511,95.095,96.155,95.964,95.914,96.014,97.654,97.61,99.109,97.896,98.484,97.882,99.404,99.767,101.014,101.11,102.598,100.857,99.457,98.499,100.503,101.54,101.035,101.359,100.51,101.237,102.735,103.876,103.942,102.956,103.885,104.478,104.287,105.222,105.685,106.211,106.844,107.787,108.426,108.396,109.342
"48","40","    Maintenance and repair services","Y992RG3",70.146,70.146,70.146,70.146,70.542,71.008,71.129,71.129,71.181,71.733,71.44,70.646,70.542,70.991,71.181,70.974,71.492,71.888,72.561,73.183,74.943,78.032,79.585,80.689,82.104,83.916,86.297,88.126,89.3,92.751,93.821,91.802,92.596,95.719,96.237,97.099,99.136,105.365,110.904,103.018,98.221,98.86,100.637,101.983,105.21,107.729,106.78,108.954,113.234,118.238,118.359,116.202,117.03,117.772,116.72,116.288,117.772,117.824,117.651,116.771,118.179,119.541,119.87
"49","41","    Insurance services","Y993RG3",68.253,66.843,63.471,58.641,66.488,66.37,61.223,53.665,61.959,59.524,60.356,60.24,56.273,55.788,55.973,55.838,57.5,57.712,57.918,57.907,58.278,60.232,58.054,58.676,61.18,61.314,61.485,61.58,71.976,70.412,74.117,71.379,83.894,81.992,81.264,82.833,96.001,93.66,94.71,96.129,99.143,99.167,100.666,101.075,103.644,101.13,98.787,96.803,99.137,100.891,101.757,100.969,101.074,98.417,96.147,95.175,93.913,92.499,91.324,90.317,90.531,90.628,90.886
"50","42","    Financial services","Y994RG3",122.086,116.564,112.128,109.2,109.181,108.636,108.859,105.298,101.16,95.009,93.966,90.656,90.26,87.634,87.634,87.49,87.49,89.685,90.26,89.613,90.779,91.344,92.651,93.929,96.96,97.317,97.733,98.238,99.248,100.912,102.16,103.349,104.71,105.602,107.563,109.524,108.87,106.79,106.909,103.611,99.362,97.193,99.808,103.67,103.705,106.528,106.439,109.529,112.233,113.719,113.214,109.708,112.382,115.116,114.967,117.374,119.009,122.839,124.683,127.785,129.935,130.503,133.26
"51","43","    Telecommunications, computer, and information services","Y995RG3",536.878,548.709,469.107,396.432,404.466,382.68,425.489,376.427,374.695,349.73,338.305,325.185,315.453,377.02,321.588,266.791,257.673,247.552,254.466,218.113,201.078,194.734,197.443,176.487,167.933,157.598,146.407,138.851,139.136,127.233,132.08,117.396,104.402,92.643,99.057,92.002,91.717,92.572,97.632,98.059,99.841,96.848,103.974,99.556,90.809,86.176,80.474,77.195,76.767,76.411,75.698,76.055,75.007,74.409,73.693,74.808,74.171,71.722,71.8,72.15,71.103,68.427,68.621
