"","Table 4AU1# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"11","2","  Durable goods","STMDM0",43705,43040,44058,44906,45343,46732,47642,46575,47302,46771,46790,48586,48538,47173,48210,48233,48458,50201,49161,48253,47526,46791,48927,49865,50519,52353,55457,59124,60173,62771,65707,69048,69674,67342,65504,63938,65182,65923,66639,67807,68238,70260,70367,69532,68984,70630,73239,73473,75202,75780,76656,78345,79134,78866,77093,77081,78035,77695,78521,77468,75769,74540,72896,71154,68341,68997,69771,71482,73152,74969,77723,77366,76394,76040,75260,75202,73489,73846,73501,73804,73714,74583,73725,74498,75354,76210,77501,77462,79298,79048,79704,79393,79439,79675,79636,81034,81172,79118,79631,79662,78951,79614,79932,78836,79390,79963,81110,82046,81763,83168,84617,86286,86970,88954,90945,92964,95376,94847,96820,96703,98331,100567,103501,105142
"12","3","    Lumber and wood products","ST24M0",3204,3204,2826,3066,3022,2873,2978,3015,3092,3434,3793,3788,3913,3966,3920,3930,4053,4352,4592,4458,4582,4631,4482,4449,4155,4275,4322,4481,4154,4489,5027,4683,4512,4302,4334,4467,4641,4801,4814,4909,5101,5218,4808,4951,5085,5102,5125,5051,5000,5028,5080,5406,5325,5511,5559,5407,5501,5434,5498,5228,4945,5005,4760,4776,4766,4766,5080,5166,5217,5248,5548,5342,5283,5125,5165,5346,5396,5392,5493,5477,5483,5687,5237,5306,5488,5557,5341,5376,5372,5327,5475,5220,5044,5082,5111,5200,5276,4854,4945,4933,5007,5232,5071,4886,4763,5068,5407,5474,5580,5743,5610,5423,5152,5095,5381,5541,5726,5474,5395,5440,5290,5335,5530,5667
"13","4","    Furniture and fixtures","ST25M0",1694,1642,1634,1733,1775,1847,1901,1806,1830,1944,1997,2022,2034,1994,2002,2110,2093,2218,2176,2183,2230,2237,2323,2453,2565,2756,2796,2869,2874,2878,2788,2794,2647,2466,2366,2467,2599,2608,2563,2620,2602,2710,2686,2739,2759,2800,2898,2885,3002,3011,3103,3008,3088,3019,2898,2892,2932,2964,3033,2983,2941,2964,2847,2794,2673,2770,2915,3034,3097,3144,3246,3331,3419,3382,3319,3402,3295,3266,3220,3403,3392,3480,3543,3621,3834,3793,3782,3677,3694,3756,3809,3746,3719,3773,3687,3710,3667,3466,3450,3504,3477,3522,3529,3512,3480,3565,3600,3570,3641,3655,3763,3752,3830,3752,3665,3686,3628,3599,3659,3674,3663,3798,3791,3841
"14","5","    Stone, clay, and glass products","ST32M0",2317,2324,2263,2270,2236,2190,2289,2415,2552,2641,2560,2508,2557,2497,2652,2723,2545,2675,2602,2518,2574,2596,2656,2645,2634,2759,2983,3297,3614,3939,4165,4298,4396,4397,4264,4290,4366,4214,4221,4292,4460,4579,4706,4689,4686,4746,4971,4974,4877,4893,4683,4884,4865,4800,4599,4792,4781,4871,4833,4653,4635,4420,4279,4200,4235,4142,4193,4208,4213,4359,4567,4513,4415,4526,4493,4427,4369,4441,4380,4394,4471,4350,4280,4348,4363,4393,4400,4366,4471,4380,4393,4437,4372,4450,4469,4516,4493,4478,4453,4466,4363,4365,4389,4438,4302,4316,4259,4235,4352,4256,4382,4404,4497,4639,4715,4560,4651,4615,4659,4686,4743,4816,4830,4916
"15","6","    Primary metals","ST33M0",11142,11476,11206,11221,10928,11100,11411,11164,11029,10744,10733,10680,11019,11121,11502,11664,11581,11571,11914,11863,12109,11866,11896,11792,11312,11288,11648,12214,12212,13168,14199,15540,17180,17655,17649,17315,18030,18002,18177,18728,19304,19332,18943,18094,16783,16960,17161,17143,16701,16762,17040,17515,17728,18084,17292,16739,17487,16717,17304,17674,17744,16930,15900,15044,14193,13789,13305,13860,13761,14000,14677,13692,12686,12591,12314,11700,11283,11179,10742,10944,10556,10180,10140,10496,11054,11055,11187,11334,11440,11661,11815,11576,11537,11476,11426,11394,11516,11239,11365,11203,10916,10937,10921,11063,11129,11281,11026,11203,10888,11067,11155,11342,11373,11263,11061,10901,10970,11031,11403,11444,11482,11562,11852,12095
"16","7","    Fabricated metals","ST34M0",9601,9298,9448,9853,10528,11942,11976,11849,11268,10618,10334,10579,10759,9578,9943,9663,10215,11882,11107,10224,9009,8503,10236,10111,10889,11276,12158,12769,13357,14280,14448,15670,16173,15074,14066,13657,13636,13584,14249,14575,14532,15346,15187,14685,14752,14992,15342,15426,15755,15898,15961,15803,15763,15297,14531,14623,14709,14346,14667,14312,13667,13330,13170,12592,12265,12380,12759,12731,13035,13388,13490,13522,13207,12889,12960,13092,13152,13544,12970,12906,12818,12884,12961,13228,13218,13440,13515,13563,14093,13589,13832,13384,13446,13221,13347,13063,13367,12645,12689,12487,12358,12663,12657,12608,12575,12197,12590,13017,12441,12791,13309,13654,13641,14017,13640,13461,14059,13766,13888,14088,14322,14290,14446,14789
"17","8","    Industrial machinery","ST35M0",3612,3507,3590,3759,3604,3860,3940,3971,4229,4356,4588,4893,4715,4748,4798,4948,5147,5224,5042,4882,4714,4652,4772,5095,5380,5819,6304,6748,7096,7644,8168,8726,9168,8892,8667,8009,8133,8094,8101,8095,7980,7942,8070,8282,8429,8807,9149,9277,9447,9615,9827,10365,10588,10688,10737,10658,10533,10728,10938,10999,10941,10832,10585,10387,10185,10205,10007,10012,10236,10351,10906,10648,10629,10663,10323,10154,9705,9780,9829,9817,9828,10095,10018,10329,10545,10714,11265,11145,11578,11499,11639,11509,11542,11622,11554,11751,11847,11512,11395,11258,11100,11153,11660,11777,12068,12558,12589,12955,13088,13719,14194,14585,15042,15347,16391,17469,17930,17970,18451,17945,18414,18942,19418,19817
"18","9","    Electronic machinery","ST36M0",2360,2268,2331,2398,2446,2537,2536,2457,2577,2671,2708,2864,2883,2859,2812,2665,2624,2611,2548,2568,2531,2518,2642,2766,2961,3245,3595,3894,4134,4325,4387,4384,4242,3916,3619,3588,3557,3697,3853,3977,4110,4202,4308,4338,4408,4684,4904,4983,5283,5544,5397,5631,5783,5806,5868,5842,5878,6049,6122,5992,5751,5617,5533,5496,5368,5448,5547,5797,5901,6181,6464,6649,6712,6537,6423,6342,6241,6335,6260,6089,6142,6342,6235,6246,6167,6192,6248,6338,6436,6439,6675,6817,6882,6778,6724,6635,6604,6681,6843,6961,6979,7059,7031,7190,7283,7398,7650,7665,8000,8227,8382,8832,9336,9777,10376,10344,10445,10675,10819,11076,11516,12093,12618,12857
"19","10","    Transportation","ST37M0",12831,12420,13733,13680,14125,14072,14530,13410,13572,12662,12147,13511,12865,12133,12671,12629,12377,12579,11917,12058,11923,11538,12285,12548,12331,12581,13271,14504,13669,12949,13664,14650,13686,13018,13031,12797,13199,13785,13557,13776,13401,14761,15099,14623,14536,14732,16061,15786,16972,16463,17299,17356,17170,16714,15622,16363,16888,16498,16175,15399,14540,14681,14594,14525,13246,14029,14497,15280,16488,16463,16862,17359,16780,17166,17515,18238,17754,17739,18332,18606,18757,18527,18132,17839,17879,18355,18521,17885,18132,18030,17526,18010,17543,18073,18197,19900,19633,18907,18927,18803,18546,18222,17969,16484,16871,16372,16557,16455,15839,15820,15869,15707,15283,15671,15505,16317,17002,16254,16509,16289,16443,16714,17519,17396
"20","11","      Motor vehicles","ST371M0",6640,5982,6611,6327,6814,6817,7386,6916,7085,6813,6758,7042,6798,6264,6414,6771,6637,7538,6944,6722,7107,6510,7321,7611,7174,7515,7887,8825,7796,7663,7826,8404,7198,6686,6758,6805,7284,7969,7870,8311,8520,8766,9333,9143,8866,9201,9924,9424,10711,10103,10587,9800,9183,8322,7170,7800,7971,7523,7292,6655,6018,5874,5625,5575,5322,5621,5870,6357,6884,6996,7190,7429,7296,7394,7485,7621,7208,7005,7023,6883,6978,6845,6736,6853,6610,6754,6899,6514,6766,6695,6502,6521,6533,6763,6486,7124,7201,6959,6879,7260,7344,7486,7739,7480,7413,7577,8006,7882,7968,8299,8481,8551,8365,8481,8473,8863,9448,8846,8613,8783,8953,9052,8998,9047
"21","12","      Other","ST37XM0",6185,6370,7047,7245,7234,7181,7106,6470,6470,5850,5408,6450,6057,5850,6230,5854,5734,5068,4990,5342,4836,5037,4983,4959,5175,5087,5407,5705,5902,5311,5871,6283,6550,6399,6338,6050,5959,5840,5710,5468,4857,6011,5756,5462,5669,5513,6127,6378,6227,6351,6704,7625,8105,8568,8676,8769,9138,9216,9128,9007,8799,9108,9290,9271,8191,8692,8914,9206,9907,9752,9961,10223,9751,10056,10328,10951,10900,11117,11734,12189,12243,12148,11846,11397,11716,12065,12079,11831,11813,11783,11462,11958,11445,11755,12196,13304,12935,12428,12536,11993,11629,11135,10598,9317,9793,9096,8834,8858,8122,7751,7609,7365,7119,7402,7236,7672,7770,7623,8133,7728,7817,7966,8910,8612
"22","13","    Instruments","ST38M0",1793,1791,1784,1804,1806,1793,1810,1851,1906,1930,1939,1886,1954,1950,1957,1973,1957,1974,1971,1941,2014,2041,2074,2099,2108,2113,2196,2277,2401,2509,2559,2590,2486,2476,2470,2499,2467,2507,2510,2538,2538,2564,2619,2606,2650,2668,2710,2780,2882,2950,2957,2957,3034,3015,3079,3075,3081,3123,3087,3093,3113,3049,3056,2977,2763,2788,2954,3048,3073,3335,3356,3350,3421,3424,3372,3372,3332,3298,3270,3294,3245,3331,3396,3384,3374,3362,3461,3679,3860,3982,3935,3916,4101,4097,4117,4131,4133,4180,4258,4437,4411,4519,4582,4517,4464,4436,4454,4465,4460,4468,4495,4710,4668,4863,5058,5238,5514,5673,5950,5965,6193,6390,6657,6813
"23","14","    Other manufacturing","ST39M0",1791,1839,1835,1843,1774,1817,1826,1958,2180,2222,2214,2181,2297,2238,2313,2349,2349,2416,2526,2475,2486,2571,2453,2506,2481,2413,2496,2802,3094,3216,3428,3468,3232,3046,2828,2683,2844,2902,2952,2900,2985,2936,2948,3004,2828,2950,2992,3011,2963,2940,2855,2823,2919,2869,2851,2778,2831,2846,2836,2757,2790,2840,2906,2769,2777,2780,2701,2718,2634,2768,2942,3100,3236,3118,3126,3094,3033,2942,2900,3083,3153,3406,3237,3203,3210,3248,3326,3295,3241,3170,3279,3224,3308,3297,3295,3305,3265,3218,3307,3310,3363,3473,3396,3336,3315,3400,3474,3561,3517,3244,3264,3316,3165,3254,3143,3168,3123,3121,3296,3264,3301,3310,3353,3437
"24","15","  Nondurable goods","STMNM0",47413,48013,48698,48474,48321,49215,50249,50568,50356,51006,51827,51149,51328,50881,50447,51653,51007,51310,51673,52842,53129,54167,54553,54368,56417,57429,58061,59214,60421,62773,63608,63988,63336,61206,61127,63962,64112,65163,66771,67698,68062,69748,70638,69471,69217,69713,69758,70364,70597,69676,70342,70041,71930,72404,71010,70862,70966,70671,70999,71189,71594,71908,71485,71208,70111,70795,71478,72158,72948,73969,75078,73553,73096,73374,71666,72575,72321,72635,72500,73731,73627,74745,75867,76022,77364,77945,78265,78019,77410,77830,78395,78716,79567,79356,79921,80207,81364,81240,81656,82989,83021,83462,84060,84291,84318,85518,85065,85229,85092,85430,86456,86916,88301,88947,88527,87620,86892,85797,85810,86263,87880,88607,89042,89472
"25","16","    Food and kindred products","ST20M0",10792,10812,10984,11146,10933,10959,11521,11325,10896,11319,11396,10988,10832,10549,10599,11285,10738,10685,11111,11479,11744,12154,11753,11388,11978,12067,12242,12159,12027,12342,11947,11825,11831,11483,11760,13105,12869,13206,13936,14563,15113,15845,16232,14414,14173,14228,14066,13971,14038,13762,13785,14444,14593,14747,14323,14350,14086,13954,14473,14134,13910,14152,13918,14070,14220,13548,14306,13932,13916,13630,13506,13734,13694,14083,13993,14131,13818,14068,14158,14220,14430,14759,15218,14917,15077,15426,15113,15026,14874,14571,14750,15101,15051,15070,15551,15555,15762,16095,16375,16305,16724,16676,16618,16619,16583,17062,16508,16384,16260,16579,16943,16750,16833,16800,16875,16672,16434,15706,15831,16077,16209,16241,16619,16497
"26","17","    Tobacco products","ST21M0",7276,7319,7385,7384,7261,7173,6880,6914,6798,6865,6890,6589,6510,6412,6245,5987,5950,5858,5743,5919,5986,6001,6225,6455,6229,6398,6454,6464,6678,6786,6930,7508,7584,7706,7584,7948,8208,8102,8209,7941,7853,7858,7920,7786,7542,7426,7219,7442,7351,7354,7101,6700,6715,6744,6908,6635,6776,6360,6690,7097,7553,8338,8255,8345,7867,8345,8344,7953,7526,7380,7645,7480,7213,7020,6918,6848,6753,6447,6113,6649,6659,6977,6745,6437,6407,6269,6247,6212,6006,6170,6392,6601,6653,6538,6499,6557,6694,6761,6756,6916,6867,7028,7212,7051,6994,7013,7086,6840,6776,6665,6362,6220,6244,6322,6509,6502,6578,6478,6544,6681,6771,6862,6811,6635
"27","18","    Textile mill products","ST22M0",2083,2062,2110,2188,2299,2391,2416,2427,2292,2317,2313,2250,2225,2212,2198,2252,2367,2453,2583,2545,2663,2640,2596,2637,3024,3105,2912,2877,3051,3066,3158,2965,2625,2471,2599,2775,2754,2692,2703,2707,2841,3033,2956,2898,2846,2825,2888,2792,2765,2693,2720,2751,2879,2813,2561,2764,2821,2767,2648,2541,2383,2224,2217,2171,2194,2329,2527,2547,2611,2666,2556,2423,2405,2302,2337,2379,2489,2638,2384,2514,2538,2596,2720,2719,2777,2720,2707,2698,2571,2687,2709,2676,2670,2690,2733,2713,2730,2677,2713,2844,2903,2948,2964,2892,2856,2886,2912,2970,3103,3107,3156,3212,3131,3180,3120,3069,2962,2974,3006,3153,3312,3256,3278,3272
"28","19","    Apparel products","ST23M0",2285,2365,2525,2249,2206,2469,2549,2577,2684,2499,2550,2755,2803,2884,2882,2896,2905,2993,2963,3079,2772,3058,3283,3294,3488,3436,3291,3360,3128,3096,3156,3030,2827,2760,2769,3066,3462,3651,3674,3377,3322,3295,3340,3467,3414,3399,3441,3592,3624,3224,3477,3418,3512,3657,3593,3421,3438,3491,3391,3512,3392,3408,3340,3287,3180,3227,3326,3497,3728,3812,3815,3752,3657,3779,3674,3827,3781,3695,3765,3790,3751,3965,3980,3999,4062,4078,4037,3946,3912,3937,3966,3756,3870,3675,3569,3593,3444,3473,3762,4078,4165,4118,4109,4112,4323,4541,4711,5052,4936,5096,5213,5134,5362,5294,5152,5109,4784,4466,4175,3872,3952,3976,3944,3876
"29","20","    Paper and allied products","ST26M0",4150,4114,3969,3881,3968,3989,3907,3893,3800,3814,3918,3996,4342,4522,4609,4680,4487,4588,4570,4625,4597,4653,4693,4559,4565,4619,4751,5032,5269,5945,6377,6797,6889,6428,6349,6316,6426,6465,6412,6427,6433,6652,6646,6577,6594,6660,6674,6795,6834,6972,7084,7133,7390,7705,7513,7307,7529,7468,7610,7504,7549,7341,7276,7453,7261,7375,7529,7780,7979,8402,8483,8440,8373,8265,8124,8393,8716,8665,8728,8741,9015,9062,9156,9208,9156,9250,9389,9372,9173,9312,9529,9532,9563,9731,9579,9633,9736,9685,9718,10076,10159,10124,10111,10076,10162,10034,10025,9975,9976,10008,10197,10148,10337,10614,10500,10299,10230,10209,10214,10231,10557,10172,10237,10512
"30","21","    Printing and publishing","ST27M0",2741,2835,2799,2807,2746,2849,2972,3137,3371,3375,3538,3335,3363,3224,3146,3174,3147,3153,2992,3101,3030,3034,3067,3086,3307,3360,3544,3789,3876,3983,4092,4244,4297,4076,3999,3840,3610,3804,3918,4094,3960,4001,4024,4351,4433,4498,4375,4480,4491,4528,4733,4728,4933,5010,4924,4760,4807,4913,4964,4892,5038,4961,4767,4743,4509,4473,4519,4798,4826,5079,5438,5274,5609,5596,5577,5083,4958,4882,4892,4985,4994,4928,4932,5175,5199,5376,5564,5576,5490,5510,5367,5300,5306,5296,5371,5406,5732,5372,5147,5040,4775,4734,4860,4941,4990,5189,5034,4793,4651,4631,4663,4952,5176,5357,5445,5227,5190,5075,4915,5006,5120,5188,5050,5334
"31","22","    Chemical and allied products","ST28M0",9154,9355,9387,9474,9537,9662,10025,10239,10501,10924,11183,11225,11109,11085,11056,11469,11578,11750,11761,11796,11916,11994,12264,12175,12380,12747,12765,13499,14182,14837,15264,15649,15413,15002,14628,14589,14237,13943,14396,14836,14591,14927,15395,15692,15763,16390,16701,16833,17069,17109,16845,16832,18045,17602,17050,17511,17199,17291,17153,17094,16814,16691,16705,16000,15843,15660,16060,16726,16987,17542,17523,17382,17515,17752,17387,17446,16902,17900,18274,18340,17988,17708,18108,18403,18981,18933,18917,19089,19405,19556,19831,19880,19985,20113,20506,20635,20821,20945,20798,20826,20962,21252,21213,21487,21456,21438,21505,21518,21637,21491,21660,22051,21864,22206,22155,22477,22585,22883,23068,23199,23576,24107,24652,24429
"32","23","    Petroleum products","ST29M0",3120,3161,3579,3445,3526,3607,3992,3966,4136,4020,3968,4135,4389,4492,4250,4414,4132,4061,4140,4266,4277,4288,4288,4433,4256,3888,4421,4136,4226,5149,5702,5289,5739,5721,5605,5829,5794,5939,5960,6588,6845,6902,6859,7103,7325,7314,7387,7339,7222,6880,7174,6806,6613,6784,7323,7137,7176,7361,6855,7239,8159,8098,8376,8358,8591,8927,7738,7572,7733,7921,8282,7550,7328,7175,6300,7065,7332,7136,7213,7369,6765,6764,7197,7397,8331,8288,8421,8055,7882,8097,7664,7996,8775,8524,7759,8021,8468,8661,8940,9102,8617,8565,8931,9129,9043,9169,8897,9394,9281,9524,9692,9689,10453,9757,9333,9086,8997,8877,9054,8815,9288,9173,8993,9349
"33","24","    Rubber and plastic products","ST30M0",2292,2455,2522,2436,2402,2484,2465,2581,2605,2639,2867,2867,2881,2853,2765,2820,2895,2886,2849,3042,3204,3185,3286,3386,3418,3800,4181,4500,4919,5052,4967,4884,4716,4369,4325,4466,4555,4986,5132,5108,5061,5051,5166,5286,5351,5328,5543,5596,5708,5802,5861,5605,5747,5643,5242,5481,5614,5551,5665,5522,5085,4901,4942,5048,4922,5226,5281,5580,5916,5908,6161,5874,5703,5904,5695,5949,6125,5974,6002,6000,6032,6294,6337,6389,6483,6731,6863,6896,7012,6958,7045,6978,7060,7019,7399,7374,7378,7284,7271,7458,7368,7534,7650,7695,7565,7717,7804,7976,8194,8119,8405,8581,8883,8931,8754,8637,8700,8867,8954,9053,9068,9099,9204,9426
"34","25","    Leather and leather products","ST31M0",991,1021,1016,1016,1031,1026,1085,1056,1089,1075,995,1033,1085,995,934,962,934,898,902,885,867,924,893,820,942,975,960,967,1016,979,947,881,844,688,752,847,850,885,864,847,830,865,833,857,919,902,836,832,812,787,867,842,805,878,791,843,803,807,912,947,907,921,892,879,809,836,853,885,915,881,872,856,795,760,775,796,831,752,735,748,738,791,785,782,774,699,823,835,869,847,792,770,801,818,882,726,665,602,569,622,627,637,605,651,596,618,591,608,597,597,633,626,647,657,641,602,594,566,557,574,548,584,594,607
