"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"11","3","  Goods","DGDSRG3",33.338,33.738,34.117,34.435,34.767,35.051,35.295,35.688,35.877,36.218,36.416,36.52,36.891,37.008,37.293,37.553,38.152,39.032,39.774,40.659,42.261,43.666,45.023,46.338,47.019,47.379,48.28,48.934,49.174,49.337,49.945,50.655,51.456,52.184,52.727,53.372,54.1,55.246,56.149,57.115,58.495,60.179,61.741,63.247,65.512,67.101,68.47,69.865,71.592,72.482,73.195,73.809,74.228,74.386,75.152,75.244,75.248,75.995,76.521,76.643,77.258,77.444,77.613,77.85,78.347,78.73,78.791,79.272,79.013,77.887,78.248,78.519,79.884,80.675,81.375,81.822,81.942,82.634,83.548,84.164,85.06,86.538,86.558,86.918,88.514,88.85,90.105,91.737,91.682,91.862,92.03,92.411,92.518,92.91,93.385,93.613,93.782,93.863,93.757,94.259,94.159,94.487,95.357,95.478,95.591,95.787,95.813,95.836,96.474,96.899,96.716,97.146,97.259,96.733,96.46,96.331,95.581,95.199,95.171,94.999,94.898,95.587,96.062,96.393,97.154,97.614,97.875,97.977,97.965,98.133,97.619,96.537,96.089,96.742,96.718,96.702,97.317,95.904,96.397,96.351,97.193,97.721,97.812,98.99,98.874,99.096,100.84,101.19,101.09,101.705,102.242,100.727,101.51,102.642,102.787,104.119,105.356,106.609,108.437,103.248,101.575,102.597,104.007,104.657,105.196,104.286,104.497,105.367,107.412,108.752,109.53,109.535,110.211
"12","4","    Durable goods","DDURRG3",54.391,54.798,55.06,55.399,55.495,55.713,56.122,57.056,57.864,58.276,58.146,57.847,58.346,58.645,58.944,58.755,58.999,59.463,59.757,59.948,60.612,62.146,64.514,66.532,67.574,68.789,69.543,70.612,71.566,72.361,73.237,74.476,75.241,75.624,76.41,77.433,78.543,79.74,81.032,82.45,83.789,85.263,86.242,87.796,90.37,92.503,94.189,95.804,97.021,98.85,100.311,101.616,102.47,103.267,103.638,103.941,104.675,105.067,105.643,106.301,106.33,106.99,107.202,107.399,107.946,108.197,108.013,108.293,108.317,108.816,109.725,110.346,111.276,112.148,112.95,113.41,113.213,113.84,114.65,115.502,116.087,116.181,116.443,116.825,117.446,117.458,117.509,117.747,118.754,119.053,119.494,119.751,119.746,120.072,120.171,120.359,120.298,120.932,121.521,122.324,122.606,123.338,124.207,124.419,124.916,124.78,124.378,124.101,124.195,123.376,123.054,122.521,122.048,120.872,120.061,119.391,118.513,117.628,116.727,115.856,114.877,114.301,113.765,113.078,112.544,112.308,111.621,111.339,110.829,110.04,109.308,108.754,107.786,107.228,106.702,105.964,104.679,103.586,102.556,101.629,101.573,101.471,100.716,100.737,100.593,100.363,99.615,99.429,99.103,98.62,98.122,97.599,97.134,96.722,96.108,95.756,95.448,94.805,94.552,93.708,93.203,93.181,92.548,92.674,92.187,91.639,91.058,90.507,90.362,90.745,90.628,90.061,89.829
"13","5","      Motor vehicles and parts","DMOTRG3",34.015,34.201,34.29,34.573,34.617,34.827,35.338,36.435,37.277,37.464,36.924,36.381,36.926,37.215,37.414,36.861,37.013,37.334,37.407,37.339,37.379,38.469,40.488,41.938,42.36,43.139,43.771,44.645,45.484,46.207,47.093,48.429,48.879,49.068,49.552,50.652,51.638,52.334,53.444,54.469,55.545,56.798,57.35,58.168,59.651,60.58,61.616,62.903,63.598,65.408,66.827,67.849,68.285,68.983,69.424,69.49,70.36,70.741,71.405,72.263,72.348,73.103,73.657,73.8,74.493,74.774,75.036,75.388,75.726,76.419,77.516,78.297,78.816,80.185,81.301,81.745,80.857,81.192,82.228,82.829,83.834,84.253,84.142,84.542,84.648,84.196,84.214,84.8,86.084,86.516,87.184,87.578,87.508,88.189,88.831,89.387,90.114,91.338,92.6,93.802,94.353,95.399,96.849,98.331,99.432,100.122,100.016,100.611,101.692,101.738,102.089,102.684,103.026,102.425,102.128,102.163,101.526,100.925,101.353,101.479,101.227,101.214,101.951,102.11,101.715,102.162,101.856,102.27,102.585,102.431,102.135,102.455,101.946,101.765,102.058,101.682,100.154,99.549,98.855,97.756,97.933,98.335,98.055,99.282,99.93,100.34,99.491,100.239,100.567,100.3,99.999,99.566,99.328,99.433,99.697,100.032,99.278,98.272,97.702,96.036,95.864,97.146,98.45,101.177,102.281,102.905,103.548,103.467,104.039,106.251,107.374,107.084,106.986
"14","6","      Furnishings and durable household equipment","DFDHRG3",50.216,50.715,51.11,51.451,51.679,51.91,52.01,52.322,52.594,52.848,53.085,53.155,53.313,53.494,53.766,54.118,54.405,54.727,55.121,55.498,56.529,58.184,60.408,62.539,63.961,65.039,65.672,66.615,67.413,67.921,68.355,68.84,69.691,70.202,71.01,71.677,72.282,73.662,74.744,76.19,77.381,78.352,79.137,80.526,82.673,84.586,86.221,87.54,89.258,90.878,92.431,93.656,95.019,96.34,96.524,97.215,97.792,98.322,98.787,99.17,99.184,99.697,99.7,100.265,100.48,101.131,100.363,101.246,101.166,101.644,102.156,102.503,103.048,103.407,103.816,103.635,104.042,104.956,105.164,105.645,105.178,104.624,105.524,105.734,106.187,106.296,106.536,106.301,106.513,106.786,107.418,107.027,108.076,108.297,108.102,108.337,107.901,108.685,108.84,109.681,109.961,110.686,111.056,110.123,110.211,109.862,110.593,110.47,110.698,110.502,110.82,110.367,110.515,110.813,110.323,110.082,110.291,110.827,110.42,109.827,109.649,109.166,108.737,108.074,108.474,108.276,108.102,107.621,107.156,106.472,106.066,105.369,104.616,104.525,103.905,103.283,102.621,101.517,100.454,100.063,100.257,100.032,99.46,99.904,100.124,100.498,99.763,99.615,99.636,99.64,99.566,99.558,99.367,99.422,98.728,98.031,98.281,97.686,98.296,98.301,98.64,98.846,97.459,96.314,95.415,94.276,93.089,92.148,92.169,92.542,92.637,92.097,92.532
"15","7","      Recreational goods and vehicles","DREQRG3",168.844,169.97,170.576,170.569,170.03,169.529,169.67,171.648,173.765,176.229,177.51,177.591,178.132,178.513,179.082,179.587,180.26,181.154,181.909,182.946,185.02,187.507,191.274,194.647,197.68,202.105,203.272,205.591,206.988,208.701,209.464,211.338,213.19,214.241,216.101,217.023,219.481,222.604,223.574,225.772,228.537,231.962,233.989,236.624,240.562,244.075,247.454,250.761,253.361,256.224,257.277,260.063,262.01,263.127,262.924,262.574,261.47,259.966,258.456,258.17,257.173,256.557,255.064,254.573,254.78,252.328,250.147,248.126,245.948,243.891,242.325,241.313,242.856,240.859,238.349,239.109,238.984,238.979,238.037,239.012,239.368,237.926,237.102,238.075,237.365,236.555,235.888,234.937,235.484,234.597,231.541,231.13,228.93,227.698,224.526,222.942,220.428,218.328,217.026,215.879,214.686,214.308,213.326,211.182,209.839,206.894,202.326,198.57,195.873,191.458,187.92,184.424,180.385,175.013,171.825,168.868,165.274,161.817,157.106,153.142,149.861,147.212,143.727,140.904,138.663,137.548,135.546,133.39,130.476,128.025,125.798,123.655,121.369,119.636,117.825,116.279,114.343,111.981,109.937,108.872,107.795,106.798,105.053,103.402,101.825,100.812,99.556,97.807,96.284,94.762,92.987,91.125,89.427,88.04,86.154,85.014,84.165,83.058,82.218,81.177,79.694,78.403,76.42,74.896,73.654,72.401,71.057,69.865,68.628,67.58,66.317,65.091,64.224
"16","8","      Other durable goods","DODGRG3",35.102,35.455,35.701,35.984,36.16,36.399,36.603,36.773,37.045,37.281,37.686,37.929,38.308,38.509,38.84,39.136,39.199,39.814,40.283,40.549,41.51,42.449,43.415,44.767,45.448,46.022,46.626,47.132,47.693,48.091,48.875,49.593,50.141,50.347,50.963,51.321,52.113,52.845,53.99,55.08,55.744,56.739,58.283,60.917,65.315,69.615,71.463,72.677,73.063,73.293,73.705,74.365,74.457,73.809,74.243,74.756,75.561,76.362,77.345,77.584,77.953,78.558,78.477,78.418,78.622,79.31,79.485,79.406,79.589,80.363,81.757,82.598,84.655,85.741,87.451,88.539,90.113,91.331,92.89,94.672,95.241,96.225,97.372,97.324,100.714,102.925,103.218,103.646,104.802,105.374,107.084,108.436,108.465,108.714,109.856,109.902,109.669,109.853,110.094,110.685,111.176,111.424,112.451,112.281,112.967,113.188,114.195,114.424,113.822,113.102,113.067,112.074,111.989,111.553,111.55,110.629,110.677,109.85,108.744,108.3,106.767,107.209,106.422,106.156,106.248,105.063,104.36,105.241,105.927,105.695,105.57,105.06,104.54,104.028,103.243,102.631,102.355,102.175,102.1,100.999,101.75,102.119,101.623,100.682,100.619,99.123,99.806,100.452,100.484,100.928,102.127,103.664,105.166,105.061,105.626,106.271,107.645,109.122,109.756,109.83,109.906,110.175,110.209,111.311,110.428,110.586,110.8,111.883,113.178,113.957,114.497,115.515,115.952
"17","9","    Nondurable goods","DNDGRG3",25.723,26.082,26.446,26.727,27.072,27.338,27.522,27.768,27.813,28.103,28.349,28.53,28.841,28.909,29.164,29.5,30.13,31.038,31.827,32.805,34.497,35.757,36.764,37.807,38.345,38.484,39.341,39.847,39.897,39.895,40.391,40.915,41.663,42.427,42.868,43.37,43.947,45.002,45.742,46.524,47.823,49.445,51.047,52.431,54.448,55.778,56.96,58.191,59.911,60.505,60.981,61.384,61.669,61.665,62.461,62.496,62.322,63.102,63.578,63.549,64.289,64.329,64.475,64.709,65.161,65.561,65.693,66.212,65.879,64.307,64.473,64.614,66.055,66.781,67.417,67.838,68.058,68.743,69.651,70.162,71.123,72.999,72.937,73.276,75.129,75.558,77.146,79.145,78.753,78.882,78.955,79.353,79.49,79.886,80.461,80.695,80.935,80.831,80.496,80.875,80.645,80.819,81.656,81.74,81.715,82.02,82.195,82.325,83.138,84.007,83.882,84.661,84.997,84.738,84.683,84.773,84.093,83.925,84.263,84.394,84.678,85.915,86.844,87.635,88.997,89.786,90.496,90.786,91.024,91.659,91.255,89.908,89.722,90.994,91.233,91.602,93.208,91.635,92.955,93.39,94.723,95.595,96.156,97.982,97.879,98.357,101.553,102.211,102.239,103.496,104.64,102.545,104.07,106.121,106.715,109.055,111.2,113.56,116.589,108.922,106.588,108.183,110.74,111.691,112.818,111.704,112.379,114.092,117.463,119.383,120.707,121.069,122.326
"18","10","      Food and beverages purchased for off-premises consumption","DFXARG3",23.338,23.701,24.178,24.524,25.003,25.214,25.375,25.49,25.353,25.812,26.023,26.198,26.759,26.845,27.166,27.546,28.588,29.907,31.254,32.276,33.809,34.605,35.34,36.827,37.354,37.133,38.041,38.622,38.387,38.115,38.551,38.908,39.611,40.74,41.148,41.529,42.602,44.491,45.424,46.109,47.849,48.844,49.296,50.182,50.96,52.022,53.956,55.726,56.455,56.595,57.34,57.426,58.007,58.536,58.77,58.496,58.511,59.175,59.293,59.517,60.707,60.692,61.07,61.131,61.518,61.413,61.401,61.92,62.295,62.476,63.432,63.844,64.456,64.968,65.198,65.378,65.76,66.302,67.581,68.111,69.09,70.329,70.961,71.494,73.127,73.325,74.36,74.831,75.878,76.634,76.241,76.174,76.444,76.598,77.076,77.148,77.285,77.8,77.938,78.541,78.595,78.834,79.635,79.716,80.174,80.868,81.107,81.497,82.123,82.953,83.864,84.581,84.66,84.796,85.118,85.301,85.588,85.802,86.13,86.627,86.985,87.219,87.545,88.035,88.531,89.14,89.985,90.34,91.195,91.792,92.564,92.968,93.484,93.542,93.459,93.682,94.195,94.788,95.545,96.656,97.083,98.108,98.56,99.269,99.02,100.053,100.163,100.763,101.211,101.19,101.896,102.456,103.794,105.246,106.253,107.295,108.836,111.046,113.563,114.82,114.562,113.597,112.948,112.87,113.382,113.818,113.907,114.306,116.117,117.922,119.287,120.267,120.645
"19","11","      Clothing and footwear","DCLORG3",64.868,65.631,66.448,67.136,67.646,68.064,68.664,69.533,70.172,70.842,71.199,71.432,71.842,72.028,72.075,72.85,73.45,74.507,74.902,75.521,76.88,79.171,81.634,82.832,83.158,83.398,83.999,84.335,85.057,85.78,86.998,87.797,89.076,89.342,90.73,91.237,90.734,91.982,92.056,92.423,92.614,93.512,93.716,94.537,95.776,96.593,97.295,98.446,99.154,100.014,100.807,100.949,101.161,101.867,102.078,101.692,102.283,102.947,103.815,103.32,103.493,102.91,103.769,104.331,105.258,105.677,105.978,106.488,105.72,104.717,105.449,105.769,107.101,108.279,108.422,110.003,109.897,112.01,112.187,113.665,113.549,114.096,112.723,113.945,115.697,117.498,117.91,118.017,118.267,118.995,119.971,120.815,120.275,120.18,120.369,120.783,120.425,119.549,119.578,119.484,117.896,118.433,117.83,116.816,115.584,114.965,114.782,114.642,114.645,114.158,112.574,113.057,113.341,114.699,113.5,113.036,111.82,111.288,112.01,111.184,109.779,110.448,110.006,110.162,109.456,108.742,108.502,108.451,108.616,107.049,105.978,104.884,104.475,104.235,103.684,102.901,101.786,100.735,101.252,101.211,100.749,101.259,100.907,100.705,100.707,100.291,99.63,99.371,99.06,100.029,99.706,99.574,99.601,98.606,97.872,98.396,98.158,97.525,98.32,97.495,98.185,98.642,99.169,98.876,98.623,97.826,98.198,97.485,97.639,98.281,101.331,101.638,102.232
"20","12","      Gasoline and other energy goods","DGOERG3",12.852,13.092,13.063,13.03,12.987,13.231,13.147,13.402,13.409,13.185,13.433,13.6,13.426,13.329,13.613,13.897,14.092,14.594,14.871,16.369,19.449,21.216,21.499,21.172,21.235,21.632,22.943,23.381,23.172,22.948,23.357,23.982,24.636,24.998,24.965,25.531,25.635,25.598,26.123,27.383,28.689,32.811,38.204,41.381,47.249,49.527,49.417,49.987,55.161,55.772,54.974,55.369,54.092,51.151,53.29,52.466,49.536,50.877,51.708,50.723,50.971,50.894,49.363,49.517,49.472,50.76,50.363,50.579,47.351,38.88,36.279,35.432,39.354,40.262,42.012,42.149,41.211,41.117,41.65,41.021,42.188,47.631,45.437,44.368,47.766,46.911,51.25,59.769,52.916,49.871,49.371,50.094,49.171,49.69,50.652,51.2,51.169,49.747,48.353,49.47,48.836,48.147,50.832,51.416,50.95,51.003,50.387,49.56,52.032,54.95,53.306,55.365,56.321,52.683,53.231,53.409,48.967,46.814,46.617,45.605,44.276,49.506,53.421,56.351,63.109,65.136,67.016,67.837,66.085,68.695,63.844,55.323,53.031,59.451,61.036,64.021,73.995,64.072,69.322,70.124,76.579,78.407,81.119,90.077,89.267,89.892,109.563,111.278,109.417,115.514,121.162,105.619,111.466,123.172,124.735,136.225,146.011,156.949,170.638,111.515,91.684,97.892,114.996,121.497,127.532,119.417,122.345,134.334,153.235,160.678,162.387,160.603,166.537
