"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"11","3","       Change in private inventories","A014RX1",37,31.2,34.9,18,3.9,16.7,16.2,-14.3,38.5,33,31.5,-3,10.8,38,39,14.9,23.1,52.9,23.2,56.8,26.4,37,12.7,40.2,-15.4,-29.6,-5.8,-0.3,31.8,47.1,43.9,14.2,24,40.2,71.1,37.1,43.2,42.5,44.8,51.9,39.8,44.9,17,10.3,13.4,11.4,-48.8,-13.3,55.4,14.3,57.9,28.3,-27.2,-5.4,6.8,-52.8,-47.7,-6.7,-5.6,29.4,88.7,83.1,86.9,54.4,17.2,25.1,20.8,38.6,35.3,17.2,-9.5,-9.2,36.6,20.1,-0.7,76.8,17.9,22.9,20.7,26.2,54.4,41,10.8,16.3,15.1,37,24.9,-10.8,-17.2,-21,-0.5,33,2.7,23.9,21.1,23.8,40.3,26.8,6.3,15.6,50.5,90.5,56,80.1,65.9,37.7,8.2,16.5,3.2,26.8,62,32.8,43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,17.3,44.9,36.1,12.6,-12.5,-14.2,-38.1,-80.3,-161.6,-183,-178.7,-56.5,39.9,64.6,92.3,38.3,49.1,39.1,-2,52.2,54.4
"12","4","       Residual","A958RX1",-14.7,-17.4,-16.1,-20.1,-24.3,-21.1,-20.9,-28,-16.7,-16.4,-18.4,-24.8,-21.3,-16.6,-14.7,-21.8,-12.8,-10,-12.7,-5.2,-12.2,-15.6,-24.8,-0.6,-41.6,-40.5,-27,-26.7,-14.9,-9,-12.2,-16.6,-14.9,-11,-2.2,-13.3,-7.7,-7.4,-5.8,-10.1,-6.6,-6,-20.1,-24,-19.6,-22.8,-48.8,-30.1,-5.7,-24.3,-2.5,-12.7,-38.2,-25.8,-21.9,-44.7,-39.9,-32.7,-27.4,-16.2,4.9,5.3,5.6,-3.1,-15.2,-17.4,-17.2,-10.7,-11.9,-18.3,-22.9,-29.3,-16.3,-19,-21.9,-7.1,-18.8,-17.9,-12.5,-14.1,-7,-10.5,-16.6,-14.7,-16.7,-10.2,-14,-20.4,-20.5,-20.5,-18.4,-13.1,-18.6,-11.6,-14.2,-15.9,-11.4,-14.4,-15.7,-14.6,-11.6,-5.4,-8.9,-5.3,-7,-12.4,-14.3,-12.3,-15.3,-11.8,-6.2,-5.7,-9.6,-3.7,-5.3,-4.2,-2.2,-6,-6.1,-6.5,-5.6,-5.3,-4.4,-2.4,-3.3,-0.6,-1.6,-1.6,-3,-3.3,-2.9,-1.9,-3.5,-3.5,-3.1,-3.1,-2.2,-1.6,-0.9,-0.8,-1,-1.2,-0.2,-0.5,-0.5,0,0.2,0.4,-1.3,-1.1,0.1,1.3,0.6,2.5,1.9,-0.6,1.5,-1.2,-0.6,-9.1,-11.2,-5.7,-1.9,0.5,1.9,1.7,1.3,-3.8,-4,-3.5,-7.3,-1.5,-0.6
"13","5","Goods","A353RX1",916.6,908.8,916.6,908.3,904.5,914.3,918.8,882.2,933.3,929.6,938.6,925.8,945,994.1,1009.8,1033.1,1081.7,1109.8,1093,1120.9,1101.8,1102.9,1082.2,1076.2,1034.8,1043.7,1081.5,1094.1,1131.8,1149.9,1157.6,1148.6,1162.4,1190.6,1231.6,1223.7,1214.9,1290,1298.4,1328.2,1333.1,1325.5,1345.1,1339.9,1352.1,1316.4,1297,1331.4,1399.9,1359.5,1413.9,1362.6,1310.9,1337.8,1317,1285.4,1293.8,1351.5,1378,1454.9,1506.2,1537.5,1552.3,1561.4,1554.8,1561.7,1591.2,1596.9,1612.5,1608.6,1631,1636.5,1640.6,1671.1,1694.1,1744.4,1755.3,1791.6,1794.6,1828.6,1869.6,1897.2,1912.7,1897.9,1925.1,1926.8,1921.9,1883,1864,1872.7,1893.7,1897,1907.9,1948.8,1975.9,2002.2,2008.8,2030.5,2023.4,2073.6,2122.7,2168.2,2175,2242.6,2247.7,2234.7,2252.1,2293.9,2301.8,2364.1,2417.7,2438.1,2474.9,2550.7,2606.3,2632.3,2679.8,2658.3,2713.5,2807.2,2840.6,2866.2,2914.7,2998.8,2972.7,3078.5,3063.6,3072.8,3002.8,3013.3,2974.8,2999.9,3030.2,3045.8,3077,3046.4,3080.3,3090,3206,3264.9,3280.5,3295.1,3336.6,3385.3,3444.2,3446,3483.5,3529.2,3627,3649.1,3650.4,3710,3722.2,3796.4,3854.1,3905.8,3862,3905.1,3822,3569.6,3471.1,3502.7,3569.9,3722.8,3903.4,3941.5,4016.9,4075.1,4124.5,4118.1,4140.6,4268.7,4331.2
"14","6","    Final sales","A325RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2195.3,2208.1,2249.7,2283.6,2304.2,2345.4,2366.9,2410,2441.5,2464,2543.7,2559.2,2580.3,2622.5,2663.4,2753.2,2766.1,2832,2876.8,2913,2956.4,2989,3007.6,3021,3033.3,3022.7,3001.7,3079.1,3043.5,3033.7,3058.7,3016.2,3050.2,3091.9,3201,3226.4,3228.8,3218.4,3274.4,3314.7,3354.1,3430.5,3471.5,3447.1,3562.2,3577.2,3582.5,3677.7,3705.9,3749.3,3816.9,3896.4,3877.2,3924.9,3867,3669.9,3661.8,3710.8,3769.3,3786.6,3859.9,3871.2,3916.6,4040.1,4078,4082,4154.6,4216.2,4275.4
"15","7","    Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,37.7,8.2,16.5,3.2,26.8,62,32.8,43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,17.3,44.9,36.1,12.6,-12.5,-14.2,-38.1,-80.3,-161.6,-183,-178.7,-56.5,39.9,64.6,92.3,38.3,49.1,39.1,-2,52.2,54.4
"16","8","  Durable goods","A354RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029.3,1023.7,1045.8,1076.8,1074.2,1111.2,1144.8,1148.4,1189.4,1235.1,1279.4,1300.2,1340.8,1330.5,1373.3,1437.5,1458.4,1469.8,1525.7,1564.2,1585.4,1635.1,1621.3,1626.9,1582.6,1579.9,1543.9,1562.5,1591.4,1602.4,1629.7,1603.1,1604.2,1633,1697.7,1754.1,1757.3,1771.5,1803.2,1821.6,1874.2,1881.7,1929.2,1951,1984.5,2011.2,2033.5,2028.9,2071.7,2117.3,2155.2,2227,2158.5,2153.4,2143.3,1965.3,1822.7,1824.7,1893.4,1952,2096,2167.5,2213.6,2230,2283.9,2301.1,2368.9,2387.7,2458.3
"17","9","    Final sales","A326RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,991.4,998.5,1028.4,1053.3,1067.6,1097.5,1114.1,1142.3,1167.3,1190,1250.3,1259.2,1278.2,1309.7,1344.6,1406.9,1409.8,1458.7,1500.9,1507.2,1568.4,1579.2,1589.6,1593.5,1622.1,1600,1572.8,1631.8,1585.9,1584.8,1615.7,1568.8,1576.1,1630,1706.4,1719.6,1721.9,1723.9,1766.1,1789.7,1812.9,1873.1,1917,1892.2,1964.1,1978.1,1990.6,2025.3,2062,2113.1,2149.4,2207.7,2176,2189.4,2150.2,2004,1974,1979.3,2020.1,2004.6,2061.4,2100.9,2140.2,2211.2,2240.2,2266.6,2334.2,2373.9,2399.4
"18","10","    Change in private inventories \1\","A355RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2,30.9,21.6,28,9.4,18,36.2,8.1,27.6,53.3,33.3,46.8,72.3,23,32.5,34.8,55.7,11.3,27,63.9,17.9,62.1,34.4,36.2,-46.8,-24.6,-34.4,-80,4.4,18,13.7,36.3,29.3,1.6,-11.6,34.7,35.5,48.1,37.1,31.9,61.6,8.6,12.2,58.6,20.6,32.9,42.4,5.2,11.1,5.7,7.1,19.2,-14.8,-30.5,-5.8,-33.3,-132.6,-135.1,-110.3,-45.6,30,57.1,62.6,16.4,37.4,29.8,29.8,12.7,49.4
"19","11","  Nondurable goods","A356RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260.3,1252.6,1243.2,1251,1263.6,1287.4,1305.5,1324.3,1313.3,1341.4,1348.4,1351.7,1354.5,1343,1352.2,1378.2,1390.1,1404.6,1391.7,1438.4,1385.3,1442.5,1442.4,1445.9,1421.2,1435.4,1434.4,1440.4,1440.7,1444.9,1447.8,1444.6,1478.4,1457.6,1508.8,1510.6,1523.2,1523.7,1533.4,1563.8,1570.1,1564.3,1554.3,1578.2,1642.5,1638.1,1617.5,1680.4,1651,1679.9,1700,1682.7,1704.9,1751.1,1680.5,1602.8,1638.3,1666.7,1669.2,1760.9,1802.4,1775.1,1805.1,1844.7,1844.4,1824.2,1788.4,1888.5,1886.8
"20","12","    Final sales","A334RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249.3,1254.7,1263.4,1269.9,1274.9,1283.3,1286.4,1299.4,1303.3,1299.7,1313.7,1320,1319.9,1328.2,1331,1355.1,1365.9,1380.2,1379.3,1411.5,1387.2,1410.2,1418.3,1428.4,1409.1,1422.7,1430.5,1447.2,1460.1,1450.9,1443.4,1449.7,1477,1462.6,1494.4,1506.7,1507,1494.6,1508.4,1525.1,1541.2,1557.3,1554.5,1554.9,1598.2,1599.4,1592.4,1652.3,1644.3,1638,1669.2,1691.3,1702.8,1736.3,1717,1663.1,1682.6,1723.9,1742.6,1772.6,1790.9,1766.6,1774.4,1827.5,1837.6,1819,1828.6,1851.5,1884
