"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"11","3","Plus: Imports of goods and services","A021RX1",199.4,238.8,235.7,233.1,232.3,236.9,236.4,240,237.2,255.1,260.7,243.1,278.6,268.7,274.3,286.6,299.9,291.2,283.2,285.3,275.6,290.2,285.1,282.3,254,233.7,253.1,266.6,283.3,295.6,307.6,317.8,332.9,335.9,331.2,335.9,358.5,359.6,364.3,369.3,368.3,370.3,364.6,372.6,372.9,345.8,321,338.2,352.6,353.2,349.1,359.1,348.9,343.2,359.1,345,352.9,380.1,409.7,429.8,464.3,483.8,496.3,510.8,499.6,524.1,519,539.4,538.9,561.8,577.4,581.9,578.4,592.8,604.3,618.2,615.3,608.3,622.6,641.6,644.6,647.6,646.7,658.4,679.3,678.2,675.4,657.3,649.8,661.4,680,695,700.1,711.6,722.8,740.1,756.1,771.8,781.9,813.4,832.3,863.3,887.6,912.6,932.6,941.5,944.7,956.8,987.9,1010,1042.7,1063.3,1108.7,1145.9,1188.1,1213.8,1259.3,1288.2,1305.5,1347.8,1382.1,1426.1,1477.9,1513.3,1574.7,1622.7,1679.4,1678.1,1653.7,1604.4,1565.6,1546.9,1585.7,1639.2,1666.2,1696.2,1675.7,1699.6,1719.6,1783.8,1829.2,1902.6,1930.4,1979.4,1990.9,2012.9,2025.3,2082.1,2121.5,2145.2,2170.9,2168.2,2199.8,2210.7,2216,2186.5,2194.1,2180.1,2143.3,2058.6,1855.3,1781.2,1849.7,1925.2,1983,2082.4,2143.5,2131,2173.9,2181.4,2187.9,2207.7,2222.7
"12","4","Equals: Gross domestic purchases","A712RX1",4342.2,4349.5,4379.8,4348.5,4338.8,4340.5,4379.6,4334.4,4450.5,4494.3,4525.5,4542.1,4633.6,4740.8,4776.4,4856.3,4973.3,5006,4968.5,5000.3,4937.2,4950.6,4917.2,4883.3,4778.9,4798.5,4916.4,4978.1,5118.7,5170.6,5201,5249,5338.4,5436.4,5522.5,5541.9,5583.5,5756.9,5814.3,5878.8,5886.4,5893.5,5908.5,5904.9,5909.3,5732.1,5679.1,5818.5,5953.4,5903.8,5980.9,5920.6,5831.5,5850.8,5876.6,5882.8,5960.2,6131.7,6286.9,6433.6,6594.4,6720.4,6790.3,6853.7,6901.6,6992.6,7099.5,7164,7214.6,7266.9,7343.1,7364.1,7398.8,7472.9,7527.3,7649.4,7651,7719.9,7765.9,7872.2,7928.6,7960.4,8013.5,8034.4,8112.2,8132.3,8123.3,8023.4,7970.1,8010.8,8049.4,8081,8161.1,8261.4,8342.1,8446.1,8478.7,8540.9,8600.2,8722.9,8820.8,8947.7,8999,9106.5,9134.6,9151.1,9188.3,9251.4,9337.3,9505.2,9615.7,9678,9781.5,9922,10064.2,10169.8,10306.6,10440.4,10598.3,10779.1,10916.3,11030.6,11189.3,11391,11461.6,11691.9,11728.8,11804.1,11758.2,11823.2,11814.1,11867.6,11985.5,12068.7,12145.9,12189.9,12228.9,12354.6,12538.8,12656.6,12752.4,12883.3,12992.6,13113.6,13229.7,13279.9,13391.8,13481.2,13629.4,13682.1,13707.6,13733.3,13759.4,13863.2,13908.3,13890.1,13818,13794.5,13646.5,13353.3,13057,12964,13035.7,13149.6,13304.1,13486.8,13589.6,13621.2,13644.2,13679.9,13725.3,13830.9,13889.6
"13","5","Less: Change in private inventories","A014RX1",37,31.2,34.9,18,3.9,16.7,16.2,-14.3,38.5,33,31.5,-3,10.8,38,39,14.9,23.1,52.9,23.2,56.8,26.4,37,12.7,40.2,-15.4,-29.6,-5.8,-0.3,31.8,47.1,43.9,14.2,24,40.2,71.1,37.1,43.2,42.5,44.8,51.9,39.8,44.9,17,10.3,13.4,11.4,-48.8,-13.3,55.4,14.3,57.9,28.3,-27.2,-5.4,6.8,-52.8,-47.7,-6.7,-5.6,29.4,88.7,83.1,86.9,54.4,17.2,25.1,20.8,38.6,35.3,17.2,-9.5,-9.2,36.6,20.1,-0.7,76.8,17.9,22.9,20.7,26.2,54.4,41,10.8,16.3,15.1,37,24.9,-10.8,-17.2,-21,-0.5,33,2.7,23.9,21.1,23.8,40.3,26.8,6.3,15.6,50.5,90.5,56,80.1,65.9,37.7,8.2,16.5,3.2,26.8,62,32.8,43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,17.3,44.9,36.1,12.6,-12.5,-14.2,-38.1,-80.3,-161.6,-183,-178.7,-56.5,39.9,64.6,92.3,38.3,49.1,39.1,-2,52.2,54.4
"14","6","Equals: Final sales to domestic purchasers","A713RX1",4320,4335.8,4361.1,4351.2,4360.2,4345.5,4384.9,4378.1,4428.7,4478,4512.7,4571.1,4645,4719.6,4752.2,4863.9,4963.3,4962.7,4958.1,4948,4922.8,4929.1,4929.4,4843.4,4836,4868.7,4949.2,5005.1,5101.5,5132.2,5169,5251.5,5329.4,5407.2,5453.3,5518,5547.9,5721.6,5775.1,5836.8,5852.9,5854.3,5911.3,5918.2,5915.1,5742.8,5774.6,5860.6,5903.7,5913.1,5925.5,5904.7,5895.8,5881.2,5891.2,5979.4,6046.9,6170.6,6319.6,6420.3,6501,6632.1,6697.9,6802.6,6899.7,6985.1,7096.1,7136.5,7191.5,7268.4,7375.9,7403,7378.9,7472.1,7550.1,7580.2,7652,7714.9,7757.8,7860.3,7881.3,7929.9,8019.2,8032.7,8113.7,8105.4,8112.3,8054.1,8007.5,8051.9,8068.1,8060.9,8176.6,8248.9,8334.8,8437.8,8449.6,8528.3,8609.4,8721.8,8781.9,8862.6,8951.8,9031.7,9075.7,9125.7,9194.2,9246.9,9349.3,9490,9559.7,9650.8,9747.7,9821.7,9994,10086.7,10191.2,10403.4,10543.9,10720.1,10832.4,10995,11149.3,11294.2,11446.4,11591.6,11667.4,11747.8,11796.4,11837.5,11848.3,11961.2,12004.4,12059,12129.4,12160.3,12199.7,12360.1,12537,12619.1,12701,12805.7,12930.1,13042.5,13138.8,13264.4,13379.9,13399.9,13565,13610.7,13640,13700.1,13741.5,13815.8,13870.3,13878.2,13828.8,13809.7,13684.6,13441.5,13228.5,13151.5,13215,13204.8,13261.7,13419.9,13495.4,13585.9,13598.4,13643.4,13733.4,13779.4,13835.1
"15",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","  Final sales of domestic product","A190RX1",4218.2,4239,4260.9,4261.7,4273.3,4265.1,4303.3,4295.3,4348.5,4378.5,4417.1,4470.3,4532.4,4607.7,4649.2,4757.4,4861.7,4885.5,4891.6,4897.2,4891.2,4896.6,4881.5,4810.6,4848.2,4897.9,4941.9,5000.3,5069.4,5086.5,5118,5189.5,5238.2,5322.4,5378.4,5422.3,5429.2,5644.6,5696.4,5769.5,5787.8,5787.5,5871.4,5898.2,5909.6,5793.8,5869.3,5921.8,5950.9,5962.7,5969.6,5934.4,5917.7,5915.2,5876.5,5963.5,6026.5,6111.8,6225.2,6307,6349.2,6465.6,6525.2,6620.3,6732.5,6783.8,6894,6922.1,6993.4,7046.1,7145.3,7185.8,7166.6,7262.2,7348.9,7382,7491.1,7581.4,7617.4,7715.3,7752.5,7827.8,7926.4,7936.3,8022.4,8025.9,8041.7,8013.2,7981.1,8038.5,8049.6,8042.3,8166.6,8225,8315.4,8401.9,8396.4,8466.8,8533.2,8635.4,8681.6,8754.7,8849.6,8920.7,8958.7,9011.7,9119,9172.2,9251.4,9384,9425,9557.2,9624.4,9701,9854.1,9917.5,9979.8,10148.4,10265.5,10439.6,10508.3,10639.1,10770.5,10908.1,11018.2,11148.4,11196.8,11268.5,11325.6,11375.7,11364.1,11462.6,11485.7,11518.2,11569.9,11560.8,11609.6,11742.6,11928.6,12001.1,12066.5,12118.4,12224.2,12316.1,12424.1,12555.2,12658.5,12654.2,12831.9,12877.3,12882.8,13005.3,13038.2,13126.2,13231.8,13314,13277.8,13325.9,13225.6,12972.9,12836,12830,12875.1,12869.5,12895.9,12992.2,13046,13181.6,13182.8,13236.2,13340.9,13378.3,13437.6
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
