"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180"
"11","3","          Value added","W102RA3",65.229,65.747,66.26,66.51,66.12,66.149,66.22,66.268,66.358,66.226,66.276,66.334,65.948,65.93,66.225,66.612,66.396,66.346,66.393,66.769,67.435,67.687,67.924,68.273,68.752,68.864,69.006,69.083,69.248,69.338,69.621,69.897,69.955,70.04,70.397,70.62,71.061,71.262,71.814,72.268,72.351,72.187,72.181,72.734,73.127,73.561,73.568,73.357,73.428,73.556,74.012,74.238,74.398,74.604,74.573,74.667,74.922,75.025,75.151,75.047,75.261,75.705,76.28,76.629,77.183,77.75,78.642,78.997,79.369,79.78,80.218,80.898,81.184,81.526,81.85,82.714,83.413,83.62,84.053,84.692,85.128,85.626,86.285,86.752,87.591,87.956,88.44,88.6,89.229,89.14,88.951,88.937,89.244,89.325,89.503,89.381,89.624,89.591,89.619,89.409,89.548,89.645,89.706,89.428,89.731,89.855,89.849,89.147,89.106,90.053,90.019,89.982,90.173,90.353,90.65,90.713,91.059,91.385,91.703,91.844,92.036,92.071,92.393,92.822,93.375,94.236,94.001,94.133,94.784,95.429,95.982,96.326,96.925,97.454,97.864,97.995,98.526,98.798,98.795,98.805,99.048,99.178,99.364,99.72,99.893,99.879,100.069,100.159,100.078,100.252,100.848,101.188,101.266,101.499,101.954,102.526,103.005,103.451,104.282,104.796,105.233,106.043,106.167,106.475,106.602,107.116,106.612,106.468,106.396,106.223,105.98,105.964,105.899,105.713,105.85,105.727,105.623
"12","4","            Compensation of general government employees","A194RA3",71.067,71.698,72.317,72.595,72.051,72.06,72.144,72.229,72.367,72.25,72.36,72.528,72.068,72.093,72.509,73.042,72.813,72.768,72.85,73.333,74.202,74.52,74.804,75.234,75.822,75.922,76.069,76.108,76.262,76.333,76.648,76.959,76.983,77.037,77.445,77.678,78.208,78.404,79.059,79.585,79.631,79.339,79.243,79.879,80.293,80.755,80.665,80.296,80.29,80.361,80.848,81.04,81.138,81.29,81.133,81.124,81.318,81.302,81.313,81.005,81.097,81.476,82.006,82.241,82.717,83.204,84.093,84.294,84.529,84.809,85.12,85.734,85.856,86.066,86.259,87.133,87.806,87.869,88.215,88.818,89.172,89.598,90.216,90.598,91.431,91.686,92.098,92.12,92.723,92.452,92.071,91.914,92.156,92.139,92.245,91.995,92.192,92.067,92.023,91.702,91.815,91.873,91.894,91.502,91.822,91.917,91.849,90.934,90.817,91.903,91.788,91.671,91.829,91.966,92.239,92.229,92.558,92.85,93.126,93.18,93.287,93.206,93.471,93.863,94.403,95.317,94.923,94.977,95.663,96.328,96.887,97.197,97.807,98.334,98.723,98.783,99.318,99.54,99.445,99.356,99.507,99.535,99.634,99.942,100.044,99.921,100.027,100.009,99.786,99.858,100.422,100.69,100.641,100.77,101.152,101.661,102.15,102.506,103.32,103.768,104.124,104.933,104.946,105.178,105.185,105.649,104.938,104.659,104.47,104.169,103.795,103.691,103.544,103.252,103.332,103.069,102.847
"13","5","            Consumption of general government fixed capital \2\","A265RA3",40.727,40.87,41.025,41.165,41.253,41.332,41.358,41.294,41.236,41.079,40.948,40.678,40.558,40.408,40.309,40.208,40.056,39.991,39.932,39.945,39.932,39.964,40.041,40.113,40.224,40.35,40.462,40.641,40.822,40.96,41.115,41.254,41.411,41.579,41.746,41.914,42.039,42.236,42.419,42.604,42.794,43.041,43.312,43.553,43.846,44.153,44.45,44.746,45.046,45.336,45.649,45.957,46.29,46.643,46.999,47.4,47.82,48.291,48.777,49.34,49.94,50.575,51.268,51.987,52.777,53.59,54.439,55.332,56.183,57.055,57.938,58.832,59.725,60.555,61.364,62.157,62.923,63.686,64.445,65.208,65.951,66.722,67.524,68.315,69.155,69.958,70.722,71.455,72.175,72.855,73.493,74.099,74.682,75.2,75.699,76.147,76.592,76.97,77.316,77.613,77.868,78.145,78.388,78.628,78.847,79.101,79.378,79.662,79.974,80.267,80.609,80.946,81.289,81.676,82.076,82.486,82.91,83.4,83.919,84.484,85.09,85.706,86.308,86.915,87.533,88.118,88.694,89.227,89.696,90.235,90.755,91.278,91.817,92.351,92.873,93.389,93.902,94.452,94.983,95.562,96.345,97.079,97.776,98.412,99.006,99.637,100.32,101.038,101.795,102.571,103.355,104.121,104.943,105.794,106.671,107.614,108.038,109.012,109.944,110.846,111.759,112.577,113.36,114.121,114.971,115.78,116.536,117.216,117.86,118.464,119.019,119.536,119.974,120.43,120.908,121.636,122.255
"14","6","          Intermediate goods and services purchased \3\","W104RA3",34.332,35.093,34.854,34.779,33.988,32.999,33.185,33.383,33.435,33.667,33.619,33.622,35.562,36.494,34.536,34.053,34.379,34.723,33.595,33.745,34.922,34.447,34.713,35.063,35.467,36.096,35.654,35.791,35.21,35.959,35.45,35.26,36.148,37.116,37.756,37.425,37.553,38.41,38.542,38.688,39.179,39.794,38.406,39.298,39.479,40.715,40.019,39.876,40.852,42.045,42.081,42.354,43.079,42.786,44.233,45.766,46.44,47.3,48.922,46.067,46.14,48.25,48.594,49.798,50.893,52.23,54.369,55.388,56.308,58.923,60.579,59.624,59.692,59.521,58.515,59.872,59.329,58.988,58.666,60.985,59.499,61.577,61.661,61.998,62.578,62.328,61.879,63.323,64.31,64.353,64.243,63.309,63.88,64.18,65.861,66.235,65.205,64.76,65.176,66.059,65.801,66.375,67.933,67.667,67.67,67.761,68.187,67.317,67.896,68.82,68.575,69.907,69.662,71.677,71.429,72.968,71.584,74.092,75.295,75.839,76.457,77.268,79.349,81.282,78.947,81.557,81.382,82.543,84.843,86.775,87.938,90.079,92.178,93.404,94.534,95.672,94.352,97.825,97.35,97.675,98.892,99.232,100.499,99.019,99.71,99.305,101.429,99.555,102.117,101.208,101.248,101.278,101.031,102.49,104.258,104.169,104.97,103.719,105.058,105.738,107.263,111.742,114.208,115.282,113.79,113.642,114.094,112.003,109.113,109.48,109.875,107.007,106.436,106.28,108.793,104.069,102.736
"15","7","            Durable goods","W105RA3",46.438,43.771,43.792,41.733,41.386,40.642,40.468,40.859,35.908,33.338,32.735,30.938,41.117,41.865,40.461,39.068,40.05,39.859,37.163,39.103,36.491,39.126,32.445,35.864,37.326,36.922,37.72,36.97,34.616,37.715,33.478,36.04,39.22,45.749,40.424,41.645,44.734,47.05,45.364,45.07,45.965,49.94,47.543,50.924,50.326,50.857,51.677,48.285,53.828,57.666,54.96,58.717,56.683,59.422,60.876,64.789,67.985,70.723,70.024,70.807,72.849,73.038,67.77,72.298,71.737,74.539,80.516,78.273,74.656,83.442,86.174,82.106,82.211,84.593,90.016,88.348,88.475,87.411,87.269,91.791,86.622,89.73,88.444,84.455,86.99,85.649,84.867,86.418,84.896,86.077,84.016,81.618,79.874,77.881,79.709,79.811,75.237,82.981,71.838,71.243,68.915,68.435,72.277,68.368,68.413,64.905,72.413,64.489,65.612,70.439,70.573,67.21,69.197,72.429,70.09,71.422,71.125,73.078,77.182,76.687,75.045,80.846,84.37,80.782,82.142,82.49,83.607,82.497,82.466,86.734,89.96,85.381,86.654,88.834,91.799,89.321,87.539,93.92,94.396,94.577,95.601,99.44,100.449,98.752,97.366,99.189,101.578,101.867,103.667,103.663,106.037,108.787,106.916,110.801,115.492,117.335,119.117,122.79,126.531,127.954,123.46,131.404,137.266,134.544,127.734,131.385,135.324,138.359,123.042,127.164,128.845,131.334,122.531,123.253,126.819,126.162,115.743
"16","8","            Nondurable goods","W106RA3",42.186,43.537,45.007,41.243,38.507,36.441,36.268,37.638,35.513,37.047,38.414,37.508,40.103,40.33,37.715,37.29,35.723,34.974,34.721,36.357,36.517,34.329,36.642,36.603,37.137,38.166,35.29,37.081,38.023,38.216,38.744,39.089,39.601,39.807,42.025,42.196,40.66,41.544,42.762,42.957,42.231,41.611,41.978,41.681,41.682,43.822,41.639,42.921,43.544,46.819,46.061,45.684,44.482,44.323,44.165,44.873,45.028,48.324,54.482,39.639,39.451,46.647,47.186,47.723,48.547,49.714,49.786,49.972,52.749,56.651,58.802,60.695,55.737,54.036,49.31,55.861,50.057,49.322,47.904,52.748,55.225,57.146,57.472,55.997,55.498,55.973,56.46,59.332,61.306,59.222,58.996,58.364,59.533,61.926,62.396,62.452,63.945,63.813,64.74,64.264,64.546,65.284,65.393,67.429,68.036,67.734,68.672,68.457,68.926,69.464,69.988,70.111,72.244,72.719,74.002,75.021,76.871,78.035,79.94,80.811,80.078,81.736,83.554,83.079,85.18,85.619,86.335,87.822,90.289,93.7,93.498,95.659,96.249,97.89,97.213,97.65,96.977,97.625,96.146,97.362,99.226,99.016,99.387,98.277,100.372,99.027,100.382,100.219,100.185,99.445,100.682,99.406,101.26,102.062,103.179,101.919,102.272,100.963,99.826,100.94,105.864,109.424,110.459,110.235,109.163,108.726,107.419,106.343,105.973,104.929,104.531,104.687,104.717,104.288,103.583,103.86,103.755
"17","9","            Services","W107RA3",29.524,30.617,29.709,31.3,31.152,30.523,30.896,30.636,32.267,32.483,32.02,32.611,33.059,34.257,32.455,32.096,33.006,33.836,32.62,31.936,34.072,33.822,34.261,34.322,34.513,35.129,35.543,35.107,34.146,34.779,34.395,33.568,34.269,34.716,35.593,34.824,35.19,35.817,35.781,35.976,36.913,37.543,35.543,36.597,36.981,37.896,37.689,37.344,37.824,37.622,38.445,38.517,40.548,39.748,41.918,43.467,43.989,43.511,43.541,45.197,45.051,45.351,46.492,47.461,48.947,50.142,52.525,54.361,55.229,56.45,57.777,56.326,58.11,58.101,57.466,57.436,58.635,58.53,58.557,59.724,57.378,59.357,59.533,61.092,61.795,61.443,60.719,61.632,62.605,63.25,63.441,62.593,63.258,63.159,65.222,65.738,64.342,62.735,64.48,65.99,65.825,66.483,68.21,67.67,67.475,68.143,67.522,67.316,67.86,68.43,67.886,70.189,68.889,71.265,70.779,72.506,69.986,72.966,73.624,74.187,75.456,75.454,77.456,80.76,76.594,80.172,79.564,80.861,83.351,84.556,85.95,88.784,91.432,92.437,93.943,95.662,94.171,98.275,98.023,98.076,99.1,99.288,100.883,99.298,99.692,99.419,101.803,99.085,102.705,101.648,101.014,101.287,100.399,101.884,103.643,103.847,104.735,103.079,105.325,105.745,106.505,110.967,113.632,115.501,114.317,113.977,114.814,111.914,109.018,109.677,110.307,105.712,105.55,105.44,109.23,102.046,100.921
"18","10","        Less: Own-account investment \4\","W108RA3",48.701,48.931,49.633,48.97,48.768,49.186,51.534,49.588,50.815,50.861,49.047,50.382,50.801,50.699,47.712,50.906,48.835,46.774,47.07,49.471,47.732,51.4,50.637,48.188,49.467,45.567,47.065,47.402,41.092,43.66,45.255,41.865,39.224,40.696,39.868,36.044,33.796,40.185,45.365,49.609,43.706,47.904,50.565,51.829,51.638,50.732,50.251,51.058,49.089,49.307,48.954,50.169,49.314,51.383,51.546,51.73,49.639,50.577,53.839,53.734,53.136,55.78,60.338,61.69,60.609,62.735,64.357,65.142,63.362,66.338,68.738,68.399,68.468,68.558,70.63,70.601,70.387,72.303,72.792,74.343,75.987,79.135,82.265,85.366,86.339,84.168,82.957,84.081,85.213,87.559,88.472,89.37,91.277,87.965,85.864,82.968,84.273,86.665,87.08,85.46,82.415,82.993,86.637,85.349,85.915,85.435,85.831,82.846,83.086,84.354,85.142,84.678,93.977,91.218,86.955,84.017,87.656,93.203,93.376,87.495,84.143,93.699,92.077,92.96,91.175,89.202,92.311,91.62,98.818,103.894,101.082,101.61,102.945,101.842,102.24,101.206,98.44,97.828,98.935,99.841,97.829,100.038,100.145,99.43,98.448,100.066,100.149,101.337,99.915,102.594,102.847,102.894,102.217,102.28,102.595,103.248,103.783,104.901,105.581,106.23,107.686,107.855,106.134,102.076,99.025,101.26,102.611,99.227,95.624,93.772,93.009,92.757,91.115,90.801,91.013,90.039,88.063
"19","11","              Sales to other sectors","W109RA3",32.535,33.147,33.35,33.356,33.913,34.129,34.32,35.176,35.967,36.825,37.776,38.282,40.384,41.734,41.733,43.194,43.496,44.929,43.578,44.048,45.467,45.263,44.055,44.115,45.384,44.953,41.915,43.275,43.871,45.912,46.679,45.032,47.064,47.687,48.679,47.818,48.612,49.772,51.232,51.512,51.867,52.373,52.472,55.133,52.291,53.104,53.796,53.684,54.107,54.255,56.133,54.803,55.727,55.577,55.891,56.772,56.583,56.991,58.127,58.3,57.321,57.404,58.121,57.658,58.378,59.087,59.792,60.314,60.55,61.419,61.567,61.983,62.314,62.444,62.886,62.819,63.357,64.015,64.896,64.17,65.115,65.79,66.128,65.692,66.21,66.134,67.321,68.555,69.049,68.427,70.473,69.977,71.371,71.953,73.072,72.093,74.204,74.865,75.631,75.189,77.374,79.232,77.797,79.551,79.563,79.371,79.83,81.26,80.689,81.15,82.278,82.277,82.13,82.901,83.439,84.648,85.12,84.695,89.449,85.717,86.14,87.461,88.294,88.725,90.916,91.449,92.775,95.047,95.591,96.02,96.827,97.89,97.699,97.201,98.244,97.489,97.424,98.183,98.071,97.786,98.166,98.465,99.357,99.163,100.019,99.34,100.244,100.397,99.91,100.545,100.705,100.529,101.109,101.959,102.525,103.092,102.549,102.202,103.001,102.463,103.022,103.54,103.847,104.034,104.27,104.858,105.213,104.789,104.856,105.54,109.512,105.946,106.105,106.913,106.915,107.221,107.91
"20","12","Federal consumption expenditures \1\","A957RA3",79.304,80.116,79.576,78.798,75.917,73.765,72.913,72.126,71.289,70.526,69.549,68.639,69.492,69.632,67.002,66.012,65.715,65.117,63.057,62.843,64.253,63.187,63.467,63.607,62.996,63.345,63.068,63.009,62.448,62.833,61.893,62.131,62.568,63.559,64.126,63.963,64.199,65.082,64.997,65.063,65.737,66.564,64.967,65.71,67.286,69.637,68.788,68.586,70.307,72.031,71.724,72.429,73.066,72.615,74.431,76.151,76.765,78.054,79.974,75.935,76.356,78.97,79.014,80.34,81.465,82.551,84.604,84.758,84.575,86.967,88.753,87.547,88.404,88.636,88.184,90.537,89.072,87.916,87.126,90.332,88.048,90.387,90.439,90.729,91.64,91.392,90.43,91.528,93.104,92.576,90.856,89.253,89.027,88.737,89.838,90.12,87.667,86.419,85.93,86.311,84.414,83.565,85.263,83.32,82.796,82.598,82.395,78.928,79.82,80.979,79.699,80.491,79.656,81.184,80.123,80.4,77.52,79.487,78.124,79.515,79.152,78.217,79.801,81.624,78.705,82.464,80.484,80.319,82.324,83.848,84.33,85.311,87.336,88.929,89.986,91.93,92.026,96.506,96.379,97.058,98.547,98.827,100.235,99.094,99.754,99.425,101.426,99.394,102.313,100.957,101.292,101.024,99.967,101.141,103.676,104.042,106.447,106.483,109.237,111.669,111.419,114.85,116.542,117.77,118.136,120.377,121.267,120.071,117.473,118.205,117.309,115.696,115.098,114.674,117.775,112.43,110.697
"21","13","      Gross output of general government","W110RA3",78.883,79.811,79.262,78.429,75.684,73.505,72.575,71.85,70.98,70.272,69.387,68.454,69.741,69.996,67.278,66.517,66.112,65.839,63.618,63.313,65.027,64.042,64.078,64.202,63.803,63.992,63.102,63.156,62.475,63.25,62.448,62.049,62.948,64.093,64.831,64.19,64.533,65.612,65.782,65.753,66.37,67.182,65.578,66.924,67.785,70.267,69.546,69.155,70.779,72.355,72.431,72.666,73.453,72.926,74.724,76.551,76.916,78.12,80.267,76.366,76.639,79.269,79.527,80.598,81.738,82.846,84.972,85.09,84.815,87.323,89.053,87.936,88.822,89.044,88.707,90.935,89.563,88.533,87.949,90.726,88.608,91.023,91.132,91.192,92.211,91.817,91.16,92.489,94.021,93.13,91.957,89.934,89.976,89.584,90.773,90.324,88.306,87.141,86.692,86.578,85.27,84.982,85.886,84.307,83.447,82.94,82.769,79.646,80.203,81.461,80.542,81.022,79.91,81.423,80.157,80.43,77.725,79.4,79.664,79.249,78.778,78.43,80.02,81.532,78.889,82.353,80.502,80.693,82.363,83.659,84.143,85.301,87.227,88.549,89.983,91.579,91.665,96.356,96.128,96.665,98.058,98.403,100.101,98.846,99.786,99.214,101.508,99.493,102.103,100.894,101.158,100.634,99.584,100.818,103.294,103.655,106.083,106.143,109.165,111.283,111.117,114.533,116.233,117.433,117.819,120.192,121.158,119.661,116.956,117.805,118.394,115.352,114.618,114.322,117.164,111.875,110.287
"22","14","        Value added","W111RA3",105.966,106.511,106.996,106.378,103.723,102.458,101.296,100.13,99.229,97.756,96.557,95.294,93.661,92.196,92.033,92.118,90.529,89.27,88.204,88.173,88.998,88.826,88.581,88.645,88.511,88.238,88.146,88.176,88.359,88.363,88.437,88.51,88.407,88.537,88.852,88.838,89.39,89.8,90.073,89.837,89.682,89.627,89.766,89.639,90.194,91.434,91.602,91.166,91.923,92.275,92.788,93.027,93.256,93.732,94.279,94.77,95.505,96.013,96.601,96.659,97.347,98.104,98.82,99.21,100.045,100.91,101.783,101.945,102.453,102.686,103.149,103.575,104.523,105.031,106.152,106.958,106.96,106.489,106.87,107.583,107.643,107.975,108.598,108.966,109.933,110.128,110.55,110.483,112.249,111.394,110.382,109.725,109.43,108.889,108.377,107.758,107.821,107.07,106.287,104.957,104.615,103.581,102.767,101.303,100.621,100.281,99.614,96.179,96.315,97.225,96.695,95.552,95.301,94.944,94.677,93.599,93.621,93.509,93.569,93.489,93.465,92.715,92.474,92.47,93.121,95.023,93.285,92.804,93.635,94.054,94.168,93.857,94.906,95.552,96.168,96.492,97.726,98.532,98.589,98.578,99.048,98.941,99.356,99.996,100.136,99.866,99.803,100.194,99.468,99.503,100.367,100.393,100.183,100.067,101.04,101.459,102.472,103.595,105.344,107.09,108.295,110.708,111.642,112.458,113.665,115.611,114.968,115.097,115.592,115.736,115.669,115.923,115.652,115.228,115.067,114.919,114.513
"23","15","          Compensation of general government employees","B568RA3",130.774,131.723,132.543,131.559,127.331,125.397,123.708,122.145,121.007,119.086,117.563,116.127,113.894,111.969,112.022,112.471,110.354,108.65,107.247,107.377,108.892,108.787,108.503,108.71,108.547,108.142,108.034,108.019,108.237,108.22,108.284,108.357,108.127,108.243,108.648,108.537,109.36,109.878,110.204,109.736,109.399,109.149,109.174,108.829,109.486,111.181,111.213,110.306,111.238,111.547,112.066,112.164,112.206,112.607,113.113,113.479,114.201,114.528,114.971,114.517,115.014,115.607,116.09,116.071,116.666,117.297,117.909,117.419,117.513,117.174,117.168,117.099,117.808,117.941,119,119.618,119.084,117.897,117.981,118.562,118.234,118.295,118.762,118.883,119.847,119.713,119.94,119.482,121.674,120.134,118.407,117.217,116.569,115.631,114.748,113.749,113.719,112.586,111.435,109.55,109.096,107.655,106.557,104.542,103.669,103.247,102.345,97.543,97.75,99.06,98.329,96.76,96.416,95.934,95.585,94.13,94.202,94.039,94.097,93.929,93.808,92.698,92.296,92.213,93.019,95.533,93.12,92.435,93.558,94.084,94.204,93.745,95.073,95.857,96.598,96.947,98.47,99.407,99.385,99.244,99.731,99.458,99.827,100.476,100.471,99.939,99.653,99.937,98.79,98.608,99.476,99.294,98.794,98.403,99.372,99.607,100.594,101.701,103.579,105.432,106.57,109.24,110.078,110.788,112.002,114.145,113.073,112.988,113.359,113.312,113.028,113.162,112.686,112.012,111.651,111.163,110.419
"24","16","          Consumption of general government fixed capital \2\","B995RA3",54.906,54.848,54.818,54.763,54.607,54.442,54.178,53.74,53.319,52.708,52.157,51.329,50.813,50.237,49.764,49.283,48.702,48.285,47.871,47.597,47.251,47.003,46.849,46.689,46.612,46.577,46.52,46.617,46.724,46.76,46.84,46.901,47.01,47.146,47.283,47.425,47.487,47.679,47.836,47.989,48.139,48.397,48.698,48.933,49.263,49.639,50.004,50.378,50.77,51.158,51.604,52.051,52.566,53.118,53.675,54.32,55.002,55.766,56.539,57.443,58.403,59.401,60.489,61.6,62.825,64.084,65.4,66.794,68.077,69.418,70.782,72.172,73.565,74.818,76.027,77.187,78.295,79.342,80.34,81.309,82.198,83.108,84.052,84.945,85.894,86.8,87.635,88.416,89.198,89.89,90.505,91.067,91.598,92.003,92.382,92.664,92.944,93.099,93.192,93.192,93.115,93.064,92.929,92.777,92.55,92.412,92.321,92.238,92.217,92.126,92.115,92.058,92.046,92.014,91.961,91.882,91.775,91.801,91.868,92.019,92.254,92.492,92.694,92.907,93.127,93.305,93.48,93.582,93.568,93.683,93.787,93.924,94.126,94.344,94.567,94.814,95.09,95.446,95.769,96.194,96.604,97.086,97.662,98.267,98.917,99.602,100.35,101.131,101.963,102.809,103.657,104.45,105.344,106.287,107.275,108.399,109.51,110.694,111.941,113.273,114.735,116.127,117.432,118.661,119.835,120.973,122.069,123.068,124.068,124.984,125.8,126.54,127.104,127.713,128.374,129.635,130.636
"25","17","        Intermediate goods and services purchased \3\","W113RA3",50.333,51.42,50.209,49.324,46.811,44.133,43.472,43.154,42.375,42.341,41.78,41.193,44.871,46.61,41.832,40.365,41.02,41.619,38.519,37.99,40.385,38.757,39.028,39.193,38.602,39.165,37.676,37.748,36.387,37.755,36.274,35.505,37.183,39.112,40.16,39.026,39.173,40.753,40.824,40.966,42.188,43.669,40.736,43.195,44.249,47.523,46.16,45.831,48.03,50.469,50.178,50.386,51.579,50.254,52.97,55.788,55.829,57.525,60.806,53.841,53.685,57.8,57.614,59.227,60.591,61.868,65.023,65.093,64.113,68.582,71.399,68.909,69.698,69.644,67.972,71.396,68.805,67.293,65.806,70.461,66.301,70.663,70.258,70.013,71.036,70.088,68.42,71.041,72.295,71.41,70.12,66.803,67.167,66.927,69.816,69.55,65.472,63.913,63.818,64.968,62.684,63.188,65.874,64.22,63.199,62.527,62.882,60.16,61.161,62.772,61.444,63.68,61.645,65.198,62.852,64.61,58.915,62.566,63.05,62.26,61.279,61.391,65.06,68.291,61.892,67.128,65.165,66.131,68.752,71.045,71.951,74.81,77.773,79.909,82.315,85.422,84.099,93.596,93.016,94.232,96.789,97.714,101.047,97.384,99.339,98.368,103.692,98.601,105.539,102.699,102.176,100.928,98.745,101.778,106.248,106.532,110.821,109.486,114.157,116.762,114.775,119.54,122.261,123.97,123.258,126.197,129.318,125.649,118.697,120.474,121.924,114.54,113.196,113.07,119.909,107.766,104.604
"26","18","          Durable goods","W114RA3",68.265,63.303,62.951,58.958,58.192,56.386,55.484,55.759,46.575,41.635,40.143,36.448,53.637,54.442,51.743,48.905,50.262,49.677,44.408,47.228,42.184,46.763,35.269,41.497,43.763,42.736,43.782,42.02,37.89,43.082,35.278,39.617,44.972,56.116,46.656,48.88,54.26,57.921,54.662,53.884,55.557,62.247,57.982,63.96,63.245,64.262,65.665,59.4,68.916,75.255,70.206,76.6,72.928,77.497,79.802,86.34,91.439,95.994,94.396,95.426,98.52,98.371,88.916,96.398,95.324,99.655,109.4,105.042,98.14,112.607,116.709,109.419,109.565,113.444,122.418,119.253,119.408,117.275,116.834,124.433,114.761,119.792,117.103,109.461,113.883,111.475,109.859,112.488,109.328,110.914,106.671,101.9,98.705,94.922,97.843,98.053,89.307,102.735,82.628,81.337,76.631,75.347,81.38,73.893,72.822,65.957,78.572,63.954,66.08,74.46,74.133,67.512,69.57,74.49,69.441,71.011,68.374,69.876,75.213,73.264,68.986,77.939,83.004,75.365,76.594,76.345,76.881,74.152,72.255,78.109,82.786,74.518,76.449,80.461,85.743,81.807,79.423,90.381,91.207,91.564,92.976,99.326,100.951,98.172,95.799,98.687,102.625,102.889,105.737,105.289,108.913,112.987,109.067,115.216,122.749,125.757,129.473,136.206,142.849,145.063,134.635,146.859,156.596,152.376,141.729,148.477,155.733,161.64,136.151,143.699,146.838,151.425,136.678,138.303,144.758,144.039,126.527
"27","19","          Nondurable goods","W115RA3",116.024,121.147,126.256,106.155,90.48,78.938,74.347,77.772,64.447,70.419,75.366,69.787,80.822,81.545,68.889,66.12,58.72,55.416,52.939,58.397,60.634,48.564,59.295,57.572,54.685,56.461,41.595,47.723,49.051,47.56,47.084,45.784,46.32,45.82,53.509,53.374,46.26,49.255,54.203,54.877,51.947,49.671,52.491,52.835,54.777,65.146,57.267,62.893,65.157,78.535,75.12,73.296,67.565,65.713,63.909,65.752,63.632,76.888,101.296,37.208,34.132,63.223,62.986,63.201,65.279,67.305,64.308,61.511,68.956,83.065,90.338,97.663,75.435,66.463,42.854,70.464,42.417,37.36,29.495,53.874,63,70.03,69.013,58.557,55.659,56.986,57.043,69.238,76.158,62.655,58.232,52.07,55.621,65.531,64.48,61.724,65.43,63.753,65.761,60.01,55.44,55.384,51.532,58.732,58.6,53.915,56.619,53.271,54.386,55.115,55.55,53.262,60.704,59.12,61.288,61.087,64.672,64.248,67.368,65.365,53.806,56.97,62.133,55.15,64.54,63.101,61.313,63.167,67.309,78.139,70.733,76.971,74.821,81.438,77.516,81.022,82.602,88.36,81.518,88.523,96.523,95.156,96.821,90.993,102.622,95.037,101.827,100.514,100.094,94.485,99.246,89.825,93.87,95.077,99.584,93.168,102.534,101.047,98.826,105.936,111.032,115.931,114.598,113.577,114.963,118.112,115.59,114.196,116.308,113.311,112.8,114.354,114.635,113.375,110.256,112.915,113.432
"28","20","          Services","W116RA3",36.991,38.566,36.263,38.823,37.991,36.516,36.491,35.495,38.119,38.108,36.915,37.575,37.833,39.843,35.884,34.854,36.578,37.977,35.17,33.16,36.829,35.861,36.241,35.759,35.107,35.716,36.216,35.494,34.099,35.361,34.743,33.204,34.487,35.314,36.929,35.04,35.608,36.589,36.357,36.567,38.471,39.764,35.946,38.271,39.467,41.571,41.241,40.528,41.536,40.814,42.045,41.676,45.255,43.024,46.835,49.283,48.913,47.686,47.456,50.634,50.342,50.399,51.927,52.73,54.492,55.111,58.273,59.681,58.153,59.185,61.119,58.018,62.59,63.244,63.178,63.794,64.753,63.844,63.13,64.756,59.53,63.284,63.237,65.668,66.768,65.762,63.874,65.076,66.205,66.777,66.395,63.675,64.135,63.071,66.493,66.489,62.092,58.178,60.964,63.405,61.783,62.642,65.659,63.761,62.629,63.42,61.606,60.761,61.577,62.285,60.571,64.757,60.819,64.88,62.334,64.38,57.026,61.508,60.977,60.504,61.274,59.769,63.07,69.17,59.573,66.495,64.165,65.513,68.534,69.193,70.715,74.612,78.356,79.684,82.54,86.506,84.93,94.747,94.802,95.36,97.333,97.88,101.65,98.196,99.288,98.828,104.102,97.783,106.36,103.672,101.805,101.201,98.257,101.201,105.311,106.395,109.859,107.64,113.349,115.192,113.041,116.913,119.429,122.216,122.298,124.788,128.327,123.264,116.858,118.816,120.415,110.247,110.06,109.943,118.461,102.652,100.393
