"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180"
"11","3","  Durable goods","DDURRA3",14.75,14.71,14.668,14.612,14.388,14.554,14.607,13.637,15.1,15.443,15.855,16.532,16.91,17.335,17.781,18.723,19.915,19.68,19.505,19.049,18.603,18.703,18.811,17.021,17.384,17.722,18.829,19.377,20.345,20.437,20.669,20.995,21.765,22.278,22.606,23.081,22.469,24.144,23.819,24.007,23.723,23.187,23.833,23.219,22.854,20.389,21.293,21.943,22.565,21.687,22.347,20.742,21.407,21.485,21.658,22.647,22.876,24.544,25.487,26.744,27.753,28.397,28.406,29.328,30.347,30.708,32.674,31.548,32.193,33.33,36.173,35.599,33.488,34.861,36.302,35.321,36.993,37.006,36.523,37.469,37.303,37.801,38.656,37.481,39.064,37.772,37.389,36.36,35.358,35.536,36.082,35.493,36.887,37.143,37.936,38.689,39.065,40.333,40.783,41.764,42.759,43.218,43.673,45.208,44.272,44.722,45.984,46.783,47.291,48.796,49.141,50.101,51.458,51.292,53.579,54.946,55.407,58.232,59.913,63.469,63.626,66.686,68.31,69.159,73.05,71.735,72.976,73.512,74.758,74.721,75.626,81.979,81.039,81.892,84.29,83.18,83.426,86.876,90.523,91.382,92.662,93.244,95.088,96.782,97.805,100.644,102.073,99.478,103.341,103.421,104.952,106.397,107.72,109.231,110.628,111.266,108.488,107.693,104.222,96.851,97.155,96.655,101.355,99.765,101.119,103.665,105.479,109.286,111.22,110.587,112.038,115.736,118.937,118.866,121.423,125.364,127.689
"12","4","    Motor vehicles and parts","DMOTRA3",27.124,26.602,26.912,26.444,24.686,25.453,25.203,20.524,26.904,27.778,28.976,30.808,31.009,31.876,32.461,35.029,37.786,36.646,35.383,33.096,30.76,30.584,31.476,26.465,27.568,27.608,31.118,32.354,35.468,35.51,35.738,36.018,39.231,39.307,39.497,39.813,38.195,43.297,41.815,41.657,40.868,37.416,39.192,37.645,37.676,30.196,33.446,33.9,37.221,33.601,36.162,31.288,34.849,34.418,34.824,37.855,36.946,42.13,43.638,46.515,48.572,49.347,48.591,50.464,53.551,54.277,60.542,54.063,54.873,57.832,65.801,60.17,52.736,56.967,61.586,57.752,62.387,61.036,58.627,60.264,60.218,60.383,63.132,58.094,63.207,60,59.033,55.734,51.712,51.383,53.868,52.641,55.549,56.197,56.971,58.104,57.353,60.013,59.807,62.276,64.169,63.09,62.663,64.492,61.623,61.573,63.097,64.171,64.834,65.845,65.692,66.241,69.2,66.84,71.214,73.119,70.996,76.471,77.514,84.707,80.747,86.499,86.757,84.193,91.346,84.785,86.288,86.537,88.951,87.452,88.496,101.892,94.633,95.159,101.149,95.16,95.173,99.195,102.147,100.119,100.077,99.587,100.811,101.723,99.863,103.479,104.436,92.221,95.798,95.805,97.544,97.324,97.856,99.252,98.446,97.826,93.57,88.375,83.502,74.421,76.635,76.854,85.184,77.488,76.525,79.425,81.085,85.807,86.976,82.452,82.833,88.208,90.938,88.628,90.778,95.501,97.549
"13","5","    Furnishings and durable household equipment","DFDHRA3",20.805,21.017,20.621,20.58,20.565,20.645,20.688,21.014,21.121,21.366,21.746,22.389,23.169,23.481,24.191,24.776,26.118,26.379,26.497,26.789,27.134,27.076,26.449,24.701,24.434,24.685,25.16,25.588,26.037,26.154,26.551,27.252,28.082,28.659,29.061,29.821,29.304,30.685,30.658,31.062,30.943,31.434,32.344,31.975,31.224,29.849,29.891,30.862,30.625,30.227,29.8,28.838,28.23,28.321,28.524,29.116,29.783,30.314,31.478,32.384,33.113,34.081,34.318,34.878,35.034,35.361,36.279,37.024,37.882,38.388,39.436,39.772,40.065,40.304,40.8,40.889,41.308,41.771,41.944,42.951,43.706,44.364,44.173,44.298,44.896,43.654,43.041,42.536,42.542,42.965,42.38,42.167,43.196,43.457,44.301,44.895,45.522,46.071,46.619,46.674,47.058,48.154,49.103,50.431,50.071,50.516,51.257,51.858,51.439,53.289,53.317,54.482,54.665,54.877,56.099,56.843,58.345,59.261,60.629,62.596,64.419,65.945,68.123,70.266,72.032,73.418,74.392,74.829,75.948,76.629,77.367,79.71,82.233,82.938,82.816,84.236,83.716,86.542,89.571,90.939,92.494,93.61,95.552,96.8,97.59,98.878,100.723,102.81,105.198,103.823,104.144,104.077,105.241,104.412,105.022,105.333,102.897,103.876,100.25,95.261,92.257,90.832,91.931,93.465,95.81,98.358,98.981,101.06,102.055,103.17,104.753,107.237,109.473,109.288,110.801,111.962,113.243
"14","6","    Recreational goods and vehicles","DREQRA3",3.125,3.166,3.155,3.214,3.373,3.344,3.399,3.427,3.396,3.474,3.505,3.632,3.826,3.968,4.125,4.328,4.544,4.454,4.513,4.443,4.436,4.564,4.635,4.398,4.521,4.804,4.924,5.066,5.173,5.188,5.261,5.394,5.379,5.567,5.677,5.802,5.834,5.968,5.963,6.162,6.221,6.384,6.343,6.23,6.053,5.848,6.013,6.28,6.124,6.194,6.357,6.168,6.092,6.211,6.266,6.399,6.707,7.032,7.381,7.781,8.18,8.364,8.516,8.849,9.158,9.29,9.417,9.82,10.1,10.432,11.2,11.886,11.814,12.167,12.473,12.399,12.877,13.279,13.456,13.879,13.457,13.924,14.187,14.23,14.371,14.291,14.26,14.227,14.411,14.723,15.071,14.862,15.281,15.284,15.848,16.381,17.191,17.89,18.372,19.001,19.621,20.646,21.273,22.562,22.658,23.35,24.755,25.401,26.033,27.472,28.268,29.273,30.202,31.464,32.765,33.888,35.553,37.316,39.72,41.555,43.461,45.576,47.866,50.129,53.32,54.085,55.485,56.722,57.671,59.302,60.68,63.777,66.091,67.149,68.054,69.469,70.778,74.017,78.765,81.756,84.4,86.187,89.074,91.573,95.69,98.817,101.037,104.455,110.019,111.371,114.431,119.67,122.351,125.482,130.699,134.074,132.909,136.949,134.847,127.5,128.832,127.164,131.959,136.589,140.069,143.656,147.058,151.624,156.804,160.263,164.329,168.96,174.233,177.288,182.197,187.268,191.466
"15","7","    Other durable goods","DODGRA3",17.481,17.457,17.235,17.314,17.797,17.79,18.499,18.774,18.568,18.918,19.282,19.427,19.415,19.868,20.194,20.875,21.993,22.552,23.002,23.722,23.854,24.372,24.175,23.371,24.187,24.695,25.904,26.54,27.302,27.811,28.208,28.253,26.398,29.069,30.392,32.066,30.39,31.079,31.539,31.373,30.002,30.811,31.424,30.526,29.611,27.074,27.075,28.526,28.448,28.687,28.853,27.975,27.841,28.722,28.639,28.962,29.963,30.615,31.488,32.354,33.13,34.416,34.893,36.127,36.23,36.47,37.635,38.613,39.407,40.106,41.179,45.261,42.993,43.162,42.642,43.122,44.042,44.321,44.362,44.965,44.279,44.763,44.985,45.921,46.259,44.9,45.048,44.668,44.248,44.299,42.704,41.764,43.352,43.589,44.578,45.001,45.29,45.919,47.234,46.973,47.657,47.941,48.602,49.712,49.023,49.489,49.676,50.252,51.244,52.869,53.223,54.288,54.529,54.52,55.847,57.323,58.568,60.601,61.775,63.104,65.748,66.632,68.632,72.158,72.526,74.846,75.273,74.797,73.779,72.007,71.519,73.748,75.776,77.222,77.776,79.523,79.153,82.554,86.575,89.499,90.769,90.557,91.525,94.337,96.966,99.725,99.962,103.347,107.13,107.428,107.424,108.697,109.83,112.669,114.394,114.062,111.914,111.458,109.653,102.854,102.087,103.155,104.041,103.993,106.666,106.428,107.98,110.291,110.908,112.813,113.28,112.235,114.886,117.291,119.061,122.658,124.488
"16","8","  Nondurable goods","DNDGRA3",41.565,41.656,41.812,42.092,42.453,42.427,42.731,43.23,43.407,43.506,43.417,43.713,43.857,45.043,45.663,46.526,46.806,46.41,46.628,46.444,45.821,45.517,45.615,44.801,44.887,45.881,46.33,46.217,47.154,47.878,48.245,48.753,48.721,48.717,48.959,50.01,50.224,50.611,51.003,51.661,51.889,51.789,52.395,52.672,52.646,51.933,51.806,52.009,52.468,52.701,52.818,53.02,53.118,53.027,53.253,53.8,53.974,54.609,55.44,56.115,56.258,57.488,57.532,57.974,58.329,58.783,59.267,59.795,60.553,61.092,61.219,61.717,61.798,62.27,62.321,62.397,63.069,63.571,64.01,64.677,64.969,65.068,65.721,66.465,66.379,66.452,66.56,65.892,65.923,66.31,66.421,65.851,66.831,67.112,67.512,68.189,68.257,68.8,69.481,69.964,70.9,71.462,72.077,72.843,73.104,73.463,73.724,74.104,74.584,75.542,76.08,76.696,77.162,77.205,78.448,78.999,79.583,80.566,81.16,82.27,83.79,84.576,84.979,86.719,85.971,87.688,88.285,89.147,88.627,89.051,89.482,90.256,90.623,90.74,90.997,92.149,92.966,93.436,95.063,95.464,96.265,96.258,97.017,98.057,99.163,99.658,100.051,101.128,101.677,102.185,102.69,104.018,104.343,104.307,104.789,104.896,104.028,104.614,103.177,101.634,101.553,101.018,101.435,102.023,103.293,103.322,103.89,105.048,106.241,106.15,106.045,106.51,106.938,107.096,107.413,107.445,108.191
"17","9","    Food and beverages purchased for off-premises consumption","DFXARA3",61.878,61.613,61.561,62.244,63.077,63.142,63.631,64.36,64.673,64.462,63.873,64.227,63.634,65.813,66.137,66.783,65.722,64.31,64.333,63.431,63.145,62.61,64.003,62.839,62.92,64.691,65.17,64.373,66.025,67.512,67.839,68.387,68.568,68.134,67.982,69.07,68.694,67.575,67.792,68.498,68.409,68.539,69.283,70.119,70.858,70.345,69.351,68.642,68.867,69.635,69.471,70.277,70.154,70.476,70.91,72.108,71.845,72.301,73.221,73.449,72.958,74.298,74.575,74.836,75.119,75.935,76.765,77.601,78.337,78.011,77.361,77.948,77.485,77.378,77.401,77.401,78.574,79.547,79.696,80.029,80.352,79.867,80.43,81.161,81.265,82.529,82.581,82.102,81.911,82.264,82.438,81.453,81.742,81.482,81.5,82.064,81.971,82.053,82.508,82.926,83.697,84.666,84.805,85.47,85.311,84.894,84.904,85.274,85.661,86.063,85.901,86.175,86.782,86.329,86.842,86.843,86.762,87.465,88.057,88.668,89.713,90.607,91.387,92.795,91.869,93.228,93.349,94.26,93.923,94.543,94.213,94.373,93.982,94.134,94.504,95.312,95.961,95.071,96.115,95.497,96.5,96.065,96.742,97.882,99.171,99.169,100.316,101.344,101.606,102.725,102.867,104.287,104.458,103.885,104.334,105.136,104.411,104.662,103.416,100.879,100.288,101.217,101.938,102.952,103.861,102.903,103.35,105,105.937,106.444,106.425,106.5,106.497,106.355,106.418,106.39,106.956
"18","10","    Clothing and footwear","DCLORA3",21.291,21.372,21.49,21.379,21.128,21.063,21.005,21.351,21.493,22.022,22.142,22.446,22.631,23.205,23.929,24.609,25.287,25.205,25.25,25.422,25.512,25.206,24.778,23.736,24.549,25.385,25.815,25.987,26.309,26.366,26.727,27.021,27.068,27.593,28.034,29.429,29.738,30.845,31.311,32.045,32.042,32.243,33.342,33.532,33.328,33.169,34.024,34.704,35.628,35.808,36.244,36.155,36.536,35.91,36.556,37.224,37.52,38.764,39.24,40.713,41.351,42.765,42.131,42.924,43.287,43.897,44.477,45.053,46.218,47.738,47.978,48.025,48.817,49.024,49.775,49.387,50.065,49.77,50.903,52.058,52.224,52.914,54.093,54.305,53.853,53.031,52.912,52.263,52.834,53.6,53.441,52.332,54.479,55.349,56.474,57.176,56.969,58.047,58.635,59.344,60.738,60.616,61.529,63.167,62.953,63.62,64.761,64.823,65.267,66.879,68.002,68.432,68.462,67.851,70.106,70.994,72.51,73.729,73.193,74.893,77.6,78.269,78.79,78.993,80.28,82.019,82.915,83.616,82.274,82.811,82.714,84.14,85.093,85.132,84.614,87.262,87.304,89.556,91.549,91.62,94.212,92.829,93.897,96.134,97.487,99.69,99.876,102.947,103.859,103.582,104.822,106.377,107.692,107.905,108.862,108.801,107.861,110.712,107.943,104.149,102.932,100.921,101.951,103.036,105.489,106.944,107.479,110.819,111.459,112.215,110.586,111.521,113.14,111.721,113.169,112.739,113.296
"19","11","    Gasoline and other energy goods","DGOERA3",62.14,62.937,63.147,64.489,65.543,64.934,65.932,65.955,67.218,68.282,67.984,68.039,69.51,70.093,71.382,74.303,75.947,75.416,75.746,74.575,66.399,68.607,69.967,72.154,70.785,71.433,70.858,70.493,72.653,74.034,75.045,77.023,75.58,75.48,76.344,76.71,77.356,77.961,77.061,76.639,78.682,74.994,73.855,72.567,70.683,68.342,67.278,67.262,67.715,67.526,67.416,67.361,68.129,68.265,67.132,66.933,68.431,68.145,69.576,70.262,69.76,70.861,71.337,71.925,71.985,72.343,72.584,72.464,73.97,75.622,76.768,77.735,76.605,78.673,76.757,77.872,78.627,79.752,79.715,80.633,80.76,80.318,80.165,82.58,80.15,79.756,80.472,77.635,77.536,78.902,79.852,79.143,80.421,82.23,82.452,82.928,82.75,83.649,85.112,84.742,85.842,85.334,85.63,84.827,86.916,87.62,86.64,86.829,88.003,88.567,88.594,88.345,88.926,90.165,90.561,90.991,91.764,93.231,94.11,94.497,95.133,97.256,96.084,96.567,93.108,94.891,95.3,94.724,95.141,93.935,95.691,95.984,95.649,96.786,97.335,97.282,97.411,98.455,100.312,101.38,100.884,101.016,100.377,100.467,101.672,100.585,99.279,98.464,97.143,97.352,98.28,98.113,97.616,97.079,97.064,95.887,94.236,93.053,90.001,92.181,95.128,93.112,92.172,91.389,94.103,92.889,92.656,90.732,92.22,88.855,88.179,88.294,87.727,89.529,88.874,87.513,88.435
"20","12","    Other nondurable goods","DONGRA3",30.984,31.229,31.58,31.633,32.057,32.142,32.481,32.925,32.7,32.281,32.487,32.687,33.15,33.946,34.392,34.972,35.695,36.105,36.702,37.201,37.655,36.897,35.789,34.855,34.477,34.745,35.426,35.829,36.192,36.565,36.727,36.909,36.992,36.866,37.074,37.757,38.342,39.464,40.316,41.089,41.316,41.862,42.433,42.825,42.986,42.291,42.615,43.494,43.776,43.682,43.928,43.875,43.629,43.479,43.717,43.809,43.766,44.43,45.221,45.655,46.277,47.291,47.497,47.775,48.305,48.305,48.446,48.857,49.004,49.223,49.72,50.347,50.721,51.502,51.597,51.803,51.952,52.43,52.72,53.236,53.626,53.982,54.553,55.219,55.892,55.632,55.768,55.615,55.485,55.325,55.319,55.554,56.242,56.184,56.47,57.265,57.726,58.206,58.922,59.527,60.243,61.151,62.07,62.773,63.213,63.979,64.241,64.866,65.256,66.409,67.363,68.638,69.2,69.757,71.272,72.156,72.744,73.713,74.883,76.253,77.701,78.136,78.518,81.694,80.779,82.764,83.674,85.019,84.471,85.161,86.135,87.262,88.198,88.06,88.509,89.578,91.122,91.793,93.697,94.976,95.17,96.149,97.332,98.081,98.86,99.655,100.177,101.309,102.848,103.282,103.592,105.48,105.927,106.548,107.101,107.284,106.715,107.724,107.737,105.954,105.546,104.719,105.157,105.786,106.25,107.25,108.332,109.711,111.182,112.137,112.904,113.768,114.739,114.816,115.505,116.657,117.526
"21","13","Services","DSERRA3",29.814,30.18,30.42,30.797,31.124,31.319,31.673,31.833,32.051,32.373,32.68,33.193,33.761,34.174,34.638,35.257,35.712,36.011,36.252,36.389,36.334,36.689,36.869,37.241,37.588,38.054,38.238,38.776,39.229,39.488,39.969,40.522,41.005,41.164,41.61,42.01,42.681,43.324,43.634,43.862,44.308,44.584,44.762,45.148,45.199,44.894,45.391,46.07,45.985,46.289,46.25,46.287,46.457,46.762,47.202,47.992,48.622,49.243,49.949,50.458,50.707,51.134,51.801,52.391,53.338,53.822,54.546,54.985,55.175,55.487,55.935,56.538,57.205,57.748,58.24,58.835,59.545,60.06,60.858,61.412,61.728,61.958,62.437,63.081,63.356,64.146,64.639,64.461,64.505,65.076,65.237,65.624,66.542,66.969,67.714,68.499,68.783,69.188,69.96,70.427,70.976,71.441,71.961,72.286,72.63,73.287,73.809,74.226,74.953,75.451,75.854,76.301,76.921,77.443,78.364,79.162,80.042,81.018,82.003,82.574,83.271,84.213,85.224,86.269,87.574,88.591,89.413,90.197,90.621,91.006,91.251,91.657,92.251,92.738,93.063,93.428,93.811,94.312,94.921,95.399,96.164,96.707,97.372,98.293,98.917,99.689,100.439,100.955,101.612,102.362,102.841,103.582,104.107,104.457,104.75,105.081,105.465,105.344,104.884,104.576,103.924,103.494,103.385,103.429,103.729,104.31,104.795,105.38,105.903,106.412,106.886,106.97,107.318,107.882,108.031,108.186,108.646
"22","14","  Household consumption expenditures (for services)","DHCERA3",31.219,31.609,31.855,32.243,32.582,32.781,33.136,33.323,33.547,33.874,34.176,34.688,35.306,35.739,36.252,36.853,37.371,37.686,37.991,38.131,38.074,38.463,38.675,39.069,39.461,39.957,40.139,40.692,41.145,41.424,41.945,42.539,43.068,43.239,43.71,44.086,44.808,45.487,45.826,46.04,46.476,46.779,47.036,47.414,47.444,47.107,47.574,48.266,48.165,48.502,48.395,48.35,48.464,48.736,49.155,49.943,50.547,51.193,51.873,52.331,52.56,52.949,53.594,54.139,55.173,55.652,56.397,56.858,56.965,57.18,57.623,58.242,58.928,59.48,59.954,60.552,61.2,61.664,62.424,62.947,63.263,63.401,63.804,64.39,64.623,65.306,65.667,65.418,65.42,65.983,66.069,66.392,67.204,67.526,68.204,68.933,69.238,69.652,70.396,70.854,71.365,71.788,72.265,72.576,72.922,73.581,74.112,74.494,75.161,75.646,76.044,76.578,77.37,77.93,78.89,79.683,80.513,81.442,82.363,82.856,83.56,84.516,85.545,86.594,87.849,88.895,89.625,90.341,90.763,91.09,91.283,91.627,92.177,92.592,92.778,93.056,93.474,93.945,94.588,95.096,95.87,96.468,97.188,98.143,99.014,99.739,100.448,100.798,101.429,102.096,102.415,103.167,103.744,104.161,104.304,104.481,104.729,104.533,103.977,103.482,102.92,102.551,102.408,102.359,102.705,103.254,103.792,104.401,104.914,105.349,105.648,105.792,106.165,106.573,106.776,106.946,107.576
"23","15","    Housing and utilities","DHUTRA3",34.451,34.791,35.342,35.769,35.982,36.199,36.618,36.94,37.346,37.767,38.152,38.753,39.203,39.766,40.191,40.986,41.141,41.652,42.263,42.578,42.884,43.698,44.252,44.723,44.717,45.304,45.579,45.58,45.901,46.193,46.729,47.487,47.587,47.348,48.117,48.443,49.385,49.937,50.341,50.945,51.616,51.781,51.894,52.441,52.986,53.353,53.827,54.297,53.809,54.677,54.636,54.889,55.124,54.728,54.709,54.903,54.972,55.609,56.555,57.204,57.176,57.968,58.27,58.875,59.886,59.58,60.422,61.196,60.847,61.265,61.777,62.34,62.53,63.176,63.746,64.261,64.932,65.169,65.856,66.294,66.702,66.793,67.206,68.276,67.493,68.411,68.886,69.011,69.074,70.087,70.34,70.421,70.556,71.206,71.536,72.22,72.505,72.645,73.668,74.267,75.14,75.947,76.256,76.592,76.919,77.846,78.621,78.706,79.506,79.661,79.495,80.207,80.475,81.185,81.682,82.783,82.915,83.942,84.621,84.594,85.565,86.447,87.355,87.325,87.707,88.853,89.633,91.089,91.582,91.511,91.903,91.845,91.851,92.25,92.414,92.979,93.171,93.438,93.478,94.025,94.472,95.099,95.7,97.092,98.328,99.705,100.868,101.099,100.871,102.212,102.964,102.615,102.636,102.715,102.98,102.787,103.456,103.436,103.053,104.014,104.406,104.485,104.618,104.85,105.066,105.222,105.701,105.772,105.675,106.131,106.581,105.651,105.064,106.484,106.823,105.672,106.818
"24","16","    Health care","DHLCRA3",29.002,29.368,29.546,29.866,30.399,30.564,31.15,31.991,32.311,32.92,33.621,34.181,34.709,35.301,35.794,36.34,37.344,38.014,38.376,38.63,38.976,39.352,39.489,39.785,40.81,41.442,41.25,42.216,42.621,43.048,43.447,43.859,44.325,45.317,45.791,45.93,46.751,47.482,47.569,47.871,48.143,48.824,49.325,49.768,49.847,49.472,50.668,51.714,52.22,53.149,53.28,52.776,52.445,52.804,53.063,53.625,54.005,54.603,54.731,54.929,55.268,55.273,55.509,55.753,56.205,56.636,57.493,58.241,58.532,58.593,58.997,59.589,60.291,61.02,61.86,62.341,63.071,63.557,64.172,64.362,64.519,64.305,64.32,64.938,65.751,66.546,67.158,67.313,67.257,67.653,68.128,68.842,69.422,69.986,70.375,70.305,70.413,70.303,70.377,70.414,70.542,70.771,71.011,71.387,71.845,72.177,72.611,72.954,72.987,73.705,73.978,74.906,75.309,75.715,76.501,77.227,78.191,78.563,78.923,78.975,79.145,79.459,80.103,80.862,81.333,82.407,82.968,83.843,85.052,86.016,87.285,88.679,90.427,91.715,92.423,92.906,93.276,93.487,94.04,94.577,95.263,96.29,97.516,98.263,99.509,99.799,100.302,100.391,101.459,101.788,101.601,102.507,103.625,103.97,104.283,104.974,105.87,106.632,107.109,107.154,107.755,108.565,109.041,108.838,108.355,109.181,110.408,111.826,112.982,113.783,113.549,114.58,115.617,115.239,116.006,116.666,117.026
"25","17","    Transportation services","DTRSRA3",30.334,30.797,31.263,31.814,31.812,31.94,32.405,32.395,32.672,33.271,33.744,34.304,34.918,35.225,35.603,35.941,36.042,36.039,36.015,35.948,36.365,36.335,36.174,35.975,35.989,36.346,36.995,37.47,38.093,38.399,38.52,39.123,40.345,40.998,41.812,41.868,41.77,42.487,42.527,42.22,43.309,43.772,43.621,43.405,42.238,40.554,40.685,40.311,40.185,39.234,39.385,38.887,38.295,38.205,38.506,39.254,40.274,40.677,41.844,43.091,44.488,45.763,46.83,48.253,49.795,51.071,51.634,52.255,52.9,53.008,53.795,53.961,54.562,55.463,56.04,56.362,57.367,58.345,59.315,60.247,60.097,60.127,60.243,60.097,60.237,60.396,60.151,59.527,57.573,57.248,56.882,57.194,58.259,59.218,61.475,61.525,61.833,62.842,63.958,65.459,67.102,68.71,70.344,72.021,72.985,73.801,75.37,76.992,78.907,80.144,81.489,83.123,85.489,86.53,87.848,88.211,89.012,90.112,91.135,92.308,93.595,94.727,96.6,97.669,98.941,99.989,100.596,100.881,100.91,100.413,98.533,96.863,97.132,96.297,96.195,96.26,96.598,96.141,97.025,97.541,98.5,99.352,99.288,99.786,99.872,100.148,100.322,99.658,99.203,99.746,99.643,100.702,101.142,101.062,100.629,99.877,98.481,96.71,94.46,90.82,87.941,86.4,85.214,84.487,84.292,84.818,85.516,85.978,86.331,86.932,87.554,87.306,87.648,88.279,88.612,88.748,89.268
"26","18","    Recreation services","DRCARA3",17.468,17.773,17.578,17.767,18.177,18.209,18.333,18.376,18.475,18.725,18.889,19.505,19.48,19.706,20.003,20.423,21.119,21.549,21.672,22.048,22.31,22.744,23.302,23.876,24.031,23.906,24.295,24.757,25.018,25.485,26.333,26.841,26.724,27.221,27.86,28.429,28.567,28.634,29.149,29.231,29.818,30.141,30.488,30.763,31.029,30.796,31.236,32.246,32.742,33.847,34.666,34.684,35.132,35.383,35.793,36.223,37.175,38.357,39.265,39.907,40.418,40.845,41.522,42.197,43.054,43.905,44.551,45.402,45.644,45.833,46.291,47.329,47.631,47.966,48.501,49.405,50.859,52.438,53.796,54.792,55.647,56.156,56.606,56.693,57.782,58.777,58.991,59.312,58.23,57.946,58.137,58.868,60.939,61.615,62.367,63.682,64.587,65.524,66.994,67.173,67.834,68.965,70.24,70.751,72.45,74.342,75.472,76.659,76.865,77.676,78.866,79.027,79.794,80.36,80.684,81.515,82.518,82.591,83.62,84.364,85.113,86.481,88.364,89.386,89.338,90.128,90.279,90.084,90.809,89.883,89.399,89.335,89.939,90.082,90.322,91.335,91.181,92.497,93.978,95.426,97.009,98.067,98.671,98.775,99.576,99.903,99.857,100.664,102.009,102.768,103.506,105.986,106.582,107.445,108.281,108.106,108.056,107.5,105.526,103.738,102.781,101.803,100.972,101.407,102.327,101.763,102.931,104.161,103.885,105.462,106.006,106.163,106.001,106.753,106.95,106.69,107.326
"27","19","    Food services and accommodations","DFSARA3",38.179,39.007,38.732,38.955,39.814,40.255,40.313,39.857,39.444,39.729,40.117,40.776,42.093,42.712,43.497,43.989,45.291,44.872,45.407,45.314,44.609,44.849,44.715,45.055,45.484,46.558,46.515,48.123,48.918,49.22,50.004,49.798,51.878,51.089,50.24,50.025,51.221,52.656,53.812,54.156,54.821,54.003,54.202,55.387,54.88,54.172,54.3,55.16,55.709,55.544,54.887,54.552,54.501,55.349,55.916,56.385,56.895,57.029,57.777,57.752,58.679,58.391,59.375,59.358,59.507,60.093,59.762,59.584,60.679,61.291,61.525,62.358,63.527,64.298,64.563,66.241,66.288,67.803,69.487,70.437,70.143,69.98,70.607,70.855,72.456,73.051,73.562,72.542,71.959,73.35,73.223,73.263,75.112,73.514,74.002,76.598,75.896,76.386,77.089,76.699,76.68,77.645,78.248,78.354,77.807,77.937,78.044,77.893,77.908,78.298,78.411,79.121,79.903,79.879,80.727,80.169,81.063,82.065,82.376,83.528,83.247,83.751,84.089,86.065,87.468,88.238,88.55,88.265,88.923,88.06,87.585,87.46,88.742,89.432,89.602,89.751,90.399,92.121,93.687,94.63,95.662,95.814,96.717,97.701,98.386,99.746,100.426,101.441,103.148,102.463,103.078,104.593,104.3,104.419,104.587,105.547,104.274,104.74,103.684,102.275,100.463,99.488,99.237,99.15,100.642,101.794,102.516,103.419,104.699,105.454,106.05,107.279,108.537,108.821,109.174,111.289,112.002
"28","20","    Financial services and insurance","DIFSRA3",23.089,23.377,23.513,23.948,23.871,24.144,24.512,24.867,25.278,25.245,25.208,25.225,26.118,26.339,27.009,27.361,27.906,28.141,28.311,28.607,27.957,28.37,29.27,30.095,31.276,31.576,31.692,32.209,32.721,33.087,33.594,34.259,34.718,35.083,35.714,36.476,36.712,37.58,37.46,37.447,37.339,38.773,38.993,38.665,39.027,38.099,38.845,39.748,39.075,38.72,38.136,38.533,39.238,40.317,42.044,44.951,46.852,47.408,48.286,47.953,47.149,47.558,48.617,48.961,51.75,52.769,53.982,54.169,54.426,54.667,54.784,55.52,55.59,55.161,54.773,54.869,54.834,54.919,54.882,55.453,56.204,56.64,57.474,58.157,57.977,58.34,58.587,58.831,61.745,62.631,62.177,62.753,63.617,63.133,64.139,65.419,67.52,69.069,69.806,70.873,70.85,69.639,69.505,69.19,69.082,69.884,70.558,71.03,72.211,72.891,72.593,73.371,74.113,74.273,76.143,76.549,77.434,79.254,80.903,82.638,83.529,85.691,87.481,90.463,94.927,95.184,95.516,95.793,94.459,94.42,94.09,95.786,94.918,94.283,94.493,93.686,93.19,93.937,94.908,95.475,96.077,96.149,96.467,98.161,98.378,99.554,100.801,101.267,102.04,102.276,102.298,103.691,104.546,105.829,106.464,106.866,106.847,105.702,104.84,102.013,99.264,97.804,96.649,96.063,97.68,98.791,97.68,97.403,97.476,97.118,98.19,97.683,98.593,98.568,97.365,97.996,99.677
