"","Table 6#14B# Inventory Valuation Adjustment to Nonfarm Incomes b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:30:50 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Inventory valuation adjustment to nonfarm incomes","A1830C0",-2562,2319,-6059,-1526,1182,-1165,-367,-1934,-3195,-1839,-311,-309,-148,274,22,10,-550,-1411,-2331,-1758,-4064,-6334
"9","2","Corporate business","B058RC0",-2152,1856,-4965,-1199,981,-997,-318,-1736,-2693,-1539,-255,-277,-173,271,26,54,-494,-1245,-2107,-1554,-3651,-5870
"10","3","  Mining","B1831C0",-61,31,-49,-9,-11,-37,0,-43,-19,-8,3,-4,8,0,8,-6,-27,-16,-19,-22,-1,-160
"11","4","  Construction","B1832C0",-42,24,-72,-12,-3,-8,-14,-43,-16,3,-12,-25,49,5,9,-16,-15,-34,-69,-56,-219,-96
"12","5","  Manufacturing","A672RC0",-1442,1107,-3183,-601,654,-692,-315,-1348,-1645,-949,-194,-198,-252,315,-15,174,-288,-571,-1149,-831,-2244,-3721
"13","6","    Durable goods","A674RC0",-1624,377,-1270,-722,-118,-784,-300,-1315,-1386,-552,-305,-247,-180,203,-32,76,-204,-291,-843,-759,-1808,-2739
"14","7","    Nondurable goods","A673RC0",182,730,-1913,121,772,92,-15,-33,-259,-397,111,49,-72,112,17,98,-84,-280,-306,-72,-436,-982
"15","8","  Transportation and public utilities","A676RC0",-241,127,-211,-107,-19,-67,12,-151,-158,-28,-8,-72,14,4,10,0,-37,-75,-118,-56,0,-274
"16","9","    Transportation","C528RC0",-151,59,-100,-78,2,-46,-8,-47,-55,-34,-5,-19,-4,-2,3,1,-4,-18,-29,-37,-46,-46
"17","10","    Communication","C529RC0",-18,13,-20,-5,-4,-4,4,-41,-39,2,-1,-10,13,-2,4,0,-14,-12,-26,-4,7,-90
"18","11","    Electric, gas, and sanitary services","C530RC0",-72,55,-91,-24,-17,-17,16,-63,-64,4,-2,-43,5,8,3,-1,-19,-45,-63,-15,39,-138
"19","12","  Wholesale trade","C526RC0",-116,326,-892,-243,258,-82,30,-46,-515,-332,-19,11,38,-75,26,-51,-49,-308,-421,-174,-483,-704
"20","13","  Retail trade","C527RC0",-250,241,-558,-227,102,-111,-31,-105,-340,-225,-25,15,-27,23,4,-59,-54,-223,-289,-375,-629,-822
"21","14","  Other","B1833C0",-103,55,-121,-21,-14,-45,-14,-86,-35,-5,-9,-33,54,4,1,-10,-66,-68,-130,-118,-295,-349
"22","15","Noncorporate business","B179RC0",-410,463,-1094,-327,201,-168,-49,-198,-502,-300,-56,-32,25,3,-4,-44,-56,-166,-224,-204,-413,-464
"23","16","  Mining","B1834C0",-12,5,-6,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","17","  Construction","B1835C0",-40,23,-67,-10,-4,-7,-10,-33,-14,2,-11,-21,35,2,5,-11,-9,-14,-27,-19,-64,-27
"25","18","  Manufacturing","A1836C0",-36,56,-149,-4,24,-10,-7,-34,-35,-15,-12,-12,0,7,-8,-2,-10,-14,-22,-15,-51,-38
"26","19","    Durable goods","B1837C0",-49,22,-72,-15,-4,-20,-8,-42,-25,-10,-16,-9,2,6,-7,-4,-5,-7,-18,-15,-37,-29
"27","20","    Nondurable goods","B1838C0",13,34,-77,11,28,10,1,8,-10,-5,4,-3,-2,1,-1,2,-5,-7,-4,0,-14,-9
"28","21","  Wholesale trade","B1839C0",-43,98,-254,-70,72,-29,6,-41,-138,-81,-13,-4,14,-17,5,-9,0,-34,-43,-4,-50,-73
"29","22","  Retail trade","B1840C0",-279,281,-618,-243,109,-121,-38,-90,-315,-206,-20,10,-21,13,3,-29,-25,-95,-118,-150,-217,-285
"30","23","  Other","B1841C0",0,0,0,0,0,0,0,0,0,0,0,-5,-3,-2,-9,7,-12,-9,-14,-16,-31,-41
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
