"","Table 3#11#5# National Defense Consumption Expenditures and Gros","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1972 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 24, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2015 12:28:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    National defense consumption expenditures and gross investment","A824RC1",100.6,102,109.2,117,123.8,132.8,143,157.8,181,211.2,242.8,269.3,294.7,326,349.2,369.9,379.6,388.6,402.8,412,404.7,390.1,380.3,376,376.5,371.4,367.7,382.7,391.7,412.7,456.8,519.9,570.2,608.3,642.4,678.7,754.1,788.3,832.8,836.9,817.8,767.7,748.2
"9","2","Consumption expenditures \1\","A997RC1",84.4,84.3,88.8,94.3,98.2,104.9,113,122.9,140.8,162.9,184.6,199.6,213.6,230.5,245.8,259.2,274.2,283.5,295.4,310.6,307.5,300.8,294.5,291.1,291.5,292.5,288.5,301.2,308.3,325.1,358.1,408.9,446.8,475.9,500.3,526.1,582.8,613.3,653.2,662.3,653.9,614.4,599.8
"10","3","  Gross output of general government","W085RC1",87.6,88,93.2,98.4,101.7,108.7,117,127.3,145.8,168.7,191.3,206.5,221.8,239.7,255.7,269.5,285.1,294.8,307.9,322.9,320.2,313.7,309,303.3,304,304.3,299.9,312.7,320.7,339.4,374.2,426,464.2,495.1,521.6,548,605.9,636.5,676.8,688.3,679.7,639.7,624.4
"11","4","    Value added","W086RC1",67.9,69.2,72.3,76.6,79.9,83.9,89.8,95.4,104.9,119.1,132.6,141.7,154.1,166.1,175.6,184.8,195.7,205.4,213.4,223.1,224.8,220.7,218.2,215.9,212.6,210.9,208.9,211,216.3,222.2,238.3,262.5,279.5,300.5,314.7,331.4,353.4,373.5,396.1,409.6,410.4,402.5,402
"12","5","      Compensation of general government employees","B237RC1",45.6,46.1,47.7,50.2,51.8,53.9,57.6,60.9,66.7,76.3,84.8,89.3,95.9,102.4,106.2,109.5,113.8,117.9,121.2,126.8,126.8,121,117.4,114.1,112,111.4,110.8,112.7,116.9,123.2,139.4,160.5,172.2,186.1,192.9,201.5,214.4,228.8,245,251.3,248.7,240.3,239.7
"13","6","        Military","B4080C1",30.2,30.3,30.9,32,32.6,33.7,35.4,37.4,41.5,48.8,54.9,57.8,62,66.2,69.4,72.2,74.8,76.5,78.5,82.4,80.9,75.1,71.7,69.5,67.7,67.8,68,69.8,72.9,78.4,89.7,107.4,113.9,123.3,127.8,133.2,142.8,152,159.6,160.6,158.7,152.8,149.9
"14","7","        Civilian","W090RC1",15.4,15.8,16.7,18.2,19.2,20.2,22.2,23.5,25.2,27.6,29.9,31.5,33.9,36.1,36.8,37.3,39,41.4,42.7,44.4,45.9,45.9,45.7,44.6,44.3,43.6,42.8,42.9,44.1,44.8,49.7,53.1,58.3,62.7,65.1,68.3,71.6,76.8,85.5,90.7,90,87.5,89.7
