"","Table 7#2#4B# Price Indexes for Motor Vehicle Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","Final sales of domestic product","AB60RG3",36.535,37.479,39.296,39.144,38.947,41.64,45.271,48.794,51.788,55.279,59.464,64.313,69.173,72.283,74.913,77.322,79.386,80.932,83.566,83.684,86.607,88.177,91.154,93.014,96.435,100.867,103.681,106.467,108.058,107.092,107.216,106.883,106.065,105.614,102.682,102.576,103.432,102.89,102.065,98.145,100,103.799,106.821,108.653,110.187,111.272
"12","5","  Personal consumption expenditures","AB61RG3",33.843,34.752,36.516,36.578,36.965,39.193,43.145,46.498,49.133,52.757,56.496,60.178,65.27,68.762,71.922,74.985,77.031,79.519,83.599,84.915,87.53,87.808,90.563,92.462,96.959,102.28,106.93,109.452,110.025,108.789,109.237,109.642,109.792,108.92,105.371,104.352,105.838,105.281,104.045,100.334,100,106.492,109.546,110.587,111.352,111.485
"13","6","    New motor vehicles","AB67RG3",38.189,39.277,40.913,40.614,40.627,42.892,46.751,49.66,52.278,56.223,60.567,65.308,69.184,71.889,73.733,75.878,78.422,81.819,84.236,85.584,87.519,89.399,92.886,95.284,98.053,101.64,104.169,106.202,106.909,106.369,106.306,106.177,105.599,103.874,102.384,101.702,102.212,101.557,100.481,98.964,100,102.072,104.716,106.475,107.751,108.402
"14","7","      Autos","A136RG3",38.621,39.719,41.384,41.074,41.086,43.368,47.265,50.209,52.855,56.857,61.243,66.02,69.89,72.638,74.444,76.449,78.796,82.165,84.969,86.491,88.134,89.302,92.463,94.569,96.816,99.906,101.985,103.564,103.664,102.871,102.026,102.036,101.571,100.387,98.492,97.935,98.87,99.741,99.339,99.022,100,100.982,103.724,105.143,105.686,105.353
"15","8","      Light trucks (including utility vehicles)","B704RG3",36.153,37.211,38.626,38.413,38.433,40.63,44.307,47.053,49.539,53.23,57.367,61.93,65.879,68.372,70.363,72.972,76.05,79.463,80.866,81.792,84.283,87.494,91.503,94.34,97.845,102.06,105.139,107.698,109.074,108.798,109.495,109.234,108.561,106.439,105.203,104.442,104.684,102.934,101.363,98.917,100,102.821,105.406,107.389,109.147,110.394
"16","9","    Net purchases of used autos and used light trucks","W240RG3",19.889,20.266,22.254,23.442,25.114,27.216,31.328,36.033,38.769,41.291,42.902,43.15,51.779,57.767,65.851,72.623,72.788,71.8,82.126,83.337,88.34,83.528,84.383,85.121,93.648,103.068,112.507,116.049,116.365,113.795,115.233,116.723,118.469,119.608,110.984,109.136,113.016,112.711,111.115,102.777,100,114.468,118.366,117.526,116.902,115.675
"17","10","      Used autos","A137RG3",18.078,18.413,20.268,21.409,23.015,24.975,28.83,33.282,35.859,38.044,39.44,39.568,47.369,52.676,60.258,66.297,66.441,66.11,77.462,78.083,83.836,78.349,79.352,81.525,89.905,99.288,108.4,112.024,112.701,109.805,111.107,112.172,113.526,115.495,107.772,107.756,112.551,113.173,113.086,102.951,100,115.345,118.517,117.242,116.459,115.007
"18","11","      Used light trucks (including utility vehicles)","W241RG3",30.914,31.816,33.108,32.853,32.863,34.724,37.762,40.291,42.335,47.54,50.669,52.153,63.803,73.046,81.228,90.991,91.248,86.517,89.951,93.52,95.256,92.827,93.236,90.144,98.635,107.668,117.475,120.709,120.338,118.346,119.966,122.005,124.231,124.4,114.75,110.828,113.687,112.4,109.38,102.633,100,113.805,118.286,117.798,117.302,116.259
"19","12","  Private fixed investment","AB62RG3",28.302,29.489,31.081,31.514,31.497,34.183,37.342,39.718,42.715,46.724,50.5,55.606,59.157,60.631,61.274,61.751,63.69,68.179,69.268,69.83,71.959,74.961,78.883,80.208,80.172,82.348,81.859,83.992,86.552,86.912,87.163,86.05,84.316,85.586,87.168,90.529,89.745,89.597,90.463,89.78,100,88.034,89.68,91.897,93.4,94.427
"20","13","    New motor vehicles","AB68RG3",31.295,32.431,34.182,34.563,34.783,37.495,41.474,44.505,47.82,51.747,55.905,60.894,66.512,69.748,71.639,73.906,75.717,78.754,80.374,81.71,83.884,85.53,88.577,90.978,93.66,96.981,99.659,101.312,101.778,101.545,101.844,101.922,101.42,100.13,98.912,98.701,99.701,99.812,99.475,98.739,100,101.812,104.462,106.345,107.513,108.202
"21","14","      Autos","B139RG3",38.618,39.698,41.377,41.064,41.093,43.461,47.278,50.22,52.865,56.865,61.21,66.066,69.977,72.651,74.472,76.462,78.791,82.084,84.971,86.517,88.147,89.324,92.455,94.587,96.805,99.937,101.975,103.579,103.678,102.865,102.032,102.033,101.577,100.369,98.486,97.937,98.882,99.74,99.34,99.03,100,100.832,103.596,104.99,105.526,105.193
"22","15","      Trucks","B705RG3",24.546,25.69,27.464,28.401,28.753,31.595,35.617,38.737,42.685,46.503,50.432,55.485,62.97,66.923,68.927,71.579,72.779,75.531,75.577,76.667,79.547,81.838,84.833,87.679,90.969,94.527,97.864,99.563,100.328,100.515,101.575,101.706,101.169,99.818,99.105,99.121,100.154,99.84,99.536,98.526,100,102.542,105.119,107.314,108.896,110.213
"23","16","        Light trucks (including utility vehicles)","B196RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.697,81.69,84.16,87.398,91.339,94.201,97.752,101.971,105.024,107.617,108.938,108.654,109.352,109.1,108.421,106.295,105.057,104.292,104.462,102.803,101.224,98.988,100,102.686,105.267,107.258,109,110.237
"24","17","        Other","B197RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.291,61.271,63.993,65.197,66.847,69.297,71.882,74.301,77.517,77.848,77.511,78.615,80.289,81.206,81.043,81.894,82.675,84.824,87.972,90.941,94.26,97.206,100,102.139,104.704,107.426,108.584,110.122
"25","18","    Net purchases of used autos and used light trucks","W242RG3",29.586,29.803,31.408,31.185,32.972,33.984,40.074,44.778,47.882,48.412,52.172,53.813,66.109,76.281,83.899,94.963,95.157,90.14,93.229,96.838,98.541,96.048,96.485,100.842,109.253,114.976,126.865,126.632,121.117,119.39,119.755,122.751,125.167,118.594,111.703,103.767,108.927,109.726,106.37,105.622,100,112.195,116.355,116.826,116.589,115.982
"26","19","      Used autos","B140RG3",29.703,29.913,31.529,31.305,33.134,34.125,40.344,45.149,48.296,48.639,52.447,54.111,66.487,76.759,84.368,95.569,95.769,90.708,93.692,97.334,99.023,96.524,96.953,101.093,109.593,115.553,127.37,127.401,122.404,120.431,120.832,123.79,126.213,120.085,112.78,104.893,109.7,110.134,106.591,105.722,100,112.069,116.314,116.723,116.453,115.804
"27","20","      Used light trucks (including utility vehicles)","W243RG3",32.047,32.946,34.292,34.042,34.085,36.141,39.214,41.65,44.015,49.485,52.704,54.058,66.197,75.609,83.948,94.201,94.347,89.452,93.164,96.704,98.499,95.986,96.45,101.376,109.685,114.892,127.114,126.282,119.754,118.412,118.73,121.775,124.186,117.177,110.678,102.692,108.212,109.371,106.183,105.54,100,112.299,116.38,116.909,116.703,116.135
"28","21","  Gross government investment","AB64RG3",23.517,24.751,26.317,25.797,26.139,28.611,32.204,34.828,37.906,41.144,44.678,48.946,54.373,57.541,59.443,61.57,62.86,65.974,66.246,66.809,69.834,71.703,73.996,76.304,78.666,81.147,82.944,84.079,85.768,86.928,88.575,88.855,87.925,88.956,89.247,90.666,92.323,93.98,95.676,96.837,100,100.672,102.681,104.976,106.517,108.021
"29","22","    Autos","B144RG3",25.251,26.807,28.333,28.922,29.427,32.07,34.999,37.153,39.39,42.425,46.068,50.506,53.706,56.662,58.481,59.772,62.069,66.579,70.018,71.254,73.594,75.977,77.935,79.269,81.469,84.043,84.764,86.233,88.529,90.048,90.565,91.514,89.05,91.637,91.013,90.382,91.016,92.919,94.063,95.319,100,97.845,98.948,99.46,100.878,101.717
"30","23","    Trucks","B708RG3",22.944,24.013,25.637,24.414,24.68,27.065,30.862,33.633,37.019,40.327,43.791,47.96,54.283,57.524,59.447,61.869,62.837,65.515,64.759,65.067,68.354,70.025,72.451,75.165,77.608,80.052,82.453,83.413,84.825,85.839,87.939,87.971,87.585,88.088,88.662,90.696,92.669,94.247,96.117,97.249,100,101.383,103.625,106.367,107.938,109.602
"31","24","  Net exports","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","25","    Exports","AB69RG3",18.73,19.11,20.346,21.033,22.109,24.844,28.532,30.931,33.774,36.832,41.959,47.193,55.489,58.331,60.551,62.478,64.951,67.986,70.455,71.772,73.25,76.225,78.97,80.489,80.854,82.158,83.574,84.411,85.564,86.498,87.716,89.996,90.825,92.093,93.628,95.218,96.854,97.518,98.368,99.065,100,100.799,102.8,104.81,105.832,107.174
"33","26","      Autos","B142RG3",17.418,17.761,18.97,19.755,21.163,24.001,27.975,30.321,33.235,36.319,42.667,49.143,58.141,61.155,63.469,65.48,67.821,70.963,73.58,74.964,76.527,79.746,82.611,84.184,84.563,85.987,87.815,89.236,89.821,90.216,91.108,93.102,93.698,94.61,95.769,96.864,97.876,98.532,99.096,99.419,100,100.571,101.762,102.939,102.955,103.615
"34","27","      Trucks","B706RG3",21.715,22.177,23.486,23.948,24.256,26.798,30.109,32.65,35.422,38.502,41.891,45.433,52.942,55.609,57.746,59.598,62.436,65.403,67.713,68.968,70.358,73.048,75.689,77.172,77.525,78.711,79.727,80.03,81.654,83.009,84.482,86.985,88.024,89.655,91.547,93.553,95.695,96.366,97.499,98.641,100,101.042,103.895,106.833,109.084,111.34
"35","28","    Imports","AB70RG3",14.657,15.939,17.31,18.775,21.178,23.078,27.922,29.377,31.986,37.501,41.059,44.232,49.993,52.364,53.982,55.716,57.746,65.389,69.761,73.64,74.756,74.745,78.075,79.64,81.384,84.536,87.198,88.011,88.568,89.379,90.873,91.861,92.536,93.172,93.97,95.369,96.375,96.8,97.715,99.5,100,100.566,102.06,103.079,103.115,102.645
"36","29","      Autos","B143RG3",13.736,15.085,16.455,18.07,20.831,22.725,27.922,29.248,31.894,38.076,41.845,44.793,50.528,52.935,54.57,56.324,58.392,66.288,71.39,75.334,76.297,76.111,79.598,81.335,83.316,86.672,89.255,90.004,90.841,91.214,92.511,93.315,93.874,94.541,95.137,96.209,97.038,97.202,98.058,99.747,100,99.729,102.478,104.336,104.632,104.445
"37","30","      Trucks","B707RG3",21.485,22.263,23.587,23.898,24.132,26.156,29.191,31.371,33.94,37.132,40.09,44.293,50.444,52.795,54.432,56.173,58.168,65.324,67.733,71.562,73.087,73.463,76.553,77.849,79.223,82.087,84.897,85.81,86.008,87.38,89.113,90.316,91.125,91.727,92.751,94.487,95.659,96.319,97.289,99.176,100,101.713,101.535,101.402,101.054,100.155
"38","31","Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","  Autos","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","33","    New","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","34","      Domestic","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","      Foreign","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","36","    Used","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","37","  Trucks","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","38","    New","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","39","      Domestic","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","      Foreign","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Used \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","  Final sales of motor vehicles to domestic purchasers","AB75RG3",32.354,33.385,35.121,35.282,35.544,38,41.775,44.861,47.693,51.525,55.368,59.665,64.4,67.304,69.67,71.911,73.937,77.106,80.255,81.35,83.891,84.944,88.021,89.817,93.03,97.353,100.226,102.633,103.972,103.337,103.767,103.663,103.199,102.968,100.856,101.078,101.915,101.56,101.111,98.445,100,103.183,105.843,107.373,108.464,108.989
"51","43","  Private fixed investment in new autos and new light trucks","AB76RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.653,86.068,87.939,89.683,93.058,95.41,98.05,101.569,103.989,106.005,106.659,106.099,106.03,105.902,105.334,103.672,102.102,101.439,101.963,101.422,100.361,99.009,100,101.755,104.42,106.13,107.3,107.824
"52","44","  Domestic output of new autos \2\","B148RG3",35.882,36.843,38.51,38.27,38.38,40.637,44.554,47.403,50.043,53.879,58.4,63.356,67.708,70.554,72.366,74.306,76.576,79.789,82.676,84.071,85.702,86.982,90.137,92.248,94.134,97.001,98.837,100.371,100.648,100.016,99.37,99.592,99.217,98.5,97.096,96.914,97.777,98.63,98.567,98.622,100,99.825,101.815,103.295,103.631,103.597
"53","45","  Sales of imported new autos \3\","B149RG3",38.659,39.845,41.407,41.074,41.098,43.419,47.215,50.256,52.865,56.872,61.291,66.066,70.008,72.656,74.445,76.462,78.827,82.187,84.992,86.487,88.153,89.317,92.471,94.58,96.807,99.938,101.983,103.576,103.664,102.87,102.026,102.034,101.576,100.381,98.491,97.937,98.877,99.74,99.341,99.022,100,100.934,103.654,105.096,105.633,105.305
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3. Consists of sales of imported new autos in personal consumption expenditures, in private fixed investment,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
