"","Table 7#2#4U# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180"
"61","53","      Autos","B143RG3",13.179,13.349,13.009,13.179,13.86,13.689,13.349,13.944,13.944,14.029,13.944,15.474,15.474,15.305,16.07,16.24,17.005,17.09,17.005,17.685,18.28,18.621,18.96,19.641,19.981,21.936,22.361,22.957,21.596,23.042,24.827,26.187,28.654,28.908,29.248,29.759,29.759,30.098,31.034,31.459,32.225,32.309,33.839,34.69,36.901,39.026,40.812,42.428,44.808,43.532,42.683,44.043,45.149,44.298,47.614,50.419,51.311,52.273,51.844,55.785,55.56,55.406,54.693,55.711,56.406,56.673,56.568,58.302,57.822,58.996,58.959,59.665,60.147,60.372,60.368,63.061,66.271,68.505,69.697,72.459,73.578,74.625,74.621,75.611,77.16,78.808,78.2,80.813,80.438,79.38,78.504,80.626,79.848,78.411,78.776,81.232,82.496,82.837,82.87,84.608,84.745,84.238,84.83,86.184,85.549,86.632,87.04,89.057,89.499,90.027,90.517,92.046,92.198,93.094,93.702,94.315,93.976,93.881,94.124,94.286,94.281,94.536,95.312,95.653,95.471,95.313,94.969,95.537,96.217,96.503,96.401,96.366,96.371,96.433,96.371,96.621,96.652,96.462,96.587,97.324,97.36,97.2,97.328,97.809,97.777,97.842,97.842,98.71,98.839,99.03,99.675,100.123,99.834,99.867,100.027,100.252,99.963,100.059,100.06,100.445,100.317,100.575,101.023,102.213,103.111,103.24,103.406,102.666,102.341,102.807,103.28,103.4,102.919,102.941,102.823,102.76,103.182
"62","54","      Trucks","B707RG3",21.503,21.275,21.275,21.585,21.827,21.982,22.129,22.211,22.206,22.443,22.671,22.761,22.93,23.183,23.436,23.852,24.591,24.763,24.844,24.754,24.83,25.059,25.296,25.059,24.911,25.172,25.515,25.67,26.066,26.703,27.756,28.989,29.822,30.484,30.737,31.399,31.943,32.417,33.144,34.214,34.801,34.907,35.405,36.949,37.824,38.461,39.334,40.151,40.905,41.812,42.473,43.2,44.416,45.551,47.168,48.548,51.32,52.316,51.89,55.8,55.587,55.444,54.733,55.799,56.439,56.724,56.511,58.36,57.865,59.073,58.928,59.706,60.121,60.325,60.315,63.004,66.189,68.457,69.594,69.814,70.189,71.269,70.36,72.362,74.008,75.079,74.581,76.566,76.99,76.295,75.692,77.532,77.05,76.046,76.652,78.517,79.795,80.092,79.869,81.354,81.523,80.995,81.768,82.376,81.792,82.79,83.276,84.652,84.395,85.611,86.173,87.901,88.253,88.872,89.405,89.824,89.615,89.671,90.326,90.415,90.151,89.969,90.061,90.747,90.916,91.607,91.755,92.29,92.622,92.794,93.536,93.714,94.011,94.101,94.605,94.935,95.092,95.061,95.343,95.503,95.655,95.81,96.005,96.033,96.194,96.854,96.983,97.765,97.955,98.586,99.089,99.434,99.469,99.883,100.075,100.517,100.536,100.51,100.69,101.01,101.228,101.451,101.667,102.482,102.788,103.315,104.152,105.225,104.945,104.125,104.223,104.756,105.015,105.498,107.653,107.681,107.526
"63",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","55","  Final sales of motor vehicles to domestic purchasers","AB75RG3",29.71,29.921,30.441,30.916,30.872,31.074,31.323,31.616,31.572,31.747,31.974,32.201,32.289,32.486,32.86,33.92,34.825,35.091,34.519,33.961,34.587,34.882,35.098,34.465,34.53,34.976,35.26,35.298,35.559,36.473,38.153,39.559,40.04,40.938,41.401,42.235,43.077,43.638,44.452,45.609,45.958,46.415,47.047,48.518,49.614,50.2,51.173,52.049,53.217,54.442,54.86,55.662,57.073,58.114,59.429,60.496,61.122,63.124,64.265,65.261,65.395,66.074,66.817,66.928,67.793,68.236,68.876,69.635,70.078,70.712,71.217,71.363,72.05,72.545,72.987,73.773,74.27,75.452,76.476,77.641,77.896,78.795,79.643,79.916,79.162,79.571,80.715,81.575,82.268,82.742,82.715,83.447,83.52,83.223,83.378,84.311,85.786,86.245,86.852,87.588,87.714,88.362,88.759,89.384,90.273,91.324,92.406,93.541,94.575,95.698,96.89,97.543,98.112,98.717,98.869,99.423,100.192,100.581,101.176,101.644,101.915,101.683,101.893,101.777,100.933,100.379,100.786,101.044,101.305,101.345,101.398,101.46,101.185,101.555,101.36,101.192,100.754,100.532,100.731,100.699,100.531,100.307,99.936,100.309,98.998,98.144,98.226,98.647,98.79,99.336,98.612,99.453,100.207,100.525,99.239,100.029,100.297,99.935,99.584,99.357,99.275,99.517,99.592,99.458,98.756,98.248,97.985,96.593,97.18,99.001,99.807,100.885,100.571,100.915,101.256,101.227,101.766
"65","56","  Private fixed investment in new autos and new light trucks","AB76RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.752,84.396,85.249,85.278,85.304,85.988,87.116,87.632,88.093,88.494,88.112,89.304,89.314,88.977,89.316,90.231,91.832,92.367,92.997,93.896,94.499,95.324,95.867,96.741,97.546,98.362,99.166,99.924,101.007,102.131,103.217,103.058,103.624,104.164,104.204,104.485,104.889,105.244,105.797,105.831,105.899,105.367,104.931,104.034,103.498,102.925,103.438,103.887,103.882,103.973,103.663,103.799,103.452,103.861,104.075,103.922,103.031,102.468,103.238,102.259,101.76,100.871,99.528,100.254,100.115,98.881,99.276,100.034,99.573,99.754,98.854,99.643,100.621,100.555,99.122,99.702,99.941,99.691,99.466,98.876,98.435,98.435,98.43,98.302,97.862,97.51,97.273,95.698,96.19,97.819,98.326,100.004,99.605,99.74,100.205,100.061,100.706
"66","57","  Domestic output of new autos","B148RG3",34.664,34.858,35.362,35.861,35.845,36.007,36.215,36.54,36.397,36.614,36.867,37.133,37.118,37.24,37.604,39.01,39.97,40.044,39.355,38.392,39.124,39.3,39.608,38.765,38.898,39.302,39.61,39.418,39.671,40.545,42.375,43.891,44.307,45.602,45.924,46.738,47.724,48.086,48.639,49.763,50.184,50.632,51.325,52.872,54.067,54.517,55.479,56.688,58.154,59.59,60.36,61.166,62.907,64.265,65.795,66.613,67.092,69.039,70.204,71.05,71.68,71.99,72.731,72.719,73.288,73.828,74.374,74.972,75.418,75.887,76.434,76.677,77.591,78.214,78.763,79.144,79.841,81.199,82.388,83.489,83.694,84.195,85.227,85.539,85.185,85.582,86.597,87.113,87.259,87.684,87.504,88.663,89.212,88.665,88.855,89.724,91.475,92.363,92.521,92.962,93.691,94.283,94.868,95.086,95.422,96.103,96.785,97.347,98.306,98.896,99.874,100.292,101.755,101.184,101.314,101.739,100.883,102.572,103.194,103.329,102.972,103.263,103.065,102.674,102.922,102.244,102.558,102.304,102.131,101.709,101.564,101.663,101.682,102.104,102.122,101.692,101.673,101.661,101.328,101.556,101.026,100.592,100.364,100.676,99.626,99.402,99.188,99.041,99.027,99.469,98.834,99.35,100.032,100.106,99.508,100.355,100.853,100.692,100.958,100.973,100.783,100.815,100.666,100.616,100.33,100.508,101.202,101.03,102.09,102.472,102.052,102.786,102.047,101.816,101.791,101.76,102.264
"67","58","  Sales of imported new autos","B149RG3",36.905,37.101,37.651,38.178,38.146,38.321,38.576,38.899,38.724,38.955,39.212,39.514,39.564,39.737,40.195,41.709,42.575,42.563,41.653,40.732,41.501,41.684,41.949,41.043,41.208,41.585,41.827,41.654,41.85,42.87,44.78,46.163,46.464,47.641,47.99,48.926,49.955,50.386,50.948,52.035,52.391,52.823,53.502,55.166,56.507,56.853,57.701,59.033,60.378,61.726,62.539,63.33,64.978,66.325,67.671,68.316,68.459,70.55,71.69,72.538,72.707,73.322,74.004,73.918,74.499,74.973,75.519,76.172,76.633,77.096,77.636,77.994,78.919,79.489,79.996,80.514,81.262,82.543,83.794,84.921,84.995,85.561,86.486,86.844,86.387,86.939,88.035,88.54,88.733,89.16,88.938,89.808,90.372,89.942,90.032,91.003,92.687,93.41,93.764,94.249,94.789,95.42,95.993,96.438,96.821,97.496,98.261,99.072,99.814,100.633,101.662,102.207,102.642,103.174,103.185,103.594,104.145,104.485,105.113,105.296,105.206,105.071,104.761,104.357,104.243,103.919,104.195,103.823,103.593,103.153,103.031,102.985,102.961,103.409,103.435,102.994,102.898,102.848,102.482,102.717,102.047,101.487,101.214,101.363,100.139,99.771,99.454,99.11,98.993,99.353,98.634,99.247,100.061,100.159,99.446,100.335,100.907,100.8,101.071,100.819,100.482,100.428,100.253,100.202,99.855,99.964,100.686,99.566,99.768,100.717,100.835,102.667,102.115,101.976,102.1,101.721,102.354
"68","59","    Imports from Canada","GAP913",36.747,37.008,37.813,38.269,38.224,38.487,38.601,38.867,38.825,39.015,39.313,39.511,39.65,39.87,40.895,42.244,42.928,42.825,39.707,41.229,41.723,41.805,41.694,40.874,41.48,41.743,41.663,42.082,42.151,44.099,45.898,47.247,46.997,47.922,48.579,49.577,50.18,50.565,51.458,52.439,52.793,53.269,54.329,55.763,57.225,57.523,58.176,59.632,61.624,62.618,63.137,64.033,66.309,67.411,68.767,69.368,68.986,72.571,72.541,74.178,70.804,74.122,74.358,73.897,74.873,75.004,75.768,76.627,77.131,77.004,77.449,78.701,79.802,79.564,79.852,81.224,81.847,83.122,84.662,85.79,85.349,85.531,85.816,86.495,86.322,87.739,88.712,88.973,89.003,89.183,89.444,89.999,90.333,91.397,91.429,92.117,93.123,93.162,94.754,95.258,94.658,95.532,95.743,96.669,97.021,97.431,98.193,99.007,98.477,100.665,101.68,102.247,96.65,103.186,103.148,103.574,110.735,104.522,105.139,105.284,106.865,105.067,104.765,104.379,102.674,104.036,104.079,103.812,103.563,103.198,103.071,103,102.955,103.42,103.441,102.991,102.851,102.822,102.474,102.836,102.028,101.483,101.22,101.359,100.245,99.743,99.451,99.104,98.98,99.343,98.624,99.237,100.083,100.163,99.449,100.295,100.863,100.828,101.115,100.801,100.485,100.419,100.291,100.199,99.813,99.951,100.952,100.036,98.268,99.85,100.221,102.738,102.153,102.051,102.164,101.675,102.366
"69","60","    Imports from Mexico","GAP1283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.179,80.221,77.447,79.617,81.608,81.029,84.761,87.03,84.851,85.556,85.711,86.615,86.304,87.74,88.721,88.97,89.009,89.188,89.441,89.978,90.333,91.42,91.456,92.109,93.106,93.161,94.738,95.258,94.658,95.546,95.76,96.65,97.021,97.431,98.193,99.007,98.477,100.665,101.68,102.247,96.65,103.186,103.148,103.574,110.735,104.522,105.139,105.284,106.865,105.067,104.765,104.379,102.674,104.036,104.079,103.812,103.563,103.198,103.071,103,102.955,103.42,103.441,102.991,102.851,102.822,102.474,102.836,102.028,101.483,101.22,101.359,100.245,99.743,99.451,99.104,98.98,99.343,98.624,99.237,100.067,100.151,99.437,100.285,100.863,100.828,101.115,100.801,100.485,100.419,100.291,100.199,99.813,99.951,100.952,100.036,98.268,99.85,100.221,102.738,102.153,102.051,102.164,101.675,102.366
"70","61","  Exports of used autos","GAP1003",24.915,25.347,26.271,26.618,27.105,26.661,26.801,26.253,26.875,27.04,26.038,26.402,26.021,26.631,27.014,27.697,28.395,28.707,28.313,27.843,27.786,27.935,28.089,29.054,30.189,30.585,29.901,28.968,27.787,28.85,32.09,34.84,35.672,35.52,37.006,37.779,37.934,40.699,42.139,43.527,45.365,45.4,43.165,41.745,41.892,43.136,45.378,46.486,46.466,48.959,48.205,46.072,43.872,56.189,48.413,47.93,50.516,56.958,59.331,75.374,36.555,80.294,82.168,75.858,76.989,73.346,73.083,75.645,79.094,84.144,87.839,88.268,87.015,85.888,83.796,83.746,83.172,81.843,81.293,80.136,80.395,83.495,85.334,85.461,86.025,86.73,87.447,88.105,90.019,89.784,87.903,87.484,87.477,86.624,86.297,85.419,85.797,86.623,87.378,87.409,86.988,89.085,91.644,93.823,94.357,96.962,99.74,101.524,100.159,101.315,104.538,108.613,113.67,115.174,113.915,114.243,116.091,114.571,113.837,113.339,113.789,111.626,108.059,107.087,107.792,107.848,108.848,109.402,107.133,107.57,110.348,110.97,109.951,111.184,111.577,114.139,114.93,114.21,113.225,112.915,110.358,108.986,109.587,107.097,106.44,106.046,102.287,95.188,94.531,94.007,95.199,98.717,99.302,99.615,100.389,100.627,100.792,101.073,100.638,99.105,97.455,96.842,97.316,98.63,99.229,98.085,95.927,92.046,88.764,88.248,90.814,97.066,101.297,102.635,104.523,103.723,103.846
"71","62","  Imports of used autos","GAP1033",24.886,25.366,26.305,26.631,27.098,26.663,26.799,26.26,26.765,27.053,26.031,26.401,26.031,26.611,27.029,27.687,28.394,28.71,28.314,27.859,27.787,27.941,28.097,29.04,30.18,30.588,29.919,28.978,27.751,28.908,32.072,34.843,35.673,35.525,37.022,37.779,37.948,40.702,42.139,43.529,45.357,45.425,43.184,41.744,41.899,43.136,45.365,46.484,46.455,48.957,48.182,46.066,46.57,47.513,48.793,52.992,55.755,57.903,61.483,64.802,65.867,67.32,69.374,70.326,71.682,72.818,76.12,79.676,81.507,84.726,86.264,86.349,91.849,93.399,92.254,92.303,89.993,86.235,83.242,81.88,80.612,83.495,85.334,84.8,86.06,86.73,87.429,88.088,90.019,89.789,87.901,87.486,87.474,86.619,86.295,85.415,85.8,86.635,87.369,87.411,86.989,89.082,91.635,93.819,94.344,96.937,99.717,101.522,100.158,101.313,104.537,108.61,113.665,115.173,113.914,114.243,116.095,114.56,113.839,113.33,113.753,111.667,108.074,107.088,107.78,107.873,108.848,109.405,107.103,107.605,110.417,110.991,109.942,111.191,111.576,114.126,114.93,114.21,113.224,112.916,110.358,108.986,109.587,107.097,106.437,106.122,102.505,95.351,94.531,93.987,94.999,98.775,99.389,99.502,100.27,100.577,100.636,100.955,100.538,98.901,97.352,96.712,97.185,98.533,99.106,97.985,95.959,91.617,88.751,88.201,90.342,97.302,101.19,102.677,104.514,103.607,103.646
