"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"30","22","Government consumption expenditures and gross investment","A822RX1",1494.7,1490,1493.5,1473.9,1466.9,1450.2,1456.5,1457.2,1436.1,1432.8,1432.4,1422.6,1429.3,1438,1409.3,1420.1,1431.6,1424.5,1406.4,1415.8,1442.4,1451.6,1453.5,1459.9,1476.1,1466.2,1489.5,1503.4,1506.5,1491.4,1483.9,1484.4,1497.3,1512,1515.4,1512.1,1513.9,1554.1,1566.4,1580.6,1566.9,1583,1585.1,1595.4,1620.2,1625.9,1601.9,1601.8,1622.8,1627.9,1621.6,1639.9,1638.2,1648.9,1659.3,1685.8,1701.9,1719.1,1747.3,1718,1738.1,1777.1,1791.8,1826,1848,1891,1935.4,1941.8,1958,1997.8,2043.4,2031.5,2044.3,2062.9,2067.7,2092.8,2078.6,2086.1,2087.5,2126.8,2117.2,2151.8,2169.8,2181.5,2215.8,2221.2,2219.9,2240.2,2251.2,2259.2,2250.8,2242.3,2259.7,2256.8,2268.4,2263.5,2237.8,2240.3,2245.1,2250,2222.1,2235.1,2272.7,2252.2,2256.8,2268.6,2262.4,2242.1,2246.8,2282.8,2285.2,2301.9,2301.3,2325.3,2329,2332.5,2319,2366,2387.6,2409.4,2418.1,2431.7,2460.3,2496.7,2476.2,2506.4,2501.2,2509,2546.3,2596.4,2594.6,2632.4,2671.3,2696.9,2717.8,2737.1,2728.3,2771.2,2771.2,2786.3,2793.9,2809.9,2820.7,2808.2,2814.1,2818.9,2841,2830.7,2853.5,2864.1,2870.4,2889.1,2882.7,2907,2928,2939.8,2952,2975,3016.2,3035.9,3040.5,3096,3113,3106.8,3084.3,3106.2,3103.5,3071.5,3012.2,3009,2990,2978.3,2963.7,2949.4,2940.9,2912.3,2878.8,2864.1,2848.1,2828.5,2828.4,2836.5,2849.2,2839,2838.5,2856.9,2869.7,2870.6,2878.9
"31","23","  Federal","A823RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801.2,805.2,819.4,835.6,804.6,832.8,818.9,814.6,832.3,848.7,855.9,862.6,884,904.7,919,935.7,935.9,982.8,977.1,996,1003,1013,1030.7,1021.8,1027.6,1029.8,1048.6,1033.2,1058.9,1057.7,1058,1069,1054.5,1071.2,1091.6,1097.5,1115.2,1135.7,1169.1,1189.3,1180.1,1218.9,1235.6,1236.2,1247.8,1273.4,1285,1276.4,1241.2,1246,1233.3,1225.2,1223.9,1214.8,1216.2,1199,1170.1,1153.2,1136.3,1116.9,1117.8,1114.5,1124.7,1108.3,1111.3,1111.3,1112,1118.3,1113.8
"32","24","    National defense","A824RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.6,508.9,522.6,532.8,500.9,522.8,512.6,512.7,519.6,528.4,534.2,537.8,549.9,562.8,572.4,584.1,583.7,625.3,617.3,635.5,640.9,648,668.4,653.4,659.1,664.6,679.1,659.3,672.6,678,674.2,690.5,676.6,691,706.9,708,719.7,733.6,764.5,774.5,757.5,788.4,804.9,802.3,798.6,811,825.9,818.6,788.4,801.3,805.1,785.3,777.9,769.2,770.8,754.7,734.4,723.6,709.4,698.8,690.6,689.8,697.3,678.6,680.3,680.8,678.4,683.1,676.9
"33","25","    Nondefense","A825RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297.6,296.4,297,303,303.5,310,306.2,301.9,312.6,320.1,321.5,324.5,333.9,341.7,346.4,351.4,352.1,357.5,359.8,360.6,362.1,365,362.4,368.5,368.6,365.3,369.6,374,386.4,379.8,383.8,378.5,378,380.2,384.7,389.6,395.5,402.1,404.5,414.8,422.6,430.4,430.7,433.9,449.2,462.4,459.1,457.7,452.7,444.7,428.2,439.9,446,445.6,445.4,444.2,435.6,429.5,426.7,418,427,424.6,427.1,429.4,430.7,430.2,433.2,434.8,436.4
"34","26","  State and local","A829RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1624.5,1634,1648,1668.1,1680.8,1681.2,1691,1703.6,1722.9,1756.8,1747.3,1778.9,1795.9,1799.8,1805.9,1807.9,1798.5,1791.7,1798,1793,1793.3,1799,1791,1787.7,1787.6,1790.2,1792.9,1798.6,1794.9,1806.9,1813,1820.6,1829,1836.4,1836.7,1842.5,1836.9,1839.3,1847.1,1846.6,1860.4,1877.1,1877.4,1870.6,1836.5,1832.8,1818.5,1795.2,1771.1,1763,1756.8,1753.1,1739.8,1734.5,1724.7,1713.3,1708.5,1710.4,1711.1,1710.6,1709.6,1720.8,1723.5,1729.3,1725.9,1744.1,1756.2,1750.9,1763.5
"35","27","Residual","A960RX1",-171.8,-156.7,-156.3,-158,-161.2,-153.9,-153.5,-161.1,-139.6,-134.3,-129.4,-140.1,-123.2,-118.8,-108.1,-108.6,-95.8,-80.1,-83.4,-70.2,-80.1,-80.6,-100.1,-93.1,-116.9,-117.7,-121.9,-116.7,-108.7,-101.5,-100.6,-103.1,-105.4,-87.6,-71.9,-88.1,-90.1,-62.8,-56.1,-46.3,-43,-46.9,-43,-42.8,-43.6,-46.2,-42.8,-32.2,-14,-27.9,-10.6,-32.2,-68.4,-66,-90,-119,-114.8,-109,-109.5,-84.1,-72.3,-74.4,-72.4,-85.4,-94,-105.1,-116,-109.3,-107.8,-125.7,-143.7,-137.4,-130.3,-132.7,-131.4,-115.3,-117.5,-104.3,-104.6,-107.9,-92.4,-93.7,-97,-101.8,-103.8,-101.8,-104.3,-113.8,-120,-118.1,-113.2,-104.9,-108.3,-99.5,-98.3,-94.2,-88.5,-88.7,-92.4,-84.5,-73.8,-66.4,-74,-63.1,-62.3,-66.9,-59.6,-51.4,-51.9,-48.5,-43.6,-39.7,-38.2,-30.9,-27.3,-26.4,-18.4,-26,-24.5,-19.8,-137.3,-112.1,-99,-101.1,-80.1,-83.1,-84.8,-87,-83.3,-101,-104.5,-73.4,-80,-74.5,-60.5,-67.1,-63,-50.7,-37.3,-32.1,-28.2,-22.2,-16.3,-11,-10.1,-0.4,3.7,-2.3,1.1,-4.6,-6.7,-5.5,-6.7,-7.1,-10.3,-15.3,-20.1,-17.6,-7.2,-10.1,-9.8,-1.9,4.6,6.8,4,-1.8,-1.8,-5,-10.4,-3.4,-17,-12,-15.1,-17.4,-19.9,-26.5,-26.5,-25.9,-22.5,-20.6,-27.2,-31.5,-40.3,-41.5,-40.8,-44.6,-48.9,-49.8,-39
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","are usually not additive. The residual line is the difference between the first line and the sum of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
