"","Table 5#4#4U# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227"
"11","3","  Commercial and health care","W001RG3",9.982,9.982,9.937,9.942,10.012,9.964,9.922,9.834,9.824,9.866,9.905,9.954,9.944,9.986,9.982,10.062,10.106,10.152,10.189,10.232,10.187,10.36,10.363,10.576,10.571,10.654,10.653,10.906,10.811,11.106,11.104,11.271,11.316,11.361,11.404,11.583,11.745,11.874,11.958,12.349,12.563,12.788,12.965,13.216,13.298,13.762,13.674,13.941,14.334,14.693,15.048,15.347,15.681,15.845,16.093,16.521,16.75,17.099,17.572,17.87,18.209,18.815,19.596,20.368,20.875,21.133,21.193,21.333,21.379,21.811,22.088,22.301,22.658,23.087,23.636,24.136,24.713,25.326,25.865,26.525,27.085,28.028,28.906,29.627,30.441,31.141,31.938,32.837,33.508,34.125,34.691,35.257,35.836,36.344,36.747,37.019,37.259,37.466,37.712,38.07,38.502,38.86,39.321,39.643,39.945,40.167,40.443,40.79,41.107,41.524,41.937,42.399,42.75,43.128,43.446,43.846,44.383,44.703,45.042,45.459,45.852,46.397,46.705,47.037,47.517,47.832,48.186,48.362,48.519,48.65,48.818,48.639,48.582,48.8,49.064,49.49,49.998,50.361,50.858,51.367,51.789,52.162,52.842,53.616,54.277,54.574,54.858,55.132,55.397,55.65,56.224,56.535,56.961,57.333,57.984,58.604,59.384,60.005,60.761,61.508,62.156,62.79,63.336,63.879,64.795,65.366,65.901,66.46,67.023,67.53,68.379,68.961,69.155,69.585,69.839,70.642,71.626,71.47,71.601,72.418,73.778,75.319,77.111,78.964,80.568,82.328,84.553,86.422,88.094,89.532,91.16,93.46,94.631,94.941,95.894,97.447,97.742,98.226,99.437,102.347,103.015,101.388,98.063,97.535,96.945,96.38,96.447,96.782,97.12,97.876,98.87,99.74,100.124,100.787,101.364,101.353,101.963,102.597,103.503,104.457,105.156,105.717,106.448,106.71
"12","4","    Office \1\","W031RG3",9.305,9.305,9.267,9.271,9.339,9.294,9.255,9.17,9.16,9.199,9.238,9.285,9.279,9.323,9.323,9.402,9.448,9.495,9.531,9.571,9.525,9.688,9.69,9.889,9.879,9.96,9.962,10.206,10.122,10.403,10.403,10.559,10.602,10.643,10.683,10.851,11.005,11.126,11.203,11.565,11.763,11.969,12.138,12.38,12.463,12.903,12.818,13.06,13.417,13.747,14.08,14.364,14.685,14.847,15.084,15.483,15.692,16.019,16.468,16.759,17.095,17.674,18.409,19.128,19.587,19.818,19.868,19.997,20.045,20.45,20.708,20.904,21.222,21.621,22.133,22.598,23.134,23.703,24.196,24.796,25.296,26.172,27.002,27.702,28.529,29.215,29.979,30.822,31.424,31.987,32.509,33.041,33.594,34.077,34.461,34.721,34.94,35.133,35.361,35.693,36.094,36.428,36.862,37.168,37.463,37.68,37.95,38.287,38.6,38.994,39.384,39.811,40.128,40.478,40.773,41.15,41.659,41.963,42.282,42.673,43.04,43.55,43.84,44.156,44.617,44.916,45.248,45.41,45.548,45.667,45.819,45.645,45.59,45.796,46.05,46.448,46.931,47.271,47.737,48.215,48.584,48.933,49.575,50.303,50.939,51.221,51.488,51.741,51.981,52.207,52.743,53.039,53.436,54.24,55.226,56.117,56.603,57.136,57.871,58.677,59.479,60.207,60.804,61.353,62.256,62.766,63.22,63.689,64.191,64.615,65.35,65.821,65.933,66.295,66.511,67.268,68.256,68.116,68.219,68.945,70.185,71.656,73.419,75.304,77.089,79.027,81.355,83.465,85.375,86.871,88.628,90.961,92.427,92.936,93.331,95.26,95.689,95.964,97.153,101.121,102.232,101.248,97.895,97.57,97.426,97.253,97.253,97.339,97.775,98.853,100.147,101.008,101.66,102.274,102.609,102.29,102.691,103.124,104.015,105.047,105.6,106.293,107.259,107.371
"13","5","    Health care","W032RG3",10.824,10.824,10.776,10.778,10.868,10.817,10.77,10.677,10.671,10.721,10.769,10.82,10.815,10.865,10.866,10.957,11.007,11.055,11.102,11.151,11.102,11.298,11.299,11.53,11.539,11.628,11.628,11.909,11.811,12.144,12.147,12.339,12.38,12.43,12.476,12.67,12.846,12.987,13.084,13.523,13.746,13.992,14.185,14.463,14.571,15.082,14.984,15.274,15.693,16.081,16.464,16.791,17.185,17.372,17.649,18.121,18.372,18.749,19.266,19.591,19.965,20.628,21.486,22.329,22.884,23.171,23.234,23.389,23.431,23.905,24.2,24.426,24.831,25.296,25.891,26.433,27.08,27.745,28.338,29.055,29.661,30.696,31.681,32.505,33.356,34.169,35.07,36.067,36.807,37.483,38.102,38.745,39.416,39.988,40.44,40.732,41.003,41.216,41.471,41.857,42.35,42.739,43.257,43.619,43.941,44.19,44.5,44.885,45.224,45.685,46.139,46.651,47.033,47.443,47.794,48.237,48.829,49.175,49.543,50.001,50.43,51.032,51.361,51.721,52.248,52.599,52.993,53.184,53.369,53.505,53.688,53.486,53.41,53.639,53.911,54.399,54.958,55.349,55.877,56.406,56.901,57.28,58.016,58.878,59.585,59.939,60.258,60.543,60.811,61.113,61.753,62.092,62.628,62.821,63.368,63.918,64.565,65.096,65.813,66.56,67.294,67.991,68.621,69.266,70.277,70.985,71.676,72.402,73.321,74.069,75.057,75.607,75.455,75.662,75.796,76.652,77.875,77.84,78.073,79.016,80.493,82.018,83.749,85.473,86.923,88.622,90.844,92.913,95.155,96.914,98.151,99.89,101.008,101.631,102.509,103.371,103.718,104.193,104.526,104.695,103.757,100.892,98.132,97.22,96.286,95.065,95.165,95.574,95.748,96.04,96.42,96.898,96.727,97.117,97.931,97.893,98.347,98.901,99.816,101.519,102.109,102.534,103.092,103.354
"14","6","      Hospitals and special care","C311RG3",10.766,10.766,10.717,10.718,10.813,10.762,10.715,10.625,10.62,10.671,10.719,10.768,10.764,10.812,10.814,10.906,10.954,11,11.048,11.098,11.049,11.244,11.244,11.474,11.488,11.577,11.576,11.856,11.759,12.093,12.097,12.29,12.328,12.378,12.423,12.616,12.791,12.931,13.029,13.468,13.687,13.933,14.124,14.402,14.514,15.024,14.925,15.214,15.628,16.013,16.393,16.719,17.117,17.305,17.581,18.052,18.302,18.676,19.192,19.514,19.887,20.547,21.402,22.242,22.794,23.08,23.143,23.297,23.336,23.809,24.102,24.327,24.737,25.2,25.79,26.327,26.97,27.629,28.218,28.93,29.533,30.564,31.553,32.384,33.209,34.032,34.938,35.934,36.677,37.352,37.97,38.62,39.302,39.878,40.334,40.622,40.898,41.106,41.354,41.735,42.229,42.613,43.132,43.498,43.813,44.064,44.376,44.761,45.091,45.554,46.005,46.517,46.893,47.297,47.646,48.088,48.679,49.022,49.388,49.845,50.274,50.876,51.2,51.557,52.077,52.428,52.823,53.013,53.203,53.337,53.519,53.317,53.239,53.464,53.732,54.224,54.782,55.171,55.694,56.213,56.714,57.084,57.814,58.677,59.377,59.737,60.055,60.332,60.59,60.897,61.537,61.874,62.431,62.77,63.452,64.13,64.551,65.088,65.808,66.555,67.283,67.978,68.608,69.256,70.264,70.975,71.666,72.391,73.31,74.057,75.045,75.596,75.445,75.65,75.784,76.639,77.857,77.827,78.064,79.007,80.472,82.001,83.736,85.466,86.922,88.629,90.857,92.929,95.167,96.926,98.159,99.897,101.017,101.641,102.52,103.383,103.729,104.203,104.535,104.706,103.768,100.894,98.128,97.21,96.291,95.079,95.182,95.592,95.76,96.048,96.426,96.903,96.732,97.122,97.936,97.898,98.352,98.906,99.822,101.524,102.114,102.539,103.097,103.359
"15","7","        Hospitals","W033RG3",10.769,10.769,10.721,10.723,10.82,10.771,10.724,10.632,10.625,10.674,10.72,10.767,10.76,10.808,10.812,10.907,10.961,11.009,11.055,11.1,11.042,11.233,11.234,11.468,11.491,11.587,11.589,11.871,11.77,12.102,12.104,12.295,12.331,12.381,12.426,12.62,12.798,12.937,13.031,13.462,13.67,13.91,14.102,14.386,14.512,15.031,14.936,15.224,15.633,16.013,16.391,16.717,17.117,17.307,17.585,18.056,18.306,18.684,19.207,19.541,19.93,20.601,21.458,22.29,22.824,23.095,23.147,23.294,23.33,23.804,24.101,24.334,24.756,25.226,25.82,26.356,26.994,27.648,28.236,28.949,29.557,30.589,31.575,32.397,33.207,34.02,34.919,35.912,36.657,37.332,37.948,38.594,39.269,39.844,40.304,40.602,40.895,41.117,41.377,41.767,42.267,42.656,43.175,43.537,43.845,44.091,44.398,44.78,45.11,45.569,46.016,46.522,46.89,47.291,47.642,48.09,48.693,49.045,49.416,49.876,50.303,50.903,51.222,51.572,52.085,52.432,52.827,53.023,53.223,53.364,53.55,53.348,53.267,53.487,53.747,54.231,54.776,55.163,55.691,56.226,56.754,57.139,57.877,58.737,59.423,59.77,60.075,60.34,60.587,60.89,61.534,61.883,62.462,62.789,63.463,64.13,64.537,65.071,65.796,66.552,67.296,67.994,68.615,69.24,70.202,70.896,71.591,72.339,73.308,74.086,75.084,75.623,75.433,75.613,75.734,76.588,77.82,77.805,78.05,79.001,80.491,82.017,83.742,85.453,86.879,88.562,90.773,92.836,95.089,96.863,98.114,99.867,101,101.637,102.526,103.396,103.748,104.213,104.521,104.654,103.665,100.769,98.009,97.123,96.247,95.064,95.182,95.591,95.746,96.026,96.401,96.882,96.721,97.12,97.941,97.908,98.367,98.924,99.841,101.545,102.135,102.561,103.118,103.381
"16","8","        Special care","W034RG3",10.758,10.759,10.711,10.713,10.81,10.761,10.713,10.622,10.615,10.664,10.709,10.756,10.75,10.798,10.801,10.896,10.95,10.998,11.044,11.089,11.031,11.222,11.223,11.457,11.48,11.575,11.578,11.859,11.759,12.09,12.092,12.283,12.319,12.369,12.414,12.608,12.785,12.924,13.018,13.449,13.657,13.897,14.088,14.372,14.498,15.016,14.922,15.21,15.617,15.998,16.375,16.7,17.1,17.29,17.568,18.038,18.288,18.665,19.188,19.522,19.911,20.581,21.437,22.268,22.802,23.072,23.124,23.271,23.308,23.781,24.078,24.311,24.732,25.202,25.795,26.33,26.967,27.621,28.209,28.921,29.528,30.559,31.544,32.365,33.175,33.987,34.885,35.877,36.621,37.296,37.91,38.556,39.23,39.805,40.264,40.563,40.855,41.077,41.337,41.726,42.226,42.614,43.133,43.495,43.803,44.048,44.355,44.737,45.066,45.525,45.971,46.477,46.845,47.245,47.595,48.043,48.645,48.997,49.368,49.827,50.254,50.853,51.172,51.522,52.034,52.38,52.775,52.971,53.171,53.312,53.498,53.296,53.215,53.435,53.695,54.178,54.723,55.109,55.637,56.171,56.698,57.084,57.821,58.68,59.365,59.711,60.016,60.281,60.528,60.83,61.474,61.823,62.401,62.824,63.543,64.223,64.621,65.137,65.841,66.582,67.319,68.021,68.656,69.306,70.334,71.048,71.749,72.487,73.408,74.155,75.14,75.684,75.541,75.753,75.889,76.745,77.952,77.911,78.168,79.152,80.559,82.122,83.87,85.587,87.003,88.68,90.888,92.948,95.048,96.731,97.936,99.713,100.949,101.65,102.568,103.428,103.728,104.181,104.51,104.699,103.803,100.968,98.207,97.263,96.386,95.201,95.319,95.729,95.884,96.164,96.54,97.022,96.861,97.26,98.082,98.049,98.509,99.067,99.985,101.692,102.282,102.709,103.267,103.53
"17","9","      Medical buildings","W035RG3",11.017,11.017,10.973,10.977,11.057,11.004,10.958,10.857,10.845,10.891,10.938,10.994,10.987,11.039,11.039,11.132,11.187,11.242,11.284,11.332,11.278,11.471,11.473,11.709,11.697,11.793,11.795,12.084,11.985,12.317,12.317,12.502,12.553,12.602,12.649,12.848,13.03,13.173,13.264,13.693,13.928,14.172,14.372,14.658,14.757,15.278,15.177,15.464,15.886,16.276,16.671,17.008,17.388,17.579,17.86,18.332,18.58,18.967,19.499,19.843,20.241,20.927,21.797,22.649,23.192,23.465,23.524,23.677,23.734,24.214,24.519,24.751,25.128,25.6,26.207,26.757,27.391,28.065,28.649,29.359,29.951,30.989,31.971,32.8,33.779,34.591,35.496,36.494,37.208,37.874,38.492,39.122,39.777,40.348,40.803,41.111,41.37,41.599,41.868,42.261,42.737,43.132,43.646,44.008,44.357,44.615,44.934,45.333,45.704,46.17,46.632,47.138,47.513,47.927,48.277,48.722,49.325,49.685,50.064,50.527,50.961,51.564,51.908,52.282,52.828,53.181,53.575,53.767,53.93,54.072,54.251,54.045,53.979,54.224,54.525,54.995,55.568,55.97,56.522,57.088,57.525,57.938,58.698,59.561,60.313,60.647,60.963,61.263,61.547,61.815,62.449,62.8,63.27,62.947,63.049,63.235,64.599,65.133,65.844,66.583,67.31,68,68.623,69.263,70.293,71.002,71.698,72.434,73.359,74.108,75.092,75.632,75.474,75.675,75.806,76.658,77.89,77.841,78.065,79.017,80.543,82.07,83.796,85.508,86.936,88.62,90.832,92.911,95.189,96.963,98.199,99.904,100.959,101.547,102.418,103.304,103.702,104.191,104.494,104.585,103.528,100.644,97.915,97.08,96.204,95.022,95.139,95.548,95.703,95.983,96.358,96.839,96.678,97.077,97.897,97.865,98.323,98.88,99.797,101.5,102.09,102.515,103.072,103.335
"18","10","    Multimerchandise shopping","W036RG3",9.799,9.799,9.759,9.763,9.834,9.787,9.746,9.656,9.646,9.687,9.728,9.778,9.772,9.818,9.818,9.901,9.95,9.999,10.036,10.079,10.031,10.203,10.204,10.414,10.404,10.488,10.491,10.748,10.659,10.955,10.955,11.119,11.164,11.208,11.25,11.427,11.589,11.716,11.797,12.179,12.387,12.604,12.782,13.037,13.124,13.588,13.499,13.753,14.129,14.476,14.827,15.127,15.465,15.635,15.884,16.304,16.525,16.87,17.342,17.648,18.002,18.612,19.386,20.144,20.627,20.87,20.922,21.058,21.109,21.536,21.807,22.014,22.349,22.768,23.308,23.798,24.362,24.961,25.48,26.112,26.639,27.561,28.435,29.172,30.043,30.766,31.57,32.458,33.092,33.685,34.234,34.795,35.377,35.886,36.29,36.564,36.794,36.998,37.238,37.587,38.01,38.362,38.818,39.14,39.451,39.68,39.964,40.319,40.649,41.064,41.474,41.924,42.258,42.626,42.937,43.334,43.87,44.19,44.526,44.938,45.325,45.861,46.167,46.499,46.985,47.299,47.65,47.82,47.965,48.091,48.251,48.068,48.009,48.227,48.494,48.913,49.422,49.78,50.27,50.774,51.163,51.53,52.206,52.973,53.642,53.939,54.22,54.487,54.74,54.978,55.542,55.854,56.272,56.334,56.706,57.061,58.125,58.836,59.614,60.307,60.784,61.299,61.748,62.213,63.031,63.578,64.133,64.748,65.306,65.849,66.759,67.435,67.792,68.334,68.648,69.44,70.288,70.045,70.133,70.935,72.319,73.896,75.726,77.624,79.343,81.111,83.161,84.84,86.033,87.226,88.9,91.416,92.364,92.404,93.88,95.556,95.877,96.58,98.198,101.623,102.644,101.264,97.436,97.249,96.908,96.882,97.065,97.537,97.849,98.74,100.062,101.344,102.134,103.16,103.705,103.971,104.863,105.71,106.607,106.854,107.776,108.322,108.968,109.363
"19","11","    Food and beverage establishments","W037RG3",9.797,9.797,9.758,9.762,9.833,9.786,9.745,9.655,9.644,9.685,9.727,9.777,9.77,9.816,9.816,9.899,9.948,9.997,10.035,10.077,10.029,10.201,10.202,10.412,10.402,10.487,10.489,10.746,10.658,10.953,10.954,11.118,11.163,11.206,11.248,11.425,11.587,11.714,11.796,12.177,12.385,12.602,12.78,13.035,13.123,13.586,13.497,13.751,14.127,14.474,14.825,15.125,15.462,15.633,15.882,16.302,16.523,16.867,17.339,17.646,17.999,18.61,19.383,20.141,20.624,20.867,20.919,21.055,21.106,21.533,21.804,22.01,22.345,22.765,23.305,23.794,24.358,24.958,25.476,26.108,26.635,27.557,28.431,29.168,30.039,30.761,31.566,32.453,33.087,33.68,34.229,34.79,35.372,35.881,36.285,36.559,36.789,36.993,37.232,37.582,38.004,38.356,38.813,39.135,39.445,39.674,39.958,40.313,40.643,41.058,41.468,41.918,42.252,42.62,42.931,43.327,43.863,44.183,44.52,44.932,45.318,45.855,46.161,46.492,46.978,47.293,47.643,47.813,47.958,48.084,48.244,48.061,48.002,48.22,48.487,48.906,49.415,49.772,50.263,50.767,51.156,51.522,52.198,52.965,53.634,53.931,54.212,54.479,54.732,54.97,55.534,55.846,56.264,56.387,56.734,57.05,58.248,58.938,59.686,60.348,60.802,61.303,61.749,62.226,63.102,63.66,64.212,64.811,65.33,65.844,66.737,67.408,67.785,68.34,68.66,69.453,70.283,70.064,70.184,71.04,72.366,73.945,75.776,77.675,79.395,81.164,83.216,84.904,86.006,87.123,88.736,91.203,92.129,92.169,93.641,95.39,95.754,96.506,98.179,101.621,102.827,101.499,97.657,97.421,97.08,97.053,97.237,97.709,98.022,98.915,100.239,101.524,102.315,103.343,103.889,104.155,105.048,105.897,106.796,107.043,107.967,108.513,109.161,109.557
"20","12","    Warehouses","W038RG3",9.947,9.947,9.907,9.911,9.983,9.936,9.894,9.803,9.792,9.834,9.875,9.926,9.92,9.966,9.966,10.051,10.101,10.15,10.188,10.231,10.183,10.357,10.358,10.572,10.561,10.647,10.65,10.911,10.821,11.121,11.121,11.288,11.333,11.378,11.42,11.6,11.764,11.894,11.976,12.363,12.575,12.795,12.976,13.235,13.323,13.794,13.703,13.962,14.343,14.695,15.052,15.356,15.699,15.872,16.125,16.552,16.776,17.125,17.605,17.916,18.275,18.894,19.68,20.449,20.94,21.186,21.24,21.377,21.429,21.862,22.137,22.347,22.687,23.113,23.661,24.158,24.731,25.34,25.866,26.508,27.042,27.979,28.866,29.615,30.498,31.232,32.049,32.95,33.594,34.196,34.753,35.322,35.914,36.43,36.84,37.118,37.352,37.559,37.802,38.157,38.586,38.943,39.407,39.734,40.049,40.282,40.57,40.93,41.265,41.686,42.103,42.56,42.898,43.272,43.588,43.99,44.535,44.86,45.201,45.619,46.012,46.556,46.867,47.204,47.697,48.016,48.372,48.545,48.692,48.82,48.982,48.796,48.737,48.958,49.229,49.654,50.171,50.534,51.032,51.544,51.938,52.311,52.997,53.776,54.455,54.757,55.042,55.313,55.569,55.811,56.384,56.701,57.125,57.148,57.526,57.883,58.956,59.681,60.474,61.181,61.669,62.193,62.648,63.121,63.943,64.498,65.064,65.693,66.266,66.823,67.753,68.443,68.807,69.357,69.675,70.476,71.316,71.073,71.166,71.99,73.374,74.974,76.831,78.756,79.78,81.039,83.505,84.597,85.881,87.155,88.877,91.434,92.407,92.463,93.943,95.607,95.889,96.585,98.213,101.666,102.723,101.296,97.428,97.224,96.884,96.858,97.041,97.512,97.825,98.715,100.037,101.319,102.109,103.134,103.679,103.945,104.836,105.683,106.58,106.827,107.749,108.294,108.941,109.335
"21","13","    Other commercial \2\","W039RG3",10.498,10.497,10.432,10.45,10.496,10.453,10.407,10.327,10.302,10.338,10.345,10.389,10.349,10.363,10.332,10.374,10.391,10.416,10.431,10.463,10.419,10.57,10.585,10.798,10.789,10.866,10.86,11.082,10.971,11.243,11.225,11.377,11.42,11.458,11.502,11.682,11.831,11.954,12.031,12.408,12.632,12.876,13.05,13.294,13.371,13.822,13.737,14.001,14.391,14.74,15.088,15.384,15.705,15.858,16.102,16.529,16.756,17.113,17.58,17.878,18.218,18.821,19.606,20.378,20.886,21.141,21.2,21.343,21.4,21.836,22.134,22.351,22.727,23.15,23.695,24.201,24.762,25.361,25.896,26.553,27.126,28.057,28.921,29.637,30.438,31.115,31.879,32.745,33.398,33.999,34.568,35.102,35.644,36.142,36.522,36.77,37.003,37.214,37.468,37.818,38.168,38.512,38.935,39.246,39.532,39.743,40.007,40.331,40.619,41.042,41.435,41.873,42.209,42.56,42.865,43.264,43.799,44.132,44.478,44.896,45.283,45.83,46.151,46.487,46.937,47.244,47.596,47.788,47.944,48.084,48.265,48.108,48.063,48.281,48.541,48.962,49.462,49.853,50.366,50.886,51.339,51.74,52.41,53.174,53.83,54.105,54.373,54.661,54.938,55.19,55.754,56.06,56.459,56.628,57.091,57.522,58.486,59.189,59.955,60.636,61.107,61.621,62.064,62.526,63.352,63.9,64.454,65.065,65.598,66.128,67.027,67.696,68.049,68.595,68.91,69.697,70.553,70.331,70.434,71.246,72.676,74.307,76.156,78.033,79.69,81.416,83.434,85.134,86.236,87.379,89.028,91.527,92.482,92.513,93.913,95.492,95.716,96.403,98.08,101.57,102.884,101.615,97.88,97.62,97.05,96.885,97.028,97.481,97.879,98.823,100.183,101.469,102.255,103.271,103.808,104.082,104.969,105.796,106.659,106.928,107.828,108.377,109.022,109.432
"22","14","  Manufacturing","B307RG3",10.251,10.251,10.206,10.208,10.296,10.25,10.206,10.12,10.118,10.164,10.207,10.25,10.248,10.292,10.293,10.382,10.427,10.472,10.516,10.557,10.513,10.693,10.691,10.914,10.919,11.011,11.014,11.283,11.195,11.511,11.514,11.698,11.744,11.791,11.832,12.013,12.182,12.311,12.4,12.809,13.038,13.265,13.444,13.714,13.805,14.301,14.216,14.498,14.915,15.28,15.641,15.948,16.309,16.483,16.74,17.179,17.399,17.749,18.238,18.549,18.908,19.547,20.367,21.17,21.701,21.974,22.037,22.188,22.241,22.693,22.971,23.184,23.544,23.976,24.529,25.028,25.584,26.205,26.766,27.455,28.101,29.103,30.055,30.844,31.717,32.483,33.322,34.244,34.9,35.524,36.107,36.741,37.413,37.987,38.441,38.728,38.964,39.164,39.399,39.755,40.2,40.558,41.046,41.393,41.703,41.951,42.255,42.624,42.963,43.398,43.815,44.284,44.64,45.009,45.332,45.751,46.325,46.659,47.012,47.447,47.844,48.415,48.721,49.063,49.578,49.919,50.301,50.49,50.654,50.787,50.961,50.769,50.706,50.915,51.164,51.625,52.161,52.523,53.017,53.514,53.943,54.299,54.994,55.814,56.521,56.87,57.177,57.438,57.669,57.962,58.584,58.927,59.402,59.791,60.436,61.018,61.577,62.243,63.018,63.746,64.397,64.961,65.444,65.929,66.744,67.289,67.83,68.42,69.003,69.549,70.466,71.125,71.441,71.937,72.169,72.87,73.56,73.094,72.97,73.574,74.806,76.17,77.753,79.359,80.742,82.192,83.949,85.355,86.775,87.921,88.765,90.248,91.365,92.254,93.596,95.214,95.486,95.761,98.134,102.451,103.299,100.955,97.367,97.63,97.321,97.29,97.537,97.815,97.823,98.829,100.272,100.971,101.658,102.205,102.234,102.193,102.98,103.757,104.689,106.339,107.055,107.411,108.29,108.462
"23","15","  Power and communication","W003RG3",13.266,13.37,13.565,13.54,13.55,13.489,13.51,13.495,13.514,13.504,13.45,13.451,13.404,13.387,13.303,13.245,13.315,13.355,13.442,13.409,13.406,13.362,13.423,13.491,13.607,13.678,13.762,13.92,14.014,14.095,14.071,14.136,14.25,14.392,14.612,14.773,14.937,15.193,15.341,15.482,15.637,15.808,16.022,16.357,16.661,17.05,17.395,17.623,17.845,18.2,18.543,18.756,19.024,19.299,19.42,19.523,19.855,20.361,21.001,21.889,22.747,23.709,24.678,25.696,26.538,27.161,27.568,27.916,28.366,28.796,29.209,29.662,31.015,31.085,31.293,31.701,32.159,32.804,33.545,34.323,35.275,36.168,37.287,38.273,38.974,39.948,40.804,41.69,42.215,42.909,43.524,44.063,44.728,45.011,45.425,45.596,45.812,45.713,45.727,45.786,45.753,46.065,46.098,46.202,46.519,46.596,46.665,46.658,46.568,46.568,46.552,46.582,46.645,46.767,47.143,47.556,48.018,48.667,49.479,50.298,50.831,51.578,52.314,52.994,53.217,53.398,53.598,53.74,53.783,53.859,54.116,54.093,54.373,54.53,54.729,54.933,55.277,56.037,56.3,56.78,57.366,57.855,58.256,58.975,59.592,60.144,60.897,61.383,61.616,61.857,62.202,62.692,62.846,63.405,63.677,63.82,64.061,64.072,64.168,64.248,64.008,64.042,64.488,64.935,65.544,66.27,66.67,67.295,67.681,68.104,68.741,68.932,69.299,69.616,70.249,70.522,70.845,71.246,71.797,72.471,73.544,75.935,77.897,79.735,80.536,81.867,83.122,85.225,87.658,89.696,91.459,93.248,93.515,94.292,95.471,96.678,98.076,99.802,102.868,104.036,102.567,100.381,98.088,98.963,101.056,103.642,105.527,106.97,108.281,109.881,111.183,112.42,113.372,114.183,114.446,114.657,114.791,115.259,115.69,116.113,116.312,117.059,117.683,118.437
"24","16","    Power","W028RG3",11.543,11.659,11.822,11.792,11.775,11.687,11.703,11.642,11.615,11.586,11.543,11.602,11.599,11.63,11.535,11.437,11.487,11.479,11.528,11.502,11.474,11.443,11.515,11.573,11.677,11.736,11.767,11.885,11.962,11.961,11.916,11.942,12.014,12.146,12.327,12.463,12.624,12.891,13.067,13.215,13.348,13.479,13.623,13.811,14.021,14.285,14.585,14.914,15.268,15.679,16.048,16.264,16.499,16.712,16.833,16.931,17.159,17.619,18.257,19.007,19.724,20.537,21.37,22.512,23.513,24.218,24.659,25.051,25.496,25.825,26.217,26.576,27.739,27.869,28.102,28.432,28.803,29.368,30.048,30.746,31.566,32.331,33.149,33.944,34.514,35.41,36.222,37.146,37.955,38.718,39.49,40.025,40.617,41.067,41.552,41.917,42.236,42.386,42.561,42.889,43.226,43.544,43.759,43.869,43.951,43.992,44.036,44.037,44.086,44.13,44.141,44.229,44.346,44.531,44.875,45.488,46.533,47.355,48.186,48.874,48.715,49.35,49.897,50.502,50.973,51.134,51.238,51.384,51.489,51.597,51.706,51.761,52.276,52.403,52.587,52.87,53.314,53.888,54.348,55.015,55.788,56.311,56.686,57.382,57.604,58.077,58.528,58.872,59.116,59.145,59.159,59.415,59.69,60.275,60.726,61.184,61.45,61.543,61.637,61.764,61.927,62.206,62.65,63.417,64.17,64.904,65.436,66.036,66.388,66.813,67.174,67.528,67.952,68.471,69.057,69.644,69.776,70.069,70.466,71.09,72.315,75.042,77.341,79.588,81.338,82.579,83.127,84.244,85.669,87.334,88.884,90.109,90.818,91.916,93.352,94.967,97.11,99.691,102.671,104.399,103.246,100.531,97.814,98.409,100.508,103.127,104.736,105.828,106.831,108.347,109.713,111.167,112.42,113.406,113.774,114.065,114.269,114.807,115.335,115.578,115.795,116.463,117.051,117.804
