"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238"
"11","3","  Structures","B009RA3",24.33,24.202,24.361,23.999,24.501,25.177,25.934,26.322,25.807,25.216,24.101,23.428,24.564,25.794,27.285,27.983,28.068,29.022,28.849,27.746,27.774,27.98,28.213,29.285,30.177,30.749,30.921,31.475,31.783,32.012,31.944,31.805,32.801,33.61,34.72,35.572,36.676,37.985,38.232,38.146,37.815,37.788,37.792,37.578,36.868,35.65,34.833,35.37,35.247,36.332,37.41,37.132,38.677,39.133,39.214,40.708,40.524,39.843,39.853,39.645,40.383,41.85,42.956,41.912,40.446,42.351,42.648,43.51,44.633,46.15,47.673,48.049,50.514,54.03,54.587,57.103,58.472,57.333,58.594,56.605,57.185,55.563,56.152,56.237,57.37,56.875,56.503,57.659,58.542,59.024,61.817,61.373,60.889,60.265,60.494,59.806,59.647,59.479,59.26,59.094,60.644,60.985,61.104,62.071,64.098,66.105,67.607,66.992,66.614,66.348,63.465,62.714,59.487,57.244,57.585,57.618,59.191,59.003,59.592,59.776,59.588,61.801,62.754,63.223,63.082,69.265,73.823,76.908,76.484,77.588,81.192,83.661,84.947,83.064,83.466,85.924,85.843,89.087,91.335,98.029,94.904,91.778,86.699,84.732,81.298,77.448,79.258,81.456,86.085,90.427,93.292,94.26,98.263,98.202,96.163,97.38,94.944,85.984,82.919,83.419,81.487,82.458,85.891,87.525,84.2,85.957,84.797,84.583,85.952,84.977,87.966,87.438,89.359,88.917,88.593,84.601,82.771,80.525,75.3,73.767,72.87,72.876,73.524,74.423,72.463,72.356,72.699,74.044,71.008,75.041,74.954,75.715,77.613,79.167,79.752,79.079,80.486,82.249,83.242,87.439,88.175,87.399,90.735,91.418,91.556,95.138,94.345,95.037,93.238,93.915,93.179,94.144,95.744,99.785,102.088,102.383,100.191,99.168,100.621,90.968,86.299,81.879,78.5,77.438,75.763,78.173,78.146,78.4,77.704,79.361,79.635,80.554,80.145,80.68,80.39
"12","4","    Commercial and health care","W001RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.952,20.172,20.431,20.568,20.592,22.312,22.951,22.124,22.857,22.773,22.864,25.119,26.456,26.25,26.891,27.175,26.769,28.351,33.503,30.203,28.697,29.561,28.92,27.732,28.347,30.848,32.727,32.927,35.054,35.922,36.557,38.765,37.712,34.392,35.911,34.696,35.383,34.092,33.369,34.315,36.718,37.918,37.527,37.916,40.335,41.711,45.489,45.615,46.191,43.567,43.144,42.51,43.854,46.87,50.245,50.623,51.503,52.421,52.275,53.017,54.13,55.381,55.271,53.86,53.706,53.602,49.926,47.777,44.057,38.639,38.713,38.346,40.072,39.201,39.135,39.265,40.117,41.173,42.689,42.085,42.859,47.002,48.671,50.723,49.291,55.033,59.24,61.976,64.381,61.958,60.109,61.273,64.869,66.196,67.45,69.223,70.972,73.198,73.588,73.339,69.999,67.092,71.997,73.565,78.64,86.011,87.805,91.704,97.355,99.905,99.032,101.106,98.662,92.242,89.4,88.839,86.302,87.219,89.996,92.416,90.335,93.202,92.363,90.673,91.995,87.659,91.994,90.353,90.739,88.241,87.467,81.28,73.595,70.721,65.109,60.661,61.459,61.941,63.069,64.715,64.901,65.268,64.358,66.861,63.79,70.433,69.794,69.614,71.94,72.948,72.778,72.182,72.441,77.043,79.502,83.259,86.836,83.323,87.909,86.828,87.843,92.094,90.674,94.124,93.37,94.127,94.45,94.413,95.123,99.381,102.358,103.138,102.34,98.402,91.672,86.435,84.725,80.816,77.973,75.781,73.508,74.157,75.451,75.735,74.641,77.709,77.374,75.693,76.307,76.404,75.551
"13","5","    Manufacturing","C307RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.77,50.55,43.206,40.728,39.052,41.146,46.055,48.772,55.349,57.256,60.752,63.873,62.692,58.704,55.711,54.956,55.65,62.783,55.099,60.869,52.8,56.814,60.843,64.851,63.505,66.532,74.154,78.635,87.394,97.571,97.061,109.043,117.106,123.344,126.909,118.704,116.419,102.652,108.225,100.26,104.661,100.986,98.742,107.349,109.863,106.305,109.546,107.222,103.069,106.802,106.99,101.16,97.589,89.515,78.918,79.195,75.569,76.357,75.49,74.04,85.182,88.894,98.336,101.22,105.412,106.696,101.313,112.359,103.108,102.852,102.124,100.05,103.978,95.659,89.645,87.712,91.437,96.122,97.363,102.219,105.542,117.185,142.808,150.709,159.658,158.334,157.365,158.995,146.367,138.142,123.677,122.419,139.147,146.357,161.406,155.594,154.594,152.11,140.221,134.693,116.147,107.129,106.944,90.567,103.225,107.477,112.527,112.037,121.571,122.036,121.709,121.646,110.983,100.425,96.482,101.205,91.285,95.779,106.781,104.944,99.922,105.482,104.857,110.472,114.986,124.747,132.765,131.617,144.223,146.123,144.862,135.828,139.961,134.953,123.729,127.249,127.125,120.873,117.365,117.546,96.342,90.743,95.792,96.365,98.716,111.988,115.24,122.916,125.807,136.099,135.146,132.213,139.291,136.362,133.591,147.244,133.258,128.579,137.06,132.615,140.825,140.391,135.888,132.318,119.827,107.734,102.361,95.878,97.354,103.77,99.509,99.367,101.898,95.08,90.89,70.999,60.548,54.272,47.871,46.81,45.93,49.592,49.371,49.207,48.843,47.361,49.188,58.065,59.452,59.019,57.233
"14","6","    Power and communication","W003RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.877,48.843,47.794,48.612,47.485,46.475,46.043,46.141,47.126,47.94,46.051,46.726,44.314,44.121,44.328,43.211,44.561,43.735,43.925,44.778,44.878,47.99,47.045,48.973,50.101,51.251,51.76,52.557,54.342,55.975,57.389,59.863,62.484,64.451,66.91,65.643,67.415,70.565,71.537,74.318,76.679,77.153,80.371,81.292,78.748,78.167,78.291,80.295,81.711,85.421,89.552,88.466,88.522,88.82,86.14,84.421,90.52,89.301,90.571,92.476,94.002,96.822,98.72,96.555,94.93,91.629,90.051,84.793,83.226,81.821,82.68,84.791,82.842,90.538,94.772,94.296,86.936,91.006,90.061,88.922,89.642,93.391,94.787,96.116,96.174,96.944,97.613,97.266,99.621,98.528,97.097,96.467,99.79,100.065,100.424,101.476,99.652,97.194,94.218,88.286,84.263,81.246,77.808,82.956,80.872,83.356,84.745,84.38,82.858,82.093,81.812,82.811,89.404,90.913,87.971,83.499,80.751,78.767,77.04,76.356,74.117,72.244,74.529,74.231,78.383,77.687,74.964,75.405,69.294,69.881,71.545,74.38,80.252,84.098,86.174,88.165,88.205,89.512,89.979,91.364,88.877,84.117,81.688,80.901,77.267,75.121,75.716,76.092,79.374,79.715,77.832,73.536,70.028,66.735,64.275,66.085,62.134,63.106,65.347,66.902,72.625,74.47,74.932,74.862,78.417,83.643,90.955,95.607,95.454,97.676,102.126,104.744,94.127,101.62,104.932,111.506,114.283,102.248,92.206,93.606,90.019,86.019,82.576,87.065,83.643,73.236,74.744,73.642,74.454,69.782,68.72
"15","7","    Mining exploration, shafts, and wells","B318RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.427,59.503,56.406,58.3,61.247,61.469,60.132,60.096,57.845,56.931,57.028,56.241,55.884,56.811,58.934,60.609,62.109,62.544,60.743,58.205,57.571,57.659,57.596,55.807,57.901,61.694,61.541,63.841,60.48,65.236,58.735,57.535,59.202,56.282,58.739,55.092,54.414,56.225,54.757,53.816,55.874,53.408,55.097,56.148,54.471,57.113,59.574,58.68,55.684,54.55,51.384,54.605,52.768,47.577,49.372,50.343,52.761,53.401,52.74,55.702,54.492,55.395,58.811,60.497,62.37,69.756,69.762,70.513,74.864,77.277,81.874,84.036,86.973,82.821,85.48,88.035,93.046,96.679,98.518,99.463,91.473,108.099,115.475,127.096,121.666,104.595,116.838,127.816,138.254,143.989,178.735,200.658,163.127,183.132,183.328,239.629,212.69,187.553,159.156,151.564,156.103,137.304,142.529,152.752,164.196,162.567,172.891,169.579,171.28,150.504,138.453,136.018,126.712,80.055,68.92,73.679,74.951,73.106,91.853,101.625,94.58,98.671,92.714,88.678,77.866,85.093,88.507,87.395,96.002,98.808,97.467,99.251,105.495,103.848,85.165,88.227,77.763,74.658,78.722,85.67,88.767,87.045,90,99.229,87.363,85.649,87.547,91.912,80.809,73.506,72.095,72.25,75.095,80.479,80.437,81.227,91.211,94.179,92.25,94.445,86.938,88.264,87.881,80.056,73.738,79.797,75.501,84.058,89.004,98.944,103.955,108.097,116.539,119.875,125.448,109.308,88.308,86.296,93.407,93.306,96.413,108.374,110.346,109.063,114.076,124.836,122.996,132.002,130.707,142.413,148.004
"16","8","    Other structures \1\","W004RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.631,37.923,39.072,40.99,40.894,42.357,44.761,43.763,46.592,47.638,47.86,48.72,48.07,46.928,46.115,45.294,47.418,48.462,47.602,46.81,46.76,49.323,50.901,54.298,57.122,55.562,55.062,52.932,55.729,62.349,64.972,65.11,66.986,64.872,63.186,62.56,63.684,61.877,63.152,63.374,59.27,56.887,53.772,53.273,54.079,54.739,57.554,55.114,53.615,51.661,51.246,51.752,50.659,49.23,48.043,47.461,48.752,48.863,49.3,50.381,51.411,53.766,53.805,53.614,50.965,49.483,47.23,46.927,43.241,43.709,42.937,42.111,44.683,44.483,45.349,46.09,45.913,47.063,48.026,49.715,49.417,54.253,56.338,56.492,55.889,58.984,61.418,61.598,61.279,58.791,55.366,55.291,56.995,55.701,56.973,53.626,53.217,52.192,51.525,53.719,52.143,55.376,54.515,60.183,62.51,65.182,66.996,65.884,69.263,73.337,71.269,73.102,70.83,65.546,65.425,67.747,69.706,71.979,71.726,72.306,67.887,67.46,64.703,66.086,68.394,66.001,67.971,69.375,72.808,73.41,73.321,68.996,67.381,63.071,61.173,58.9,56.958,59.012,59.581,56.953,58.194,63.529,65.319,63.723,61.659,62.747,61.078,59.623,63.547,65.975,71.185,73.733,77.812,78.61,81.306,84.951,86.821,90.432,91.787,96.986,90.93,97.163,98.194,99.447,98.56,99.626,94.826,95.714,99.001,100.512,102.002,98.485,92.529,92.17,108.978,87.535,82.887,82.231,78.021,77.018,74.644,78.937,77.535,76.024,74.512,77.522,78.722,78.03,74.46,72.888,71.046
"17","9","  Equipment and software","B010RA3",5.15,5.041,4.872,5.156,5.59,5.218,5.152,5.318,4.982,4.74,4.49,4.44,4.517,5.026,5.566,5.477,5.245,5.255,5.37,5.316,5.346,5.418,4.617,5.197,5.564,5.56,5.747,5.572,5.264,5.147,5.392,5.382,5.43,5.912,6.282,6.465,6.146,6.16,6.217,6.203,6.315,6.289,6.511,6.255,5.585,5.303,5.253,5.531,5.836,6.014,6.211,6.2,6.426,6.54,6.266,6.054,5.855,6.135,6.218,6.59,6.764,6.937,6.968,7,7.138,7.3,7.627,7.935,8.127,8.294,8.58,8.828,9.507,9.684,10.214,10.625,11.218,11.627,11.702,11.889,11.426,11.554,11.394,11.754,12.204,11.931,12.223,12.644,13.121,13.284,13.498,13.432,13.365,13.332,13.407,12.7,12.91,13.23,13.348,13.84,14.355,14.691,15.032,16.129,17.026,17.809,18.049,18.367,18.391,18.368,18.494,17.819,16.624,16.3,16.482,16.71,16.938,17.279,17.762,18.268,19.368,19.849,20.328,21.286,21.61,23.3,23.782,24.444,25.347,25.036,25.608,25.28,25.487,23.775,23.992,24.374,25.033,25.259,25.855,25.633,25.158,24.214,23.778,23.338,23.267,24.453,25.871,28.092,28.636,30.055,31.076,32.081,31.882,32.621,32.224,32.862,32.626,33.094,32.96,33.363,32.387,33.355,34.276,33.836,34.887,35.809,36.323,36.928,37.569,38.56,39.554,38.813,39.166,38.255,38.687,38.437,37.368,37.319,37.921,37.962,37.918,40.039,41.033,42.556,43.346,44.954,45.558,47.855,49.204,49.588,50.865,53.725,56.208,56.351,56.723,58.438,60.024,61.892,64.4,65.608,67.669,70.157,74.055,74.685,78.055,80.236,81.522,84.736,87.352,90.702,93.848,93.846,97.587,100.778,100.723,100.912,100.21,95.683,92.82,91.831,89.335,89.13,89.855,88.739,89.097,90.549,93.852,95.117,97.851,101.364,105.087,108.201,110.376,113.274,115.715
"18","10","    Information processing equipment and software","B679RA3",0.182,0.171,0.179,0.176,0.186,0.178,0.174,0.19,0.18,0.164,0.155,0.152,0.158,0.181,0.184,0.198,0.184,0.194,0.206,0.209,0.22,0.245,0.213,0.235,0.25,0.253,0.264,0.238,0.233,0.22,0.225,0.226,0.219,0.243,0.281,0.298,0.28,0.316,0.301,0.308,0.314,0.343,0.371,0.335,0.314,0.293,0.3,0.312,0.317,0.323,0.331,0.366,0.386,0.413,0.406,0.435,0.411,0.452,0.46,0.473,0.507,0.496,0.487,0.505,0.543,0.583,0.615,0.626,0.658,0.669,0.669,0.716,0.73,0.781,0.825,0.884,0.959,1.036,1.097,1.152,1.123,1.134,1.114,1.18,1.205,1.192,1.226,1.221,1.316,1.431,1.535,1.609,1.663,1.69,1.636,1.655,1.631,1.759,1.806,1.89,1.986,1.993,2.044,2.109,2.236,2.342,2.419,2.579,2.636,2.637,2.817,2.899,2.816,2.725,2.702,2.707,2.799,3.001,3.195,3.451,3.497,3.679,3.826,4.087,4.335,4.767,5.052,5.332,5.582,5.689,5.988,6.318,6.593,6.699,7.059,7.18,7.513,7.752,8.091,8.503,8.817,8.481,8.533,8.354,8.978,9.624,10.139,11.063,11.457,12.315,12.965,13.757,13.673,14.097,13.946,14.492,14.782,15.235,15.094,15.687,15.491,15.866,16.601,16.61,17.064,17.865,18.284,18.609,19.271,20.275,20.961,21.292,21.603,21.515,21.25,21.804,21.587,22.216,22.973,23.767,24.298,25.647,27.036,27.511,28.243,28.823,30.32,30.872,31.859,32.647,33.596,35.079,36.706,38.535,39.373,41.664,43.871,45.783,47.967,49.611,52.741,55.75,60.013,62.336,66.267,69.001,71.037,75.001,79.007,84.631,88.273,88.928,94.714,99.588,101.315,104.384,103.859,98.677,95.661,94.463,93.015,93.475,94.994,92.654,93.965,95.232,100.286,103.772,107.951,110.636,112.898,115.408,120.857,125.013,128.97
"19","11","      Computers and peripheral equipment \2\","B935RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.006,0.006,0.007,0.006,0.007,0.007,0.008,0.008,0.008,0.009,0.011,0.012,0.013,0.015,0.014,0.013,0.013,0.013,0.018,0.02,0.023,0.029,0.028,0.03,0.028,0.029,0.031,0.03,0.035,0.035,0.034,0.048,0.049,0.046,0.04,0.038,0.042,0.047,0.059,0.064,0.073,0.075,0.084,0.093,0.109,0.126,0.164,0.194,0.227,0.245,0.267,0.3,0.343,0.354,0.414,0.507,0.549,0.617,0.64,0.713,0.867,0.935,0.832,0.862,0.865,1.085,1.259,1.437,1.524,1.76,2.022,2.311,2.582,2.525,2.772,2.659,2.934,3.106,3.256,3.026,3.132,3.582,3.827,4.149,4.177,4.214,4.457,4.619,4.688,4.986,5.512,5.651,5.709,5.642,5.391,5.112,5.459,5.294,5.485,5.992,6.693,6.805,7.913,8.585,8.793,9.543,9.825,10.792,10.974,11.684,12.233,12.858,14.34,15.888,18.425,19.886,22.883,24.769,26.644,29.025,30.86,34.331,38.337,43.303,45.425,51.75,56.34,59.307,65.555,74.398,83.243,86.736,85.537,90.503,100.704,103.683,105.111,109.491,103.325,95.349,101.429,106.402,104.156,110.039,108.699,111.441,115.738,124.428,131.774,140.673,148.867,156.641,170.366,187.116,200.445,206.415
"20","12","      Software \3\","B985RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.002,0.004,0.012,0.03,0.048,0.061,0.068,0.065,0.067,0.068,0.076,0.079,0.086,0.097,0.118,0.141,0.179,0.215,0.239,0.244,0.244,0.238,0.233,0.259,0.284,0.323,0.366,0.407,0.451,0.496,0.546,0.555,0.56,0.551,0.565,0.586,0.612,0.638,0.669,0.717,0.795,0.887,0.974,1.045,1.097,1.095,1.064,1.055,1.108,1.166,1.246,1.293,1.333,1.373,1.368,1.424,1.485,1.557,1.639,1.678,1.704,1.81,1.946,2.107,2.116,2.08,2.068,2.108,2.228,2.328,2.429,2.355,2.365,2.358,2.397,2.526,2.702,2.891,3.109,3.243,3.415,3.576,3.749,3.869,4.007,4.205,4.418,4.552,4.675,4.851,5.101,5.443,5.58,5.583,5.538,5.856,6.258,6.794,7.194,7.55,7.927,8.47,9.053,9.384,9.76,9.855,10.199,10.478,10.894,11.104,11.374,11.748,12.236,12.748,13.257,13.796,14.442,15.239,16.113,17.259,18.514,19.897,21.121,21.866,22.595,22.391,23.652,24.418,25.209,25.843,27.035,28.219,29.51,30.659,32.041,32.659,33.251,34.055,34.693,35.738,36.579,37.455,38.117,38.671,39.832,41.271,42.9,44.631,46.498,48.48,51.251,56.637,59.659,63.45,67.39,69.293,71.663,74.648,78.251,82.241,87.697,92.096,94.93,97.302,99.775,100.043,102.88,102.979,98.804,97.787,95.052,94.431,96.641,98.415,95.756,96.397,97.051,101.555,104.005,105.291,106.086,107.845,109.464,113.411,118.726,122.315
"21","13","      Other \4\","B937RA3",2.326,2.187,2.283,2.242,2.375,2.268,2.219,2.425,2.298,2.088,1.976,1.937,2.012,2.305,2.348,2.522,2.343,2.477,2.631,2.666,2.809,3.12,2.717,3.002,3.189,3.227,3.37,3.038,2.976,2.813,2.869,2.888,2.793,3.096,3.582,3.798,3.57,4.029,3.836,3.927,4.003,4.376,4.737,4.274,3.999,3.738,3.829,3.968,4.043,4.112,4.189,4.562,4.676,4.956,4.765,5.036,4.753,5.25,5.24,5.386,5.747,5.6,5.337,5.321,5.484,5.68,5.832,5.828,6.059,6.153,6.133,6.592,6.599,6.918,7.241,7.449,7.931,8.277,8.452,8.562,8.275,8.318,8.172,8.615,8.764,8.459,8.566,8.465,9.095,9.692,10.267,10.625,10.59,10.81,10.618,10.738,10.513,10.865,10.84,11.049,11.085,11.209,11.415,12.162,13.025,13.585,14.146,14.853,15.209,15.245,15.36,15.701,15.056,14.737,14.731,14.55,14.859,15.505,16.539,17.779,18.159,19.065,19.738,20.848,21.629,23.023,23.736,24.377,25.416,25.335,26.262,27.146,28.422,27.735,28.06,27.834,28.663,29.52,30.176,30.129,30.625,29.857,29.855,28.965,29.522,30.67,30.903,34.296,33.931,35.667,36.004,37.187,36.792,36.749,36.658,37.14,37.169,37.915,38.256,40.01,36.465,36.382,37.499,36.846,38.003,39.61,39.806,39.912,40.192,40.915,41.712,41.582,42.309,42.102,42.212,41.934,40.857,41.834,42.522,42.315,42.841,43.544,45.685,45.628,45.874,46.704,48.974,49.883,50.803,51.575,52.701,54.161,56.105,56.612,55.673,56.813,59.465,61.138,62.928,63.19,63.626,65.314,68.978,70.022,73.412,74.861,75.332,77.933,78.836,82.603,85.662,85.441,94.658,98.784,101.198,105.36,101.921,96.262,93.554,90.649,85.71,85.572,85.08,82.657,84.057,84.784,88.984,92.036,97.204,99.719,100.55,100.162,103.28,103.42,106.961
"22","14","    Industrial equipment","B680RA3",28.855,26.836,27.032,24.437,26.531,24.877,23.117,24.599,22.439,19.14,17.837,16.964,18.346,21.852,22.322,25.705,22.232,24.201,26.696,25.93,26.226,28.15,23.949,24.622,26.877,28.101,29.073,29.329,28.732,28.673,30.595,28.881,26.524,28.041,29.594,31.832,30.643,31.21,33.585,32.637,32.716,32.588,32.828,31.544,28.7,26.985,25.736,26.649,27.426,26.811,26.899,28.569,29.162,31.319,29.412,28.396,26.574,27.624,27.835,29.937,30.048,30.353,29.138,28.184,29.747,31.213,32.649,33.563,34.204,34.289,36.097,39.137,39.648,41.373,43.784,44.643,46.139,48.99,49.633,50.109,50.586,49.568,47.225,48.27,49.032,47.714,47.027,47.996,49.732,50.749,52.278,51.748,52.961,52.146,52.073,50.23,47.809,47.004,47.194,48.485,48.237,50.49,52.555,54.113,56.148,59.808,61.93,64.949,66.135,66.808,65.668,62.875,57.093,55.194,54.919,54.505,55.727,55.746,55.522,55.81,57.069,57.121,59.845,62.099,62.842,65.227,67.244,67.415,70.557,69.725,69.47,71.754,69.985,67.25,65.555,66.612,66.443,66.294,66.429,65.956,63.56,61.724,59.817,57.088,54.064,54.148,56.587,58.165,61.536,62.971,64.453,66.217,65.703,67.291,65.991,67.976,66.716,65.74,66.751,66.508,64.89,64.053,65.364,64.796,64.896,67.558,69.717,69.935,72.31,72.905,74.009,71.859,71.366,68.201,68.423,66.262,65.211,64.193,64.197,63.079,62.874,64.217,65.806,68.473,69.066,69.46,70.386,74.645,75.158,75.738,77.837,80.117,83.658,84.955,85.557,84.811,86.817,88.456,87.627,88.658,88.228,89.915,90.403,90.6,94.873,93.804,91.661,91.817,91.435,92.581,93.705,93.767,98.176,100.278,101.673,99.873,100.031,92.537,88.335,85.073,85.29,83.372,84.593,84.719,87.184,85.14,84.48,82.062,85.325,84.441,89.695,90.762,94.766,89.922,94.211
"23","15","    Transportation equipment","B681RA3",15.751,16.114,15.266,17.412,18.121,16.738,16.548,15.769,16.177,16.789,16.792,17.032,16.232,17.084,21.282,19.336,19.267,18.12,17.473,16.157,16.101,14.757,12.308,15.465,16.822,17.4,17.811,17.734,16.059,14.591,14.961,15.482,17.64,19.571,20.797,19.752,18.047,17.625,16.543,17.653,18.234,18.199,19.425,18.806,14.811,12.965,12.411,14.275,16.52,18.301,19.832,17.519,19.789,18.888,18.878,16.79,16.132,16.821,17.559,19.765,20.477,21.375,22.355,22.442,21.018,19.974,20.7,22.187,22.793,23.661,25.366,23.075,28.98,28.797,29.946,31.157,33.313,33.234,32.064,32.126,29.84,31.111,32.44,33.024,37.569,36.004,38.086,40.347,41.243,40.37,39.354,37.11,34.023,33.267,33.993,28.42,33.657,34.518,34.506,37.401,39.391,39.571,38.749,45.03,47.337,49.953,49.491,48.927,47.164,45.892,45.412,38.68,37.43,36.254,39,39.93,40.92,41.586,42.487,44.684,50.255,51.414,51.131,53.414,52.923,58.775,57.738,58.473,61.992,58.663,60.94,56.327,53.705,46.259,47.456,46.808,48.575,46.776,48.134,45.384,44.713,41.968,38.946,41.717,41.628,43.541,48.244,55.022,52.747,56.184,57.542,57.993,57.261,58.745,59.432,57.824,54.978,56.538,57.276,55.557,51.072,55.89,54.883,51.483,56.434,56.355,54.921,57.202,52.12,51.622,51.725,47.063,50.089,47.844,52.692,50.82,50.544,48.458,49.866,47.172,44.564,51.992,48.732,54.219,53.528,61.219,56.912,64.862,67.927,65.431,67.144,76.571,81.164,73.177,71.748,73.76,72.806,75.082,82.052,81.953,82.169,84.08,88.458,83.178,83.728,87.229,91.268,99.34,100.319,103.01,108.553,105.117,103.282,103.842,99.169,93.707,90.328,89.837,85.519,89.546,81.058,78.396,77.16,76.774,72.585,78.518,78.702,76.224,75.795,84.98,88.787,95.313,92.529,98.301,98.244
"24","16","    Other equipment \5\","B862RA3",22.68,22.732,20.739,24.542,28.097,26.203,27.274,29.132,25.403,24.343,21.852,21.597,22.616,25.177,26.508,24.235,24.695,24.202,24.065,26.037,25.789,26.227,22.666,25.323,26.238,23.803,24.745,22.885,21.298,22.446,23.763,24.415,24.469,26.729,27.552,29.222,28.749,27.437,28.334,26.884,27.445,25.862,26.089,25.845,25.153,26.324,27.555,27.675,27.996,28.526,28.908,29.174,27.65,27.405,25.196,24.98,25.78,26.492,26.09,25.798,26.073,27.658,28.329,29.074,30.427,31.562,32.96,34.244,34.512,35.391,35.357,37.835,38.595,37.891,40.427,42.068,43.931,44.695,44.837,45.309,41.746,42.685,41.494,42.948,41.556,41.547,42.778,45.094,46.235,45.291,45.173,45.83,46.385,47.134,48.965,47.919,46.683,47.672,48.029,47.429,50.034,52.027,54.708,58.345,62.866,63.713,63.474,61.318,61.368,62.16,61.656,62.968,56.143,57.365,56.98,59.282,57.634,57.258,59.097,57.656,62.969,64.459,65.384,67.807,67.538,71.805,72.411,75.336,74.7,74.524,74.562,68.939,73.282,63.502,61.793,64.542,66.149,68.462,69.564,66.041,60.373,58.777,59.052,55.597,51.298,55.208,56.982,61.802,62.498,63.312,64.48,64.834,65.043,65.192,62.985,64.338,64.116,64.018,61.691,63.045,62.15,63.839,66.825,67.17,67.84,67.45,68.442,68.8,73.502,75.342,78.454,76.907,74.869,73.212,73.079,71.517,64.164,63.016,61.621,61.298,60.932,60.696,63.162,63.976,66.743,67.485,68.028,70.09,71.69,72.951,73.944,75.707,77.938,77.373,77.02,77.807,78.496,79.505,81.614,82.341,84.308,85.687,91.008,92.071,95.251,97.368,96.381,94.321,97.149,95.361,96.08,97.733,100.093,101.807,99.352,98.748,99.753,96.254,97.276,93.622,91.667,94.317,94.237,94.586,94.873,95.638,102.091,105.794,107.725,111.604,117.561,120.448,117.325,122.398,121.429
