"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238"
"11","3","  Durable goods","B003RA3",6.115,6.233,6.317,6.756,6.702,6.753,6.874,6.765,6.609,7.226,7.594,7.88,8.195,8.245,10.318,9.011,9.285,7.901,7.732,7.671,7.749,7.883,7.369,8.714,9.045,8.991,8.939,8.667,8.393,8.82,8.859,9.432,10.307,10.888,11.257,10.928,10.413,10.429,10.224,10.562,10.781,10.507,10.42,10.296,9.596,9.432,9.619,9.977,10.544,10.954,11.178,10.61,10.971,11.224,11.135,10.836,10.198,10.414,10.67,11.204,11.455,11.751,11.853,12.402,12.674,12.958,13.106,13.33,13.833,14.195,14.674,14.186,15.553,15.584,16.137,16.825,17.64,16.901,17.483,17.484,17.152,17.915,17.748,17.779,18.92,19.28,20.155,20.021,20.392,20.326,20.27,20.169,19.814,20.016,20.071,18.624,20.72,21.189,21.748,22.716,23.268,23.835,24.456,25.783,27.426,27.07,26.794,26.106,25.442,25.593,25.758,23.209,23.698,24.136,25.699,26.45,27.823,27.937,28.258,28.73,29.943,30.623,31.031,31.641,30.808,33.214,32.737,32.982,32.642,31.888,32.813,31.956,31.528,28.003,29.339,30.282,31.185,29.919,30.889,28.602,29.588,29.674,29.912,31.339,31.63,34.013,35.351,37.144,38.596,39.477,39.472,40.764,42.236,42.719,45.526,43.828,44.746,46.312,50.432,49.65,46.485,48.465,50.486,49.029,51.511,51.532,50.865,52.289,51.966,52.71,53.901,52.168,54.545,52.737,52.178,50.666,49.187,49.444,50.226,49.398,51.33,51.735,52.861,53.953,54.483,56.316,56.998,58.509,59.917,60.617,61.281,63.469,62.233,62.956,64.83,66.026,66.736,68.938,69.508,70.919,72.965,72.731,76.065,77.98,78.327,81.947,84.228,89.226,88.891,93.085,95.066,95.725,101.097,98.609,100.056,100.238,101.877,101.802,102.576,111.051,109.858,110.84,113.908,112.404,113.407,117.456,122.891,122.784,124.119,124.231,127.463,129.166,129.999,132.499,135.926
"12","4","  Nondurable goods","B004RA3",24.353,24.788,24.881,24.551,24.553,24.804,24.597,24.95,25.076,25.133,24.936,25.289,25.593,25.869,26.332,25.775,26.429,26.129,26.716,27.014,26.838,27.471,27.914,28.284,28.504,28.631,28.428,28.412,28.622,28.523,28.89,29.376,29.596,30.105,30.337,30.962,31.273,31.189,31.215,31.447,31.55,31.703,32.166,32.008,31.625,31.855,32.393,32.782,33.126,33.413,33.598,33.827,33.81,34.205,33.966,33.997,34.22,34.579,34.598,35.086,35.399,35.566,35.829,36.045,36.196,36.349,36.641,36.665,37.355,38.044,38.731,38.861,39.308,39.748,40.326,41.727,42.106,42.476,42.765,42.601,42.928,43.134,43.163,43.403,44.356,44.921,45.619,45.61,46.047,46.275,46.351,46.631,47.113,47.21,47.523,47.897,48.06,48.236,48.24,48.639,48.948,50.15,50.858,51.732,52.3,51.852,52.157,51.964,51.284,51.104,51.208,50.486,50.696,51.793,52.22,52.377,53.415,54.13,54.592,55.064,55.388,55.285,55.377,56.388,56.738,57.36,57.974,58.676,58.967,58.729,59.363,59.845,59.69,58.918,58.812,59.128,59.679,59.861,59.862,59.953,60.024,60.118,60.454,61.041,61.344,61.954,62.872,63.499,63.845,64.984,65.196,65.566,65.936,66.464,66.867,67.392,68.263,69.01,69.154,69.812,70.088,70.715,70.842,71.216,71.857,72.603,73.386,74.218,74.439,74.51,75.255,75.971,76.171,76.334,76.571,75.762,75.7,76.296,76.341,75.796,77.065,76.968,77.475,78.706,78.599,79.315,80.095,80.465,81.245,82.014,82.712,83.505,83.606,84.027,84.338,84.636,85.122,86.125,86.613,87.339,87.861,87.89,89.161,89.51,90.664,91.78,92.426,93.747,94.967,95.925,96.223,98.383,98.458,99.835,100.398,101.309,101.438,101.409,102.018,103.242,104.085,104.426,104.507,105.439,106.282,106.775,108.934,109.762,111.54,112.267,113.337,114.857,116.351,117.392,118.147
"13","5","  Services","B005RA3",12.349,12.509,12.494,12.453,12.682,12.864,13.03,13.131,13.2,13.287,13.254,13.298,13.493,13.884,14.081,14.243,14.484,14.584,14.717,14.771,14.972,15.166,15.374,15.618,15.749,15.965,16.058,15.959,16.144,16.48,16.756,16.933,17.2,17.311,17.474,17.806,17.988,18.198,18.42,18.687,18.804,18.952,19.068,19.296,19.342,19.673,19.941,20.052,20.276,20.671,20.978,21.252,21.505,21.711,21.72,21.944,22.177,22.581,22.669,23.077,23.285,23.656,23.866,24.18,24.293,24.564,25.058,25.405,25.792,26.16,26.527,26.9,27.158,27.538,27.919,28.382,28.644,28.99,29.242,29.641,30.003,30.367,30.799,31.039,31.438,31.966,32.387,32.8,33.14,33.5,33.831,34.292,34.611,34.8,35.234,35.508,35.808,36.175,36.52,37.098,37.685,38.15,38.651,39.389,39.779,40.212,40.454,40.652,40.671,41.088,41.337,41.769,42.146,42.612,42.86,43.355,43.823,44.108,44.628,45.341,45.702,45.992,46.68,47.193,47.895,48.538,48.775,49.023,49.519,49.979,50.169,50.509,50.637,50.338,50.969,51.738,51.422,51.852,51.863,51.954,52.186,52.455,52.94,53.879,54.599,55.388,56.204,56.849,57.042,57.601,58.338,59.124,60.272,60.828,61.779,62.333,62.477,62.744,63.281,63.941,64.93,65.544,66.153,66.743,67.599,68.069,68.901,69.453,69.909,70.236,70.662,71.414,71.612,72.528,73.11,73.082,73.007,73.732,74.038,74.47,75.355,76.05,76.768,77.343,77.73,78.024,78.902,79.501,80.226,80.631,81.088,81.472,81.992,82.752,83.323,83.827,84.662,85.149,85.688,86.18,86.992,87.733,88.717,89.635,90.663,91.68,92.701,92.998,94.083,95.155,96.269,97.103,98.53,99.474,100.521,101.475,101.758,102.218,102.519,103.114,103.579,104.247,104.585,105.055,105.539,106.131,106.652,107.649,108.657,109.156,110.059,111.027,111.789,112.44,113.329
"14","6","Gross private domestic investment","B006RA3",9.808,9.032,8.738,10.521,11.675,12.436,12.581,11.982,10.072,8.696,9.466,8.925,11.188,12.417,13.53,15.336,13.708,14.058,12.98,11.877,12.152,11.139,11.728,12.567,12.822,12.864,12.563,11.579,11.475,11.439,12.024,12.573,13.921,14.799,15.007,15.328,14.813,14.644,14.477,14.316,14.075,14.064,14.398,13.179,12.21,11.909,12.897,14.089,14.865,16.121,14.989,15.491,17.198,15.443,15.348,13.458,13.792,14.828,16.075,16.349,17.322,17.152,17.454,16.861,17.802,18.059,18.652,18.889,19.659,19.573,20.034,20.187,22.229,22.222,23.017,23.131,25.075,24.622,24.381,24.501,23.822,22.808,23.465,23.971,24.498,25.486,24.656,24.909,26.55,26.34,26.953,25.509,24.704,24.787,25.207,23.735,26.827,27.65,28.02,27.156,29.065,30.85,31.282,31.434,33.441,34.997,33.628,34.931,32.668,32.538,30.715,30.994,25.571,24.645,26.73,27.499,30.334,31.65,31.694,31.871,33.474,36.04,38.019,36.988,37.687,40.293,41.524,42.442,42.474,42.356,41.521,40.752,40.43,36.8,34.011,37.487,41.259,39.312,41.759,40.13,35.936,35.895,35.484,32.357,33.497,36.746,39.191,43.254,47.832,49.437,50.607,49.805,48.123,48.966,48.431,50.332,50.221,49.104,47.562,47.631,49.096,49.164,49.212,53.049,50.059,51.277,51.607,52.293,54.295,53.664,53.034,52.484,53.009,53.015,51.766,48.505,46.516,46.298,47.45,49.248,48.161,51.324,51.869,53.538,54.76,55.189,55.19,58.042,60.538,64.074,62.946,65.873,66.528,64.752,64.137,65.944,66.855,70.298,73.804,73.533,75.077,80.073,81.679,83.017,87.345,85.955,87.919,90.065,92.577,92.646,94.923,98.442,96.691,103.06,100.411,99.838,96.245,94.35,91.768,86.051,88.835,89.255,90.517,90.29,90.194,90.798,94.533,97.257,99.632,104.469,105.644,107.398,109.645,108.615,109.225
"15","7","  Fixed investment","B007RA3",10.594,10.314,10.663,11.599,11.991,11.979,11.851,11.717,11.044,10.696,10.67,11.048,11.753,12.841,13.8,13.513,13.008,12.412,12.212,12.086,12.228,12.397,11.636,12.521,13.026,13.096,13.106,12.965,12.759,12.969,13.487,13.789,14.347,14.963,15.293,15.306,14.981,15.101,15.078,14.976,14.974,14.83,14.979,14.704,13.795,13.404,13.595,14.432,15.32,15.817,16.01,15.796,16.347,16.017,15.589,15.527,15.331,15.557,15.929,16.464,16.817,17.326,17.466,17.381,17.583,18.398,18.875,19.478,20.219,20.165,20.488,20.638,21.579,22.182,22.781,23.292,24.166,23.851,23.843,23.121,22.576,23.155,23.383,24.112,24.699,24.571,24.93,25.539,26.345,26.462,26.907,26.232,26.134,25.555,26.007,26.026,26.614,27.708,28.236,29.018,30.312,30.852,31.187,32.631,34.018,34.31,34.209,33.865,33.067,32.592,32.019,30.207,28.354,27.958,28.659,29.192,30.407,30.923,31.244,32.849,34.037,35.935,36.406,37.075,37.377,40.094,41.24,42.111,42.443,42.108,42.87,42.471,41.87,38.227,38.601,40.133,40.425,40.692,40.696,40.55,39.307,37.94,36.883,36.82,37.632,39.081,41.414,43.836,45.21,47.074,48.085,48.955,49.324,49.946,49.543,50.481,50.555,50.433,50.147,50.476,49.483,50.368,51.44,51.438,51.365,52.373,52.574,53.098,53.628,53.702,54.639,53.741,54.408,53.15,52.575,51.078,49.33,49.256,49.419,49.51,50.026,51.994,52.79,54.439,54.742,55.968,56.958,59.483,60.252,61.704,62.324,64.036,65.493,65.249,66.117,67.499,69.199,71.452,73.104,74.317,75.763,77.395,80.383,81.086,83.53,86.035,87.262,89.8,91.189,93.426,95.212,95.707,98.339,100.6,100.443,100.619,99.953,97.709,96.603,93.924,92.405,92.076,91.914,91.593,91.779,93.732,97.023,98.652,100.323,103.905,106.027,107.88,109.722,112.252,113.819
"16","8","    Nonresidential","B008RA3",8.337,8.206,8.044,8.301,8.818,8.509,8.53,8.75,8.334,8.008,7.611,7.479,7.693,8.38,9.132,9.118,8.881,9.004,9.106,8.918,8.952,9.052,8.234,8.975,9.469,9.533,9.749,9.631,9.343,9.245,9.498,9.47,9.64,10.247,10.77,11.065,10.859,11.029,11.119,11.093,11.172,11.143,11.377,11.081,10.28,9.837,9.689,10.05,10.365,10.682,11.02,10.976,11.398,11.574,11.286,11.226,10.988,11.216,11.307,11.686,11.959,12.315,12.474,12.389,12.369,12.764,13.15,13.581,13.918,14.273,14.758,15.066,16.079,16.684,17.313,18.048,18.837,19.128,19.361,19.312,18.901,18.835,18.741,19.125,19.732,19.388,19.644,20.222,20.82,21.048,21.62,21.496,21.366,21.252,21.359,20.558,20.752,21.051,21.138,21.599,22.316,22.692,23.042,24.239,25.381,26.413,26.855,27.067,27.038,26.979,26.666,25.926,24.331,23.698,23.919,24.139,24.583,24.877,25.418,25.921,26.928,27.705,28.293,29.254,29.534,32.03,33.165,34.244,35.005,34.895,35.98,36.074,36.464,34.614,34.872,35.603,36.176,36.903,37.8,38.712,37.78,36.437,35.209,34.498,33.86,34.269,35.813,38.127,39.371,41.334,42.704,43.742,44.24,44.872,44.185,44.945,44.331,43.218,42.584,43.017,41.842,42.844,44.224,44.125,44.46,45.556,45.793,46.272,47.056,47.726,49.097,48.375,49.016,48.169,48.475,47.549,46.323,45.879,45.444,45.203,45.003,46.79,47.742,49.182,49.48,50.797,51.36,53.512,54.047,55.132,56.165,58.651,61.045,61.47,61.888,63.136,64.697,66.558,68.77,70.618,72.413,74.211,78.005,78.65,81.295,83.804,84.605,87.224,88.792,91.499,93.697,93.931,97.126,100.526,101.066,101.282,100.192,96.6,94.908,91.569,88.489,87.116,86.687,85.584,85.353,87.082,89.423,90.394,92.126,95.095,97.79,100.246,101.633,103.806,105.387
"17","9","      Structures","B009RA3",24.33,24.202,24.361,23.999,24.501,25.177,25.934,26.322,25.807,25.216,24.101,23.428,24.564,25.794,27.285,27.983,28.068,29.022,28.849,27.746,27.774,27.98,28.213,29.285,30.177,30.749,30.921,31.475,31.783,32.012,31.944,31.805,32.801,33.61,34.72,35.572,36.676,37.985,38.232,38.146,37.815,37.788,37.792,37.578,36.868,35.65,34.833,35.37,35.247,36.332,37.41,37.132,38.677,39.133,39.214,40.708,40.524,39.843,39.853,39.645,40.383,41.85,42.956,41.912,40.446,42.351,42.648,43.51,44.633,46.15,47.673,48.049,50.514,54.03,54.587,57.103,58.472,57.333,58.594,56.605,57.185,55.563,56.152,56.237,57.37,56.875,56.503,57.659,58.542,59.024,61.817,61.373,60.889,60.265,60.494,59.806,59.647,59.479,59.26,59.094,60.644,60.985,61.104,62.071,64.098,66.105,67.607,66.992,66.614,66.348,63.465,62.714,59.487,57.244,57.585,57.618,59.191,59.003,59.592,59.776,59.588,61.801,62.754,63.223,63.082,69.265,73.823,76.908,76.484,77.588,81.192,83.661,84.947,83.064,83.466,85.924,85.843,89.087,91.335,98.029,94.904,91.778,86.699,84.732,81.298,77.448,79.258,81.456,86.085,90.427,93.292,94.26,98.263,98.202,96.163,97.38,94.944,85.984,82.919,83.419,81.487,82.458,85.891,87.525,84.2,85.957,84.797,84.583,85.952,84.977,87.966,87.438,89.359,88.917,88.593,84.601,82.771,80.525,75.3,73.767,72.87,72.876,73.524,74.423,72.463,72.356,72.699,74.044,71.008,75.041,74.954,75.715,77.613,79.167,79.752,79.079,80.486,82.249,83.242,87.439,88.175,87.399,90.735,91.418,91.556,95.138,94.345,95.037,93.238,93.915,93.179,94.144,95.744,99.785,102.088,102.383,100.191,99.168,100.621,90.968,86.299,81.879,78.5,77.438,75.763,78.173,78.146,78.4,77.704,79.361,79.635,80.554,80.145,80.68,80.39
"18","10","      Equipment and software","B010RA3",5.15,5.041,4.872,5.156,5.59,5.218,5.152,5.318,4.982,4.74,4.49,4.44,4.517,5.026,5.566,5.477,5.245,5.255,5.37,5.316,5.346,5.418,4.617,5.197,5.564,5.56,5.747,5.572,5.264,5.147,5.392,5.382,5.43,5.912,6.282,6.465,6.146,6.16,6.217,6.203,6.315,6.289,6.511,6.255,5.585,5.303,5.253,5.531,5.836,6.014,6.211,6.2,6.426,6.54,6.266,6.054,5.855,6.135,6.218,6.59,6.764,6.937,6.968,7,7.138,7.3,7.627,7.935,8.127,8.294,8.58,8.828,9.507,9.684,10.214,10.625,11.218,11.627,11.702,11.889,11.426,11.554,11.394,11.754,12.204,11.931,12.223,12.644,13.121,13.284,13.498,13.432,13.365,13.332,13.407,12.7,12.91,13.23,13.348,13.84,14.355,14.691,15.032,16.129,17.026,17.809,18.049,18.367,18.391,18.368,18.494,17.819,16.624,16.3,16.482,16.71,16.938,17.279,17.762,18.268,19.368,19.849,20.328,21.286,21.61,23.3,23.782,24.444,25.347,25.036,25.608,25.28,25.487,23.775,23.992,24.374,25.033,25.259,25.855,25.633,25.158,24.214,23.778,23.338,23.267,24.453,25.871,28.092,28.636,30.055,31.076,32.081,31.882,32.621,32.224,32.862,32.626,33.094,32.96,33.363,32.387,33.355,34.276,33.836,34.887,35.809,36.323,36.928,37.569,38.56,39.554,38.813,39.166,38.255,38.687,38.437,37.368,37.319,37.921,37.962,37.918,40.039,41.033,42.556,43.346,44.954,45.558,47.855,49.204,49.588,50.865,53.725,56.208,56.351,56.723,58.438,60.024,61.892,64.4,65.608,67.669,70.157,74.055,74.685,78.055,80.236,81.522,84.736,87.352,90.702,93.848,93.846,97.587,100.778,100.723,100.912,100.21,95.683,92.82,91.831,89.335,89.13,89.855,88.739,89.097,90.549,93.852,95.117,97.851,101.364,105.087,108.201,110.376,113.274,115.715
"19","11","    Residential","B011RA3",19.615,18.639,21.495,25.644,25.339,26.816,25.966,24.053,22.236,21.858,23.728,26.629,29.663,32.533,34.324,32.714,30.965,26.802,25.094,25.323,25.989,26.463,26.196,27.602,28.031,28.113,27.048,26.818,27.098,28.862,30.621,32.547,34.965,35.482,34.728,33.254,32.377,32.181,31.548,31.055,30.61,29.872,29.471,29.429,28.263,28.334,30.4,33.638,37.467,38.796,38.063,36.954,38.014,34.888,33.83,33.784,33.915,34.037,35.876,37.079,37.747,38.929,38.896,38.845,40.249,43.144,43.942,45.28,48.054,45.635,44.889,44.071,44.224,44.57,44.745,43.776,44.77,41.179,39.84,35.66,34.588,38.52,40.451,42.808,43.069,44.157,44.95,45.51,47.149,46.642,46.262,42.879,42.964,40.101,42.237,46.689,49.182,54.145,56.813,59.015,62.951,64.185,64.335,66.634,68.871,65.37,62.599,59.607,55.238,52.826,51.083,44.361,41.621,42.516,45.479,47.471,52.323,53.827,52.947,59.693,61.496,68.532,68.316,67.416,67.751,71.007,71.994,71.741,70.063,68.756,67.938,65.37,60.372,49.2,50.04,54.931,53.946,52.122,48.102,43.174,40.686,39.4,39.275,42.152,49.335,55.18,60.647,63.208,64.966,66.168,65.532,65.6,65.396,65.918,66.756,68.345,71.265,75.221,76.379,76.241,76.041,76.374,76.143,76.517,74.86,75.456,75.502,76.164,75.667,73.424,72.624,71.099,71.822,69.06,65.137,61.529,57.87,59.235,61.69,63.044,66.259,68.794,68.953,71.295,71.62,72.462,74.964,78.739,80.294,82.995,82.122,81.071,79.263,76.728,79.113,80.917,83.035,86.547,86.314,85.426,85.718,86.798,87.192,88.081,89.902,92.391,94.907,97.186,98.024,98.869,99.452,100.672,101.689,100.786,98.718,98.807,99.342,100.714,101.166,100.206,102.707,105.066,105.582,107.242,108.474,110.989,116.631,119.861,121.376,126.441,127.267,127.772,130.695,134.1,135.673
"20","12","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","  Exports","B020RA3",7.14,7.065,6.719,5.96,5.686,5.147,5.264,5.078,5.687,5.641,5.171,4.479,4.403,4.457,4.571,4.937,5.191,5.698,5.836,5.784,6.089,5.421,4.994,5.031,4.942,4.975,5.174,5.001,4.78,5.464,5.289,5.532,5.737,5.604,5.973,6.001,6.283,6.706,6.931,7.243,7.715,7.486,7.275,7.055,6.356,6.386,6.407,6.39,6.811,7.038,7.26,7.062,7.951,8.455,8.242,8.414,8.355,8.239,8.195,8.449,8.428,9.236,8.72,8.531,8.731,9.753,9.232,9.695,10.289,10.46,10.379,10.688,9.535,11.325,10.677,11.451,11.249,11.742,11.301,11.674,11.899,11.791,11.504,11.832,12.176,12.418,13.148,12.981,11.423,13.983,13.648,14.121,14.243,14.87,14.821,14.958,15.014,14.984,15.6,14.293,15.807,15.347,16.272,16.96,18.204,19.082,19.147,20.089,20.344,21.334,20.184,20.71,20.857,20.249,19.908,21.034,20.887,21.099,21.712,21.933,21.581,22.162,22.333,21.615,22.125,24.431,24.7,25.683,25.704,25.772,26.698,28.373,29.169,29.716,29.655,29.482,30.03,30.198,29.556,29.689,28.408,28.574,27.306,26.057,26.477,26.559,26.96,27.503,28.077,28.775,29.411,30.009,30.03,29.923,29.483,30.367,31.341,31.679,32.403,33.611,33.629,34.993,36.499,37.847,39.939,41.044,41.805,43.087,44.323,46.257,46.793,47.56,49.582,50.214,50.634,51.144,51.371,53.255,54.532,55.787,56.729,56.753,57.976,58.299,58.368,59.053,58.9,60.845,61.368,63.4,65.764,67.258,68.459,69.417,72.475,73.577,74.469,75.734,76.377,81.138,82.612,85.905,87.948,87.864,88.243,87.296,86.925,90.191,89.406,90.419,92.807,95.243,96.77,99.608,102.163,101.458,100.083,96.748,92.009,89.422,90.557,92.858,93.52,92.784,92.103,91.624,94.159,98.373,99.591,101.269,102.622,104.398,106.295,109.037,109.242
"23","15","    Goods","B253RA3",7.502,7.313,6.927,6.074,5.818,5.224,5.353,5.14,5.819,5.738,5.282,4.562,4.416,4.467,4.614,4.995,5.203,5.719,5.85,5.746,6.066,5.327,4.942,5.021,4.838,4.926,5.169,4.98,4.699,5.54,5.256,5.545,5.762,5.582,5.946,5.964,6.284,6.721,6.975,7.29,7.796,7.542,7.282,6.806,6.287,6.223,6.264,6.191,5.852,6.019,6.614,6.306,7.313,7.669,7.804,7.817,7.868,7.329,7.711,7.848,7.753,8.258,8.273,7.841,7.869,8.686,8.838,9.256,9.674,9.664,9.928,10.13,8.639,10.259,9.935,10.768,10.65,10.469,10.505,10.73,10.689,10.668,10.507,10.687,11.047,11.207,11.982,11.687,10.116,12.811,12.488,12.915,13.157,13.481,13.516,13.685,13.432,13.408,14.362,12.428,14.44,14.101,14.93,15.924,17.367,18.219,18.203,19.248,19.594,20.395,19.274,19.574,19.495,18.591,18.953,19.967,19.735,19.995,20.374,20.557,20.15,20.67,20.878,20.016,20.291,23.108,23.254,24.196,24.215,24.392,25.522,27.454,28.323,28.828,28.325,28.212,28.451,28.417,27.568,28.02,26.377,26.673,25.333,23.912,24.266,24.429,24.847,25.81,25.686,26.297,27.175,28.047,27.813,27.735,27.396,28.215,28.285,28.827,29.283,30.475,30.149,31.427,33.317,34.932,37.061,38.087,38.675,40.464,41.143,43.481,43.676,44.388,46.313,46.712,46.98,47.236,48.386,49.507,50.726,51.548,52.695,52.857,54.431,55.159,54.537,55.229,54.862,57.506,57.452,59.505,62.546,64.246,65.691,66.786,69.395,70.408,71.807,72.588,73.968,77.981,80.611,84.353,86.863,87.041,87.199,85.144,85.336,88.778,86.963,87.946,90.846,93.874,95.861,99.017,103.27,101.852,100.442,95.838,90.635,88.568,88.206,91.181,91.67,89.517,89.842,89.843,91.83,95.538,97.292,99.153,101.12,102.031,103.356,107.266,108.019
"24","16","    Services","B646RA3",4.754,5.152,5.035,4.804,4.465,4.243,4.284,4.243,4.474,4.581,4.11,3.617,3.834,3.894,3.86,4.121,4.532,4.945,5.097,5.281,5.48,5.184,4.632,4.498,4.796,4.605,4.608,4.516,4.556,4.545,4.816,4.849,4.985,5.053,5.401,5.465,5.563,5.885,5.966,6.233,6.519,6.416,6.423,7.231,5.898,6.298,6.248,6.47,9.953,10.35,9.002,9.257,9.606,10.645,9.075,9.862,9.358,10.968,9.206,9.896,10.173,12.077,9.563,10.328,11.171,12.883,9.817,10.41,11.62,12.466,11.077,11.767,12.034,14.298,12.453,12.918,12.413,15.492,13.22,14.133,15.402,14.951,14.194,15.072,15.319,15.86,16.338,16.68,15.333,17.119,16.764,17.367,16.992,18.762,18.382,18.378,19.641,19.59,18.862,20.013,19.582,18.709,19.895,19.429,19.826,20.711,21.071,21.493,21.336,23.025,21.867,23.356,24.529,25.4,21.829,23.333,23.604,23.58,25.177,25.542,25.476,26.263,26.248,26.233,27.697,27.541,28.319,29.378,29.407,28.978,28.858,29.168,29.565,30.244,32.148,31.719,33.567,34.617,34.962,33.699,34.103,33.706,32.85,32.391,33.037,32.79,33.086,31.926,35.204,36.178,35.805,35.323,36.32,36.119,35.348,36.417,40.487,40.125,41.729,42.957,44.128,45.736,45.882,46.262,48.112,49.431,50.763,50.159,53.327,53.737,55.45,56.376,58.652,60.045,60.951,62.271,59.544,63.795,65.216,67.773,68.044,67.639,67.784,66.894,69.022,69.686,70.163,70.035,72.246,74.191,74.542,75.409,75.873,76.416,80.767,82.117,81.532,84.172,82.714,89.515,87.795,89.834,90.597,89.809,90.798,92.802,90.954,93.756,95.629,96.712,97.786,98.703,99.055,101.092,99.384,100.469,99.189,99.021,95.437,91.559,96.393,97.034,98.12,100.87,97.714,96.058,99.938,105.396,105.303,106.532,106.368,110.275,113.578,113.466,112.344
