"","Table 5#5#3# Real Private Fixed Investment in Equipment and Soft","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","    Nonmedical instruments","W177RA3",1.845,1.639,1.243,0.798,0.802,0.84,1.148,1.412,2.122,1.57,1.939,1.593,1.423,0.731,1.583,1.697,4.52,5.329,7.245,7.531,6.988,7.989,8.793,9.514,9.663,7.045,9.617,10.363,10.592,9.023,8.95,9.003,8.661,7.957,8.367,8.811,10.06,10.87,11.676,11.494,12.091,13.043,12.224,15.458,17.252,21.775,19.922,21.36,33.771,37.268,38.178,39.558,41.378,42.483,41.581,50.777,52.72,52.919,52.491,52.683,65.015,68.914,69.482,71.925,71.784,75.02,81.458,84.247,76.694,78.164,78.056,82.984,86.29,87.229,85.764,93.873,100,107.218,113.478,118.621
"17","10","    Photocopy and related equipment","B285RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.212,2.986,3.083,2.986,3.18,3.446,3.845,4.836,5.126,5.332,5.67,5.888,4.884,6.452,7.676,7.839,9.752,15.524,23.772,28.15,35.861,29.65,32.588,37.193,43.332,51.197,63.649,77.569,87.66,95.555,101.876,98.646,114.98,115.732,118.614,130.015,131.164,126.941,156.569,148.262,148.181,148.63,159.305,167.958,160.893,165.784,168.034,200.475,215.198,196.245,202.406,204.124,230.965,201.065,192.176,135.752,99.191,114.106,106.471,100,92.305,82.175,92.451
"18","11","    Office and accounting equipment","B936RA3",4.214,2.985,2.178,1.57,1.644,2.009,2.697,3.229,3.869,3.246,3.352,3.871,4.716,3.493,2.529,3.83,5.11,9.372,11.615,12.525,10.837,11.844,12.808,13.231,14.451,14.003,15.804,18.175,22.312,21.584,20.97,20.821,17.687,15.749,16.566,16.475,16.776,21.511,20.452,19.245,22.498,19.559,17.621,20.879,29.542,38.223,32.094,38.026,38.138,58.179,73.476,79.889,84.418,63.775,100.97,114.384,112.442,123.022,75.945,66.483,71.459,58.574,54.661,59.823,64.558,64.096,64.686,66.226,65.673,58.706,42.591,44.332,55.787,60.499,95.157,97.45,100,104.939,110.115,107.482
"19","12","  Industrial equipment","B680RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.429,28.803,26.644,20.531,23.716,26.628,27.674,30.478,31.419,31.179,34.426,34.858,29.05,29.49,31.797,30.099,31.645,34.185,38.635,45.549,52.383,52.592,51.549,54.973,55.753,51.206,55.212,65.276,70.29,59.598,59.892,63.475,70.624,75.671,72.418,71.267,65.103,59.935,68.594,71.761,71.426,69.649,73.145,78.246,73.721,68.998,70.259,76.223,83.022,91.121,94.502,96.542,100.744,101.365,110.12,102,95.149,94.986,92.321,100,108.304,113.341,109.426
"20","13","    Fabricated metal products","B263RA3",11.401,9.836,7.998,5.133,4.363,5.307,5.903,7.137,8.122,6.044,7.137,8.784,10.623,9.795,12.212,14.456,17.586,25.55,33.201,29.806,24.11,25.948,31.073,35.469,37.431,39.791,35.908,37.183,42.366,39.344,35.286,33.4,31.907,29.333,32.256,37.612,44.506,51.461,49.986,59.125,71.458,83.085,84.67,87.574,105.209,114.99,112.232,121.715,113.637,115.512,128.775,118.69,117.891,106.054,99.496,94.79,93.312,87.054,78.252,81.81,87.674,87.404,87.657,88.58,86.965,93.142,96.224,104.156,90.288,93.838,99.851,104.059,102.377,90.774,96.334,94.982,100,110.457,109.398,100.132
"21","14","    Engines and turbines","B668RA3",16.09,14.196,9.177,4.237,3.534,5.233,7.361,12.809,18.062,12.419,15.23,16.793,14.293,6.17,11.56,21.577,45.77,10.642,27.181,39.509,38.27,51.198,36.774,51.769,47.888,69.257,60.68,54.752,68.942,68.564,59.023,56.069,49.407,46.464,46.489,46.437,48.474,58.33,77.946,91.327,102.279,108.077,114.836,128.857,125.162,127.705,103.074,89.844,79.972,76.782,74.164,62.41,69.226,58.118,50.9,55.494,62.4,52.512,68.84,72.536,80.337,69.43,81.959,77.097,73.977,79.28,65.222,77.481,71.835,84.592,103.228,133.08,201.96,214.842,185.146,86.854,100,122.424,136.025,159.19
"22","15","    Metalworking machinery","B271RA3",11.863,8.218,5.275,2.265,2.434,4.076,7.443,11.012,13.567,7.58,10.523,21.646,28.66,26.386,24.849,20.295,24.965,30.022,37.735,28.691,18.271,26.171,34.119,36.354,45.933,50.192,39.725,49.572,46.697,29.294,31.595,35.846,32.178,35.48,42.803,45.016,56.69,68.786,85.163,75.471,74.065,70.526,54.493,63.026,80.789,90.194,75.152,74.488,75.962,88.916,97.927,98.068,95.37,77.74,58.852,70.394,75.893,75.156,68.242,72.885,85.284,78.198,73.662,77.351,83.942,97.401,111.435,113.417,121.914,122.083,117.987,120.219,101.996,92.311,91.474,92.164,100,104.587,107.206,107.362
"23","16","    Special industry machinery, n.e.c.","B272RA3",21.703,16.34,12.733,8.795,9.864,10.564,12.899,17.567,18.94,14.042,14.974,15.97,15.922,13.044,10.302,15.843,23.065,30.904,46.142,44.382,34.64,39.383,41.302,36.571,38.33,33.537,39.321,42.865,40.109,35.367,37.536,42.512,40.717,44.46,43.951,49.821,63.519,68.776,62.6,62.372,64.561,64.435,59.444,64.386,71.229,69.243,55.468,54.595,54.913,67.411,69.241,69.08,67.398,67.513,68.159,77.386,83.127,84.37,87.074,92.19,101.515,91.94,83.042,82.517,90.49,96.001,109.307,112.313,111.44,115.369,116.233,132.06,117.08,102.712,98.035,94.649,100,108.503,114.558,100.866
"24","17","    General industrial, including materials handling, equipment","B273RA3",13.317,10.14,7.642,4.883,4.788,5.851,7.857,10.818,11.826,8.486,9.906,10.996,11.618,7.993,8.634,14.22,20.244,19.66,23.326,21.982,15.705,16.038,17.708,16.954,19.039,18.91,21.856,23.485,23.158,20.176,21.017,22.767,21.391,22.999,26.153,31.002,34.612,38.906,34.951,34.224,38.058,37.606,35.398,36.545,44.649,50.384,42.692,43.346,51.255,58.713,62.704,58.434,56.249,52.063,47.723,57.125,60.592,63.457,58.839,61.714,62.173,60.112,54.852,56.786,65.474,70.344,77.055,79.604,83.288,88.785,85.638,90.811,82.864,82.078,87.319,89.711,100,107.119,111.689,107.565
"25","18","    Electrical transmission, distribution, and industrial apparatus","B276RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.315,16.764,15.598,14.053,16.881,20.205,23.75,25.137,26.187,25.846,29.028,30.801,25.714,26.456,28.881,28.844,29.738,30.002,34.045,38.104,45.667,44.356,42.252,44.336,46.079,42.206,45.94,54.795,59.068,48.067,47.52,55.118,55.391,59.509,57.521,58.825,56.896,58.118,70.114,69.224,65.645,70.124,71.75,73.699,71.558,66.523,67.513,69.793,76.33,82.175,85.129,90.299,94.568,102.423,115.146,105.244,94.269,91.45,95.947,100,110.745,120.15,122.693
"26","19","  Transportation equipment","B681RA3",10.999,8.533,5.221,2.862,3.519,5.303,6.981,9.684,10.724,6.526,8.202,11.159,12.815,4.33,3.882,4.043,6.522,11.069,15.582,16.217,16.125,17.849,17.145,14.155,16.843,14.749,18.773,16.868,18.026,13.147,17.422,17.947,16.965,20.917,20.248,22.907,28.697,31.56,30.517,36.694,38.16,31.31,33.816,39.285,47.243,42.763,36.84,40.96,49.78,55.017,57.434,46.886,45.592,40.396,45.488,54.185,56.309,54.157,51.497,54.293,48.89,48.628,47.324,48.161,57.096,66.885,72.383,75.291,81.565,89.163,104.723,102.466,93.31,84.861,77.279,89.341,100,108.134,97.625,70.937
"27","20","    Trucks, buses, and truck trailers","B279RA3",4.985,3.875,2.837,1.621,2.104,3.393,4.483,5.849,5.693,3.535,4.907,5.605,6.627,1.232,1.468,3.286,7.894,9.099,12.078,13.39,10.888,12.929,13.498,10.11,10.04,9.505,12.537,12.238,10.868,9.163,11.258,11.32,11.728,15.089,16.085,16.771,20.597,23.836,20.965,24.883,29.26,24.248,26.481,33.33,39.133,36.878,25.884,31.415,38.103,43.022,43.429,30.884,28.911,26.712,30.462,39.815,44.43,37.755,38.363,38.017,35.669,29.083,25.818,29.52,40.385,53.395,60.919,66.473,74.911,82.793,91.631,84.552,69.466,65.308,66.003,83.808,100,111.335,90.169,59.895
"28","21","      Light trucks (including utility vehicles) \3\","W178RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.645,23.539,20.273,17.911,16.95,16.604,24.143,39.325,46.289,59.944,75.132,77.862,85.754,82.636,73.106,66.551,68.548,83.933,100,113.045,103.09,64.145
"29","22","      Other trucks, buses, and truck trailers \3\","W179RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.173,67.376,66.832,51.739,43.778,55.92,73.482,81.435,89.983,79.307,74.045,92.168,102.831,88.113,62.654,62.853,61.16,83.568,100,108.309,68.315,52.294
"30","23","    Autos \3\","B280RA3",12.782,8.516,6.162,3.636,4.881,6.104,9.133,11.592,11.8,7.03,9.727,12.63,13.809,2.118,2.029,1.113,1.171,8.164,11.428,11.825,14.077,17.82,13.515,10.647,17.163,16.34,21.231,14.904,16.49,12.066,16.927,17.617,16.527,20.39,19.423,20.578,25.672,24.457,23.532,29.903,30.863,24.745,33.554,35.905,41.108,36.067,35.619,43.337,54.3,57.601,51.131,41.743,49.449,49.734,66.197,78.782,77.678,79.72,68.061,75.647,65.733,70.396,71.612,69.259,77.079,93.762,88.275,87.641,84.983,81.634,96.873,101.34,101.587,101.567,89.588,90.075,100,108.91,110.24,84.467
"31","24","    Aircraft","B281RA3",3.629,1.641,0.921,0.091,0.836,1.629,0.86,0.769,1.897,1.427,2.19,3.678,3.001,0.482,0,0.531,3.404,11.657,7.381,3.142,5.807,3.703,3.63,8.497,7.997,8.955,6.375,13.914,18.001,12.871,28.556,25.724,26.653,24.732,14.779,26.038,38.854,54.295,71.641,102.567,74.329,61.551,32.298,45.654,68.739,50.647,44.563,40.489,54.456,63.687,93.249,95.238,83.768,69.703,69.335,61.984,65.348,79.319,84.189,88.692,68.885,92.731,97.076,95.157,90.689,59.888,83.653,78.695,93.152,125.92,182.72,189.521,196.733,144.068,102.879,114.246,100,93.591,101.586,82.089
"32","25","    Ships and boats","B282RA3",35.616,45.008,37.115,10.088,6.315,8.937,3.773,23.681,24.886,46.694,22.076,51.484,64.971,67.111,78.243,42.172,65.773,66.816,135.801,58.494,34.894,32.03,62.642,67.218,58.655,30.532,45.41,65.532,80.143,75.245,68.436,61.681,53.627,56.008,48.247,55.658,63.395,66.971,68.378,89.478,96.573,94.697,87.633,107.146,153.264,125.498,162.996,153.969,157.916,150.885,171.477,168.485,197.76,124.176,74.461,63.199,46.419,51.107,61.941,53.085,47.187,47.548,47.646,34.391,60.987,50.759,48.763,61.174,70.178,73.713,74.925,85.809,77.303,89.114,94.716,104.65,100,87.879,88.767,72.626
"33","26","    Railroad equipment","B283RA3",93.029,93.764,21.416,12.055,5.984,27.505,23.76,48.378,83.931,32.509,37.547,67.256,84.788,74.535,48.098,62.462,59.926,58.263,95.215,148.107,152.989,110.438,144.818,128.337,115.336,66.119,74.92,95.286,120.445,51.072,57.438,76.654,51.703,79.21,82.945,118.602,145.091,168.889,148.094,105.522,139.746,106.974,112.525,101.294,113.446,132.336,120.217,92.388,102.706,127.87,172.956,150.648,87.313,52.13,34.785,51.588,45.327,40.053,31.334,48.896,68.936,69.26,63.149,59.413,67.382,88.06,94.586,93.608,103.396,118.429,132.736,126.161,96.495,84.365,73.632,78.961,100,116.617,115.008,100.749
"34","27","  Other equipment","B682RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.228,17.968,21.589,18.259,19.394,19.51,19.637,19.294,18.003,21.328,22.031,20.774,20.956,22.636,20.924,20.888,22.271,25.978,28.865,32.178,36.132,33.958,34.404,36.88,38.41,38.121,43.026,50.792,50.794,46.778,47.531,53.145,59.232,62.034,55.6,56.954,47.887,45.795,51.85,52.255,51.373,53.01,55.077,61.16,58.988,50.381,50.1,55.948,59.989,63.223,65.655,71.606,78.643,80.429,84.708,83.704,83.177,86.782,92.201,100,103.831,103.1,100.214
"35","28","    Furniture and fixtures","B667RA3",7.965,6.41,4.426,2.786,2.489,3.494,3.897,4.714,5.71,4.872,5.331,6.319,7.775,5.296,4.327,4.551,6.287,10.096,11.653,10.718,10.004,10.513,12.658,12.256,11.852,13.204,15.242,16.23,15.085,15.162,15.639,16.083,15.609,16.491,18.534,20.075,22.003,24.624,24.584,24.023,26.468,25.664,23.938,30.027,32.127,28.756,24.34,26.446,32.464,36.284,39.147,41.396,42.671,45.072,48.213,55.861,58.299,60.008,64.102,61.931,68.815,64.415,56.699,62.183,62.624,63.977,67.375,68.827,79.023,88.741,96.177,103.174,96.402,92.07,92.609,95.314,100,101.599,100.132,91.856
"36","29","    Agricultural machinery","B268RA3",22.1,20.577,10.796,5.777,3.691,6.574,13.16,18.618,23.718,20.759,18.467,21.851,31.484,22.677,13.13,31.393,35.745,27.947,48.454,63.448,63.239,63.6,63.147,58.948,54.603,47.59,54.145,45.026,43.673,54.963,56.991,45.253,46.296,49.249,60.929,65.664,71.335,82.467,83.173,77.716,78.101,87.844,82.093,96.083,124.235,116.602,124.732,119.243,118.188,123.982,133.756,106.342,102.904,70.954,60.449,63.579,50.71,45.627,47.091,62.182,73.305,80.275,64.792,55.536,63.186,69.675,70.771,69.899,79.846,82.771,60.426,66.518,70.504,80.693,86.817,95.156,100,92.965,93.176,102.85
"37","30","    Construction machinery","B269RA3",10.136,8.464,5.369,1.781,1.099,2.547,4.851,8.057,9.66,7.685,7.263,9.296,10.644,6.992,4.942,6.432,19.317,22.71,25.162,29.755,21.45,24.142,25.901,29.32,26.008,21.614,28.593,34.118,26.448,27.31,31.451,25.042,23.71,25.437,33.757,40.341,45.816,50.551,45.072,46.921,51.029,48.92,48.262,57.979,69.138,73.638,58.837,55.755,71.649,86.339,79.8,61.407,57.284,36.277,40.006,54.667,59.012,56.563,51.659,49.434,61.291,60.701,39.575,38.641,48.911,54.69,60.161,67.229,71.452,80.327,80.737,81.442,72.094,66.609,69.827,80.357,100,112.846,99.823,93.047
"38","31","    Mining and oilfield machinery","B270RA3",38.997,24.062,11.664,9.203,9.814,14.951,22.564,34.809,32.454,20.408,23.878,30.344,50.86,26.11,24.428,34.625,59.925,39.089,39.761,49.759,37.316,43.17,52.48,52.832,48.643,43.644,57.357,59.39,56.394,37.254,43.902,39.707,36.186,35.286,45.014,50.249,56.214,58.862,43.785,44.998,47.401,63.157,70.877,57.337,69.83,92.883,113.334,114.385,120.605,112.809,109.001,106.773,155.21,104.809,62.312,55.128,47.8,25.475,23.916,28.441,33.196,30.089,23.861,21.073,40.162,38.772,38.47,39.837,51.21,50.941,74.161,73.289,83.016,53.886,64.978,74.354,100,147.722,194.867,185.178
"39","32","    Service industry machinery","B570RA3",5.349,4.289,3.536,2.361,2.389,2.839,3.578,5.46,6.25,4.582,5.251,5.809,5.823,4.378,4.931,6.808,9.42,12.547,19.467,26.8,18.537,19.583,16.748,17.929,21.205,20.322,23.18,26.126,27.028,23.714,24.078,24.173,23.96,25.359,25.034,27.625,32.8,37.31,36.962,38.726,43.084,43.03,43.9,44.345,47.638,45.688,37.984,41.812,44.912,50.763,55.983,55.062,54.624,54.675,55.316,64.407,68.282,68.392,73.832,74.814,78.745,69.047,64.475,62.115,65.508,71.065,74.473,76.339,74.977,84.435,91.182,94.175,97.414,94.344,93.702,95.734,100,98.829,95.518,100.406
"40","33","    Electrical equipment, n.e.c.","B670RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.239,9.401,9.166,9.109,11.743,10.329,9.681,9.537,8.423,9.982,11.121,11.115,8.889,9.45,10.264,10.746,11.834,16.115,17.513,20.455,20.937,15.599,17.834,19.913,21.976,22.03,26.037,30.852,31.156,27.683,32.015,30.821,44.308,52.313,57.983,61.181,49.363,51.253,55.441,57.977,59.92,60.004,64.902,63.426,56.961,47.31,48.191,48.018,50.571,54.334,52.381,59.14,70.082,67.337,70.385,75.803,81.302,86.197,104.01,100,99.116,82.325,75.84
"41","34","    Other","B286RA3",2.528,2.175,1.707,1.319,1.335,1.478,1.675,2.002,1.756,1.523,1.724,2.131,2.61,1.965,1.735,1.883,2.236,3.72,4.753,5.234,4.613,4.887,4.391,4.615,4.856,4.751,5.539,5.659,5.735,6.524,7.899,8.56,9.301,10.324,11.255,12.555,13.465,15.334,13.553,14.974,16.157,17.074,18.439,20.365,24.464,26.069,22.501,24.3,28.288,32.027,36.113,32.971,32.327,34.042,33.051,35.375,37.09,39.179,41.651,43.749,45.925,44.74,43.749,44.191,50.979,55.459,58.574,61.548,65.467,70.575,74.571,79.558,81.881,87.716,93.474,95.797,100,99.93,101.836,98.345
"42","35","  Less: Sale of equipment scrap, excluding autos","B287RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.113,13.513,5.082,7.461,11.544,12.426,9.87,14.306,6.433,15.334,16.568,14.335,9.547,16.533,22.273,31.568,32.826,43.689,53.764,65.451,70.92,57.379,59.534,72.559,72.554,62.984,60.466,96.234,116.79,99.306,117.568,115.698,164.642,253.98,219.987,218.024,109.375,84.815,95.524,91.1,93.667,107.397,90.189,87.669,90.702,76.241,75.202,141.055,129.205,136.378,142.601,137.768,137.348,124.177,117.044,95.038,100.449,90.603,102.452,100,109.159,109.924,89.639
