"","Table 5#3#4# Price Indexes for Private Fixed Investment by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254"
"11","3","  Structures","B009RG3",7.526,7.622,7.89,8.154,8.371,8.601,8.823,8.905,8.754,8.633,8.588,8.605,8.589,8.562,8.745,9.116,9.484,9.716,9.877,9.969,10.052,10.018,9.997,10.018,10.048,10.19,10.322,10.307,10.164,10.062,10.066,10.08,10.107,10.189,10.327,10.558,11.025,10.99,11.287,11.4,11.523,11.667,11.729,11.701,11.383,11.455,11.5,11.535,11.457,11.522,11.566,11.575,11.615,11.545,11.49,11.414,11.413,11.435,11.447,11.489,11.506,11.544,11.532,11.567,11.602,11.625,11.655,11.664,11.647,11.78,11.796,11.98,12.003,12.09,12.12,12.359,12.329,12.6,12.615,12.777,12.831,12.901,12.99,13.17,13.355,13.523,13.632,13.976,14.174,14.408,14.607,14.885,15.034,15.504,15.547,15.805,16.132,16.499,16.865,17.161,17.497,17.714,17.946,18.294,18.566,18.963,19.49,19.966,20.504,21.399,22.397,23.341,24.025,24.461,24.68,24.971,25.124,25.576,25.951,26.311,27.145,27.634,28.259,28.854,29.474,30.297,31.041,31.887,32.776,33.781,34.827,35.567,36.182,36.917,37.704,38.883,40.552,41.961,43.149,44.609,45.576,46.028,46.155,45.95,45.162,44.708,44.613,44.546,44.598,45.047,45.338,45.606,45.953,46.059,46.299,46.566,46.76,47,47.21,47.455,47.467,47.668,47.925,48.392,49.151,49.64,50.127,50.663,51.095,51.697,52.099,52.501,52.942,53.312,53.753,54.08,54.562,54.654,54.64,54.109,54.108,54.323,54.584,54.994,55.392,55.869,56.326,56.824,57.267,57.618,58.325,59.147,59.853,60.243,60.899,61.406,61.466,61.697,62.486,62.916,63.525,64.106,64.827,65.605,66.531,67.246,67.796,68.346,68.829,69.276,69.763,70.369,71.213,71.866,72.626,73.485,74.521,75.648,76.854,77.323,78.054,78.912,79.628,80.572,81.545,81.599,82.214,83.339,85.083,87.025,89.449,92.209,95.042,97.673,101.447,105.838,108.823,111.791,113.962,117.111,119.716,120.794,121.786,122.804,122.976,123.8,125.814,128.238,127.092,123.706,120.443
"12","4","    Commercial and health care","W001RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.956,12.062,12.067,12.076,11.959,11.959,11.906,11.911,11.994,11.938,11.887,11.782,11.77,11.821,11.867,11.926,11.914,11.964,11.96,12.055,12.108,12.163,12.207,12.259,12.204,12.412,12.416,12.671,12.665,12.764,12.763,13.067,12.952,13.306,13.304,13.504,13.558,13.611,13.663,13.878,14.071,14.226,14.327,14.794,15.051,15.321,15.532,15.833,15.932,16.488,16.382,16.702,17.173,17.603,18.029,18.386,18.787,18.983,19.281,19.793,20.068,20.486,21.052,21.409,21.816,22.542,23.478,24.402,25.009,25.319,25.391,25.558,25.613,26.131,26.463,26.718,27.145,27.659,28.317,28.917,29.608,30.342,30.988,31.778,32.45,33.579,34.631,35.495,36.47,37.308,38.263,39.341,40.144,40.884,41.562,42.24,42.934,43.542,44.025,44.351,44.638,44.887,45.182,45.611,46.128,46.557,47.109,47.495,47.856,48.122,48.454,48.869,49.249,49.748,50.244,50.797,51.217,51.67,52.051,52.531,53.173,53.557,53.963,54.463,54.933,55.587,55.955,56.353,56.928,57.305,57.73,57.941,58.128,58.286,58.487,58.273,58.204,58.466,58.782,59.292,59.901,60.336,60.931,61.54,62.047,62.493,63.308,64.235,65.027,65.383,65.723,66.052,66.369,66.673,67.36,67.732,68.243,68.689,69.469,70.211,71.146,71.89,72.796,73.691,74.467,75.226,75.88,76.531,77.629,78.313,78.954,79.623,80.298,80.906,81.923,82.62,82.852,83.367,83.671,84.634,85.813,85.626,85.782,86.761,88.391,90.238,92.384,94.604,96.526,98.634,101.3,103.54,105.545,107.267,109.213,111.96,113.399,113.802,114.963,116.832,117.126,117.626,118.998,122.305,123.134,121.311,118.074
"13","5","    Manufacturing","C307RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.349,12.453,12.451,12.448,12.341,12.34,12.286,12.289,12.395,12.34,12.286,12.183,12.18,12.236,12.287,12.339,12.337,12.39,12.391,12.498,12.552,12.607,12.659,12.709,12.656,12.872,12.87,13.139,13.145,13.255,13.259,13.582,13.477,13.857,13.861,14.082,14.137,14.194,14.243,14.461,14.664,14.821,14.927,15.42,15.695,15.968,16.184,16.509,16.618,17.216,17.114,17.453,17.955,18.394,18.829,19.199,19.633,19.842,20.151,20.681,20.945,21.366,21.955,22.33,22.762,23.531,24.519,25.484,26.124,26.452,26.528,26.71,26.773,27.318,27.653,27.909,28.342,28.863,29.528,30.129,30.798,31.546,32.221,33.051,33.828,35.034,36.18,37.13,38.181,39.104,40.113,41.224,42.013,42.765,43.466,44.229,45.038,45.729,46.275,46.621,46.905,47.146,47.429,47.858,48.393,48.824,49.411,49.829,50.203,50.501,50.866,51.311,51.72,52.243,52.745,53.309,53.738,54.182,54.57,55.075,55.766,56.169,56.593,57.118,57.595,58.282,58.651,59.062,59.683,60.092,60.553,60.78,60.978,61.137,61.348,61.116,61.04,61.292,61.592,62.147,62.792,63.228,63.822,64.42,64.937,65.366,66.202,67.189,68.04,68.46,68.83,69.144,69.422,69.775,70.524,70.937,71.508,71.977,72.753,73.454,74.126,74.929,75.862,76.738,77.522,78.201,78.781,79.366,80.347,81.003,81.654,82.365,83.067,83.724,84.828,85.62,86.001,86.598,86.877,87.722,88.553,87.992,87.841,88.569,90.053,91.694,93.6,95.533,97.198,98.943,101.058,102.751,104.461,105.84,106.856,108.641,109.996,110.961,112.358,114.887,116.053,117.057,120.358,125.893,127.187,125.139,120.433
"14","6","    Power and communication","W003RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.715,15.676,15.863,15.997,15.954,16.078,16.313,16.283,16.295,16.223,16.248,16.229,16.251,16.239,16.174,16.176,16.121,16.103,16.004,15.936,16.022,16.071,16.174,16.133,16.127,16.071,16.142,16.224,16.363,16.448,16.548,16.737,16.85,16.947,16.92,17,17.14,17.312,17.577,17.771,17.967,18.274,18.452,18.62,18.806,19.011,19.268,19.672,20.038,20.507,20.923,21.199,21.467,21.895,22.308,22.564,22.883,23.213,23.357,23.48,23.879,24.488,25.26,26.33,27.365,28.527,29.702,30.94,31.968,32.731,33.231,33.657,34.201,34.721,35.221,35.767,37.397,37.481,37.731,38.223,38.776,39.555,40.448,41.386,42.534,43.611,44.959,46.149,46.993,48.169,49.2,50.268,50.903,51.739,52.48,53.131,53.933,54.274,54.774,54.98,55.24,55.121,55.138,55.209,55.169,55.546,55.585,55.71,56.093,56.186,56.269,56.261,56.152,56.152,56.132,56.169,56.245,56.392,56.846,57.344,57.9,58.683,59.663,60.65,61.293,62.193,63.081,63.902,64.17,64.389,64.629,64.8,64.852,64.944,65.254,65.226,65.564,65.753,65.993,66.238,66.642,67.563,67.897,68.488,69.217,69.791,70.277,71.148,71.873,72.527,73.43,74.009,74.295,74.585,74.998,75.585,75.771,76.445,76.775,76.946,77.249,77.265,77.383,77.479,77.193,77.231,77.767,78.306,79.04,79.915,80.399,81.153,81.619,82.128,82.897,83.125,83.564,83.947,84.712,85.042,85.432,85.913,86.572,87.377,88.701,91.644,94.064,96.313,97.316,98.962,100.534,103.188,106.166,108.604,110.691,112.81,113.068,113.914,115.163,116.39,117.723,120.039,123.955,126.888,126.624,124.79,122.857
"15","7","    Mining exploration, shafts, and wells","E318RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.776,5.778,5.778,5.778,5.775,5.953,6.095,6.131,6.064,5.956,5.848,5.809,5.809,5.774,5.74,5.777,5.884,5.922,5.923,5.819,5.785,5.716,5.647,5.58,5.648,5.689,5.688,5.731,5.731,5.77,5.841,5.885,5.987,6.139,6.244,6.323,6.322,6.36,6.397,6.509,6.551,6.659,6.733,6.855,6.866,6.979,7.09,7.137,7.244,7.475,7.538,7.486,7.411,7.599,7.788,7.906,8.029,8.207,8.357,8.418,8.529,8.655,8.821,9.074,9.458,10.611,11.52,12.163,12.791,13.201,13.492,13.948,13.944,14.206,14.661,15.116,15.824,16.68,17.531,18.209,18.728,19.765,20.562,21.445,22.494,23.114,23.82,23.874,23.349,23.506,23.758,24.902,28.136,30.751,32.877,35.65,36.909,37.081,36.369,34.94,31.603,29.658,28.724,27.643,26.813,27.185,26.956,26.954,27.214,26.904,26.995,26.988,26.824,26.412,25.646,24.734,22.82,21.95,21.551,21.922,23.3,24.031,24.558,24.976,25.137,25.295,25.512,25.619,25.58,26.008,26.605,27.46,29.179,28.949,27.918,25.798,25.691,25.749,25.883,26.118,25.812,25.908,26.075,26.215,26.198,26.065,26.556,26.927,27.248,27.38,29.211,30.508,29.099,28.933,30.521,31.073,32.399,33.415,34.245,35.646,37.989,39.374,38.846,38.326,38.041,37.322,36.962,37.523,37.433,37.737,39.416,41.202,44.27,47.996,50.284,49.952,53.31,56.623,59.273,60.952,61.992,62.54,64.854,66.917,69.571,71.515,75.344,80.911,88.518,93.837,102.668,114.978,121.043,127.854,131.484,137.216,144.279,147.405,148.112,147.185,145.713,145.992,147.999,148.863,142.001,131.583,127.301
"16","8","    Other structures \1\","W004RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.45,12.597,12.621,12.656,12.536,12.524,12.473,12.495,12.587,12.541,12.486,12.385,12.385,12.431,12.475,12.517,12.528,12.575,12.59,12.707,12.746,12.785,12.832,12.868,12.828,13.027,13.044,13.281,13.297,13.395,13.406,13.697,13.637,13.949,13.965,14.177,14.223,14.285,14.364,14.541,14.818,14.962,15.059,15.519,15.764,16.08,16.296,16.62,16.741,17.255,17.269,17.657,18.077,18.449,18.841,19.224,19.635,19.851,20.114,20.594,20.907,21.318,21.878,22.307,22.918,23.906,25.114,26.205,26.79,27.209,27.371,27.561,27.725,28.17,28.396,28.66,29.721,30.022,30.581,31.052,31.618,32.295,32.945,33.666,34.455,35.519,36.659,37.582,38.746,39.617,40.546,41.69,42.651,43.64,44.404,45.193,45.973,46.687,47.25,47.639,48.067,48.337,48.597,48.848,49.215,49.739,50.237,50.625,50.928,51.193,51.441,51.811,52.154,52.527,52.943,53.451,53.9,54.409,54.843,55.392,55.977,56.344,56.716,57.171,57.598,58.256,58.649,59.112,59.718,60.104,60.552,60.782,61.029,61.325,61.553,61.405,61.394,61.667,61.942,62.375,62.924,63.523,64.015,64.522,65.056,65.477,66.231,67.1,67.857,68.339,68.793,69.194,69.627,69.941,70.581,70.999,71.488,72.005,72.712,73.458,73.831,74.402,75.128,75.871,76.601,77.313,77.97,78.664,79.702,80.474,81.21,82.106,83.037,83.801,84.85,85.532,85.53,85.857,86.07,86.966,88.13,88.079,88.304,89.245,90.744,92.319,94.115,95.836,97.231,98.859,100.997,102.913,104.668,106.44,107.8,109.901,111.661,111.945,112.649,113.471,113.866,114.569,115.421,116.187,116.002,113.735,111.235
"17","9","  Equipment and software","B010RG3",33.467,34.877,35.661,35.978,35.791,36.843,38.375,39.066,38.988,39.202,39.053,38.624,38.75,39.407,40.215,41.406,42.71,43.243,43.433,43.965,44.106,44.381,44.209,44.162,44.113,44.267,44.465,44.44,45.115,45.81,45.259,45.353,45.01,45.219,46.039,46.991,47.836,48.605,49.82,50.616,51.582,51.624,52.038,52.794,52.782,53.054,53.06,53.206,53.602,53.909,54.171,54.31,54.206,54.497,54.577,54.502,54.359,54.201,54.056,53.968,53.923,53.922,53.934,53.731,53.69,53.574,53.554,53.507,53.552,53.589,53.566,53.526,53.593,53.575,53.735,53.524,53.472,53.622,53.761,54.143,54.457,54.731,55.086,55.486,55.687,56.144,56.626,57.208,57.387,57.688,58.183,58.681,59.314,59.868,60.305,60.988,61.609,61.967,62.037,62.005,62.404,62.679,62.828,62.696,62.965,63.582,64.08,64.236,65.032,66.645,69.327,72.654,75.907,78.221,79.38,80.583,81.752,82.506,83.525,84.791,86.139,87.359,88.707,90.128,91.109,92.167,93.275,94.371,96.116,97.828,99.403,101.094,103.602,106.162,108.4,109.965,112.137,114.214,115.525,116.85,117.687,119.009,119.717,120.206,120.085,119.617,119.054,118.87,118.629,118.538,118.249,118.038,117.934,117.988,118.243,118.718,118.778,119.705,120.678,121.214,121.195,120.664,120.145,120.994,121.673,121.974,122.11,123.268,123.506,123.487,123.851,124.299,124.638,124.755,125.542,126.62,127.728,127.326,126.861,126.797,126.571,125.847,125.485,124.822,124.962,124.627,124.197,123.844,124.042,124.133,123.774,122.832,122.496,122.684,122.28,121.599,120.606,119.489,118.948,118.248,117.208,116.306,115.43,114.209,112.414,111.046,110.023,109.08,108.599,107.781,106.84,106.405,106.309,106.146,106.25,105.75,104.496,103.985,103.304,102.626,102.257,101.567,101.042,101.11,100.625,100.201,100.117,100.205,99.926,100.106,99.887,99.669,100.114,100.234,99.812,99.84,99.977,100.042,100.285,100.472,100.611,100.766,100.712,100.769,100.59,101.019,101.797,102.415,102.45,102.304,101.825
"18","10","    Information processing equipment and software","B679RG3",245.266,253.897,258.678,260.418,257.328,258.889,261.528,262.751,262.779,261.284,260.819,263.031,266.825,264.084,267.254,272.336,281.981,283.797,285.566,283.146,285.137,282.549,275.368,271.301,274.815,277.364,278.502,279.821,275.577,278.853,279.417,287.559,286.336,282.288,281.817,283.947,291.937,280.727,298.547,295.386,303.783,302.634,301.894,314.798,307.798,309.696,310.154,309.619,309.794,311.07,313.179,314.319,310.907,312.183,309.981,308.467,307.009,308.692,304.157,304.604,302.029,301.406,297.859,294.187,290.767,289.323,287.315,285.562,285.627,285.151,282.43,282.277,280.719,276.224,277.812,271.018,267.377,264.141,260.4,258.707,258.786,258.775,259.587,258.898,257.268,256.816,256.505,258.044,258.723,258.677,259.373,260.416,262.423,262.904,261.399,260.315,258.967,256.638,254.411,252.863,251.372,250.091,249.399,249.491,252.237,253.594,252.194,249.772,249.4,254.105,258.947,264.254,269.986,272.948,272.999,273.766,274.814,275.295,275.27,273.783,274.799,273.611,270.6,266.374,263.631,262.057,260.356,258.755,259.943,260.407,259.015,257.91,259.267,260.479,261.731,263.014,266.121,267.779,267.826,267.528,267.38,269.936,270.733,271.541,268.036,264.057,260.758,258.395,255.182,252.742,250.17,248.406,246.202,243.529,241.113,238.877,235.199,234.172,235.974,235.271,232.116,228.771,225.999,227.476,227.949,225.633,224.167,224.298,223.538,221.308,219.739,217.672,215.865,214.687,214.732,214.581,214.983,212.966,209.796,207.048,204.354,200.87,198.633,196.197,195.476,193.393,191.376,189.198,187.618,185.979,183.811,181.137,179.51,177.877,174.926,171.408,167.508,163.016,160.13,157.337,154.138,151.289,148.071,144.783,140.152,136.472,133.298,130.31,128.272,126.244,124.585,123.387,122.845,122.208,122.05,121.086,118.43,117.14,114.918,113.455,112.364,110.957,110.11,109.204,107.956,107.208,105.947,104.484,103.767,103.136,102.591,101.543,101.031,100.359,99.617,98.992,98.611,98.349,98.026,97.61,97.19,96.913,96.445,96.244,95.716,95.827,95.686,95.17,94.578,94.033,93.554
"19","11","      Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627505.053,519251.656,436457.093,404730.973,324738.962,448578.999,415687.753,371842.554,314673.395,339896.281,245568.462,252962.962,225492.312,232760.907,195647.377,164051.305,143975.736,137422.146,130635.746,125192.419,122577.613,118692.479,106955.459,101171.891,102124.281,91037.12,96390.919,81787.515,75153.526,67685.58,60621.291,56822.531,54455.69,53128.974,53001.445,50893.513,48074.734,45898.805,43575.734,42916.529,42262.8,41354.674,40227.01,39553.72,39380.108,38302.1,35708.689,33380.125,31439.921,28777.99,26564.717,24970.195,23535.558,22805.507,22050.823,21747.82,22450.904,22314.665,21072.496,19623.504,18507.814,17613.629,17004.15,16650.675,16693.948,16584.449,16007.899,15260.104,14449.075,13699.697,13085.038,12674.767,12780.354,12387.447,11470.855,10274.186,9095.239,8155.926,7473.712,7007.466,7016.77,6836.016,6449.255,5991.507,5694.385,5268.593,4897.181,4661.285,4649.738,4623.609,4496.997,4264.558,4149.792,4058.274,3975.453,3955.196,3655.894,3441.829,3241.873,3115.507,2914.164,2762.047,2642.999,2566.318,2453.333,2353.884,2272.556,2174.331,2024.94,1971.256,1995.042,1980.555,1817.699,1705.65,1630.376,1636.443,1620.735,1580.112,1558.867,1547.452,1533.145,1479.232,1460.559,1416.654,1355.733,1338.487,1335.551,1314.025,1278.836,1237.63,1164.257,1119.912,1095.828,1045.105,994.542,961.456,930.463,885.498,849.679,815.756,798.426,783.13,757.743,722.377,689.746,661.856,624.165,586.509,542.763,498.082,470.203,442.897,413.177,388.354,363.364,341.394,312.728,289.328,268.131,248.906,233.97,221.272,211.457,204.688,198.989,192.716,188.002,182.854,168.008,161.835,154.403,147.106,142.54,139.655,135.181,130.99,126.472,123.637,121.203,118.889,117.226,115.345,112.415,109.481,105.517,101.827,98.091,94.565,91.746,88.544,85.664,83.626,81.675,79.257,76.555,74.774,72.019,70.596,69.291,67.933,66.328,64.563,63.514
"20","12","      Software \2\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.881,158.259,157.711,156.568,153.231,150.425,148.269,146.686,146.834,146.946,147.081,147.137,143.871,142.409,140.545,138.585,137.469,136.035,135.368,135.108,136.482,137.039,137.57,137.339,135.246,134.341,133.022,131.863,130.399,129.741,128.939,128.35,128.213,127.887,127.446,127.343,127.573,127.613,127.979,128.422,128.608,128.482,129.209,129.902,131.275,131.27,131.279,130.942,129.356,128.351,127.726,126.835,126.036,125.722,125.676,125.739,127.105,128.083,128.633,129.065,129.694,131.925,134.524,136.74,138.633,138.601,138.74,139.299,138.919,138.81,139.184,139.605,140.75,140.896,140.55,139.734,137.733,137.249,137.049,137.472,139.712,140.763,142.003,143.252,143.663,144.81,145.338,145.894,148.106,149.388,150.881,152.201,153.456,153.981,154.491,154.613,153.839,153.069,152.147,151.312,150.674,150.665,149.714,148.941,148.934,147.812,147.045,145.68,143.543,142.159,141.291,141.008,141.26,141.082,141.013,140.676,140.715,140.273,139.124,137.626,135.227,133.472,131.666,129.835,128.723,127.913,127.52,127.617,129.401,128.495,127.012,124.705,119.749,117.138,115.592,114.671,116.279,116.375,116.095,115.397,113.585,112.472,111.653,111.127,111.635,111.881,111.608,111.018,110.259,109.316,108.375,107.53,106.756,106.418,105.37,104.372,102.994,102.598,102.499,102.196,103.066,103.661,104.192,104.486,105.283,106.426,108,108.158,107.781,108.199,106.782,106.967,106.558,105.211,105.324,105.042,103.989,103.931,102.98,101.378,101.017,100.675,100.703,99.68,100.051,100.106,99.919,99.923,100.411,101.203,101.565,101.504,101.444,101.579,101.697,102.08,102.296,102.94,103.16,102.595,102.145,101.674,100.929
"21","13","      Other \3\","B937RG3",44.144,45.697,46.558,46.871,46.315,46.596,47.071,47.291,47.296,47.027,46.943,47.341,48.024,47.531,48.101,49.016,50.752,51.079,51.397,50.962,51.32,50.854,49.562,48.83,49.462,49.921,50.126,50.363,49.599,50.189,50.291,51.756,51.536,50.807,50.722,51.105,52.543,50.526,53.734,53.166,54.679,54.472,54.336,56.653,55.385,55.735,55.826,55.742,55.719,55.97,56.411,56.73,56.506,56.303,56.14,56.165,56.267,56.3,56.353,56.323,56.203,56.038,56.042,56.213,56.374,56.5,56.488,56.424,56.522,56.645,56.856,57.294,56.901,56.89,56.856,56.895,56.969,57.365,57.721,58.14,58.776,59.138,59.461,59.8,60.021,60.49,61.085,61.784,62.225,62.536,63.117,63.647,64.263,64.903,65.446,66.079,66.657,67.246,67.781,68.317,68.876,68.979,69.302,69.55,69.97,70.505,70.797,70.885,71.577,73.906,76.145,78.469,80.568,81.909,82.405,83.357,84.738,85.856,86.559,86.329,86.406,86.41,86.559,86.876,88.278,89.825,90.89,91.443,91.716,92.4,92.88,93.914,95.82,98.268,100.963,103.156,104.834,105.932,106.773,108.359,109.011,111.35,112.49,113.162,114.146,114.209,114.866,115.215,116.141,116.962,117.459,117.835,118.463,118.721,118.715,119.464,120.593,121.477,122.732,122.557,124.176,124.626,124.489,125.914,126.953,126.173,125.842,126.992,127.711,128.215,128.046,128.443,129.502,129.234,129.598,130.253,131.23,131.086,131.329,131.439,132.374,132.266,133.277,132.579,132.436,132.456,132.291,132.103,132.381,131.964,131.37,130.716,130.846,130.898,130.504,129.668,129.314,128.405,128.114,128.036,127.806,127.22,126.775,125.622,123.652,121.831,120.417,119.237,118.055,116.71,115.416,114.439,114.113,113.435,112.999,112.254,111.315,109.882,108.558,107.339,106.824,105.941,105.39,105.066,104.911,104.186,103.029,102.082,101.328,100.858,100.619,100.37,100.27,100.003,99.892,99.834,99.583,99.529,99.72,99.754,99.759,100.176,100.255,100.26,100.161,100.538,100.625,100.624,100.416,100.465,100.622
"22","14","    Industrial equipment","B680RG3",9.508,9.936,10.132,10.432,10.335,10.533,11.066,11.419,11.489,11.455,11.347,11.145,11.304,11.499,11.973,12.524,13.314,13.361,13.278,13.39,13.244,13.531,13.425,13.481,13.58,13.803,13.918,13.904,14.155,14.128,13.948,13.992,14.216,14.34,14.577,15.145,15.399,15.979,16.253,16.737,17.061,17.058,17.37,17.696,17.602,17.701,17.744,17.775,17.857,18.024,18.209,18.339,18.445,18.479,18.499,18.454,18.409,18.32,18.28,18.255,18.231,18.282,18.354,18.392,18.379,18.359,18.36,18.394,18.446,18.495,18.565,18.642,18.708,18.775,18.847,18.923,19.024,19.174,19.397,19.654,19.884,20.066,20.238,20.42,20.591,20.872,21.132,21.397,21.499,21.584,21.746,22.003,22.315,22.646,22.951,23.234,23.441,23.712,23.954,24.11,24.164,24.245,24.31,24.441,24.577,24.81,25.101,25.402,25.827,26.489,27.668,29.304,31.121,32.624,33.643,34.323,34.805,35.334,35.954,36.652,37.627,38.533,39.372,40.162,41.087,41.897,42.737,43.617,44.735,45.853,47.121,48.252,50.104,51.81,53.397,54.849,56.124,57.157,58.074,58.875,59.101,60.302,60.763,61.029,61.343,61.605,61.575,61.624,61.861,62.265,62.329,62.442,62.475,62.875,63.474,64.204,65.198,65.927,66.592,66.834,68.126,68.797,68.929,70.113,70.991,71.981,72.062,73.334,73.89,74.177,74.962,75.818,76.973,77.687,78.659,79.85,80.919,80.708,80.979,81.727,82.247,82.589,83.483,83.204,83.43,83.853,84.172,84.6,84.849,85.396,85.989,86.67,87.252,88.538,89.18,89.637,90.123,90.296,90.618,90.928,91.039,91.029,91.123,91.242,91.371,91.514,91.725,91.877,92.102,92.004,92.133,92.378,92.486,92.595,92.773,92.82,93.139,93.328,93.265,93.355,93.15,93.109,93.422,93.551,93.695,93.877,94.138,94.343,95.108,95.979,96.736,97.646,98.785,99.845,100.305,101.066,101.749,102.557,103.838,104.626,105.642,106.405,107.079,107.956,108.877,110.426,112.127,112.339,112.055,112.003,112.339
"23","15","    Transportation equipment","B681RG3",16.964,17.207,17.461,17.814,17.874,18.102,18.894,19.539,19.464,19.526,19.395,19.469,19.541,19.761,19.831,20.102,20.497,20.817,21.22,21.728,22.198,22.437,22.429,22.234,21.894,21.503,21.426,21.125,21.935,22.923,22.374,22.508,21.501,21.73,22.312,22.436,23.364,23.921,24.463,24.835,25.394,25.386,25.273,24.871,25.393,25.637,25.631,25.725,26.09,26.152,26.138,26.147,25.897,26.086,26.222,26.16,26.181,26.038,26.039,25.88,25.855,25.719,25.792,25.651,25.718,25.654,25.64,25.525,25.437,25.421,25.437,25.341,25.311,25.398,25.391,25.265,25.179,25.267,25.324,25.489,25.482,25.588,25.765,26.068,26.123,26.327,26.51,26.793,26.787,27,27.456,27.723,28.057,28.311,28.606,29.214,29.831,30.122,30.008,29.89,30.375,30.649,30.912,30.487,30.361,30.726,31.181,31.483,32.234,33.169,34.32,35.547,36.485,37.514,37.8,38.579,39.501,39.776,40.491,41.394,41.825,42.546,43.813,45.494,46.43,46.922,47.656,48.326,49.734,50.955,51.722,53.166,54.813,56.152,57.724,58.47,59.146,60.879,61.559,62.502,63.144,63.537,64.166,64.282,64.623,64.638,64.728,64.966,65.248,65.332,65.456,65.614,66.106,66.874,67.616,68.957,69.824,71.489,71.869,73.241,73.184,72.604,72.629,72.525,72.571,73.285,74.212,75.335,75.341,76.008,76.466,77.978,78.183,78.468,79.212,80.818,82.309,82.673,83.244,84.498,85.426,85.662,85.098,85.306,86.132,86.097,86.051,86.487,88.288,89.144,89.193,87.934,87.464,87.891,88.635,89.012,88.864,89.814,90.606,90.768,90.752,91.09,92.185,91.737,90.87,90.539,90.723,91.14,92.147,92.185,91.027,91.138,91.547,91.701,92.147,91.496,90.395,90.324,91.842,91.244,91.975,91.923,90.516,92.8,92.995,91.961,94.525,99.056,99.124,99.847,98.993,99.006,100.27,100.553,99.166,100.011,100.559,100.729,100.839,101.359,102.18,102.77,102.737,102.014,101.297,101.677,103.135,104.457,109.015,112.335,110.75
