"","Table 5#2#3# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"43","36","            State and local","B899RA3",24.336,30.336,30.093,22.024,10.147,13.41,11.611,27.841,21.234,26.392,32.189,23.532,13.26,1.649,-5.875,-7.32,-6.021,0.168,7.539,12.993,22.986,27.914,28.83,29.133,32.545,41.672,46.43,46.573,49.499,55.98,56.79,56.028,61.428,63.036,69.057,74.049,79.771,85.087,90.833,94.671,86.146,75.642,70.567,63.923,61.869,60.524,58.632,55.791,48.196,56.118,59.397,57.821,46.522,37.876,36.228,45.099,53.506,59.029,60.369,64.332,65.679,73.616,76.613,75.789,71.302,71.058,74.286,79.907,88.34,86.513,96.221,103.346,111.345,116.748,115.659,110.224,100,98.825,101.337,97.804
"44","37","  Equipment and software","A871RA3",0.603,0.566,0.659,0.586,0.604,1.045,1.182,1.056,1.154,1.397,1.519,1.599,10.014,40.898,81.688,91.412,64.443,4.888,3.875,5.485,7.554,6.057,16.408,22.465,25.417,21.024,17.444,17.094,16.323,16.999,20.848,19.492,21.953,23.878,22.112,21.733,20.544,23.531,25.887,23.018,20.985,19.74,13.724,11.977,13.431,16.348,17.641,19.118,19.463,20.209,23.196,24.958,26.831,29.558,34.953,40.539,47.828,53.573,57.993,56.95,61.739,65.463,64.423,64.429,60.485,58.362,58.845,60.802,60.785,66.473,73.008,75.454,78.015,83.405,87.391,93.825,100,108.114,111.538,122.76
"45","38","  Less: Consumption of fixed capital","B900RA3",0.899,0.937,0.971,1.005,1.019,1.07,1.168,1.273,1.332,1.43,1.541,1.679,2.64,6.902,16.237,27.478,34.223,32.436,26.445,21.482,18.146,15.88,15.566,17.433,19.548,21.029,21.497,21.704,21.903,22.022,22.557,23.323,23.95,24.909,25.839,26.603,27.129,27.845,28.979,29.936,30.33,30.321,29.54,28.474,27.72,27.49,27.745,28.272,28.806,29.39,30.209,31.413,32.801,34.467,36.678,39.707,43.607,47.964,52.293,56.219,60.129,64.227,67.795,70.637,72.707,73.978,74.955,76.128,77.574,79.632,82.641,85.661,88.069,90.42,92.936,96.5,100,104.279,108.965,114.437
"46","39","  Equals: Net equipment and software","A901RA3",-1.203,-1.697,-1.244,-1.97,-1.932,0.894,1.273,-0.269,0.068,1.198,1.384,1.112,55.013,248.363,481.115,481.578,248.866,-163.227,-133.859,-92.136,-57.084,-53.885,21.543,53.17,61.232,20.993,-7.292,-11.042,-17.727,-13.654,10.416,-3.889,9.768,17.581,-0.631,-7.984,-19.64,-2.797,7.022,-19.196,-36.048,-44.836,-82.795,-88.698,-73.766,-51.644,-44.026,-36.744,-37.556,-35.82,-19.6,-14.436,-9.607,-0.398,24.43,45.613,73.59,87.804,92.78,61.41,71.563,73.007,43.849,26.544,-14.101,-36.932,-39.471,-32.73,-41.677,-13.833,14.22,13.163,16.662,40.599,53.554,77.502,100,131.517,127.239,173.552
"47","40","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            State and local","B907RA3",7.002,2.975,4.086,1.954,-1.621,-2.462,-2.342,-2.662,1.058,1.798,3.486,-1.017,-5.162,-7.605,-8.911,-7.815,-6.976,-1.845,3.153,6.308,5.84,4.599,4.109,4.555,4.609,5.991,3.384,5.491,10.846,8.034,8.272,10.864,9.2,9.573,13.919,17.563,17.347,19.647,17.192,15.558,17.303,15.696,11.641,18.649,25.946,29.715,19.128,10.222,2.189,5.556,13.339,16.421,7.575,10.303,25.407,47.392,67.065,72.036,63.652,67.282,102.718,106.114,70.034,63.216,52.606,74.658,86.44,75.374,105.445,153.446,184.138,182.687,156.799,125.773,113.048,90.38,100,147.587,149.672,120.225
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","  Gross domestic fixed investment","W172RA3",5.282,4.401,3.398,2.268,1.929,2.429,2.929,3.965,4.261,3.76,4.372,4.917,7.142,10.355,12.665,13.154,11.08,7.877,9.421,10.694,10.479,12.177,13.025,13.647,14.693,14.6,15.601,15.654,15.595,15.128,17.054,17.018,17.449,18.793,19.816,21.303,22.987,24.47,24.445,25.542,26.314,25.469,26.347,28.533,30.825,29.491,27.035,29.225,32.452,36.147,38.218,36.3,36.783,34.558,37.102,43.069,45.96,47.158,47.874,49.093,50.658,50.424,47.865,50.182,53.2,57.05,60.318,65.183,70.487,77.298,84.264,89.955,89.096,86.71,89.387,94.956,100,102.459,101.201,97.537
"53","45","  Less: Consumption of fixed capital","A262RA3",5.494,5.618,5.61,5.47,5.324,5.219,5.232,5.316,5.481,5.569,5.634,5.772,6.112,6.84,7.993,9.331,10.162,10.263,10.05,9.971,10.022,10.177,10.542,11.048,11.635,12.168,12.633,13.088,13.523,14.028,14.327,14.607,15.016,15.524,16.136,16.805,17.644,18.651,19.666,20.642,21.645,22.529,23.272,24.138,25.417,26.576,27.493,28.372,29.492,30.836,32.417,33.921,35.282,36.735,37.958,39.542,41.722,43.734,45.77,47.694,49.708,51.678,53.277,54.757,56.594,58.811,61.437,64.538,68.21,72.693,77.814,83.198,87.637,90.814,93.504,96.555,100,103.702,107.698,111.279
"54","46","  Equals: Net domestic fixed investment","W173RA3",6.761,3.794,0.732,-2.434,-3.195,-1.487,0.08,3.067,3.84,2.031,3.822,5.339,11.154,18.376,22.995,22.132,14.29,3.105,7.485,11.149,10.966,15.038,17.422,18.617,20.465,19.17,20.617,20.04,19.254,17.54,22.072,21.411,22.12,24.76,26.307,28.998,31.918,34.296,32.79,33.896,34.038,30.355,31.213,35.345,39.262,34.052,26.295,30.539,36.987,44.396,47.296,40.137,39.163,31.201,35.849,48.724,52.86,52.889,51.614,51.599,52.477,48.972,39.959,43.483,48.095,54.331,58.592,66.224,74.065,84.508,94.416,100.586,91.392,80.247,82.905,92.435,100,100.488,90.863,75.564
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Note. Chain-type quantity indexes for net investment are computed from chained (2005) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","estimates of net investment by scaling the chained-dollar estimates to 100 in the reference year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","(2005). Chained (2005) dollar estimates of net investment beginning with 1967 appear in table 5.2.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
