"","Table 5#5#5# Private Fixed Investment in Equipment and Software ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2009 9:23:28 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","12","  Industrial equipment","A680RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4.6,4.6,3.7,4.5,5.7,5.9,6.7,7.1,7.3,8.8,9.6,8.2,8.5,9.4,8.8,9.3,10,11.4,13.7,16.2,16.9,17.3,19.1,20.3,19.5,21.4,26,30.7,31.3,34.1,39.4,47.7,56.2,60.7,65.5,62.7,58.9,68.1,72.5,75.4,76.7,84.2,93.3,92.1,89.3,93,102.2,113.6,129,136.5,140.4,147.4,149.1,162.9,151.9,141.7,142.6,142,159.6,178.4,193.2,193.8
"20","13","    Fabricated metal products","C263RC1",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.5,0.4,0.5,0.7,0.8,0.8,0.9,0.8,0.9,1.1,1,0.9,0.9,0.9,0.8,0.9,1,1.2,1.4,1.4,1.7,2.1,2.6,2.8,3,3.7,4.5,5.3,6.1,6.2,7.1,8.8,9.2,9.9,9.5,9.1,8.7,8.6,8,7.1,8,9,9.2,9.4,9.6,9.3,10,10.8,12.1,10.5,10.9,11.5,11.9,11.9,10.7,11.5,12,13.5,16.1,17.5,17.7
"21","14","    Engines and turbines","A668RC1",0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.4,0.4,0.6,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.8,0.9,1.1,1.3,1.5,1.7,1.7,1.8,1.7,1.8,1.7,1.8,1.9,1.9,2.3,2,1.8,1.9,2.2,1.9,2.5,2.7,3.3,3.1,3.8,3.7,3.5,3.9,3.3,4,3.7,4.4,5.5,7.1,10.8,11.6,10.1,4.7,5.5,6.9,7.9,9.8
"22","15","    Metalworking machinery","C271RC1",0.2,0.1,0.1,0,0,0.1,0.1,0.2,0.2,0.1,0.2,0.4,0.6,0.6,0.5,0.5,0.6,0.7,0.8,0.6,0.4,0.7,1,1.1,1.4,1.6,1.3,1.8,1.9,1.2,1.3,1.5,1.4,1.6,1.9,2,2.6,3.3,4.2,3.9,4,4,3.1,3.7,4.9,6.1,6.1,6.4,7.3,9.3,11.6,13.3,14.1,12.2,9.3,11.3,12.5,13.1,12.5,13.9,16.7,16,15.7,16.9,18.7,22.3,26.4,27.5,29.7,30,29.1,29.9,25.4,23,22.8,23.4,26.3,27.9,29,29.9
"23","16","    Special industry machinery, n.e.c.","C272RC1",0.4,0.3,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.5,0.7,1.1,1.2,1,1.2,1.4,1.2,1.3,1.2,1.4,1.7,1.7,1.5,1.7,1.9,1.9,2,2.1,2.4,3.1,3.5,3.3,3.5,3.7,3.9,3.8,4.2,4.8,5.4,5.2,5.5,6.1,8.2,9.4,10.5,11.3,11.9,12.4,14.4,15.8,17.1,18.7,20.9,23.7,22.6,21.3,21.8,24.3,26.4,31.2,32.8,32.8,34.2,34.8,39.6,35.2,30.7,29.6,29.3,31.8,35.3,38.4,34.7
"24","17","    General industrial, including materials handling, equipment","C273RC1",0.5,0.4,0.3,0.2,0.2,0.2,0.3,0.4,0.5,0.3,0.4,0.4,0.5,0.3,0.4,0.6,0.9,0.9,1.3,1.3,1,1.1,1.4,1.3,1.5,1.5,1.9,2.2,2.3,2.1,2.2,2.5,2.3,2.5,2.9,3.4,3.9,4.6,4.3,4.3,5,5.3,5.2,5.5,6.9,8.3,8.5,9.4,12,14.8,17.2,18,19,18.1,16.8,20.3,21.9,24.2,23.6,26,27,27.4,25.8,27.4,32.2,35.4,39.9,42,44.3,47.6,46.3,49.4,45.6,45.5,49,51.7,60.2,66.3,70.8,70.1
"25","18","    Electrical transmission, distribution, and industrial apparatus","C276RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.7,0.7,0.6,0.8,1.1,1.2,1.4,1.4,1.4,1.8,2,1.7,1.8,1.9,1.9,1.9,1.9,2.1,2.4,2.9,2.9,2.9,3.1,3.3,3.1,3.3,4,4.7,4.6,4.9,6.1,6.5,7.4,7.9,8.9,9,9.5,11.5,11.5,11.2,12.3,12.8,13.7,14,13.3,13.7,14.2,15.7,17.4,18.2,19.3,20.2,21.9,25,23,20.3,19.7,20.8,22.4,25.9,29.6,31.6
"26","19","  Transportation equipment","A681RC1",2.1,1.6,0.9,0.5,0.5,0.8,1.1,1.5,1.7,1.1,1.4,1.9,2.4,1,0.9,1,1.7,3,4.9,5.5,5.7,6.4,6.6,5.7,6.6,6,7.5,7.4,8.3,6.1,8.3,8.5,8,9.8,9.4,10.6,13.2,14.5,14.3,17.6,18.9,16.2,18.4,21.8,26.6,26.3,25.2,30,39.3,47.3,53.6,48.4,50.6,46.8,53.5,64.4,69,70.5,68.1,72.9,67.9,70,71.5,74.7,89.4,107.7,116.1,123.2,135.5,147.1,174.4,170.8,154.2,141.6,132.9,161.1,181.7,198.2,181.7,132.3
"27","20","    Trucks, buses, and truck trailers","C279RC1",0.5,0.4,0.2,0.1,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.6,0.1,0.1,0.3,0.9,1.2,1.7,2.1,1.8,2.1,2.4,1.9,1.8,1.7,2.4,2.5,2.3,2.1,2.6,2.6,2.7,3.4,3.6,3.7,4.7,5.4,4.9,5.9,7.2,6.2,7.2,9.4,11.2,11.6,9.2,12.1,16.2,19.9,21.8,17.1,18.1,17.8,20.8,28.2,32,28.4,28.8,29.1,28.5,23.7,22,26.3,37.2,51,58.6,64.6,73.2,79.8,90.2,82.8,66.1,62.1,65,86.4,103,114.1,93.3,61.1
"28","21","      Light trucks (including utility vehicles) \3\","W178RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,12,10.8,9.7,9.9,10.2,15.2,25.9,29.7,39,49.4,49.7,55.9,53.1,45,40.7,44,57,66.5,73.3,66.5,40
