"","Table 5#8#3A# Real Gross Government Fixed Investment by Type, Qu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"17","10","        Buildings","B815RA3",NA,NA,NA,NA,3.639,18.645,15.767,97.429,132.095,65.431,39.972,223.138,1815.762,3981.409,2536.981,1452.346,825.483,314.577,72.849,143.042,129.422,154.578,547.4,919.154,965.027,834.505,398.9,249.621,303.19,347.54,378.503,295.732,313.192,210.092,161.342,120.519,136.44,103.584,94.952,130.149,146.889,110.888,138.327,141.922,136.42,162.942,186.46,163.99,135.34,139.272,110.617,143.65,160.62,184.828,219.6,197.338,263.823,274.257,273.08,233.791,197.405,207.329,176.949,162.133,147.16,149.16,143.984,135.999,125.887
"18","11","          Residential","B816RA3",NA,NA,NA,NA,NA,1.581,13.118,93.239,132.189,49.212,6.006,5.859,322.576,456.912,824.723,237.818,92.236,270.752,10.194,29.841,29.474,15.36,14.968,20.994,27.678,14.971,12.456,29.459,114.611,238.642,317.745,187.951,188.445,130.88,90.09,70.747,97.533,62.658,35.662,46.128,87.431,58.28,69.753,166.826,155.487,200.732,241.7,207.6,155.592,154.288,95.53,136.75,146.103,162.963,196.175,160.87,215.046,256.332,285.632,236.679,194.901,201.711,130.876,127.303,131.735,145.949,145.964,132.456,134.993
"19","12","          Industrial","B817RA3",NA,NA,NA,NA,10.693,50.972,8.554,17.109,7.129,47.046,94.094,597.36,4203.025,9801.674,4982.891,3420.177,2050.519,249.136,177.142,324.349,287.989,388.861,1469.542,2477.13,2587.996,2258.676,1066.059,616.609,594.625,476.345,406.354,441.836,490.127,319.235,267.352,192.628,183.385,161.095,186.367,260.092,232.627,188.787,240.244,95.763,100.107,95.706,91.957,88.28,98.235,110.989,140.755,155.879,187.317,225.308,262.586,270.067,361.112,306.499,245.895,226.687,202.735,220.204,287.309,245.929,185.193,157.335,139.255,144.865,103.938
"20","13","        Military facilities \3\","B818RA3",13.013,21.89,33.104,33.191,32.539,38.822,30.017,21.325,26.518,44.981,92.405,278.097,1089.63,2826.115,1315.067,445.234,357.151,83.63,72.157,64.902,54.615,66.874,240.689,356.613,349.51,289.08,361.402,359.252,331.572,342.603,337.66,308.207,305.868,270.811,248.549,199.303,187.9,205.917,188.274,176.235,183.433,140.975,149.544,116.639,118.573,108.674,131.159,116.02,109.635,109.022,95.093,106.879,91.826,109.946,130.549,133.364,153.144,171.307,192.98,185.958,145.889,124.643,81.244,103.84,104.265,110.135,131.592,118.595,112.865
"21","14","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","    Nondefense","B830RA3",26.069,35.765,50.327,77.618,113.729,118.918,164.999,153.627,137.185,127.347,112.199,108.048,112.461,85.545,74.417,36.327,28.192,-0.594,41.871,80.174,126.398,142.944,123.829,115.517,109.069,94.847,65.197,88.285,104.121,131.006,137.815,155.332,172.897,192.621,208,224.198,236.509,235.219,177.425,159.348,135.334,136.329,150.693,155.591,167.286,162.945,169.322,180.711,186.689,215.872,201.615,204.133,201.397,164.846,160.575,165.501,169.266,180.397,198.915,146.56,142.239,159.344,178.458,198.483,212.303,186.876,190.049,192.665,166.801
"23","16","      New","B831RA3",21.11,28.961,40.754,62.853,92.095,96.297,132.943,112.014,98.425,91.979,93.269,97.252,95.084,73.638,68.098,34.146,29.519,38.211,53.444,72.613,103.662,114.794,97.038,90.587,85.54,75.208,62.945,69.145,76.303,88.941,106.8,120.867,134.628,149.843,161.512,174.699,184.036,183.117,138.04,124.008,105.249,105.86,117.279,121.339,130.459,127.074,132.047,140.929,147.144,166.967,160.607,159.057,155.354,127.933,126.344,127.728,127.377,121.701,138.888,122.904,116.827,127.018,144.625,158.809,160.239,155.444,155.801,150.905,133.411
"24","17","        Buildings","B832RA3",11.834,21.463,37.368,91.109,64.207,32.922,35.177,41.762,40.076,36.167,28.244,33.791,34.034,25.854,16.057,14.869,19.591,13.437,21.182,23.534,59.774,57.878,38.246,33.223,27.73,24.513,14.478,21.443,20.11,31.748,56.793,65.127,70.264,85.755,108.762,141.668,151.624,124.614,58.419,59.11,52.407,41.455,45.699,50.356,66.034,62.547,73.622,91.761,98.146,104.051,103.744,107.681,107.961,83.33,90.291,99.583,99.443,94.976,115.731,98.301,89.361,114.499,145.639,153.261,145.163,118.966,136.517,137.273,133.411
"25","18","          Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","19","          Industrial","B834RA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.522,117.899,170.819,112.971,104.538,114.772,119.662,96.533,105.41,132.549,144.568,114.75,99.197,124.487,170.137,220.44,288.5,337.233,424.478,442.643,462.064,532.869,513.109,400.186,420.051,410.208,332.419,228.334,198.273,207.403,180.759,193.946,232.694,303.662,316.75,260.457,272.285,210.978,133.411
"27","20","          Educational \4\","B835RA3",127.637,127.637,373.439,824.39,589.333,373.439,373.439,373.439,294.665,294.665,294.665,274.811,274.811,274.811,215.836,431.671,549.819,490.468,3986.152,183.986,0,0,122.657,981.285,478.377,515.113,331.181,429.301,380.258,527.403,512.527,897.009,1258.113,1292.924,1141.844,1060.24,605.725,547.538,839.008,512.693,361.154,442.664,535.904,665.058,1423.339,1048.772,322.8,117.014,179.615,362.943,594.236,523.012,367.224,253.772,201.643,118.522,104.507,142.326,39.504,37.521,72.315,96.558,173,249.376,174.704,168.161,200.473,90.325,133.411
"28","21","          Hospital","B836RA3",1.641,4.104,9.857,20.13,13.81,7.477,7.477,8.882,7.399,6.995,5.752,8.588,6.658,7.386,6.563,7.593,15.186,13.542,29.586,87.326,155.738,135.409,106.644,88.982,51.777,27.945,17.258,27.12,31.64,24.858,45.382,43.113,42.077,41.871,49.122,51.613,65.698,54.714,22.176,28.811,30.256,38.341,47.874,39.818,31.088,33.076,56.525,68.28,83.344,90.252,79.724,84.653,99.821,84.889,76.814,86.162,88.734,94.113,108.265,100.649,89.35,98.084,83.687,85.303,103.337,91.87,102.029,116.707,133.411
"29","22","          Other \5\","B837RA3",16.532,30.126,50.687,125.375,88.451,44.835,48.224,57.585,56.024,50.281,38.819,46.224,47.304,34.779,20.666,17.324,21.052,12.793,2.288,4.833,37.103,41.225,20.773,15.153,22.082,25.215,14.5,21.23,17.895,37.235,55.626,62.587,61.18,92.464,126.605,174.128,186.258,152.853,60.717,57.444,45.928,30.704,35.857,41.196,57.019,45.414,48.038,65.635,57.075,59.995,58.726,53.39,52.883,37.933,48.333,60.967,70.809,76.627,107.414,82.909,76.931,109.166,154.072,154.317,135.012,108.035,128.681,134.046,133.411
"30","23","        Highways and streets \6\","B838RA3",55.705,91.806,134.464,167.207,276.104,340.371,368.038,285.079,246.48,233.154,223.804,196.34,143.969,67.986,25.314,25.314,44.839,82.424,119.114,120.555,171.487,155.726,111.913,137.756,180.09,197.317,216.68,213.805,261.91,303.495,253.57,381.063,374.621,433.338,483.583,451.964,428.314,594.502,577.297,521.497,447.697,479.877,508.474,510.83,424.885,316.28,340.078,387.193,445.725,470.509,544.571,406.482,567.315,359.048,329.735,377.188,340.71,278.165,264.553,276.342,149.231,142.902,143.641,132.086,194.442,248.82,169.986,194.569,133.411
"31","24","        Conservation and development","B839RA3",45.825,59.724,77.889,94.588,203.61,235.12,345.435,281.297,243.177,226.444,237.66,238.952,230.187,168.911,131.784,72.908,54.586,85.84,119.344,175.025,215.308,251.987,229.568,214.713,203.333,174.398,149.767,158.3,177.93,194.57,211.937,219.609,258.319,274.181,277.932,282.742,298.731,320.392,275.798,239.904,197.172,211.101,235.411,234.982,245.929,257.769,256.375,254.661,261.262,307.694,286.741,282.052,264.549,231.358,220.054,207.798,205.48,193.674,206.171,183.215,180.877,171.953,164.227,203.387,186.447,186.484,172.446,154.805,133.411
"32","25","        Other \7\","B840RA3",10.377,7.671,8.025,6.137,2.887,5.774,5.051,6.586,8.118,10.458,11.904,21.734,29.587,46.193,113.851,19.13,10.909,5.952,3.997,2.199,2.199,3.197,3.298,3.098,3.098,4.396,4.298,5.397,5.197,8.695,19.282,42.152,34.964,42.299,35.828,23.692,24.433,20.896,19.285,15.579,18.77,18.847,22.033,32.706,35.603,22.489,21.076,22.642,21.023,24.637,20.191,29.681,18.808,19.59,19.471,20.553,28.091,38.06,59.196,55.153,66.223,75.392,106.91,95.88,145.796,177.786,171.758,171.648,133.411
"33","26","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","27","  State and local","B842RA3",17.899,21.481,21.671,17.533,11.211,13.128,12.284,21.378,18.028,21.113,24.602,20.159,14.734,8.461,4.321,3.463,4.112,7.472,11.514,14.603,20.254,23.211,24.002,24.457,26.637,32.015,35.079,35.641,37.741,41.836,42.923,43.092,46.656,48.18,52.162,55.635,59.557,63.311,67.354,70.399,66.653,61.727,59.692,56.742,56.26,56.138,55.69,54.702,51.067,55.932,58.315,58.047,52.385,48.067,47.529,52.79,57.885,61.47,62.796,65.582,66.958,71.988,74.376,74.684,72.964,73.537,76.026,79.879,85.256
"35","28","    New","B843RA3",17.605,21.354,21.542,17.308,10.932,12.962,12.099,21.304,17.92,21.014,24.312,19.604,14.432,8.358,4.217,3.372,3.955,7.432,11.555,14.672,20.266,23.137,23.993,24.514,26.596,32.022,34.664,35.177,37.305,41.345,42.183,42.468,45.908,47.3,51.242,54.384,57.951,61.758,65.887,69.149,65.635,60.546,58.422,55.685,55.391,55.472,55.254,54.297,50.757,55.955,58.368,58.109,52.331,47.936,47.276,52.496,57.534,61.001,62.265,65.098,66.271,71.126,73.499,73.908,72.402,73.069,75.614,79.699,85.228
"36","29","      Buildings","B844RA3",12.664,13.331,13.634,8.46,4.158,7.936,7.261,16.063,10.384,12.738,20.853,12.26,9.803,6.715,2.485,1.596,1.978,4.339,6.375,10.665,18.926,22.031,25.577,25.189,25.352,28.892,31.468,29.965,32.617,35.691,32.376,33.389,36.58,36.822,38.961,42.077,45.567,52.382,60.034,60.81,60.04,53.479,52.266,49.244,51.049,52.874,53.929,50.521,43.19,43.397,43.244,44.042,40.405,38.609,38.208,40.118,44.934,49.5,49.682,53.153,57.039,61.542,66.623,67.813,64.892,64.975,73.217,78.926,85.228
"37","30","        Residential","B845RA3",0,0,0,0,0,0,0,0,0,0.7,15.226,48.431,48.776,38.164,8.842,1.425,0,19.287,26.304,15.103,39.749,39.58,65.066,69.842,58.164,35.943,27.701,27.9,35.692,49.697,47.641,43.103,55.551,73.596,39.385,46.045,44.823,54.508,63.01,61.162,73.728,79.992,75.675,51.48,51.881,47.2,56.897,49.572,55.117,47.584,54.737,58.368,66.16,59.322,68.101,65.584,69.746,69.056,69.568,68.614,67.704,75.554,80.703,89.15,79.747,68.088,79.65,82.726,85.228
"38","31","        Industrial","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","        Educational \8\","B847RA3",16.269,16.439,14.781,7.919,3.139,8.121,8.542,19.592,11.667,13.973,21.362,6.79,6.303,4.862,2.203,1.296,1.781,2.695,4.875,11.776,18.378,22.45,26.357,27.233,28.861,36.908,41.629,40.113,42.619,44.612,39.044,40.965,44.277,42.779,49.732,53.578,59.31,71.523,78.095,75.913,67.484,60.043,54.733,52.651,56.239,55.581,51.852,46.827,37.786,37.431,36.963,36.567,31.3,28.206,26.735,29.299,32.903,36.582,35.938,41.787,46.259,48.958,57.45,60.619,55.336,56.639,69.064,74.926,85.228
"40","33","        Hospital","B848RA3",43.002,53.834,56.783,49.023,28.912,27.382,20.295,38.677,32.89,43.16,58.316,22.607,15.739,12.262,14.821,19.036,25.382,21.611,10.257,22.602,58.357,71.806,70.783,66.77,52.71,53.155,48.792,42.535,48.042,56.827,56.118,51.9,47.24,50.873,49.907,53.628,57.407,52.662,72.585,81.124,83.746,77.996,84.241,80.922,74.074,83.838,106.046,117.396,100.962,89.46,89.902,93.436,81.835,78.984,69.107,65.802,65.479,67.053,70.695,68.665,68.972,76.613,83.135,93.761,94.503,85.124,84.79,82,85.228
"41","34","        Other \5\","B849RA3",8.532,8.771,11.585,7.061,3.868,8.2,6.592,14.459,9.67,11.759,19.331,11.03,5.394,1.518,0,0,0,1.064,3.704,6.663,10.022,11.177,9.985,7.183,9.83,13.273,16.294,15.054,16.482,18.038,17.199,18.803,21.062,19.669,22.832,24.181,25.468,25.818,33.25,37.639,44.489,36.47,40.551,40.138,40.899,46.34,49.614,47.163,40.938,45.154,43.834,45.378,42.759,43.966,44.572,47.151,54.575,61.883,62.715,64.373,68.866,74.879,74.805,70.391,71.654,73.66,76.321,83.543,85.228
"42","35","      Highways and streets \9\","B851RA3",24.758,31.834,31.819,29.353,20.135,20.303,17.489,26.684,26.049,31.554,31.562,30.701,21.931,11.611,6.298,5.571,6.353,11.384,17.564,19.481,24.38,28.784,26.039,28.732,33.635,43.871,46.882,47.521,50.751,58.393,61.244,59.613,63.999,67.249,72.816,72.637,74.524,78.072,77.12,79.712,74.898,72.155,71.404,67.261,62.422,54.911,54.852,52.729,53.545,60.553,67.459,62.286,52.853,45.716,48.439,60.699,66.652,68.131,68.721,72.713,71.765,77.4,76.708,76.884,80.167,85.052,81.357,81.743,85.228
"43","36","      Conservation and development","B857RA3",14.268,13.178,11.569,7.149,11.439,34.896,30.116,41.369,41.142,29.016,32.48,14.42,5.156,2.908,0,0,0,6.622,8.723,10.619,14.827,16.261,14.566,10.864,14.022,15.867,23.787,32.919,31.467,27.64,31.346,35.985,38.459,46.643,72.495,72.137,100.296,100.21,114.413,106.653,98.146,83.995,64.72,54.759,44.996,55.35,64.886,59.274,47.785,42.511,59.158,73.992,60.303,58.926,67.687,74.645,83.625,89.057,86.959,82.392,92.79,91.846,81.423,73.879,73.442,78.672,89.091,92.045,85.228
"44","37","      Sewer systems","B858RA3",17.498,19.816,17.263,12.362,7.805,14.63,14.88,30.16,25.814,27.764,29.677,22.222,13.501,8.429,4.146,2.474,3.616,8.986,15.007,21.235,24.301,25.029,26.066,25.748,29.367,31.417,32.84,34.885,36.551,38.029,48.427,47.086,48.305,55.051,47.645,65.502,58.281,61.331,48.378,68.006,55.202,58.62,62.418,61.447,69.274,84.509,82.896,88.011,77.829,90.285,88.785,95.457,79.261,73.167,63.563,72.522,72.571,80.182,93.978,95.717,92.668,96.965,98.566,101.2,90.392,78.851,76.961,84.6,85.228
"45","38","      Water systems","B859RA3",20.989,33.933,28.571,18.861,10.494,12.317,13.186,17.757,15.244,17.155,18.925,22.504,18.542,12.469,9.486,6.104,7.1,10.882,16.02,20.158,22.098,21.847,25.98,25.599,24.792,27.691,30.344,34.546,31.86,30.306,31.5,33.659,36.909,37.979,49.26,53.927,69.422,57.034,66.898,76.515,64.898,50.148,42.085,42.173,39.025,43.501,51.765,47.702,40.497,48.626,50.263,57.816,51.789,52.886,44.677,52.493,59.229,68.451,76.76,74.803,75.031,82.034,85.151,73.932,62.94,63.085,58.636,71.935,85.228
"46","39","      Other \7\","B860RA3",15.224,16.284,22.435,16.496,7.956,7.107,11.204,27.599,18.851,22.065,22.74,17.049,13.612,6.927,3.732,3.596,4.044,5.536,11.105,11.247,11.538,11.595,10.923,9.344,10.921,13.463,15.316,20.761,20.603,24.321,31.066,33.561,36.942,32.31,39.716,43.7,49.741,51.173,64.07,68.677,68.735,63.313,52.96,55.152,58.058,63.021,49.72,63.292,71.242,90.446,92.114,88.877,95.847,85.022,80.236,71.646,77.152,73.754,68.448,68.908,64.97,69.093,70.146,74.487,77.565,76.084,75.598,74.856,85.228
"47","40","    Net purchases of used structures","B870RA3",34.992,29.342,29.674,30.6,27.364,21.484,22.021,22.056,21.478,23.506,37.699,49.022,30.055,13.159,9.794,8.248,12.461,10.093,10.554,12.545,21.481,28.685,26.48,23.821,30.823,34.471,56.885,59.735,60.644,67.556,80.647,75.312,84.983,92.904,98.97,118.624,139.833,141.183,141.305,134.042,118.967,121.946,124.546,110.614,100.578,89.766,76.625,74.003,65.567,53.932,54.826,54.156,54.196,53.798,59.335,66.536,74.396,83.702,87.992,88.505,99.633,113.014,116.104,111.533,99.63,95.759,95.64,88.551,86.704
"48","41","Equipment and software \2\","A871RA3",0.603,0.566,0.659,0.586,0.604,1.045,1.182,1.056,1.154,1.397,1.519,1.599,10.014,40.898,81.688,91.412,64.443,4.888,3.875,5.485,7.554,6.057,16.408,22.465,25.417,21.024,17.444,17.094,16.323,16.999,20.848,19.492,21.953,23.878,22.112,21.733,20.544,23.531,25.887,23.018,20.985,19.74,13.724,11.977,13.431,16.348,17.641,19.118,19.463,20.209,23.196,24.958,26.831,29.558,34.953,40.539,47.828,53.573,57.993,56.95,61.739,65.463,64.423,64.429,60.485,58.362,58.845,60.802,60.785
