"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars; months seasonally adjusted at annual rates]                                                                                                                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Monthly data from 2001 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 01, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/30/2004 10:33:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004
"8",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10
"9","1","    Wage and salary disbursements","A576RC1",4945.8,4965.9,4971.5,4953,4949.3,4951.9,4948.2,4940.3,4917.2,4916.4,4921.8,4932.2,4944.1,4953.6,4971,4970.2,4976.2,4994.6,4972.4,4982.3,4988.8,4984.4,4986,4991.6,5004.6,5025.4,5040.1,5045.2,5077.6,5097.2,5109.4,5131.2,5145.3,5167.1,5202.4,5197.3,5221.4,5241.3,5254.8,5290.8,5325,5322.7,5353,5374.5,5398.8,5428.5
"10","2","Private industries","A132RC1",4152.3,4167.1,4169.7,4147.7,4140.6,4138.4,4130.4,4117.9,4090.8,4085.4,4086.5,4096.2,4097.5,4102.4,4116.8,4113.9,4115.9,4131.9,4109.5,4114.4,4119.3,4112.6,4112.9,4116.8,4120.7,4136.9,4149.2,4151.8,4181,4194,4209.3,4229.2,4244,4264.8,4298.1,4288.7,4306.7,4324,4334.8,4365.6,4403,4399.5,4427.2,4445.8,4467.9,4495.6
"11","3","  Goods-producing industries","N231RC1",1076,1077.6,1080.1,1064.4,1055,1046.4,1043.4,1028.6,1021.8,1014.7,1011.6,1012.1,1011.1,1012.6,1017.2,1014.3,1015.9,1018.3,1013.4,1009.6,1007.9,1000.9,999.6,1001.4,999.5,999.5,999.6,994.9,1000.7,1003.4,999.9,1005.5,1012.1,1018.1,1029.9,1028.7,1019.8,1018.2,1018.9,1028.2,1038.7,1037.9,1040,1047.6,1051.1,1054.3
"12","4","    Manufacturing","N552RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,671.9,669.9,668,675.3,683.5,682.6,683.7,689.1,690.8,689.7
