"","Table 6#17B# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 16, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2004 12:36:16 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","45","    Communication","C513RC0",439,466,737,964,1069,1238,1337,1725,1857,2006,2334,2796,3001,3200,3576,3901,4035,4303,4804,4799,5128,5441,4798,4118,3905,4390,4289,4183,5785,6690,8686,7827,8018,8745,8667,10159,13116,14467,17906,19793
"53","46","      Telephone and telegraph","B3046C0",393,432,682,879,978,1146,1238,1563,1684,1839,2158,2574,2743,2987,3271,3568,3759,3960,4424,4530,4853,5105,4515,3829,3415,3891,3741,3600,4715,5324,7114,6331,6735,7615,7726,9272,11601,13726,18438,19762
"54","47","      Radio and television","B3047C0",46,34,55,85,91,92,99,162,173,167,176,222,258,213,305,333,276,343,380,269,275,336,283,289,490,499,548,583,1070,1366,1572,1496,1283,1130,941,887,1515,741,-532,31
"55","48","    Electric, gas, and sanitary services","C514RC0",1159,1315,1544,1819,2056,2176,2380,2581,2723,2698,2735,3186,3622,3741,3866,4193,4575,4684,4991,4809,4853,4778,4153,4143,4216,4067,3446,5853,7658,9409,9826,8702,10852,13121,14862,16339,21266,17728,14512,19079
"56","49","  Wholesale trade","C510RC0",2477,1592,2965,2818,2019,1851,1659,2426,2677,2497,2247,2840,2461,2559,2813,2878,3444,4078,4382,4241,5079,5566,5478,5942,8634,13439,18159,15569,15601,17780,21202,26671,26211,26035,20744,23946,29254,22190,22288,22418
"57","50","  Retail trade","C511RC0",3498,2526,3558,2859,2615,2396,2350,2967,2909,2775,2656,3309,2788,2971,3424,3652,4563,5113,5152,6043,6994,7240,6881,8062,8378,9508,8855,11242,13016,15486,17874,17116,14649,14113,15345,21005,22912,23559,24752,25813
"58","51","  Finance, insurance, and real estate","A3051C0",3394,3968,4062,4436,5093,5594,5943,6158,6389,6693,7252,8463,9243,9077,9407,9149,9666,10317,11840,12314,14158,14781,16222,18710,19996,21205,20289,20476,25948,34057,41972,42643,34760,28449,24182,35336,33114,43694,54598,58690
"59","52","    Banking","J3052C0",1593,1667,1796,2159,2343,2538,2528,2799,3330,3672,3605,4168,4829,4379,4422,4748,5105,5569,6225,6521,7859,9629,10531,9955,10096,11710,13583,13974,14830,15147,17975,21055,20974,22856,25231,30363,32415,41366,45473,47471
"60","53","      Federal Reserve banks","B3053C0",228,235,190,294,346,394,322,296,468,625,595,734,942,773,863,954,1135,1342,1685,1953,2502,3075,3526,3312,3344,4476,5681,5610,5872,6109,7645,9433,11798,14393,15245,14586,16433,16346,15516,15713
"61","54","      Commercial and mutual banks","J3054C0",1365,1432,1606,1865,1997,2144,2206,2503,2862,3047,3010,3434,3887,3606,3559,3794,3970,4227,4540,4568,5357,6554,7005,6643,6752,7234,7902,8364,8958,9038,10330,11622,9176,8463,9986,15777,15982,25020,29957,31758
"62","55","    Credit agencies other than banks","J3055C0",383,472,633,701,925,913,1008,1146,1270,1355,1453,1563,1671,1890,1971,1898,1881,1956,1744,1745,1926,1853,1786,2662,3243,3741,3254,3219,4576,6130,7472,5882,-332,-7376,-8960,-685,-65,1997,3519,8116
"63","56","    Security and commodity brokers","B3056C0",6,18,24,9,20,30,63,36,27,34,46,92,88,150,56,94,121,188,252,424,652,94,-164,297,218,177,92,480,17,-83,392,152,867,-45,-391,542,-1012,198,402,1181
"64","57","    Insurance carriers","B3057C0",702,1102,777,742,995,1242,1401,1244,856,707,1168,1547,1570,1660,1666,1279,1215,1315,2211,2289,2204,1989,3015,4564,5495,4791,2940,2400,5393,9939,12079,11822,10673,9956,7263,2671,-409,-3929,-1130,-230
"65","58","    Insurance agents, brokers, and service","B3058C0",69,59,63,66,74,75,78,73,99,99,107,136,144,121,149,171,214,213,269,246,313,289,419,477,447,491,472,560,660,1226,1282,1285,1213,1123,965,740,847,1380,2037,3062
"66","59","    Real estate","B3059C0",648,668,754,711,680,751,833,828,713,695,802,856,812,751,813,854,913,1015,1103,1122,1361,1191,845,1086,884,680,134,273,993,2136,2424,2295,776,-655,-1863,-198,-1289,-2199,-2161,-1115
"67","60","    Holding and other investment offices","B3060C0",-7,-18,15,48,56,45,32,32,94,131,71,101,129,126,330,105,217,61,36,-33,-157,-264,-210,-331,-387,-385,-186,-430,-521,-438,348,152,589,2590,1937,1903,2627,4881,6458,205
"68","61","  Services","A3061C0",633,578,565,635,636,604,616,686,787,815,738,940,926,897,915,1128,1366,1681,2046,2299,2355,2146,1994,2228,2915,3747,3538,4458,5799,7935,9249,10094,10548,12035,11252,12024,11788,12082,12861,13909
"69","62","    Hotels and other lodging places","B3062C0",124,107,102,103,106,87,84,74,85,79,43,52,16,-4,-15,-19,-21,46,100,195,247,246,125,57,182,119,-47,57,231,417,812,999,849,690,411,445,38,-194,-550,-615
"70","63","    Personal services","B3063C0",73,73,67,73,72,75,76,85,105,115,119,131,133,124,120,159,207,247,259,280,319,285,248,250,293,321,411,410,461,498,575,626,643,710,753,692,792,628,611,865
"71","64","    Business services","B3064C0",135,136,161,190,184,196,187,234,289,355,342,393,403,411,407,484,526,649,819,837,739,648,543,683,909,1292,885,1332,1633,2619,2715,2786,2523,2988,3104,2591,3791,3359,4036,4105
