"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245"
"11","3","  Durable goods","B003RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470.9,455.3,450.5,437.4,424.6,426.9,433.6,426.5,443.1,446.6,456.4,465.8,470.4,486.2,492.1,505.1,517.3,523.3,529.1,547.9,537.3,543.5,559.7,570,576.1,595.2,600.1,612.3,629.9,627.9,656.7,673.2,676.2,707.5,727.2,770.3,767.4,803.6,820.7,826.4,872.8,851.3,863.8,865.4,879.5,878.9,885.6,958.7,948.4,956.9,983.4,970.4,971.4,1009.8,1049.6,1051.4,1066.2,1071.3,1091.5,1110.1,1116,1146.3,1163.5,1123.8,1167.8,1170.2,1186.3,1197.6,1223.2,1228.4
"12","4","  Nondurable goods","B004RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1483.2,1486.4,1491,1475.3,1474,1485.6,1486.5,1475.9,1500.6,1498.7,1508.6,1532.6,1530.5,1544.4,1559.6,1566.8,1582,1597,1610.6,1626,1628,1636.2,1642.2,1648,1657.5,1677,1686.5,1700.7,1710.8,1711.4,1736.2,1743,1765.4,1787.2,1799.7,1825.5,1849.2,1867.9,1873.7,1915.7,1917.2,1944,1955,1972.7,1975.2,1974.7,1986.5,2010.3,2026.8,2033.4,2035,2053.1,2072.5,2084.2,2123,2132.5,2156.7,2164.9,2181.4,2207.5,2226.8,2247.2,2260.9,2286.8,2312.3,2325.6,2343.9,2368.8,2386.6,2383.8
"13","5","  Services","B005RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2813.5,2849.5,2872.4,2871.3,2868.3,2896.8,2908.8,2925.8,2960.6,2987.9,3016.1,3038.7,3053.9,3065.4,3099.9,3123.5,3151.9,3167.9,3185.8,3200.9,3221.3,3251.2,3273.6,3293.4,3326.2,3345.4,3366.5,3385.9,3417.8,3446.9,3485.5,3521.6,3562,3602,3642.1,3653.7,3696.4,3738.5,3782.3,3815,3871.1,3908.2,3949.3,3986.8,3997.9,4016,4027.8,4051.2,4069.4,4095.7,4109,4127.4,4143.3,4161.3,4190.7,4220.2,4262.9,4294.6,4325.2,4361.1,4381.3,4401.3,4449.1,4477.5,4501,4531.6,4554,4595.5,4630.7,4656.7
"14","6","Gross private domestic investment","A006RX1",170.2,156.7,151.6,182.6,202.6,215.8,218.3,207.9,174.8,150.9,164.3,154.9,194.2,215.5,234.8,266.2,237.9,244,225.3,206.1,210.9,193.3,203.5,218.1,222.5,223.3,218,201,199.1,198.5,208.7,218.2,241.6,256.8,260.4,266,257.1,254.1,251.2,248.4,244.3,244.1,249.9,228.7,211.9,206.7,223.8,244.5,258,279.8,260.1,268.8,298.5,268,266.4,233.6,239.4,257.3,279,283.7,300.6,297.7,302.9,292.6,308.9,313.4,323.7,327.8,341.2,339.7,347.7,350.3,385.8,385.7,399.5,401.4,435.2,427.3,423.1,425.2,413.4,395.8,407.2,416,425.2,442.3,427.9,432.3,460.8,457.1,467.8,442.7,428.7,430.2,437.5,411.9,465.6,479.9,486.3,471.3,504.4,535.4,542.9,545.5,580.4,607.4,583.6,606.2,566.9,564.7,533,537.9,443.8,427.7,463.9,477.2,526.4,549.3,550,553.1,580.9,625.5,659.8,641.9,654,699.3,720.6,736.6,737.1,735.1,720.6,707.2,701.6,638.7,590.3,650.6,716,682.2,724.7,696.4,623.7,622.9,615.8,561.5,581.3,637.7,680.1,750.7,830.1,858,878.3,864.3,835.2,849.8,840.5,873.5,871.6,852.2,825.4,826.6,852,853.2,854.1,920.6,868.8,889.9,895.6,907.5,942.3,931.3,920.4,910.8,920,920.1,898.4,841.8,807.3,803.5,823.5,854.7,835.8,890.7,900.2,929.1,950.3,957.8,957.8,1007.3,1050.6,1112,1092.4,1143.2,1154.6,1123.8,1113.1,1144.4,1160.2,1220,1280.8,1276.1,1302.9,1389.6,1417.5,1440.7,1515.8,1491.7,1525.8,1563,1606.6,1607.8,1647.4,1708.4,1678,1788.6,1742.6,1732.7,1670.3,1637.4,1592.6,1493.4,1541.7,1549,1570.9,1567,1561.8,1574.4,1639.7,1676.5,1685.3,1766.3,1800.5,1828.8,1852.6,1834.3,1865.3,1924.9,1945.4,1948.5,1928.2,1856.2,1816.9,1837.4
"15","7","  Fixed investment","A007RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913.5,892.4,882.7,857.6,828.2,827,829.7,831.3,839.9,873,886.3,914,919.1,939.7,956.3,998.7,1011.6,1036,1046.4,1075.1,1099.6,1095.5,1110.1,1133.3,1161.8,1199.7,1227.4,1247.8,1272,1299.4,1349.6,1361.4,1402.4,1444.5,1465.1,1507.7,1531,1568.6,1598.6,1606.9,1651.1,1689.1,1686.4,1689.4,1678.2,1640.5,1621.9,1577,1551.5,1545.9,1543.2,1537.8,1536.3,1575.6,1626.7,1648.9,1647.9,1698.7,1736.7,1767.7,1785.3,1819.8,1854.9,1865.6,1901.4,1892.3,1869.6,1835.5,1815.2,1829.3
"16","8","    Nonresidential","A008RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,603.9,593.5,597.2,585.8,570.7,565.3,559.9,556.9,554.5,576.5,588.2,606,609.6,625.9,632.8,659.3,665.9,679.3,692,722.6,752.1,757.4,762.5,777.9,797.1,820,847.3,870.1,892.2,914.3,961.1,969,1001.6,1032.5,1042.4,1074.7,1094,1127.3,1154.4,1157.3,1196.7,1238.6,1245.2,1247.9,1234.4,1190.2,1169.3,1128.2,1090.3,1073.3,1068,1054.5,1047.5,1074.5,1098.8,1106.5,1099.1,1127.5,1160.7,1189.7,1199.5,1214.1,1239.5,1250,1289.7,1303.2,1319.4,1314.8,1321.7,1356.6
"17","9","      Structures","B009RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.9,278.5,277.5,265,259.2,252.2,235.8,231,228.2,228.2,230.3,233.1,226.9,226.6,227.7,231.9,222.4,235,234.7,237.1,243.1,247.9,249.8,247.7,252.1,257.6,260.7,273.8,276.2,273.7,284.2,286.3,286.7,298,295.5,297.6,292,294.1,291.8,294.8,299.9,312.5,319.7,320.6,313.8,310.6,315.1,284.9,270.3,256.4,245.8,242.5,238.2,246.5,246,243.1,242.9,246.5,248.7,248.6,249.8,248.9,244.8,247.7,256.5,266.4,273.3,278.3,282.6,299.5
"18","10","      Equipment and software","B010RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359.9,351.5,355.5,353.2,343.4,342.9,348.5,348.8,348.4,367.9,377,391,398.3,413.1,418.6,439.7,452.1,455.7,467.4,493.7,516.5,517.8,521.2,537,551.6,568.7,591.8,602.9,621.8,644.7,680.5,686.3,717.2,737.3,749.1,778.6,802.7,833.5,862.4,862.3,896.7,926,925.5,927.3,920.8,879.2,852.9,843.8,820.9,819,825.7,815.4,813.3,831.7,857.8,869.5,861.9,887.4,920,951.2,960,977.4,1011.1,1018.7,1050.2,1050.1,1057.6,1044.4,1045.3,1057.4
"19","11","    Residential","A011RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,308.6,291.1,275,258.6,264.7,275.7,281.7,296.1,307.4,308.2,318.6,320.1,323.8,335,351.9,358.8,370.9,367,362.3,354.2,342.9,353.6,361.6,371.1,386.8,385.7,381.8,383.1,387.9,389.7,393.6,401.8,412.9,424.1,434.3,438.1,441.8,444.5,449.9,454.5,450.4,441.2,441.6,444,450.1,452.1,447.8,459,469.5,471.8,479.3,484.1,496.3,521.8,535.2,540.5,561.7,567.5,570.9,578.3,596.4,606.4,607.2,606.1,587.5,555,529.4,506.3,490.7
"20","12","  Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,33.9,22.8,-9.3,-14.4,-18.1,-0.1,30.7,1.8,22.9,19.6,21.5,36.7,24.3,7,14.5,46.3,83,51.7,73.4,60.8,34.6,7.9,16.2,3,24.5,57.5,29.9,34.7,94.2,72.3,83.4,116.9,50.4,64.2,58.9,79.5,41.7,50.8,103.5,26.9,99.3,56.2,43.5,-7.8,-2.5,-29.9,-86.7,-10.2,2.6,28,29.5,24.3,-2.7,10.5,25,35,64.9,60.1,57.2,63.4,10.1,5.9,53.6,38.4,51.4,53.9,17.4,0.1,5.8
"21","13","Net exports of goods and services","A019RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-63.8,-63.6,-58.1,-33.2,-18.3,-14.3,-16,-9.6,-4.7,-20.2,-15.9,-23,-37.4,-48.6,-59.4,-63,-73.8,-83,-79,-81.9,-86,-87.7,-57.1,-53.1,-68.2,-81.2,-104.3,-64.9,-89,-93.1,-108.8,-127.6,-163.7,-205.1,-223.9,-222.3,-262.1,-295.2,-313.9,-313.7,-350.6,-374.5,-395.6,-397.2,-398.2,-385.2,-398.4,-414.5,-441.3,-458.9,-472.2,-513,-507.2,-526.9,-513.8,-527.8,-549.1,-591.1,-602.7,-632.3,-624.4,-601,-604.1,-642.6,-640.1,-626.6,-633.8,-597.3,-612.1,-573.9
"22","14","  Exports","A020RX1",78.3,77.5,73.7,65.3,62.3,56.4,57.7,55.7,62.3,61.8,56.7,49.1,48.3,48.9,50.1,54.1,56.9,62.5,64,63.4,66.8,59.4,54.7,55.2,54.2,54.5,56.7,54.8,52.4,59.9,58,60.6,62.9,61.4,65.5,65.8,68.9,73.5,76,79.4,84.6,82.1,79.8,77.3,69.7,70,70.2,70.1,74.7,77.2,79.6,77.4,87.2,92.7,90.4,92.2,91.6,90.3,89.8,92.6,92.4,101.3,95.6,93.5,95.7,106.9,101.2,106.3,112.8,114.7,113.8,117.2,104.5,124.2,117.1,125.5,123.3,128.7,123.9,128,130.4,129.3,126.1,129.7,133.5,136.1,144.1,142.3,125.2,153.3,149.6,154.8,156.1,163,162.5,164,164.6,164.3,171,156.7,173.3,168.2,178.4,185.9,199.6,209.2,209.9,220.2,223,233.9,221.3,227,228.7,222,218.2,230.6,229,231.3,238,240.4,236.6,243,244.8,237,242.6,267.8,270.8,281.6,281.8,282.5,292.7,311,319.8,325.8,325.1,323.2,329.2,331.1,324,325.5,311.4,313.3,299.4,285.7,290.3,291.2,295.6,301.5,307.8,315.5,322.4,329,329.2,328,323.2,332.9,343.6,347.3,355.2,368.5,368.7,383.6,400.1,414.9,437.8,450,458.3,472.4,485.9,507.1,513,521.4,543.6,550.5,555.1,560.7,563.2,583.8,597.8,611.6,621.9,622.2,635.6,639.1,639.9,647.4,645.7,667,672.8,695,721,737.3,750.5,761,794.5,806.6,816.4,830.3,837.3,889.5,905.7,941.8,964.2,963.2,967.4,957,952.9,988.7,980.1,991.2,1017.4,1044.1,1060.9,1092,1120,1112.3,1097.2,1060.6,1008.7,980.3,992.8,1018,1025.2,1017.2,1003.3,999,1026.3,1075.8,1101.8,1119.4,1128,1155.3,1172.4,1199.3,1205.6,1236.4,1270.6,1288.4,1306.6,1350.9,1354.7,1379.5
"23","15","    Goods","A253RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.3,366.4,368.5,370.5,379.5,388.3,397.9,404.3,413.3,414.6,426.9,432.6,427.8,433.2,430.3,451,450.6,466.7,490.6,503.9,515.2,523.8,544.3,552.2,563.2,569.3,580.2,611.6,632.3,661.6,681.3,682.7,683.9,667.8,669.3,696.3,682.1,689.8,712.5,736.3,751.9,776.6,810,798.9,787.8,751.7,710.9,694.7,691.8,715.2,719,702.1,705.6,703.5,718.4,751.6,765.1,778.5,790.2,804,815.4,841.8,845.7,871.1,903,917.3,933.7,955.4,957.6,973.1
"24","16","    Services","A646RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,187.3,190.1,194.2,185.7,199,203.4,211.4,212.3,211,211.4,208.7,215.3,217.4,218.9,218.5,225.4,231.4,232.5,235.2,236.7,238.4,251.9,256.2,254.3,262.6,258,279.2,273.9,280.2,282.6,280.2,283.2,289.5,283.7,292.5,298.3,301.7,305,307.9,309,315.3,310,313.4,309.4,308.9,297.7,285.6,300.7,302.7,306.1,314.7,297.6,295.5,307.6,324,336.4,340.6,337.7,351,356.6,357.5,359.8,365.3,368,371.5,373.4,395.6,397.2,406.4
"25","17","  Imports","A021RX1",46,46.9,41.6,43.9,49.5,51.4,54.1,53.2,51.6,50.9,48.8,49.5,50.9,53.7,66.3,66.4,66.4,64.2,58.8,57.2,63.9,63.6,67.4,73.4,71.7,75.4,75.1,71.4,67.3,73.3,68.9,69.6,73.7,77.9,79.1,82,85.4,85,85.8,81.9,88.4,89.1,87.3,87.5,88.8,92.5,91.3,96.4,98.3,103.3,104.5,101.8,105.6,106.3,103.1,98.3,97.8,99,105.6,108.1,111.4,113.8,115.2,116.6,113.9,116.6,119.6,119.2,119.1,121.8,125,128.4,123.8,138.4,139,145.8,149.5,153.2,161.8,163.7,166.1,164.8,167.1,175.9,186.2,189.1,200.4,198.7,180,215.5,212.7,210.3,209.7,213.8,213.3,216.7,214.1,230.2,235.3,219.3,251.4,242.5,247.5,258.7,270.6,262.8,255.6,257.5,248.7,261.9,257.4,254.8,229.3,210.9,228.4,240.6,255.7,266.8,277.6,286.8,300.4,303.2,299,303.2,323.5,324.5,328.8,333.4,332.4,334.2,329.1,336.3,336.6,312.1,289.6,305.2,318.2,318.7,315.1,324.2,314.9,309.8,324.1,311.4,318.5,343,369.7,387.9,419,436.6,447.9,461.1,450.9,473.1,468.5,486.7,486.5,507.1,521.2,525.4,522,535.1,545.5,558,555.6,549.1,561.9,578.8,577.2,585.8,586.5,594.2,607.3,614.1,613.2,593.8,581.5,598.1,613.9,621.2,626.6,642.4,651.4,662.1,677.2,696,705.1,730.1,746.5,778.1,800,819.2,836.5,848.7,851.7,859.7,884.6,911.4,941.6,954.4,994.7,1034.8,1073,1090.9,1131.1,1162.1,1176.9,1211,1242.2,1286.4,1331.3,1357.9,1411.5,1466.5,1515.6,1509.5,1495.4,1445.8,1407.1,1394.9,1434,1476.9,1497.4,1530.2,1510.5,1525.9,1540,1603.6,1650.9,1710.5,1730.8,1787.7,1796.8,1800.3,1809.7,1879,1910.7,1915,1940.4,1948.2,1966.8,1953.4
