"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230"
"11","3","  Durable goods","B003RX1",52.8,53.8,54.5,58.3,57.9,58.3,59.3,58.4,57.1,62.4,65.6,68,70.8,71.2,89.1,77.8,80.2,68.2,66.8,66.2,66.9,68.1,63.6,75.2,78.1,77.6,77.2,74.8,72.5,76.1,76.5,81.4,89,94,97.2,94.3,89.9,90,88.3,91.2,93.1,90.7,90,88.9,82.8,81.4,83,86.1,91,94.6,96.5,91.6,94.7,96.9,96.1,93.6,88,89.9,92.1,96.7,98.9,101.4,102.3,107.1,109.4,111.9,113.1,115.1,119.4,122.5,126.7,122.5,134.3,134.5,139.3,145.3,152.3,145.9,150.9,150.9,148.1,154.7,153.2,153.5,163.3,166.4,174,172.8,176,175.5,175,174.1,171.1,172.8,173.3,160.8,178.9,182.9,187.8,196.1,200.9,205.8,211.1,222.6,236.8,233.7,231.3,225.4,219.6,221,222.4,200.4,204.6,208.4,221.9,228.4,240.2,241.2,244,248,258.5,264.4,267.9,273.2,266,286.7,282.6,284.7,281.8,275.3,283.3,275.9,272.2,241.8,253.3,261.4,269.2,258.3,266.7,246.9,255.4,256.2,258.2,270.6,273.1,293.6,305.2,320.7,333.2,340.8,340.8,351.9,364.6,368.8,393,378.4,386.3,399.8,435.4,428.6,401.3,418.4,435.9,423.3,444.7,444.9,439.1,451.4,448.6,455.1,465.3,450.4,470.9,455.3,450.5,437.4,424.6,426.9,433.6,426.5,443.1,446.6,456.4,465.8,470.4,486.2,492.1,505.1,517.3,523.3,529.1,547.9,537.3,543.5,559.7,570,576.1,595.2,600.1,612.3,629.9,627.9,656.7,673.2,676.2,707.5,727.2,770.3,767.4,803.6,820.7,826.4,872.8,851.3,863.8,865.4,869.1,889.6,891.1,946.6,950.3,951.4,963.1,963.8,965,1005.1,1069.1
"12","4","  Nondurable goods","B004RX1",474.2,482.7,484.5,478.1,478.1,483,479,485.8,488.3,489.4,485.6,492.4,498.4,503.7,512.7,501.9,514.6,508.8,520.2,526,522.6,534.9,543.5,550.8,555,557.5,553.6,553.2,557.3,555.4,562.6,572,576.3,586.2,590.7,602.9,609,607.3,607.8,612.3,614.3,617.3,626.3,623.3,615.8,620.3,630.8,638.3,645,650.6,654.2,658.7,658.4,666,661.4,662,666.3,673.3,673.7,683.2,689.3,692.5,697.7,701.9,704.8,707.8,713.5,713.9,727.4,740.8,754.2,756.7,765.4,774,785.2,812.5,819.9,827.1,832.7,829.5,835.9,839.9,840.5,845.2,863.7,874.7,888.3,888.1,896.6,901.1,902.6,908,917.4,919.3,925.4,932.7,935.8,939.3,939.3,947.1,953.1,976.5,990.3,1007.3,1018.4,1009.7,1015.6,1011.9,998.6,995.1,997.1,983.1,987.2,1008.5,1016.8,1019.9,1040.1,1054,1063,1072.2,1078.5,1076.5,1078.3,1098,1104.8,1116.9,1128.9,1142.5,1148.2,1143.6,1155.9,1165.3,1162.3,1147.3,1145.2,1151.4,1162.1,1165.6,1165.6,1167.4,1168.8,1170.6,1177.2,1188.6,1194.5,1206.4,1224.3,1236.5,1243.2,1265.4,1269.5,1276.7,1283.9,1294.2,1302,1312.3,1329.2,1343.8,1346.6,1359.4,1364.8,1377,1379.4,1386.7,1399.2,1413.7,1429,1445.2,1449.5,1450.9,1465.4,1479.3,1483.2,1486.4,1491,1475.3,1474,1485.6,1486.5,1475.9,1500.6,1498.7,1508.6,1532.6,1530.5,1544.4,1559.6,1566.8,1582,1597,1610.6,1626,1628,1636.2,1642.2,1648,1657.5,1677,1686.5,1700.7,1710.8,1711.4,1736.2,1743,1765.4,1787.2,1799.7,1825.5,1849.2,1867.9,1873.7,1915.7,1917.2,1944,1955,1972.7,1974.5,1969.1,1983.4,2006.2,2035.9,2037.8,2038.8,2061.8,2090.5,2096.9,2134.3
"13","5","  Services","B005RX1",485.2,491.5,490.9,489.3,498.3,505.4,511.9,515.9,518.6,522,520.7,522.5,530.1,545.5,553.2,559.6,569.1,573,578.2,580.3,588.2,595.8,604,613.6,618.8,627.2,630.9,627,634.3,647.5,658.3,665.3,675.8,680.1,686.5,699.6,706.7,715,723.7,734.2,738.8,744.6,749.2,758.1,759.9,772.9,783.4,787.8,796.6,812.1,824.2,835,844.9,853,853.3,862.1,871.3,887.2,890.6,906.7,914.8,929.4,937.7,950,954.4,965.1,984.5,998.1,1013.3,1027.8,1042.2,1056.9,1067,1081.9,1096.9,1115.1,1125.4,1139,1148.9,1164.5,1178.8,1193.1,1210,1219.5,1235.1,1255.9,1272.4,1288.7,1302,1316.2,1329.2,1347.3,1359.8,1367.2,1384.3,1395.1,1406.8,1421.3,1434.8,1457.5,1480.6,1498.9,1518.5,1547.5,1562.9,1579.9,1589.4,1597.2,1597.9,1614.3,1624.1,1641,1655.8,1674.2,1683.9,1703.3,1721.7,1732.9,1753.4,1781.4,1795.6,1807,1834,1854.1,1881.7,1907,1916.3,1926,1945.5,1963.6,1971.1,1984.4,1989.4,1977.7,2002.5,2032.7,2020.3,2037.2,2037.6,2041.2,2050.3,2060.9,2079.9,2116.8,2145.1,2176.1,2208.2,2233.5,2241.1,2263,2292,2322.9,2368,2389.8,2427.2,2449,2454.6,2465.1,2486.2,2512.1,2551,2575.1,2599,2622.2,2655.9,2674.3,2707,2728.7,2746.6,2759.5,2776.2,2805.7,2813.5,2849.5,2872.4,2871.3,2868.3,2896.8,2908.8,2925.8,2960.6,2987.9,3016.1,3038.7,3053.9,3065.4,3099.9,3123.5,3151.9,3167.9,3185.8,3200.9,3221.3,3251.2,3273.6,3293.4,3326.2,3345.4,3366.5,3385.9,3417.8,3446.9,3485.5,3521.6,3562,3602,3642.1,3653.7,3696.4,3738.5,3782.3,3815,3871.1,3908.2,3949.3,3986.8,3989.6,4013.3,4029.3,4057.4,4095.3,4137,4159.4,4175.4,4190.7,4208.4,4237.2
"14","6","Gross private domestic investment","A006RX1",170.2,156.7,151.6,182.6,202.6,215.8,218.3,207.9,174.8,150.9,164.3,154.9,194.2,215.5,234.8,266.2,237.9,244,225.3,206.1,210.9,193.3,203.5,218.1,222.5,223.3,218,201,199.1,198.5,208.7,218.2,241.6,256.8,260.4,266,257.1,254.1,251.2,248.4,244.3,244.1,249.9,228.7,211.9,206.7,223.8,244.5,258,279.8,260.1,268.8,298.5,268,266.4,233.6,239.4,257.3,279,283.7,300.6,297.7,302.9,292.6,308.9,313.4,323.7,327.8,341.2,339.7,347.7,350.3,385.8,385.7,399.5,401.4,435.2,427.3,423.1,425.2,413.4,395.8,407.2,416,425.2,442.3,427.9,432.3,460.8,457.1,467.8,442.7,428.7,430.2,437.5,411.9,465.6,479.9,486.3,471.3,504.4,535.4,542.9,545.5,580.4,607.4,583.6,606.2,566.9,564.7,533,537.9,443.8,427.7,463.9,477.2,526.4,549.3,550,553.1,580.9,625.5,659.8,641.9,654,699.3,720.6,736.6,737.1,735.1,720.6,707.2,701.6,638.7,590.3,650.6,716,682.2,724.7,696.4,623.7,622.9,615.8,561.5,581.3,637.7,680.1,750.7,830.1,858,878.3,864.3,835.2,849.8,840.5,873.5,871.6,852.2,825.4,826.6,852,853.2,854.1,920.6,868.8,889.9,895.6,907.5,942.3,931.3,920.4,910.8,920,920.1,898.4,841.8,807.3,803.5,823.5,854.7,835.8,890.7,900.2,929.1,950.3,957.8,957.8,1007.3,1050.6,1112,1092.4,1143.2,1154.6,1123.8,1113.1,1144.4,1160.2,1220,1280.8,1276.1,1302.9,1389.6,1417.5,1440.7,1515.8,1491.7,1525.8,1563,1606.6,1607.8,1647.4,1708.4,1678,1788.6,1742.6,1732.7,1682.2,1608.5,1573.1,1498.4,1538.2,1555.8,1598.2,1595.8,1581.6,1599.9,1656.1
"15","7","  Fixed investment","A007RX1",177.9,173.2,179,194.7,201.3,201.1,199,196.7,185.4,179.6,179.1,185.5,197.3,215.6,231.7,226.9,218.4,208.4,205,202.9,205.3,208.1,195.4,210.2,218.7,219.9,220,217.7,214.2,217.7,226.4,231.5,240.9,251.2,256.8,257,251.5,253.5,253.2,251.4,251.4,249,251.5,246.9,231.6,225.1,228.3,242.3,257.2,265.6,268.8,265.2,274.5,268.9,261.7,260.7,257.4,261.2,267.4,276.4,282.4,290.9,293.3,291.8,295.2,308.9,316.9,327,339.5,338.6,344,346.5,362.3,372.4,382.5,391.1,405.7,400.5,400.3,388.2,379,388.8,392.6,404.8,414.7,412.5,418.6,428.8,442.3,444.3,451.8,440.4,438.8,429.1,436.7,437,446.8,465.2,474.1,487.2,508.9,518,523.6,547.9,571.2,576.1,574.4,568.6,555.2,547.2,537.6,507.2,476.1,469.4,481.2,490.1,510.5,519.2,524.6,551.5,571.5,603.3,611.2,622.5,627.6,673.2,692.4,707,712.6,707,719.8,713.1,703,641.8,648.1,673.8,678.7,683.2,683.3,680.8,660,637,619.3,618.2,631.8,656.2,695.3,736,759.1,790.4,807.3,821.9,828.1,838.6,831.8,847.6,848.8,846.8,842,847.5,830.8,845.7,863.7,863.6,862.4,879.3,882.7,891.5,900.4,901.6,917.4,902.3,913.5,892.4,882.7,857.6,828.2,827,829.7,831.3,839.9,873,886.3,914,919.1,939.7,956.3,998.7,1011.6,1036,1046.4,1075.1,1099.6,1095.5,1110.1,1133.3,1161.8,1199.7,1227.4,1247.8,1272,1299.4,1349.6,1361.4,1402.4,1444.5,1465.1,1507.7,1531,1568.6,1598.6,1606.9,1651.1,1689.1,1686.4,1689.4,1677.8,1638,1616.1,1570.7,1560.9,1563.2,1565.4,1573.5,1577.7,1601.4,1661
"16","8","    Nonresidential","A008RX1",102.7,101.1,99.1,102.3,108.6,104.8,105.1,107.8,102.7,98.7,93.8,92.1,94.8,103.2,112.5,112.3,109.4,110.9,112.2,109.9,110.3,111.5,101.4,110.6,116.7,117.5,120.1,118.7,115.1,113.9,117,116.7,118.8,126.3,132.7,136.3,133.8,135.9,137,136.7,137.6,137.3,140.2,136.5,126.7,121.2,119.4,123.8,127.7,131.6,135.8,135.2,140.4,142.6,139.1,138.3,135.4,138.2,139.3,144,147.3,151.7,153.7,152.6,152.4,157.3,162,167.3,171.5,175.9,181.8,185.6,198.1,205.6,213.3,222.4,232.1,235.7,238.5,237.9,232.9,232.1,230.9,235.6,243.1,238.9,242,249.2,256.5,259.3,266.4,264.8,263.2,261.8,263.2,253.3,255.7,259.4,260.4,266.1,275,279.6,283.9,298.6,312.7,325.4,330.9,333.5,333.1,332.4,328.5,319.4,299.8,292,294.7,297.4,302.9,306.5,313.2,319.4,331.8,341.3,348.6,360.4,363.9,394.6,408.6,421.9,431.3,429.9,443.3,444.5,449.3,426.5,429.6,438.7,445.7,454.7,465.7,477,465.5,448.9,433.8,425,417.2,422.2,441.2,469.8,485.1,509.3,526.1,538.9,545.1,552.9,544.4,553.8,546.2,532.5,524.7,530,515.5,527.9,544.9,543.7,547.8,561.3,564.2,570.1,579.8,588,604.9,596,603.9,593.5,597.2,585.8,570.7,565.3,559.9,556.9,554.5,576.5,588.2,606,609.6,625.9,632.8,659.3,665.9,679.3,692,722.6,752.1,757.4,762.5,777.9,797.1,820,847.3,870.1,892.2,914.3,961.1,969,1001.6,1032.5,1042.4,1074.7,1094,1127.3,1154.4,1157.3,1196.7,1238.6,1245.2,1247.9,1233.6,1189.4,1163.7,1120.6,1100.4,1092.1,1089.1,1088.9,1087.3,1105.8,1139.5
"17","9","      Structures","B009RX1",76.2,75.8,76.3,75.2,76.7,78.9,81.2,82.4,80.8,79,75.5,73.4,76.9,80.8,85.5,87.6,87.9,90.9,90.4,86.9,87,87.6,88.4,91.7,94.5,96.3,96.8,98.6,99.5,100.3,100,99.6,102.7,105.3,108.7,111.4,114.9,119,119.7,119.5,118.4,118.3,118.4,117.7,115.5,111.7,109.1,110.8,110.4,113.8,117.2,116.3,121.1,122.6,122.8,127.5,126.9,124.8,124.8,124.2,126.5,131.1,134.5,131.3,126.7,132.6,133.6,136.3,139.8,144.5,149.3,150.5,158.2,169.2,171,178.8,183.1,179.6,183.5,177.3,179.1,174,175.9,176.1,179.7,178.1,177,180.6,183.3,184.9,193.6,192.2,190.7,188.7,189.5,187.3,186.8,186.3,185.6,185.1,189.9,191,191.4,194.4,200.7,207,211.7,209.8,208.6,207.8,198.8,196.4,186.3,179.3,180.3,180.5,185.4,184.8,186.6,187.2,186.6,193.6,196.5,198,197.6,216.9,231.2,240.9,239.5,243,254.3,262,266,260.1,261.4,269.1,268.8,279,286,307,297.2,287.4,271.5,265.4,254.6,242.6,248.2,255.1,269.6,283.2,292.2,295.2,307.7,307.6,301.2,305,297.3,269.3,259.7,261.3,255.2,258.2,269,274.1,263.7,269.2,265.6,264.9,269.2,266.1,275.5,273.8,279.9,278.5,277.5,265,259.2,252.2,235.8,231,228.2,228.2,230.3,233.1,226.9,226.6,227.7,231.9,222.4,235,234.7,237.1,243.1,247.9,249.8,247.7,252.1,257.6,260.7,273.8,276.2,273.7,284.2,286.3,286.7,298,295.5,297.6,292,294.1,291.8,294.8,299.9,312.5,319.7,320.6,315.8,311.3,313.1,280.8,262.2,252.2,242.4,239,236.5,238.8,237.7
"18","10","      Equipment and software","B010RX1",47.3,46.3,44.8,47.4,51.4,47.9,47.3,48.9,45.8,43.6,41.3,40.8,41.5,46.2,51.1,50.3,48.2,48.3,49.3,48.8,49.1,49.8,42.4,47.8,51.1,51.1,52.8,51.2,48.4,47.3,49.5,49.5,49.9,54.3,57.7,59.4,56.5,56.6,57.1,57,58,57.8,59.8,57.5,51.3,48.7,48.3,50.8,53.6,55.3,57.1,57,59,60.1,57.6,55.6,53.8,56.4,57.1,60.6,62.2,63.7,64,64.3,65.6,67.1,70.1,72.9,74.7,76.2,78.8,81.1,87.4,89,93.9,97.6,103.1,106.8,107.5,109.2,105,106.2,104.7,108,112.1,109.6,112.3,116.2,120.6,122.1,124,123.4,122.8,122.5,123.2,116.7,118.6,121.6,122.7,127.2,131.9,135,138.1,148.2,156.5,163.6,165.9,168.8,169,168.8,169.9,163.7,152.8,149.8,151.5,153.5,155.6,158.8,163.2,167.9,178,182.4,186.8,195.6,198.6,214.1,218.5,224.6,232.9,230.1,235.3,232.3,234.2,218.5,220.5,224,230,232.1,237.6,235.5,231.2,222.5,218.5,214.5,213.8,224.7,237.7,258.1,263.1,276.2,285.6,294.8,293,299.8,296.1,302,299.8,304.1,302.9,306.6,297.6,306.5,315,310.9,320.6,329,333.8,339.3,345.2,354.3,363.5,356.6,359.9,351.5,355.5,353.2,343.4,342.9,348.5,348.8,348.4,367.9,377,391,398.3,413.1,418.6,439.7,452.1,455.7,467.4,493.7,516.5,517.8,521.2,537,551.6,568.7,591.8,602.9,621.8,644.7,680.5,686.3,717.2,737.3,749.1,778.6,802.7,833.5,862.4,862.3,896.7,926,925.5,927.3,917.8,877.6,849.4,840.5,840,842.6,850.3,853.9,855,871.6,907.7
"19","11","    Residential","A011RX1",87.7,83.3,96.1,114.6,113.2,119.8,116,107.5,99.4,97.7,106,119,132.6,145.4,153.4,146.2,138.4,119.8,112.1,113.2,116.1,118.3,117.1,123.4,125.3,125.6,120.9,119.9,121.1,129,136.8,145.5,156.3,158.6,155.2,148.6,144.7,143.8,141,138.8,136.8,133.5,131.7,131.5,126.3,126.6,135.9,150.3,167.4,173.4,170.1,165.1,169.9,155.9,151.2,151,151.6,152.1,160.3,165.7,168.7,174,173.8,173.6,179.9,192.8,196.4,202.4,214.8,203.9,200.6,197,197.6,199.2,200,195.6,200.1,184,178,159.4,154.6,172.1,180.8,191.3,192.5,197.3,200.9,203.4,210.7,208.4,206.7,191.6,192,179.2,188.8,208.7,219.8,242,253.9,263.7,281.3,286.8,287.5,297.8,307.8,292.1,279.8,266.4,246.9,236.1,228.3,198.3,186,190,203.2,212.1,233.8,240.6,236.6,266.8,274.8,306.3,305.3,301.3,302.8,317.3,321.7,320.6,313.1,307.3,303.6,292.1,269.8,219.9,223.6,245.5,241.1,232.9,215,192.9,181.8,176.1,175.5,188.4,220.5,246.6,271,282.5,290.3,295.7,292.9,293.2,292.3,294.6,298.3,305.4,318.5,336.2,341.3,340.7,339.8,341.3,340.3,342,334.6,337.2,337.4,340.4,338.2,328.1,324.6,317.7,321,308.6,291.1,275,258.6,264.7,275.7,281.7,296.1,307.4,308.2,318.6,320.1,323.8,335,351.9,358.8,370.9,367,362.3,354.2,342.9,353.6,361.6,371.1,386.8,385.7,381.8,383.1,387.9,389.7,393.6,401.8,412.9,424.1,434.3,438.1,441.8,444.5,449.9,454.5,450.4,441.2,441.6,444.4,448.5,451.9,449,458.5,468.4,473.2,481,486.4,491.7,516.7
"20","12","  Change in private inventories","A014RX1",4.7,-3.1,-12.3,-2.1,10,19.4,22.7,17.5,-1.8,-15.8,-3.5,-15.7,6.6,9.5,12.7,40.7,25.2,36.7,24.1,10.3,13,-3.2,14.5,14.4,11.7,11.4,7,-6,-5.3,-8.5,-6.8,-2.6,10.1,14.9,13.6,18.8,15.9,11,8.5,7.5,4,5.9,8.6,-8,-10,-8.7,4.4,11.5,9.2,23.4,2.7,14,34.2,9.7,14,-16.3,-7.2,6.2,21.3,17.6,27.9,17.5,20.5,12,24.1,16,18.5,13.3,14.5,13.9,16.7,16.5,36.8,26.5,30,24,42.4,40.3,36.3,49.4,45.8,21,27.8,26.4,24.4,43.8,23.3,18.1,33.2,28,30.8,16,3.9,14.8,14.4,-12.9,34,29.9,27.9,-2.7,9.9,34,35,13.3,20.9,47.2,21.4,50.5,24,33.1,11.7,34.9,-13.8,-25.9,-5.2,-0.4,28.2,41.9,39.4,13.4,26.5,32.6,60.6,34.2,39.2,38.6,40.4,46.2,36.6,40,15.3,8.5,11.3,10,-42.6,-10.7,48.7,13.4,52.1,25.4,-24.4,-4.6,6.6,-47.5,-42.3,-5.8,-4.9,27.4,81,75.6,78.7,49.9,16.3,23.3,18.8,36.2,33.7,17.4,-7.6,-10.4,33.4,18.7,0.5,68.7,16.9,20.5,20,23.6,49.7,37.5,10.2,15.9,14.1,33.9,22.8,-9.3,-14.4,-18.1,-0.1,30.7,1.8,22.9,19.6,21.5,36.7,24.3,7,14.5,46.3,83,51.7,73.4,60.8,34.6,7.9,16.2,3,24.5,57.5,29.9,34.7,94.2,72.3,83.4,116.9,50.4,64.2,58.9,79.5,41.7,50.8,103.5,26.9,99.3,56.2,43.5,4.3,-28.8,-44,-75.5,-23.5,-8,32.8,21.5,1.6,-4.5,-9.1
"21","13","Net exports of goods and services","A019RX1",32.2,30.6,32.1,21.5,12.9,5,3.6,2.5,10.7,11,7.9,-0.4,-2.6,-4.8,-16.2,-12.3,-9.5,-1.7,5.2,6.2,2.9,-4.1,-12.7,-18.3,-17.5,-20.8,-18.4,-16.6,-14.8,-13.4,-10.9,-8.9,-10.8,-16.4,-13.7,-16.2,-16.6,-11.5,-9.8,-2.5,-3.8,-7,-7.6,-10.2,-19.1,-22.5,-21.1,-26.3,-23.6,-26.2,-24.9,-24.3,-18.4,-13.6,-12.8,-6,-6.2,-8.7,-15.7,-15.5,-19,-12.5,-19.6,-23.1,-18.2,-9.7,-18.4,-12.9,-6.3,-7.1,-11.2,-11.3,-19.3,-14.2,-21.9,-20.2,-26.2,-24.5,-37.9,-35.7,-35.7,-35.6,-40.9,-46.2,-52.7,-52.9,-56.3,-56.4,-54.8,-62.2,-63.1,-55.5,-53.5,-50.8,-50.8,-52.7,-49.5,-66,-64.3,-62.7,-78.2,-74.3,-69.1,-72.8,-71.1,-53.6,-45.7,-37.3,-25.7,-28.1,-36.1,-27.8,-0.6,11.1,-10.2,-10,-26.7,-35.5,-39.6,-46.4,-63.8,-60.2,-54.1,-66.2,-81,-56.7,-58,-51.8,-50.6,-51.7,-36.4,-25.2,-16.8,13.7,35.5,18,11,12.3,8.9,1.3,-3.5,3.5,-24.8,-25.7,-28.3,-51.8,-74.2,-86.4,-111.2,-121.1,-125.5,-132.1,-121.7,-145,-145.2,-153.8,-142.9,-159.8,-166,-156.9,-153.3,-151.5,-145.4,-143.1,-117.8,-99.2,-103.6,-106.5,-91.3,-78.7,-73.6,-72.9,-63.8,-63.6,-58.1,-33.2,-18.3,-14.3,-16,-9.6,-4.7,-20.2,-15.9,-23,-37.4,-48.6,-59.4,-63,-73.8,-83,-79,-81.9,-86,-87.7,-57.1,-53.1,-68.2,-81.2,-104.3,-64.9,-89,-93.1,-108.8,-127.6,-163.7,-205.1,-223.9,-222.3,-262.1,-295.2,-313.9,-313.7,-350.6,-374.5,-395.6,-397.2,-385.9,-391.7,-401.3,-413.4,-431.2,-467.6,-471.9,-511.5,-490,-526,-505.2
"22","14","  Exports","A020RX1",78.3,77.5,73.7,65.3,62.3,56.4,57.7,55.7,62.3,61.8,56.7,49.1,48.3,48.9,50.1,54.1,56.9,62.5,64,63.4,66.8,59.4,54.7,55.2,54.2,54.5,56.7,54.8,52.4,59.9,58,60.6,62.9,61.4,65.5,65.8,68.9,73.5,76,79.4,84.6,82.1,79.8,77.3,69.7,70,70.2,70.1,74.7,77.2,79.6,77.4,87.2,92.7,90.4,92.2,91.6,90.3,89.8,92.6,92.4,101.3,95.6,93.5,95.7,106.9,101.2,106.3,112.8,114.7,113.8,117.2,104.5,124.2,117.1,125.5,123.3,128.7,123.9,128,130.4,129.3,126.1,129.7,133.5,136.1,144.1,142.3,125.2,153.3,149.6,154.8,156.1,163,162.5,164,164.6,164.3,171,156.7,173.3,168.2,178.4,185.9,199.6,209.2,209.9,220.2,223,233.9,221.3,227,228.7,222,218.2,230.6,229,231.3,238,240.4,236.6,243,244.8,237,242.6,267.8,270.8,281.6,281.8,282.5,292.7,311,319.8,325.8,325.1,323.2,329.2,331.1,324,325.5,311.4,313.3,299.4,285.7,290.3,291.2,295.6,301.5,307.8,315.5,322.4,329,329.2,328,323.2,332.9,343.6,347.3,355.2,368.5,368.7,383.6,400.1,414.9,437.8,450,458.3,472.4,485.9,507.1,513,521.4,543.6,550.5,555.1,560.7,563.2,583.8,597.8,611.6,621.9,622.2,635.6,639.1,639.9,647.4,645.7,667,672.8,695,721,737.3,750.5,761,794.5,806.6,816.4,830.3,837.3,889.5,905.7,941.8,964.2,963.2,967.4,957,952.9,988.7,980.1,991.2,1017.4,1044.1,1060.9,1092,1120,1112.3,1099.6,1060.9,1010.6,984.8,995.4,1016.5,1027.3,1017.5,1012.4,1009.6,1033.7
"23","15","    Goods","A253RX1",58.8,57.4,54.3,47.6,45.6,41,42,40.3,45.6,45,41.4,35.8,34.6,35,36.2,39.2,40.8,44.9,45.9,45.1,47.6,41.8,38.8,39.4,37.9,38.6,40.5,39.1,36.9,43.5,41.2,43.5,45.2,43.8,46.6,46.8,49.3,52.7,54.7,57.2,61.1,59.2,57.1,53.4,49.3,48.8,49.1,48.6,45.9,47.2,51.9,49.5,57.4,60.2,61.2,61.3,61.7,57.5,60.5,61.6,60.8,64.8,64.9,61.5,61.7,68.1,69.3,72.6,75.9,75.8,77.9,79.5,67.8,80.5,77.9,84.5,83.5,82.1,82.4,84.2,83.8,83.7,82.4,83.8,86.6,87.9,94,91.7,79.3,100.5,97.9,101.3,103.2,105.7,106,107.3,105.4,105.2,112.6,97.5,113.3,110.6,117.1,124.9,136.2,142.9,142.8,151,153.7,160,151.2,153.5,152.9,145.8,148.7,156.6,154.8,156.8,159.8,161.2,158,162.1,163.8,157,159.2,181.2,182.4,189.8,189.9,191.3,200.2,215.3,222.1,226.1,222.2,221.3,223.2,222.9,216.2,219.8,206.9,209.2,198.7,187.6,190.3,191.6,194.9,202.4,201.5,206.3,213.1,220,218.1,217.5,214.9,221.3,221.9,226.1,229.7,239,236.5,246.5,261.3,274,290.7,298.7,303.3,317.4,322.7,341,342.6,348.2,363.3,366.4,368.5,370.5,379.5,388.3,397.9,404.3,413.3,414.6,426.9,432.6,427.8,433.2,430.3,451,450.6,466.7,490.6,503.9,515.2,523.8,544.3,552.2,563.2,569.3,580.2,611.6,632.3,661.6,681.3,682.7,683.9,667.8,669.3,696.3,682.1,689.8,712.5,736.3,751.9,776.6,810,798.9,787.8,749.5,711.3,697.4,692.8,712.7,720.1,703.2,706.5,703.5,718.2
"24","16","    Services","A646RX1",14.8,16.1,15.7,15,13.9,13.2,13.4,13.2,14,14.3,12.8,11.3,12,12.1,12,12.9,14.1,15.4,15.9,16.5,17.1,16.2,14.4,14,15,14.4,14.4,14.1,14.2,14.2,15,15.1,15.6,15.8,16.8,17,17.4,18.4,18.6,19.4,20.3,20,20,22.6,18.4,19.6,19.5,20.2,31,32.3,28.1,28.9,30,33.2,28.3,30.8,29.2,34.2,28.7,30.9,31.7,37.7,29.8,32.2,34.8,40.2,30.6,32.5,36.2,38.9,34.6,36.7,37.5,44.6,38.8,40.3,38.7,48.3,41.2,44.1,48,46.6,44.3,47,47.8,49.5,51,52,47.8,53.4,52.3,54.2,53,58.5,57.3,57.3,61.3,61.1,58.8,62.4,61.1,58.4,62.1,60.6,61.8,64.6,65.7,67,66.6,71.8,68.2,72.9,76.5,79.2,68.1,72.8,73.6,73.6,78.5,79.7,79.5,81.9,81.9,81.8,86.4,85.9,88.3,91.6,91.7,90.4,90,91,92.2,94.3,100.3,98.9,104.7,108,109.1,105.1,106.4,105.1,102.5,101,103.1,102.3,103.2,99.6,109.8,112.9,111.7,110.2,113.3,112.7,110.3,113.6,126.3,125.2,130.2,134,137.7,142.7,143.1,144.3,150.1,154.2,158.4,156.5,166.3,167.6,173,175.9,183,187.3,190.1,194.2,185.7,199,203.4,211.4,212.3,211,211.4,208.7,215.3,217.4,218.9,218.5,225.4,231.4,232.5,235.2,236.7,238.4,251.9,256.2,254.3,262.6,258,279.2,273.9,280.2,282.6,280.2,283.2,289.5,283.7,292.5,298.3,301.7,305,307.9,309,315.3,310,313.4,311.8,311.3,299.2,287.3,302.5,303.7,307,314,305.7,305.9,315.2
