"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"29","22","    Leather and allied product manufacturing","S3160",1656,1584,1614,1596,1449,1419,1429,1459,1509,1641,1663,1667,1528
"30","23","    Paper manufacturing","S3220",16531,15938,15918,17036,15589,16470,16306,17786,18574,19459,19719,20023,17429
"31","24","    Printing and related support activities","S3230",6912,6446,6551,6857,6122,6251,6167,6524,6866,7159,7336,7522,5811
"32","25","    Petroleum and coal product manufacturing","S3240",11484,8252,14192,15630,11650,15974,17564,22858,32052,33524,63678,24455,44430
"33","26","    Chemical manufacturing","S3250",47394,47710,52081,56219,53427,55639,57437,64403,70965,76658,83108,82566,77904
"34","27","    Plastics and rubber product manufacturing","S3260",16400,16052,17666,18297,16627,17509,17877,20664,22353,23239,25168,23975,21291
"35","28","Merchant wholesale industries","S42W0",259338,269436,287571,305173,291053,297150,305393,335900,361950,395516,433553,428595,395674
"36","29","  Durable goods merchant wholesale industries","S42WD0",163670,171856,183575,192178,175210,175315,178396,204349,218424,237497,244146,257705,219445
"37","30","    Motor vehicles, parts, and supplies wholesalers","S42110",22229,23055,25882,27175,25598,27781,28862,30456,32819,34051,34536,38462,28140
"38","31","    Furniture and home furnishings wholesalers","S42120",4988,5312,5689,6342,5896,6151,6424,6818,7294,7712,7743,7826,6412
"39","32","    Lumber and other construction materials wholesalers","S42130",5822,5545,6202,6463,6428,6894,8560,11199,12344,12466,11635,11257,9074
"40","33","    Professional and commercial equipment wholesalers","S42140",26077,24301,25348,24654,20712,20970,20757,22232,22432,24711,25801,26375,23742
"41","34","      Computers and software wholesalers","S42430",15859,14564,14818,13069,9966,9601,9918,10332,9941,10371,10171,10006,9874
"42","35","      Other professional and commercial equipment wholesalers","S424X0",10218,9737,10530,11585,10746,11369,10839,11900,12491,14340,15630,16369,13868
"43","36","    Metal and mineral (except petroleum) wholesalers","S42150",14028,13926,14432,14568,12888,13582,14214,22318,22565,29079,29285,30129,23374
"44","37","    Electrical goods wholesalers","S42160",21033,22763,25539,28818,23988,22647,21782,23760,24889,27869,29010,30114,25671
"45","38","    Hardware and plumbing and heating equipment wholesalers","S42170",9490,10343,10619,11621,11020,11027,11145,12444,13310,14499,15009,14671,13408
"46","39","    Machinery, equipment, and supplies wholesalers","S42180",43531,49406,51527,52960,51037,48749,47481,53606,59341,63528,67509,76003,67183
"47","40","    Miscellaneous durable goods wholesalers","S42190",16472,17205,18337,19577,17643,17514,19171,21516,23430,23582,23618,22868,22441
"48","41","  Nondurable goods merchant wholesale industries","S42WN0",95668,97580,103996,112995,115843,121835,126997,131551,143526,158019,189407,170890,176229
"49","42","    Paper and paper products wholesalers","S42210",7622,7265,7618,8482,7344,7008,6944,8024,8461,8847,9116,9676,8337
"50","43","    Drugs and druggists' sundries wholesalers","S42220",14120,16238,19933,24643,31794,33816,34879,35702,35207,36942,39032,40502,42209
"51","44","    Apparel, piece goods, and notions wholesalers","S42230",12986,13219,12519,12566,12509,12644,11745,11820,12453,13873,14121,14988,11788
"52","45","    Grocery and related products wholesalers","S42240",17481,17380,18613,18730,17535,18512,18616,19166,21206,23374,26059,27333,25446
"53","46","    Farm product raw material wholesalers","S42250",13480,12481,12226,13839,13460,14486,18324,13578,16048,25221,39970,23617,29022
"54","47","    Chemical and allied products wholesalers","S42260",4733,5084,5464,5419,5418,6133,6145,6950,7809,7601,9006,8486,7566
"55","48","    Petroleum and petroleum products wholesalers","S42270",4572,3823,5070,5928,5092,6714,7209,10655,14523,13714,20153,11234,19597
"56","49","    Beer, wine, and distilled alcoholic beverages wholesalers","S42280",5232,5482,5789,6165,6058,6553,6840,7230,7900,8595,9410,10608,10066
"57","50","    Miscellaneous nondurable goods wholesalers","S42290",15442,16608,16764,17223,16633,15969,16295,18426,19919,19852,22540,24446,22198
"58","51","Retail trade industries","S440",335864,349151,377742,400836,386024,407981,425512,460862,473662,491624,513571,506383,487350
"59","52","  Motor vehicle and parts dealers","S4410",104269,106979,120180,133516,122881,137880,146707,158144,155899,155732,160401,159234,151054
"60","53","  Furniture, furnishings, electronics, and appliance stores","S44230",22484,20992,21911,23018,21251,22418,23736,26893,27606,28365,29686,27951,26554
"61","54","  Building material and garden equipment and supplies dealers","S4440",33489,35396,37703,38926,38966,40961,42829,48150,52182,53906,55399,56389,53356
"62","55","  Food and beverage stores","S4450",27832,29227,30924,30999,32103,32103,33007,34376,35200,36851,40716,42443,42889
"63","56","  Clothing and clothing accessories stores","S4480",27458,28757,30160,32830,31715,33650,34652,37536,39661,45254,45911,44506,41085
"64","57","  General merchandise stores","S4520",58252,59404,62433,63730,64166,65488,67323,72692,75752,78728,80885,80406,77985
"65","58","    Department stores","S45210",42098,41535,42311,41687,39948,38376,36960,38049,38438,38824,39123,36555,34520
"66","59","    Other general merchandise stores","S45290",16154,17869,20122,22043,24218,27112,30363,34643,37314,39904,41762,43851,43465
"67","60","  Other retail stores","S44X0",62080,68396,74431,77817,74942,75481,77258,83071,87362,92788,100573,95454,94427
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
