"","Table 5#9# Real Private Fixed Investment In Equipment and Softwa","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"37","30","    Electrical equipment, n.e.c.","A670RX",7,7.3,8.1,8.6,8.9,9.5,9.9,9.7,9.8,10.6,12.4,14.5,14.9,17.3,19
"38","31","    Other","C286RX",15.2,16.5,17.3,16.7,16.2,16.9,18.9,20,20.7,21.9,22.8,24.5,26.2,27.4,26.8
"39","32","  Less: Sale of equipment scrap, excluding autos","C287RX",3.7,3.1,3,3.1,2.6,2.6,4.7,4.3,4.5,4.6,4.4,4.5,4.1,3.8,3.5
"40","33","Residential equipment","B013RX",6.1,6.3,6.4,6.2,5.9,6.1,6.5,6.9,7.4,7.7,7.9,8.3,9,9.4,9.5
"41","34","Residual","A970RX",-28.3,-26.6,-22.9,-22.1,-16.4,-11.4,-9.7,-7.8,-2.5,-0.3,-3.1,-13.6,-37.8,-56.3,-56.5
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43"," 1. Includes new computers and peripheral equipment only.  Because of rapid changes in relative prices, the chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","estimates for computers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","are especially misleading as a measure of the contribution or relative importance of this component.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46"," 2. Excludes software ``embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","  Note.  Chained (1996) dollar series are calculated as the product of the chain-type quantity index and the 1996 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","  Chain-type quantity indexes for the series in this table are shown in table 7.8.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53"," n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
