"","Table 7#9# Chain-Type Quantity and Price Indexes for Exports and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227"
"11","2","  Goods \1\","B253RA",10.18,9.92,9.4,8.24,7.89,7.09,7.26,6.97,7.89,7.78,7.17,6.19,5.99,6.06,6.26,6.78,7.06,7.76,7.94,7.79,8.23,7.23,6.7,6.81,6.56,6.68,7.01,6.75,6.37,7.51,7.13,7.52,7.82,7.57,8.06,8.09,8.52,9.12,9.46,9.89,10.57,10.23,9.88,9.23,8.53,8.44,8.5,8.4,7.93,8.16,8.97,8.56,9.92,10.4,10.59,10.6,10.67,9.94,10.46,10.65,10.52,11.2,11.22,10.64,10.67,11.78,11.99,12.55,13.12,13.11,13.47,13.74,11.72,13.92,13.48,14.61,14.45,14.2,14.25,14.55,14.49,14.48,14.25,14.49,14.98,15.2,16.25,15.85,13.72,17.38,16.94,17.52,17.85,18.29,18.33,18.56,18.22,18.19,19.48,16.86,19.59,19.13,20.25,21.6,23.56,24.71,24.69,26.11,26.58,27.66,26.14,26.55,26.44,25.22,25.71,27.08,26.77,27.12,27.64,27.88,27.33,28.04,28.32,27.15,27.52,31.34,31.54,32.82,32.84,33.08,34.62,37.24,38.42,39.1,38.42,38.27,38.6,38.55,37.4,38.01,35.78,36.19,34.37,32.44,32.92,33.14,33.71,35.02,34.87,35.69,36.87,38.02,37.65,37.51,37.04,38.14,38.25,38.98,39.6,41.22,40.77,42.5,45.05,47.24,50.12,51.5,52.3,54.72,56.38,59.32,58.68,60.57,62.8,64.03,62.95,64.55,65.53,68.16,68.2,70.48,71.39,72.11,72.66,74.77,73.49,75.18,73,78.06,77.3,80.86,83.57,87,88.91,89.98,93.26,95.73,96.89,97.92,99.81,105.39,108.8,114.13,117.53,117.58,117.52,114.9,115.06,120.12,117.3,118.64,122.38,126.82,128.89,133.8,139.88,137.33,135.19,129.39,122.89,120.4,119.36,123.84,125.08,122.95
"12","3","    Durable","B332RA",6.32,6.34,5.86,4.88,4.56,4.06,4.15,3.97,4.49,4.43,4.08,3.53,3.43,3.47,3.57,3.82,3.92,4.11,4.01,4.2,4.63,4.25,4.14,4.32,4.29,4.38,4.6,4.43,4.13,4.86,4.6,4.84,5.11,5.03,5.34,5.33,5.47,5.84,6.06,6.32,6.77,6.56,6.33,5.92,5.47,5.19,5.29,5.43,5.04,5.17,5.5,5.23,6.06,6.58,6.75,6.56,6.57,6.31,6.58,6.64,6.66,6.94,7.03,6.8,6.69,7.16,7.41,7.7,8.01,8.14,8.52,8.69,7.74,8.91,8.69,9.41,9.33,9.21,9.27,9.57,10.84,10.93,10.63,10.75,11.18,11.62,12.29,12.13,11.18,13.17,13.27,13.44,13.59,14.16,14.07,14.03,13.81,13.93,14.45,13.26,14.84,14.72,15.46,16.22,17.79,18.88,19.43,20.2,21.18,22.64,21.68,22.59,21.59,21.58,21.3,21.78,21.53,21.71,22.14,22.09,21.66,22.28,21.98,21.35,21.98,24.34,24.55,26.43,27.08,26.67,27.19,29.8,31.78,31.43,29.85,30.47,29.93,31.17,29.18,28.83,26.85,26.99,25.88,23.83,24.37,25.02,25.08,26.95,26.88,27.57,28.36,29.57,29.82,30.8,30.11,30.73,30.91,32.29,31.85,33.49,33.66,35.46,37.19,40.45,43.01,45.14,45.53,48.39,50.06,52.98,52.69,54.15,56.79,58.48,57.28,57.98,58.4,62.68,62.55,64.5,65.22,65.98,66.28,68.9,68.04,70.16,68.26,73.52,73.67,77.54,79.51,82.74,85.59,87.48,91.33,94.2,95.58,98,100.52,105.9,111.08,117.83,122.21,121.58,122.55,119.3,119.96,125.52,123.09,124.16,128.84,133.79,136.99,143.81,149.33,146.43,143.62,135.65,127.61,122.68,121.5,127.18,129.63,126.18
"13","4","    Nondurable","B339RA",23.5,22,21.06,19.16,18.45,16.55,16.9,16.23,18.36,18.11,16.67,14.41,13.96,14.14,14.69,16.05,16.89,19.32,20.48,19.25,19.68,16.7,14.87,14.8,13.9,14.18,14.88,14.33,13.62,16.02,15.16,15.95,16.17,15.26,16.22,16.31,17.66,18.86,19.55,20.42,21.79,21.08,20.36,19.05,17.65,18.32,18.2,17.28,16.68,17.02,19.3,18.44,21.42,21.55,21.69,22.43,22.81,20.54,21.96,22.4,21.77,23.73,23.59,21.82,22.36,25.35,25.52,26.77,28.19,27.65,27.98,28.36,23.25,28.53,27.5,29.75,29.47,28.9,28.96,29.12,24.3,23.94,23.97,24.59,25.21,24.71,26.82,25.71,20.03,28.6,26.48,28.31,29.17,29.11,29.62,30.7,30,29.46,33.09,26.18,32.29,30.75,32.98,36,38.93,40.19,38.6,41.65,40.91,41.19,38.26,37.55,39.41,35.24,37.68,41.39,40.89,41.69,42.43,43.48,42.61,43.55,45.44,42.79,42.4,50.27,50.45,50.01,48.31,50.34,54.62,57.26,56.26,59.74,61.56,59.23,61.94,58.32,59.63,63.09,60.28,61.45,57.61,56.29,56.5,55.34,57.42,56.93,56.55,57.72,59.96,60.88,58.66,55.18,55.36,57.85,57.75,56.4,60.3,61.67,59.34,60.74,65.56,64.54,68.22,67.54,69.4,70.63,72.19,75.14,73.58,76.56,77.67,77.69,76.93,80.87,83.3,81.55,82.06,85.17,86.56,87.16,88.36,89.07,86.66,87.17,84.27,88.75,85.67,88.37,92.94,96.8,96.36,95.51,97.46,99.03,99.72,97.72,98.27,104.29,103.9,106.19,107.53,109.03,106.74,105.51,104.56,108.51,104.84,106.77,108.47,111.79,111.44,112.28,119.55,117.72,117.02,115.81,112.64,115.45,114.72,116.56,115.23,115.86
"14","5","  Services \1\","B646RA",5.35,5.79,5.65,5.39,5.03,4.77,4.82,4.77,5.03,5.15,4.61,4.06,4.29,4.35,4.31,4.61,5.08,5.55,5.73,5.93,6.05,5.71,5.1,4.96,5.3,5.09,5.1,4.99,5.04,5.03,5.33,5.36,5.5,5.57,5.96,6.03,6.15,6.51,6.6,6.91,7.21,7.11,7.11,7.99,6.46,6.9,6.86,7.15,7.34,7.28,7.41,7.37,7.87,7.98,8.37,8.3,8.36,8.73,8.74,8.86,8.99,9.64,9.44,9.76,9.76,10.23,9.93,10.31,11.27,10.87,11.31,11.59,11.38,12.07,12.46,12.69,12.4,12.82,13.07,13.11,14.21,13.58,13.73,14.38,14.2,14.55,15.1,14.91,14.89,15.63,16.23,15.6,16.24,17.3,17.02,17.34,17.81,17.84,17.87,17.55,17.27,17.56,17.49,18.47,20.18,20.6,21.59,21.01,23.27,24.44,23.86,25.57,25.82,25.36,25.53,26.93,27.73,27.59,29.29,29.98,30.04,30.93,30.96,30.75,32.5,32.35,33.16,34.39,34.34,33.69,33.36,33.15,34.15,34.93,36.85,36.4,38.4,39.6,40.08,39.2,40.16,39.85,38.72,38.43,39.25,38.97,39.3,37.92,42.12,43.31,42.85,42.22,43.34,43.07,42.18,43.45,47.56,47.25,49.28,50.84,52.6,54.6,54.9,55.41,57.69,59.28,60.76,60.06,63.64,64.04,66,67.05,69.63,71.27,72.27,73.73,70.19,75.24,76.65,79.53,79.43,78.87,78.98,78.17,81.15,82.11,82.16,82.86,85.78,88.22,88.35,89.67,90.24,90.9,95.92,97.56,96.57,99.55,97.67,106.21,104.64,107.02,108.59,107.67,108.32,110.43,108.04,110.78,110.36,111.28,112.56,114.33,117.13,120.28,118.47,119.76,117.91,117.17,112.87,108.77,114.24,117.18,118.87,121.82
"15","6","Income receipts","B645RA",4.23,4.38,4.32,4.74,5.01,5.23,5.51,5.3,5.35,5.18,5.1,4.75,5.04,5.3,6.08,6.08,6,6.81,6.99,7.3,6.92,7.11,7.04,6.99,6.83,7.14,6.61,6.75,7.07,7.03,7.07,7.76,7.95,8.03,8.14,8.28,9,8.86,9.14,8.29,9.4,9.94,9.67,8.16,8.4,8.33,8.23,8.27,8.34,8.46,9.09,9.68,9.77,9.82,10.06,10.35,10.83,10.45,10.74,11.02,10.8,11.61,11.72,13.01,12.6,12.44,12.77,13.2,14.1,13.81,14.12,13.67,14.98,15.43,14.79,14.01,14.37,14.48,14.6,15.14,15.01,14.73,15.65,15.62,16.22,16.81,17.27,17.25,17.98,18.43,18.96,19.31,19.69,19.8,19.43,18.09,19.2,20.01,19.6,20.55,20.91,21.49,22.6,23.35,26.72,29.02,32.07,32.57,36.35,36.44,35.53,32.82,29.63,28.78,29.81,31.93,32.6,33.18,33.05,33.23,35.22,35.67,36.21,35.53,39.24,38.48,41.09,46.75,49.4,53.86,60.27,62.9,65.58,61.3,56.67,57.83,61.82,63.62,66.17,65.07,64.5,69.09,64.31,60.67,58.22,60.66,64.03,66.28,68.81,73.25,75.13,71.58,65.13,65.57,62.63,64.04,65.06,62.34,60.11,58.62,60.74,65.11,66.98,70.4,76.21,75.94,78.71,82.82,86.01,89.13,87.94,88.25,88.49,87.9,86.88,93.82,85.9,76.8,73.32,70.81,69.03,69.63,65.65,64.56,66.01,66.68,67.69,67.76,70.3,74.61,80.76,86.88,93.67,97.42,95.8,98.28,97.95,97.06,99.89,105.1,107.82,113.42,115.86,113.72,115.73,116.82,110.49,111.89,114.94,119.81,126.8,134.33,140.33,149.32,145.81,149.29,136.99,124.63,113.25,100.73,98.87,102.55,106.41,NA
"16","7","Imports of goods and services","B021RA",5,5.09,4.51,4.76,5.37,5.58,5.87,5.78,5.59,5.52,5.3,5.39,5.52,5.83,7.2,7.21,7.22,6.97,6.37,6.2,6.94,6.9,7.32,7.97,7.79,8.18,8.15,7.74,7.29,7.95,7.49,7.57,7.98,8.44,8.6,8.92,9.26,9.22,9.31,8.91,9.59,9.67,9.48,9.5,9.62,10.02,9.92,10.5,10.63,11.21,11.36,11.07,11.47,11.54,11.19,10.66,10.61,10.75,11.46,11.73,12.09,12.35,12.51,12.66,12.37,12.66,12.98,12.94,12.93,13.22,13.57,13.94,13.44,15.02,15.09,15.82,16.23,16.63,17.57,17.76,18.02,17.9,18.14,19.1,20.22,20.52,21.76,21.57,19.54,23.39,23.09,22.83,22.76,23.21,23.16,23.52,23.24,24.99,25.55,23.81,27.29,26.31,26.86,28.07,29.37,28.52,27.73,27.94,26.99,28.43,27.93,27.65,24.88,22.88,24.79,26.11,27.75,28.95,30.13,31.13,32.6,32.89,32.43,32.89,35.1,35.21,35.67,36.17,36.06,36.26,35.71,36.48,36.52,33.86,31.42,33.11,34.52,34.58,34.19,35.17,34.17,33.6,35.16,33.78,34.56,37.21,40.11,42.08,45.46,47.37,48.59,50.02,48.91,51.31,50.81,52.78,52.67,54.9,56.44,56.91,56.58,58.03,59.17,60.53,60.25,59.52,60.85,62.61,61.85,63.02,63.57,64.39,65.22,66.38,66.49,64.48,62.58,64.78,66.53,67.35,67.55,69.58,69.86,71.58,73.28,75.39,76.12,79.14,80.66,84.23,86.66,88.75,90.65,92.04,92.32,93.21,95.64,98.68,102.05,103.63,107.39,112.11,116.68,118.49,122.95,126.27,127.59,131.32,134.01,138.89,143.67,146.93,152.07,158.7,163.91,163.23,159.93,157.15,152.32,150.26,153.37,161.24,162.56,164.04
"17","8","  Goods \1\","B255RA",4.67,4.78,4.14,4.2,4.89,5.09,5.2,5.19,5.04,4.88,4.75,4.91,5.01,5.32,6.86,6.73,6.6,6.31,5.46,5.07,5.71,5.79,6,6.41,6.29,6.65,6.45,5.91,5.67,6.24,5.75,5.71,6.29,6.36,6.39,7.04,7.29,7.06,6.98,7.08,7.2,7.31,7.19,7.53,7.18,7.32,7.46,8.1,8.35,8.98,9.13,8.81,8.95,9.05,8.55,8.14,8.06,8.21,9.08,9.3,9.63,9.93,10.11,10.09,9.96,10.3,10.57,10.54,10.46,10.82,11.23,11.6,11.07,12.81,12.92,13.56,13.91,14.13,15.04,15.22,15.23,14.83,14.95,16.35,17.64,18.08,19.32,19,16.56,20.97,20.54,20.02,20.06,20.22,20.16,20.72,20.62,22.61,23.41,21.33,25.07,23.89,24.9,26.07,27.42,26.73,26.31,26.51,25.25,26.71,26.25,25.78,22.78,20.83,23,24.29,26.03,27.33,28.54,29.56,31.16,31.39,31.01,31.45,33.64,33.78,34.17,34.62,34.55,34.77,34.18,35.05,35.1,32.28,29.6,31.28,32.59,32.62,32.31,33.36,32.12,31.22,33.01,31.27,32.2,34.88,37.87,39.99,42.92,44.67,45.61,46.8,45.33,48,47.82,50.07,49.7,52.84,53.95,54.32,53.43,54.52,55.83,56.82,56.66,56.08,57.46,59.34,58.41,59.72,60.11,60.94,61.26,62.45,62.41,60.27,58.49,60.76,63.1,63.89,64.44,67.1,68.25,69.27,71.27,73.55,74.15,77.17,78.69,82.82,85.7,88.24,89.75,91.58,91.8,92.59,95.22,98.65,102.13,104,107.58,112.95,117.27,119,123.2,126.79,127.94,132.44,135.67,141.12,146.26,149.72,154.59,161.91,167.15,166.4,162.44,158.49,154.54,153.24,154.63,164.44,165.81,166.91
"18","9","    Durable","B333RA",1.44,1.5,1.34,1.37,1.62,1.69,1.73,1.71,1.64,1.61,1.53,1.61,1.67,1.82,2.41,2.43,2.41,2.3,1.98,1.83,2.15,2.32,2.5,2.76,2.71,2.74,2.54,2.2,2.1,2.26,2.31,2.23,2.57,2.7,2.79,3.06,3.17,3.14,3.04,3.39,3.18,3.31,3.19,3.32,3.12,3.02,3.25,3.55,3.88,4.31,4.42,4.47,4.57,4.24,3.92,3.58,3.54,3.65,4.17,4.33,4.57,4.64,4.65,4.64,4.66,4.83,5.01,4.96,5.06,5.29,5.62,5.66,5.89,6.76,6.81,7.28,7.65,7.85,8.73,9.09,8.69,8.55,8.82,9.62,10.91,11.09,11.67,11.78,10.3,13.08,12.83,12.37,12.24,12.6,12.37,12.7,12.94,14.18,14.19,13.64,15.76,15.36,15.53,16.55,17.49,16.74,16.58,16.48,16.66,17.23,17.25,16.39,14.45,12.79,13.64,14.33,15.92,16.61,17.26,17.82,18.02,19.1,19.2,20.18,21.56,22.18,22.1,22.57,21.94,22.61,22.65,23.23,24,22.74,21.62,22.8,23.16,24.71,24.95,25.91,25.43,25.5,25.29,23.64,26.93,28.29,30.65,34.48,37.38,39.45,41.16,42.15,42.43,43.84,44.28,45.55,45.86,48.56,48.83,49.2,48.55,49.88,50.45,52.09,51.49,51.11,52.37,54.38,53.69,54.81,54.55,55.37,54.73,56.49,56.9,56.3,53.95,54.96,57.79,58.96,59.6,61.89,63.05,64.41,66.77,68.52,69.52,73.36,75.06,79.66,82.53,86.91,88.55,90.31,90.21,92.25,95.26,98.33,102.16,104.25,109.53,114.58,119.08,121.71,126.91,130.12,131,137.94,141.05,147.63,153.64,158.97,165.31,172.39,177.97,177.47,170.33,163.11,158.62,157.17,160.51,171.12,171.66,171.95
"19","10","    Nondurable","B340RA",12.14,12.35,10.57,10.67,12.37,12.89,13.2,13.27,12.97,12.52,12.34,12.69,12.87,13.51,17.23,16.72,16.31,15.65,13.6,12.68,14.08,13.85,14.09,14.72,14.4,15.65,15.63,14.83,14.38,16.1,14.1,14.29,15.4,15.3,15.18,16.84,17.48,16.76,16.87,16.13,17.37,17.42,17.35,18.3,17.59,18.56,18.36,20.02,20.35,20.26,20.18,19.46,19.58,21.14,20.21,20.19,20.26,20.1,21.54,21.95,22.75,23.44,23.94,24.23,23.66,24.11,24.33,24.67,24.33,24.66,25.18,26.22,24.2,27.53,27.52,28.26,28.9,28.52,29.26,28.54,30.11,28.83,28.35,31.1,31.67,32.74,35.69,33.99,29.52,37.23,36.39,35.97,36.59,35.92,36.54,37.62,36.28,39.83,43.05,36.58,44.01,40.62,44.19,45.13,47.21,47.19,46.06,47.16,42.1,45.46,43.9,44.43,39.35,37.04,42.11,44.69,46.45,49.03,51.4,53.37,58.12,56.27,54.78,53.81,57.58,56.45,57.99,58.23,59.65,58.63,56.63,58,56.63,50.83,45.22,47.85,50.92,48.32,47.02,48.27,45.55,42.84,48.39,46.4,42.96,48.24,52.48,51.41,54.48,55.68,55.22,56.8,52.04,57.11,55.75,59.89,58.14,62.18,65.32,65.67,64.26,64.75,67.74,67.22,68.08,67.05,68.7,70.24,68.79,70.53,72.39,73.22,75.66,75.51,74.46,69.17,68.51,73.54,74.8,74.76,75.09,78.57,79.71,80,81.2,84.64,84.35,85.48,86.62,89.65,92.56,91.03,92.24,94.24,95.15,93.26,95.13,99.28,102.08,103.51,103.92,109.82,113.79,113.78,116.07,120.44,122.13,121.78,125.26,128.5,132.03,132.19,134.57,142.23,146.88,145.82,146.98,148.35,145.38,144.37,142.32,150.62,153.3,155.67
"20","11","  Services \1\","B656RA",6.34,6.38,6.12,7.24,7.42,7.68,8.78,8.28,7.98,8.29,7.69,7.44,7.71,8.03,8.46,9.18,9.86,9.84,10.82,11.93,13.12,12.43,13.94,15.9,15.39,15.96,16.83,17.26,15.62,16.7,16.54,17.27,16.64,19.31,20.18,18.53,19.32,20.45,21.48,18.23,22.08,21.97,21.39,19.54,22.35,24.19,22.76,22.97,22.37,22.62,22.74,22.7,24.47,24.38,24.91,23.76,23.88,23.94,23.75,24.3,24.76,24.82,24.86,25.89,24.77,24.81,25.4,25.28,25.64,25.57,25.65,25.98,25.63,26.46,26.25,27.52,28.2,29.56,30.63,30.92,32.35,33.7,34.51,33.34,33.58,33.28,34.48,34.96,34.9,36.1,36.41,37.48,36.84,38.76,38.76,38.08,36.91,37.53,36.89,36.77,39.06,39.12,37.26,38.71,39.74,38.13,35.41,35.67,36.49,37.61,36.85,37.84,36.83,34.69,34.7,36.12,37.01,37.5,38.43,39.22,39.73,40.47,39.5,40.04,42.23,42.15,42.99,43.78,43.48,43.51,43.22,43.28,43.13,41.89,41.51,43.09,45,45.31,44.35,44.75,45.62,47.51,47.26,48.57,48.12,50.39,52.45,53.26,59.48,62.26,65.37,68.31,69.78,70.12,67.46,67.5,69.08,65.88,69.86,70.92,73.93,77.62,77.66,81.33,80.31,78.57,79.6,80.53,80.83,81.06,82.67,83.37,87.28,88.24,89.27,88.11,85.49,87.23,85.5,86.49,84.74,83.17,78.64,84.23,84.25,85.44,86.85,89.86,91.37,91.9,91.82,91.5,95.55,94.45,95.05,96.53,97.86,98.85,101.64,101.65,106.39,107.86,113.61,115.89,121.62,123.59,125.7,125.73,125.79,127.88,130.86,133.14,139.53,142.76,147.87,147.7,147.81,150.84,141.21,134.98,145.69,144.92,146.02,149.08
"21","12","Income payments","B655RA",1.34,1.32,1.28,1.55,1.45,1.47,1.76,1.53,1.8,1.73,1.79,1.8,1.89,1.94,1.99,2.02,2.19,2.19,2.12,2.07,1.96,2.11,2.13,2.23,2.21,2.2,2.29,2.42,2.34,2.32,2.29,2.29,2.35,2.56,2.61,2.61,2.64,2.57,2.7,2.71,2.71,2.69,2.75,2.76,2.82,2.63,2.76,2.9,3.05,3.2,3.4,3.61,4.01,3.89,3.84,3.71,3.77,3.79,3.93,4.04,3.84,3.92,3.95,4,4.08,4.3,4.5,4.65,4.72,4.83,4.84,5.1,5.14,5.25,5.39,5.55,5.63,5.74,6.13,6.29,6.29,6.29,6.25,6.55,6.93,7.37,7.54,7.62,8.39,9.32,10.4,10.78,10.9,10.64,10.39,9.88,9.19,9.38,10.16,10.55,10.4,11.23,11.37,12.27,13.84,15.29,15.81,16.2,16.85,18.16,19.12,18.93,18.2,17.15,17.09,16.38,17.73,17.66,17.33,17.07,16.41,17.36,18.17,19.87,20.85,23.74,24.81,27.89,30.04,31.94,33.65,36.74,39.21,36.95,33.54,39.97,42.45,45.81,47.29,43.31,44.83,46.94,46.31,43.34,40.7,41.84,45.08,46.65,51.67,56.46,58.78,57.59,54.85,54.16,54.22,54.1,57.56,59.04,55.51,57.92,59.29,62.04,64.51,67.32,70.7,71.84,76.31,79.66,83.27,87.3,84.91,82.1,83.45,82.06,83.55,79.59,76.74,72.44,70.34,63.75,62.19,63.18,60.37,58.81,56.99,60.96,59.57,67.17,66.81,73.4,80.56,87.24,91.69,94.05,98.6,95.85,94.01,97.08,102.76,106.15,112.56,116.4,121.27,120.93,120.93,123.52,124.08,123.38,114.28,117.77,128.25,131.26,141.45,148.94,148.53,147.67,142.5,120.78,116.43,93.68,105.14,117.9,118.46,NA
"22",NA,"Chain-type price indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","13","Exports of goods and services","B020RG",22.57,24.25,25.49,26.13,26.27,26.14,25.83,25.41,24.98,24.5,24.09,23.8,23.44,23.49,23.71,24.16,25.56,26.51,27.29,27.74,27.11,27,26.93,26.87,27.01,26.95,26.87,26.78,26.64,26.56,26.52,26.52,26.6,26.72,26.86,27.05,27.27,27.55,27.86,28.17,28.56,28.77,28.86,28.86,28.61,28.5,28.45,28.44,28.45,28.39,28.49,28.78,28.88,28.84,28.96,28.86,28.99,29.38,29.3,29.52,29.5,29.19,29.17,29.21,29.3,29.25,29.16,29.18,29.25,29.22,29.45,29.77,30.47,30.38,30.4,30.28,30.79,31.05,31.44,32.01,32.6,32.51,32.47,32.65,32.87,33.57,33.13,33.35,33.82,33.85,34.33,35.15,35.28,35.99,35.85,35.97,37.01,37.05,36.81,37.05,37.63,37.93,38.1,39.03,40.19,42.04,44.51,46.86,50.18,51.92,54.89,57.75,59.41,59.18,59.02,59.36,60.18,60.83,61.16,62.26,62.95,63.89,63.58,63.88,65.17,66.79,67.86,70.08,72.15,75.11,76.9,78.35,80.66,81.76,84.03,86.82,88.98,89.32,89.51,89.83,90.3,90.26,89.64,89.14,89.51,89.84,90.35,91.26,91.36,91.97,91.07,90.13,89.24,89.05,88.34,88.17,87.64,87.26,86.85,87.56,88.02,89.4,89.73,91.33,92.34,94.31,95.52,95.38,96.39,96.55,95.97,95.69,95.74,96.04,96.95,98.41,98.72,98.24,97.62,97.83,97.77,97.88,97.9,97.71,97.73,97.95,97.82,97.77,98.17,98.57,99.17,99.84,100.92,101.73,101.48,101.01,100.83,100.51,99.81,98.85,98.66,98.72,98.46,98.04,97.08,96.58,95.86,95.52,95.21,95.3,95.48,95.88,96.36,96.84,97.04,97.08,96.87,96.46,96,95.06,94.88,95.58,96.41,96.6
"24","14","  Goods \1\","B253RG",24.76,27.11,28.82,29.7,29.89,29.7,29.25,28.67,28.07,27.41,26.87,26.5,26,26.05,26.32,26.88,28.69,29.87,30.81,31.29,30.32,30.09,29.92,29.79,29.9,29.79,29.67,29.55,29.39,29.31,29.26,29.26,29.34,29.47,29.64,29.87,30.19,30.53,30.88,31.22,31.57,31.75,31.78,31.71,31.4,31.28,31.31,31.43,31.69,31.51,31.55,31.88,31.86,31.81,31.97,31.85,32.12,32.62,32.46,32.72,32.58,32.13,32.08,32.11,32.25,32.17,32.04,32.02,32.2,32.08,32.34,32.74,33.62,33.48,33.48,33.27,33.97,34.26,34.74,35.46,36.24,36.04,35.9,36.05,36.21,37.13,36.45,36.67,37.31,37.2,37.72,38.77,39,39.83,39.48,39.51,40.71,40.65,40.22,40.47,41.04,41.33,41.41,42.56,44.27,46.53,49.65,52.63,56.66,58.8,62.57,66.31,68.49,67.94,67.41,67.73,68.59,69.34,69.64,70.94,71.77,72.77,72.03,72.08,73.55,75.5,76.67,79.58,82.36,86.02,87.95,89.28,91.73,92.72,95.47,98.92,101.44,101.5,101.27,101.29,101.65,101.02,99.61,98.54,98.64,98.98,99.5,100.79,101.2,101.73,100.12,98.31,96.93,96.34,94.92,94.3,93.21,92.5,91.66,92.58,92.99,94.68,94.9,96.98,98.35,100.97,102.57,102.1,103.06,102.97,101.99,101.28,100.85,100.96,101.38,102.26,102.34,101.71,100.48,100.5,100.12,99.99,99.64,99.26,99.28,99.4,99.21,98.96,99.56,99.93,100.4,101.2,102.51,103.21,102.81,102.08,101.4,100.92,99.67,98.01,97.81,97.55,97.23,96.58,95.44,94.7,93.69,93.16,92.82,92.75,92.91,93.42,93.71,94.08,94.17,94.25,94.19,93.84,93.26,92.39,92.14,92.67,93.45,93.67
