"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41"
"20","12","        Motor vehicle and parts manufacturing","PK3MV3",100.764,100.319,99.89,99.573,99.414,99.163,99.39,99.683,99.372,99.486,99.378,99.961,99.852,99.985,100.162,100.017,99.602,99.738,100.19,98.813,98.976,98.917,98.257,98.167,98.681,98.111,98.484,99.058,99.042,99.787,99.649,100.646,100.509,100.176,100.428,99.237,99.651,100.187
"21","13","        Other transportation equipment manufacturing","PK3OT3",96.407,96.413,96.611,96.521,96.429,96.75,97.168,97.168,97.329,97.21,97.344,98.264,99.011,99.762,100.472,100.78,101.273,101.804,102.333,102.695,102.935,103.076,103.649,104.107,104.84,105.538,106.143,107.222,107.971,108.935,110.208,111.454,113.004,113.746,114.437,115.632,116.673,116.942
"22","14","      Furniture and related product manufacturing","PK3373",95.523,95.939,96.25,96.52,96.886,97.107,97.228,97.545,97.803,98.079,98.646,99.023,99.422,99.933,100.219,100.407,100.828,101.256,101.487,101.629,101.828,101.909,102.557,102.898,103.041,103.244,103.313,103.412,103.774,104.418,105.333,106.494,107.612,108.509,109.298,110.173,111.094,111.471
"23","15","      Miscellaneous durable goods manufacturing","PK3393",97.467,97.813,98.018,98.095,98.136,98.261,98.525,98.784,98.847,99.082,99.02,99.275,99.629,99.684,100.121,100.533,100.943,101.281,101.75,102.046,102.263,102.573,102.831,103.176,103.546,103.769,104.042,104.251,104.725,105.111,105.754,105.829,106.613,106.987,107.415,107.932,108.348,109.161
"24","16","    Nondurable goods manufacturing industries","PK30N3",94.666,93.656,93.553,93.63,92.335,91.943,91.487,90.995,90.817,92.178,94.1,95.95,98.447,99.487,100.447,101.635,101.978,102.3,100.665,97.917,97.128,98.697,100.32,101.677,105.339,103.598,104.758,106.173,108.101,111.201,112.98,116.002,117.584,119.897,123.983,127.365,127.297,131.07
"25","17","      Food manufacturing","PK3113",102.994,103.896,103.054,102.365,100.486,100.213,100.848,100.067,99.243,98.05,98.92,99.3,99.103,100.563,99.961,100.357,101.997,103.78,104.959,103.279,102.427,101.694,103.306,102.888,105.234,106.598,108.63,112.512,112.288,118.544,115.112,113.582,115.225,116.406,115.844,116.211,115.519,114.558
"26","18","      Beverage and tobacco product manufacturing","PK3123",79.982,81.035,81.326,81.861,82.525,84.287,85.279,88.562,93.963,94.251,95.87,98.303,98.59,99.429,100.645,101.334,104.457,106.074,107.039,107.927,107.579,109.419,109.87,109.357,107.368,107.431,107.727,108.599,109.379,109.62,109.784,110.34,112.566,113.425,114.335,114.722,115.078,115.503
"27","19","      Textile mills","PK3133",104.003,104.067,104.071,104.178,104.182,104.014,103.375,102.345,101.468,100.67,100.158,99.936,100.044,99.941,100.018,99.996,100.293,100.051,99.109,98.481,97.98,97.789,97.635,97.537,96.942,97.187,97.318,97.54,97.977,99.068,99.425,99.617,100.449,101.209,101.78,102.758,103.826,104.316
"28","20","      Textile product mills","PK3143",98.839,98.34,98.897,99.397,99.512,99.557,99.388,99.322,98.824,98.981,99.072,99.253,99.287,100.019,100.224,100.523,101.215,101.324,101.259,101.281,101.194,101.148,101.455,101.111,101.081,101.869,102.392,102.782,101.955,103.335,104.772,106.038,106.552,107.632,107.932,109.116,110.398,110.196
"29","21","      Apparel manufacturing","PK3153",98.718,98.781,99.082,99.117,99.393,99.594,99.747,99.841,99.819,99.761,99.728,99.869,99.905,99.904,100.106,100.092,100.019,99.778,99.696,99.465,99.068,98.87,98.939,99.133,98.82,98.507,98.527,98.754,98.514,98.559,98.532,99.103,98.672,98.368,98.601,98.39,98.692,98.625
"30","22","      Leather and allied product manufacturing","PK3163",99.629,99.298,98.909,99.739,99.245,98.93,99.049,98.672,98.094,98.225,98.683,99.073,99.518,99.457,99.95,101.047,102.265,104.146,103.683,102.356,102.098,102.525,103.848,104.169,104.44,104.648,104.924,105.599,105.875,105.653,105.762,105.781,106.011,106.141,106.312,106.39,106.78,107.77
"31","23","      Paper manufacturing","PK3223",91.452,90.251,91.283,93.341,94.666,94.192,93.426,91.734,91.134,92.392,93.876,95.795,97.222,100.612,101.028,101.262,101.043,100.849,99.763,98.968,98.027,97.575,97.954,99.063,99.006,98.949,98.64,98.427,97.892,99.576,102.409,103.991,105.01,105.638,105.237,105.901,108.131,110.398
"32","24","      Printing and related support activities","PK3233",95.033,95.191,95.614,96.711,97.051,97.373,97.492,97.623,97.271,97.531,97.73,98.164,98.664,99.834,100.581,100.937,101.177,101.641,101.469,101.23,101.113,101.071,101.101,101.031,101.188,101.394,101.314,101.256,101.328,101.933,102.534,103.128,103.556,103.726,104.465,104.94,106.065,106.788
"33","25","      Petroleum and coal product manufacturing","PK3243",82.917,74.188,73.475,72.884,64.371,60.089,56.448,54.763,54.038,64.805,73.202,79.924,95.925,96.137,100.845,107.186,102.252,101.666,91.572,76.759,75.103,85.3,90.769,99.987,121.443,99.081,105.623,108.428,120.526,126.379,135.919,152.05,152.553,162.875,192.427,206.217,199.657,229.519
"34","26","      Chemical manufacturing","PK3253",94.171,94.049,94.258,94.381,94.53,95.176,94.851,94.388,93.909,94.269,95.694,97.617,98.622,99.498,100.643,101.22,102.709,102.048,100.031,99.161,98.515,99.415,100.971,101.707,103.521,105.522,104.93,105.271,106.783,108.902,112.291,115.621,118.116,119.605,120.376,124.562,126.14,126.357
"35","27","      Plastics and rubber product manufacturing","PK3263",98.456,98.588,98.508,98.334,98.296,98.002,97.543,97.334,97.29,97.655,98.249,98.96,99.32,99.607,100.256,100.86,101.098,101.323,100.856,100.516,100.053,100.578,101.027,101.108,102.213,103.701,103.488,103.385,103.857,104.644,106.049,108.253,110.554,111.837,112.839,116.379,118.203,118.587
"36","28","  Merchant wholesale industries","PK42W3",103.629,102.531,101.628,101.251,99.475,98.236,96.686,95.921,95.451,96.262,97.021,97.968,99.705,100.015,99.801,100.472,99.975,99.464,98.422,96.481,96.645,97.257,98.413,99.068,101.29,99.758,100.201,102.002,104.12,105.639,106.607,108.486,109.073,109.913,111.97,113.315,113.437,116.398
"37","29","    Durable goods merchant wholesale industries","PK42WD3",110.116,109.352,108.442,107.536,106.063,104.614,103.083,101.862,100.939,100.465,100.345,100.592,100.676,100.382,99.779,99.174,97.943,97.47,96.893,96.011,95.743,95.826,95.755,95.673,95.704,95.491,95.59,96.446,97.921,98.881,100.409,101.414,101.421,101.072,100.998,101.443,102.124,103.843
"38","30","      Motor vehicles, parts, and supplies wholesalers","PK42113",100.776,100.234,99.544,99.03,98.845,98.499,98.856,99.488,99.029,99.282,99.374,100.061,99.666,99.961,100.083,100.292,99.78,99.652,100.231,98.758,98.651,98.353,97.546,97.346,97.905,97.055,96.967,97.14,96.946,97.42,97.301,98.32,98.321,98.642,99.653,96.924,95.957,96.484
"39","31","      Furniture and home furnishings wholesalers","PK42123",97.692,97.588,98.016,98.222,98.398,98.503,98.319,98.518,98.38,98.597,98.797,99.057,99.383,99.82,100.207,100.582,100.711,100.83,100.685,100.809,100.944,100.91,101.499,101.672,101.691,102.274,102.538,102.732,102.396,103.403,104.66,105.991,106.899,107.981,108.608,109.588,110.849,110.972
"40","32","      Lumber and other construction materials wholesalers","PK42133",100.842,102.313,101.399,99.341,98.938,98.023,97.455,96.402,98.824,101.069,103.191,100.79,101.95,100.948,98.898,98.19,98.055,101.045,100.647,98.199,99.363,99.913,99.763,98.861,99.469,100.254,102.259,103.028,106.09,111.707,113.995,110.617,112.663,113.075,112.553,113.349,116.349,115.999
"41","33","      Professional and commercial equipment wholesalers","PK42143",154.749,149.357,143.883,139.203,132.532,126.201,120.72,115.808,111.566,108.259,105.578,103.694,102.255,100.632,99.357,97.762,93.109,91.43,89.378,87.19,85.723,84.621,83.347,82.236,80.872,80.194,79.476,79.168,78.85,78.407,77.918,77.431,76.351,75.388,74.589,73.839,73.009,72.144
"42","34","        Computers and software wholesalers","PK42433",213.678,200.076,187.553,176.919,162.897,150.389,139.66,129.914,121.996,115.646,110.588,107.108,104.39,101.309,98.582,95.53,87.325,84.022,79.92,75.651,72.879,71.013,68.481,66.228,63.407,61.996,60.535,59.344,58.292,57.284,56.227,55.374,53.085,51.183,49.467,48.176,46.642,44.94
"43","35","        Other professional and commercial equipment wholesalers","PK424X3",98.287,98.527,98.448,98.678,98.629,98.482,98.578,98.753,98.667,99.083,99.421,99.593,99.54,99.736,100.249,100.442,100.211,100.495,100.846,101.119,101.237,101.036,101.332,101.673,102.037,102.243,102.433,103.235,103.925,104.269,104.574,104.613,105.351,105.841,106.474,106.593,106.916,107.455
"44","36","      Metal and mineral (except petroleum) wholesalers","PK42153",105.809,106.18,106.214,106.351,104.648,103.542,100.683,97.55,95.16,94.975,95.597,98.25,100.678,100.841,100.081,98.386,97.41,95.789,94.618,93.862,94.08,96.669,98.994,101.195,102.096,101.595,101.8,106.788,118.138,127.577,138.62,146.509,147.099,142.566,138.694,145.098,149.202,159.838
"45","37","      Electrical goods wholesalers","PK42163",105.788,105.311,104.993,104.166,103.39,102.927,102.282,102.265,102.164,101.627,101.109,100.734,100.262,100.189,100.008,99.557,99.067,98.474,98.03,97.823,97.832,97.29,96.998,96.578,96.158,95.901,95.641,95.225,94.45,94.286,93.947,93.917,94.263,94.082,93.893,93.563,93.502,93.847
"46","38","      Hardware and plumbing and heating equipment wholesalers","PK42173",97.054,97.256,97.47,97.777,97.815,97.84,97.909,98.121,98.162,98.414,98.861,99.216,99.503,99.908,100.258,100.325,100.729,100.911,101.167,101.598,101.604,101.619,101.807,101.865,102.368,102.603,102.911,103.325,104.203,105.229,106.639,108.038,109.892,110.624,111.412,112.413,112.841,113.92
"47","39","      Machinery, equipment, and supplies wholesalers","PK42183",97.281,97.44,97.638,97.881,98.121,98.227,98.369,98.759,98.955,99.065,99.116,99.421,99.691,99.868,100.136,100.302,100.623,100.875,101.048,101.284,101.333,101.488,101.917,102.166,102.533,102.883,103.258,103.74,104.514,105.636,106.665,108.173,109.846,111.241,112.055,112.978,114.014,114.941
"48","40","      Miscellaneous durable goods wholesalers","PK42193",102.126,101.948,101.999,102.215,100.932,99.531,96.921,94.966,94.501,94.787,96.879,100.332,101.752,101.338,99.085,97.892,96.407,95.444,94.545,94.053,93.736,95.494,96.578,97.543,98.635,98.765,99.641,104.114,110.078,108.594,113.975,116.897,114.228,112.748,113.346,117.422,121.172,130.289
"49","41","    Nondurable goods merchant wholesale industries","PK42WN3",96.839,95.403,94.498,94.638,92.572,91.554,90.001,89.697,89.689,91.825,93.5,95.179,98.674,99.621,99.81,101.835,102.12,101.566,100.039,97.031,97.621,98.766,101.158,102.555,106.96,104.116,104.908,107.678,110.465,112.587,112.937,115.774,117.007,119.172,123.636,126.011,125.474,129.854
"50","42","      Paper and paper products wholesalers","PK42213",88.266,87.232,88.799,91.32,92.631,92.156,90.559,88.029,87.471,89.245,91.643,93.814,96.147,100.801,101.53,101.711,101.415,99.986,97.482,96.069,94.977,94.12,95.198,96.168,96.165,96.941,96.227,95.794,95.483,98.169,101.907,103.177,105.093,105.141,103.133,105.005,107.822,110.575
"51","43","      Drugs and druggists' sundries wholesalers","PK42223",89.708,89.421,89.738,90.438,92.533,95.997,96.755,97.384,97.369,97.64,98.683,99.356,99.587,99.64,100.28,100.43,100.837,100.827,100.738,101.185,101.479,101.806,102.484,103.089,103.496,104.127,104.843,105.469,106.572,107.292,107.58,108.448,109.892,111.207,113.033,113.393,114.521,115.133
"52","44","      Apparel, piece goods, and notions wholesalers","PK42233",100.209,100.427,100.642,100.789,101.112,100.906,100.73,100.642,100.353,100.179,100.1,100.059,100.177,99.99,99.958,99.879,100.056,100.136,99.891,99.454,98.876,98.345,98.215,98.499,98.708,98.824,98.83,98.96,99.058,99.08,99.065,99.138,99.319,99.384,99.665,99.691,99.932,100.019
"53","45","      Grocery and related products wholesalers","PK42243",99.259,99.063,98.46,99.008,98.592,98.846,99.023,99.046,99.591,99.72,99.843,99.636,99.441,100.537,99.67,100.342,101.899,102.984,102.77,102.755,104.698,101.895,101.669,101.518,103.138,104.536,105.297,107.831,107.029,110.082,109.051,112.693,112.447,113.378,112.106,114.13,113.646,114.063
"54","46","      Farm product raw material wholesalers","PK42253",135.191,138.606,129.644,128.695,123.997,116.913,105.629,105.454,103.363,100.337,94.273,94.345,102.085,103.45,93.257,101.955,104.749,99.848,102.515,97.725,99.25,98.273,116.594,115.79,115.813,117.551,114.65,128.372,136.586,139.356,119.758,107.434,112.305,112.57,111.508,109.449,111.562,114.712
"55","47","      Chemical and allied products wholesalers","PK42263",97.097,96.241,96.582,96.461,95.959,95.501,94.8,94.367,93.466,93.404,94.463,96.512,98.157,99.592,101.111,101.061,102.96,101.997,99.259,97.478,96.902,99.174,100.812,102.272,107.388,106.746,106.476,107.042,110.728,113.347,118.891,123.602,125.892,126.924,130.432,139.07,140.465,143.201
"56","48","      Petroleum and petroleum products wholesalers","PK42273",81.388,71.453,70.481,69.986,59.851,55.179,51.275,49.251,48.543,60.999,70.954,78.586,95.588,95.449,101.371,107.184,100.776,98.429,89.137,72.768,72.789,84.128,88.614,97.467,123.757,96.992,102.908,108.169,121.007,125.966,137.273,155.585,156.334,165.932,200.846,211.397,201.336,232.434
"57","49","      Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",96.178,96.435,96.376,95.581,95.921,95.876,96.063,97,97.081,96.762,97.574,97.525,97.967,99.499,100.986,101.515,102.675,103.248,103.507,104.226,104.146,104.31,104.567,105.302,105.168,105.939,105.78,106.633,110.274,107.959,108.086,109.075,110.917,112.591,113.693,113.7,113.049,113.724
"58","50","      Miscellaneous nondurable goods wholesalers","PK42293",92.778,93.162,92.948,92.763,91.434,91.433,91.956,93.32,95.263,95.457,96.442,98.038,98.721,99.15,100.277,101.892,104.783,104.569,104.147,103.281,102.899,104.927,106.686,106.327,106.796,107.683,107.307,109.215,111.002,112.442,112.981,113.592,115.208,117.618,120.003,121.091,122.234,122.863
"59","51","  Retail trade industries","PK443",99.902,99.454,99.097,98.86,98.276,97.86,97.8,97.503,97.202,98.045,98.757,98.963,99.599,100.033,100.14,100.227,100.286,100.51,99.785,98.565,98.018,98.608,98.512,98.218,98.697,97.725,97.716,97.213,98.106,99.095,99.002,99.633,99.803,100.372,101.202,101.04,101.007,101.941
"60","52","    Motor vehicle and parts dealers","PK4413",99.89,99.574,98.926,98.637,98.565,98.34,98.795,98.988,98.503,98.578,99.377,99.635,99.483,100.059,100.002,100.483,101.234,101.095,100.636,100.7,100.065,99.58,99.824,99.321,98.702,98.339,97.523,95.775,95.735,96.041,96.293,97.23,98.123,98.482,98.507,98.61,99.047,99.42
"61","53","    Furniture, furnishings, electronics, and appliance stores","PK44233",124.777,122.94,120.504,118.581,116.726,115.328,112.539,110.157,108.05,106.552,104.85,102.879,101.871,100.706,99.409,98.062,95.782,93.63,91.645,89.98,87.998,87.005,85.738,83.932,82.295,80.492,78.435,77.416,76.938,76.04,74.687,73.797,72.878,72.14,70.654,69.673,68.768,67.592
"62","54","    Building material and garden equipment and supplies dealers","PK4443",102.127,102.693,102.342,101.436,101.756,100.857,100.162,98.969,99.747,100.768,101.937,100.368,100.995,100.481,99.403,99.128,99.095,100.258,99.981,98.42,98.891,99.448,99.084,98.423,98.528,98.623,100.143,101.359,103.303,106.06,106.389,105.42,106.969,107.436,107.405,107.759,108.635,108.684
"63","55","    Food and beverage stores","PK4453",92.844,93.098,93.414,93.749,94.208,94.632,95.114,95.802,96.675,97.02,97.58,98.18,98.776,99.661,100.588,100.952,101.842,102.655,103.612,103.98,104.428,104.81,104.966,105.077,105.586,105.981,106.636,107.449,108.203,109.257,109.655,110.218,110.291,111.299,111.751,112.25,112.914,113.419
"64","56","    Clothing and clothing accessories stores","PK4483",105.438,106.111,105.285,104.819,103.941,103.278,103.599,102.707,101.34,101.97,101.454,101.455,100.57,99.973,99.578,99.904,100.111,98.745,97.792,97.087,96.602,96.29,95.511,95.013,93.9,93.092,93.308,92.985,92.838,93.506,92.89,92.808,92.643,92.089,91.661,91.481,91.101,92.09
"65","57","    General merchandise stores","PK4523",100.986,101.345,100.95,100.752,100.672,100.59,100.657,100.376,100.052,100.32,100.18,100.16,99.88,100.042,100.069,100.007,100.135,99.821,99.625,99.349,99.052,98.905,98.448,97.915,97.265,96.714,96.318,96.027,96.029,96.053,95.463,95.576,95.254,95.116,94.506,94.267,93.934,93.866
"66","58","      Department stores","PK45213",103.516,103.971,103.333,102.975,102.728,102.448,102.42,101.84,101.134,101.42,101.035,100.891,100.277,100.112,99.897,99.719,99.651,98.833,98.24,97.854,97.352,97.007,96.321,95.59,94.593,93.897,93.473,93.011,92.845,92.794,92.004,92.102,91.815,91.468,90.679,90.362,89.904,89.958
"67","59","      Other general merchandise stores","PK45293",96.969,97.149,97.206,97.3,97.517,97.776,97.998,98.203,98.485,98.722,98.954,99.117,99.318,99.939,100.296,100.388,100.77,101.07,101.341,101.188,101.113,101.175,100.95,100.612,100.287,99.87,99.496,99.356,99.501,99.59,99.159,99.285,98.933,98.954,98.469,98.285,98.037,97.882
"68","60","    Other retail stores","PK44X3",96.589,94.762,94.774,94.814,92.712,91.787,91.477,90.927,90.325,93.08,94.895,96.104,98.812,99.913,100.62,100.629,99.996,101.147,99.039,95.084,93.933,96.842,97.046,97.499,100.862,98.041,98.714,98.146,100.86,103.057,102.993,104.95,104.631,106.352,110.486,109.832,109.208,112.587
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
