"","Table 3#9#1# Percent Change From Preceding Period in Real Govern","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"27","20","      Equipment and software","B880RL1",28.7,9,-28.3,124.2,556.8,25,-30,-2.1,34.2,-8.3,9.5,170.1,-35,-5.5,-38.6,76,-15.7,17.9,-26.5,-9.4,15.2,-1.3,7.4,-28.5,1.2,-20.1,7.4,-10.2,-13.4,-28.8,56,70.4,34.3,43.6,28.1,28.7,7.7,-10.9,-15.2,-2
"28","21","State and local","A829RL1",10.1,4.3,-4.7,-10.4,5.1,3.2,0.6,0,5.9,9.9,-3.3,-6.3,-9.3,-9.1,-3.6,3.5,10,13.8,6.4,15.2,8.2,0.8,1.7,4.9,8.7,7.2,3.2,5.9,8.5,3.8,4.4,6.2,3.1,6,6.8,6.7,6.3,5.1,5.9,3.4
"29","22","  Consumption expenditures","A991RL1",6.5,5.8,1.5,-1.6,2.5,6.1,-18.6,8.4,0.6,6.2,5.8,3.6,2.4,-0.9,-2,2.4,3.1,6.7,1.1,8.9,6.2,-0.3,1.4,3.4,4.2,6.6,3.6,5.3,7.8,4.2,5.7,5.5,2.9,4.9,6.6,6.6,6.1,4.6,6.5,6.3
"30","23","  Gross investment","A799RL1",17,1.7,-18,-34.3,14.8,-5.9,67.4,-13.5,16.5,16.3,-18,-26.7,-41.2,-47,-17.8,15.9,79.2,53.6,26.7,35.1,13.5,3.5,2.4,8.7,19.4,8.6,2.4,7.2,9.9,2.9,1.3,7.8,3.6,8.8,7.2,7.1,6.7,6.2,4.5,-4.2
"31","24","    Structures","A842RL1",20,0.9,-19.1,-36.1,17.1,-6.4,74,-15.7,17.1,16.5,-18.1,-26.9,-42.6,-48.9,-19.9,18.7,81.7,54.1,26.8,38.7,14.6,3.4,1.9,8.9,20.2,9.6,1.6,5.9,10.9,2.6,0.4,8.3,3.3,8.3,6.7,7,6.3,6.4,4.5,-5.3
"32","25","    Equipment and software","B881RL1",-14.1,12.1,-6.4,-17.8,-5,-0.4,-2.9,28.5,8.9,13.9,-17.8,-24.7,-23.4,-25.8,-1.2,-1.6,61.1,49.9,25.9,5.3,1.7,4,7.9,6.1,11.1,-2.8,12.4,22.7,0,7,12.5,3.2,6.9,14.6,13.3,7.2,10.4,4.1,4.4,7.9
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
