"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"11","3","  Goods","DGDSRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1870.6,1883.2,1906,1924,1939.5,1977.3,1991.3,2015.5,2042.7,2041.1,2094.5,2123.1,2139.6,2195.8,2229.3,2297.4,2325.9,2381,2409.6,2451.5,2489,2502.6,2529.3,2551.9,2558.6,2565.9,2585.2,2679.4,2674.1,2686.8,2721.4,2729.1,2747.5,2798.2,2872.7,2890.4,2920.6,2927.1,2963,3002.4,3035.4,3077.2,3100.9,3093.4,3146.8,3157.7,3184.5,3226.7,3247.6,3263,3287.3,3295.8,3249,3252.7,3187.9,3082,3082.6,3064.3,3120.7,3124.6,3173.3,3202.9,3240.8,3306,3344.4,3331.2,3342.7,3387.2,3438.5
"12","4","    Durable goods","DDURRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497.3,502.4,516.6,525.5,531.2,548.1,552,562.8,578.1,576.2,601.9,617.2,622.4,654.1,673,713,714.7,749.1,767.4,776.9,820.6,805.8,819.8,825.8,839.8,839.4,849.5,920.9,910.4,919.9,946.9,934.4,937.2,975.9,1016.9,1026.5,1040.9,1047.5,1068.2,1087.2,1098.7,1130.6,1146.6,1117.5,1160.9,1161.8,1179,1195.2,1210.1,1227,1242.7,1249.9,1218.7,1209.8,1170.8,1088,1094.6,1083.4,1134.5,1120.8,1147.5,1169.3,1194.1,1242.4,1277.4,1260.2,1277.8,1326.5,1374.5
"13","5","    Nondurable goods","DNDGRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1428,1435,1440.1,1447.5,1456.9,1475.6,1486.1,1498.2,1507.3,1508.1,1532.4,1543.1,1554.6,1573.8,1585.4,1607,1636.7,1652.1,1660,1694,1679.3,1712.9,1724.5,1741.4,1731.2,1739.5,1747.9,1763,1770.2,1772.5,1777.5,1800,1816,1825.2,1856.9,1864.8,1880.4,1880.3,1895.1,1915.4,1937,1946.7,1954.4,1975.4,1986.1,1996.1,2005.9,2031.9,2038.2,2037.5,2046.9,2049,2032.1,2043.5,2015.4,1985.3,1980.3,1972.8,1982.7,1997.7,2021.1,2030.8,2045.8,2067.4,2075.4,2076.6,2073.7,2077.6,2088.5
"14","6","  Services","DSERRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4159.4,4197,4226.9,4250.8,4292.4,4320.9,4344,4369.6,4405.1,4435,4487.8,4533.4,4583.9,4639.8,4696.1,4728.8,4768.8,4822.7,4880.6,4940.4,5015.2,5073.5,5120.5,5165.4,5189.7,5211.7,5225.8,5249,5283,5310.9,5329.6,5350.4,5372.4,5401.1,5435.9,5463.3,5507.1,5538.2,5576.3,5629,5664.8,5709,5752,5781.5,5819.1,5862.1,5889.5,5931.9,5962,5982,5998.8,6017.8,6039.7,6032.9,6006.5,5988.8,5953.5,5928.6,5926.8,5932.9,5947.4,5984.3,6008.1,6027.5,6039.1,6067,6096.1,6102.1,6120.6
"15","7","Gross private domestic investment","A006RX1",510.8,506.7,518.5,490.5,475.2,476.7,484.8,456.7,516,532,539,522.2,559.1,593.3,601.8,604.9,643.3,673.4,647,671.8,628.9,625.8,590.5,596.1,491.4,474.4,514.5,528.7,583.4,608.3,609.4,613.7,643.8,693.6,731.4,710.8,724.9,774.6,798.5,816.7,816.6,814.7,798.8,783.9,778.3,708.1,654.1,720.6,792.2,754.5,801.3,770.2,690,689.4,681.3,620.7,642.8,704.8,752.2,831.4,918.4,949.4,971.4,955.5,924,939.9,929.6,965.9,963.9,942.5,913,914.4,942.3,943.6,944.6,1018.3,960.9,984.3,990.6,1003.7,1042.2,1030,1017.9,1007.4,1017.3,1017.6,993.7,930.8,892.9,888.5,910.6,945.4,924.4,985.3,995.5,1027,1051.1,1059.4,1058.6,1114.5,1162.6,1230.4,1208.2,1264.6,1277.4,1243.1,1231.1,1265.8,1282.4,1348.9,1416.9,1413,1446,1538.3,1565.7,1590.7,1666.6,1646.7,1693.9,1748.4,1803.4,1797.1,1842.2,1907.6,1880.9,2011.1,1979.7,1980.7,1876.1,1870,1830.3,1724.5,1781.9,1803.4,1808,1808.3,1810.4,1821.8,1888.4,1959.9,1970.1,2055.7,2082.1,2124.9,2170,2131.3,2155.1,2232.8,2266.3,2263.1,2231.2,2166.7,2145.1,2193,2176.3,2123.6,2055.7,2024,1934.7,1744.6,1490.4,1397.2,1407.3,1522,1630,1728.3,1766.8,1734.5,1750.9,1778.4,1784.2,1875.7,1903
"16","8","  Fixed investment","A007RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220.2,1215.6,1231.6,1257.3,1289.1,1331,1361.8,1384.5,1411.6,1442,1497.5,1510.4,1555.8,1610.1,1640.7,1690.9,1722.2,1762.5,1803.5,1813.7,1866.7,1913.6,1920.4,1926.3,1914.9,1885,1865,1817.8,1801.1,1794.1,1791.9,1778.9,1781.4,1827.8,1887.2,1922.5,1918.7,1977.9,2019.6,2053.7,2078.8,2115.8,2143.1,2151.6,2201.9,2191.9,2163.8,2133.4,2127.1,2145.6,2138.2,2111.5,2066.4,2039.1,1973.5,1835.4,1665.5,1589.8,1592.6,1577.5,1582,1654,1663.5,1693.9,1699,1736.7,1790.4,1817.9,1824.3
"17","9","    Nonresidential","A008RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777.3,782.6,787.9,803.8,823.7,847.4,875.6,899.3,922.2,945.1,993.3,1001.3,1035.9,1073.8,1090,1126,1152.1,1184.4,1218.4,1222.2,1267.6,1314.4,1329,1334.2,1321.7,1286.9,1265.5,1225,1195.8,1176.6,1171.4,1150.9,1147.8,1179.5,1206.8,1224.1,1214.3,1247.1,1281.2,1309.3,1321.1,1340.6,1359.7,1367.9,1426.6,1452.4,1467.7,1475.2,1498.5,1537.5,1571.4,1592.3,1589.1,1580,1539.2,1442.3,1312.9,1257.6,1247,1235.2,1253.3,1308,1343.6,1371.9,1378.9,1413.2,1465.6,1484.2,1476.2
"18","10","      Structures","B009RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336.5,343.2,345.7,342.8,348.9,356.5,360.9,379.3,382.6,379.2,393.5,396.2,392,413.1,413.2,412.6,410.9,405.9,405.6,410.4,418.4,435.7,452.1,454,441.5,443,445.5,403.2,381.4,360.7,344.7,339.6,336.2,346.3,345.6,343.9,341.9,345.9,349.4,349.7,356,354.6,347.2,349.3,364.8,383.7,393.2,394.6,404.8,430.6,454.6,462.9,463.8,474.4,469.9,457.5,415.3,375.4,354.9,323.7,301.5,306.9,310.1,318,305.9,321.9,332.9,332.1,321.7
"19","11","      Equipment and software","B010RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483.2,484.4,487.6,502.3,516,532.1,553.6,564,581.7,603.1,636.6,642,674.6,695.3,709.4,741.6,765.7,797.6,828.2,828.5,864.3,895,897.1,900.6,897.8,864.7,843,836.8,826,823.7,831.3,815.9,815.8,837.7,864.3,882.1,874.5,902.6,932.5,959.6,965.2,985.8,1012.5,1018.8,1062.5,1068.4,1073.8,1079.9,1092.4,1102.9,1109.8,1121.9,1117.2,1094.6,1056.8,969,883.7,874.2,888,912.9,958.8,1010.1,1044.1,1064.5,1086.9,1103.5,1145.7,1166.6,1171.5
"20","12","    Residential","A011RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.7,443,456.7,467,479.3,499.5,498.2,493,494.7,500.9,503.2,508.4,517.5,533,549,562.2,565.5,571.6,576.4,583.4,588,584,573.7,574.2,576.8,584.9,588.1,583.1,598.7,613.4,616.9,626.4,632.4,646.8,679.7,698.2,704.5,731,738.4,744.2,757.8,775.4,783.3,783.5,775.2,740,697.3,660.2,631.3,611.4,570.7,523.4,481.3,462.8,437.8,395.8,354.9,334.3,348.2,344.8,330.8,348.2,321.1,323.1,321.1,324.4,325.4,334.5,349.4
