"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"11","3","Less: Income payments to the rest of the world","A655RX1",21.9,24.5,27.4,28.4,28.8,28.1,27.5,26.2,24.5,25,27.2,28.2,27.9,30.1,30.4,32.7,36.7,40.5,41.8,42.7,44.3,48,50.8,50.7,49.5,46.9,46.7,44.5,47.4,46.8,45.7,44.8,43.2,45.7,47.7,52.2,54.7,62.3,65,73,78.6,83.5,87.9,96.2,102.8,96.6,87.2,104.5,110.9,120,124.2,113.7,118.3,124.4,123.1,115.4,109.1,112.3,121,124.9,137.3,150,156.2,153.1,146.6,145.2,145,144.6,153.8,157.7,147.8,154.1,157.3,163.7,170,177.2,186.1,188.9,200.8,209.7,219.9,230.7,224.3,216.8,220.3,217.4,221.4,210.6,204,192.2,186.5,168.8,164.8,167,159.4,154.9,149.4,160.2,155.6,175.8,174.6,192.1,212.1,229.6,235.4,243.5,257.4,250.3,246.1,254.3,265,274.6,295.1,300.3,312.4,312.9,312.8,319.2,320.7,317.4,316.8,327.7,352.3,359.6,377.8,397.5,392.4,387.1,355.2,317.8,311.8,221.2,272.4,305.8,306.2,273.1,300.4,297.3,308.5,311.1,323.4,362.8,371.6,424,435.3,458.5,473,536.7,566.4,621.9,654.9,668.9,692.4,739.6,714.8,669.7,670,654.2,610.4,571.7,451.1,440.1,431.5,457,454.5,452.5,450.9,487.7,465.2,476.6,459.4,474.4,NA
"12","4","Equals: Gross national product","A001RX1",4271.7,4283,4308.6,4288.5,4282.5,4291.2,4328.7,4280.7,4402.9,4429.4,4461.4,4475.3,4556.1,4662.9,4710,4786.8,4913.7,4972.8,4953.7,5000.8,4966.3,4975.6,4921.9,4895.5,4829.3,4866.2,4950.6,5022.6,5134.3,5174.4,5200,5238.6,5306.1,5409.2,5504.3,5496.9,5523.4,5728.7,5788.8,5872.6,5883.8,5896.8,5952.3,5967.8,5988.3,5860.9,5845.6,5938.6,6064.8,6013.2,6089.3,6022.1,5920.6,5960.6,5926.3,5928.6,6000.8,6138.3,6259.3,6389.9,6507.2,6618.8,6681.9,6728.7,6780,6840,6937.6,6994.5,7055.9,7073,7144.3,7168.5,7210.9,7293.5,7355.6,7483.8,7530.3,7623.1,7658.6,7763.7,7835.6,7892.6,7957.7,7983.3,8063.5,8096.6,8089.6,8050.1,7994.7,8033.4,8062.6,8104.4,8192.3,8278.3,8359.1,8447.8,8472.8,8518,8570.1,8663,8755.9,8870,8924,9022.1,9056.1,9078.7,9137.3,9214.6,9285,9434.1,9511.9,9621.4,9685,9837.4,9951.3,10019.8,10124.7,10212.5,10331.5,10512.2,10619,10707.5,10839.7,11045.6,11069.2,11288.1,11292.8,11386.8,11333.9,11416.9,11360.3,11468.8,11523.3,11564.5,11638.7,11661.7,11694.9,11808.1,12000.8,12136,12234,12285.1,12386.7,12460.7,12623.4,12667.7,12776.9,12812.4,12974.7,13021.6,13009.6,13107.3,13122.6,13248.4,13405.8,13511,13431.7,13476.6,13367.4,12991.9,12785.6,12770.7,12844.9,12971.6,13092.9,13238.4,13328.9,13383.9,13432.2,13504.2,13567.9,13628.5,NA
"13","5","Less: Consumption of fixed capital","A262RX1",327.8,331.6,335.6,339.5,343.5,346.6,348.9,350.1,353.9,357.3,360.5,363.2,366.1,369.6,373.8,378.7,384.2,389.4,394.4,399.2,403.6,407.8,411.8,415.4,418.8,422.2,425.4,428.7,431.9,435.3,439.1,443.1,447.5,452.1,456.9,461.8,466.8,472.3,478,484,490.4,496.7,502.8,508.8,514.6,520.3,525.7,530.8,535.8,540.9,546.4,552.2,558.3,563.9,569,573.7,577.8,582.4,587.3,592.8,598.7,605.3,612.8,621.2,630.4,639.2,647.5,655.4,662.6,670.1,677.9,685.8,693.9,701.8,709.4,716.8,724,731.3,738.8,746.5,754.3,762.2,770.1,778,786,793.4,800.2,806.5,812.3,818.2,824.1,830.2,836.5,842,846.8,850.8,859.6,868.2,876.6,884.9,893,901.7,910.8,920.5,930.6,941.2,952.3,963.8,975.7,988,1001,1014.4,1028.2,1043.1,1058.8,1075.4,1092.8,1110.9,1129.5,1148.7,1168.5,1188.8,1209.5,1230.8,1250.6,1272.9,1293.7,1312.3,1329.9,1345.2,1358.2,1370,1383.1,1394.2,1405.6,1416.2,1426.4,1435.5,1445.7,1457.5,1470.2,1481.6,1494,1507.3,1520.8,1534,1548.2,1562.5,1575,1590.6,1606.2,1622,1638.6,1654.1,1668.5,1682.3,1692.5,1704.8,1716.6,1726.3,1733.2,1736.2,1738.3,1740.6,1743.6,1749.3,1757.6,1767.5,1776.5,1786.2,1797.3,1809.7,1822.2
"14","6","        Private","A024RX1",236.3,239.7,243.1,246.6,250.1,252.9,255,256.3,259.9,263.4,266.7,269.7,272.6,276.2,280.4,285.3,290.7,295.9,300.7,305.2,309.5,313.4,317.1,320.4,323.4,326.3,329.2,331.9,334.6,337.6,340.8,344.4,348.4,352.4,356.7,361.1,365.6,370.5,375.6,381,386.7,392.2,397.5,402.7,407.7,412.5,417.1,421.4,425.5,429.9,434.5,439.4,444.6,449.2,453.4,457.1,460.2,463.7,467.4,471.6,476,481.2,487.1,493.7,501.1,507.9,514.3,520.2,525.5,531.1,536.8,542.7,548.9,554.8,560.6,566.2,571.6,577.2,582.9,588.9,595,601.1,607.1,613.2,619.2,624.8,629.9,634.5,638.6,642.8,647.3,651.9,656.7,660.9,664.4,667.3,674.8,682.3,689.7,697.1,704.3,712.1,720.4,729.3,738.6,748.4,758.6,769.1,780,791.4,803.3,815.7,828.6,842.3,856.9,872.2,888.4,905.1,922.2,939.8,957.9,976.5,995.5,1015.1,1033.3,1053.9,1073.2,1090.4,1106.7,1120.5,1132.2,1142.6,1154.4,1164,1174,1183.2,1191.9,1199.5,1208.2,1218.4,1229.1,1238.6,1249.1,1260.8,1272.8,1284.4,1296.8,1309.3,1320.4,1334.1,1347.8,1361.7,1376.4,1389.9,1402.2,1413.8,1422.9,1432.9,1442.5,1450.1,1454.8,1455.5,1455.4,1455.4,1456.2,1459.8,1465.9,1473.8,1480.7,1488.2,1496.8,1506.5,1516.1
"15","7","        Government","A264RX1",96.3,96.7,97.1,97.6,97.8,98.1,98.3,98.3,98.2,98,97.9,97.4,97.2,97,97,96.9,96.7,96.7,96.7,96.9,97,97.2,97.5,97.8,98.2,98.6,99,99.5,100,100.4,100.9,101.2,101.7,102.2,102.6,103.1,103.5,104,104.5,105,105.6,106.2,107,107.6,108.4,109.2,110,110.8,111.6,112.4,113.2,114.1,114.9,115.8,116.8,117.8,118.8,120,121.2,122.5,124,125.5,127.2,128.9,130.8,132.7,134.7,136.9,138.9,140.9,143,145.1,147.2,149.1,151,152.9,154.7,156.6,158.4,160.2,162,163.8,165.7,167.6,169.6,171.5,173.4,175.2,176.9,178.6,180.2,181.7,183.2,184.5,185.8,187,188.3,189.3,190.3,191.1,191.9,192.7,193.4,194.1,194.7,195.4,196.2,197,197.9,198.7,199.6,200.5,201.3,202.3,203.4,204.5,205.6,206.9,208.3,209.7,211.4,213,214.6,216.2,217.8,219.3,220.8,222.2,223.4,224.8,226.1,227.5,228.9,230.2,231.7,233.1,234.5,236,237.5,239.1,241.1,243.1,244.9,246.5,248.1,249.7,251.4,253.2,254.6,256.5,258.4,260.3,262.3,264.3,266.4,268.6,269.7,271.9,274.1,276.3,278.4,280.5,282.6,284.7,286.8,288.8,290.9,292.9,294.9,297.1,299.5,302.1,304.9
"16","8","          General government","A265RX1",85,85.3,85.6,85.9,86.1,86.3,86.3,86.2,86.1,85.7,85.5,84.9,84.6,84.3,84.1,83.9,83.6,83.5,83.3,83.4,83.3,83.4,83.6,83.7,83.9,84.2,84.4,84.8,85.2,85.5,85.8,86.1,86.4,86.8,87.1,87.5,87.7,88.1,88.5,88.9,89.3,89.8,90.4,90.9,91.5,92.1,92.8,93.4,94,94.6,95.3,95.9,96.6,97.3,98.1,98.9,99.8,100.8,101.8,103,104.2,105.5,107,108.5,110.1,111.8,113.6,115.5,117.2,119.1,120.9,122.8,124.6,126.4,128.1,129.7,131.3,132.9,134.5,136.1,137.6,139.2,140.9,142.6,144.3,146,147.6,149.1,150.6,152,153.4,154.6,155.9,156.9,158,158.9,159.8,160.6,161.4,162,162.5,163.1,163.6,164.1,164.5,165.1,165.7,166.2,166.9,167.5,168.2,168.9,169.6,170.4,171.3,172.1,173,174,175.1,176.3,177.6,178.9,180.1,181.4,182.7,183.9,185.1,186.2,187.2,188.3,189.4,190.5,191.6,192.7,193.8,194.9,196,197.1,198.2,199.4,201.1,202.6,204,205.4,206.6,207.9,209.4,210.9,212.4,214.1,215.7,217.3,219,220.8,222.6,224.6,225.5,227.5,229.4,231.3,233.1,234.9,236.7,238.4,240.2,241.9,243.6,245.3,247,248.8,250.8,253,255.3
"17","9","          Government enterprises","A266RX1",10.4,10.6,10.7,10.9,11,11.1,11.3,11.4,11.5,11.6,11.8,11.9,12.1,12.2,12.4,12.5,12.7,12.9,13,13.2,13.4,13.5,13.7,13.9,14.1,14.2,14.3,14.5,14.6,14.8,14.9,15,15.1,15.3,15.4,15.5,15.6,15.8,15.9,16,16.2,16.4,16.5,16.7,16.9,17.1,17.3,17.4,17.6,17.8,18,18.2,18.4,18.5,18.7,18.9,19.1,19.2,19.4,19.6,19.8,20,20.2,20.4,20.6,20.9,21.1,21.3,21.6,21.8,22,22.2,22.4,22.6,22.9,23.1,23.3,23.5,23.7,23.9,24.2,24.4,24.6,24.8,25.1,25.3,25.6,25.8,26.1,26.3,26.6,26.8,27.1,27.4,27.7,27.9,28.2,28.5,28.7,29,29.2,29.4,29.7,29.9,30,30.2,30.5,30.7,30.9,31.1,31.3,31.5,31.6,31.8,32,32.3,32.5,32.8,33.1,33.4,33.7,34.1,34.4,34.7,35.1,35.4,35.7,35.9,36.2,36.4,36.7,37,37.2,37.5,37.8,38.2,38.5,38.9,39.3,39.7,40.1,40.5,40.8,41.2,41.5,41.7,42,42.3,42.2,42.4,42.7,43,43.2,43.5,43.8,44,44.2,44.4,44.7,45,45.3,45.6,46,46.3,46.6,47,47.3,47.6,47.9,48.3,48.7,49.1,49.6
"18","10","Equals: Net national product","A027RX1",3987.2,3993.7,4015,3988.8,3977.5,3982.3,4018.1,3966.7,4088.2,4111.2,4140,4150.8,4230.7,4336.6,4379.6,4452.7,4576.9,4631,4604.7,4647.1,4605.5,4609.6,4548.4,4516,4442.5,4476.2,4559.5,4629.9,4741.6,4778.6,4800,4834.5,4898.6,4999.6,5092,5077.2,5097.7,5304.1,5358.7,5437.5,5440.1,5444.8,5493.9,5501.6,5514.6,5373.4,5349.8,5439.6,5564.2,5502.9,5574.4,5495.8,5380.8,5414.6,5371.5,5367.3,5436.9,5573.7,5692.7,5820.8,5934.4,6041,6096.1,6133.4,6174.2,6224.7,6314.6,6363,6416.8,6424.6,6488.1,6502.8,6535.9,6610.9,6665.1,6787.6,6826.4,6912.5,6939.5,7037.8,7101.8,7150.4,7207.3,7223.7,7296,7320.9,7305.3,7257.1,7193.4,7225.9,7248.6,7284,7366.3,7447.6,7524.3,7609.9,7625.1,7661,7704.3,7789.2,7874.3,7980.4,8024.7,8113.4,8136.3,8147.1,8194,8259.5,8317.4,8454.7,8519.1,8615.1,8664,8801.9,8899.7,8951,9038,9107.1,9207.1,9368.4,9454.6,9522.3,9633.9,9819.7,9821.9,10018.5,10001.1,10076.1,10004.8,10072.5,10002.3,10099.1,10140.3,10170.3,10233.1,10245.4,10268.5,10372.6,10555.2,10678.4,10763.7,10803.4,10892.7,10953.4,11102.6,11133.7,11228.7,11249.9,11399.7,11430.9,11403.3,11485.2,11483.8,11594.2,11737.1,11828.4,11738.8,11771.3,11650.7,11265.8,11053.2,11035.7,11107.7,11231.8,11349.5,11488.7,11570.7,11615.9,11655.3,11717.7,11770.3,11818.8,NA
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross domestic income \1\","A261RX1",4211.1,4238.5,4269.5,4263,4231.7,4229.8,4266.5,4224.1,4310.4,4341.6,4378.9,4433.9,4495.4,4555.4,4631.9,4757.3,4844.5,4870.6,4883.1,4938.3,4895.7,4875.6,4854.9,4790.6,4732.9,4775.7,4874.6,4923.6,5024.8,5056.4,5092.4,5109.8,5158.6,5289.2,5392.7,5425.4,5453,5620.2,5657.4,5705.3,5754.2,5721.1,5729.1,5768.8,5769,5658.9,5689.9,5835.2,5885.8,5883.5,5975.7,5901.6,5857.9,5885.2,5857.6,5829.6,5898.1,5995.5,6079.9,6206.5,6372.9,6493,6567.3,6641.3,6695.3,6736.2,6813.5,6854.5,6927,6944.1,6985.7,7035.1,7093.8,7203.9,7311.5,7415.4,7500.7,7586.1,7647.8,7751.4,7794,7774.2,7808.4,7819.1,7884.5,7938.4,7929.6,7889.1,7872.3,7893,7908.1,7934.3,8056.6,8119.2,8144.1,8226.7,8228.3,8319.7,8343.1,8479.4,8576.4,8680.8,8772.8,8877.6,8923.4,8966.2,9070.4,9126,9211.1,9354.8,9445.7,9566.9,9668.9,9780.9,9940.4,10059.2,10166.2,10309.6,10460.1,10561.8,10703.3,10775,10872.6,11059.6,11284.5,11347.1,11430.8,11408.3,11522.7,11482,11428.8,11373.6,11514.3,11577.4,11564.3,11612.5,11647.6,11765.3,11866.2,11996.4,12094.2,12211.9,12341.1,12431.8,12562.2,12655.7,12750.7,12902.2,13106.3,13150.8,13214.2,13300.7,13214.2,13232.2,13189.4,13236.9,13321.4,13283.5,13194.8,12857.4,12624.9,12558.8,12599.6,12746.8,12944.3,13064.4,13146.3,13194.2,13274.1,13280.6,13365.5,13508.7,NA
"21","12","  Gross national income \2\","A023RX1",4242.4,4268.7,4298.4,4291.9,4261.2,4260.3,4296.6,4251.8,4343,4376,4410,4466.8,4529.5,4589.2,4668.4,4793.4,4886.1,4915,4934.8,4990.3,4956.6,4933.2,4907.4,4835.9,4771.1,4814,4916,4972.9,5072.7,5106.3,5142.7,5161.2,5217.3,5346.8,5449.8,5476.1,5511.6,5669.2,5710.9,5766.5,5816.9,5791.4,5812.9,5852.2,5853.8,5737.4,5763.7,5895.4,5949.9,5943.9,6039.9,5973.7,5926.1,5961.8,5922.6,5892.2,5960,6061.4,6147,6276.1,6437.5,6557.8,6631.5,6698.3,6740.7,6784.5,6853.4,6899.1,6966.1,6972.1,7017.1,7056.4,7117.8,7234,7340.8,7447.4,7540.8,7622.8,7680.8,7787.8,7829.8,7808.4,7845.5,7864.4,7927,7982.3,7966.6,7957.2,7923.6,7929.3,7940.1,7976.4,8098.3,8160.1,8180.8,8264.6,8275.9,8358.4,8389.4,8506.1,8611.8,8711.1,8800.1,8904.2,8961.9,9008,9094.8,9164.2,9256.8,9389.8,9476.8,9604.1,9695.9,9817.1,9967.5,10078.7,10196.2,10336.6,10471.7,10575.4,10730.1,10807.5,10901.5,11100.4,11320.1,11386.5,11465.4,11470.3,11568.8,11537.2,11458.8,11472.4,11570.6,11613.7,11616.5,11683.6,11703.6,11835.8,11936.3,12093.8,12210.4,12301.2,12441.1,12505.2,12670.6,12752.6,12857,12979.1,13184.6,13223.7,13273.3,13369.6,13280.6,13307.1,13325.4,13421.9,13486.3,13449.7,13375.4,12965.8,12747.2,12688.3,12749.9,12904.9,13099.4,13244.3,13335.6,13361.9,13478.4,13513,13601.9,13708.2,NA
"22","13","  Net domestic product","A362RX1",3955.5,3963.1,3985.7,3959.6,3947.5,3951.3,3987.6,3938.7,4055.1,4076.3,4108.4,4117.5,4195.9,4302.4,4342.6,4415.8,4534.4,4585.8,4552,4594.1,4543.2,4550.6,4494.8,4469.9,4403.8,4437.2,4517.3,4579.5,4692.8,4727.8,4748.7,4782,4838.5,4940.7,5033.7,5025.6,5037.9,5254.4,5304.3,5374.9,5376,5372.8,5407.7,5416.1,5427.5,5293,5274.1,5378.2,5498.7,5441.2,5508.9,5422,5311,5336.1,5305.1,5303.5,5373.8,5506.5,5624.2,5749.6,5868.7,5974.9,6030.7,6075.4,6128.2,6175.6,6274.3,6317.9,6377.4,6396.6,6456.7,6481.8,6512.1,6580.8,6635.9,6755.5,6786,6875.7,6906.4,7001.4,7066.1,7116.1,7170.1,7178,7253.2,7276.7,7268.1,7188.2,7141.6,7189.4,7216.7,7241.6,7324.5,7406.4,7487.4,7571.8,7577.3,7622.1,7657.8,7762.7,7838.9,7950.2,7997.6,8086.9,8097.7,8105.2,8169.8,8221.3,8271.6,8419.7,8488,8577.9,8637.1,8765.6,8872.8,8931.7,9008.2,9080.3,9195.7,9355,9427.9,9489.8,9605,9779,9786.4,9979.2,9966.6,10014.2,9958.7,10017.3,9972.5,10000.2,10084.1,10134,10181,10174.3,10212.5,10302.1,10485,10581.1,10647.7,10714.2,10792.7,10879.9,10994.2,11036.7,11122.4,11173.1,11321.4,11358.1,11344.1,11416.4,11417.4,11519.3,11601.1,11643.3,11573.9,11605.2,11470.2,11157.4,10930.8,10906.2,10957.3,11073.6,11194.4,11308.9,11381.6,11448.2,11451.3,11485.7,11534.5,11619.5,11680.6
"23","14","  Net domestic income \3\","W256RX1",3925,3948.3,3975.2,3963,3925.5,3919.4,3954.4,3908.8,3993.2,4021,4055.2,4108.5,4168.3,4226.1,4299.4,4422.8,4505.8,4526,4532.4,4583.2,4533.2,4506.7,4479.8,4408,4343.3,4383,4481.3,4527.9,4628.7,4656.9,4689.2,4701.5,4746.2,4875.7,4976.9,5004,5025.7,5192.3,5223,5264.4,5306.3,5263,5262.4,5295.4,5287.1,5164,5188.6,5333,5378.8,5368.8,5457.3,5371.3,5316.7,5337.3,5301.2,5265.5,5331.3,5426.4,5507.3,5631.5,5796.3,5911.7,5978.6,6044,6087.6,6118.3,6187.2,6219.4,6284.7,6292.5,6325.3,6366,6416.2,6519.6,6620.6,6718.1,6796.9,6875.5,6929.3,7026.1,7060,7029.7,7054.9,7056,7113.3,7159.6,7142.1,7092.9,7068.8,7083,7091.5,7110.9,7228.5,7285.9,7305.8,7385.4,7376.8,7459.8,7473.8,7603.1,7692.4,7788.6,7871.7,7967.1,8001.9,8033.3,8126.7,8170.1,8242.9,8374.8,8452.5,8560.3,8648.2,8745.1,8889.2,8991.1,9080.3,9205.5,9337,9418.8,9539.7,9590.5,9667.3,9834.2,10039,10078.1,10140.2,10098,10194.7,10137.9,10071.3,10003.7,10131.4,10183.4,10158.7,10196.2,10221.2,10329.9,10420.5,10538.8,10624,10730.2,10847.2,10924.5,11041.3,11121.6,11202.6,11339.8,11531.5,11560.4,11608,11679,11575.5,11577.9,11520.6,11554.3,11628.5,11578.3,11478.1,11131.2,10892.5,10824,10862.9,11007.3,11200.9,11314.8,11388.2,11426.3,11497.2,11494.5,11568.3,11698.7,NA
"24","15","  Net domestic purchases","W367RX1",4057.6,4059.9,4085.9,4048,4032.7,4030.2,4067.7,4019,4134.3,4175.2,4203.1,4216.6,4307.6,4414.1,4445.2,4521.4,4635.3,4662,4616.5,4643,4571.6,4579.9,4539.8,4499.6,4386.3,4401.9,4520.1,4579.7,4721.7,4770.8,4797.2,4841.4,4928.3,5024,5106.9,5120.1,5156.3,5329.3,5381,5439.6,5438.5,5437,5443.9,5431.7,5427.8,5235.3,5172.5,5310.5,5444,5385,5457.5,5386.2,5284.5,5296.7,5316.4,5316.5,5391.3,5563.3,5717.7,5862.4,6021.1,6142.5,6204.6,6259.1,6296.3,6378.8,6478.2,6534.4,6577.1,6621.2,6689.7,6701.1,6726.3,6792.6,6838.7,6954.9,6947.4,7008.9,7046.7,7146.3,7194.2,7217,7261.6,7273.2,7343,7354.5,7336.9,7227,7165.6,7200,7232.4,7257.4,7331.7,7427.5,7504.1,7605.2,7628.1,7681.5,7732,7847.2,7937.4,8056.3,8098,8196.1,8212.9,8217.6,8242.8,8293.8,8367.6,8523.8,8621.3,8669.4,8758.7,8884.5,9011.1,9099.6,9218.8,9334.3,9473.4,9634.9,9751.6,9845.2,9983.4,10164.9,10214.4,10422.4,10437.3,10493.5,10429.2,10478.7,10456.2,10497.6,10602.4,10674.6,10740.3,10773.6,10802.4,10919.1,11093.1,11199.1,11282.2,11401.7,11498.7,11606.3,11708.9,11745.9,11843.7,11918.8,12054.5,12091.5,12101.3,12111.3,12120.7,12209,12239.6,12207.5,12125.1,12089.5,11930.5,11628.4,11325.8,11230.3,11299.9,11411.2,11562.1,11738.2,11832.6,11854.5,11868.8,11895.1,11929.6,12022.9,12083.7
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
