"","Table 4#3BU# Relation of Foreign Transactions in the National In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108"
"51","43","Equals: Current taxes and transfer payments to the rest of the world, net, NIPAs","A123RC0",24468,28483,29438,28665,24064,25538,26351,31287,27876,26144,27353,34583,28131,27079,30874,35514,31021,35653,34561,25704,-54254,-9402,17063,26960,33985,38655,43425,51580,38826,41959,45207,55427,39731,41474,46134,56974,43713,42522,44197,45766,51398,44640,45155,56859,46234,47352,49032,63078,55004,56235,59533,69360,54547,56040,55114,64818,58710,60952,64210,80371,68624,71277,72659,77708,82630,68600,68733,74080,81559,79586,79718,81919,100657,94227,93308,100255,123968,109919,107816,118115,94270,105132,109531,97075,139371,116568,123319,125592,145616,141896,138025,128241,128165,138243,145445,136043,153954,142022,148408,141654,157498,151613,143754,145479,152309
"52","44","Balance on current account, ITAs (34-40)","B1265C0",-136836,-142768,-152196,-156904,-157060,-159940,-160516,-165128,-131808,-115584,-111696,-125548,-113968,-100672,-88200,-95100,-94584,-78096,-86148,-57032,39828,10100,-16744,-21604,-24936,-47560,-58812,-75148,-59108,-82716,-85208,-112232,-99924,-114312,-126432,-145780,-125736,-128052,-107908,-92588,-109760,-119360,-144232,-125740,-144316,-115192,-130868,-172504,-176016,-205396,-235556,-243296,-252728,-288524,-323428,-341932,-394528,-397644,-431616,-441572,-428988,-389148,-417436,-350808,-415176,-460800,-462096,-490904,-538228,-519264,-517552,-501332,-544260,-622136,-633140,-714544,-696464,-714508,-738384,-833744,-791376,-802284,-857592,-751232,-790688,-750204,-676108,-624208,-708928,-701052,-694432,-604136,-393996,-347928,-382788,-402876,-443976,-446848,-458292,-418684,-479992,-476472,-432636,-474624,-549256
"53","45","Less: Gold (35)","A2031C0",-6804,1488,1136,-2908,-1928,-1068,-1836,-3536,-124,-856,-408,-992,-2444,-2444,-2342,-3750,-808,-2151,-1203,-211,-2348,-2102,-1556,-2271,-520,-3281,-2335,-2445,-1461,-4434,-5552,-478,-4102,-2774,-1982,-2623,-2314,-6670,-2711,-3472,-4040,-5781,-4994,-3661,-5698,-5471,-2935,-3829,-4596,-3833,-4813,-2164,-2387,-2075,-3499,-2988,-2736,-1674,-2282,-2623,-1824,-1268,-2115,-2062,-1520,-2207,-1525,-1153,-895,-905,-1147,-905,-1924,-1658,-1076,-1857,-403,-624,-1388,-1945,-759,-229,1231,-8,-739,2645,-304,767,2749,2434,1084,2145,2014,-1012,-39,-1129,1014,-2683,2502,-8903,6784,1687,14024,7683,13220
"54","46","      Statistical differences (36-41)","B1266C0",2,1,4,-6,1,-2,2,12,2,2,1,-8,29,7,28,19,-10,-33,-20,-22,-53,-56,-56,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,-121,-601,270,825,982,293,1775,1355,1578,1068,2385,1493,1513,1921,2495,2155,1849,3043,2669,2065,2083,3120,3175,1421,1729,2971,5507,3222,6032,1566,883,460,15721,6634,4740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
"55","47","      Other items (37)","B1267C0",0,0,0,0,0,0,0,0,0,8,20,12,48,48,60,40,52,48,48,76,172,864,484,260,168,192,320,1404,1760,788,300,360,460,492,920,444,724,596,892,688,604,672,984,572,496,488,476,712,588,408,604,980,596,686,793,655,943,765,2027,597,858,770,1240,479,595,726,970,509,869,908,658,726,948,997,1066,1065,1311,1331,1520,1618,1350,1093,1237,992,1464,1353,1611,1402,1400,1622,1844,1598,1630,1460,1536,1338,2027,2257,1983,1537,1535,1330,1823,1516,1436
"56","48","Plus: Adjustment for U.S. territories and Puerto Rico (38-42)","B1268C0",1707,2385,3103,3680,4182,4479,4624,4581,4808,4768,4842,4928,4896,4695,4272,3914,3758,3075,2583,2542,4504,3352,2562,2722,2781,5058,4089,5658,2852,5388,3396,4698,4192,3730,4522,5912,5735,3356,7055,5534,4245,5803,7586,9217,7947,9084,6367,6405,7939,6694,7531,7099,7594,8017,7072,8017,7936,6764,2039,6045,6476,4805,4913,6053,9262,6940,6290,4034,7069,2798,6471,4584,9005,9065,3825,1797,4217,13061,6806,9919,5634,-1847,8299,13423,-2106,3092,2051,9869,3804,-1537,1446,3735,2285,-5629,3237,4871,-5694,-924,-1799,-19432,10619,5341,13538,7486,10738
"57","49","Equals: Balance on current account, NIPAs (39-43)","A124RC0",-128327,-141872,-150233,-150310,-150951,-154391,-154058,-157023,-126878,-109970,-106467,-119632,-106705,-93588,-81674,-87495,-90060,-72885,-82390,-54333,46561,14746,-13054,-16816,-21817,-39417,-52729,-68448,-56552,-73696,-76577,-107421,-92095,-108299,-120841,-137680,-118422,-118619,-99036,-84266,-102066,-108455,-132625,-113427,-131166,-101118,-122044,-162989,-164077,-195274,-223815,-235013,-243693,-278999,-313060,-331866,-385627,-390951,-429616,-435279,-422893,-385430,-412713,-345548,-406496,-453899,-457179,-488728,-533292,-518319,-513627,-499237,-536338,-614490,-632419,-715128,-694581,-703887,-734679,-829009,-789563,-811029,-853325,-739685,-793976,-766839,-681986,-621253,-709270,-706647,-695906,-604145,-395350,-354003,-381048,-398213,-452707,-447350,-464583,-430754,-477688,-474138,-434944,-476331,-553168
"58","50","Capital account transactions, ITAs","W371RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,688,0,0,28196,4272,396,15840,8,52,248,-6116,20,2488,52,272,44,32,3464,912,40,32,-476,1776,-448,8,8,8,8,64,352,452,156,8,-16,52,-16,28,4,12,16660,0,-8,40,-24,0,-16,-52752,-24,-28,8,276,308,328,5008,1968,-20,224,0,-12692,272,8640,332,-61448,12,4880,1948,8,316,0,-1772,228,8,32,72,-24172,28,80,116,144,224,12,8,584,28,116,3316,1200,220,0
"59","51","Less: Statistical differences \2\","W372RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","52","Plus: Adjustments for U.S. territories and Puerto Rico \3\","W373RC0",120,108,108,108,128,136,144,144,136,132,136,132,132,144,144,144,144,152,156,156,168,172,172,168,172,172,172,172,152,160,176,156,140,148,156,188,204,208,200,180,208,196,196,204,220,224,228,208,208,212,220,252,252,268,292,352,384,380,396,204,228,224,232,348,392,360,364,320,288,352,316,252,260,232,276,252,260,264,256,268,276,276,272,284,256,272,292,356,352,368,372,1312,368,380,448,504,500,556,552,500,496,464,440,448,464
