"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 27, 2014    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2014 2:02:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","26","    Consumption expenditures","A542RC1",17.8,20.5,24.3,27.8,29.6,33.6,38.6,40.8,44.7,49,53,61.3,68.4,71.1,78.3,78.4,86.2,90.7,88.6,86.7,96.7,106.4,113.3,122.7,126.9,132.8,136.6,136.9,146.2,148,154.3,166.8,180.3,202.2,219.5,234.6,247.5,263.6,272.3,297,320.4,350.7,345.8,359.7,359
"34","27","    Gross investment","A798RC1",11.3,11.5,12.1,13.1,13.9,15.3,17.2,19.1,21.3,24.7,26.9,30.1,32.2,31.8,32.6,34.5,37.1,38.5,41.7,42.5,46.1,50.9,55.5,59.2,61.5,59.6,62.7,64.8,64.7,68.4,73.4,74,76.2,81.5,85.4,87.6,90.5,96,98.8,104.4,109,120.4,122.4,118.9,116.1
"35","28","      Structures","A830RC1",1.9,2.1,2.5,2.7,3.1,3.4,4.1,4.6,5,6.1,6.3,7.1,7.7,6.8,6.7,7,7.3,8,9,6.8,6.9,8,9.2,10.3,11.2,10.2,10.8,11.3,9.9,10.8,10.7,8.4,8.1,10,10.3,9.6,8.1,9.4,11.4,11.4,12,16,16.7,14.2,11.8
"36","29","      Equipment","Y066RC1",0.6,0.7,0.8,1.1,1.1,1.5,1.6,1.8,2.3,2.7,2.7,3.2,3.3,3.9,4.3,4.7,5.1,4.8,5.2,6.1,7.2,8.1,8.9,10,9.9,7.5,8.6,9.7,10,10.2,11.9,10.8,10,12,12.4,13.4,15.2,17.4,16.1,17.6,17.7,19.1,18.5,19.5,19.1
"37","30","      Intellectual property products","Y067RC1",8.8,8.8,8.9,9.2,9.6,10.4,11.5,12.7,14,15.9,17.9,19.8,21.2,21.1,21.6,22.8,24.6,25.7,27.4,29.6,31.9,34.8,37.4,38.9,40.4,41.9,43.4,43.8,44.9,47.5,50.7,54.8,58.1,59.6,62.7,64.6,67.3,69.2,71.3,75.5,79.3,85.3,87.2,85.3,85.3
"38","31","        Software","Y068RC1",0.3,0.4,0.4,0.5,0.6,0.8,1,1,1.1,1.3,1.6,2.1,2.5,2.8,3.3,3.7,4.1,4.3,4.8,5.2,5.8,6.2,6.6,6.7,6.8,6.8,7,7.3,7.7,9.2,10.4,11.6,12.3,11,11,11.4,12.3,13.1,14.2,15.2,15,16,16.8,17.2,17.6
"39","32","        Research and development","Y069RC1",8.6,8.4,8.4,8.7,9,9.6,10.5,11.7,12.9,14.6,16.3,17.7,18.6,18.3,18.3,19.2,20.5,21.4,22.7,24.3,26.1,28.6,30.9,32.2,33.5,35.1,36.3,36.5,37.1,38.3,40.3,43.2,45.8,48.6,51.6,53.2,54.9,56.1,57.2,60.3,64.3,69.3,70.4,68,67.7
"40","33","State and local","A829RC1",109.3,121.4,134.9,146.7,160.8,185,210.2,222.1,237,260.7,287.8,318.5,343,364.4,385.6,417.5,459.2,496.1,530.5,569.3,620.5,678.3,717.4,758.8,787.7,831.1,876.8,918.2,971.8,1029.4,1115.6,1202,1289.5,1354.3,1396,1465,1547.4,1640.2,1752.2,1847.6,1871.4,1870.2,1854.7,1871.3,1879.6
"41","34","  Consumption expenditures","A991RC1",80.4,92.1,104.2,115.4,126.8,144.5,165.6,177.2,193,209.9,229.4,252.8,276.1,297.4,316.7,340,371.8,399.9,428.3,458.9,501.3,546.2,580.1,619,646.5,682.2,716.8,748.1,785.9,835.7,902,969.1,1039.7,1091,1127.1,1187.6,1256.6,1325.9,1411.4,1488.7,1508.4,1518.3,1517.4,1536.4,1548.1
"42","35","  Gross investment","A799RC1",28.8,29.3,30.7,31.3,34,40.5,44.6,44.9,44,50.8,58.4,65.7,66.9,67,68.8,77.6,87.3,96.2,102.2,110.4,119.2,132.2,137.3,139.7,141.2,148.8,160,170.2,185.8,193.7,213.6,232.9,249.8,263.3,268.9,277.5,290.8,314.3,340.8,358.8,363,351.9,337.2,334.9,331.5
