"","Table 1#10# Gross Domestic Income by Type of Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"11","3","  Wages and salaries","A4102C1",499,511.4,526.4,536.4,545.1,549,555.7,556.3,570.5,580.4,588.8,598.4,618.5,630.4,642.3,664,683.4,700.2,716.2,735.4,748.2,765.3,783.2,792.5,792,800.4,821.3,845.8,871.3,889.4,908.5,930,950.1,981,1007.6,1038.2,1064.3,1106.1,1137.2,1175.1,1208.4,1234.1,1268.3,1302.8,1335,1351.1,1376.2,1431.8,1469.2,1496.4,1528.9,1551.7,1567.4,1581.1,1596.3,1606,1623.2,1655.3,1692,1740.3,1785.4,1828.4,1866.9,1899.7,1934,1963.5,1996.3,2037.3,2065.5,2083.7,2113.4,2153.9,2195.3,2231.6,2271.8,2331.8,2368.2,2423,2463.7,2507.7,2543.2,2564.6,2593.3,2636.2,2689,2738.1,2771,2775.9,2778.3,2803.9,2829.3,2857.4,2916.4,2955.8,2979,3022.8,3021.6,3068.8,3096.6,3143.6,3156.7,3228.7,3262,3314.9,3364.6,3399.3,3442.3,3482.2,3529.8,3594.7,3650.8,3707.2,3781.5,3839.9,3908.2,3995.5,4080.7,4150.6,4221.4,4291.9,4375.9,4418,4479.2,4587.7,4759.3,4786.7,4879.2,4904.6,4989.8,4970.9,4943.9,4942,4960.2,5008.7,5018.4,5029.6,5039.2,5110,5175.1,5260,5290.1,5393,5501.2,5540.3,5590.7,5650.8,5748.5,5822.3,5987.3,6026.7,6072.1,6189,6358.1,6381.8,6404.2,6478.6,6551.5,6543.1,6555.2,6524.5,6240.2,6265.2,6247.2,6287.7,6247,6373.6,6434.8,6486.8,6591.3,6623.5,6697.8,6652.4,6849.5,6887.6,6915.8,7102.8,7000.2,7107.8,7153.1,7232.8,7358.9,7424,7523.4,7642.4,7692.1,7740.2
"12","4","      To persons","W270RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2062.7,2081,2110.8,2151.3,2192.7,2229.1,2269.6,2329.7,2366.3,2421.1,2462,2505.8,2541.2,2562.4,2591,2633.6,2685.7,2734.7,2767.5,2772.2,2774.7,2800,2825.2,2852.9,2911.7,2951,2974.3,3018,3016.7,3063.7,3091.5,3138.2,3151,3222.7,3256.1,3308.9,3358.4,3393.1,3436.1,3475.8,3523.7,3588.4,3644.5,3700.5,3775,3833.3,3901.4,3988.6,4073.9,4143.8,4214.4,4284.6,4364.7,4406.5,4467.8,4576.1,4748.5,4775.7,4868.2,4893.4,4978.2,4959.3,4932,4930.1,4948,4996.1,5006.3,5017,5026.3,5097.3,5162.2,5246.9,5276.6,5378.9,5487.4,5525.9,5575.1,5634.9,5732.5,5806.2,5971.1,6010.2,6055.8,6172.3,6342.7,6365.7,6388.7,6462.7,6533.7,6526.2,6538.5,6507.6,6224.9,6250.6,6233.2,6274,6233.7,6359.6,6420.4,6472.7,6577.5,6609.4,6683.5,6637.8,6835,6872.3,6900.5,7088.1,6984.8,7091.8,7137.1,7216.9,7343.1,7407.6,7507,7625.7,7675.5,7723.2
"13","5","      To the rest of the world","B4189C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.7,2.6,2.7,2.6,2.5,2.2,2.1,1.9,1.9,1.7,1.9,2.1,2.2,2.3,2.6,3.3,3.4,3.5,3.8,3.6,3.9,4.1,4.5,4.7,4.8,4.7,4.9,4.8,5.1,5.1,5.5,5.8,6,6,6.1,6.2,6.3,6.3,6.4,6,6.2,6.3,6.6,6.4,6.6,6.7,6.9,6.8,6.8,7.1,7.3,11.2,11.5,11.4,11.6,10.8,11,10.9,11.1,11.6,11.6,11.8,11.9,12.2,12.5,12.1,12.6,12.9,12.7,12.9,13.1,13.5,14.1,13.8,14.4,15.6,15.9,16.1,16.1,16.2,16.5,16.3,16.7,15.4,16.1,15.5,15.9,17.9,16.8,16.7,16.9,15.3,14.6,14.1,13.7,13.4,14,14.4,14.1,13.7,14.1,14.3,14.6,14.5,15.3,15.3,14.8,15.4,16,16,15.9,15.8,16.4,16.5,16.7,16.6,17.1
"14","6","  Supplements to wages and salaries","A038RC1",65.2,66.9,68.6,70.1,71.6,72.9,74.3,75.5,79.4,81.4,83.4,85.8,92.1,94.4,95.8,97.2,104.4,105.4,106.6,108.7,112.7,115.8,119.7,124,129.3,133.8,137.7,140.6,146.4,149,152.8,157.7,166.2,172.5,177.8,182.8,191.6,197,202,208,219,224.2,230.6,237,244.4,249.5,255.1,262.3,276.2,281.3,286.7,291.5,299.2,304.1,309.3,314.6,326.9,333.5,339.5,345.8,361.9,368.6,375.9,383.5,393.3,401.8,410.6,420,429.8,437.2,445.3,453.7,457.3,464.2,471.2,479.6,493.8,504,514.9,528.3,541.8,554.1,565.6,576.6,592,598.9,605.2,609.8,619.1,629,642.7,659.3,684.2,701.6,714.6,722,729.4,737.8,744.7,753.4,764.4,772.6,777,780.1,780.8,782.3,785.4,790,795.5,802.8,809,815.2,822.2,830.2,841.7,857.2,874.1,889.7,904.1,917,929.9,941.7,957.7,979.9,1006.9,1020.7,1041.4,1053.8,1076.7,1086.3,1097.1,1108.3,1122.3,1137,1150.6,1172.1,1195.6,1216.7,1237,1257.1,1284.4,1306.6,1331.2,1348.2,1372.7,1387.7,1405,1414.1,1430.7,1437.7,1447.7,1463.6,1484.2,1495.9,1508.2,1524.1,1538.9,1545.7,1551,1549.9,1531.8,1534.2,1535,1541.3,1562.1,1581.6,1592.8,1599.3,1626.1,1633.4,1642.4,1641.6,1662.9,1671.5,1680.8,1703.4,1705.3,1721.9,1731.8,1742.1,1753.7,1762.7,1776,1792.3,1805.5,1819
"15","7","Taxes on production and imports","W056RC1",80.6,82.9,85.2,86.7,88.5,90.5,92.5,94.1,97.7,98.9,101.7,103.7,104.6,106.8,108.9,111.5,114.6,116.2,118.4,119.7,120.8,124.1,127.1,127.7,128.8,133,138.2,141.1,141.7,144.9,147.7,151.3,154.8,158,161.5,164.3,166.9,173.1,169.7,173.9,176.4,178.5,180.9,184.6,189.5,196.9,204.3,210.6,230.8,235.5,237.5,238.8,237.4,238.3,241.8,246.3,250.7,261.2,267.5,273.7,281.6,287.7,292.2,297.5,301,305.7,311.9,313.9,317.5,319.5,326.2,330.4,336,344.4,352.4,357.4,365.1,372.6,377.6,382.5,391.1,397.4,403.8,403.2,419.4,419.5,426.9,434.2,444.3,451.6,461.2,471.3,476.2,481.1,485.9,490.3,489.8,497.9,505,519.8,531.9,544.2,550.2,554.7,554.9,553.7,559.2,563.9,570.8,577.7,581.6,592.9,595.6,610.3,616.6,624,629.1,635.5,643,650.3,657.5,667.1,679,690.8,698.6,707.3,711.3,717.1,724.1,724.1,725.4,737.2,745,756.6,771.8,777,788.6,800.7,814.8,828,843.4,855.5,868.6,888.4,908.4,929.5,944.7,955.6,975.7,988.3,996.9,1007,1022,1032,1038.8,1045.5,1038.1,1047.9,1049.2,1032.4,1014.1,1019.4,1030.1,1041,1042.2,1054.2,1063.1,1069,1087.6,1104.2,1104,1114.6,1129.1,1129.3,1126.8,1142.9,1168.6,1171.3,1183.2,1188.9,1196.1,1210.2,1221.7,1227,1226.8,1234.1
"16","8","Less: Subsidies \1\","A107RC1",4.3,4.5,4.7,4.7,4.7,4.8,4.7,4.8,4.8,4.8,4.5,4.6,6.1,6.2,7.2,7.1,5.9,5.7,4.7,4.6,3.6,2.9,3.2,3.6,4.2,4.3,4.6,4.9,5.1,4.8,5.1,5.5,5.8,5.9,6.4,10.3,8.7,8.4,8.3,10.4,8.4,8.8,8.1,8.9,9.2,9.6,10.1,10.3,10.6,10.7,11.1,13.5,14,13.6,13,19.4,19.9,21.6,22.2,21.5,21.2,21,20.9,21.2,21.1,21,21.3,22,23.1,24.2,25.5,26.8,28.3,30.4,31.3,31.1,30.4,29.8,29.2,28.6,28,27.4,27.1,27.3,27.1,26.9,26.9,27,27.1,27.2,27.5,28.1,28.6,29.2,30.4,32.2,35.5,37.6,37.7,36,33.6,32.4,31.9,32.2,34,34.6,35.1,35.5,35.5,35.4,35.2,34.8,34.4,33.6,33.4,33.8,33.8,35,36.8,39.9,42.4,45,46.4,46.9,45.1,45.5,45.8,47,55.2,62,71.2,46.4,42.6,39.8,41.4,41.7,45,57.1,47,47.2,44.7,43.7,45.1,52,56.5,60.7,62.1,64.3,55.7,51.5,49.9,48.7,49.5,58.2,55.9,54.7,51.9,51.6,52.1,54.7,55.2,55.4,67.1,55.7,54.9,55.5,56.2,56.9,58.6,59.9,61,60.8,58.4,58.1,56.3,59.4,59.2,59.7,59.5,59,58.1,57.9,58.2,57.5,57.6,58.5
"17","9","Net operating surplus","W271RC1",228.9,229.3,229.3,224.8,217.3,221.5,225.9,223.4,237.2,243.4,248.9,256.9,264,268.2,282.7,303,307.6,311.7,317.5,332.5,323,320.3,322.9,327.1,330.8,344.2,371.3,382.2,401.3,401.8,407.9,410.5,419.5,449.6,471.4,486.5,484.1,527.8,538.7,553.6,560,562.1,563,569.2,569,534.3,565.7,633.8,645.6,651.8,699,682,665.9,687.2,688.7,692.1,719.5,749.2,780,820.9,886.6,917,933.2,948.9,974.6,977.8,996.3,982.9,997.3,988.8,982.3,980.2,1000.5,1045.6,1085.5,1103.5,1130,1151.9,1188.8,1228.6,1252.6,1244.8,1246.7,1224.4,1249.5,1273.6,1261.4,1249.2,1266.9,1270.5,1273.9,1269.4,1311.3,1335.3,1337.9,1380.5,1376.5,1424.2,1422.8,1505.8,1526.4,1564.5,1610.7,1656.3,1665.1,1690,1751.9,1776.6,1831.2,1887.9,1905.5,1958.9,2003.5,2026.1,2096.1,2111.7,2096.9,2134.9,2188.1,2194.4,2235.6,2241,2249.6,2279.4,2315.7,2353.3,2361.5,2346.1,2395.6,2439.8,2443.5,2361.5,2481.6,2499.5,2509.2,2579,2608.7,2643.9,2689.1,2720.1,2810.3,2871.2,2908.8,2951.7,3063.5,3119.5,3186,3333.8,3450.8,3483.5,3537.7,3459.8,3342.4,3380.7,3284.7,3220.4,3217.5,3245.3,3235.6,3007.6,3150.2,3113.9,3209.4,3372.8,3457,3461.6,3634.6,3698.2,3616.6,3723.6,3816,3987.6,4108.3,4135.4,4158.2,4125.1,4221.6,4227.6,4228.3,4284.9,4200.7,4385.1,4521.7,4489.4,4442.1,4488.9
"18","10","  Private enterprises","W260RC1",228.9,229.3,229.4,224.7,218,222.8,227.2,224.9,239.2,244.8,250.6,258.5,265.6,269.5,283.8,303.6,309.2,313.7,319.9,335.3,325.7,322.4,325.6,330.3,334.7,348.4,375.9,387,404,404.6,410.6,413.2,422.4,452.7,475,490.2,487.8,531,540.6,556.3,562.7,565,566.1,573.2,573.1,539.1,570.8,640,652.2,656.4,704.1,686.4,669.7,690.9,692.6,695.9,722.5,751.7,782.1,822.5,888.7,918.6,934.4,949.4,974.3,976.3,994.4,981.3,995.4,986.8,980.3,978.2,998,1043.3,1083.5,1101.6,1128.3,1146,1182.8,1222.1,1246.1,1238.1,1240,1217.6,1244.8,1270.4,1258.6,1247,1261.3,1262.5,1265.7,1259.8,1301.9,1325.2,1327.2,1371.1,1367.4,1412.9,1411.8,1494.2,1514.3,1552.4,1598.9,1645,1649.4,1674.5,1736.4,1760.7,1814.7,1871.2,1888.4,1941.6,1986.2,2008,2078.8,2094.7,2080.5,2118.2,2171.5,2179,2218.3,2224.3,2233.5,2264.9,2301.5,2340.5,2352.1,2339.6,2389.8,2435.8,2434.7,2359.4,2477.3,2494.6,2499.4,2569.9,2602.6,2639.4,2686.1,2718.1,2810.1,2872.1,2911.5,2955.4,3068.4,3125.3,3193.3,3341.4,3456.7,3491.6,3548.1,3472.6,3358,3396.4,3300.3,3239.1,3237.7,3266.5,3257.1,3029.5,3172,3134.3,3228.9,3393.6,3478.2,3484.2,3658.1,3722.5,3641.1,3747.7,3840.6,4012.4,4129.5,4154.8,4176.4,4143.4,4239.3,4246.3,4247.1,4304.8,4218.3,4403.6,4540.1,4508,4458.7,4505
"19","11","    Net interest and miscellaneous payments, domestic industries","W272RC1",31.1,33.2,35.4,36.6,38.3,40.3,42.5,43.7,44.4,45.3,46,46.3,47.3,48.9,51.2,53.7,54.8,57.2,61.4,64.7,68.9,73.3,77,82.5,86.8,86.7,88,88.2,87.1,89.2,90.1,91.9,93.6,102,109,114.1,115.9,118.6,120.4,124.9,130.7,138.2,146,159.7,175.2,181.1,187,206.2,207.2,225.7,250.3,256.7,268.1,275.7,273.9,275.8,279.8,280.3,292.7,305.3,311.2,331.3,348.6,353.7,359,358.9,357.5,366.9,384.1,388.3,385.9,385.4,385.2,394.9,401.9,412.7,413.1,417.6,433.1,448.9,473.4,483.6,490.2,487.6,492.8,490.6,488.5,484.7,466.5,453.8,449.4,432.9,430.6,426.1,418.2,416.1,424.2,413.2,407.3,407.2,401.4,411.2,418,433.5,437.2,435.8,436.5,436.9,428.9,442.4,452.5,467.9,479,487.1,497.2,511.7,538.8,557.8,570.1,564.6,558.5,561.2,577.7,605.3,641.5,663.9,682.6,682.4,690.6,690.4,677.9,652.4,622,596.7,578.6,574.2,579.9,566.1,550.9,532.9,505,502.5,505.9,527.2,580.9,611.4,655.4,681,712.9,743.9,765.5,810.2,842,861.2,899.7,920.1,917,911.9,902.9,933.7,887.7,755.4,703.3,697,690,663.9,660,668.4,664.6,635.3,664,657.1,686.6,694.4,718.3,668,687.7,660.2,658,669.8,702.3,678,661.5,670.1,717.8,671.1
"20","12","    Business current transfer payments (net)","B029RC1",4.7,4.8,4.8,4.8,4.6,4.5,4.2,4.1,4.1,4.1,4.2,4.2,4.5,4.7,4.9,5,5.6,5.9,5.6,5.8,6.3,6.6,7,7.3,8.4,9.1,9.3,9.4,9.5,9.4,9.1,8.6,8.2,7.8,8,8.3,9.4,10,10.7,11.4,12.3,12.7,13,13.1,13.2,13.4,13.7,15.7,16.4,16.6,17.1,17.5,18.6,19.2,19.5,20,20.3,20.9,21.9,23.6,26.7,28.6,30.1,31.2,32.2,38.1,32.8,33.1,42.1,34.5,33.2,34,34,34.4,32.5,32.3,31.1,31.7,33.2,35.1,37.2,37.7,39.1,39,39.4,39,38.9,39.5,39.8,38.7,38.5,38.7,38.6,38.4,38.9,43,40.2,39.3,38.7,39.3,40.7,39.7,41.3,41.2,43.6,44.9,45.8,45.5,46.8,48.2,48.9,66.7,46.9,47.4,53.5,52.5,58.9,60.4,62.6,74.3,65.2,66.4,67.9,71.8,79.1,83.3,87.2,91.7,98.5,100.5,100.1,97.5,87.8,81.4,77.5,76,77.7,76.4,75.9,75,77.8,79.5,78.5,89.6,94.5,97.4,93,90.7,80.8,79.1,84,86.4,101.5,98.8,99.6,94.3,112.3,109.8,108.1,127.3,125,135.2,117.7,121.5,129.3,126.5,131.1,127,142.6,127.9,131,124.6,117.6,107.9,97.2,96,108.9,115.9,116.2,136.5,110,112,168.5,118.7,115.6,124.9
"21","13","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",75.6,77.1,78,77.3,77.1,76.7,78.5,78.9,80.3,82.8,84.6,87.9,87.9,91.3,95.5,105.6,104.1,109.9,113.8,122.2,115.7,108.6,111,113.5,112.7,114.3,120.7,125.2,126.4,128.6,132.7,136.2,138.6,140.5,142.4,156.5,158.5,166.1,168.3,170.9,180.1,179.2,180.7,177.8,167.6,160.3,173.4,185,188.2,176.4,182.3,171.8,165.2,169.4,170.7,179.5,183.3,182.6,183.8,195.3,221.9,231.8,232.4,226.9,240.7,238.5,240.7,244.3,245.6,251.6,264.4,264.2,275.4,282.3,289.5,298.6,319.3,322.8,334,327.3,348.7,340.3,338,340.7,346.7,352.3,360.3,358.4,349.1,354.8,355.5,364.5,380.8,397.4,410.1,421.2,421.3,432,426,442.6,452.9,456.9,459.7,468.5,470.5,475.2,487.8,504.4,526.8,551,551.1,560.6,579.4,579,592.5,600.6,621.4,633.7,649,672.7,686,694.1,703.8,717.9,724.9,755.2,764.7,786.3,816.2,835,851.5,844.4,861.1,864.8,873.9,884.3,880.2,894.1,907.2,918.7,947.2,961.9,962.1,977.1,953.3,960.5,991.7,1010.3,1058.7,1062.2,1051.1,1042.7,992.3,972.8,966,985.5,1017.7,1045.9,1040.9,1001.3,944.2,944.6,976.9,1026.3,1017.6,1024.7,1029.2,1059.3,1103.2,1125.2,1161.8,1184.5,1213.6,1240.2,1245.8,1266,1288.9,1279.7,1287.5,1284.3,1304.8,1346.3,1357.8,1377.9,1369.4,1377
"22","14","    Rental income of persons with capital consumption adjustment","A048RC1",20.2,20.3,20.5,20.5,20.5,20.3,20.9,21.2,21.2,21.8,22.2,22.6,23.2,20.3,24,23.9,23.6,23.5,22.5,23.4,23.7,23.1,23.4,23.2,22.9,22.6,22.5,22.1,21.9,20.8,20.3,19.4,17.1,16.6,15.8,15.3,16.5,16.2,17.4,17.6,17.8,15.6,15.4,17.6,20,14.1,17,27.8,26.2,24.4,24.1,27,27.6,24,25.9,27,27.4,27.4,27.4,27.7,26.9,25.2,27.6,31.9,30.2,29.2,30.3,28.4,24.8,24.2,20.5,18.1,18.8,17.4,21,23.7,23,22.6,23.9,30.9,26.8,24.7,22.7,23.4,25.9,30.2,34.8,34.6,36.2,38.6,43,50.2,53.9,61.1,68,74.3,83.2,91.9,96.3,103.2,112.7,117.4,120.7,119,122.2,126.1,130.2,138.3,143.9,146,148,149.9,149,149.9,152.6,156.8,161.5,167.2,172.6,178.1,180.8,184.1,183.9,183.6,184.2,184.3,186.9,195.4,201.7,207.5,210.1,210.8,215.2,217.4,216.8,219.8,226.8,234,239.9,251.3,254.6,258.7,254.6,253.8,246.1,242.9,231.6,233.1,223.2,211.9,204.3,190.7,177.9,189.6,192.9,197.2,225.3,250,273.4,299.8,310.8,325,344.4,354.6,380.5,397.3,408.3,425,460.1,478,491.6,511.6,517,523,527.3,534,547.9,556.5,569.7,579.4,591,605.5,618.4,628.4,637,654.1
"23","15","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",97.2,93.9,90.7,85.5,77.5,81.1,81.1,76.9,89.1,90.8,93.7,97.6,102.7,104.3,108.2,115.5,121,117.2,116.6,119.1,111.1,110.8,107.3,103.8,103.9,115.6,135.4,142,159.1,156.6,158.4,157.1,165,185.7,199.9,196.1,187.5,220,223.8,231.5,221.9,219.4,211.1,205.1,197.2,170.2,179.7,205.2,214.2,213.3,230.4,213.3,190.2,202.6,202.5,193.7,211.7,240.3,256.2,270.6,302,301.8,295.7,305.7,312.3,311.6,333.1,308.5,298.8,288.1,276.2,276.4,284.6,314.4,338.6,334.3,341.8,351.3,358.6,379.9,359.9,351.9,349.9,326.8,340.1,358.3,336.2,329.8,369.8,376.8,379.4,373.5,398,402.2,392,416.5,398.5,436.4,443.5,501.8,506.5,527.2,559.3,582.8,575.9,592.5,636.1,635.7,668.3,683.5,687.9,696.6,731.9,744.7,783.1,773.1,699.8,699.1,717.2,689.2,727.8,718.5,700.2,686.4,671.7,653.8,630.7,583.9,582.9,602.4,595,554.3,691.2,734.3,752.6,815.6,837.9,868.8,912.1,940.2,1025.5,1069.6,1110.5,1107.7,1193.7,1213,1221.7,1326.2,1381.1,1394.5,1443.2,1342.6,1244.3,1274.1,1142.1,1042,965.3,948.9,931.8,667.5,904.3,974,1086.6,1194.2,1260.8,1271.8,1429.4,1442.9,1270.6,1381.3,1392.3,1534.7,1594.7,1589.4,1587.9,1579.3,1605.9,1634,1615.7,1634.8,1510.3,1661.9,1733.9,1712.8,1618.9,1677.9
"24","16","      Taxes on corporate income","A054RC1",41.5,40.4,39.1,38.9,34.5,34.7,35.7,34.2,37.8,38.6,37.9,38.4,40.4,40.7,42,46.4,49.7,50.2,48.6,51.4,49.7,52.2,57.3,51.9,43.8,46.8,57.2,58.8,66.6,65.2,64.9,64.5,68.8,74.4,76.7,77.8,72.5,86.6,87.4,92.9,90.1,90.9,90.6,88.4,97,77.2,83.2,91.4,91.1,82.6,86.2,77.4,65.7,68.4,68.6,63.2,64.2,79.2,88.3,90.9,103.9,102.9,91.1,92.3,98.7,97,102.3,99.7,106.6,106.3,107.3,118.5,118.7,132.8,137.9,132.4,129.3,136.6,146.7,153.9,158.4,145,140.4,140.5,139.3,144.9,149.8,147.7,141.6,136.8,137.4,138.5,148.2,149.8,144,152.8,158.1,170.1,162.1,193.8,174.5,183.6,201.1,213.3,217.6,214.8,221.7,217.3,221.6,233.4,233.8,237.1,238.2,242.9,255.1,245.5,248.5,245.5,252.2,247.2,256.2,254.1,259.2,265.7,274.3,273.1,254.7,258.3,224.5,216.6,195,177,179.3,186,193.7,210.4,231.5,227,247.2,269.3,277.6,298.2,320.4,328.1,405.1,395.6,403.1,445.7,460.7,475.2,496.7,460.8,474.2,468.1,431.1,408.8,355.3,344.1,312.6,224.4,215,240.4,285,337.4,344.8,351.7,387.5,398.3,397.5,383.4,351,384.5,442.7,449.9,451,446.9,454.9,461.3,475.6,483.8,497.3,527.4,518.4,512.3,517.8,549
"25","17","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1",55.8,53.5,51.5,46.6,43,46.4,45.4,42.7,51.3,52.2,55.8,59.2,62.3,63.7,66.3,69.1,71.3,67,68,67.8,61.3,58.6,49.9,51.9,60.1,68.8,78.2,83.2,92.5,91.4,93.5,92.7,96.2,111.3,123.1,118.3,115,133.4,136.3,138.6,131.8,128.4,120.5,116.7,100.2,93,96.6,113.9,123.1,130.7,144.2,135.9,124.5,134.2,133.9,130.5,147.5,161.1,168,179.7,198.1,198.9,204.7,213.5,213.7,214.6,230.8,208.8,192.3,181.8,168.9,158,165.9,181.6,200.7,201.9,212.5,214.7,211.9,226,201.5,206.8,209.5,186.3,200.8,213.4,186.3,182.1,228.2,240,241.9,235,249.8,252.5,247.9,263.8,240.3,266.3,281.4,308.1,332,343.6,358.1,369.6,358.4,377.7,414.5,418.4,446.7,450.1,454.1,459.5,493.7,501.8,528,527.6,451.3,453.7,464.9,442,471.6,464.4,441,420.8,397.4,380.7,376,325.6,358.4,385.7,400,377.3,511.9,548.3,558.9,605.2,606.4,641.8,664.8,670.9,747.9,771.4,790,779.6,788.6,817.3,818.7,880.5,920.4,919.3,946.5,881.7,770.1,806,711,633.2,610,604.8,619.2,443.1,689.3,733.6,801.6,856.9,916,920.2,1041.9,1044.6,873.1,997.9,1041.3,1150.2,1152.1,1139.4,1136.9,1132.4,1151,1172.8,1140.1,1151,1013,1134.4,1215.6,1200.5,1101.1,1128.8
"26","18","        Net dividends","A449RC1",20.2,20.4,20.2,20.7,20.1,20.5,20.2,20.7,21.2,19.7,21.3,19.1,22.2,22.1,22,21.5,22,23,23.9,23.6,22.3,25.2,24,22.3,26.7,26,25.9,27,26,30.1,31.4,32.7,31.8,32.5,34.1,36.5,37.3,36.5,41.4,43.3,42.3,42.3,39.6,41.7,40.9,54.4,45.4,48.6,53.5,57.1,60.6,62,66.3,53.8,59.4,65.8,71,68.6,71.5,74.2,78,78.5,79.5,78.1,81.2,90.5,84.2,87,85.7,92.1,85.9,89.4,93.9,92.4,93.8,102.4,85.8,93.4,112.1,100.8,126.1,126.4,130.8,122.2,145.8,141.2,143.2,146.1,149.7,157.2,156.7,161.2,153.7,158.9,160.9,172.5,179.5,180.3,184.2,195,190.2,200,195.7,205.4,212.5,215.6,235.2,241.4,249,254.9,269.1,279.5,281.4,284.4,293.6,309.5,310.5,317.9,312.5,318.3,306.7,308.9,290.6,319.3,344.1,362.9,372.7,342,328.9,311.5,340.4,338.8,343.8,356.6,338,370.8,342.2,426.5,402.4,436.3,470.6,466.2,465.7,604.7,457.1,406.3,249.9,165.5,583.3,592.9,656.4,759.7,662.4,666.7,695.7,689.1,641.2,645.9,628.8,596.4,570.8,490.1,378.3,386.7,418.9,410.9,462.8,477.6,515.2,536.6,557.9,585.4,608.7,615.2,638,858.5,680.9,887,765.4,777.5,728.1,728.7,706.8,734,793.5,759
"27","19","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",35.5,33,31.3,25.9,22.9,25.9,25.2,22.1,30.1,32.5,34.5,40.1,40.1,41.6,44.3,47.6,49.3,44,44.2,44.2,39,33.4,25.9,29.6,33.4,42.8,52.3,56.2,66.5,61.3,62.1,60,64.4,78.9,89.1,81.8,77.8,97,94.9,95.3,89.5,86.1,80.9,75,59.3,38.6,51.2,65.3,69.6,73.6,83.6,73.9,58.2,80.4,74.5,64.7,76.5,92.5,96.5,105.4,120.1,120.4,125.2,135.3,132.5,124.1,146.7,121.8,106.5,89.7,83,68.5,72,89.3,107,99.5,126.7,121.3,99.8,125.1,75.4,80.5,78.7,64.1,54.9,72.2,43.1,36,78.5,82.8,85.2,73.8,96.2,93.6,87,91.3,60.9,86,97.2,113.1,141.8,143.6,162.5,164.2,145.9,162.1,179.3,176.9,197.7,195.2,185,180,212.3,217.4,234.4,218.2,140.9,135.7,152.5,123.7,164.8,155.6,150.4,101.5,53.3,17.7,3.3,-16.4,29.5,74.2,59.6,38.4,168.2,191.7,220.9,234.4,264.2,215.3,262.4,234.5,277.3,305.2,324.3,175,331.5,411.1,568.8,715,337,326.4,290.1,122,107.7,139.3,15.3,-55.9,-31.2,-41.2,-9.6,-153.4,118.5,243.5,423.2,470.2,497.1,509.3,579.2,567,357.9,461.3,483.4,564.8,543.3,524.3,499,273.9,470.1,285.8,374.6,373.5,284.8,405.7,508.8,466.5,307.7,369.8
