"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"13","5","    Mining","J734RC1",9,9.1,9.3,9.5,9.8,10.2,10.6,11.1,11.1,10.8,10.9,10.4,11.8,11.5,11.8,12.3,12.8,13.3,14.5,15.8,17.9,20.4,22.4,22.4,25,24.6,24.8,25.5,26.2,25.4,26.1,27.5,29.4,32.5,33,32.4,29.6,36.2,35.9,38.6,37.1,40.6,44.9,47.7,53.5,60.7,67.4,76.9,84.1,85.7,93.4,93.7,89,85.3,77.5,71.5,66.4,63.7,62.9,63.6,66,69.2,68.1,66.4,63.1,59.1,56.7,53.4,48.7,43.9,41.1,36,38.1,42.3,43.8,47.9
"14","6","    Construction","J735RC1",44.1,45.7,46.5,46.1,47,47,48.2,49.5,50,52.3,53.3,54.8,56.7,57.4,58.5,60.3,64.1,65.3,66.9,67.6,70.4,70.4,70.1,70.7,69.6,68.6,70.5,73,77.2,79.9,81.8,83.6,85.1,88.8,90.5,93,95.9,104.7,109.2,111.8,113.6,117.4,120.8,122.7,125.2,121.2,123.3,129.7,128.9,125.2,124.4,123.6,123.1,124.5,123.5,124.9,127.3,128,131.9,136.4,144.7,152.1,154.6,158.1,163.4,164.6,168.2,172,179.9,184.1,188,192.3,195.7,200.3,202.8,207.2
"15","7","    Manufacturing","J426RC1",239.3,240,242.9,241.6,234.9,238.4,236.6,227.2,242.5,245.6,245.1,251.2,262.1,267.5,273.2,284.7,299.7,304.3,306.8,313.7,315.4,320.2,329.9,325.4,314.3,328.6,351.5,361.2,382.3,385.9,391.7,396.4,413.6,436.4,451.7,463.6,464.1,496.2,506.5,523.7,538.6,542.4,548.5,554.4,567.9,545.8,555.2,591,614.5,626.5,643.4,623,612.5,616.7,619.3,596.9,606.6,626.3,652.4,680.8,707.3,715.4,716.8,724.3,727.6,734.2,754.6,760.9,746.9,741.4,734.3,757.1,757,776.2,807,823.2
"16","8","      Durable goods","J428RC1",144.6,143.5,144.9,143.7,136.5,139,136.7,127.7,140.5,142.1,140.4,145.2,153.5,158,160.8,169.6,180.5,183.3,185,187.1,186.4,186.7,191.3,191.1,181.5,186.2,199.5,203.3,218.2,222.8,226.4,229.9,242.6,255.2,264.6,275,275.8,296.8,302.7,314.3,323.1,323.1,321,321.2,326.8,309.8,318,344,354.1,361.6,358.5,349,341.4,346.8,342,321.8,336.7,347.9,365.7,386.9,412.3,414.7,423.6,428.6,427.4,431.3,436.4,442.2,442.9,441.8,440.8,451.1,458.9,459.6,469.4,471.2
"17","9","      Nondurable goods","J427RC1",94.7,96.5,98,97.8,98.4,99.4,99.9,99.5,102,103.5,104.7,106,108.6,109.5,112.5,115.1,119.2,121,121.7,126.7,129,133.5,138.6,134.3,132.7,142.4,152,157.9,164.1,163.1,165.3,166.5,171.1,181.2,187.1,188.6,188.3,199.4,203.9,209.3,215.5,219.3,227.5,233.2,241.1,235.9,237.1,247,260.5,264.9,284.8,274,271,269.9,277.3,275.1,269.9,278.5,286.7,293.9,295,300.7,293.1,295.7,300.2,302.8,318.3,318.7,304,299.6,293.5,306,298.1,316.5,337.6,352
"18","10","    Transportation and public utilities","J737RC1",68,70.4,70.8,72,73.6,73.3,75.8,76.1,79.9,81.9,83.1,83.2,88.4,89.2,90.8,94.7,96.5,98.1,100.3,101.8,103.5,105.8,108.9,109.5,110.1,112.7,120.2,124.9,128.4,133.4,137.3,138.7,142.8,147.7,153.1,154.7,158.2,167.9,170.1,176.9,178,177.6,180.3,186.1,189.7,191,199.3,209,209.8,214.9,225.1,229.1,234.5,237.7,236.5,236.2,241.4,255.2,260.3,265.3,276,281.4,282.9,284.8,282.5,284.4,288.1,290.1,299.5,303,305.6,306,311.3,322,321.6,328.9
"19","11","      Transportation","J429RC1",30,31.6,31.5,32.3,32.6,31.8,33.8,33.4,35.1,36.3,37.1,36.6,40,39,40,42.4,43.9,44.4,45,46.4,48.6,49.5,50.7,49,46.6,46.2,50.7,53.2,55.5,57.5,59.8,58.8,61.4,64,66.5,66.5,66.1,74.3,74.4,78.2,79.2,78.5,80.5,84.7,84.6,81.6,83.6,87.7,88.2,87.8,89.1,88.4,87.8,88.4,85.4,85.1,85.5,91.9,100.3,99.4,104.7,106.7,107.6,106.8,107.9,109.6,110.1,111.1,115.3,118,120.9,122.8,124.3,127.2,126.9,132.3
"20","12","      Communications","J430RC1",20.3,20.8,21,21.4,22.2,22.7,23.1,23.4,24.1,24.4,24.1,24.7,26.3,26.8,27.4,27.9,28.4,29.2,30.2,30.3,31.1,31.8,32.2,33.2,32.9,34.1,35.5,36.3,37.6,38.8,40.1,41.2,41.6,43.3,43.8,45.7,47.8,49.5,50.6,51.3,52.3,53.8,54.5,54.6,56.7,57.8,61.2,64.8,66.4,67.4,70.5,72.3,73.6,75.3,76.5,77,80.4,82.7,78,82.1,84.4,86.1,84.5,84.8,86.6,89.5,92.5,94.3,97.7,96.9,96.5,95.3,94.8,97.4,99.9,100.1
"21","13","      Electric, gas, and sanitary services","J431RC1",17.7,17.9,18.3,18.3,18.9,18.8,18.9,19.3,20.7,21.3,21.9,22,22.2,23.4,23.4,24.3,24.2,24.5,25.1,25.1,23.8,24.5,26,27.3,30.5,32.3,34,35.4,35.3,37.1,37.3,38.7,39.8,40.3,42.9,42.5,44.3,44.2,45.1,47.4,46.5,45.2,45.4,46.8,48.4,51.5,54.5,56.5,55.2,59.8,65.4,68.4,73.1,73.9,74.6,74,75.5,80.7,82,83.8,86.9,88.7,90.9,93.3,88,85.3,85.5,84.7,86.5,88.1,88.2,87.8,92.2,97.5,94.7,96.5
"22","14","    Wholesale trade","J433RC1",62.2,63.6,64.8,66.4,66.9,67.6,68.8,69.7,71.6,72.2,74.8,76.5,78.5,80.6,83.5,85.8,89.3,88.8,92.1,97.5,99.1,104.9,103.2,108.9,110.7,110.8,114.2,117.4,119.6,119.3,121,122.7,124.9,132.9,139.2,135.1,141.6,148,152.8,158.1,162.9,168.3,172.1,174.9,176.6,176.9,178.6,186.1,194.8,196.7,198.2,207.5,202.2,203.3,203.1,204,204.7,213,219.2,226.1,240.7,244.8,253.8,258.4,258.1,258.6,262.5,261.7,267.3,270.7,281.7,278.8,281.3,282.3,288.4,290.3
"23","15","    Retail trade","J434RC1",86.8,89.3,91.2,91.6,93.3,95.2,96.4,97,100.4,101.7,105.6,108,109,110.7,112.6,119,120.5,122.6,126.1,128.8,127.7,130.2,131.5,131.8,137.5,143,148.5,153.4,160.2,162.2,166.6,169.7,172.3,178.7,186,190.8,195.4,202.8,204.1,211.9,216.9,219.2,221.3,224.2,221.9,223.3,230.5,233.9,247.4,248.6,252.4,250.9,255.1,261.8,265.6,274.6,281.3,288.1,297.1,303.6,317.2,327.7,330.2,331.1,344.8,352.1,361.1,362.5,376.4,377.9,387.7,387.7,393.2,398,407.2,411.6
"24","16","    Finance, insurance, and real estate","J435RC1",110.5,112.3,114.3,115.7,117,118.8,123.4,127,129.2,133.3,137.7,139.8,143,142.8,148.5,152.5,155.6,157.8,160.6,164.3,167,171.1,177,182.8,189.5,191,194.9,199.9,204.3,209.5,213.8,217.5,219.3,230.3,239.4,247.9,255.9,265.4,270.9,278.2,284,290.2,296.5,310.1,325.1,322.6,328.4,359.9,360.9,368.5,389.5,394,398.1,409.8,415.6,428.7,443.9,455.8,471.6,485.7,491.7,509,528.8,538.8,556.9,564.4,567.1,576,593.6,595.8,591.9,600,619.8,646.5,663.1,671
"25","17","    Services","J437RC1",101.6,103.9,107.1,109.7,110.8,113.5,115.6,117.5,120.3,122.3,124.7,128.5,131.4,135.8,139.7,143.9,148.6,152.8,157.2,160.6,164,168.3,172.1,175.8,181.4,185.8,191.2,196.8,203.9,210.2,216.9,225.2,231.1,239.2,247.6,257.4,267.7,276,284.1,291.5,301.7,311.6,320.9,329.8,338.4,353.7,364.4,374.4,389,393.7,405.7,413.5,422.5,432,444.2,452.6,464,477.3,486.4,506.9,525.9,538.6,551.7,564.9,580.1,593,608.4,621.3,643.3,654.5,667,681.2,707,722.4,743,776.4
"26","18","  Government","B436RC1",122.4,124.9,130.5,132.7,137.1,139.3,142,144.1,149.5,153,156.2,158.6,164.2,166.6,169.9,175.7,176.8,178.9,181.3,185.5,188.7,192.8,196.4,202.8,207.1,212.1,216,220.2,224.9,227.8,230.6,236,239.4,243.3,248.1,256,260.7,265.3,272.2,278.5,283.9,286.5,292.5,300.7,306.6,313.7,320.5,332.4,339.6,346.8,352.3,363.5,369.5,375.1,380.8,389.7,396.2,402.1,407.9,412.5,423.6,431.6,440.9,449.4,461.9,470.1,479.4,487.2,493,499.9,507.6,517.7,523.8,531.1,537.3,547.3
"27","19","Rest of the world","A192RC1",6.3,6.2,5.9,6,6.3,6.6,6.6,6.1,7.4,8,7.3,7.7,8.2,8.1,8.9,9,10.7,11.6,13.9,14.3,17.1,16.4,15.3,13.3,11.4,11.7,13,16,15.7,16.6,17.1,17.9,20.8,20.7,20.9,18.8,22.1,18.7,20.9,24.6,25.7,29.5,36.1,36.5,38,35.8,34.4,28.5,31.4,30,32.7,37.6,36,40.9,35,34.1,34.1,36.7,37.9,39.7,37,37.5,37.4,33.2,25.7,27.7,22.5,25.6,22.2,15.5,18.2,12,14.4,18.1,17.8,19.7
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
