"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"11","3","  Foods, feeds, and beverages","B638RA3",26.24,25.993,25.361,26.742,27.765,24.348,24.953,25.608,17.352,28.096,25.576,29.514,28.708,29.267,31.88,31.458,29.877,28.091,31.767,28.385,30.657,33.651,35.907,39.195,45.257,46.468,42.095,46.675,42.873,41.922,38.283,38.674,44.346,36.868,42.048,47.849,46.646,48.943,48.815,49.763,47.621,48.116,48.587,49.674,52.031,66.328,61.725,59.595,54.396,60.557,66.73,72.566,66.409,71.66,76.934,71.614,75.25,69.757,71.87,75.749,69.316,75.662,66.562,63.391,67.493,64.201,67.795,63.327,63.131,61.241,63.909,67.441,58.85,53.932,52.872,55.646,57.635,52.435,58.617,59.62,54.751,57.508,71.637,60.474,68.717,67.137,66.037,66.629,69.419,71.229,67.97,70.709,75.005,73.561,72.044,67.542,71.271,69.571,76.067,76.766,79.795,79.857,87.475,85.74,85.397,85.749,78.813,81.223,77.762,77.549,85.136,94.19,93.461,93.732,95.698,86.766,92.398,89.232,88.817,93.321,90.675,89.503,89.93,95.929,95.021,89.397,84.573,93.314,87.5,92.388,97.66,95.344,95.404,97.258,104.486,97.465,101.278,102.925,99.681,101.534,101.027,101.509,98.893,95.806,100.332,99.309,102.562,101.804,94.249,87.794,94.113,102.817,99.153,102.096,97.348,101.402,104.464,108.751,110.122,108.477,108.272,113.084,123.697,124.409,127.025,128.201,125.627,119.968,113.436,119.581
"12","4","  Industrial supplies and materials","B639RA3",21.871,21.633,20.968,21.285,22.08,23.868,26.91,24.707,19.289,27.914,27.08,27.747,28.954,29.116,27.511,28.655,26.764,26.44,28.152,21.919,28.354,25.047,26.762,29.842,31.651,33.309,34.456,35.921,36.232,37.481,33.778,31.775,30.776,29.656,29.942,31.454,31.711,32.122,33.477,34.271,33.006,34.05,34.464,31.166,32.045,36.331,39.361,38.9,39.576,40.188,43.579,44.569,46.346,49.986,48.216,46.028,46.191,43.028,42.825,45.705,45.196,44.001,42.097,41.073,39.755,40.64,41.704,41.907,41.174,42.912,44.043,44.262,43.749,42.255,43.095,44.286,44.22,43.813,45.715,47.375,44.794,46.058,46.363,48.426,50.668,51.025,53.143,54.46,54.614,59.837,59.777,58.516,60.575,60.696,61.299,63.901,65.677,66.17,65.211,66.156,67.131,67.639,66.952,66.414,65.534,64.751,64.421,66.31,65.031,68.002,70.683,70.849,72.343,72.528,75.218,76.105,76.659,76.058,77.709,80.793,81.535,84.961,86.241,85.61,85.51,83.323,82.293,83.503,81.303,83.254,84.278,88.707,90.692,90.805,94.837,94.307,91.824,89.058,87.653,87.279,86.986,90.454,89.805,89.621,91.693,90.362,91.05,92.833,96.259,97.747,97.113,98.568,99.619,102.598,99.966,97.817,104.595,107.973,106.6,110.886,109.753,111.704,114.19,118.028,123.088,129.941,130.061,121.419,109.198,111.948
"13","5","    Durable goods","B686RA3",24.304,24.09,21.353,21.981,23.649,26.926,29.135,28.4,22.56,31.274,32.506,33.186,35.243,35.754,33.085,31.868,27.603,26.49,24.65,23.658,26.867,25.349,27.333,29.19,33.757,36.826,38.431,38.588,37.698,39.408,32.799,31.217,29.197,29.415,29.201,30.111,29.661,30.312,32.481,32.678,30.265,31.294,30.369,28.832,32.274,37.015,38.117,38.515,40.593,40.918,43.596,46.161,52.794,55.626,49.409,45.648,43.953,42.7,38.398,39.525,37.267,36.976,35.429,34.087,33.607,35.559,36.618,36.608,35.747,36.198,35.408,36.922,35.413,36.554,35.998,35.172,36.713,36.295,36.051,38.715,38.291,40.584,40.113,42.001,45.373,49.239,49.376,52.142,52.995,56.079,56.173,56.264,59.852,58.593,58.416,61.862,61.278,64.087,63.037,61.845,61.675,60.307,61.332,61.082,59.487,57.789,58.442,59.31,58.445,60.451,64.528,65.627,68.226,69.27,72.752,70.466,71.14,73.782,75.752,76.883,78.17,81.376,82.068,83.227,85.708,81.74,80.302,82.545,81.722,83.668,85.377,90.509,96.338,97.676,98.774,99.317,95.487,90.493,86.873,84.953,80.472,85.263,84.736,84.101,85.048,86.532,85.168,86.462,92.692,93.641,92.396,93.164,94.388,98.486,102.372,104.754,107.812,108.802,108.028,113.465,112.266,113.237,116.853,120.554,122.284,132.462,132.43,124.42,105.676,105.732
"14","6","    Nondurable goods","B687RA3",20.842,20.589,21.004,21.162,21.507,22.534,26.048,23.05,17.79,26.468,24.539,25.207,25.982,25.961,24.897,27.294,26.626,26.712,30.309,21.252,29.454,25.17,26.764,30.528,30.897,31.833,32.752,34.92,35.864,36.883,34.662,32.416,31.942,30.106,30.659,32.503,33.134,33.423,34.366,35.482,34.806,35.868,36.99,32.733,32.275,36.37,40.445,39.528,39.476,40.245,44.048,44.221,43.469,47.572,48.119,46.732,47.873,43.673,45.62,49.45,49.855,48.171,46.059,45.191,43.418,43.752,44.831,45.149,44.476,46.909,49.058,48.598,48.601,45.705,47.291,49.574,48.624,48.225,51.384,52.447,48.618,49.316,50.056,52.226,53.83,52.19,55.45,55.934,55.682,62.154,62.005,59.947,61.124,62.049,63.114,65.256,68.349,67.525,66.622,68.84,70.505,72.167,70.41,69.687,69.274,69.108,68.102,70.675,69.112,72.713,74.466,74.04,74.856,74.532,76.76,79.568,80.058,77.467,78.932,83.199,83.616,87.178,88.811,87.092,85.425,84.316,83.537,84.108,81.058,83.022,83.637,87.654,87.412,86.83,92.517,91.399,89.686,88.174,88.033,88.559,90.779,93.429,92.699,92.774,95.493,92.571,94.432,96.5,98.305,100.104,99.822,101.666,102.599,104.91,98.593,93.898,102.753,107.503,105.767,109.364,108.285,110.83,112.653,116.55,123.431,128.479,128.66,119.711,111.044,115.288
"15","7","  Capital goods, except automotive","B640RA3",3.906,3.981,3.916,3.963,4.024,3.928,4.244,4.052,3.813,4.447,4.475,4.463,4.57,4.787,4.86,5.033,4.941,4.965,5.356,4.837,5.366,5.311,5.524,5.801,6.42,6.793,7.213,7.518,8.008,8.753,8.708,9.417,9.144,8.944,8.662,8.677,8.66,8.797,8.751,8.74,8.574,8.75,8.653,8.405,8.748,9.53,10.128,10.838,11.373,11.27,11.64,12.844,13.398,14.045,13.598,13.959,13.844,14.405,13.438,13.528,12.819,12.73,12.049,11.228,11.542,11.616,11.553,12.369,12.276,12.794,13.114,13.967,14.146,14.537,13.961,14.665,15.006,15.658,15.59,16.273,16.172,17.137,18.716,20.181,21.638,22.644,22.907,24.616,24.647,26.66,27.802,27.371,30.445,30.679,31.195,30.866,31.412,33.491,34.495,35.417,36.387,35.785,37.267,38.212,38.237,38.73,39.057,41.314,42.986,44.066,46.81,47.679,49.709,52.801,55.585,58.229,59.81,61.373,62.059,67.476,71.639,76.409,79.859,79.428,79.859,77.931,79.691,82.917,81.59,81.629,86,88.904,90.132,97.424,101.885,100.2,99.005,90.248,82.618,79.252,78.332,80.933,82.106,79.282,78.633,78.835,82.083,88.633,90.181,91.321,92.352,92.84,95.334,99.761,99.64,105.264,109.229,111.916,111.586,114.912,115.951,117.183,122.318,125.703,126.423,129.318,130.182,119.923,110.363,104.737
"16","8","    Civilian aircraft, engines, and parts","B688RA3",6.748,7.301,10.449,11.605,12.659,14.14,19.221,16.196,15.786,10.74,12.393,15.009,15.702,18.15,13.485,14.441,19.134,18.92,17.596,18.573,17.565,15.159,15.415,15.579,18.763,21.378,22.534,21.704,26.848,28.606,23.112,32.304,28.547,24.926,25.318,19.501,19.144,24.442,22.961,21.207,14.392,20.111,15.772,18.563,30.437,37.392,44.652,54.957,54.484,50.912,58.404,56.479,60.909,66.063,62.774,71.948,59.851,69.61,53.25,53.394,46.984,42.38,34.286,32.767,48.136,46.266,31.005,39.127,34.962,37.444,32.572,41.03,45.545,49.505,43.648,51.09,51.349,51.999,54.075,55.844,55.958,49.957,62.219,62.724,67.575,79.538,66.493,76.327,78.473,87.453,104.649,81.383,102.017,100.882,104.389,91.863,91.454,102.526,110.1,114.876,119.292,95.618,102.459,101.156,91.164,89.721,81.796,91.321,91.203,78.861,84.278,75.678,63.408,71.801,67.021,62.727,64.944,74.531,72.923,87.881,93.563,99.427,100.738,96.256,112.798,111.425,131.105,143.194,129.792,113.923,119.552,118.753,97.972,113.046,104.832,101.841,117.681,112.98,103.784,97.942,99.895,101.491,106.884,95.046,90.213,84.901,87.744,98.601,89.094,83.744,86.266,85.222,93.745,107.764,95.497,102.994,108.922,110.377,107.855,116.255,115.332,113.808,124.392,126.931,122.213,121.891,122.334,98.448,118.653,110.47
"17","9","    Computers, peripherals, and parts","B850RA3",0.014,0.014,0.014,0.015,0.015,0.014,0.017,0.016,0.017,0.019,0.023,0.025,0.03,0.035,0.04,0.044,0.043,0.043,0.043,0.047,0.052,0.052,0.054,0.058,0.064,0.072,0.08,0.091,0.107,0.124,0.127,0.141,0.136,0.134,0.138,0.145,0.158,0.179,0.194,0.208,0.239,0.249,0.284,0.306,0.333,0.389,0.446,0.51,0.564,0.589,0.658,0.779,0.9,1.02,1.189,1.293,1.332,1.338,1.379,1.411,1.386,1.523,1.541,1.636,1.854,2.072,2.35,2.606,2.858,3.297,3.867,4.154,4.289,4.407,4.355,4.519,4.876,5.251,5.629,6.115,6.376,7.257,8.173,8.993,9.749,10.143,10.67,11.453,10.208,11.53,12.002,12.551,13.714,13.61,14.326,14.298,15.505,16.062,16.632,17.247,17.601,19.532,20.432,21.472,21.762,22.183,23.531,24.961,26.287,27.541,29.33,31.866,33.834,35.649,39.91,44.299,48.391,48.962,50.627,53.906,60.608,66.33,69.817,68.204,66.217,67.52,69.485,73.149,73.253,77.404,81.118,82.951,89.119,98.06,104.601,101.642,99.028,88.668,82.548,77.746,73.279,75.83,74.675,76.929,76.486,75.476,81.306,85.658,84.107,84.458,87.789,90.601,94.194,100.167,102.174,103.466,107.857,110.178,107.427,112.202,115.311,110.583,113.622,113.622,116.008,124.689,125.101,110.887,106.781,103.783
"18","10","    Other","B689RA3",7.476,7.582,7.216,7.193,7.258,6.959,7.214,7.039,6.516,8.167,8.013,7.734,7.803,7.964,8.315,8.533,8.039,8.106,9.013,7.789,8.856,8.92,9.298,9.783,10.729,11.175,11.817,12.339,12.775,13.934,14.195,14.84,14.6,14.458,13.873,14.191,14.092,13.898,13.811,13.82,13.772,13.683,13.609,12.875,12.627,13.376,13.763,14.139,14.942,14.906,14.855,16.768,17.096,17.572,16.646,16.463,16.994,17.306,16.669,16.749,16.02,15.95,15.332,13.913,13.007,12.954,13.592,13.994,13.842,13.985,14.241,14.662,14.475,14.672,14.291,14.626,14.811,15.441,14.838,15.342,14.983,16.281,16.979,18.547,19.788,20.025,21.145,22.324,22.955,24.312,24.206,25.302,27.241,27.747,27.79,28.548,28.778,30.432,30.837,31.373,32.122,32.893,33.888,34.963,36.021,36.737,37.591,39.177,41.082,43.625,46.247,47.625,51.374,54.112,57.288,60.207,60.882,61.623,62.337,66.833,69.912,74.127,77.822,78.353,76.884,74.091,72.922,74.571,74.853,76.545,80.81,84.544,88.401,93.981,100.188,99.027,95.103,85.993,78.371,75.767,75.015,77.801,78.619,76.561,76.698,78.231,81.053,87.145,91.58,94.217,94.486,94.863,95.872,97.956,100.102,106.07,109.525,112.554,113.13,115.088,116.257,119.069,123.249,127.338,129.084,131.895,132.908,126.537,108.673,103.36
"19","11","  Automotive vehicles, engines, and parts","B641RA3",14.147,14.449,15.12,14.663,16.202,18.269,17.953,19.532,18.055,19.874,19.67,20.178,17.882,21.223,19.553,17.323,21.11,22.222,22.454,20.341,22.291,23.502,24.801,26.063,27.619,28.969,27.549,29.355,30.463,30.728,32.302,33.088,30.157,33.385,34.218,35.523,34.332,35.226,34.903,34.889,34.92,37.01,33.935,34.511,33.268,37.22,34.613,39.012,36.994,35.817,34.685,37.523,32.754,29.556,28.181,31.641,29.504,32.118,31.378,27.732,25.147,26.977,25.353,21.46,22.674,25.081,25.513,29.09,29.31,28.775,31.729,30.968,31.019,32.811,34.618,32.997,31.504,33.771,31.543,32.449,32.8,33.992,33.65,38.895,40.539,40.867,41.597,42.374,45.61,40.452,40.563,43.382,43.638,43.716,42.267,40.626,42.417,44.282,48.855,47.026,49.038,51.442,53.893,56.125,56.445,56.927,54.921,61.198,59.531,62.312,64.564,67.271,69.302,64.827,66.996,66.251,66.811,67.655,72.562,70.22,74.824,77.581,80.996,80.425,81.977,76.556,71.74,79.281,77.882,79.348,80.56,81.517,88.083,84.422,83.194,82.437,77.211,80.439,80.147,78.548,78.452,84.679,84.116,82.142,82.721,85.002,81.09,85.258,86.567,90.233,94.574,95.354,96.851,97.191,100.307,105.651,107.725,106.149,106.719,110.154,115.043,118.84,121.555,125.957,122.649,122.449,124.817,106.394,68.362,65.085
"20","12","  Consumer goods, except automotive","B642RA3",6.433,5.979,6.049,6.191,6.29,6.837,7.002,6.651,6.513,7.702,7.42,7.048,7.588,7.071,7.529,8.219,7.344,7.426,8.715,7.012,9.053,8.272,9.187,9.146,10.072,10.992,11.085,11.321,13.457,14.354,13.439,12.841,11.849,11.512,12.912,13.569,13.477,13.866,13.985,14.878,14.466,14.727,16.304,15.31,16.01,18.357,17.494,18.347,17.633,17.967,18.058,20.155,25.939,21.799,20.429,21.286,21.83,22.363,21.288,20.265,18.973,20.184,19.809,18.217,17.808,17.486,17.29,18.006,17.351,17.597,17.464,17.818,17.286,17.067,16.46,17.347,17.525,18.528,19.026,20.308,19.979,22.121,22.597,23.985,25.381,28.088,28.856,30.965,33.859,37.178,36.181,38.033,40.349,43.399,43.498,43.169,44.861,43.276,43.791,44.645,45.886,47.049,48.538,48.678,48.597,49.398,50.896,50.881,50.994,53.521,56.298,57.461,56.742,57.309,58.644,58.673,60.149,60.967,61.638,64.001,66.04,68.537,68.496,69.101,68.667,70.389,71.019,70.338,69.887,70.462,71.853,74.687,77.331,78.307,80.756,79.175,82.073,81.262,75.403,74.254,73.577,75.24,76.092,75.535,77.106,77.858,80.618,82.819,86.007,90.295,91.168,94.715,96.879,99.024,100.678,103.419,107.055,109.037,110.396,115.736,119.518,120.303,123.842,126.139,130.508,134.213,136.955,128.192,119.777,118.96
