"","Table 4BU1# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200"
"11","2","  Durable goods industries","KS30DM0",95023,95293,96914,97388,98245,98985,100164,100695,102167,103257,103006,103857,105330,105910,106355,106882,106829,107998,108056,107676,108779,109304,109380,108646,109589,110283,110820,110543,110611,111178,112185,111332,112113,111149,112493,114466,113358,114420,114500,115810,117096,118622,119021,120518,120458,121065,122818,123082,123291,122355,121015,118902,119066,117774,116990,116313,114486,114435,114174,113329,112498,111866,112495,112248,111303,110980,110236,110554,110915,110899,109999,110426,110071,111453,110615,109642,109959,109303,108182,107334,107052,107342,106719,106824,106897,107120,107859,108654,108489,109343,110425,110347,110250,111181,111931,111674,113362,113125,113723,114274,114780,115191,115400,115528,116144,116192,117032,117246,116733,117399,118584,119205,119743,119616,120961,121563,122155,123014,122809,122427,122959,122904,122938,123253,123465,123387,123445,123632,123310,124060,124650,125047,124733,124363,124065,122879,121983,121462,122068,121872,122379,123060,124767,124068,125543,126039,124199,123374,122249,119002,117430,115952,115224,113806,112816,111971,111296,111550,111410,110943,111029,112321,112135,112187,112269,112875,113403,113767,114424,114385,114710,115724,116520,116818,117170,117852,118018,118714,119575,120781,121865,121811,122799,122611,122669,122798,123680,124249,124853,125038,124978,124753,125011,125394,124834,124637,125175
"12","3","    Wood product manufacturing","KS321M0",4117,4172,4178,4273,4214,4172,4130,4195,4337,4367,4369,4399,4340,4375,4255,4363,4412,4546,4567,4526,4614,4694,4671,4606,4787,4777,4760,4619,4626,4605,4636,4727,4628,4674,4785,4921,4893,4911,4912,4866,4890,4849,4746,4882,4862,4827,4818,4774,4842,4763,4791,4852,4854,4863,4832,4827,4587,4592,4661,4620,4537,4663,4757,4720,4719,4813,4761,4770,4813,4815,4853,4795,4893,4971,4976,4991,4904,4843,4787,4722,4619,4767,4804,4855,4918,4951,5110,5264,5241,5158,5247,5311,5405,5420,5409,5321,5514,5508,5598,5659,5611,5592,5531,5486,5529,5546,5542,5646,5431,5566,5525,5561,5542,5746,5606,5643,5558,5573,5510,5602,5553,5504,5474,5431,5473,5452,5403,5361,5338,5321,5286,5252,5173,5085,4998,4868,4868,4905,4946,4903,4864,4888,4794,4624,4622,4439,4363,4310,4195,4091,4036,3972,3893,3814,3728,3767,3815,3856,3877,3821,3849,3956,3952,4000,4045,3978,3993,4040,4039,4064,4082,4065,4067,3984,3977,4012,4077,4143,4259,4237,4247,4232,4184,4208,4245,4275,4286,4330,4283,4264,4135,4241,4355,4358,4444,4457,4516
"13","4","    Nonmetallic mineral product manufacturing","KS327M0",4695,4739,4665,4787,4745,4761,4824,4809,4836,4887,4895,4908,4869,4802,4794,4826,4775,4813,4851,4932,4976,4908,4917,4866,4830,4843,4868,4878,4883,4878,4892,4961,4988,4978,4922,4970,4936,5000,4892,4933,4984,5051,5018,5109,5095,5034,5042,5053,5056,5028,4996,5014,4985,4986,4988,5040,5032,5056,5046,4942,4996,4935,4938,4967,4950,4979,4951,4937,4948,4982,4931,4963,4928,4938,4952,4899,4994,4963,5074,5022,5056,5094,4907,4965,4938,4972,4988,5066,5073,5083,5138,5131,5136,5206,5243,5214,5256,5176,5266,5239,5283,5349,5297,5337,5270,5243,5221,5312,5305,5363,5348,5345,5376,5396,5468,5507,5505,5477,5497,5480,5548,5530,5559,5591,5599,5571,5609,5660,5629,5633,5658,5703,5819,5789,5833,5841,5737,5717,5761,5782,5806,5835,5717,5707,5838,5810,5741,5654,5558,5458,5370,5234,5154,5081,4971,4951,4926,4912,4972,4916,4905,4899,4944,4934,4889,4877,4889,4870,4922,4902,4905,4948,4949,4945,4899,4904,4918,4914,4888,4896,4970,4982,5019,4992,4944,4912,4916,4927,4875,4843,4888,4861,4826,4823,4773,4798,4813
"14","5","    Primary metal manufacturing","KS331M0",10239,10433,10439,10436,10477,10491,10604,10746,10771,11073,10904,11032,10971,11041,11128,11379,11521,11811,11915,12082,12344,12266,12352,12435,12295,12257,12238,12106,12029,11980,12001,12027,12034,12000,12064,12293,12284,12222,12274,12138,12109,12058,12114,11976,11906,11958,11936,11683,11825,11773,11634,11589,11443,11221,11033,11073,10886,10980,11022,10841,10795,10503,10343,10420,10410,10537,10626,10685,10752,10885,10804,10888,10957,11219,10896,10723,10806,10400,10197,9992,10021,9787,9775,9662,9663,10086,10078,10250,10459,10894,11106,11250,11296,11552,11833,11887,12025,12067,12270,12482,12659,12752,12729,12800,12734,12473,12527,12352,12469,12629,12635,12570,12678,12649,12822,12881,13277,13131,13060,13316,13311,13139,13213,13060,13264,13055,12996,12986,12915,12977,12967,13051,12859,12796,12522,12679,12366,12490,12600,12761,12771,13021,13440,13662,13931,13947,13494,13125,12747,12416,11851,11263,10859,10676,10414,10108,9937,9929,9948,10052,10183,10613,10431,10215,10238,10203,10245,10260,10313,10301,10689,10671,10783,10852,10956,11057,11108,11131,11205,11367,11395,11573,11499,11249,11099,11177,11168,11285,11318,11559,11556,11529,11618,11553,11357,11366,11515
"15","6","    Fabricated metal product manufacturing","KS332M0",15113,15043,15284,15221,15194,15299,15388,15406,15459,15373,15474,15729,15657,15683,15577,15855,15690,16124,15950,15883,16151,16200,16184,16105,16259,16143,15919,16122,16119,16247,16303,16355,16613,16497,16363,16532,16068,16428,16510,16552,16875,17006,17013,17005,16928,16950,17226,17069,16836,16748,16714,16755,16814,16754,16636,16761,16461,16633,16486,16339,16770,16560,16553,16304,15747,16081,16017,16093,16138,16114,16068,16057,15836,16711,16702,16404,16382,16270,16005,15902,15874,15805,15897,15785,15784,15798,15713,15635,15719,15616,15761,16002,15936,15883,16001,15939,16205,16374,16409,16520,16676,16713,16989,16956,16861,16904,17125,17168,17262,17375,17330,17308,17329,17382,17327,17240,17329,17605,17484,17684,17767,17829,17897,17835,17639,17522,17440,17483,17497,17465,17590,17683,17721,17660,17483,17390,17249,16947,16971,16862,17497,17435,17869,17624,17975,17947,17689,17534,17297,16901,16503,16403,16313,15986,15760,15578,15445,15340,15502,15284,15146,15372,15314,15491,15488,15526,15492,15700,15837,15662,15601,15848,16190,16191,16198,16257,16150,16199,16490,16565,16503,16481,16621,16669,16613,16630,16759,16800,16956,16947,16844,16694,16756,16700,16628,16611,16608
"16","7","    Machinery manufacturing","KS333M0",15406,15293,15328,15387,15548,15652,15818,15949,15922,16165,16340,16270,16514,16705,16708,16691,16766,16705,16884,16901,16947,16754,16805,16458,17028,17118,17152,17243,16942,16812,17066,16862,16928,16956,17316,17153,17106,16949,16811,17521,17404,17604,17779,18022,17954,17949,17656,18080,18355,18194,18139,17961,17674,17514,17387,17067,17009,16712,16806,16838,16768,16869,17040,17004,17090,16908,16946,17001,16903,17026,16914,17180,17093,17126,17036,16832,16989,16905,16917,16510,16506,16608,16240,16331,16246,16194,16162,16150,16230,16281,16273,16273,16267,16294,16487,16448,16663,16742,16691,17030,17092,17239,17282,17361,17472,17624,17671,17753,17771,17899,18061,18311,18392,18208,18426,18413,18689,18871,18944,19041,19262,19122,19070,19114,18874,19105,19501,19472,19451,19754,19500,19537,19396,19371,19532,19327,19188,19097,19253,19045,19070,19398,19803,19591,20381,20255,19955,19795,19575,19122,18825,18632,18455,18053,17852,17430,17227,17124,17144,17051,17211,17219,17263,17455,17526,17874,18193,18307,18692,18576,18809,18922,19077,19454,19600,19792,20026,20131,20425,20504,20845,20990,21032,21169,21361,21349,21789,21900,21965,21910,21758,21692,21502,21552,21442,21569,21363
"17","8","    Computer and electronic product manufacturing","KS334M0",12013,12112,12661,12656,12989,13308,13582,13590,14102,14422,14499,14517,14868,14804,14961,15077,15063,14888,14943,14758,14795,14938,14762,14498,14599,14777,15482,15387,15402,15795,16085,15768,15986,15624,16237,16952,16291,17014,17617,17620,18367,19287,19368,20145,20052,20224,21041,21501,21719,21437,21081,19986,20331,19956,19919,19533,19052,18894,18835,18584,18382,18080,18200,18091,17792,17564,17229,17218,17452,17351,17168,16926,16882,17125,16882,16628,16874,16663,16355,16286,16143,16354,16127,16307,16335,16280,16755,16978,16238,16583,16870,16419,16247,16668,16642,16765,17095,17098,16726,16661,16757,16538,16480,16688,17061,16750,17129,17222,17118,17046,17583,17630,17802,17881,18372,18840,18456,18717,18577,18158,18306,18399,18471,18635,19019,19310,18901,18898,19091,19226,19442,19440,19324,19521,19867,19389,19280,19298,19130,19400,19612,19497,19504,19518,19689,20238,19801,20039,19705,19601,19592,19394,20029,19999,19944,19943,19769,19669,19404,19511,19804,20009,20078,19959,19896,20180,20266,20012,20136,20288,20405,20735,20762,20534,20876,20973,20611,20718,20723,20897,21175,21222,21782,21618,21522,21604,21595,21608,22048,22079,22133,22343,22460,22334,22200,22279,22528
"18","9","    Electrical equipment, appliance, and component manufacturing","KS335M0",6092,6136,6212,6370,6407,6513,6494,6487,6592,6588,6646,6682,6736,6720,6811,6702,6680,6755,6721,6745,6668,6744,6748,6763,6755,6737,6717,6745,6780,6749,6906,6956,6896,6950,6959,6956,7100,7167,7119,7120,7054,7070,7230,7362,7546,7551,7703,7644,7559,7691,7570,7664,7660,7511,7321,7349,7309,7420,7285,7294,7213,7252,7244,7254,7273,7240,7321,7270,7264,7251,7274,7177,7275,7203,7157,7145,7144,7098,7008,6954,6898,6896,6845,6896,6948,6754,6817,6807,6840,6849,6862,6932,6906,6952,6878,6857,6836,6865,6937,6954,6970,6958,6946,6924,7014,6949,7024,6992,7047,7033,7003,7016,6937,6774,6879,6879,6708,6842,6820,6963,6929,7021,7004,6980,6950,6908,6906,6946,6793,6911,7059,7150,7254,7334,7234,7374,7219,7193,7186,7243,7205,7241,7170,7162,7268,7189,7179,7054,7056,6940,6887,6758,6660,6632,6637,6589,6678,6267,6559,6486,6543,6638,6671,6817,6791,6792,6772,6716,6647,6730,6781,6792,6824,6838,6829,6831,6835,6895,6883,6919,7089,7078,7048,7065,7123,7116,7154,7167,7151,7287,7327,7233,7358,7403,7301,7213,7224
"19","10","    Transportation equipment manufacturing","KS336M0",19824,19619,19781,20038,20045,19891,20420,20532,20836,20952,20349,20754,21642,22063,22354,22102,22004,22726,22575,22340,22741,22989,23358,23447,23468,23935,23463,23265,23691,23773,23814,23444,23653,23292,23227,23743,23993,23715,23103,23751,23757,23622,23663,23387,23499,23807,24226,23897,23590,23399,22631,22355,22254,22018,22127,22185,21795,21972,21805,21718,21302,21260,21387,21596,21340,21093,20721,21016,20906,20911,20687,20992,20788,20886,20785,20794,20528,20759,20546,20624,20659,20647,20731,20600,20550,20806,21052,21163,21490,21495,21695,21793,21824,21960,22220,22068,22585,22168,22718,22701,22736,22860,22787,22600,22704,23184,23030,23086,22559,22730,23292,23604,23739,23819,24288,24271,24713,24901,25033,24223,24231,24335,24248,24575,24585,24350,24555,24671,24462,24585,24917,24995,25175,25029,25036,24566,24576,24368,24595,24179,23681,23839,24350,24100,23779,24233,24026,23849,24035,22407,22412,22379,22024,21787,21728,21880,21747,22751,22319,22136,21738,21909,21710,21492,21545,21671,21681,21902,21890,21940,21501,21775,21831,21972,21774,21976,22200,22539,22647,23252,23465,23097,23527,23567,23683,23630,23876,24124,24224,24087,24324,24290,24329,24857,24937,24750,25036
"20","11","      Motor vehicle and parts manufacturing","KS3MVM0",11638,11750,12026,12053,12205,11924,12376,12460,11879,12173,12195,12146,12162,12254,12294,12183,12254,13091,12702,12591,12808,13041,13013,12907,12961,13236,13151,13354,13665,13668,13521,13487,13430,13406,14101,14224,14222,14123,14141,14170,13770,13645,13797,13642,13740,13662,13497,13405,13211,13148,12867,12682,12603,12725,12727,12611,12445,12554,12276,12087,11880,12093,12288,12348,12455,12412,12537,12635,12755,12768,12708,12845,12923,13081,12983,12945,12918,12977,12882,12952,13066,13040,13046,13106,13154,13234,13321,13245,13313,13407,13511,13456,13514,13550,13613,13453,13691,13624,13870,13806,13684,13803,13786,13563,13620,13684,13574,13692,13253,13411,13850,14002,14009,14008,14300,14051,14005,14001,13901,14043,13970,13961,13822,13663,13529,13601,13501,13600,13723,13624,13572,13449,13318,13200,13230,12880,12845,12638,12571,12416,11994,12101,12155,11788,11829,11851,11805,11750,11755,11022,10995,10963,10787,10663,10719,10841,10795,11385,11182,11111,11105,11132,11126,11084,11221,11407,11351,11489,11640,11769,11448,11862,11992,12022,12074,12208,12230,12395,12430,12577,12484,12568,12784,12742,12679,12832,13004,13076,13245,13052,13080,13204,13033,13081,13345,13160,13264
"21","12","      Other transportation equipment manufacturing","KS3OTM0",8170,7842,7721,7955,7806,7939,8010,8039,8951,8764,8126,8590,9478,9811,10065,9923,9751,9624,9869,9744,9928,9941,10342,10539,10506,10697,10309,9904,10018,10097,10288,9949,10219,9878,9102,9499,9753,9574,8936,9562,9975,9965,9852,9733,9747,10134,10722,10484,10371,10243,9755,9665,9643,9284,9392,9565,9342,9410,9522,9624,9416,9158,9089,9239,8872,8667,8164,8362,8129,8120,7954,8123,7837,7777,7774,7822,7580,7753,7635,7642,7562,7577,7654,7463,7363,7541,7700,7889,8150,8059,8156,8311,8283,8383,8583,8592,8873,8519,8824,8871,9032,9036,8980,9017,9064,9482,9439,9376,9289,9302,9423,9583,9712,9794,9969,10203,10694,10887,11120,10164,10245,10359,10411,10899,11044,10735,11043,11060,10724,10948,11333,11536,11848,11819,11794,11676,11720,11720,12019,11754,11683,11732,12192,12312,11948,12380,12221,12098,12279,11385,11417,11416,11236,11123,11008,11039,10951,11364,11135,11025,10630,10776,10581,10404,10318,10257,10325,10407,10242,10159,10044,9898,9822,9933,9681,9747,9952,10128,10200,10661,10972,10514,10729,10812,10993,10783,10857,11034,10964,11021,11231,11071,11282,11763,11577,11575,11757
