"","Table 8#8B# Motor Vehicle Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1967 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 30, 2003  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2003 2:25:16 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","      Motor vehicle output","A953RC",34.6,43.7,44.6,37,49.6,54.8,63.4,58.5,57.2,78.6,95.9,105.9,105.4,86.1,99.3,95.2,127.3,158.9,179.9,184.4,185.6,197,203.6,190.1,174.7,200.9,226.9,262.4,270.3,275.6,293.7,314.6,343.2,335.4,312,344.2
"9","2","        Auto output","A133RC",27.7,35.2,34.9,28.8,39.2,41.2,46.3,39.8,40.7,55.6,65.2,69.7,68.3,60.5,70.6,65.7,88.3,103.8,114.2,118.8,115.2,121.6,121.8,113.1,102.3,111.7,121.9,133.3,130.5,126.1,126.7,127.1,124.6,118.8,109.6,111.6
"10","3","        Truck output \1\","A716RC",6.8,8.5,9.6,8.3,10.4,13.6,17.1,18.8,16.5,23,30.6,36.2,37.1,25.6,28.7,29.5,39,55.1,65.6,65.6,70.4,75.4,81.8,77,72.4,89.2,105,129,139.8,149.5,167,187.5,218.6,216.5,202.4,232.7
"11","4","Final sales of domestic product","AB60RC",35.4,41.9,44.1,38,47.8,55.1,62,55.6,59,76.6,92.5,103.8,105,88.1,97.5,98.1,124.8,153.3,175.2,181.7,176.8,195.5,199.6,193.5,176.1,200.6,224.4,257.1,263.3,279.7,289.4,313.9,333.1,329.2,329.3,330.8
"12","5","  Personal consumption expenditures","AB61RC",25.4,30.6,31.9,28.2,35.9,41.1,45.1,38.3,42,56.3,66.2,73.9,72.7,65.2,71.9,77.8,98.5,121.1,142.3,157.8,157.2,167.2,170.3,164,141.8,157.9,176.2,192.7,196.7,201.6,208.7,229.6,253.9,267.5,288.4,299.7
"13","6","    New motor vehicles","AB67RC",21.1,26,26.8,23.4,30.5,35.2,38.7,31.7,34.6,46.6,55.9,62.7,61.4,54.3,59.1,64.3,82.9,99.7,117.8,134,128.8,138.2,139.3,134.7,112.9,126.7,137.4,149.6,146.7,150.1,155.6,174.7,196.2,208.1,227.8,241
