"","Table 7#2# Quantity and Price Indexes for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230"
"11","2","  Chain-type quantity index","B191RA",18.96,19.06,19.11,19.41,19.68,19.99,20.07,20.11,19.83,19.78,20,19.79,20.61,21.23,22.05,22.45,22.7,23.09,23.55,23.59,23.87,23.89,24.04,24.83,25.29,25.5,25.34,24.93,24.81,24.84,25.11,25.61,26.34,26.76,27.12,27.26,27.15,27.36,27.33,27.78,27.94,27.87,28.14,27.85,27.1,27.26,27.87,28.5,29.09,29.85,29.84,29.94,30.6,30.45,30.51,30.12,30.29,30.86,31.36,32,32.56,32.91,33.24,33.32,33.71,34.15,34.81,35.06,35.84,36.27,36.76,36.85,37.76,38.27,39.05,39.98,40.97,41.13,41.39,41.75,42.13,42.1,42.41,42.73,43.6,44.35,44.66,44.85,45.54,45.66,45.93,45.71,45.65,45.74,46.14,45.65,46.92,47.18,47.54,47.66,48.6,49.71,50.2,51.07,52.38,52.9,52.69,53.13,52.72,52.86,52.28,51.99,51.32,51.77,52.67,53.34,54.6,55.05,55.32,55.77,56.45,57.46,58.5,58.57,58.73,61,61.58,62.41,62.57,62.61,63.05,63.26,63.47,62.18,62.08,63.18,64.41,63.96,64.72,63.96,62.9,63.17,62.87,62.91,63.64,65.14,66.3,67.67,69.14,70.32,70.92,71.46,72.05,72.62,73.7,74.31,74.99,75.3,76,76.4,76.96,77.78,78.43,79.79,80.32,81.27,81.69,82.75,83.75,84.21,84.61,84.9,85.96,86.16,86,85.3,84.87,85.35,85.56,86.02,86.82,87.63,88.31,89.47,89.45,89.99,90.39,91.75,92.53,93.82,94.33,95.49,95.85,96.03,96.78,97.55,98.25,99.87,100.37,101.51,102.6,104.08,105.16,105.88,107.46,108.06,109.16,110.94,111.78,112.32,113.74,115.7,116.44,117.82,117.99,118.31,118.13,117.66,117.58,118.37,119.84,120.21,121.41,121.82,122.26,123.25,125.39
"12","3","  Chain-type price index","B191RG",15.92,16.15,16.44,16.78,16.97,17.16,17.47,17.45,17.42,17.31,17.16,17.17,17.11,17.19,17.53,17.82,18.44,18.53,18.59,18.83,18.82,18.91,19.06,19.14,19.16,19.2,19.27,19.33,19.42,19.45,19.45,19.47,19.55,19.66,19.8,19.93,20.13,20.32,20.54,20.67,20.91,21.05,21.21,21.33,21.52,21.62,21.69,21.74,21.79,21.84,21.9,21.99,22.04,22.14,22.23,22.33,22.36,22.4,22.45,22.51,22.64,22.71,22.77,22.84,22.93,22.95,22.98,23.12,23.2,23.27,23.39,23.49,23.6,23.71,23.81,23.97,24.11,24.33,24.57,24.79,24.9,25.06,25.29,25.57,25.86,26.15,26.39,26.76,27.02,27.39,27.79,28.15,28.54,28.94,29.17,29.55,30,30.4,30.71,30.96,31.42,31.61,31.92,32.3,32.73,33.27,33.9,34.48,35.18,35.97,37.07,38.2,39.08,39.63,40.35,41.05,41.49,41.93,42.51,43.25,43.97,44.69,45.32,46.08,46.86,47.79,48.64,49.62,50.58,51.73,52.79,53.86,55.08,56.35,57.62,59.16,60.67,61.75,62.95,64.1,65,65.84,66.75,67.44,67.98,68.59,69.17,69.75,70.59,71.18,71.74,72.24,73.01,73.49,73.88,74.4,74.69,75.04,75.51,76.05,76.73,77.27,77.83,78.46,78.99,79.79,80.73,81.36,82.2,83.02,83.62,84.24,85.19,86.17,87,87.76,88.78,89.41,89.99,90.47,91.16,91.68,91.98,92.56,93.33,93.83,94.26,94.79,95.28,95.72,96.29,96.74,97.45,97.86,98.31,98.79,99.4,99.74,100.23,100.63,101.36,101.82,102.12,102.49,102.76,103.02,103.38,103.66,104.12,104.52,104.84,105.28,106.08,106.69,107.13,107.68,108.66,109.32,109.92,109.78,110.14,110.48,110.76,111.25,111.9,112.18,112.67
"13","4","  Implicit price deflator","A191RD",16.03,16.16,16.4,16.8,16.95,17.14,17.49,17.54,17.45,17.25,17.15,17.17,17.12,17.19,17.56,17.89,18.57,18.68,18.68,18.89,18.85,18.88,19.11,19.16,19.17,19.2,19.28,19.33,19.4,19.41,19.45,19.5,19.59,19.67,19.82,20.02,20.22,20.33,20.59,20.67,20.96,21.1,21.23,21.23,21.47,21.55,21.7,21.82,21.83,21.83,21.88,21.98,22.08,22.15,22.23,22.3,22.35,22.4,22.46,22.53,22.67,22.71,22.76,22.83,22.91,22.94,22.98,23.16,23.22,23.28,23.37,23.49,23.61,23.71,23.81,23.97,24.13,24.32,24.58,24.79,24.89,25.05,25.31,25.59,25.88,26.14,26.39,26.76,27.03,27.39,27.79,28.15,28.55,28.94,29.18,29.56,30,30.4,30.71,30.96,31.41,31.61,31.92,32.32,32.71,33.25,33.86,34.58,35.2,36.02,37.09,38.2,39.08,39.63,40.33,41.05,41.5,41.92,42.5,43.27,43.97,44.69,45.23,46.16,46.86,47.77,48.6,49.59,50.55,51.71,52.81,53.9,55.11,56.34,57.6,59.13,60.66,61.76,62.95,64.1,64.99,65.83,66.75,67.45,67.95,68.56,69.16,69.77,70.59,71.16,71.73,72.24,73,73.5,73.85,74.39,74.68,75.05,75.51,76.01,76.7,77.27,77.84,78.46,78.98,79.79,80.71,81.33,82.2,83.01,83.62,84.24,85.18,86.16,86.99,87.74,88.76,89.4,89.99,90.47,91.16,91.67,91.97,92.55,93.32,93.82,94.24,94.79,95.28,95.71,96.28,96.74,97.45,97.86,98.3,98.78,99.39,99.74,100.22,100.63,101.34,101.82,102.12,102.49,102.76,103.01,103.38,103.65,104.12,104.51,104.83,105.27,106.07,106.68,107.12,107.68,108.65,109.32,109.92,109.78,110.14,110.48,110.76,111.25,111.9,112.18,112.67
"14",NA,"Final sales of domestic product:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","5","  Current dollars","A190RT",3.05,3.11,3.18,3.25,3.3,3.36,3.43,3.46,3.47,3.49,3.46,3.47,3.52,3.63,3.83,3.85,4.1,4.14,4.29,4.41,4.45,4.55,4.54,4.71,4.82,4.87,4.87,4.86,4.86,4.88,4.93,5.02,5.13,5.23,5.34,5.39,5.43,5.54,5.6,5.74,5.85,5.87,5.96,5.99,5.89,5.95,6.05,6.17,6.32,6.45,6.55,6.55,6.64,6.73,6.75,6.82,6.83,6.91,6.99,7.16,7.29,7.43,7.51,7.59,7.66,7.8,7.95,8.09,8.29,8.42,8.56,8.62,8.8,9,9.21,9.52,9.74,9.88,10.06,10.18,10.33,10.5,10.66,10.87,11.22,11.46,11.73,11.97,12.21,12.43,12.68,12.84,13.06,13.22,13.45,13.6,13.97,14.26,14.53,14.82,15.28,15.62,15.91,16.47,17.06,17.42,17.79,18.12,18.47,18.89,19.39,19.67,20.26,20.78,21.34,21.97,22.56,22.88,23.33,24.09,24.72,25.53,26.17,26.83,27.3,28.94,29.72,30.7,31.44,32.15,33.27,34.12,34.99,35.07,36.33,37.62,38.72,39.5,40.34,40.83,41.31,41.8,42.05,43.11,43.86,44.93,46.09,47.09,48.06,49.34,50.15,51.21,52.59,53.3,54.43,55.07,55.82,56.53,57.69,58.46,58.9,60.12,61.28,62.04,63.47,64.84,65.95,67.31,68.49,69.71,70.89,71.58,73.32,74.09,74.82,75.27,75.82,76.83,77.28,77.73,79.46,80.36,81.29,82.87,83.33,84.44,85.42,87.09,87.93,89.12,90.5,91.78,92.95,93.88,95.33,96.48,97.94,99.61,100.33,102.12,103.75,105.25,107.17,108.1,109.48,111.22,112.38,114.47,115.87,117.48,119.1,121.13,123.38,125.03,126.09,127.15,129.19,129.86,130.52,131.69,132.89,133.28,134.76,135.73,137.32,139.03,142.3
"16","6","  Chain-type quantity index","B190RA",19.33,19.44,19.59,19.6,19.68,19.82,19.86,20.04,20.1,20.36,20.35,20.42,20.75,21.3,22.06,21.83,22.45,22.56,23.3,23.65,23.88,24.26,24.02,24.81,25.35,25.56,25.49,25.35,25.19,25.3,25.54,25.95,26.44,26.78,27.17,27.22,27.17,27.47,27.48,27.96,28.19,28.09,28.31,28.3,27.58,27.72,28.1,28.6,29.23,29.74,30.12,30.01,30.33,30.61,30.58,30.72,30.74,31.07,31.32,32.03,32.41,32.95,33.23,33.47,33.65,34.23,34.84,35.2,35.97,36.41,36.85,36.95,37.52,38.2,38.92,39.98,40.67,40.86,41.18,41.3,41.72,42.16,42.37,42.75,43.61,44.05,44.69,44.96,45.42,45.63,45.86,45.85,45.98,45.91,46.32,46.22,46.81,47.13,47.52,48.09,48.85,49.63,50.07,51.25,52.36,52.61,52.69,52.76,52.7,52.75,52.55,51.72,52.1,52.67,53.14,53.76,54.59,54.79,55.12,55.92,56.45,57.35,57.94,58.43,58.49,60.78,61.35,62.11,62.38,62.35,63.24,63.57,63.75,62.46,63.26,63.79,64.06,64.19,64.29,63.89,63.72,63.65,63.17,64.1,64.71,65.69,66.81,67.69,68.27,69.52,70.1,71.06,72.21,72.68,73.83,74.17,74.89,75.45,76.52,77,76.9,77.95,78.87,79.2,80.47,81.38,81.79,82.84,83.42,84.06,84.87,85.06,86.16,86.05,86.07,85.83,85.47,85.99,85.94,85.98,87.23,87.72,88.43,89.58,89.34,90.05,90.68,91.93,92.34,93.15,94.03,94.91,95.43,95.97,97,97.68,98.54,99.87,100.12,101.47,102.35,103.34,104.9,105.44,106.47,107.89,108.63,110.35,111.19,112.31,113.5,114.95,116.19,117.06,117.57,117.94,118.77,118.65,118.6,119.81,120.51,120.49,121.51,121.84,122.52,123.74,126.1
"17","7","  Chain-type price index","B190RG",15.75,15.98,16.25,16.6,16.78,16.98,17.28,17.28,17.25,17.14,17,17.01,16.95,17.03,17.38,17.65,18.26,18.34,18.42,18.66,18.65,18.74,18.89,18.98,19,19.05,19.12,19.18,19.27,19.3,19.3,19.33,19.4,19.52,19.65,19.78,19.97,20.16,20.39,20.51,20.75,20.9,21.06,21.18,21.36,21.46,21.53,21.58,21.63,21.68,21.74,21.84,21.89,21.98,22.08,22.18,22.21,22.25,22.3,22.36,22.49,22.55,22.61,22.69,22.77,22.79,22.83,22.97,23.05,23.12,23.23,23.34,23.45,23.56,23.66,23.82,23.96,24.19,24.43,24.64,24.76,24.91,25.15,25.43,25.72,26.01,26.26,26.62,26.88,27.25,27.65,28.01,28.39,28.8,29.03,29.41,29.85,30.25,30.56,30.82,31.28,31.47,31.77,32.15,32.58,33.12,33.75,34.34,35.03,35.8,36.89,38.02,38.89,39.45,40.17,40.88,41.32,41.76,42.33,43.07,43.79,44.51,45.16,45.93,46.7,47.63,48.48,49.45,50.42,51.56,52.61,53.67,54.89,56.14,57.43,58.97,60.45,61.54,62.75,63.91,64.83,65.66,66.57,67.26,67.79,68.41,68.99,69.57,70.4,70.98,71.55,72.07,72.85,73.34,73.74,74.26,74.55,74.92,75.4,75.93,76.6,77.14,77.7,78.34,78.88,79.69,80.65,81.27,82.11,82.93,83.53,84.16,85.1,86.09,86.92,87.7,88.71,89.35,89.92,90.4,91.1,91.62,91.93,92.51,93.28,93.78,94.21,94.75,95.23,95.67,96.25,96.7,97.41,97.82,98.28,98.78,99.4,99.74,100.22,100.64,101.37,101.86,102.16,102.53,102.83,103.09,103.46,103.74,104.21,104.62,104.94,105.38,106.19,106.81,107.25,107.81,108.78,109.45,110.05,109.91,110.28,110.62,110.91,111.4,112.08,112.36,112.85
"18","8","  Implicit price deflator","A190RD",15.75,15.99,16.25,16.6,16.78,16.98,17.28,17.29,17.26,17.15,17,17.01,16.94,17.03,17.37,17.64,18.26,18.34,18.42,18.66,18.65,18.74,18.9,18.98,19.01,19.05,19.12,19.19,19.27,19.3,19.3,19.33,19.4,19.52,19.65,19.78,19.97,20.16,20.39,20.51,20.76,20.9,21.06,21.18,21.37,21.47,21.53,21.59,21.64,21.68,21.75,21.84,21.89,21.98,22.08,22.18,22.21,22.25,22.3,22.36,22.49,22.55,22.61,22.69,22.78,22.8,22.83,22.97,23.05,23.12,23.24,23.34,23.45,23.56,23.67,23.82,23.96,24.19,24.43,24.64,24.76,24.92,25.15,25.43,25.72,26.01,26.26,26.62,26.88,27.25,27.65,28.01,28.4,28.81,29.04,29.42,29.85,30.25,30.57,30.82,31.28,31.47,31.77,32.15,32.58,33.12,33.76,34.34,35.04,35.81,36.9,38.03,38.9,39.45,40.17,40.87,41.32,41.76,42.34,43.08,43.8,44.52,45.16,45.92,46.68,47.61,48.45,49.43,50.4,51.56,52.61,53.67,54.88,56.14,57.42,58.97,60.45,61.54,62.75,63.91,64.83,65.66,66.56,67.26,67.78,68.4,68.98,69.56,70.39,70.97,71.54,72.06,72.84,73.33,73.73,74.25,74.54,74.92,75.39,75.92,76.59,77.13,77.69,78.33,78.87,79.68,80.64,81.26,82.1,82.93,83.53,84.15,85.1,86.1,86.92,87.7,88.71,89.35,89.92,90.4,91.1,91.62,91.92,92.5,93.27,93.77,94.2,94.74,95.23,95.67,96.25,96.7,97.41,97.82,98.27,98.77,99.39,99.74,100.22,100.64,101.37,101.85,102.16,102.53,102.83,103.09,103.45,103.73,104.2,104.61,104.94,105.37,106.19,106.81,107.25,107.81,108.78,109.45,110.05,109.91,110.27,110.62,110.91,111.4,112.08,112.36,112.85
"19",NA,"Gross domestic purchases:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","9","  Current dollars","A712RT",2.87,2.9,2.95,3.11,3.21,3.32,3.41,3.43,3.34,3.29,3.33,3.32,3.46,3.59,3.84,3.97,4.17,4.24,4.3,4.35,4.4,4.44,4.54,4.72,4.8,4.86,4.84,4.77,4.76,4.77,4.82,4.92,5.09,5.21,5.31,5.39,5.42,5.48,5.53,5.62,5.73,5.77,5.86,5.81,5.74,5.8,5.97,6.15,6.3,6.48,6.47,6.52,6.67,6.65,6.67,6.59,6.64,6.79,6.93,7.09,7.27,7.35,7.44,7.5,7.61,7.7,7.87,7.97,8.16,8.29,8.43,8.49,8.78,8.91,9.14,9.42,9.73,9.86,10.05,10.21,10.34,10.4,10.6,10.81,11.17,11.47,11.67,11.89,12.2,12.39,12.64,12.72,12.87,13.06,13.3,13.34,13.91,14.23,14.48,14.67,15.2,15.64,15.94,16.41,16.99,17.41,17.6,18.1,18.29,18.9,19.29,19.66,19.67,20.08,20.86,21.48,22.35,22.83,23.31,23.95,24.81,25.67,26.43,27.11,27.71,29.1,29.9,30.82,31.51,32.3,33.23,34.08,35.06,34.85,35.31,37.05,38.84,39.26,40.42,40.74,40.63,41.18,41.87,42.33,43.07,44.73,46.17,47.58,49.45,50.78,51.6,52.4,53.16,54.22,55.3,56.35,56.98,57.51,58.49,59.1,60.13,61.26,62.17,63.7,64.26,65.42,66.41,67.86,69.14,70.15,70.96,71.7,73.33,74.17,74.96,74.91,74.91,75.61,76.41,77.13,78.35,79.77,80.77,82.38,83.12,84.21,85.13,86.83,88.07,89.85,91.05,92.53,93.54,94.3,95,96.03,97.51,99.62,100.85,102.01,103.94,105.73,107.31,108.62,110.74,112.02,113.66,115.77,117.55,119.13,121.37,124.06,126.3,128.75,129.83,130.94,131.62,131.81,131.74,132.84,135.07,136.7,138.43,140.02,141.43,143.09,145.87
"21","10","  Chain-type quantity index","B712RA",18.3,18.43,18.47,18.98,19.4,19.86,19.95,20.02,19.58,19.53,19.82,19.76,20.62,21.27,22.26,22.59,22.8,23.05,23.39,23.42,23.75,23.9,24.2,25.09,25.54,25.79,25.58,25.16,25.01,25,25.25,25.71,26.46,26.98,27.28,27.47,27.34,27.46,27.4,27.74,27.89,27.88,28.17,27.92,27.32,27.52,28.12,28.83,29.49,30.3,30.21,30.33,30.87,30.67,30.65,30.19,30.35,31.01,31.55,32.2,32.82,33.1,33.45,33.61,33.97,34.3,34.99,35.17,35.86,36.34,36.82,36.92,38.01,38.43,39.26,40.16,41.23,41.45,41.81,42.16,42.55,42.53,42.89,43.27,44.22,44.98,45.29,45.51,46.23,46.34,46.61,46.32,46.19,46.25,46.65,46.16,47.44,47.89,48.18,48.4,49.44,50.5,50.94,51.78,52.99,53.27,52.93,53.24,52.55,52.73,52.28,51.84,50.74,51.05,52.18,52.82,54.35,54.95,55.27,55.83,56.8,57.74,58.66,58.95,59.36,61.16,61.76,62.46,62.59,62.65,62.81,62.83,62.87,60.99,60.46,61.89,63.25,62.79,63.59,62.97,62,62.13,62.35,62.4,63.17,65.05,66.58,68.12,69.98,71.29,71.96,72.6,73.03,73.96,75.04,75.77,76.27,76.83,77.61,77.87,78.36,79.14,79.69,81.01,81.14,81.78,82.25,83.33,83.94,84.26,84.73,84.93,85.79,85.98,85.91,84.74,84.1,84.47,84.86,85.14,85.87,86.9,87.55,88.77,88.98,89.62,90.28,91.57,92.5,93.85,94.44,95.53,95.94,96.19,96.53,97.15,98.09,99.89,100.71,101.32,102.64,104.18,105.47,106.42,108.47,109.55,110.85,112.59,113.92,114.86,116.49,118.42,119.47,121.13,121.5,121.88,121.55,121.2,121.18,122.06,123.74,124.53,125.72,126.62,126.81,128.19,130.06
"22","11","  Chain-type price index","B712RG",15.57,15.75,16.01,16.35,16.56,16.76,17.07,17.06,17.03,16.93,16.8,16.82,16.78,16.87,17.22,17.52,18.15,18.25,18.3,18.53,18.51,18.59,18.73,18.79,18.8,18.83,18.9,18.97,19.07,19.1,19.1,19.13,19.19,19.3,19.43,19.56,19.75,19.93,20.15,20.26,20.49,20.63,20.78,20.89,21.06,21.16,21.22,21.27,21.33,21.37,21.43,21.52,21.57,21.66,21.76,21.86,21.88,21.91,21.96,22.01,22.13,22.2,22.26,22.34,22.42,22.45,22.49,22.63,22.72,22.79,22.9,22.99,23.08,23.19,23.3,23.46,23.59,23.81,24.03,24.22,24.32,24.47,24.7,24.96,25.24,25.51,25.77,26.13,26.37,26.73,27.11,27.46,27.85,28.24,28.51,28.89,29.31,29.71,30.04,30.3,30.76,30.98,31.3,31.67,32.09,32.69,33.29,33.91,34.8,35.79,36.87,37.93,38.76,39.33,39.99,40.67,41.11,41.56,42.18,42.88,43.68,44.45,45.14,45.92,46.67,47.6,48.45,49.37,50.38,51.58,52.89,54.2,55.73,57.14,58.43,59.89,61.42,62.53,63.56,64.7,65.56,66.29,67.16,67.83,68.22,68.8,69.35,69.83,70.67,71.25,71.72,72.18,72.8,73.32,73.73,74.38,74.71,74.85,75.37,75.94,76.76,77.4,78.01,78.64,79.21,80.01,80.75,81.46,82.36,83.26,83.74,84.43,85.48,86.27,87.26,88.41,89.09,89.51,90.04,90.6,91.25,91.81,92.26,92.81,93.42,93.98,94.32,94.83,95.22,95.74,96.43,96.86,97.51,98.04,98.42,98.85,99.42,99.74,100.16,100.68,101.28,101.49,101.74,102.07,102.09,102.26,102.54,102.84,103.19,103.72,104.21,104.77,105.72,106.3,106.87,107.43,108.3,108.76,108.72,108.84,109.15,109.77,110.11,110.59,111.53,111.62,112.16
"23","12","  Implicit price deflator","A712RD",15.68,15.76,15.97,16.37,16.54,16.73,17.09,17.14,17.06,16.87,16.79,16.82,16.79,16.87,17.24,17.6,18.28,18.4,18.4,18.59,18.54,18.56,18.77,18.81,18.81,18.83,18.91,18.96,19.04,19.06,19.1,19.15,19.23,19.31,19.45,19.64,19.83,19.95,20.2,20.27,20.55,20.68,20.79,20.79,21.01,21.08,21.23,21.34,21.36,21.37,21.42,21.51,21.6,21.68,21.76,21.82,21.87,21.9,21.96,22.03,22.16,22.2,22.25,22.33,22.41,22.44,22.49,22.67,22.74,22.8,22.88,22.99,23.09,23.19,23.29,23.47,23.6,23.8,24.03,24.22,24.3,24.45,24.71,24.98,25.26,25.5,25.77,26.13,26.38,26.73,27.11,27.47,27.86,28.24,28.51,28.89,29.32,29.71,30.05,30.31,30.74,30.97,31.3,31.69,32.07,32.68,33.25,34,34.82,35.84,36.89,37.93,38.76,39.33,39.97,40.67,41.12,41.55,42.17,42.9,43.68,44.45,45.06,45.99,46.68,47.59,48.42,49.34,50.35,51.56,52.9,54.24,55.76,57.14,58.41,59.86,61.42,62.53,63.56,64.7,65.54,66.28,67.16,67.84,68.18,68.77,69.34,69.85,70.67,71.23,71.71,72.18,72.79,73.32,73.7,74.38,74.7,74.85,75.37,75.9,76.74,77.4,78.01,78.64,79.2,80.01,80.74,81.44,82.36,83.25,83.74,84.42,85.48,86.26,87.26,88.39,89.08,89.51,90.04,90.6,91.24,91.8,92.25,92.8,93.41,93.96,94.3,94.83,95.21,95.74,96.42,96.86,97.5,98.03,98.42,98.84,99.41,99.74,100.15,100.68,101.27,101.49,101.74,102.07,102.09,102.25,102.54,102.83,103.19,103.72,104.2,104.76,105.71,106.29,106.86,107.43,108.29,108.75,108.72,108.83,109.15,109.77,110.11,110.59,111.53,111.63,112.16
"24",NA,"Final sales to domestic purchasers:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","13","  Current dollars","A713RT",2.87,2.93,3,3.1,3.17,3.26,3.33,3.37,3.35,3.37,3.36,3.4,3.45,3.57,3.8,3.81,4.05,4.07,4.2,4.31,4.36,4.47,4.49,4.67,4.77,4.83,4.83,4.81,4.81,4.83,4.87,4.95,5.06,5.17,5.27,5.32,5.36,5.45,5.51,5.61,5.73,5.75,5.84,5.88,5.81,5.88,5.97,6.11,6.28,6.41,6.49,6.5,6.55,6.63,6.64,6.69,6.7,6.79,6.87,7.04,7.18,7.31,7.39,7.49,7.55,7.67,7.83,7.94,8.12,8.26,8.4,8.46,8.66,8.84,9.06,9.36,9.59,9.75,9.94,10.04,10.18,10.36,10.52,10.74,11.11,11.33,11.62,11.86,12.1,12.32,12.55,12.7,12.9,13.04,13.29,13.44,13.81,14.14,14.4,14.73,15.22,15.55,15.83,16.38,16.92,17.24,17.54,17.85,18.21,18.75,19.29,19.48,19.87,20.33,20.96,21.56,22.25,22.63,23.13,23.91,24.72,25.52,26.14,26.91,27.49,28.91,29.7,30.57,31.33,32.08,33.2,34.1,35.06,34.88,35.88,37.31,38.5,39.26,40.01,40.58,41.06,41.39,41.96,43,43.68,45,46.4,47.46,48.71,50.09,50.89,51.99,53.16,54.15,55.31,56.14,56.81,57.53,58.8,59.49,60,61.28,62.4,63.14,64.29,65.42,66.43,67.88,68.79,69.96,71.1,71.76,73.44,74.02,74.97,75.34,75.39,76.12,76.69,77.03,78.66,79.8,80.83,82.44,82.98,84.22,85.37,86.95,87.84,89.18,90.74,91.93,93.1,94.2,95.19,96.14,97.8,99.63,100.6,101.98,103.72,105.02,107.08,108.2,109.8,111.93,113.21,115.26,117.05,119.23,121.24,123.4,126.18,128.11,129.55,130.71,132.47,133.03,133.01,134.57,135.96,137.18,138.74,140.25,141.96,143.87,146.9
