"","Table 7#6# Chain-Type Quantity and Price Indexes for Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"11","3","  Structures","B009RA",29.12,30.64,29.62,31.75,34.15,34.04,37.06,38.33,41.09,45.39,45.37,42.64,43.65,47.12,47.76,49.91,50.46,55.71,64.59,69.02,67.26,68.21,71.89,72.12,70.94,73.12,79.08,77.43,69.32,71.02,73.97,82.66,93.08,99.23,107.09,105.47,94.53,108.03,115.92,103.43,99.69,100.95,103.42,104.95,93.38,87.7,88.39,89.14,93.39,100,109.07,116.53,114.96,122.47,120.43,100.62
"12","4","    Nonresidential buildings, including farm","B941RA",19.68,20.22,18.92,21.36,24.54,23.14,25.45,28.28,31.44,36.83,36.57,34.69,37.04,42.29,44.74,47.61,47.66,53,63.16,66.58,62.64,60.9,65.47,64.31,63.16,64.86,70.85,68.91,58.29,56.9,59.14,67.34,80.25,80.79,86.73,89.4,83.03,97.2,109.56,101.98,100.58,102.99,106.04,107.42,88.25,79.89,81.45,84.9,91.29,100,109.48,116.47,114.76,118.94,110.52,90.04
"13","5","    Utilities","B313RA",58.74,66.6,68.06,66.08,67.42,69.06,73.53,65.65,62.14,71.3,72.52,66.92,63.79,64.49,59.76,60.1,64.53,70.07,77.12,87.87,94.3,105.24,105.43,112.83,113.99,118.85,126.31,118.95,108.75,119.99,119.09,126.31,130.37,130.34,132.85,124.84,108.16,111.94,112.62,115.2,96.9,93.18,98.19,91.55,107.87,115.86,106.49,100.09,102.11,100,97.83,118.59,126.85,139.89,139.52,131.34
"14","6","    Mining exploration, shafts, and wells","B318RA",31.86,39.1,39.58,46.98,49.17,54.93,60.01,66.37,71.4,69.1,65.21,60.97,62.6,58.76,59.84,62.77,58.91,63.12,62.35,59.09,56.48,56.81,59.22,55.71,51.54,55.29,59.04,70.16,81.94,88.45,99.91,113.94,121.35,170.5,198.23,183.22,151.7,172.46,153.65,90.03,88.01,96.55,87.32,100.9,98.63,81.64,97.17,93.76,86.44,100,124.23,119.12,102.25,128.11,161.41,138.63
"15","7","    Other structures","B861RA",76.03,41.62,27.27,26.41,12.78,15.47,19.79,20.41,49.65,10.86,24.29,23.89,15.95,20.85,9.28,2.6,4.6,9.28,29.18,43.46,47.24,54.69,61.63,64.23,57.14,50.05,51.97,52.46,50.8,50.01,61.89,72.2,79.8,70.57,67.61,71.14,77.65,104.37,148.74,119.56,132.12,109.04,120.4,133.24,125.97,147.95,136.91,121.97,120.79,100,108.89,100.64,102.54,109.06,149.2,89.29
"16","8","  Equipment and software","B010RA",8.11,8.53,7.47,8.25,8.49,8.25,9,8.5,9.67,9.93,10.19,8.71,9.74,10.16,9.96,11.11,12.04,13.58,16.06,18.61,18.48,19.62,21.34,21.12,21.31,24.04,28.44,29.13,26.35,27.98,32.18,37.09,40.33,38.88,40.52,38.42,40.5,48.4,51.48,52.51,53.37,57.37,61.39,61.63,60.38,64.86,72.22,80.79,90.08,100,113.3,129.8,144.69,156.58,146.51,143.98
"17","9","    Information processing equipment and software","B679RA",0.42,0.44,0.39,0.43,0.48,0.55,0.61,0.54,0.62,0.72,0.82,0.74,0.81,0.98,1.07,1.19,1.4,1.6,1.9,2.5,2.66,2.85,3.47,3.9,4.14,4.7,5.56,6.33,6.27,7.13,8.59,11.14,13.61,16,18.46,19.68,22.87,28.68,31.92,34.47,36.58,40.52,45.7,47.5,49.69,56.75,63.83,71.93,84.5,100,121.77,149.43,176.87,203.04,190.92,196.02
"18","10","      Computers and peripheral equipment \1\","B935RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.07,0.11,0.12,0.15,0.15,0.23,0.34,0.66,1.07,1.69,2.63,3.24,4.92,8.04,10.1,11.61,14.59,16.67,20.27,20.03,21.75,29.4,37.31,46,69.4,100,145.22,208.39,292.64,347.77,338.61,400.31
"19","11","      Software \2\","B985RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.22,0.28,0.37,0.72,0.88,1.1,1.62,1.85,2.03,2.68,3.36,3.48,4,4.5,5.13,5.92,6.31,6.46,7.67,9.56,11.12,12.73,14.5,16.73,20.42,23.74,26.12,29.38,34.02,42.11,48.21,54.08,61.65,70.18,78.07,86.18,100,125.1,154.59,177.97,193.8,191.35,195.21
"20","12","      Other","B937RA",3.95,4.09,3.65,4.03,4.44,5.13,5.66,5.08,5.81,6.73,7.65,6.9,7.47,8.52,9.01,9.58,9.92,10.81,12.27,14.44,14.44,14.95,17.41,18.76,18.9,19.85,24.22,26.62,25.47,27.99,33.49,40.16,45.64,49.71,52.52,52.37,55.12,62.1,64.3,67.02,64.3,68.85,71.56,72.22,71.22,75.45,79.47,86.53,93.27,100,107.02,118.35,129.89,154.57,135.16,130.48
"21","13","    Industrial equipment","B680RA",30.2,27.91,21.54,24.91,28,29.09,32.1,33.13,32.87,36.3,36.74,30.53,31.04,33.55,31.78,33.44,36.07,40.82,48.13,55.32,55.58,54.49,58.05,58.95,54.15,58.37,68.96,74.26,62.89,63.17,66.95,74.47,79.88,76.46,75.28,68.66,63.06,72.2,75.51,75.11,73.22,76.89,82.36,77.56,72.59,73.91,80.32,87.68,96.26,100,102.62,106.72,108.09,117.86,112.69,107.67
"22","14","    Transportation equipment","B681RA",18.55,19.31,19.2,21.25,20.41,16.85,20.05,17.56,22.35,20.08,21.46,15.65,20.74,21.37,20.2,24.9,24.11,27.27,34.16,37.58,36.33,43.68,45.43,37.27,40.26,46.77,56.24,50.91,43.86,48.76,59.26,65.48,68.37,55.84,54.26,48.06,54.31,64.72,67.62,65.71,63.37,67.38,61.09,62.89,63.17,66.45,74.43,86.69,92.29,100,108.33,121.1,139.06,134.32,117.8,105.81
"23","15","    Other","B862RA",25.73,31.23,26.17,27.72,27.89,28.2,27.4,25.91,30.49,31.57,29.78,30.12,32.35,29.8,29.54,31.54,36.73,40.69,45.13,50.82,48.15,48.44,51.58,53.73,53.69,61.16,71.21,70.68,65.76,66.23,74.96,82.4,83.15,73.99,76.02,66.62,64.44,73.64,74.14,72.71,74.92,78.42,87.73,86.01,74.75,75.2,83.43,89.98,94.97,100,111.48,122.11,123.12,129.24,125.83,124.61
"24","16","Residential","B011RA",26.65,31.89,29.48,40.33,33.76,33.16,34.33,37.18,43.2,39.69,37.26,37.65,47.26,43.89,44.02,48.24,53.92,57.05,55.39,50.43,48.84,55.5,57.14,53.73,68.46,80.63,80.11,63.57,55.32,68.34,83.02,88.26,85.03,67.05,61.68,50.45,71.19,81.56,82.67,92.58,92.79,92.32,88.53,80.92,70.57,82.09,88.09,96.64,93.13,100,102.04,110.17,117.58,118.88,119.22,123.92
"25","17","  Structures","B012RA",27.49,33,30.5,41.8,34.92,34.29,35.49,38.47,44.72,40.94,38.38,38.74,48.67,45.2,45.33,49.7,55.56,58.78,56.91,51.69,50,56.75,58.28,54.59,69.79,82.16,81.4,64.17,55.72,69.17,84.23,89.5,85.98,67.39,61.85,50.32,71.53,82.03,83.01,93.04,93.16,92.6,88.68,80.93,70.37,82.15,88.16,96.79,93.05,100,102.02,110.22,117.59,118.79,119.12,123.84
"26","18","    Single family","B944RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.63,50.06,47.44,50.6,54.03,59.28,57.93,51.59,50.56,55.58,52.77,45.85,63.64,75.65,74,56.79,51.86,72.21,92.77,95.85,84.96,55.89,50.87,38.97,67.34,77.76,76.71,87.37,93.95,92.33,89.24,80.82,70.58,85.3,93.02,102.58,92.8,100,99.66,110.57,118.76,120.06,121.05,125.99
"27","19","    Multifamily","B292RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.33,66.28,83.51,121.43,162.99,161.9,145.52,122.01,105.98,153.1,190.46,186.42,237.25,297.06,305.4,196.64,87.71,84.96,112.64,126.88,154.98,138.75,133.44,108.77,148.94,182.02,177.32,182.58,144.04,122.91,122.6,106.96,82.43,70.05,56.48,72.97,90.45,100,107.74,106.53,114.98,113.04,120.21,129.37
"28","20","    Other structures","B863RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.95,34.32,35.01,35.23,38.02,39.34,39.28,38.69,38.64,40.55,41.47,41.93,47.65,52.25,51.09,49.72,53.91,61.08,66.78,73.2,73.92,68.96,62.83,54.2,62.89,69.48,73.96,84.07,83.15,87.57,81.99,76.42,67.83,80,87.13,93.32,93.78,100,104.08,110.42,116.55,118.18,116.48,120.15
"29","21","  Equipment","B013RA",6.94,7.2,6.75,8.5,7.86,7.82,8.22,8.47,9.64,10.67,10.7,11.37,13.63,12.79,12.82,13.59,15.16,16.24,18.15,18.57,19.04,22.7,25.89,28.19,31.63,37.89,42.63,43.43,40.42,42.53,46.55,50.64,55.48,55.53,55.46,53.3,59.5,65.95,71.15,76.98,80.12,82.84,83.28,80.77,77.61,80.01,85.54,90.65,96.32,100,102.89,108.24,117.48,123.3,123.67,127.27
"30",NA,"Chain-type price indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","22","      Private fixed investment","B007RG",19.22,20.86,21.28,21.75,23.62,24.19,24.4,24.57,24.97,26.43,27.35,27.46,27.72,27.87,27.78,27.81,27.73,27.9,28.39,28.99,29.81,31.02,32.56,33.96,35.69,37.23,39.3,43.18,48.59,51.42,55.46,60.17,65.65,71.83,78.55,82.91,82.81,83.37,84.45,86.51,88.12,90.48,92.76,94.7,96.14,96.07,97.46,98.92,100.14,100,99.93,99.03,98.87,100,101.16,100.76
"32","23","Nonresidential","B008RG",21.38,23.22,23.78,24.26,26.58,27.17,27.42,27.67,28.04,30.24,31.78,32.02,32.44,32.59,32.41,32.42,32.43,32.6,32.99,33.49,34.36,35.58,37.07,38.82,40.67,42.08,43.71,47.95,54.55,57.59,61.54,65.69,71.07,77.39,84.93,89.69,88.93,88.83,89.57,91.17,92.01,94.17,96.29,98.23,99.8,99.29,99.81,100.54,100.93,100,99.02,96.95,95.53,95.59,95.73,94.43
"33","24","  Structures","B009RG",12.42,13.82,13.77,13.94,15.56,15.96,16.27,16.08,16.4,17.8,18.56,18.38,18.48,18.46,18.35,18.5,18.67,18.94,19.49,20.19,20.82,21.87,23.31,24.83,26.74,28.68,30.91,35.15,39.34,41.25,44.81,49.15,54.87,59.97,68.31,73.76,71.82,72.42,74.11,75.54,76.72,79.98,83.1,85.77,87.32,87.29,90.22,93.5,97.39,100,104.23,107.72,109.69,114.04,119.76,118.95
"34","25","    Nonresidential buildings, including farm","B941RG",12.87,14.29,13.92,13.85,15.68,16.11,16.19,15.75,16.04,17.41,18.09,17.78,17.63,17.6,17.54,17.75,18.09,18.45,19.05,19.75,20.37,21.4,23.01,24.43,26.53,28.67,30.98,34.39,37.74,39.06,41.7,45.66,50.67,56.41,61.52,65.39,67.41,70.01,72.26,74.77,77.51,80.38,83.23,85.85,87.09,87.62,90.57,94.02,97.8,100,103.22,106.99,111.51,116.44,121.05,123.06
"35","26","    Utilities","B313RG",12.31,13.74,14.26,14.89,16.12,16.52,17.34,17.69,18.16,19.7,20.71,20.95,21.41,21.54,21.45,21.25,21.31,21.37,21.86,22.37,23.03,24.19,25.34,27.23,29.07,30.62,32.91,38.55,43.58,46.3,50.03,52.96,58.58,64.35,68.97,72.31,73.7,74.38,75.32,75.09,75.82,79.18,83.49,85.93,86.75,87.82,90.62,94.24,97.3,100,102.34,103.52,103.41,106.6,109.45,112.12
"36","27","    Mining exploration, shafts, and wells","B318RG",13.44,14.96,14.57,14.49,16.49,16.84,16.94,16.48,16.75,18.21,18.93,18.43,19.1,18.88,18.42,18.78,18.12,18.15,18.52,19.69,20.4,21.37,22.39,23.72,24.48,26.33,27.98,34.9,42.61,46.19,54.41,64.18,74.39,76.15,101.58,115.84,93.78,86.03,86.18,82.61,70.35,77.22,80.97,84.23,89.17,82.47,86.39,88.24,94.58,100,114.72,120.12,105.77,107.97,125.45,104.34
"37","28","    Other structures","B861RG",11.33,12.59,12.36,11.85,13.5,14.07,14.02,13.59,13.48,14.85,15.8,15.86,15.16,14.77,15.3,18.02,19.28,19.28,19.78,20.63,21.4,22.38,24.04,26.01,27.91,29.71,31.89,37.96,42.57,43.66,46.45,48.35,52.59,59.73,67.56,73.14,73.49,72.75,73.89,76.41,79.44,81.47,83.41,86.68,88.77,89.5,90.43,92.87,96.78,100,103.12,104.67,106.05,109.69,113.16,116
"38","29","  Equipment and software","B010RG",28,30.03,31.22,32,34.69,35.38,35.49,36.31,36.64,39.33,41.56,42.37,43.15,43.51,43.28,43.08,42.86,42.84,42.91,43.05,44.03,45.24,46.52,48.25,49.73,50.37,51.25,55.08,63.24,67.02,71.02,74.84,79.67,86.58,92.86,96.6,96.91,96.29,96.28,97.92,98.53,99.95,101.45,102.93,104.48,103.75,103.24,102.98,102.12,100,97.32,93.54,91.18,90.11,88.76,87.36
"39","30","    Information processing equipment and software","B679RG",141.36,144.35,145.47,148.49,157.3,154.66,154.22,155.65,157.34,161.75,169.53,171.44,173.1,172.39,170.21,166.5,160.94,158.63,154.83,147.61,146.07,145.37,146.91,148.57,145.67,142.99,144.29,147.58,156.7,158.38,156.49,150.96,149.82,151.42,155.34,157.24,153.39,147.67,142.69,138.92,135.09,133.9,131.75,129.04,127.05,121.12,117.25,113.09,107.91,100,92.98,84.65,79.18,76.62,73.72,71.04
"40","31","      Computers and peripheral equipment \1\","B935RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101372.41,79593.23,58800.75,41710.29,27395.08,22916.38,18935.95,13272.76,10784.1,9202.6,8332.26,7484.38,5698.68,4592.35,4354.02,3554.9,3288.45,2746.48,2390.14,1616.81,1339.69,1045.6,918.9,822.28,685.55,554.63,471.5,406.17,345.96,321.35,300.08,272.27,244.6,209.19,178.37,157.29,131.29,100,77.38,56.99,43.6,37.87,30.91,26.26
"41","32","      Software \2\","B985RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.17,61.42,62.45,62.86,63.05,64.35,64.9,65.7,66.66,68.3,70.22,72.6,72.77,73,75.15,80.15,84.85,86.71,89.04,90.09,95.24,100.79,106.78,111.75,112.92,113.52,113.45,111.69,112.26,113.52,110.87,109.34,109.99,103.65,103.92,101.61,101.89,100,97.84,95.22,95.96,97.28,99.1,98.43
"42","33","      Other","B937RG",35.85,36.62,36.9,37.66,39.9,39.23,39.12,39.48,39.91,41.03,43,43.48,43.94,44.02,44.05,43.92,44.19,44.5,44.53,45.05,46.49,47.71,49.31,51.07,52.9,54.3,55.4,58.95,64.31,67.22,67.6,70.21,71.84,76.99,82.17,85.95,88.11,90.31,91.67,94,95.93,97.2,98.48,99.64,100.81,101.74,102.16,101.89,100.65,100,99.52,96.97,94.86,92.93,91.37,90.23
"43","34","    Industrial equipment","B680RG",11.05,11.97,12.52,13.05,14.71,14.82,15.23,15.5,16.06,17.74,19.07,19.51,19.95,20.34,20.17,20.17,20.23,20.41,20.72,21.27,22.19,23.12,23.9,25.09,26.22,26.75,27.5,30.09,36.28,39.33,42.91,46.67,51.26,57.93,63.48,66.52,67.89,68.65,69.8,73,76.16,79.59,82.5,86.48,89.58,91.6,92.87,94.74,97.98,100,100.71,101.33,101.98,102.55,103.4,103.56
"44","35","    Transportation equipment","B681RG",19.08,20.44,21.39,21.77,23.15,24.53,23.61,24.65,24.17,26.53,27.72,28.13,28.72,28.67,28.61,28.3,28.17,27.92,27.85,27.81,28.27,29.06,29.94,31.37,32.92,33.64,34,37.16,41.31,44.28,47.72,52.03,56.48,62.38,67.07,70.13,71.25,72.09,74.23,78.64,80.03,81.28,84.08,86.7,90.63,93.27,94.91,97.79,98.39,100,100.64,99.97,100.81,101.67,101.32,101.26
"45","36","    Other","B862RG",14.34,15.53,16.11,16.46,17.77,17.85,18.27,18.5,18.68,19.27,20.26,20.75,21.07,21.36,21.37,21.59,21.74,21.93,22.13,22.63,23.38,24.26,25.12,26.03,27.28,28.05,28.65,31.18,37.89,40.69,44.22,47.89,52.29,58.77,65.44,70.15,71.81,73.12,74.56,77.01,79.03,81.36,84.58,87.86,90.7,92.68,94.26,95.73,97.61,100,101.04,102.35,103.44,103.84,105.16,105.76
"46","37","Residential","B011RG",14.44,15.65,15.86,16.25,17.42,17.9,18.03,18.1,18.47,18.95,18.99,18.95,18.99,19.12,19.15,19.18,19.02,19.18,19.72,20.44,21.15,22.27,23.81,24.58,26,27.58,30.03,33.12,36.2,38.53,42.41,47.61,52.95,58.68,63.47,66.87,68.4,70.37,72.18,75.21,78.29,80.99,83.59,85.54,86.64,87.69,91.24,94.48,97.91,100,102.68,105.58,109.59,114.4,119.09,121.57
"47","38","  Structures","B012RG",13.99,15.18,15.4,15.78,16.92,17.39,17.52,17.6,17.98,18.46,18.51,18.47,18.51,18.65,18.68,18.72,18.58,18.73,19.28,20,20.71,21.83,23.36,24.12,25.55,27.13,29.59,32.68,35.71,38.02,41.92,47.12,52.47,58.21,62.97,66.33,67.85,69.84,71.7,74.78,77.89,80.63,83.27,85.25,86.39,87.46,91.09,94.36,97.87,100,102.75,105.73,109.88,114.81,119.61,122.16
"48","39","    Single family","B944RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.53,18.66,18.66,18.76,18.58,18.71,19.35,20.18,20.91,22.07,23.46,24.04,25.48,27.29,29.88,32.87,35.92,38.17,42.15,47.73,53.48,59.57,64.29,66.87,67.38,69.19,70.56,73.48,76.57,79.4,82.32,84.55,84.98,85.84,90.04,94.25,98.2,100,102.92,105.6,110.4,115.5,120.5,123.2
"49","40","    Multifamily","B292RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,19.53,19.54,19.62,19.43,19.6,20.31,21.14,21.93,23.15,24.61,25.12,26.68,28.57,31.32,34.33,37.47,40.02,43.76,49.76,54.02,59.25,64.38,70.29,74.16,76.29,79.19,83.65,86.94,89.26,89.51,88.55,90.42,91.97,93.99,94.95,97.32,100,104.51,113.5,117.4,123,125.6,127.74
"50","41","    Other structures","B863RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.92,19.08,19.18,19.1,19.03,19.24,19.54,20.04,20.73,21.75,23.67,24.92,26.31,27.36,29.46,32.94,36.01,38.4,42.34,46.85,52.07,57.69,62.48,65.8,67.64,69.88,72.04,74.89,78.03,80.77,83.61,85.93,87.86,89.15,92.19,94.45,97.55,100,102.26,104.63,107.99,112.6,117.49,119.9
"51","42","  Equipment","B013RG",56.71,59.92,57.9,57.65,61.66,61.5,61.33,60.32,58.54,56.08,55.56,54.72,54.66,54.06,53.08,51.92,51.04,50.51,49.45,48.7,48.79,49.84,50.96,51.95,52.8,52.97,53.29,56.59,62.03,65.18,67.28,70.54,74.58,79.44,85.17,90.42,92.67,93.41,92.85,93.33,94.66,95.6,96.47,97.18,96.76,96.68,97.21,99.06,99.4,100,99.98,99.55,98.08,98.1,98.5,98.17
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53"," 1. Includes new computers and peripheral equipment only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54"," 2. Annual chain-type quantity indexes for computers and peripheral equipment:  1959, .00003; 1960, .00034; 1961, .00063;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1962, .00117; 1963, .00378; 1964, .00571; 1965, .00867; 1966, .01806; 1967, .02446; 1968, .02952; 1969, .04133;  1970, .05133; ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1971, .06870.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Quarterly chain-type quantity indexes for computers and peripheral equipment: 1959:I, .00000; 1959:II, .00000; 1959:III, .00002; ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1959:IV, 00008; 1960:I, .00018; 1960:II, .00023; 1960:III, .00032; 1960:IV, .00063;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1961:I, .00043; 1961:II, .00043; 1961:III, .00083,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
