"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/26/2015 3:15:19 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Gross domestic investment","W170RC1",233.1,229.8,255.3,288.8,332.6,350.7,341.7,412.9,489.8,583.9,659.8,666.1,778.6,738,808.7,1013.3,1049.5,1087.2,1146.8,1195.4,1270.1,1283.8,1238.4,1309.1,1398.7,1550.7,1625.2,1752,1925.1,2076.7,2252.7,2424,2342.3,2368.6,2493.2,2765.1,3040.8,3233,3236,3059.4,2525.1,2752.6,2877.8,3098.6,3244.3
"9","2","      Less: Consumption of fixed capital","A262RC1",124.9,136.8,148.9,160.9,178.1,206.2,237.5,259.2,288.3,325.1,371.1,426,485,534.3,560.5,594.3,636.7,682.2,728,782.4,836.1,886.8,931.1,959.7,1003.6,1055.6,1122.8,1176,1240,1310.3,1400.9,1514.2,1604,1662.1,1727.2,1831.7,1982,2136,2264.4,2363.4,2368.4,2381.6,2450.6,2530.2,2627.2
"10","3","      Equals: Net domestic investment","W171RC1",108.2,93.1,106.5,127.9,154.5,144.5,104.1,153.7,201.4,258.9,288.6,240,293.5,203.7,248.1,418.9,412.9,405.1,418.9,413,434,397,307.3,349.4,395.1,495.1,502.4,576,685.2,766.5,851.8,909.8,738.3,706.5,766,933.4,1058.8,1097,971.6,696.1,156.8,371,427.1,568.4,617.1
