"","Table 4#2#3U# Real Exports and Imports of Goods and Services by ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"15","8","      Nondurable goods, excluding petroleum and products","IB0000053",79.958,86.995,86.733,89.574,91.419,95.945,96.059,100.985,105.485,110.04,100,114.859,119.488,119.607,120.743,120.034,119.287
"16","9","  Capital goods, except automotive","B640RA3",77.005,88.593,79.796,72.868,74.594,83.512,91.13,102.004,110.292,116.901,100,113.699,124.452,131.831,132.856,136.274,132.849
"17","10","    Civilian aircraft, engines, and parts","B688RA3",108.013,93.468,96.746,90.232,80.866,77.029,89.474,99.195,107.446,103.882,100,93.73,101.002,115.351,126.018,131.516,134.884
"18","11","    Computers, peripherals, and parts","B850RA3",71.661,89.579,79.202,68.442,72.587,78.966,91.04,99.611,103.129,108.486,100,119.254,139.243,140.489,140.764,144.457,145.791
"19","12","    Other","B689RA3",72.425,87.073,76.449,70.235,73.705,85.81,91.541,103.078,112.154,121.481,100,118.362,128.891,135.022,133.344,136.098,130.1
"20","13","  Automotive vehicles, engines, and parts","B641RA3",100.558,106.202,99.252,103.342,104.814,115.175,125.488,135.119,151.022,149.671,100,136.423,159.266,171.901,178.581,185.72,176.559
"21","14","  Consumer goods, except food and automotive","B642RA3",58.58,64.427,63.92,61.365,65.037,73.976,81.694,90.328,100.004,108.186,100,109.278,114.242,116.607,122.704,130.862,133.178
"22","15","    Durable goods","B690RA3",59.462,65.976,65.474,62.182,64.945,75.739,86.328,97.95,112.71,121.18,100,117.497,128.664,128.719,137.955,146.933,141.915
"23","16","    Nondurable goods","B691RA3",57.825,62.992,62.479,60.696,65.342,72.36,77.106,82.662,87.153,95.041,100,101.119,100.065,104.67,107.713,115.064,124.697
"24","17","  Other","B643RA3",117.247,112.368,108.124,114.966,104.18,105.205,114.736,120.348,118.082,107.263,100,100.774,84.768,87.062,90.139,103.488,120.258
"25","18","    Other durable goods n.e.c.","Y973RA3",118.282,113.671,109.399,115.335,104.359,103.45,113.787,119.266,117,106.324,100,101.55,85.19,87.456,90.722,104.531,121.568
"26","19","    Other nondurable goods","Y974RA3",116.242,111.102,106.885,114.607,104.007,106.91,115.659,121.399,119.132,108.176,100,100.021,84.358,86.678,89.573,102.473,118.985
"27","20","      Net exports of goods under merchanting","Y975RA3",47.107,23.939,21.581,90.196,92.357,224.746,179.496,194.137,191.826,171.324,100,48.774,55.946,60.235,50.511,32.51,31.172
"28","21","      Other other nondurable goods n.e.c.","Y976RA3",118.278,113.667,109.395,115.331,104.356,103.448,113.783,119.262,116.997,106.321,100,101.526,85.191,87.454,90.719,104.528,121.564
"29","22","Exports of services \1\","B646RA3",64.786,67.802,64.4,66.145,67.129,75.66,78.508,84.863,96.462,101.082,100,106.77,114.921,118.388,121.602,123.012,127.943
"30","23","  Transport","Y800RA3",97.183,96.929,88.627,88.557,82.447,87.49,91.032,97.028,105.738,110.525,100,105.914,108.866,111.104,116.091,117.968,120.157
"31","24","    Sea Transport","Y977RA3",104.926,102.743,98.885,102.64,94.503,96.01,96.779,112.472,122.478,125.487,100,111.099,111.506,112.736,112.99,115.909,118.169
"32","25","      Freight","Y978RA3",134.393,142.368,123.448,118.963,121.019,113.431,100.619,98.296,123.177,127.272,100,116.162,109.45,111.278,108.707,110.583,111.168
"33","26","      Port","Y979RA3",93.997,87.804,89.585,96.608,84.277,89.334,95.185,117.497,122.256,124.878,100,109.442,112.284,113.315,114.481,117.743,120.577
"34","27","    Air Transport","Y980RA3",96.143,96.764,85.828,84.167,78.143,83.689,88.551,92.001,101.12,106.853,100,104.865,108.855,110.93,118.27,120.541,122.946
"35","28","      Passenger","Y981RA3",111.882,113.259,95.556,87.987,72.887,78.537,83.715,87.495,93.29,103.844,100,102.314,109.392,112.877,121.78,127.959,134.921
"36","29","      Freight","Y982RA3",55.341,64.552,61.421,66.031,80.342,86.569,95.291,97.678,105.801,109.075,100,109.689,105.279,105.172,108.318,101.872,93.994
"37","30","      Port","Y983RA3",110.867,94.008,92.449,100.333,94.482,98.767,97.278,101.141,123.954,114.662,100,107.263,111.494,111.035,118.489,118.922,120.587
"38","31","    Other modes of transport","Y984RA3",88.977,86.541,88.06,90.813,90.049,101.944,100.608,102.107,102.11,102.016,100,100.242,99.301,106.911,98.945,92.646,92.357
"39","32","  Travel","Y801RA3",111.46,115.578,98.983,93.268,89.002,98.264,93.93,92.959,101.356,108.698,100,110.823,116.114,121.105,127.921,128.559,134.761
"40","33","    Business","Y985RA3",149.182,155.502,129.723,119.073,108.833,117.491,113.164,111.663,117.5,120.625,100,105.036,101.891,97.511,96.578,97.343,95.982
"41","34","      Expenditure of seasonal, border, and other short-term workers","Y986RA3",120.498,116.099,122.5,130.454,129.19,135.874,133.339,131.684,116.859,121.215,100,89.895,85.841,90.113,93.594,93.282,98.789
"42","35","      Other business travel","Y987RA3",155.795,164.589,131.388,116.447,104.135,113.249,108.508,107.042,117.648,120.489,100,108.53,105.594,99.216,97.264,98.278,95.331
"43","36","    Personal","Y988RA3",94.501,97.616,85.2,81.727,80.149,89.679,85.339,84.607,94.169,103.41,100,113.356,122.337,131.423,141.609,142.193,151.653
"44","37","      Education related","Y989RA3",84.536,87.64,93.088,97.285,96.392,91.878,88.909,87.877,90.573,95.991,100,103.203,107.043,112.603,119.134,129.077,139.878
"45","38","      Health-related","Y990RA3",95.225,99.819,92.307,83.805,83.955,85.317,96.55,100.136,100.056,100.038,100,99.894,99.747,99.707,99.658,99.714,99.643
"46","39","      Other personal travel","Y991RA3",96.64,99.696,82.481,77.087,75.243,89.363,84.005,83.196,95.106,105.838,100,117.238,128.298,138.949,150.819,148.234,157.675
"47","40","  Charges for the use of intellectual property n.e.c.","B684RA3",61.765,65.387,61.196,65.6,67.653,77.529,82.968,90.06,102.38,103.572,100,107.592,120.398,119.415,121.191,121.765,121.316
"48","41","  Other business services","Y802RA3",35.118,37.892,41.795,46.55,50.88,59.176,63.449,72.914,88.159,94.606,100,106.377,114.393,119.321,121.999,126.307,134.857
"49","42","    Maintenance and repair services","Y992RA3",44.998,54.672,64.794,67.354,62.535,56.535,70.111,69.045,78.655,79.198,100,106.984,101.451,121.688,131.443,156.242,184.977
"50","43","    Insurance services","Y993RA3",32.633,40.468,38.799,54.099,70.897,85.308,84.476,90.05,90.14,96.635,100,98.788,102.907,113.052,113.773,114.832,119.642
"51","44","    Financial services","Y994RA3",26.332,31.788,35.725,43.08,48.402,61.236,63.419,73.226,89.093,91.794,100,105.272,108.219,103.53,105.83,103.481,104.086
"52","45","    Telecommunications, computer, and information services","Y995RA3",10.784,12.948,15.556,16.623,24.305,32.758,42.973,56.351,87.812,102.286,100,126.62,160.699,183.303,199.229,212.235,222.485
"53","46","    Other other business services","Y996RA3",54.353,52.38,55.954,59.927,59.529,64.447,66.58,75.804,88.404,96.379,100,103.639,112.649,118.443,118.372,124.023,136.331
"54","47","  Government goods and services n.e.c.","Y803RA3",57.481,63.422,56.511,51.097,54.928,69.184,83.319,101.585,107.331,91.976,100,92.749,111.202,104.991,105.207,91.133,87.016
"55","48","  Other","B980RA3",86.582,86.421,80.221,80.234,80.753,81.243,81.668,80.861,79.389,83.534,100,93.439,107.982,129.447,111.499,100.193,102.447
"56","49","    Imports of goods and services","B021RA3",77.463,87.547,85.064,88.181,92.119,102.63,109.129,116.028,118.951,115.907,100,112.716,118.883,121.534,122.812,127.516,133.8
"57","50","Imports of goods \1\","B255RA3",80.923,91.518,88.563,91.876,96.397,107.159,114.311,121.069,123.302,118.711,100,114.869,121.496,124.013,125.215,130.575,136.834
"58","51","  Foods, feeds, and beverages","B647RA3",71.986,76.685,80.129,84.404,90.901,96.411,99.767,105.934,107.242,106.024,100,102.283,104.214,108.219,112.454,118.151,123.195
"59","52","  Industrial supplies and materials","IB0000043",100.058,105.516,104.482,105.377,109.205,121.652,126.925,128.367,124.398,117.981,100,106.162,107.585,102.971,99.38,99.958,101.248
"60","53","    Durable goods","B820RA3",115.33,123.007,115.753,121.902,123.011,147.632,157.83,172.802,156.288,143.052,100,114.905,124.26,131.01,134.352,151.222,155.861
"61","54","    Nondurable goods","IB0000073",97.572,102.306,103.511,102.468,107.343,116.159,120.082,118.037,117.174,112.284,100,103.995,103.663,96.803,91.886,89.239,90.02
"62","55","      Petroleum and products","B648RA3",97.292,100.842,103.813,101.39,108.159,115.309,117.629,115.416,112.679,108.809,100,100.485,98.592,90.458,84.163,80.267,81.593
"63","56","      Nondurable goods, excluding petroleum and products","B696RA3",100.714,107.119,105.825,106.671,108.812,120.684,127.929,126.266,130.633,122.539,100,114.243,119.472,118.004,118.802,120.887,120.587
"64","57","  Capital goods, except automotive","B650RA3",68.42,82.197,72.858,71.736,75.936,89.466,99.634,110.925,118.394,120.332,100,121.326,137.998,147.876,150.946,161.568,166.083
"65","58","    Civilian aircraft, engines, and parts","B932RA3",114.483,122.736,140.31,111.615,103.094,100.725,102.929,109.195,125.87,122.262,100,99.354,108.598,114.638,131.755,146.994,150.733
"66","59","    Computers, peripherals, and parts","B852RA3",42.667,49.926,45.395,50.062,54.598,67.675,77.366,90.781,99.731,101.45,100,126.944,136.35,141.66,141.316,142.823,144.501
"67","60","    Other","B853RA3",76.411,94.055,79.736,77.505,82.526,97.393,108.357,118.987,124.742,127.387,100,121.966,142.194,154.14,156.391,169.434,175.03
"68","61","  Automotive vehicles, engines, and parts","B651RA3",123.08,133.137,128.778,137.922,141.509,151.445,157.13,167.813,167.806,147.909,100,140.868,154.416,177.281,184.586,197.04,213.526
"69","62","  Consumer goods, except food and automotive","B652RA3",58.048,68.35,69.458,76.143,82.95,92.217,99.742,107.762,113.972,112.592,100,112.924,118.038,117.003,120.644,125.945,135.583
"70","63","    Durable goods","B697RA3",55.654,66.817,66.239,74.054,79.862,92.496,102.526,110.976,118.636,117.2,100,116.658,121.138,122.602,129.847,136.597,145.822
"71","64","    Nondurable goods","B698RA3",60.897,70.155,73.281,78.628,86.608,92.001,96.691,104.234,108.812,107.493,100,108.876,114.661,111.015,110.967,114.801,124.754
"72","65","  Other","B653RA3",102.246,114.385,116.865,120.47,114.153,113.906,118.343,118.825,118.869,105.617,100,113.188,113.706,118.991,122.385,127.989,139.159
"73","66","Imports of services \1\","B656RA3",62.471,70.353,69.9,72.183,73.71,83.078,86.821,94.297,100.156,103.91,100,103.79,107.976,111.251,112.879,114.729,121.103
"74","67","  Transport","Y804RA3",103.765,112.379,102.886,99.325,102.112,114.44,120.193,124.018,125.955,121.054,100,106.477,109.939,113.117,119.087,119.375,125.341
"75","68","    Sea Transport","Y997RA3",87.698,101.8,98.852,102.589,111.458,124.853,134.864,142.598,144.782,131.044,100,117.483,118.978,128.082,140.019,133.486,138.252
"76","69","      Freight","Y998RA3",83.747,99.919,97.986,101.452,111.644,126.521,137.091,144.104,146.134,131.385,100,118.66,120.283,129.693,141.608,133.969,138.785
"77","70","      Port","Y999RA3",156.435,135.615,116.028,124.24,111.36,98.942,99.264,119.598,124.23,126,100,100.755,100.383,105.092,117.27,126.268,130.386
"78","71","    Air Transport","Y810RA3",119.503,123.833,108.911,99.76,97.912,110.096,111.763,112.652,114.855,115.827,100,99.866,104.28,103.799,107.259,111.553,119.056
"79","72","      Passenger","Y811RA3",128.732,136.994,116.309,96.112,98.778,117.765,119.865,120.006,116.373,117.342,100,95.914,102.032,105.696,111.12,116.085,123.159
"80","73","      Freight","Y812RA3",121.823,140.012,121.048,144.069,132.076,148.395,140.785,141.502,141.308,121.24,100,117.407,109.7,104.677,107.683,122.453,136.852
"81","74","      Port","Y813RA3",99.198,90.03,87.837,88.209,81.361,78.966,83.701,85.978,99.997,110.362,100,100.016,106.728,99.008,98.015,95.585,101.18
"82","75","    Other modes of transport","Y814RA3",87.068,94.837,87.037,85.797,90.719,98.845,111.172,114.442,112.266,108.181,100,104.925,111.065,116.558,111.92,109.849,104.982
"83","76","  Travel","Y805RA3",105.162,118.655,110.291,104.965,99.916,112.868,115.166,115.339,112.91,109.905,100,104.144,104.958,116.276,120.599,128.853,144.121
"84","77","    Business","Y815RA3",156.249,170.254,152.138,137.057,125.033,139.601,137.849,132.715,127.612,115.514,100,108.348,102.638,99.207,104.001,90.362,94.046
"85","78","      Expenditure of seasonal, border, and other short-term workers","Y816RA3",47.865,52.371,56.166,45.104,64.626,71.04,72.099,89.743,91.939,93.013,100,103.196,105.376,111.281,113.289,118.687,124.818
"86","79","      Other business travel","Y817RA3",162.262,176.793,157.462,142.158,128.384,143.404,141.496,135.099,129.59,116.762,100,108.634,102.487,98.537,103.485,88.79,92.338
"87","80","    Personal","Y818RA3",89.148,102.494,97.195,94.931,92.068,104.515,108.081,109.911,108.318,108.157,100,102.843,105.67,121.532,125.709,140.696,159.525
"88","81","      Education related","Y819RA3",62.154,73.426,77.39,84.476,90.311,93.281,99.701,102.682,100.882,106.932,100,100.549,101.979,104.59,111.67,117.977,129.748
"89","82","      Health-related","Y820RA3",30.149,31.518,29.887,26.76,27.54,65.084,74.906,80.69,85.4,91.561,100,108.341,114.717,123.209,132.886,142.943,154.988
"90","83","      Other personal travel","Y821RA3",92.127,105.815,99.767,96.774,93.156,106.03,109.27,110.947,109.281,108.511,100,102.969,105.871,123.151,126.944,142.875,162.53
"91","84","  Charges for the use of intellectual property n.e.c.","B908RA3",54.111,65.869,64.765,74.655,72.087,86.047,89.585,84.848,87.166,94.423,100,102.427,110.756,116.653,116.169,123.722,128.582
"92","85","  Other business services","Y806RA3",29.267,33.818,38.061,41.612,45.371,52.692,57.558,73.69,87.563,99.122,100,103.217,110.875,112.027,113.023,112.859,116.218
"93","86","    Maintenance and repair services","Y822RA3",30.664,60.924,47.22,52.607,52.304,51.442,59.507,83.934,91.897,92.346,100,108.398,118.938,115.339,107.207,105.934,126.291
"94","87","    Insurance services","Y823RA3",21.198,27.1,39.537,45.789,49.925,58.747,59.836,72.132,82.361,97.063,100,93.371,85.376,85.64,81.63,75.669,73.201
"95","88","    Financial services","Y824RA3",50.162,70.25,73.948,70.42,69.532,83.91,86.205,100.667,124.692,112.016,100,100.832,107.346,100.769,104.123,103.325,107.85
"96","89","    Telecommunications, computer, and information services","Y825RA3",10.743,12.137,13.924,14.468,20.878,28.783,40.923,59.948,89.996,100.704,100,135.543,166.788,170.796,177.706,182.061,186.888
"97","90","    Other other business services","Y826RA3",44.361,44.211,45.47,51.169,51.441,54.836,57.481,74.458,82.581,98.212,100,101.469,116.679,120.055,124.259,128.376,134.591
"98","91","  Government goods and services n.e.c.","Y807RA3",77.739,84.9,88.387,106.232,108.627,108.314,105.307,100.404,92.766,88.379,100,103.421,96.136,87.957,78.236,73.307,77.448
"99","92","  Other","B910RA3",99.746,106.406,110.874,111.567,111.639,115.244,108.931,109.025,113.071,104.362,100,95.04,91.262,91.006,90.703,87.222,86.909
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","government, are included in services. Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
