"","Table 6#16C# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"29","21","        Other","A412RC1",17.9,16.9,18.9,17.2,15.8,18.9,15.1,17,15.3,14.1,14.7,13.2,17.9,16,15.9,14.6,15.7,20.3,18.6,15.6,16.4,16.3,18.1,19.8,19,21.1,18.4,19.7,20.2,20.5,21.9,24.4,24.5,25.4,26.6,28,27.7,30.6,27.6,32.2,30.8,34.5,35.6,32.3,27.1,26.8,31.1,34,33.7,37.1,34.3,34,36.8,32.7,24.9,18
"30","22","      Nondurable goods","A401RC1",24.5,39.6,55.8,65.1,68.8,61.1,66.1,74.7,64.7,61.7,61.1,53.7,63.4,75,65.2,76,75.9,61.3,62.7,57.4,57.3,60.1,61.9,59.1,56.9,62.4,55.3,67,66.7,70.1,78.1,82.4,83.4,92.6,101,100.8,99.6,98.1,99.3,102.7,105,105.6,108.6,110.4,95.4,89,90,72.1,101.3,102.7,95.2,87.3,100.1,108.5,104.3,94.6
"31","23","        Food and kindred products","A402RC1",8,11,12.9,13,10.8,8.9,8.7,10.5,12.8,9.8,11.2,10.9,10.5,14.6,15.8,16.9,18.1,18.3,20.3,16.5,16.7,19.7,19.7,17.5,17.7,15.8,16.5,16.2,19.1,19,21,22.5,25.2,28,28.7,28.6,23.8,19.9,21.4,25.7,24.8,25,23.8,27.2,23.5,24.9,25.9,13.6,28.4,28.7,27.2,28,27.9,25.8,29.1,21.2
"32","24","        Chemicals and allied products","A403RC1",10.2,13,17,18.1,19.3,16.7,15.9,23.2,18.6,20.9,18.4,15.4,17.1,19.5,17.7,13.7,13.3,15.2,17.7,19.1,16.7,15.5,16,16.4,16.8,14.6,13.7,19,20,22.7,24,27.6,25.4,28.7,30.1,28.6,28.2,28,25.7,24.5,29.8,31.8,34.4,33.5,29,22,25.2,28.5,31.4,31.4,22,14.3,20.1,16.7,12.1,12.4
"33","25","        Petroleum and coal products","A404RC1",-13.3,-3.8,2.3,9.2,11.1,8.8,15.3,16.2,5.8,6.6,8.6,5.4,13.6,17.9,7.9,26.6,25.7,5.8,-1.4,-0.6,-0.4,-0.5,-0.5,-1.7,-3,4.4,3.4,6.5,-0.3,-2.2,4.2,4.3,2.7,6.7,11.2,8.9,10.8,15.1,16.7,18.7,17.6,16.7,18.2,17.8,11.3,9.6,7.3,0.1,1.3,4.8,8.4,4,15.7,34.1,34.7,34.1
"34","26","        Other","A405RC1",19.7,19.4,23.6,24.8,27.6,26.7,26.2,24.9,27.5,24.3,22.9,22.1,22.3,23.1,23.9,18.9,18.8,21.9,26.1,22.4,24.3,25.5,26.6,27.1,25.5,27.6,21.7,25.3,28,30.6,28.9,28,30.2,29.1,31,34.7,36.9,35,35.6,33.9,32.8,32.1,32.2,31.9,31.6,32.5,31.6,29.9,40.2,37.8,37.6,41,36.5,31.9,28.5,26.9
"35","27","    Transportation and public utilities","A416RC1",39,46.1,41.7,42.6,45.6,46.9,50.3,52.9,45.8,45.1,42.1,42.2,43.4,48.7,47.7,39.1,51.1,54.8,53.9,55.4,60.6,59.1,56.8,60.2,66.1,68.9,70.7,75,75.9,84.4,87.4,93.1,86.4,86,91.1,88.1,90.2,95.8,92.7,96,85.4,87.7,86.2,86.8,79.2,83.2,88.9,72.9,64.8,54.3,54.8,62.5,49,44,45.4,44.7
"36","28","      Transportation","A417RC1",2.9,4.1,3.3,4.3,7.2,8.2,9.6,7.6,1.8,2.4,1.9,-0.1,1.5,4.3,-0.3,-5.8,4.5,3.7,0.5,1.7,5.9,1,0.7,2.9,5.5,6.8,7.8,9.1,8.1,10.1,11.7,14.5,11.6,12.2,12.2,12.4,13,17.3,19.2,16,18.4,18.9,20.7,20.3,21,22,24.5,20.6,17.2,16.3,14,17.3,15.1,19.4,15.7,11.1
"37","29","      Communications","A418RC1",18.3,19.8,20.1,20.1,18.3,18.7,20,21.3,19.3,17.8,15.8,20.4,18.6,20,21.1,21.1,21.5,23.8,25.2,24,28,27.9,27.5,28.5,30.1,34,33.7,34.7,36.2,38,36.7,39.6,35.5,33.4,36.1,33.1,33.6,35.1,36,39.3,26.5,27.7,26.4,25.6,23.4,25.2,26.3,15.4,10.5,4.6,2.6,6,0.2,-2.5,1.8,10.1
"38","30","      Electric, gas, and sanitary services","A419RC1",17.8,22.2,18.3,18.3,20.1,20,20.6,24,24.7,24.9,24.4,21.9,23.4,24.4,26.8,23.8,25.1,27.4,28.2,29.7,26.7,30.2,28.6,28.8,30.5,28.1,29.2,31.3,31.6,36.3,39,39.1,39.4,40.4,42.8,42.6,43.7,43.4,37.5,40.7,40.6,41.1,39.1,40.8,34.8,36.1,38.1,36.9,37.1,33.4,38.2,39.1,33.7,27.1,27.9,23.5
"39","31","    Wholesale trade","A414RC1",21.5,16.9,19.6,17.9,19,19.5,18.1,24.9,20.3,22.6,24.6,21.1,20.5,20.6,17.6,19.5,24.3,22.6,22.7,19.1,19.2,24.1,27.9,30.8,23.7,28.9,26.5,27.6,29.2,35.7,31,31.3,25,23,31.5,32.7,39.8,35.2,39.2,48,44.6,48.3,52.7,47,50.4,57.1,56.3,42.8,57.4,53,47.4,49,48.2,60.8,59.9,53.4
"40","32","    Retail trade","A415RC1",24.7,22.6,24.6,24.3,22.6,19.8,19.9,21.6,20.8,19.2,23.9,24.4,23.6,22.5,17.2,23,27.9,28.8,25.6,28.6,30.7,29.8,22.8,33.6,33.8,38.8,44.6,45.1,43.9,47,48.1,49.8,43.8,43.2,44.9,47.2,51.7,53.9,55.6,53.6,69.7,61.8,67.8,64.2,68.8,73.2,76.3,80.5,82.9,82.9,69.8,66.7,79.6,72.2,71.2,62.4
"41","33","    Other","A420RC1",20,25.4,27,25.2,29.8,30.9,28.3,28.1,25.2,25.6,27,28.9,27.8,30.8,31.4,30.3,27.2,27.3,28.8,31.4,35.8,39.8,40.4,48.4,46.8,45.5,50.2,59,61,62,67.4,70.3,70.8,72,78,81.4,90.5,92.9,96.1,98.4,106.6,105.4,109.8,110.5,98.2,93,94.2,96.5,101,110.5,105.5,97.6,81.4,81.1,72.1,71.1
"42","34","Rest of the world","B394RC1",41.3,48.5,47.8,54.5,52.7,57.7,57.2,60.4,64,64,66.6,74,73.4,75.1,70.9,84.9,84.2,74.7,70,77,78.5,75.6,71.3,67,82.8,73,80.1,71.9,75.1,77.3,79.3,80.2,88.8,96.7,87,99.3,100.7,97.9,98.7,110.7,103.3,113,109.5,104.4,108.6,106,96.1,100.3,113.9,116.6,118.5,137,131.1,138.5,144.5,168.5
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
