"","Table 6#5B# Full-Time Equivalent Employees by Industry          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2012 2:20:34 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","73","        Membership organizations","J4373C0",NA,NA,NA,NA,NA,NA,1335,1327,1316,1324,1312,1304,1291,1311,1297,1296,1296,1310,1377
"81","74","      Miscellaneous professional services","J4374C0",548,561,570,619,691,732,725,742,795,885,971,1021,1074,1029,1058,1124,1204,1254,1318
"82","75","      Private households","B4375C0",1235,1154,1080,1021,982,858,793,822,854,853,803,755,740,727,714,752,752,749,731
"83","76","  Government","A4376C0",14716,14691,14659,14677,14886,15158,15464,15542,15670,16009,16144,16288,16165,16171,16055,16264,16617,16955,17237
"84","77","    Federal","A4377C0",6484,6094,5715,5344,5194,5161,5116,5067,5047,5065,5047,5111,5135,5141,5130,5230,5275,5268,5314
"85","78","      General government","A4378C0",5640,5232,4849,4505,4360,4311,4283,4253,4239,4249,4220,4278,4296,4319,4334,4395,4442,4445,4489
"86","79","        Civilian","B4379C0",2019,1959,1947,1952,1921,1966,1988,2000,2000,2029,2031,2069,2037,2026,2026,2067,2098,2088,2121
"87","80","        Military \3\","B4380C0",3621,3273,2902,2553,2439,2345,2295,2253,2239,2220,2189,2209,2259,2293,2308,2328,2344,2357,2368
"88","81","      Government enterprises","B4381C0",844,862,866,839,834,850,833,814,808,816,827,833,839,822,796,835,833,823,825
"89","82","    State and local","A4382C0",8232,8597,8944,9333,9692,9997,10348,10475,10623,10944,11097,11177,11030,11030,10925,11034,11342,11687,11923
"90","83","      General government","A4383C0",7745,8087,8417,8791,9127,9400,9713,9834,9989,10279,10396,10451,10309,10293,10195,10292,10578,10905,11129
"91","84","        Education","B4384C0",4112,4290,4477,4653,4832,4981,5100,5163,5244,5302,5280,5250,5206,5153,5170,5226,5411,5609,5648
"92","85","        Other","B4385C0",3633,3797,3940,4138,4295,4419,4613,4671,4745,4977,5116,5201,5103,5140,5025,5066,5167,5296,5481
"93","86","      Government enterprises","B4386C0",487,510,527,542,565,597,635,641,634,665,701,726,721,737,730,742,764,782,794
"94","87","Rest of the world","A4387C0",-22,-20,-19,-21,-24,-21,-25,-25,-23,-28,-22,-24,-62,-64,-70,-73,-72,-67,-66
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","1. Full-time equivalent employees equals the number of employees on full-time schedules plus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","the number of employees on part-time schedules converted to a full-time basis.  The number of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","full-time equivalent employees in each industry is the product of the total number of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","employees and the ratio of average weekly hours per employee for all employees to average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","weekly hours per employee on full-time schedules.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","2. Beginning with 1987, reflects the reclassification of air couriers from trucking and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","3. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
