"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"13","5","S4 QN4412ZZMG     Other motor vehicle dealers","T060050",5119,4995,5163,5759,5956,6099,6094,5970,5840,6589,6512,7621,6828,7010,7444,7092,7076,7352,7680,7938,8064,7999,8343,8497,8760,9051,9400,9562,9679,10089,10104,10527,11773,10849,10854,10939,10887,11448,11053,11253,11779,11446,11657,11512,11946,12718,13753,14146,14416,14156,14679,15466,17055,18143,17616,17095,18026,17539,17459,18246
"14","6","S2 QN4413ZZMG     Automotive parts, accessories and tire stores","T060060",12596,12917,12928,13251,13215,13636,14104,14021,14678,14700,15015,15122,14938,15158,15391,15669,15836,16007,16042,16317,16401,16466,16781,16846,17253,17509,17624,17837,18217,18456,18718,19248,19256,19078,19467,19282,18582,18897,18811,18755,19132,19354,19436,19237,19205,19510,19967,20061,20107,20064,20226,20752,21151,21395,21292,21696,21724,21163,21173,20979
"15","7","S1 QN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T060070",17892,18277,18461,18652,19392,19958,20626,20905,21379,22361,23179,24409,24521,24852,25553,26577,26781,28080,28577,29050,29573,30685,31962,33024,34251,34832,36541,38003,39213,40838,42817,44267,46246,47070,47658,47264,48636,49248,50567,53072,55436,56282,56462,58052,58118,61570,65358,67769,69598,71619,74484,75771,78040,79671,82842,84652,89109,90672,92895,97148
"16","8","S1 QN442ZZZMG     Furniture and home furnishings stores","T060080",15084,15101,15095,15078,15534,15702,15733,15840,15887,16510,16968,17462,17122,17112,17312,17698,17543,18205,18401,18611,18828,19026,19534,20029,20282,20195,20348,21053,21361,21856,22691,23412,23976,24410,24462,23725,24234,24118,24172,24590,25336,25309,25083,25575,25420,26569,27373,28101,28674,28990,30104,29970,30305,30804,31923,32026,33511,33827,34279,34397
"17","9","S4 QN4421ZZMG       Furniture Stores","T060090",8803,8810,8815,8774,8987,9187,9169,9211,9146,9351,9634,9894,9659,9664,9870,10040,9948,10325,10337,10471,10695,10737,11073,11426,11571,11475,11510,11781,11974,12090,12592,12908,13219,13643,13648,13153,13414,13447,13552,13876,14188,14150,13850,14027,13856,14357,14757,15152,15441,15690,16237,16202,16348,16470,17158,16957,17482,17459,17834,17920
"18","10","S4 QN4422ZZMG       Home furnishings stores","T060100",6280,6291,6280,6304,6547,6516,6565,6629,6739,7159,7334,7568,7464,7448,7441,7658,7594,7880,8066,8141,8133,8290,8461,8602,8711,8720,8838,9272,9387,9766,10099,10504,10757,10767,10814,10571,10819,10671,10621,10718,11149,11160,11230,11542,11557,12201,12606,12939,13222,13290,13856,13759,13947,14321,14754,15053,16011,16349,16426,16458
"19","11","S1 QN443ZZZMG     Electronics and appliance stores","T060110",5102,5350,5476,5612,5900,6207,6652,6794,7103,7483,7830,8451,8706,8950,9354,9900,10142,10743,11007,11244,11515,12281,12982,13517,14370,14937,16328,17073,17934,19024,20153,20881,22273,22661,23191,23543,24402,25168,26518,28754,30475,31464,31961,33145,33417,35898,39298,41161,42560,44589,46450,48301,50678,51966,54220,56462,59802,61363,63598,69401
"20","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",48051,46184,46894,46190,46011,45882,47279,47683,48093,50687,51531,52100,52458,51249,52174,54163,54399,55823,56730,56551,57669,58236,59336,60229,61116,62656,63876,66571,67651,67274,67781,71187,73415,71099,72158,73467,75438,77280,75522,76638,78326,80788,80118,80274,80595,83295,86266,87023,88042,90377,91167,93102,93830,96790,97627,101219,108252,105536,105049,102957
"21","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",40689,39419,40305,39621,39569,39199,40445,40767,41085,43489,44731,45428,45581,44475,45025,46894,47255,48329,48907,48707,49602,50233,50902,51669,52589,54059,55611,57752,59026,58810,59201,62160,63781,62768,63334,64265,65992,67514,67018,68332,69867,71689,71265,71592,71830,74118,77034,78040,78846,81335,81868,83503,84444,87297,88027,90912,97856,95184,94194,91962
"22","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",7386,6798,6627,6601,6467,6720,6865,6946,7041,7220,6799,6662,6877,6776,7159,7278,7151,7501,7831,7852,8079,8010,8453,8577,8539,8605,8270,8822,8627,8464,8581,9030,9645,8328,8821,9196,9439,9756,8522,8334,8490,9122,8881,8715,8796,9203,9271,9033,9244,9097,9354,9652,9448,9562,9668,10362,10483,10427,10899,11016
"23","15","S1 QN445ZZZMG   Food and beverage stores","T060150",112218,112480,112589,112715,112303,111828,112088,112127,112892,113768,113409,113578,113583,112679,112403,112577,112975,112663,112716,112471,112920,112484,112942,112904,112707,113448,114533,114893,115089,116192,116741,118020,116423,118613,118295,118886,118949,119534,119716,120410,118992,117759,117496,118142,118752,118548,119714,118903,119740,119801,120484,121688,122826,123328,124178,125121,125674,126824,127427,129219
"24","16","S1 QN4451ZZMG     Grocery stores","T060160",102356,102381,102306,102431,102140,101764,102054,102227,102874,103584,103214,103304,103489,102719,102303,102335,102559,102315,102441,102347,102615,102188,102418,102368,101982,102691,103696,104050,104308,105266,105944,107026,105267,107245,106723,107360,107223,107853,108045,108709,107409,106155,105962,106610,107278,106910,107699,106723,107499,107441,108028,109103,109992,110063,110675,111239,111400,112441,112721,113973
"25","17","S3 QN4452ZZMG     Specialty food stores","T060170",3339,3499,3576,3509,3504,3532,3516,3412,3403,3438,3410,3529,3466,3367,3427,3508,3495,3469,3406,3446,3504,3390,3539,3477,3519,3576,3564,3529,3552,3570,3475,3589,3663,3757,3778,3740,3881,3894,3965,3898,3784,3869,3935,3957,3938,4025,4167,4237,4316,4309,4349,4444,4614,4807,4898,5083,5261,5217,5403,5813
"26","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",6517,6593,6695,6763,6648,6524,6510,6482,6607,6738,6778,6734,6618,6585,6666,6726,6917,6874,6864,6669,6794,6904,6980,7057,7206,7180,7272,7315,7229,7355,7321,7406,7493,7612,7794,7786,7846,7787,7706,7802,7799,7736,7599,7575,7536,7613,7849,7944,7928,8054,8111,8145,8224,8464,8614,8810,9029,9182,9323,9455
"27","19","S1 QN448ZZZMG   Clothing and clothing accessories stores","T060190",28025,28278,28710,28965,29059,29540,30035,29992,30524,30491,31039,32168,31796,32180,32437,32903,33524,34174,34499,34578,34582,34363,35633,36311,37348,38108,38074,39215,40688,41580,41896,42185,43054,44029,45019,44980,44584,44606,44315,45319,46459,46808,46464,48247,48211,49564,51154,51773,53519,52751,53626,54736,55941,57431,57603,59181,60410,60367,61986,61812
"28","20","S2 QN4481ZZMG     Clothing stores","T060200",19757,20306,20782,20893,20936,21157,21217,21325,21663,21724,21961,22713,22658,22577,22883,23071,23441,23848,24164,24313,24323,24202,25303,25673,26364,26969,26899,27647,28747,29439,29519,29388,30247,31114,31750,31991,31765,31944,31815,32632,33267,33491,33338,34760,34802,35890,36940,37216,38679,38229,39067,40009,41151,42268,42694,43729,44592,44809,45977,46075
"29","21","S2 QN4482ZZMG     Shoe stores","T060210",4610,4405,4337,4408,4426,4474,4563,4608,4696,4622,4791,4954,4726,5016,4958,5036,5086,5239,5219,5181,5216,5175,5221,5293,5464,5415,5402,5606,5689,5763,5726,5707,5859,5742,5885,5857,5743,5925,5869,5867,6038,5996,5899,6028,5989,6095,6341,6330,6479,6313,6285,6292,6296,6390,6353,6655,6664,6529,6859,6944
"30","22","S3 QN4483ZZMG     Jewelry, luggage, and leather goods stores","T060220",3707,3615,3637,3709,3742,3946,4280,4094,4198,4178,4318,4528,4440,4608,4619,4806,4998,5088,5120,5091,5052,4996,5121,5352,5528,5730,5777,5967,6255,6381,6651,7086,6947,7174,7385,7132,7077,6742,6636,6828,7157,7324,7233,7468,7431,7594,7885,8239,8377,8228,8300,8470,8541,8826,8621,8851,9217,9109,9225,8881
"31","23","S1 QN452ZZZMG   General merchandise stores","T060230",65346,65512,65979,68301,68524,69939,71516,72808,74008,74702,75972,78058,78343,79501,81143,80844,81080,83297,84735,85726,86094,86413,88472,89141,91182,92772,93517,95840,99391,100327,102257,104064,105029,106543,109054,110459,111059,112685,114561,117870,119162,120379,120356,123007,125139,127521,132273,132807,136058,136523,138602,141136,143646,146466,148498,151572,154944,156026,158196,160481
"32","24","S1 QN4521ZZMG     Department stores","T060240",44602,44944,45181,46340,46518,47426,48364,49022,50018,50204,50977,52055,52221,52695,53988,53387,53297,54659,55609,56211,56148,56243,57415,57795,57972,58297,58206,59294,60943,60770,61348,61248,61568,61847,62204,62709,61883,61363,61752,62111,61698,61358,60163,60545,60064,60838,62430,61477,62092,61451,62358,62654,62590,62884,62381,63250,63681,62951,63139,63625
"33","25","S2 QN4529ZZMG     Other general merchandise stores","T060250",20360,20147,20386,21598,21638,22145,22793,23451,23625,24165,24665,25702,25823,26531,26855,27196,27541,28397,28881,29271,29722,29954,30846,31138,33063,34359,35221,36471,38390,39519,40886,42815,43461,44698,46850,47749,49163,51287,52759,55664,57331,58848,59968,62187,64714,66291,69398,70807,73372,74418,75578,77743,80218,82659,85075,87225,90061,91770,93675,95420
"34","26","S1 QN44EZZZMG   Other retail stores","T060260",121739,122278,123309,125738,126573,128796,130581,132744,135565,137774,140263,141418,142452,145198,147487,149799,150438,154221,156009,159513,160571,162807,164908,166023,169986,174118,177718,181441,186747,186615,187819,193530,195308,195377,197632,201260,199852,199584,200095,204341,209110,209688,211876,213593,212191,214604,218690,222330,223326,224542,227525,231058,235936,239477,242016,246372,252898,255251,255289,261765
"35","27","S1 QN446ZZZMG     Health and personal care stores","T060270",27408,27162,26870,27131,27272,27360,27432,27731,27562,27898,28382,28593,28879,29302,29371,29827,30069,30818,31248,31964,32425,32671,33518,33896,34576,35068,35991,36640,37224,37650,37768,39081,39208,39914,40451,41068,41052,41268,41113,41680,42397,42933,42976,42895,43197,43770,44884,45332,44392,44358,44430,44535,45086,45321,45669,45985,46392,46913,47595,49216
"36","28","S1 QN447ZZZMG     Gasoline stations","T060280",52680,52638,52732,53198,53277,54593,55705,55547,56900,57577,57286,57840,58543,59436,60097,60320,60430,60472,60723,60814,61086,62088,62047,61621,63652,65235,65071,66437,68568,65118,64561,65792,64356,62230,62242,64035,63408,63191,63747,66109,67307,65075,65905,65958,64267,63949,62811,64263,64866,64798,64610,66635,68525,68590,68295,69248,70260,69118,67056,69149
"37","29","S1 QN451ZZZMG     Sporting goods, hobby, book, and music stores","T060290",12059,12089,12193,12535,12596,13029,12836,13232,13724,13945,14311,14479,14674,14790,15201,15302,15436,15405,15812,16196,15902,16048,16150,16727,16884,17393,17544,17834,18580,18954,19308,19683,19978,20785,20812,20181,20898,20932,21156,21765,21725,21561,21726,22308,21760,22357,23050,22977,23403,23279,24209,23901,24124,24612,24862,25248,26590,27091,27311,27272
"38","30","S4 QN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T060300",8137,8140,8114,8311,8255,8665,8647,8862,9241,9243,9430,9549,9591,9728,9898,10128,10194,10013,10419,10753,10361,10557,10632,10894,11073,11592,11605,11809,12423,12668,12973,13197,13639,14084,14323,13835,14246,14391,14541,15171,15032,14976,15185,15806,15325,15719,16207,16360,16591,16436,17246,17085,17388,17920,18090,18476,19927,20292,20642,20638
"39","31","S4 QN4512ZZMG       Book, periodical, and music Stores","T060310",3908,3937,4077,4225,4353,4363,4176,4362,4470,4704,4888,4937,5098,5071,5323,5178,5249,5412,5403,5446,5559,5501,5527,5853,5824,5804,5947,6032,6161,6290,6337,6488,6339,6702,6489,6346,6651,6542,6615,6600,6696,6589,6550,6526,6452,6654,6859,6645,6837,6864,6995,6851,6779,6747,6827,6835,6758,6893,6774,6740
"40","32","S1 QN453ZZZMG     Miscellaneous store retailers","T060320",14600,14584,14936,16518,16566,16530,16816,17451,17742,18376,19493,19558,19436,20123,20386,20446,20116,22160,22338,22818,23731,23156,23997,24495,25188,25115,26305,26830,27122,27068,27006,28886,29349,28322,28356,28318,27903,28071,27862,27687,28258,28646,28990,28537,28338,28879,29678,29849,29762,30613,30697,31070,31299,32187,32874,33525,35395,35819,36108,36426
"41","33","S3 QN4531ZZMG       Florists","T060330",1551,1508,1595,2076,1817,1657,1685,1711,1746,1790,1753,1725,1698,1774,1713,1697,1835,1884,1881,1973,1950,1939,2026,2058,1981,1985,2110,2142,2160,2138,2187,2186,2202,2127,2248,2256,2153,2138,2082,1985,2121,2074,1988,1910,1922,1837,1851,1869,1713,1783,1783,1747,1813,1913,1892,2019,2001,1903,1783,1788
"42","34","S3 QN4532ZZMG       Office supplies, stationery, and gift stores","T060340",5207,5194,5438,5765,5826,6021,6005,6112,6507,6672,6957,6968,6681,7006,7254,7449,6791,7373,7865,8038,8366,8118,8224,8373,8823,8952,9462,9760,10176,10194,10231,10819,11160,11278,11326,11373,11247,11282,11281,11231,11633,11616,11947,12039,11783,12308,12702,12747,13223,13372,13561,13431,13622,14132,14607,14865,15371,15723,16574,17160
"43","35","S4 QN4533ZZMG       Used merchandise stores","T060350",1321,1393,1409,1412,1401,1603,1549,1524,1567,1417,1501,1616,1594,1718,1715,1663,1655,2089,1816,1838,2106,1841,2054,2244,2251,2213,2392,2482,2422,2464,2428,2664,2673,2725,2763,2649,2652,2666,2695,2663,2799,2730,2724,2575,2841,2714,2803,2820,2744,2940,3127,3127,3108,3222,3350,3505,3787,3885,3738,3738
"44","36","S4 QN4539ZZMG       Other miscellaneous store retailers","T060360",6491,6450,6425,7230,7518,7180,7549,8120,7879,8510,9330,9284,9548,9683,9747,9656,9936,10915,10844,11038,11364,11342,11790,11905,12200,12015,12377,12471,12378,12283,12172,13226,13318,12190,12017,12038,11854,11988,11815,11820,11730,12233,12357,12064,11844,12098,12413,12500,12256,12669,12428,12908,12909,13106,13265,13383,14437,14569,14441,14285
"45","37","S1 QN454ZZZMG     Nonstore retailers","T060370",18243,18892,19495,19257,19681,20152,20744,21458,22272,22595,23129,23319,23379,23986,24755,26026,26459,27219,27660,29220,29012,30384,30651,30596,31152,32758,33910,34820,36424,38237,39434,40265,42450,44118,45770,47636,46569,46096,46200,47160,49590,51606,52473,54254,55056,56220,59248,60976,62284,63107,65798,66960,68897,71403,73662,76176,79008,82539,85023,87276
"46","38","S2 QN4541ZZMG       Electronic shopping and mail-order houses","T060380",6004,6689,7287,7157,7515,7493,7783,8548,8739,9034,9092,9359,9497,9942,10600,11133,11517,12016,12579,13281,13820,14800,15281,15769,16742,17505,18445,19280,20576,21766,23043,24210,26164,27528,28664,30051,29236,30069,30182,31318,33448,34453,35567,37138,38268,39930,42460,43740,46172,47349,48943,50794,52537,55315,58230,61181,65162,67356,70907,73982
"47","39","S4 QN4542ZZMG       Vending machine operators","T060390",2267,2070,2138,2208,2082,2113,2096,2034,2125,2125,2065,2010,1982,2020,1897,2014,1912,2078,2234,2260,2305,2152,2037,2142,2132,2239,2214,2306,2324,2372,2376,2327,2502,2572,2481,2391,2261,2245,2325,2422,2435,2334,2277,2207,2187,2156,2225,2282,2205,2256,2284,2271,2351,2381,2337,2340,2343,2324,2356,2229
"48","40","S4 QN4543ZZMG       Direct selling establishments","T060400",11892,11855,11632,11459,11574,12182,12510,12306,12965,12923,13579,13466,13359,13418,13526,14218,14305,14365,13956,14846,13831,14308,14102,13288,12695,13487,13659,13558,13756,14310,14123,13750,13777,14012,14629,15203,15053,13847,13755,13521,13870,14980,14863,15214,15008,14741,15289,15713,15110,14890,15894,15578,15822,15912,15847,15929,15686,16876,16651,16668
"49","41","S1 QN722ZZZMG Food services and drinking places","T060410",65455,63289,63554,65823,65997,67080,68065,67891,67762,69106,69761,69916,69412,70134,70507,70257,70356,70845,71128,72084,73013,73098,74190,73432,74592,75508,75766,76993,76661,77260,77165,79100,80934,81044,81006,80586,82189,81551,81429,81440,82952,83111,82819,82788,83379,84985,86492,87267,88089,87956,88519,89669,89954,91339,91592,93143,95433,94978,95841,97731
"50","42","S4 QN7221ZZMG   Full-service restaurants","T060420",28505,27049,26934,28079,27894,28518,29140,29147,29533,30021,30153,30131,29756,30105,30340,29888,29979,30455,30993,31710,32614,32464,33264,32877,33154,33324,33232,33789,33676,34116,34007,34557,35387,35309,35165,35135,35223,35087,35328,35326,36108,36033,35737,36058,35923,36792,37360,37419,37876,37528,37983,38580,38755,39291,39383,40474,41265,41263,41696,42696
"51","43","S4 QN7222ZZMG   Limited-service eating places","T060430",27072,27076,27573,28453,28901,29280,29584,29541,29077,29862,30383,30734,30705,30697,30816,30989,31061,31148,30833,30875,30809,31204,31175,30868,31640,32322,32652,33083,32856,32846,32893,33860,34414,34740,34784,34780,35981,35513,35400,35529,35999,36221,36345,36009,36700,37353,37870,38758,39088,39353,39542,39829,39955,40496,40568,40914,42413,41941,42518,43228
"52","44","S4 QN7223ZZMG   Special food Services","T060440",5582,5213,5144,5329,5301,5344,5391,5443,5394,5493,5575,5402,5266,5577,5467,5443,5447,5424,5463,5636,5817,5608,5841,5824,5888,5952,5943,6176,6162,6287,6358,6612,6883,6744,6948,6710,6981,7010,6598,6377,6679,6680,6621,6668,6611,6562,6926,6793,6792,6814,6761,7050,7027,7267,7347,7521,7588,7606,7497,7607
"53","45","S4 QN7224ZZMG   Drinking places (alcoholic beverages)","T060450",4333,3968,3913,3971,3905,3944,3956,3760,3762,3729,3644,3641,3678,3750,3882,3932,3864,3813,3837,3863,3776,3823,3912,3866,3912,3910,3938,3945,3968,4010,3907,4070,4251,4249,4110,3961,4006,3943,4103,4208,4166,4177,4117,4055,4146,4279,4336,4300,4335,4263,4236,4216,4222,4291,4301,4246,4180,4182,4145,4215
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 QN04472BMG   Retail and food services except motor vehicle and parts dealers","T060460",452028,450137,453424,460270,462114,467531,474973,479041,485300,494197,500843,508051,508993,512313,518518,524330,526854,536874,542338,547936,552465,556386,566071,570019,580333,590593,599303,612443,625014,629897,636456,652334,660423,663763,670810,676916,680730,684484,686121,698732,709680,713922,714630,722866,725237,738323,757474,764828,774815,779637,789737,802275,814686,828660,837618,854157,878725,881097,887068,900555
"56","47","S1 QN44GZZZMG   Retail trade except motor vehicle and parts dealers","T060470",387383,387418,390412,395168,396829,401209,407667,411823,418099,425667,431637,438594,439980,442604,448393,454358,456759,466217,471360,476021,479649,483448,492037,496669,505816,515144,523575,535481,548362,552642,559287,573225,579495,582718,589798,596333,598522,602943,604710,617397,626826,630930,631963,640323,642072,653550,671268,677861,687061,692092,701697,713122,725398,738020,746832,761867,784229,787165,792243,803779
"57","48","S2 QN44BZZZMG   GAFO-Department store merchandise stores\1\","T060480",126924,127842,129269,132519,133872,136965,139538,141512,144598,146809,150177,154927,154867,157155,160440,162182,162722,167549,170711,172844,173853,175125,180000,183238,188196,191760,194982,200536,207929,211833,216491,221015,225468,229701,233863,234267,236429,238768,241875,249196,254208,256414,256700,263387,264856,272884,283892,287128,294794,296213,302859,307353,313569,320447,326070,333129,343458,346641,353430,359489
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Includes industries QN442ZZZMG, QN443ZZZMG, QN448ZZZMG, QN451ZZZMG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","QN452ZZZMG, and QN4532ZZMG.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
