"","Table 5#6#6B# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"1","[Billions of chained (2005) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 27, 2010      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2010 8:41:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Change in private inventories","A014RX1",43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,14.5,23.3,29.8,10.3,0.6,-37.1,-29.7,-37.4,-113.9,-160.2,-139.2,-19.7,33.9
"10","2","Farm","B018RX1",-10.8,8.2,10.1,7.2,6.3,-3,2.6,0.7,-2.1,1.4,-11.2,-2.9,-20.1,7.2,-2.2,8,5.9,-3.4,2.7,-4.9,5.1,-13.3,-3.1,-0.9,4,-1.3,0.4,-2.5,3.2,17.7,7,3.7,-6.9,0.2,4.6,2.6,3.8,-8.2,-6.3,-4.1,5.9,-4.4,-2.6,-2,-12.6,-1.6,-5,-1.9,0.3,2.2,1.9,-5.9,-3.4
"11","3","Mining, utilities, and construction","N541RX1",0.3,5.5,5.1,-1,9.7,8.7,6.8,10.9,0.1,0.2,-3.4,-5,3.4,-3.8,-0.9,-9.9,11.6,14.5,7.2,10,-0.2,-4.5,-7.1,-4.7,8.6,3.4,7,9.8,-2.5,0.8,5,2.5,3.5,9.8,-1.8,3.5,9.7,20.9,19.4,17.6,7.1,5.6,-6.9,-7.2,2.5,2.3,-3,-11.3,6.6,7.6,4,-12.8,-7.1
"12","4","Manufacturing","N150RX1",17.2,26.7,23.8,29.9,36.2,17.6,7.8,8.7,14.7,5.8,17.2,27.1,-3.9,16.5,7.1,12.6,-21.9,-21,-26.7,-35.1,-29.8,-4.2,7,6,1.1,-10.8,-20.8,-3.1,-2,6.9,3.1,15.7,41.9,2.1,11.9,28.2,18.7,23.2,19.1,7,-3.2,8,7.4,7.6,30.4,-23.1,-30.8,8.2,-28.9,-39.8,-55.3,-6.1,14.5
"13","5","  Durable goods industries","N624RX1",9.3,17.2,16.1,18.6,31.8,18.2,10.2,9.4,7.1,-4.1,11.7,14,-1.8,11.1,5,14.1,-15.1,-13.3,-24.1,-30.8,-17.3,-7.2,-3.3,4.6,2.2,-10.7,-17.1,4.3,-3.2,6.4,3.1,9.7,27.8,5.7,13.4,19.4,7.9,12,16.5,10.1,-1.6,-8.6,-1.2,12.2,11.9,-4.5,6.8,31.9,-23.5,-30.7,-48.3,-14.1,6
"14","6","  Nondurable goods industries","N625RX1",8,9.2,7.2,11,2.5,-1.9,-3.3,-1.4,7.9,11.1,5.2,13.3,-2.2,5.1,2,-2.2,-6.5,-7.6,-1.7,-3,-12.5,3.6,11,1.3,-1.2,0.1,-3.4,-7.7,1.3,0.4,0,6,14,-3.6,-1.4,8.9,10.7,11.2,2.7,-3.1,-2,16,8,-4.1,17.4,-17.6,-34.6,-22,-5.6,-9.4,-7.6,7.4,8.4
"15","7","Wholesale trade","N658RX1",21.4,35.9,17.8,32.5,33.4,14.7,30.3,16.4,24.3,8.8,23.5,27.8,17.9,26.6,15,23.1,-6.4,-6.9,-25.2,-16,-8.2,4.6,4.8,-1.4,-6.5,-7.2,-2.4,14.7,14.4,16.4,28.6,22.6,35.6,12.4,2.2,22.3,18,20.3,16.6,-1.5,2.9,1.9,11.3,9.6,-5.9,-1.6,3.8,-16.8,-42.3,-72.9,-66.5,-4.8,11.6
