"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"28","21","      Light trucks (including utility vehicles) \3\","W178RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.246,76.497,79.747,81.521,87.533,92.055,94.898,99.007,96.301,97.752,98.745,95.901,98.059,96.509,92.504,91.895,96.415,102.114,100,97.474,97,93.801
"29","22","      Other trucks, buses, and truck trailers \3\","W179RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.675,69.791,72.892,74.263,76.144,78.934,81.878,84.634,88.297,88.674,88.291,89.541,91.447,92.489,92.3,93.262,94.15,96.495,100,103.38,107.457,110.761
"30","23","    Autos \3\","B280RG3",19.199,18.28,17.588,16.553,15.061,15.862,15.635,15.748,15.979,16.553,16.325,16.669,18.624,26.319,27.696,33.331,32.632,28.507,35.407,37.504,39.566,39.991,42.116,46.125,41.258,44.769,41.906,46.996,48.199,47.042,48.033,48.167,47.661,46.299,45.838,45.101,43.937,43.295,43.317,44.449,45.548,47.215,49.004,48.627,47.837,51.056,53.664,55.703,58.276,64.074,68.929,75.854,75.051,74.098,73.615,72.18,75.622,83.104,86.131,86.564,88.285,91.921,97.061,97.942,95.843,97.365,93.338,96.154,100.076,100.132,98.2,96.053,93.627,95.452,97.037,101.737,100,101.242,102.637,102.934
"31","24","    Aircraft","B281RG3",5.142,4.716,4.448,4.975,4.358,4.193,4.234,4.146,4.559,4.784,4.781,4.827,5.309,5.668,5.836,6.005,6.42,6.951,7.956,8.55,8.858,9.344,10.661,10.608,10.873,10.93,11.355,12.465,13.049,13.263,13.726,13.786,13.92,14.375,15.032,14.704,15.032,15.226,15.816,16.271,16.861,17.906,18.689,19.085,19.802,21.959,23.526,26.467,28.557,30.736,34.188,38.307,42.014,46.566,47.985,49.017,50.276,51.652,52.551,53.634,56.009,59.48,62.92,65.642,67.195,69.279,72.238,74.703,75.8,75.882,76.769,80.504,84.711,86.073,89.805,94.532,100,104.455,107.628,112.331
"32","25","    Ships and boats","B282RG3",5.355,5.169,4.8,4.363,4.314,4.924,4.999,5.045,5.474,5.476,5.411,5.414,5.968,6.152,6.214,6.461,6.214,7.999,9.044,9.781,10.031,10.273,11.074,11.568,12.184,12.493,12.738,13.72,14.645,15.013,14.914,15.426,15.437,15.492,15.725,15.966,16.166,16.555,17.042,17.708,18.577,19.675,20.592,21.556,23.014,26.169,29.226,30.913,33.193,35.92,39.294,43.04,47.171,52.811,54.447,56.727,58.419,60.532,61.746,63.246,65.952,68.49,70.313,71.727,74.175,75.991,77.243,79.215,81.078,82.199,83.207,85.452,87.645,89.993,93.838,97.12,100,103.493,107.82,110.691
"33","26","    Railroad equipment","B283RG3",5.774,5.729,5.5,5.362,5.281,5.274,5.864,5.819,6.092,6.274,6.503,6.684,6.912,7.593,8.003,7.956,7.958,9.047,9.73,10.367,10.731,11.549,12.14,12.322,12.64,12.73,13.094,14.049,15.05,15.777,16.204,16.639,16.918,16.918,16.918,16.918,16.918,16.992,17.206,17.641,18.429,19.644,20.079,21.794,23.017,25.669,33.418,36.784,40.584,43.639,47.544,52.974,58.054,60.368,61.739,62.152,63.009,62.702,62.374,64.591,68.932,71.102,72.601,72.768,73.267,75.68,80.194,82.191,80.823,81.167,81.241,81.64,81.467,81.507,82.922,88.405,100,106.122,110.908,112.904
"34","27","  Other equipment","B682RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.935,12.586,13.631,14.039,14.382,15.571,15.681,15.973,16.184,16.393,17.008,17.786,18.156,18.453,18.661,18.685,18.799,18.922,19.186,19.407,19.837,20.415,21.128,21.982,22.877,23.796,24.478,25.325,28.345,33.245,35.734,38.602,41.792,45.578,51,56.558,60.331,61.693,62.879,64.106,66.042,68.062,70.97,73.698,76.463,78.593,80.155,81.661,83.585,85.759,87.508,88.633,89.378,90.285,91.097,92.148,92.961,94.175,96.328,100,102.911,105.756,110.222
"35","28","    Furniture and fixtures","B667RG3",10.654,10.721,10.247,9.566,9.297,9.502,9.298,9.025,9.702,9.501,9.296,9.433,10.042,10.99,10.859,10.992,10.856,11.669,13.841,14.657,15.048,15.565,17.249,16.918,17.218,17.367,17.898,18.897,19.882,20.243,20.328,20.407,20.308,20.326,20.294,20.552,20.654,21.056,21.851,22.682,23.846,24.866,25.78,26.407,28.115,32.093,35.391,37.125,40.294,44.145,47.694,50.919,54.58,57.274,58.968,60.641,62.825,65.022,67.053,70.775,73.466,76.216,77.78,78.576,79.823,82.42,84.85,86.761,88.109,88.509,88.777,89.487,90.664,91.482,92.79,95.286,100,101.943,104.201,109.53
"36","29","    Agricultural machinery","B268RG3",7.796,7.919,7.803,7.658,8.298,7.96,7.564,7.586,7.749,7.829,7.579,7.573,7.635,7.917,7.873,7.806,7.843,8.342,9.079,10.192,10.858,11.224,11.857,12.327,12.513,12.658,12.65,12.982,13.492,14.03,14.518,14.788,15.041,15.39,15.643,15.919,16.344,16.866,17.454,17.943,18.696,19.421,20.305,21.238,21.886,24.835,29.148,31.519,34.066,36.831,40.548,46.408,52.135,57.039,59.51,61.035,61.26,63.533,64.855,66.788,69.557,72.058,75.051,78.151,79.878,81.992,83.832,85.745,86.556,87.387,88.885,89.479,90.406,91.489,93.065,96.028,100,102.604,105.722,111.364
"37","30","    Construction machinery","B269RG3",4.183,4.199,4.006,3.676,3.971,4.162,4.113,4.102,4.486,4.584,4.55,4.695,5.067,5.395,5.488,5.574,5.778,6.342,7.211,8.193,8.459,8.691,9.677,9.825,10.153,10.342,10.718,11.422,12.306,12.877,13.342,13.682,13.872,13.923,14.167,14.583,14.888,15.307,15.819,16.69,17.491,18.354,19.399,20.159,20.873,23.336,29.026,31.492,35.17,38.422,42.312,47.436,52.612,55.576,56.583,56.807,57.539,59.541,63.031,66.628,69.029,72.185,74.16,75.968,77.859,79.721,82.056,83.759,85.207,86.664,88.782,89.966,90.652,91.519,93.054,95.788,100,103.873,106.268,110.148
