"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"17","10","      Equipment and software","B872RA3",0.15,0.243,0.331,0.237,0.483,1.585,1.909,1.64,1.624,2.115,2.23,2.693,23.307,98.322,197.391,220.969,155.586,10.711,7.64,11.115,16.091,12.36,37.81,52.562,59.679,48.452,39.679,38.362,35.595,37.252,46.351,42.498,48.326,52.655,47.596,45.877,42.499,48.991,54.385,47.01,41.34,37.916,23.283,18.05,20.266,25.957,29.157,32.791,33.837,34.901,40.714,43.926,48.447,53.972,64.518,74.569,88.422,99.666,108.997,103.913,109.171,114.479,112.443,110.371,99.171,90.046,87.818,90.729,85.094,90.535,97.902,100,104.491,114.998,121.415,135.523
"18","11","  National defense","B824RA3",2.886,3.097,3.113,3.122,3.024,2.677,3.269,3.885,3.914,4.089,4.505,7.874,42.58,155.519,253.393,289.284,249.224,59.708,40.251,40.604,42.653,42.086,81.17,107.809,114.677,98.186,88.746,88.054,91.757,91.269,89.447,87.977,91.851,97.412,95.085,91.304,89.403,102.205,115.571,117.416,111.604,101.477,89.98,82.921,78.322,77.714,76.977,76.706,77.597,78.259,80.648,84.16,89.486,96.244,103.158,108.186,117.355,124.871,130.779,130.161,129.518,129.472,128.05,121.708,114.86,109.259,105.093,103.648,100.733,98.65,100.515,100,103.936,111.578,121.447,129.97
"19","12","    Consumption expenditures","B997RA3",3.732,3.895,3.78,3.833,3.603,3.082,3.93,4.108,3.995,4.257,4.778,7.413,30.121,109.763,202.064,249.721,239.048,72.365,49.445,47.249,47.305,48.34,82.142,106.124,110.847,96.524,90.204,90.382,96.5,94.34,87.19,88.195,90.353,96.585,97.643,95.081,95.429,108.865,123.145,128.366,123.319,112.116,103.412,97.07,90.042,87.145,84.98,83.516,84.368,85.282,86.367,89.738,94.836,101.19,106.589,109.835,116.439,121.763,126.269,127.712,126.789,125.929,125.801,119.282,114.204,109.04,105.173,103.343,102.051,99.478,100.973,100,103.912,110.937,120.847,128.541
"20","13","    Gross investment","B788RA3",0.45,0.814,1.256,1.109,1.477,1.683,1.489,3.691,4.192,4.118,4.254,10.288,83.628,306.088,436.544,444.633,307.504,18.397,9.921,19.276,28.188,22.178,78.789,113.989,127.738,104.082,84.131,80.519,76.32,81.347,96.958,87.385,96.921,100.266,86.557,78.558,68.626,79.289,89.497,78.472,69.517,63.258,40.297,30.106,33.943,41.422,45.972,50.132,51.155,50.859,58.147,62.219,68.55,77.092,90.464,103.326,124.396,142.503,155.606,143.997,144.871,149.29,140.654,135.322,118.273,110.171,104.308,105.103,92.413,93.377,97.566,100,104.094,116.065,125.612,140.426
"21","14","      Structures","B808RA3",10.585,17.807,26.929,27,27.733,37.833,31.761,89.499,106.561,94.05,81.87,270.334,1478.87,3605.155,1892.739,833.358,548.58,84.205,36.264,81.033,80.022,103.215,392.965,620.756,631.16,532.863,409.783,382.102,390.786,435.786,421.078,372.13,396.085,327.549,268.075,205.508,182.686,192.162,176.622,172.388,185.194,152.183,191.599,172.8,169.884,155.414,151.115,133.622,135.016,136.728,116.132,135.372,129.064,152.166,180.694,175.155,214.052,232.611,250.678,231.798,186.337,173.195,127.878,141.178,129.675,142.003,148.948,154.31,127.983,110.854,103.727,100,88.973,83.909,93.663,88.049
"22","15","      Equipment and software","B873RA3",0.13,0.268,0.427,0.305,0.585,0.518,0.499,0.981,0.996,1.225,1.612,2.203,34.869,177.263,362.061,408.219,283.395,14.764,8.389,15.821,24.856,17.836,62.233,87.673,101.239,81.642,66.914,64.478,59.889,63.005,79.33,71.812,80.351,86.553,75.333,69.973,60.99,71.295,82.275,71.331,61.607,56.883,31.354,21.845,25.714,34.026,38.934,44.138,45.111,44.714,53.408,56.461,63.449,70.934,83.113,96.817,116.351,134.12,146.684,135.755,140.441,146.332,140.909,133.987,116.545,106.631,99.619,99.98,88.667,91.493,96.886,100,105.853,119.894,129.394,146.829
"23","16","  Nondefense","B825RA3",4.647,5.329,5.687,5.925,8.902,14.432,13.7,22.54,19.59,22.033,23.421,21.439,19.086,15.228,11.983,13.593,10.46,15.044,17.597,24.11,29.897,25.128,21.365,23.944,28.921,27.535,25.965,23.941,23.742,24.486,33.305,30.672,31.599,38.144,42.217,45.88,48.995,49.501,49.059,47.912,49.186,48.674,50.961,54.551,54.213,57.023,58.965,59.523,62.089,65.947,66.64,70.373,71.31,67.888,71.398,70.035,74.169,76.764,76.984,73.037,79.075,85.651,87.7,93.749,93.087,91.957,91.613,90.955,93.32,93.985,96.646,100,103.859,110.441,114.159,116.166
"24","17","    Consumption expenditures","B542RA3",5.448,5.972,5.861,5.239,7.877,13.911,10.621,24.05,20.619,23.952,26.559,23.826,17.042,14.652,10.719,15.906,10.012,17.637,19.015,26.727,32.571,25.28,21.11,24.781,32.314,31.073,30.516,26.792,25.949,25.922,37.488,32.878,32.542,39.635,43.156,46.173,48.317,48.555,50.823,50.88,53.492,53.34,55.834,60.086,59.387,62.688,64.775,64.704,67.407,70.19,71.396,75.111,76.341,72.994,75.705,72.953,77.132,79.999,78.764,74.95,81.386,88.013,89.098,94.613,93.352,94.061,92.636,90.61,93.673,92.65,94.508,100,104.471,110.976,115.181,117.336
"25","18","    Gross investment","B798RA3",2.461,3.354,4.615,6.775,10.162,13.958,18.817,16.367,14.883,14.96,13.31,13.281,20.688,14.437,13.134,7.318,9.983,6.116,12.163,14.82,19.896,22.603,20.267,19.682,17.26,15.576,11.148,14.227,15.879,18.84,18.866,22.247,26.918,31.412,36.949,42.386,48.402,49.758,40.427,35.365,32.101,30.413,31.879,33.043,33.957,34.965,36.315,38.974,40.954,48.472,47.313,50.983,50.829,47.236,53.625,57.605,61.512,62.987,69.128,64.662,69.014,75.343,81.54,89.98,92.082,82.184,87.1,93.271,92.017,101.779,108.898,100,100.279,107.334,107.986,109.028
"26","19","      Structures","B830RA3",20.759,28.479,40.076,61.807,90.562,94.694,131.389,122.333,109.241,101.406,89.344,86.039,89.553,68.119,59.258,28.927,22.449,-0.473,33.342,63.843,100.651,113.827,98.605,91.986,86.852,75.527,51.916,70.301,82.912,104.32,109.742,123.69,137.678,153.384,165.631,178.529,188.332,187.305,141.284,126.889,107.766,108.559,119.997,123.897,133.21,129.753,134.831,143.9,148.661,171.899,160.546,162.551,160.372,131.267,127.866,131.789,134.787,143.65,158.396,116.706,113.265,126.885,142.106,158.052,169,152.212,151.363,152.151,130.868,138.383,133.615,100,96.238,111.957,113.394,99.684
"27","20","      Equipment and software","B880RA3",0.214,0.274,0.299,0.215,0.481,3.161,3.952,2.769,2.71,3.637,3.334,3.652,9.865,6.413,6.06,3.719,6.546,5.516,6.503,4.778,4.329,4.988,4.925,5.291,3.783,3.829,3.057,3.283,2.949,2.555,1.82,2.84,4.839,6.499,9.331,11.949,15.373,16.556,14.758,12.517,12.263,10.826,10.585,11.033,10.545,11.898,12.348,13.378,14.468,17.791,18.658,22.079,22.347,24.462,32.32,35.941,39.71,39.376,43.042,47.735,53.672,57.798,61.353,67.386,67.062,59.482,65.818,73.377,78.331,88.711,99.903,100,101.821,105.424,105.75,113.202
"28","21","State and local","B829RA3",11.386,12.534,13.077,12.466,11.142,11.714,12.088,12.158,12.157,12.868,14.145,13.679,12.81,11.618,10.557,10.183,10.534,11.584,13.197,14.036,16.173,17.499,17.635,17.927,18.816,20.461,21.936,22.645,23.986,26.022,26.999,28.182,29.918,30.839,32.696,34.913,37.252,39.59,41.589,44.048,45.534,46.797,48.232,49.291,50.694,52.603,54.536,54.937,55.137,56.938,57.775,57.736,56.577,56.607,57.268,59.322,63.003,67.064,68.041,70.582,72.994,75.991,77.6,79.318,80.459,82.543,84.728,86.668,89.77,93.014,97.409,100,103.162,106.354,107.042,107.487
"29","22","  Consumption expenditures","B991RA3",10.719,11.414,12.074,12.253,12.021,12.319,13.067,10.629,11.526,11.589,12.313,13.033,13.502,13.828,13.706,13.438,13.753,14.179,15.16,15.319,16.676,17.711,17.655,17.895,18.5,19.285,20.555,21.301,22.433,24.185,25.185,26.627,28.086,28.894,30.308,32.307,34.424,36.528,38.207,40.682,43.262,45.851,48.109,49.933,51.663,54.016,56.692,57.475,58.569,59.748,60.142,60.017,59.783,60.668,61.356,62.493,65.759,69.941,70.783,73.197,75.367,77.818,79.429,81.339,82.959,85.055,86.989,88.564,90.971,94.406,98.098,100,102.553,105.621,106.255,106.724
"30","23","  Gross investment","B799RA3",13.396,15.676,15.931,13.058,8.584,9.85,9.264,15.511,13.424,15.635,18.187,14.905,10.917,6.415,3.399,2.797,3.239,5.806,8.92,11.304,15.272,17.327,17.926,18.349,19.945,23.822,25.862,26.482,28.385,31.203,32.118,32.549,35.097,36.352,39.55,42.411,45.404,48.43,51.42,53.739,51.492,48.261,46.893,45.358,45.617,46.027,45.6,44.796,42.09,45.887,48.159,48.404,44.289,41.564,42.117,47.271,52.376,55.958,57.409,60.389,63.67,68.69,70.284,71.249,70.501,72.537,75.71,79.086,84.932,87.416,94.619,100,105.654,109.355,110.275,110.618
"31","24","    Structures","B842RA3",18.661,22.396,22.595,18.28,11.689,13.687,12.807,22.287,18.795,22.012,25.648,21.016,15.36,8.822,4.504,3.61,4.287,7.79,12.004,15.224,21.116,24.199,25.024,25.498,27.771,33.377,36.572,37.158,39.348,43.617,44.75,44.926,48.642,50.231,54.382,58.004,62.092,66.005,70.22,73.395,69.49,64.354,62.233,59.157,58.654,58.527,58.06,57.03,53.24,58.315,60.798,60.52,54.615,50.114,49.553,55.037,60.332,64.068,65.45,68.354,69.788,75.03,77.519,77.84,76.048,76.643,79.239,83.134,88.522,88.41,94.882,100,105.687,109.947,110.385,109.509
"32","25","    Equipment and software","B881RA3",2.265,1.953,2.181,2.041,1.68,1.597,1.585,1.54,1.99,2.163,2.461,2.021,1.521,1.167,0.866,0.859,0.841,1.356,2.034,2.562,2.7,2.744,2.854,3.079,3.27,3.633,3.528,3.964,4.865,4.865,5.207,5.856,6.045,6.467,7.411,8.388,8.987,9.919,10.321,10.775,11.614,12.132,12.284,13.693,15.299,16.709,16.403,16.128,15.8,16.722,18.306,19.539,19.417,20.603,23.458,27.545,31.887,34.906,36.424,39.427,46.768,51.054,50.497,52.927,54.692,60.186,64.742,66.652,73.722,84.115,93.703,100,105.535,107.056,109.939,115.436
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
