"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"20","12","D       Motor vehicle and parts manufacturing","KP3MV0",33727,34395,36261,36531,36243,35441,35131,40125,41625,41804,41500,41815,41844,40280,38070,36570,34590,36199,35701,36570,36655,38915,39584,37317,37451,36177,37956,38221,39129
"21","13","D       Other transportation equipment manufacturing","KP3OT0",12130,13627,13602,13588,14277,14304,14772,16209,15625,15303,15214,14728,13779,14870,13942,13589,13737,14238,14450,14510,14600,13950,13866,13768,13713,13788,13952,14094,14658
"22","14","A     Furniture and related product manufacturing","KP3370",5593,5521,5530,5680,5983,5861,6009,6074,6203,6169,6153,6112,6073,6329,6306,6277,6202,5945,5891,5742,5753,5784,5672,5633,5503,5538,5730,5754,5802
"23","15","A     Miscellaneous durable goods manufacturing","KP3390",8343,8518,8481,8633,8873,8884,8897,8937,9181,9051,8983,9221,9155,9614,9771,9834,9699,9577,9597,9325,9520,9833,9978,10197,10157,10162,10528,11003,10834
"24","16","A   Nondurable goods manufacturing industries","KP30N0",147374,149466,150577,151946,153054,151731,151190,150801,152328,151546,151928,153599,152666,153770,152697,151479,150605,147792,147926,148569,148052,147776,147127,147310,144759,145332,148459,148969,149713
"25","17","A     Food manufacturing","KP3110",33691,34032,34192,34508,35925,35529,35356,35549,35841,35940,35842,36049,35672,36333,36420,36311,36453,36339,36183,36541,36897,36613,36139,36697,35729,35768,35925,34562,34537
"26","18","A     Beverage and tobacco product manufacturing","KP3120",9802,9774,10004,10308,10190,10167,10096,9649,9504,9393,9215,9192,9262,9364,9236,9335,9189,9374,9424,9237,8757,8479,8310,8024,8173,8253,8148,8047,8049
"27","19","A     Textile mills","KP3130",4785,4693,4650,4689,4828,4592,4578,4533,4492,4546,4457,4515,4406,4385,4343,4191,4041,3847,3785,3641,3637,3767,3710,3620,3606,3284,3321,3416,3473
"28","20","A     Textile product mills","KP3140",2561,2595,2649,2687,2640,2595,2600,2630,2685,2729,2779,2825,2900,2846,2780,2659,2701,2587,2632,2617,2723,2858,2820,2867,2809,2774,2863,3069,3189
"29","21","A     Apparel manufacturing","KP3150",5548,5715,5818,5836,5584,5485,5427,5259,5333,5267,5139,5099,5180,5054,4958,4918,4828,4610,4396,4425,4419,4566,4555,4516,4470,4338,4393,4603,4699
"30","22","A     Leather and allied product manufacturing","KP3160",938,922,903,891,917,864,829,839,800,796,825,845,778,815,796,819,788,721,658,697,753,831,888,885,881,878,874,850,825
"31","23","A     Paper manufacturing","KP3220",13496,13683,13605,13928,13832,13890,13777,13789,14049,13697,14075,14242,14194,13803,13559,13496,13548,13007,12718,12587,12445,12725,13209,13090,13330,13532,13406,13640,14092
"32","24","A     Printing and related support activities","KP3230",8408,8493,8509,8544,8528,8550,8635,8604,8682,8625,8659,8683,8666,8896,8713,8522,8602,8378,8177,8029,8007,8046,8108,8142,7994,7952,7704,7692,7730
"33","25","A     Petroleum and coal product manufacturing","KP3240",18892,19648,20142,19367,19529,19773,19569,19371,19969,19438,19688,20315,19662,19672,19481,19436,19189,19013,19542,21195,21532,19407,19521,18670,16905,18921,19362,20203,20297
"34","26","A     Chemical manufacturing","KP3250",36291,36746,36790,37261,37157,36627,36383,36310,36499,36653,36747,36996,36990,37437,37666,37362,36968,35904,36159,35762,34896,35587,34991,35724,36072,34988,37458,37584,37420
"35","27","A     Plastics and rubber product manufacturing","KP3260",13084,13325,13552,13961,13866,13780,14003,14221,14600,14408,14522,14939,14988,15175,14735,14398,14251,13932,14193,14030,14286,14844,14893,15063,14916,14608,14947,15355,15510
"36","28","A Merchant wholesale industries","KP42W0",186977,188823,191612,193517,198764,201477,204506,208139,212186,217236,220672,225366,225346,228259,230107,231207,230685,227166,228778,229227,231030,234065,235059,235652,234991,235886,239447,244315,249563
"37","29","A   Durable goods merchant wholesale industries","KP42WD0",90798,92820,94902,96293,99355,101114,102204,103474,107529,110747,113412,116736,117642,118611,119055,119280,118471,116077,115193,113738,115001,116794,117119,116177,116548,117675,119354,123323,128419
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KP42110",13910,14081,13873,13759,14255,14563,14800,14717,15698,16209,16614,16952,16734,16628,16504,16675,17029,17346,17074,17377,17670,17869,18491,18345,18182,18565,18672,19345,19503
"39","31","D     Furniture and home furnishings wholesalers","KP42120",3321,3241,3320,3412,3429,3414,3429,3419,3482,3547,3678,3717,3831,3932,3934,3877,3821,3666,3612,3587,3564,3590,3500,3442,3516,3559,3682,3695,3827
"40","32","D     Lumber and other construction materials wholesalers","KP42130",5024,5028,5084,5101,5179,5285,5540,5745,5656,5847,5878,6151,5996,5866,5838,5979,5991,6016,6163,6492,6805,6696,6541,6665,6932,6987,7624,8047,8605
"41","33","D     Professional and commercial equipment wholesalers","KP42140",12312,13118,13736,14768,15849,16713,17626,18295,19641,20851,21853,22736,22440,22316,22546,22437,22899,23294,23022,22753,23361,24023,24972,25460,25808,25890,25915,27085,28345
"42","34","D       Computers and software wholesalers","KP42430",5232,5852,6387,7003,7735,8656,8972,9277,10593,11389,12277,12915,12801,12597,12451,12311,12519,12422,12301,12311,12713,13340,14403,14440,14795,15054,14844,16319,17929
"43","35","D       Other professional and commercial equipment wholesalers","KP424X0",8011,8002,7907,8276,8521,8198,8875,9250,9111,9489,9550,9783,9628,9721,10102,10129,10364,10809,10658,10409,10627,10731,10775,11141,11193,11099,11244,11282,11325
"44","36","D     Metal and mineral (except petroleum) wholesalers","KP42150",7676,7890,7975,8027,7948,7878,8008,8026,8366,8134,8016,8401,8717,8518,8461,8522,8176,8284,8172,7722,7547,7880,7683,7187,7004,7163,7230,7305,7928
"45","37","D     Electrical goods wholesalers","KP42160",13979,14387,14846,14650,14881,15169,15173,15394,15853,16589,17398,18564,19344,19988,20506,20320,19547,17897,17463,17825,17758,18270,17908,17884,17975,18348,18673,19574,20491
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KP42170",4801,4886,4938,5003,5083,5118,5163,5219,5319,5357,5393,5389,5538,5654,5597,5613,5457,5204,5281,5476,5536,5407,5366,5263,5307,5323,5397,5464,5526
"47","39","D     Machinery, equipment, and supplies wholesalers","KP42180",18553,18892,19367,19678,20648,20819,20411,20259,20325,20586,20761,20739,20852,21069,21245,21052,20940,20200,20284,18856,18291,18672,18318,17967,18039,18373,19104,19204,20571
"48","40","D     Miscellaneous durable goods wholesalers","KP42190",12714,12555,12893,12717,12732,12631,12340,12600,13306,13651,13790,14041,14177,14638,14428,14816,14628,14240,14168,13682,14585,14541,14633,14372,14240,13893,13391,14049,14083
"49","41","A   Nondurable goods merchant wholesale industries","KP42WN0",96841,96539,97164,97622,99751,100643,102637,105073,104800,106564,107267,108593,107671,109644,111067,111949,112220,111078,113517,115388,115932,117178,117835,119288,118319,118153,120026,121072,121494
"50","42","D     Paper and paper products wholesalers","KP42210",6328,6212,6204,6184,6189,6332,6440,6702,6787,6906,6940,6909,6918,6590,6607,6585,6531,6418,6260,6302,6396,6488,6502,6465,6467,6294,6261,6459,6525
"51","43","D     Drugs and druggists' sundries wholesalers","KP42220",9476,9851,10199,10284,10923,10424,10762,11237,11798,12399,12557,12921,13121,13885,14356,14877,15512,15885,16967,18000,18501,18980,18990,19481,19737,20653,21395,21715,21790
"52","44","D     Apparel, piece goods, and notions wholesalers","KP42230",6893,6946,7128,7032,7251,6901,6790,6887,7055,7181,7143,7217,7285,7500,7354,7483,7218,7274,7180,7503,7552,7728,7690,7476,7194,6984,7064,7298,7299
"53","45","D     Grocery and related products wholesalers","KP42240",27938,27985,27766,27589,28539,28923,29261,29346,29272,29783,30277,31199,31335,31646,31947,32375,31976,32087,32097,32263,32435,33182,34089,34329,34085,34267,34308,33170,34149
"54","46","D     Farm product raw material wholesalers","KP42250",7764,7483,7732,8337,7609,7520,8277,8487,8176,8592,9007,8952,8321,8810,9682,8970,9134,8849,8781,8658,8671,9006,8214,9199,8827,8562,8860,9923,9311
"55","47","D     Chemical and allied products wholesalers","KP42260",4682,4855,4952,4843,4857,4780,4789,4876,4754,4883,4898,4945,4910,5050,5080,5151,5034,4914,5027,5053,5140,5198,5170,5023,4975,4973,5031,5074,5070
"56","48","D     Petroleum and petroleum products wholesalers","KP42270",16014,15678,15979,15796,16832,17739,18480,19381,19507,17873,17120,16184,15062,15336,15798,15949,16425,15853,16763,18071,17900,17444,17741,18002,17451,17521,18029,18204,18113
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",4923,4920,5113,5219,5171,5259,5438,5489,5583,5704,5799,5956,5922,5934,5947,6040,6066,6014,6020,6180,6376,6473,6500,6563,6688,6696,6881,6972,6924
"58","50","D     Miscellaneous nondurable goods wholesalers","KP42290",13197,13077,12534,12499,13018,13738,13412,13915,13179,13709,13728,14267,14741,14876,14334,14551,14294,13765,14445,13626,13181,12785,13126,12849,13039,12371,12358,12325,12533
"59","51","A Retail trade industries","KP440",216417,216696,222024,223917,227166,233493,234224,241751,247953,251111,255238,260276,265545,263910,266709,267268,268403,270131,271285,283929,281773,283459,287712,290036,292750,298934,307806,312323,317526
"60","52","A   Motor vehicle and parts dealers","KP4410",56547,55560,58024,58371,58572,61784,59728,63261,65168,66892,68799,69202,72373,69667,70111,68503,68896,70236,69669,77751,71776,72148,75979,75159,76128,79255,82083,83379,84278
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KP44230",9855,10229,10655,11009,11419,11611,12180,12666,13071,13613,14272,14756,15415,15690,15886,15755,16155,16390,16946,17778,18506,18767,18922,19613,19853,21075,22514,23152,23723
"62","54","A   Building material and garden equipment and supplies dealers","KP4440",19223,19412,19779,20076,20372,20885,21292,22190,22550,22425,22594,23729,24472,23700,24053,24489,24999,25368,25048,25725,26089,26758,26694,26899,27087,28003,28949,29365,30127
"63","55","A   Food and beverage stores","KP4450",37640,37495,37647,37635,37569,37816,38178,38298,38363,38731,38914,39340,38808,39538,39432,39629,39682,39744,39834,40052,40045,39854,39911,40190,40669,40649,41181,40928,41360
"64","56","A   Clothing and clothing accessories stores","KP4480",11527,11454,11878,12104,12449,12703,12691,13072,13563,13860,13965,14062,14351,14676,15006,14993,14865,14819,14850,15087,15687,15667,15514,16042,16357,16549,16979,17277,17966
"65","57","A   General merchandise stores","KP4520",28698,28804,29491,29714,30394,30924,31172,31947,33130,33442,34086,34688,35010,35514,36351,36820,37050,37426,38467,39358,40080,40681,40840,41528,42119,42695,44077,44371,45603
"66","58","D     Department stores","KP45210",18716,18748,19138,19265,19324,19432,19402,19765,20314,20257,20449,20416,20523,20616,20735,20903,20600,20415,20831,20792,20871,20835,20606,20522,20332,20405,20891,20595,20898
"67","59","D     Other general merchandise stores","KP45290",9907,9985,10282,10379,11021,11453,11740,12157,12797,13173,13629,14272,14487,14899,15617,15916,16446,17000,17620,18535,19168,19790,20165,20915,21669,22158,23037,23597,24500
"68","60","A   Other retail stores","KP44X0",53537,54270,54963,55333,56658,58038,59241,60484,62249,62205,62606,64510,65103,65126,65877,67087,66780,66171,66528,68195,69850,69846,70070,70894,70843,71227,72794,74770,75471
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","and the 2000 current-dollar value of the corresponding series, divided by 100.  Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","estimates are usually not additive.  The residual line is the difference between the first line and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
