"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"11","3","A   Durable goods manufacturing industries","KS30D0",249555,250871,250837,252990,254263,254940,256782,258125,258712,260327,259991,261952,264324,267053,269251,271112,272582,274129,274555,276197,277299,279138,279764,279874,277965,279451,282041,281427,282541,282027,283764,283106,284333,284120,286162,288423,286881,287813,287107,288915,288425,290818,291194,292325,291655,293341,295369,295680,298071,297795,294438,294282,292384,289758,287724,285625,282436,281172,278971,275802,274252,272984,270540,269594,268434,267259,266661,266304,265729,265202,264173,266201,265213,264735,262843,262471,261588,259344,258258,257099,255359,255798,254441,255111,254569,254575,254162,254050
"12","4","A     Wood product manufacturing","KS3210",8273,8316,8296,8308,8281,8343,8426,8581,8725,8829,8832,8805,8677,8692,8674,8738,8841,8754,8791,8865,8982,9138,9294,9276,9432,9484,9504,9443,9504,9536,9686,9557,9396,9442,9561,9810,9945,9889,9859,9939,9771,9855,9910,9887,9848,10005,10043,10099,10018,9975,9885,9859,9917,10068,10022,10007,10016,9948,9875,9705,9898,9814,9964,9866,9960,9825,9717,9695,9725,9689,9710,9649,9597,9684,9592,9615,9460,9315,9250,9154,9060,9105,9170,9155,9182,9255,9376,9424
"13","5","A     Nonmetallic mineral product manufacturing","KS3270",9634,9679,9684,9765,9821,9881,9816,9783,9776,9667,9716,9736,9727,9755,9806,9766,9800,9785,9765,9730,9765,9768,9845,9787,9827,9800,9742,9681,9792,9719,9766,9981,9979,10094,10045,10121,10182,10176,10016,10142,10081,10078,10097,10081,10102,10050,10118,10271,10239,10160,10227,10193,10110,10123,10089,9940,9970,9915,9869,9762,9672,9603,9604,9593,9567,9660,9632,9716,9692,9722,9706,9749,9769,9830,9928,9922,10030,10030,10079,9951,9901,9785,9421,9366,9330,9340,9255,9199
"14","6","A     Primary metal manufacturing","KS3310",19068,19243,19527,19418,19475,19498,19580,19762,19712,19828,19927,20205,20401,20360,20412,20632,20779,20944,21216,21469,21646,21621,21711,21812,21886,21931,21746,21777,22029,21915,22012,21990,21836,21922,22111,22273,22503,22448,22392,22610,22673,22606,22759,22502,22305,22168,22019,21863,21885,21803,21561,21513,21185,20805,20632,20415,20356,20232,20094,19924,19706,19548,19259,19181,19004,19057,19025,19165,19157,19209,19332,19369,19470,19512,19351,19195,19016,18381,18133,17924,17442,17085,17058,16868,16800,16676,16639,16640
"15","7","A     Fabricated metal product manufacturing","KS3320",29505,29548,29668,29791,29819,30151,30088,30139,30231,30340,30471,30825,30742,31020,31020,31339,31349,31941,31745,31907,32016,32005,32125,32087,32214,32018,32079,32245,32363,32163,32377,32377,32529,32765,32920,33039,33128,33112,32864,33113,33470,33833,33776,33885,33773,33793,33840,33675,33892,33838,33707,33798,33736,33455,33271,33265,33177,33165,32863,32357,32265,32079,31960,31942,31654,31505,31498,31572,31574,31444,31400,31284,31148,31056,30859,30664,30721,30620,30334,30291,30028,30142,30072,29948,29713,29820,29587,29465
"16","8","A     Machinery manufacturing","KS3330",35898,35609,35618,36238,36349,36531,36557,36478,36359,36631,36523,36794,36908,37600,37751,37584,37570,37640,37920,38187,38406,38174,38324,37962,38177,37915,38168,38259,38224,37941,37974,37720,37773,38138,38253,38416,38498,38607,38160,39072,38594,39086,39407,39799,39766,40338,40342,41063,41296,41094,41173,40895,40327,40014,39412,39039,38630,38160,37488,37029,36650,36475,36431,35997,35764,35334,35262,35058,34859,34642,34505,34861,34352,34086,33588,33669,33482,33087,32951,32643,32481,32582,32277,32586,32786,32928,33060,32911
"17","9","A     Computer and electronic product manufacturing","KS3340",44487,44869,45170,45906,46648,47066,48561,49074,49423,49870,50278,50593,50999,51512,52111,52331,52369,52137,51784,51752,51794,52065,51807,51323,50873,51756,53143,53423,53683,54039,54093,54688,55126,54650,54908,56091,55529,56099,56550,57696,59011,60383,61453,62605,62263,64080,66061,67266,69090,69773,67870,67300,66902,66429,65900,64928,62234,61516,61626,59487,59617,59061,58626,58471,58008,57004,57281,57050,57076,56972,56983,56382,55811,55472,54718,54396,53894,53673,53694,53535,53580,53886,53961,54532,53722,53720,53926,54303
"18","10","A     Electrical equipment, appliance, and component manufacturing","KS3350",12593,12700,12722,12974,13138,13235,13397,13375,13374,13348,13366,13305,13412,13454,13530,13415,13343,13340,13423,13524,13529,13660,13750,13806,13702,13659,13695,13818,13865,13866,13830,13754,13912,13938,13938,13796,13887,13863,13680,13779,13891,13951,14043,14282,14256,14378,14324,14604,14607,14690,14666,14650,14518,14357,14053,14118,14003,14053,13921,13805,13669,13578,13464,13465,13375,13284,13217,13098,12980,12831,12790,12571,12627,12532,12484,12444,12407,12318,12190,12149,12066,12050,12091,12069,12087,11776,11759,11641
"19","11","A     Transportation equipment manufacturing","KS3360",69395,70171,69327,69854,69869,69109,69327,69647,69791,70332,69172,69798,71570,72662,73739,74953,76147,77314,77421,78397,78756,80414,80514,81590,79536,80371,81266,79870,80073,79867,81063,80086,80637,79984,81151,81363,79502,79859,79729,78544,76789,76762,75427,74627,74594,73766,73821,72238,72274,71558,70605,71440,71142,70030,69890,69582,69655,69860,68962,69468,68644,68642,67097,66830,66673,66873,66197,66119,65802,65949,64982,67238,67226,67447,67041,67351,67382,66777,66304,66089,65809,66160,65542,65733,65951,66062,65796,65873
"20","12","D       Motor vehicle and parts manufacturing","KS3MV0",22466,22824,22857,23210,23588,22916,23082,23063,23447,23058,22795,22823,23024,23191,23643,23262,23226,23464,22912,22720,23037,23137,23810,23981,23811,23780,24737,24185,24319,24637,24736,24814,24606,24903,25522,25635,25676,25889,25497,25666,25814,25792,25788,25884,25880,25928,25814,25455,25341,25143,24662,25037,24688,24474,24185,24034,23741,23541,23131,22909,22652,22581,22747,23087,23189,23321,23537,23438,23743,23723,23579,23648,23870,23995,23428,23460,23348,23165,23109,23212,22793,22797,22774,22900,23437,23462,23503,23451
"21","13","D       Other transportation equipment manufacturing","KS3OT0",46897,47311,46424,46593,46219,46143,46192,46534,46284,47231,46330,46934,48515,49441,50059,51678,52919,53852,54530,55708,55739,57302,56716,57619,55730,56598,56535,55690,55760,55234,56333,55274,56036,55085,55631,55731,53826,53968,54232,52877,50973,50968,49639,48745,48717,47842,48011,46786,46936,46420,45946,46408,46456,45561,45706,45550,45908,46305,45817,46530,45960,46021,44347,43764,43511,43580,42712,42725,42124,42285,41469,43622,43400,43499,43638,43912,44048,43627,43215,42907,43029,43370,42785,42853,42557,42641,42339,42466
"22","14","A     Furniture and related product manufacturing","KS3370",7119,7121,7101,7084,7256,7245,7291,7191,7192,7162,7174,7227,7218,7274,7297,7371,7425,7346,7360,7349,7356,7389,7397,7384,7442,7478,7500,7470,7489,7533,7574,7591,7523,7647,7629,7729,7792,7841,7864,7876,7937,8002,7981,8087,8085,8043,8101,7963,8067,8082,8082,8052,7988,7929,7858,7755,7776,7702,7689,7484,7480,7407,7322,7288,7329,7358,7381,7350,7326,7257,7347,7343,7367,7269,7309,7329,7303,7301,7316,7221,7059,7014,6963,6861,6920,6878,6829,6955
"23","15","A     Miscellaneous durable goods manufacturing","KS3390",14242,14234,14237,14120,13970,14179,13822,14115,14114,14273,14390,14519,14552,14625,14808,14886,14892,14913,15154,15072,15112,14979,15100,14995,15034,15157,15243,15477,15562,15466,15412,15366,15627,15558,15667,15773,15892,15889,15952,16085,16151,16198,16280,16508,16603,16671,16668,16626,16710,16841,16663,16571,16540,16528,16555,16538,16570,16564,16536,16693,16585,16696,16774,16926,17057,17287,17412,17440,17512,17454,17426,17645,17713,17687,17788,17672,17636,17604,17796,17941,17777,17870,17815,17995,18013,18068,17928,17664
"24","16","A   Nondurable goods manufacturing industries","KS30N0",162298,162227,163113,163824,164416,164779,164365,165430,166370,167598,168413,169003,168940,169620,169986,169757,169831,169843,170406,169781,169398,169647,170752,169352,170031,169934,170611,171503,172679,172725,173066,173620,174407,175423,176756,177841,178265,178573,178485,178921,179036,179770,180385,179690,179813,179726,179444,178466,178528,177641,177439,177108,176525,175377,175181,174748,174708,174595,174475,174940,174655,174243,175922,176196,175811,176281,177104,177652,178444,178386,177933,177024,177001,177857,177271,176922,176349,176936,176708,177152,176894,176127,176254,174835,174971,175687,175876,175653
"25","17","A     Food manufacturing","KS3110",30597,30775,30950,30971,31000,31313,31290,31429,31492,31674,31788,31937,32151,32348,32140,32105,32039,32040,31997,31802,31899,31896,31902,32049,32366,32392,32517,32696,32731,32717,32836,32729,33182,33388,33641,33679,34000,34242,34550,34285,34260,34207,34210,34179,34119,33846,33974,34159,34048,33930,33879,33904,33926,33878,33921,33718,33547,33312,33664,33903,34152,34188,34063,34495,34583,34786,34798,34856,34841,34847,34870,34444,34348,34391,34535,34040,34106,33921,33698,33705,33642,33505,33349,32762,32630,32681,32780,32515
"26","18","A     Beverage and tobacco product manufacturing","KS3120",11533,11400,11352,11566,11605,11586,11740,11825,11921,12083,12218,12154,12445,12270,12382,12162,12105,12005,12055,11779,11835,12156,12200,12074,11962,12102,11836,11925,12003,11846,11665,11682,11478,11661,11613,11908,12006,12112,12037,12019,11976,12062,12003,11986,12119,12028,12058,11798,11761,11788,11981,11999,12060,11986,12259,12277,12269,12184,12193,12344,12389,12293,12434,12235,12302,12393,12171,12220,12390,12226,12053,12076,12034,12051,11997,12193,12122,12138,12176,12196,12348,12300,12325,12046,12126,12247,12173,12217
"27","19","A     Textile mills","KS3130",6744,6715,6726,6763,6724,6722,6711,6753,6704,6707,6662,6684,6696,6754,6762,6740,6784,6757,6809,6754,6798,6795,6792,6813,6815,6802,6775,6771,6767,6824,6813,6801,6849,6800,6881,7001,6871,6823,6839,6820,6783,6772,6732,6712,6663,6685,6663,6578,6545,6505,6430,6433,6397,6329,6252,6193,6145,6051,5989,5883,5677,5640,5557,5425,5409,5350,5350,5384,5319,5305,5223,5275,5294,5323,5363,5369,5383,5426,5362,5330,5416,5301,5304,5281,5227,5200,5183,5147
"28","20","A     Textile product mills","KS3140",3491,3529,3562,3602,3640,3690,3711,3729,3762,3756,3785,3801,3812,3827,3788,3758,3736,3685,3662,3665,3640,3598,3578,3581,3501,3551,3654,3702,3729,3792,3798,3812,3823,3904,3898,3924,3953,3977,4033,4068,4155,4212,4248,4245,4293,4285,4337,4341,4335,4346,4346,4351,4293,4294,4258,4297,4318,4364,4407,4460,4410,4384,4367,4447,4511,4549,4619,4637,4665,4661,4634,4667,4738,4778,4775,4769,4763,4750,4750,4774,4811,4807,4878,4955,4885,4880,4887,4890
"29","21","A     Apparel manufacturing","KS3150",8107,8093,8082,8188,8281,8384,8459,8539,8522,8585,8511,8506,8450,8441,8491,8452,8356,8347,8338,8338,8397,8436,8443,8446,8285,8352,8439,8459,8582,8666,8760,8894,9000,8935,8892,9086,9084,8965,8925,8838,8795,8744,8791,8730,8687,8710,8819,8804,8859,8746,8585,8482,8388,8284,8057,7868,7639,7447,7291,7080,6911,6764,6611,6534,6442,6475,6516,6527,6593,6604,6595,6652,6741,6784,6842,6881,6904,6930,7052,6998,6948,6900,6863,6858,6767,6600,6625,6629
"30","22","A     Leather and allied product manufacturing","KS3160",1574,1573,1551,1597,1617,1628,1624,1620,1623,1642,1630,1662,1685,1694,1698,1728,1735,1717,1720,1726,1713,1713,1733,1686,1657,1647,1647,1625,1626,1666,1659,1660,1682,1688,1695,1696,1685,1691,1682,1683,1667,1655,1653,1649,1643,1647,1636,1594,1603,1595,1610,1575,1527,1480,1471,1479,1486,1487,1477,1422,1382,1369,1323,1296,1327,1353,1392,1419,1407,1478,1472,1466,1470,1440,1442,1427,1443,1442,1407,1382,1416,1431,1449,1484,1456,1440,1404,1401
"31","23","A     Paper manufacturing","KS3220",15650,15720,15999,15847,15849,15579,15553,15616,15794,15820,15908,16130,16210,16162,16132,16176,16210,16313,16332,16382,16177,16117,16060,15764,15857,15821,15966,15969,16132,16274,16268,16550,16810,16803,16826,16811,17022,17126,17112,17235,17253,17184,17311,17192,16941,16778,16523,16267,16135,16082,15799,15660,15542,15474,15418,15367,15550,15703,15918,16030,16076,16188,16245,16221,16240,16449,16380,16395,16522,16549,16615,16612,16663,16636,16737,16750,16734,16715,16618,16533,16468,16316,16220,16045,15998,15874,15666,15544
"32","24","A     Printing and related support activities","KS3230",6558,6445,6418,6580,6677,6550,6253,6502,6483,6536,6571,6708,6464,6463,6452,6436,6524,6431,6641,6487,6578,6345,6236,6210,6297,6277,6354,6565,6492,6591,6550,6533,6678,6643,6835,6911,6915,7070,7025,6824,6838,6847,6709,6811,6790,6842,6729,6552,6539,6499,6492,6359,6330,6229,6237,6354,6168,6236,6211,6261,6438,6200,6136,6326,6328,6528,6627,6570,6422,6603,6593,6576,6541,6543,6476,6378,6367,6208,6279,6278,6240,6133,6203,6156,5981,6144,6068,6051
"33","25","A     Petroleum and coal product manufacturing","KS3240",16072,15771,16148,16045,16257,16184,15837,16433,16468,16468,16627,16606,15373,15469,15831,15935,15882,15709,15796,15511,15386,15752,16647,15812,15626,14645,15426,15118,14812,14697,14804,15182,15239,15429,15664,15515,15580,15406,15351,15629,15710,15864,15610,15315,15489,15678,15592,15208,15275,15442,15480,15802,16004,15954,15876,16190,16263,15927,15911,16391,15879,16070,16824,17048,16762,16860,17297,17212,17440,17398,16964,17467,17541,17432,17208,17397,16649,17141,17046,17532,17504,17546,17206,16949,17505,17589,17525,17555
"34","26","A     Chemical manufacturing","KS3250",46137,46275,46439,46680,46748,47010,47022,46958,47568,48200,48584,48642,49039,49560,49808,49851,49893,50070,50291,50362,49970,49991,50469,49797,50309,50548,50491,50944,51862,51707,51933,51788,51553,52031,52648,52948,52793,52806,52781,52992,53086,53745,54592,54470,54733,54865,54952,54802,55023,54385,54596,54459,54327,53856,53863,53494,53794,54273,53752,53637,53849,53872,53649,53675,53463,53282,53823,54350,54290,54256,54536,53559,53241,53990,53475,53281,53454,53745,53978,54141,53807,53623,54206,53653,53648,54362,54834,55064
"35","27","A     Plastics and rubber product manufacturing","KS3260",16306,16360,16389,16444,16516,16596,16542,16543,16557,16639,16690,16698,16725,16744,16741,16706,16834,16971,16978,17090,17059,17087,17344,17422,17588,17591,17630,17710,17806,17767,17838,17942,18073,18127,18183,18357,18349,18351,18138,18513,18496,18455,18502,18380,18314,18332,18138,18358,18408,18342,18273,18163,17837,17725,17664,17646,17685,17702,17733,17700,17537,17378,19005,18811,18724,18546,18459,18379,18859,18779,18686,18568,18741,18848,18813,18831,18803,18908,18739,18682,18695,18650,18628,19085,19128,19005,19045,18950
"36","28","A Merchant wholesale industries","KS42W0",234576,235036,236476,237090,238588,243631,243586,245057,247480,248959,251362,254081,255126,258524,260527,260575,262932,263076,264091,267554,270179,271445,273222,274423,275115,277695,278872,279139,279792,280366,283327,284147,285756,288337,291457,291968,294144,295183,296511,298393,299886,302011,302913,304248,304819,306161,307681,307035,306625,306868,307034,307881,308766,306989,304397,303892,303182,301261,298773,296987,296598,294286,294202,292091,291908,293088,294720,294375,294192,292346,292951,295364,294485,294584,295293,294679,293979,294225,294330,293885,294255,294677,294522,295142,294083,296138,296434,294650
"37","29","A   Durable goods merchant wholesale industries","KS42WD0",142658,143150,144620,145467,146881,150667,149647,150338,152528,152675,153683,156023,157284,159546,161417,161899,163125,162675,163260,165819,167288,168730,169089,170846,171527,172820,173656,172958,174504,175442,176806,176689,178158,179752,182277,182814,183634,184822,185770,187557,188981,191088,191331,192028,191864,192521,193398,192822,193650,193462,192977,192493,191623,188593,186698,185022,183867,183431,179894,177932,177068,175480,174848,174025,173223,173423,174359,174957,175042,174685,175201,175795,175299,176365,176781,176404,175678,175705,174825,174192,174274,175021,175106,176426,176826,177920,178454,177591
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KS42110",21558,21133,21534,21184,21707,22653,22599,22815,23001,22599,22408,22507,22783,23129,23695,22702,22283,21917,21641,22070,22195,22638,22220,22951,22862,23019,23384,23399,23853,23953,24355,24524,24855,24798,25263,25271,25473,25570,26030,26286,26438,26667,26282,26131,25699,25636,25728,25995,25716,25834,25774,25721,25280,25150,25130,24854,25133,25390,24663,24238,24085,23757,23716,23346,23989,24294,24726,24236,24964,25521,26047,25820,25619,25820,26045,26097,25880,26447,25895,25627,25340,26158,26024,26881,27031,27419,27751,27479
"39","31","D     Furniture and home furnishings wholesalers","KS42120",4961,4850,4766,5001,5070,4962,4899,5013,5065,5020,5104,5124,5184,5156,5091,5213,5246,5245,5277,5292,5296,5383,5285,5271,5245,5303,5303,5227,5252,5350,5382,5340,5361,5540,5411,5549,5572,5616,5686,5772,5847,5949,6019,6094,5880,5974,6036,5972,6036,5963,5984,5894,5834,5673,5609,5507,5548,5498,5484,5378,5314,5321,5202,5231,5202,5193,5233,5234,5227,5190,5189,5235,5227,5307,5368,5425,5394,5393,5326,5391,5365,5416,5483,5581,5749,5674,5712,5713
"40","32","D     Lumber and other construction materials wholesalers","KS42130",5156,5262,5269,5370,5414,5500,5518,5606,5604,5538,5647,5597,5640,5619,5548,5642,5568,5571,5640,5809,5526,5563,5597,5545,5568,5515,5575,5631,5705,5666,5751,5694,5774,5883,5854,5932,6040,6085,6128,6147,6185,6262,6243,6164,6186,6214,6267,6380,6256,6253,6222,6066,6022,5883,5958,6103,6186,6393,6348,6374,6359,6291,6255,6272,6256,6239,6234,6284,6327,6373,6418,6481,6551,6708,6550,6519,6458,6434,6385,6398,6372,6462,6672,6808,7088,7300,7269,7419
"41","33","D     Professional and commercial equipment wholesalers","KS42140",15038,15323,15410,15971,16381,17173,17457,17276,18156,18559,18720,19029,19664,20037,20707,21018,21305,20754,20890,21119,21082,20888,21189,20970,20989,21849,21875,21162,21922,22342,22393,22473,22835,23482,24167,24404,24958,24724,24403,24405,24644,24576,24628,24649,25365,25643,25689,25293,25235,25655,25225,25508,25105,24821,24802,24677,23952,23713,23032,23277,23123,22910,23313,23686,23503,23894,23906,24618,24186,23616,23812,23943,24249,24571,24906,24334,24871,25029,25272,25520,25560,25638,25837,25530,25613,25850,25686,25345
"42","34","D       Computers and software wholesalers","KS42430",6581,6778,6871,7121,7451,8020,8188,8125,8725,8950,8872,9147,9412,9616,10326,10430,10637,10455,10302,10617,10504,10473,10687,10907,10878,11633,11227,10691,11546,11804,11858,11988,12018,12537,12888,13100,13101,13194,12319,12229,12052,12095,12143,12149,12817,13487,13061,12680,12812,12996,12867,12982,12771,12255,12421,12202,11801,11846,11573,11523,11404,11575,12020,12400,12296,12578,12459,12911,12612,12169,12113,12284,12569,12851,13047,12808,13165,13278,13249,13214,13103,13354,13475,13704,13543,13580,13806,13578
"43","35","D       Other professional and commercial equipment wholesalers","KS424X0",9412,9438,9381,9724,9673,9726,9820,9681,9826,9992,10366,10314,10721,10873,10597,10836,10884,10459,10854,10680,10793,10603,10667,10123,10183,10214,10742,10592,10413,10565,10557,10496,10845,10954,11286,11303,11873,11532,12114,12204,12621,12505,12504,12514,12565,12189,12640,12612,12437,12671,12382,12548,12356,12528,12376,12442,12111,11865,11475,11730,11684,11376,11402,11452,11371,11508,11604,11897,11739,11563,11765,11762,11829,11912,12062,11747,11960,12017,12231,12452,12551,12462,12548,12171,12329,12492,12234,12098
"44","36","D     Metal and mineral (except petroleum) wholesalers","KS42150",12692,12991,13038,13150,13149,13300,13271,13304,13271,13215,13213,13319,13455,13549,13666,13714,13831,13783,13761,14205,14331,14465,14700,14737,14987,14690,14379,14479,14618,14640,14489,14354,14487,14657,14876,15029,15224,15422,15679,16085,15903,16026,16080,16064,16007,15842,15701,15375,15342,15220,15096,15013,14970,14926,14814,14824,14562,14517,14277,14243,14163,14185,14132,14114,14057,14023,14171,14242,14526,14311,14381,14401,14094,14211,14234,14157,13978,13945,13802,13781,13816,13817,13987,14176,14502,14634,14954,14687
"45","37","D     Electrical goods wholesalers","KS42160",20054,20118,20528,20313,20325,20668,20566,20688,20644,20478,20282,20520,20443,20742,21220,21561,21774,21872,21808,22008,22223,22137,22199,22441,22442,22720,22559,22370,22739,22936,23638,23733,24037,24465,25075,25707,25651,25875,26044,26070,26412,26967,27497,27739,28034,28741,29076,29184,29536,29258,29365,29676,28851,28234,27181,26597,26337,26106,25175,24415,24144,23873,23760,23687,23755,23429,23731,24254,24203,24386,24213,24314,24149,24030,24123,24295,23995,23851,23652,23551,23821,23596,23156,23680,23552,24312,24793,25097
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KS42170",9563,9577,9378,9623,9632,9613,9507,9547,9667,9631,9678,9664,9835,10129,10066,10226,10256,10373,10349,10427,10388,10415,10442,10484,10575,10509,10556,10523,10557,10571,10679,10465,10548,10606,10768,10701,10698,10933,10919,11170,11239,11416,11461,11512,11428,11528,11549,11614,11494,11452,11402,11286,11133,11190,11160,11290,11261,11194,11103,11018,10979,10850,10825,10679,10789,10737,10823,10748,10804,10736,10704,10861,11007,11046,11221,11098,11012,10936,10971,10822,10828,10885,10899,10883,10863,10854,10850,10788
