"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"19","11","      Transportation equipment manufacturing","PK3363",99.568,99.558,99.572,99.396,99.173,99.19,98.874,99.063,99.092,98.951,98.76,98.553,98.521,98.6,98.702,98.659,98.502,98.382,98.807,98.707,98.885,99.003,99.107,98.909,98.735,98.942,98.8,98.84,98.94,98.853,98.709,98.841,98.963,99.588,99.445,99.509,99.545,99.617,99.747,99.744,100.065,99.982,100.218,100.14,100.385,100.018,100.346,100.315,100.297,99.775,100.074,100.395,100.094,100.144,100.778,100.874,101.113,99.825,99.888,100.075,99.844,100.185,100.007,99.893,99.814,100.007,99.607,99.56,99.748,100.305,100.088,99.719,99.892,99.982,100.871,99.833,100.047,99.908,100.1,100.422,100.311,101.273,101.244,100.879,101.111,100.965,101.185,101.243
"20","12","        Motor vehicle and parts manufacturing","PK3MV3",100.781,100.753,100.757,100.548,100.191,100.209,99.723,99.956,100.006,99.861,99.585,99.279,99.319,99.404,99.51,99.39,99.113,98.954,99.416,99.281,99.473,99.688,99.827,99.537,99.269,99.527,99.316,99.452,99.568,99.437,99.237,99.393,99.5,100.127,99.875,99.884,99.894,99.761,99.899,99.814,100.18,99.97,100.169,100.028,100.279,99.786,100.173,100.104,100.065,99.255,99.627,99.99,99.499,99.495,100.033,100.095,100.342,98.776,98.865,99.055,98.765,99.195,98.913,98.863,98.716,98.95,98.154,97.92,98.141,98.872,98.517,97.946,98.286,98.361,99.483,98.031,98.217,97.933,98.103,98.397,98.222,99.512,99.457,98.938,99.148,98.878,99.057,99.085
"21","13","        Other transportation equipment manufacturing","PK3OT3",96.379,96.406,96.435,96.336,96.447,96.456,96.578,96.648,96.613,96.476,96.517,96.564,96.357,96.417,96.51,96.655,96.813,96.787,97.13,97.113,97.256,97.143,97.163,97.203,97.267,97.339,97.384,97.164,97.218,97.252,97.254,97.317,97.473,98.089,98.244,98.46,98.562,99.223,99.318,99.548,99.74,99.988,100.33,100.423,100.653,100.63,100.808,100.895,100.976,101.17,101.29,101.48,101.679,101.864,102.738,102.928,103.151,102.549,102.554,102.735,102.653,102.765,102.846,102.564,102.677,102.762,103.467,103.963,104.05,104.105,104.269,104.44,104.167,104.307,104.586,104.646,104.932,105.167,105.427,105.825,105.889,105.963,106.007,106.054,106.346,106.525,106.853,106.994
"22","14","      Furniture and related product manufacturing","PK3373",95.452,95.571,95.544,95.872,95.96,95.985,96.214,96.16,96.373,96.336,96.579,96.643,96.775,96.916,96.966,96.967,97.212,97.145,97.146,97.252,97.288,97.479,97.503,97.65,97.77,97.816,97.824,97.903,98.061,98.269,98.421,98.707,98.807,98.912,99.012,99.141,99.248,99.367,99.642,99.837,99.95,100.016,100.136,100.268,100.252,100.3,100.424,100.498,100.652,100.829,100.966,101.115,101.302,101.403,101.476,101.445,101.543,101.596,101.629,101.646,101.755,101.858,101.825,101.839,101.935,102.045,102.401,102.511,102.76,102.846,102.915,102.898,103.043,103.031,103.056,103.208,103.282,103.308,103.362,103.446,103.422,103.613,103.607,103.648,103.539,103.715,103.738,103.909
"23","15","      Miscellaneous durable goods manufacturing","PK3393",97.431,97.413,97.558,97.736,97.78,97.92,97.93,98.039,98.084,98.142,98.1,98.043,98.07,98.116,98.22,98.212,98.279,98.291,98.408,98.487,98.679,98.73,98.804,98.816,98.821,98.738,98.981,99.126,99.094,99.024,99.063,99.022,98.975,99.25,99.219,99.355,99.416,99.724,99.752,99.628,99.597,99.827,99.996,100.128,100.24,100.384,100.519,100.697,100.893,100.933,101.021,101.112,101.326,101.426,101.595,101.725,101.928,101.942,102.069,102.08,102.123,102.377,102.31,102.528,102.497,102.713,102.762,102.847,102.956,103.076,103.171,103.161,103.497,103.532,103.626,103.759,103.705,103.859,104.028,104.112,104.051,104.185,104.375,104.354,104.632,105.036,104.896,105.068
"24","16","    Nondurable goods manufacturing industries","PK30N3",94.875,94.669,94.457,93.905,93.627,93.436,93.174,93.783,93.703,93.577,93.644,93.668,92.659,92.32,92.025,91.98,91.975,91.874,91.869,91.479,91.117,91.14,90.96,90.885,91.081,90.462,90.915,92.037,92.123,92.372,93.204,94.165,94.928,95.225,95.799,96.832,97.046,98.56,99.754,98.916,99.028,100.516,100.542,99.901,100.9,101.051,101.716,102.14,102.343,102.22,101.682,102.36,102.484,101.888,100.373,100.481,101.038,98.788,97.956,97.104,96.896,96.926,98.148,99.197,98.373,98.625,99.645,99.829,101.016,101.63,101.279,101.838,103.711,106.289,107.271,104.223,102.724,103.457,104.177,104.879,104.298,105.284,105.72,107.155,108.475,108.284,108.859,110.387
"25","17","      Food manufacturing","PK3113",102.787,102.582,103.612,103.751,104.393,103.543,102.885,103.255,103.023,102.308,102.537,102.251,100.585,100.755,100.118,99.823,100.246,100.578,100.694,101.144,100.702,100.113,100.263,99.825,100.202,99.076,98.472,97.333,98.185,98.621,98.131,99.052,99.574,99.676,99.227,98.999,98.776,99.105,99.43,100.031,100.801,100.866,100.619,99.633,99.633,99.864,100.079,101.13,101.562,101.847,102.597,103.162,103.963,104.3,104.537,105.265,104.998,104.513,102.88,102.407,102.207,102.523,102.613,101.984,101.446,101.799,102.224,102.069,105.718,102.458,102.434,103.495,104.725,105.5,105.555,105.669,106.415,107.815,107.661,108.331,109.591,112.217,112.71,112.068,110.77,111.238,113.279,116.846
"26","18","      Beverage and tobacco product manufacturing","PK3123",79.888,79.825,80.219,80.86,81.13,81.108,81.189,81.065,81.723,81.798,81.738,82.057,82.177,82.634,82.746,83.731,84.493,84.617,84.672,85.431,85.728,85.923,86.142,93.874,93.706,94.115,94.06,94.124,94.293,94.331,94.787,94.843,98.076,98.201,98.233,98.488,96.992,99.432,99.372,98.807,99.706,99.739,99.812,100.987,101.132,101.275,101.198,101.534,104.272,104.427,104.659,104.516,106.78,106.89,106.958,107,107.067,107.385,108.221,108.251,107.568,107.715,107.623,109.344,109.352,109.591,109.591,109.708,109.975,109.806,110.32,107.961,107.725,107.243,107.757,107.452,107.608,107.744,107.83,107.751,107.897,108.155,108.366,108.412,109.588,108.83,108.379,109.838
"27","19","      Textile mills","PK3133",103.958,104.07,103.98,103.979,104.098,104.126,104.068,104.013,104.131,104.202,104.023,104.308,104.154,104.276,104.116,104.143,104.06,103.84,103.521,103.477,103.117,102.485,102.316,102.234,101.693,101.356,101.342,100.977,100.714,100.313,100.155,100.253,100.067,100.177,99.898,99.737,100.117,100.061,99.956,100.138,100.016,99.673,99.982,100.087,99.985,99.753,100.126,100.114,100.214,100.322,100.331,100.321,99.898,99.956,99.283,99.079,98.964,98.605,98.411,98.401,98.097,97.901,97.947,97.805,97.764,97.801,97.746,97.511,97.63,97.484,97.437,97.698,97.077,96.948,96.817,97.031,97.478,97.032,97.194,97.415,97.23,97.507,97.663,97.59,98.074,97.523,97.606,98.225
"28","20","      Textile product mills","PK3143",98.79,98.633,99.093,98.173,98.367,98.483,98.899,98.839,98.952,99.096,99.536,99.557,99.485,99.504,99.548,99.499,99.535,99.638,99.428,99.431,99.305,99.226,99.449,99.292,98.847,98.652,98.974,98.81,98.793,99.342,99.016,99.014,99.185,99.285,99.303,99.169,98.875,99.25,99.733,99.737,99.846,100.479,100.166,100.446,100.054,100.44,100.278,100.865,101.223,101.491,100.867,101.473,101.276,101.193,101.765,101.248,100.737,101.5,101.245,101.033,101.504,101.125,100.918,101.22,100.871,101.312,101.585,101.596,101.149,101.051,101.4,100.829,101.017,100.964,101.217,101.447,101.635,102.487,102.438,102.291,102.185,102.625,102.502,101.484,101.417,101.173,100.171,101.829
"29","21","      Apparel manufacturing","PK3153",98.645,98.699,98.812,98.531,98.866,98.954,98.99,99.109,99.146,98.924,99.215,99.212,99.414,99.392,99.372,99.521,99.597,99.664,99.731,99.653,99.857,99.977,99.768,99.779,99.908,99.722,99.827,99.811,99.948,99.521,99.399,99.882,99.907,99.835,99.798,99.975,99.845,99.903,99.965,99.947,99.867,99.898,100.133,100.082,100.106,100.128,100.057,100.089,100.094,100.089,99.875,99.831,99.813,99.682,99.679,99.739,99.666,99.598,99.56,99.232,99.219,99.088,98.884,98.733,98.845,99.042,98.923,98.933,98.956,99.063,99.091,99.232,98.777,98.762,98.916,98.738,98.459,98.34,98.168,98.566,98.503,99.169,98.762,98.642,98.569,98.453,98.463,98.611
"30","22","      Leather and allied product manufacturing","PK3163",99.465,99.775,99.642,99.878,99.25,98.761,98.969,98.847,98.909,99.596,100.072,99.563,99.334,99.192,99.209,98.847,98.98,98.964,99.199,98.936,99.014,98.879,98.476,98.679,97.964,98.184,98.135,98.19,98.05,98.44,98.589,98.648,98.812,99.042,99.072,99.103,99.455,99.589,99.514,99.674,99.403,99.289,99.528,99.875,100.497,100.499,101.129,101.466,101.568,102.458,102.812,104.085,104.502,103.822,103.812,104.074,103.172,102.841,102.426,101.897,102.368,101.955,102.004,102.07,102.489,102.968,103.369,104.142,104.039,103.894,104.265,104.4,104.39,104.478,104.534,104.895,104.312,104.697,104.858,104.563,104.721,105.266,105.732,105.735,105.823,105.646,106.162,105.875
"31","23","      Paper manufacturing","PK3223",92.163,91.457,90.749,90.079,90.225,90.453,90.55,91.201,92.09,92.421,93.293,94.297,94.662,94.716,94.621,94.243,94.275,94.056,93.921,93.509,92.841,92.153,91.662,91.397,91.078,90.9,91.44,91.911,92.332,92.93,93.164,93.758,94.684,95.615,95.82,95.945,96.478,96.891,98.3,99.77,100.904,101.193,100.955,100.933,101.195,101.331,101.284,101.173,100.979,100.993,101.005,101.145,100.806,100.8,100.325,99.543,99.466,99.153,98.766,98.913,98.416,97.889,97.583,97.893,97.319,97.564,97.579,98.029,98.439,98.878,99.219,99.088,99.006,99.034,98.856,98.944,99.145,99.041,98.792,98.595,98.519,98.296,98.442,98.464,97.787,98.175,98.023,98.495
"32","24","      Printing and related support activities","PK3233",95.061,95.053,94.985,95.178,95.149,95.244,95.498,95.664,95.68,96.615,96.752,96.768,96.951,96.99,97.211,97.485,97.398,97.234,97.435,97.483,97.558,97.673,97.626,97.569,97.185,97.2,97.427,97.495,97.536,97.56,97.641,97.797,97.753,98.062,98.164,98.263,98.383,98.553,99.058,99.537,99.634,100.32,100.494,100.595,100.657,100.954,100.847,101.01,101.006,101.158,101.335,101.798,101.578,101.567,101.635,101.362,101.416,101.352,101.278,101.025,101.192,101.202,100.906,101.052,101.031,101.184,101.253,101.061,101.01,100.973,100.979,101.057,101.007,101.27,101.301,101.364,101.422,101.449,101.251,101.355,101.389,101.256,101.232,101.164,101.28,101.249,101.579,102.198
"33","25","      Petroleum and coal product manufacturing","PK3243",84.16,83.706,80.832,76.638,73.067,72.962,71.653,74.926,73.838,73.493,72.759,72.382,67.387,64.5,61.308,60.972,60.148,59.166,59.165,55.676,54.618,56.74,55.491,52.143,54.166,51.931,56.048,66.311,64.301,63.897,69.729,74.267,75.693,74.561,78.856,86.662,88.126,96.623,103.572,94.417,91.934,102.074,101.141,97.441,104.018,104.154,108.664,108.861,106.721,103.843,98.18,102.428,102.713,97.828,88.698,90.649,95.277,80.521,77.504,73.561,73.404,73.678,81.577,89.17,83.565,83.34,88.699,89.707,91.149,100.61,97.147,100.897,111.605,129.435,133.769,105.213,93.198,97.675,104.052,108.12,101.534,103.799,105.639,116.185,126.165,122.577,122.99,125.387
"34","26","      Chemical manufacturing","PK3253",94.232,94.171,94.11,94.024,94.055,94.068,94.166,94.29,94.316,94.321,94.36,94.464,94.32,94.097,95.186,95.283,95.148,95.099,95.067,94.887,94.603,94.423,94.386,94.355,94.087,93.857,93.786,93.818,94.221,94.764,95.336,95.508,96.237,97.416,97.667,97.769,98.175,98.69,99.007,99.096,99.592,99.806,100.432,100.499,100.995,101.177,101.023,101.456,102.38,103.021,102.866,102.687,101.865,101.715,100.405,99.611,99.918,99.331,99.272,98.73,98.529,98.473,98.934,99.121,99.419,99.812,100.722,100.821,100.969,101.53,101.818,101.598,102.583,103.469,105.139,105.965,105.509,104.987,104.56,104.557,104.66,104.841,105.058,105.51,106.596,107.117,107.596,108.22
"35","27","      Plastics and rubber product manufacturing","PK3263",98.494,98.508,98.367,98.589,98.62,98.557,98.585,98.563,98.379,98.312,98.365,98.325,98.287,98.327,98.274,98.162,97.995,97.849,97.678,97.524,97.43,97.326,97.282,97.393,97.296,97.295,97.281,97.575,97.534,97.854,97.998,98.33,98.414,98.698,99.031,99.146,99.27,99.33,99.362,99.577,99.378,99.864,100.379,100.112,100.276,100.282,101.097,101.213,101.077,100.995,101.304,101.305,101.396,101.325,101.204,100.801,100.446,100.526,100.576,100.401,100.211,99.983,100.142,100.375,100.533,100.953,100.684,100.968,101.163,101.358,100.9,101.021,101.448,102.415,103.168,103.908,103.825,103.515,103.333,103.519,103.098,103.224,103.251,103.56,103.753,104.507,104.2,104.463
"36","28","  Merchant wholesale industries","PK42W3",103.737,103.489,103.664,103.021,102.586,101.994,101.531,101.82,101.536,101.579,101.202,100.971,99.823,99.477,99.128,98.665,98.308,97.734,97.629,96.416,96.023,96.299,95.986,95.485,95.706,95.139,95.512,96.211,96.26,96.312,96.404,97.145,97.511,97.428,97.879,98.591,98.788,99.832,100.503,99.707,100.04,100.295,99.929,99.335,100.138,100.336,100.684,100.398,100.415,100.015,99.677,99.611,99.729,99.176,98.288,98.381,98.595,96.918,96.453,96.107,96.185,96.418,97.339,97.382,97.257,97.244,97.982,98.406,98.788,99.47,98.843,99.002,100.27,101.96,102.353,100.173,99.558,99.746,99.866,100.532,100.478,101.243,101.783,102.88,103.999,104.014,104.925,105.755
"37","29","    Durable goods merchant wholesale industries","PK42WD3",110.228,110.067,110.055,109.788,109.218,109.056,108.712,108.501,108.12,107.8,107.556,107.251,106.521,106.017,105.658,105.099,104.629,104.115,103.728,102.913,102.611,102.196,101.892,101.504,101.093,101.013,100.717,100.515,100.456,100.425,100.423,100.332,100.282,100.444,100.615,100.715,100.777,100.655,100.596,100.54,100.378,100.23,100.158,99.603,99.579,99.408,99.149,98.961,98.421,97.992,97.832,97.69,97.624,97.361,97.144,96.814,96.775,96.294,96.086,95.867,95.785,95.819,95.82,95.838,95.864,96.043,95.888,95.658,95.766,95.916,95.669,95.512,95.611,95.639,95.782,95.465,95.496,95.425,95.391,95.576,95.829,96.134,96.441,96.615,97.278,98.044,98.55,98.967
