"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Government","A553RC1",5,5.2,5.3,5,5.2,6.1,6.5,7.9,7.5,8.3,8.2,8.5,10.2,16,26.6,33,34.9,20.7,17.5,19,20.8,22.6,29.2,33.4,34.3,34.9,36.6,38.8,41,44.1,46.1,49.2,52.5,56.3,60,64.9,69.9,78.4,86.5,96.7,105.6
"12","5","    Other","B203RC1",45.5,41,33.9,25.5,23.9,27.6,30.2,34.1,38.6,34.8,37.7,41.4,51.9,66.1,79.2,83.8,82.6,91.3,105.6,116.5,113.9,124.6,142.4,152.3,164.7,162.4,175.6,190.2,198.9,197.2,213.8,223.7,228,243,254.8,272.9,293.8,321.9,342.5,375.3,412.7
"13","6","  Supplements to wages and salaries","A038RC1",0.7,0.7,0.6,0.6,0.5,0.6,0.7,1,1.8,2,2.2,2.3,2.7,3.2,3.8,4.5,5.8,7.6,7,6.4,7.1,8,9.8,10.5,11.2,11.9,13.5,15.5,17.6,18.2,21.1,23.6,24.8,27.8,30.4,32.9,35.7,42.3,46.1,52.3,59.3
"14","7","    Employer contributions for employee pension and insurance funds","B040RC1",0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.8,0.8,0.8,0.9,0.9,1,1.2,1.5,2,2.3,2.5,3,3.4,3.8,4.7,5.7,6.4,7,7.3,8.4,9.8,11.2,11.9,13.3,14.3,15.2,16.6,18,20.3,22.7,25.5,28.1,32.4,36.5
"15","8","    Employer contributions for government social insurance","B039RC1",0,0,0,0,0,0,0,0.2,1,1.2,1.3,1.4,1.7,2,2.3,2.5,3.5,5.1,3.9,3,3.3,3.4,4.1,4.1,4.2,4.6,5.2,5.7,6.4,6.3,7.9,9.3,9.6,11.2,12.4,12.6,13.1,16.8,18,20,22.8
"16","9","Proprietors' income with IVA and CCAdj","A041RC1",14.1,10.9,8.4,5.1,5.3,7,10.1,10.4,12.5,10.6,11.1,12.3,16.6,23.4,28.3,29.4,30.8,35.7,34.5,39.2,34.6,37.5,42.7,43.1,42,42.3,44.3,45.9,47.8,50.2,50.3,50.7,53.2,55.3,56.5,59.4,63.9,68.2,69.8,74.2,77.5
"17","10","  Farm","B042RC1",5.7,3.9,3,1.8,2.2,2.6,4.9,3.9,5.6,4,4,4.1,6,9.7,11.5,11.4,11.8,14.2,14.3,16.7,12,12.9,15.3,14.3,12.2,11.7,10.7,10.6,10.6,12.4,10,10.6,11.2,11.2,11,9.8,12,13,11.6,11.7,12.8
"18","11","  Nonfarm","A045RC1",8.4,7,5.3,3.3,3.1,4.5,5.2,6.4,6.9,6.6,7.1,8.2,10.6,13.7,16.7,18,19,21.5,20.1,22.5,22.6,24.6,27.3,28.8,29.8,30.5,33.5,35.3,37.3,37.8,40.3,40.1,42,44.1,45.5,49.6,51.9,55.2,58.2,62.5,64.7
"19","12","Rental income of persons with CCAdj","A048RC1",6.2,5.5,4.5,3.6,2.9,2.6,2.6,2.7,3,3.6,3.8,3.9,4.5,5.5,6.1,6.4,6.7,7.1,7.2,7.8,8.1,9.1,10,11.2,12.4,13.4,13.8,14.1,14.5,15.2,16,17,17.7,18.6,19.3,19.4,19.9,20.5,20.9,20.6,20.9
"20","13","Corporate profits with IVA and CCAdj","A051RC1",10.7,7.4,2.8,-0.3,-0.3,2.4,3.9,6,6.9,4.8,6.4,9.6,15.3,20.4,24.7,24.8,20.2,17.9,23.5,30.9,28.7,35.6,40.8,38.8,39.1,38.3,49,48,47.6,42.5,53.8,53.1,54.2,62.3,68.3,75.5,86.5,92.5,90.2,97.3,94.5
"21","14","  Taxes on corporate income","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40
"22","15","  Profits after tax with IVA and CCAdj","A551RC1",9.3,6.5,2.3,-0.7,-0.8,1.6,2.9,4.6,5.4,3.8,5,6.8,7.7,9,10.7,11.8,9.5,8.8,12.2,18.5,18.5,17.7,18.2,19.4,18.8,20.7,27,26,26.2,23.5,30.1,30.3,31.3,38.3,42,47.4,55.5,58.7,57.3,57.6,54.5
"23","16","    Net dividends","B056RC1",5.8,5.5,4.1,2.5,2,2.6,2.8,4.5,4.7,3.2,3.8,4,4.4,4.3,4.4,4.6,4.6,5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2
"24","17","    Undistributed profits with IVA and CCAdj","A127RC1",3.5,1,-1.7,-3.2,-2.8,-0.9,0.1,0.1,0.7,0.6,1.2,2.8,3.2,4.8,6.2,7.2,4.9,3.3,5.9,11.4,11.3,8.9,9.7,10.9,9.9,11.4,16.5,14.7,14.5,11.9,17.5,16.9,17.4,23.2,25.7,29.2,35.3,38,35.8,34.1,30.3
"25","18","Net interest and miscellaneous payments","W255RC1",4.6,4.8,4.8,4.5,4,4,4.1,3.8,3.7,3.6,3.6,3.3,3.3,3.2,2.9,2.4,2.3,1.9,2.5,2.6,2.9,3.2,3.7,4.1,4.7,5.6,6.2,6.9,8,9.5,9.6,10.6,12.5,14.2,15.2,17.4,19.6,22.4,25.5,27.1,32.7
"26","19","Taxes on production and imports","W056RC1",6.8,7,6.7,6.6,6.9,7.6,8,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9
"27","20","Less: Subsidies \1\","A107RC1",0,0,0.1,0.1,0.1,0.4,0.5,0.2,0.2,0.4,0.7,0.6,0.3,0.4,0.4,0.9,1,1.2,0.2,0.3,0.3,0.6,0.7,0.4,0.1,-0.1,-0.2,0.4,0.7,0.9,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5
"28","21","Business current transfer payments (net)","B029RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.9,1.2,1.3,1.2,1,1.4,1.7,1.9,1.8,1.8,1.9,2,2.2,2.7,3.1,3.6,3.5,3.8,4.3,4.9
"29","22","  To persons (net)","B931RC1",0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.6,0.9,0.9,0.8,0.6,0.9,1.2,1.4,1.2,1.3,1.3,1.4,1.5,1.9,2.2,2.3,2.1,2.3,2.8,3.3
"30","23","  To government (net)","W061RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.4,0.5,0.7,0.7,0.8,0.9,1.4,1.4,1.5,1.5,1.6
"31","24","  To the rest of the world (net)","W237RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","25","Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1
"33",NA,"Addenda for corporate cash flow:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","  Net cash flow with IVA","A904RC1",8.5,5.9,2.8,0.8,1,2.9,4,4.1,5.1,5.1,5.6,7.4,8.3,10.5,12,13.2,11,10.1,14.8,21.8,22.5,20.8,23.3,25.3,25.3,27.6,33.6,34,35.8,34.6,41.2,41,42.1,48.9,52.5,57.4,65.7,71.5,72.6,74.8,75.5
"35","27","    Undistributed profits with IVA and CCAdj","A127RC1",3.5,1,-1.7,-3.2,-2.8,-0.9,0.1,0.1,0.7,0.6,1.2,2.8,3.2,4.8,6.2,7.2,4.9,3.3,5.9,11.4,11.3,8.9,9.7,10.9,9.9,11.4,16.5,14.7,14.5,11.9,17.5,16.9,17.4,23.2,25.7,29.2,35.3,38,35.8,34.1,30.3
"36","28","    Consumption of fixed capital","A438RC1",5,4.8,4.5,4,3.8,3.9,3.9,4,4.4,4.5,4.5,4.6,5.1,5.8,5.8,6,6.1,6.9,8.9,10.4,11.2,12,13.6,14.5,15.4,16.2,17.1,19.2,21.3,22.7,23.7,24,24.6,25.5,26.7,28.2,30.4,33.4,36.8,40.6,45.1
"37","29","    Less: Capital transfers paid (net)","W976RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
"38",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","30","  Proprietors' income with IVA and CCAdj","A041RC1",14.1,10.9,8.4,5.1,5.3,7,10.1,10.4,12.5,10.6,11.1,12.3,16.6,23.4,28.3,29.4,30.8,35.7,34.5,39.2,34.6,37.5,42.7,43.1,42,42.3,44.3,45.9,47.8,50.2,50.3,50.7,53.2,55.3,56.5,59.4,63.9,68.2,69.8,74.2,77.5
"40","31","    Farm","B042RC1",5.7,3.9,3,1.8,2.2,2.6,4.9,3.9,5.6,4,4,4.1,6,9.7,11.5,11.4,11.8,14.2,14.3,16.7,12,12.9,15.3,14.3,12.2,11.7,10.7,10.6,10.6,12.4,10,10.6,11.2,11.2,11,9.8,12,13,11.6,11.7,12.8
"41","32","      Proprietors' income with IVA","A043RC1",5.7,3.9,3,1.7,2.2,2.6,4.9,4,5.7,4.1,4,4.1,6.1,9.8,11.7,11.6,12,14.4,14.7,17.1,12.4,13.3,15.8,14.9,12.7,12.2,11.2,11.1,11.1,13,10.7,11.2,11.8,11.7,11.5,10.3,12.5,13.6,12.3,12.3,13.6
"42","33","      Capital consumption adjustment","B044RC1",-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.4,-0.5,-0.4,-0.5,-0.6,-0.5,-0.5,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.7,-0.8
"43","34","    Nonfarm","A045RC1",8.4,7,5.3,3.3,3.1,4.5,5.2,6.4,6.9,6.6,7.1,8.2,10.6,13.7,16.7,18,19,21.5,20.1,22.5,22.6,24.6,27.3,28.8,29.8,30.5,33.5,35.3,37.3,37.8,40.3,40.1,42,44.1,45.5,49.6,51.9,55.2,58.2,62.5,64.7
"44","35","      Proprietors' income (without IVA and CCAdj)","B046RC1",8.9,7,5.3,3.4,4,4.9,5.7,6.9,7.3,6.8,7.7,8.7,11.7,14.5,17.2,18.3,19.4,23.4,21.9,23.2,22.2,25.7,27.8,28.6,30,30.5,33.7,35.6,37.4,37.9,40.3,40,42,44.1,45.5,49.5,52.2,55.7,58.7,63.4,65.5
"45","36","      Inventory valuation adjustment","B179RC1",0.1,0.8,0.6,0.3,-0.5,-0.1,-0.1,-0.1,0,0.2,-0.2,0,-0.6,-0.4,-0.2,-0.1,-0.1,-1.7,-1.5,-0.4,0.5,-1.1,-0.3,0.2,-0.2,0,-0.2,-0.5,-0.3,-0.1,0,0,0,0,0,-0.1,-0.2,-0.2,-0.2,-0.4,-0.5
"46","37","      Capital consumption adjustment","B047RC1",-0.7,-0.7,-0.6,-0.4,-0.4,-0.4,-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.3,-0.3,-0.3,-0.2,-0.3,-0.3,-0.1,0,-0.2,-0.1,0,0.1,0,0.2,0.1,-0.1,0,0,-0.1,0,0.1,0.1,-0.1,-0.3,-0.3,-0.5,-0.4
"47","38","  Rental income of persons with CCAdj","A048RC1",6.2,5.5,4.5,3.6,2.9,2.6,2.6,2.7,3,3.6,3.8,3.9,4.5,5.5,6.1,6.4,6.7,7.1,7.2,7.8,8.1,9.1,10,11.2,12.4,13.4,13.8,14.1,14.5,15.2,16,17,17.7,18.6,19.3,19.4,19.9,20.5,20.9,20.6,20.9
"48","39","    Rental income of persons (without CCAdj)","B049RC1",6.3,5.6,4.6,3.7,2.9,2.6,2.7,2.8,3.1,3.7,3.9,4,4.6,5.7,6.3,6.7,7,7.4,7.6,8.3,8.6,9.6,10.6,11.8,13,14,14.4,14.7,15.1,15.8,16.6,17.5,18.3,19.1,19.8,20,20.5,21.1,21.6,21.4,21.8
"49","40","    Capital consumption adjustment","B050RC1",-0.1,-0.1,-0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.9
"50","41","  Corporate profits with IVA and CCAdj","A051RC1",10.7,7.4,2.8,-0.3,-0.3,2.4,3.9,6,6.9,4.8,6.4,9.6,15.3,20.4,24.7,24.8,20.2,17.9,23.5,30.9,28.7,35.6,40.8,38.8,39.1,38.3,49,48,47.6,42.5,53.8,53.1,54.2,62.3,68.3,75.5,86.5,92.5,90.2,97.3,94.5
"51","42","    Corporate profits with IVA","A052RC1",11.1,7.6,2.8,-0.4,-0.4,2.5,4,6.2,7.4,5.4,6.9,10.2,15.9,20.8,24.8,24.2,19.5,19.7,26,33.7,31.5,38.3,43.6,41.2,40.7,39,48.1,47.8,47.5,42.7,53.5,51.5,51.8,57,62.1,68.6,78.9,84.6,82,88.8,85.5
"52","43","      Profits before tax (without IVA and CCAdj)","A053RC1",10.6,4.3,0.4,-1.5,1.7,3.1,4.2,6.9,7.5,4.4,7.6,10.4,18.3,22,25.6,24.5,20,24.9,31.9,35.9,29.6,43.2,44.8,40.2,41.7,39.3,49.9,50.5,49.1,43,53.8,51.6,51.6,57,62.1,69.1,80.2,86.7,83.5,92.4,91.4
"53","44","        Taxes on corporate income","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40
"54","45","        Profits after tax (without IVA and CCAdj)","A055RC1",9.2,3.4,-0.1,-1.9,1.2,2.3,3.3,5.5,5.9,3.4,6.2,7.6,10.7,10.6,11.5,11.5,9.3,15.8,20.7,23.5,19.4,25.3,22.2,20.8,21.4,21.7,27.8,28.5,27.7,24,30,28.8,28.7,32.9,35.7,40.9,49.1,52.8,50.6,52.8,51.4
"55","46","          Net dividends","B056RC1",5.8,5.5,4.1,2.5,2,2.6,2.8,4.5,4.7,3.2,3.8,4,4.4,4.3,4.4,4.6,4.6,5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2
"56","47","          Undistributed profits (without IVA and CCAdj)","B057RC1",3.4,-2,-4.2,-4.4,-0.8,-0.2,0.4,1,1.3,0.2,2.4,3.6,6.3,6.4,7,6.9,4.7,10.3,14.4,16.4,12.2,16.5,13.7,12.3,12.5,12.4,17.4,17.2,15.9,12.4,17.5,15.5,14.8,17.9,19.5,22.7,28.9,32.1,29.1,29.3,27.2
"57","48","      Inventory valuation adjustment","B058RC1",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9
"58","49","    Capital consumption adjustment","A059RC1",-0.4,-0.2,0.1,0.2,0.1,-0.1,-0.1,-0.1,-0.6,-0.6,-0.5,-0.6,-0.6,-0.4,0,0.6,0.7,-1.7,-2.6,-2.8,-2.8,-2.6,-2.8,-2.4,-1.6,-0.7,0.9,0.2,0.1,-0.3,0.3,1.6,2.3,5.3,6.2,6.9,7.6,8,8.2,8.5,9
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1. Prior to 1959, subsidies (line 20) and the current surplus of government enterprises (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","are not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
