"","Table 5#7#5B# Private Inventories and Domestic Final Sales by In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"1","[Billions of dollars]; Seasonally adjusted quarterly totals                                                                ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1996 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 29, 2009    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2009 12:35:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Private inventories \1\","A371RC1",NA,NA,NA,1284.4,1291.5,1303.4,1315.1,1329.5,1341.9,1342.4,1341.6,1346.8,1362.3,1377.6,1402.9,1442.2,1467.5,1494.1,1509.6,1535.9,1539,1528.1,1501.8,1458.3,1460.8,1468.2,1487.6,1507.8,1536.5,1530.2,1547.5,1567.3,1605.5,1650.4,1680.7,1715,1761.2,1765.5,1807.4,1851.5,1864.3,1913.5,1943.6,1951.6,1982.9,2009.3,2030.7,2088,2178.2,2264.4,2233.8,2041.6,1963.1
"10","2","Farm","B372RC1",NA,NA,NA,136.3,137.7,137.5,138,136.7,134,127.9,121.6,120.3,123.5,123,121.3,124.2,126.8,125.6,121.9,132.1,136.9,135.9,131.1,126.1,128.3,125.1,128.1,135.8,136.3,137.8,150.6,151.2,157,165.2,157.6,156.7,159.1,156,160.9,164.9,157.8,157.6,165.2,164.6,175,175.5,182.1,191.2,220.2,235.1,227,202.4,195.3
"11","3","Mining, utilities, and construction","N238RC1",NA,NA,NA,31.1,32,31.7,33,33.7,33.4,35.1,35.5,37.3,37.4,38.9,39.9,39.6,40.4,41.6,43.6,44.5,49.5,48.6,46.8,47.5,47.8,49.1,48,49.4,55.2,55.6,56.4,58.5,60.4,62.9,65.2,69.4,71.2,75.9,81.8,91.7,83.7,83,84.7,86.1,90.2,93.5,90.3,91.5,95.2,103.5,98.9,80.7,72
"12","4","Manufacturing","N376RC1",NA,NA,NA,421,421,424.1,427.1,431.7,433.8,435.8,434.6,431.5,431.5,435.4,444.6,457.7,463.9,470.1,473.8,477,475.2,465.6,452.8,437.9,437.1,436.8,441,443.6,451.9,445.6,441.6,447,457.5,470.7,485.7,495.1,516.2,515.5,531.8,545.8,558.7,581.4,588.5,588.4,593.7,603.4,606,628.7,661.9,697.2,677.8,600.5,580.3
"13","5","  Durable goods industries","N377RC1",NA,NA,NA,260.7,262,264,265.9,268.1,272.1,275.2,275.6,274.5,274.9,275.7,279.8,286.4,287.8,290.2,292.5,294.6,293.5,287.4,279.2,270.5,268.2,265.7,264.6,265.7,267,262.6,259.2,263.3,269.6,276.5,285.7,290.9,302.7,301.7,308.6,316.5,324.9,338.4,346,348.2,351.9,353.9,350.4,356.9,373.4,389.9,387.4,367.9,356.4
"14","6","  Nondurable goods industries","N378RC1",NA,NA,NA,160.3,159,160.2,161.2,163.6,161.6,160.6,159,157,156.6,159.8,164.8,171.3,176.1,179.9,181.3,182.4,181.7,178.2,173.6,167.3,168.9,171.1,176.4,178,184.9,183,182.4,183.7,187.8,194.3,199.9,204.2,213.5,213.8,223.2,229.3,233.8,243,242.5,240.2,241.9,249.5,255.6,271.8,288.5,307.3,290.4,232.6,223.8
"15","7","Wholesale trade","N379RC1",NA,NA,NA,285.1,289.6,294.9,297.6,303.1,306.9,306.3,309.4,313.3,317.2,320.3,328.4,337.4,346.1,352.1,354.8,359,357.1,356.2,349.6,338.6,336,338,346.1,348,352,348.4,351.2,359.8,368.9,376.3,386.8,397.2,410.4,414.4,423.2,432,438.8,455.2,462.9,469.3,477.4,483.9,492,511.9,531.2,552.3,546.4,499.3,481.1
"16","8","  Durable goods industries","N380RC1",NA,NA,NA,178.1,181,186.8,187.3,189.9,194,193,195.8,198.6,200.7,202.8,205.9,211.6,214.7,220.1,220.4,220.7,218.9,214.1,208,200.3,196.3,196.5,199.7,200.7,201.9,200.8,199.9,205.2,212.5,218.8,228.6,234.4,240.8,242.4,243.9,251.6,254.9,263.9,272.9,273.2,276.5,275,275.5,278.8,286.6,295.3,302.5,288,271.8
"17","9","  Nondurable goods industries","N381RC1",NA,NA,NA,107,108.5,108.1,110.3,113.2,112.9,113.3,113.6,114.7,116.5,117.5,122.5,125.8,131.3,132,134.4,138.2,138.2,142.1,141.6,138.3,139.7,141.5,146.5,147.4,150.2,147.6,151.3,154.6,156.3,157.5,158.2,162.8,169.6,172,179.2,180.4,183.9,191.3,190,196.1,200.8,208.9,216.4,233.1,244.5,256.9,243.9,211.4,209.3
"18","10","Retail trade","N382RC1",NA,NA,NA,328.7,327.4,330.4,333.9,337.5,346.6,349.1,351.3,353.6,360.4,364.9,371.3,383.8,386.4,396.8,403,409,404.9,406.5,407.5,395.6,400.4,407.5,412.7,419.3,428,429.3,433.6,436.4,445.7,456.9,464.7,472.8,478.9,476.8,481,487,493.9,501.5,505.2,506,506.8,510.4,516.2,517,518.4,522.4,527,506.7,486.8
"19","11","  Motor vehicle and parts dealers","N864RC1",NA,NA,NA,101.9,100.5,100.7,101.7,104.2,107.9,108.1,107.8,107.6,111.8,112.7,115.7,121.5,122.1,129.1,133.3,135.6,129.8,132,133.7,125,129.6,134.3,134.8,140.4,146.1,148.8,149.2,149.3,153.5,158,161.6,161.1,161,156.8,157,159.3,161.7,163.3,162.3,159.5,155.1,155,158.6,152.6,150.8,147.9,149.7,145.8,133.3
"20","12","  Food and beverage stores","N239RC1",NA,NA,NA,27.5,27.7,27.5,28.1,27.8,28.4,28.9,29.1,29.5,29.9,30.2,31.2,31.5,31.7,31.6,31.9,32.1,33,33.4,33.4,33.6,33.5,33.3,33.7,33.7,34.2,34.1,35,34.5,34.8,35.6,35.8,35.9,36.3,36.3,35.7,36.7,36.7,37.3,38.3,38.3,39.5,39.8,40.7,42.1,43.2,44.6,45.3,44.2,43.8
"21","13","  General merchandise stores","N240RC1",NA,NA,NA,58,57.3,58.1,57.8,58.3,59,59.2,60,59.6,60,60.3,61.1,62.5,62.7,63.3,63.1,63.8,65.7,65.9,65.4,64,63,63.1,64.2,65.3,65.3,65.5,66.1,66.9,68.6,70.1,70.2,72.3,74.5,74.7,75.4,75.5,74.8,74.7,76.8,78.8,80.3,80.8,80.7,81,81.6,82.8,83.5,81.7,79.6
"22","14","  Other retail stores","N865RC1",NA,NA,NA,141.4,142,144.2,146.3,147.2,151.3,152.9,154.5,156.8,158.7,161.7,163.4,168.3,169.8,172.8,174.7,177.5,176.4,175.3,174.9,173,174.4,176.9,180,179.8,182.4,180.9,183.3,185.7,188.8,193.2,197.1,203.5,207,209,212.9,215.5,220.7,226.1,227.8,229.4,231.8,234.8,236.2,241.2,242.9,247.1,248.4,235,230.1
"23","15","Other industries","N385RC1",NA,NA,NA,82.1,83.9,84.6,85.5,86.9,87.2,88.1,89.2,90.9,92.3,95.1,97.5,99.5,104,107.8,112.6,114.4,115.3,115.3,114.1,112.6,111,111.7,111.5,111.7,113,113.5,114,114.3,116.1,118.2,120.7,123.7,125.5,126.9,128.7,130.2,131.4,134.9,137.1,137.3,139.8,142.6,144.1,147.8,151.4,153.9,156.7,152,147.7
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Private inventories","A371RC1",NA,NA,NA,1284.4,1291.5,1303.4,1315.1,1329.5,1341.9,1342.4,1341.6,1346.8,1362.3,1377.6,1402.9,1442.2,1467.5,1494.1,1509.6,1535.9,1539,1528.1,1501.8,1458.3,1460.8,1468.2,1487.6,1507.8,1536.5,1530.2,1547.5,1567.3,1605.5,1650.4,1680.7,1715,1761.2,1765.5,1807.4,1851.5,1864.3,1913.5,1943.6,1951.6,1982.9,2009.3,2030.7,2088,2178.2,2264.4,2233.8,2041.6,1963.1
"26","17","    Durable goods industries","N241RC1",NA,NA,NA,603.4,606.7,615.2,619.1,626.4,639.2,642,645.2,648,655.9,660.6,671.7,691.8,698.7,714.6,722.1,727.3,718.6,709.9,697.2,672.3,672.5,675.2,679,687.8,696.9,694.7,692.6,703.8,724,745.8,771,785.2,805.9,804.2,814.7,837,853.6,879.3,897,894.9,899.6,901.2,900.7,904.4,927,949.7,956.7,909.6,863.7
"27","18","    Nondurable goods industries","N242RC1",NA,NA,NA,681,684.8,688.2,696,703.1,702.7,700.4,696.4,698.9,706.5,717,731.2,750.4,768.8,779.4,787.5,808.6,820.4,818.2,804.6,786,788.3,792.9,808.6,820,839.6,835.5,854.9,863.5,881.5,904.6,909.7,929.8,955.3,961.2,992.7,1014.5,1010.7,1034.2,1046.7,1056.7,1083.3,1108.1,1130,1183.6,1251.2,1314.7,1277.1,1132.1,1099.4
"28","19","  Nonfarm industries","A373RC1",NA,NA,NA,1148.1,1153.8,1165.8,1177.1,1192.9,1207.9,1214.5,1220,1226.5,1238.8,1254.6,1281.6,1318,1340.7,1368.5,1387.7,1403.8,1402.1,1392.2,1370.7,1332.2,1332.4,1343,1359.4,1372,1400.2,1392.4,1396.8,1416.1,1448.5,1485.1,1523.1,1558.2,1602.1,1609.5,1646.6,1686.6,1706.5,1755.9,1778.4,1787,1807.9,1833.8,1848.5,1896.8,1958,2029.3,2006.8,1839.2,1767.9
"29","20","  Wholesale trade","N379RC1",NA,NA,NA,285.1,289.6,294.9,297.6,303.1,306.9,306.3,309.4,313.3,317.2,320.3,328.4,337.4,346.1,352.1,354.8,359,357.1,356.2,349.6,338.6,336,338,346.1,348,352,348.4,351.2,359.8,368.9,376.3,386.8,397.2,410.4,414.4,423.2,432,438.8,455.2,462.9,469.3,477.4,483.9,492,511.9,531.2,552.3,546.4,499.3,481.1
"30","21","    Merchant wholesale trade","N802RC1",NA,NA,NA,242.4,246.6,251.7,254.5,259.6,263.7,263.7,266.9,270.3,273.6,275.2,281.9,289.9,297.2,302.4,304.1,307.4,306.2,305.8,301.3,292.5,290.1,292,298.9,300.3,303.5,301.2,303.6,310.8,318.5,324.2,332.7,342.4,351.2,354.6,360.5,369.2,374.3,388.2,396,402.5,409,414.5,422.7,439.1,456.9,475.5,476.1,443.5,430.1
"31","22","      Durable goods industries","N803RC1",NA,NA,NA,152.9,155.3,160.5,161.4,163.8,167.5,166.9,169.6,171.9,173.7,175.2,178,183.6,186.6,191.5,191.3,191.2,189.5,185,180.1,173.4,169.9,170.2,173.1,174.2,176,174.9,174,178.6,185.1,191.1,199.8,205.8,210,211.5,213,220.5,223.7,232.4,239.4,239.9,241.7,241.3,242.3,245.2,254.4,264.5,272.8,259.6,246.5
"32","23","      Nondurable goods industries","N804RC1",NA,NA,NA,89.5,91.3,91.2,93.1,95.8,96.2,96.7,97.3,98.4,99.9,100.1,103.9,106.3,110.6,110.9,112.8,116.2,116.7,120.8,121.2,119.1,120.2,121.8,125.8,126.1,127.6,126.3,129.6,132.2,133.4,133.1,132.9,136.6,141.2,143.2,147.4,148.6,150.6,155.9,156.6,162.6,167.2,173.2,180.3,193.9,202.5,211,203.3,183.9,183.6
"33","24","    Nonmerchant wholesale trade","N805RC1",NA,NA,NA,42.7,42.9,43.1,43.1,43.4,43.2,42.7,42.5,43,43.6,45.1,46.4,47.5,48.9,49.6,50.7,51.5,50.9,50.4,48.3,46.1,45.9,46,47.3,47.8,48.5,47.2,47.6,49,50.3,52.2,54.2,54.8,59.2,59.8,62.7,62.8,64.5,66.9,67,66.8,68.4,69.4,69.3,72.8,74.3,76.8,70.3,55.8,51
"34","25","    Final sales of domestic business \2\","A809RC1",NA,NA,NA,469.1,475.6,480.9,491.5,495.6,500.9,509,515.9,526.8,531.4,540.9,548,556.7,568.1,574.8,578.2,583.6,588.4,593,591.8,598.7,596,598.2,600.6,601,607.7,616,633.2,639,648.1,658.2,667.5,678.6,688.9,702.6,716.9,723.2,738.9,747.7,753.1,763.6,772.4,784.8,795.4,800.9,804.1,813.7,814.4,797.4,795.1
"35","26","    Final sales of goods and structures of domestic business \2\","A810RC1",NA,NA,NA,296.5,301.2,303.4,311,312.4,314.9,320.2,325.9,334.5,335.5,341.9,345.1,350.7,357.4,360.8,362.4,364.4,366.7,369.9,368.3,373.2,369.4,368.8,369.8,367.4,370.5,375.5,389,391.3,394.6,400.9,407.5,413.4,419.1,429.7,438.5,438.9,451.9,456.7,457.8,461.7,465.4,472.6,476.6,477.6,476.4,481.1,479.2,460.9,457.1
"36",NA,"  Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","27","  Private inventories to final sales","A811RC2",NA,NA,NA,2.74,2.72,2.71,2.68,2.68,2.68,2.64,2.6,2.56,2.56,2.55,2.56,2.59,2.58,2.6,2.61,2.63,2.62,2.58,2.54,2.44,2.45,2.45,2.48,2.51,2.53,2.48,2.44,2.45,2.48,2.51,2.52,2.53,2.56,2.51,2.52,2.56,2.52,2.56,2.58,2.56,2.57,2.56,2.55,2.61,2.71,2.78,2.74,2.56,2.47
"38","28","  Nonfarm inventories to final sales","A812RC2",NA,NA,NA,2.45,2.43,2.42,2.39,2.41,2.41,2.39,2.36,2.33,2.33,2.32,2.34,2.37,2.36,2.38,2.4,2.41,2.38,2.35,2.32,2.23,2.24,2.25,2.26,2.28,2.3,2.26,2.21,2.22,2.24,2.26,2.28,2.3,2.33,2.29,2.3,2.33,2.31,2.35,2.36,2.34,2.34,2.34,2.32,2.37,2.44,2.49,2.46,2.31,2.22
