"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"19","12","        Foreign","ETRPMD0",NA,NA,NA,17296,22105,21669,20349,20966,22538,18081,16526,16624,17860,19540,21411
"20","13","    Net purchases of used autos and used light trucks","W240RX0",95114,94866,94549,97085,95320,100568,97730,96229,100059,96913,99660,91035,86639,87481,95844
"21","14","      Used autos","A137RX0",54456,53497,51743,51294,50451,53483,51218,48440,46793,45690,42660,39391,41800,41107,42820
"22","15","        Margin","GAP570",24707,25284,26671,23257,23291,23465,23844,23609,23182,22296,18896,18476,20381,21705,20792
"23","16","        Net transactions","GAP600",31940,30555,27939,30262,29438,32325,29588,26925,25618,25341,25499,22672,23185,21208,23792
"24","17","        Employee reimbursement","GAP630",-2114,-2053,-2137,-2025,-2048,-2106,-2075,-2005,-1947,-1881,-1735,-1787,-1785,-1790,-1758
"25","18","      Used light trucks (including utility vehicles","W241RX0",40926,41574,42880,45723,44809,47033,46447,47722,53268,51217,57000,51641,44809,46343,53002
"26","19","        Margin","W491RX0",11572,12003,12568,12185,13231,13713,13602,13673,14145,12686,12193,12591,11603,12682,12720
"27","20","        Net transactions","W492RX0",29393,29611,30356,33661,31557,33322,32837,34072,39236,38627,44806,39028,33184,33649,40228
"28","21","  Private fixed investment","AB62RX0",152547,147015,129108,123465,120678,138803,161153,177597,159649,110872,40510,104907,143634,174483,178821
"29","22","    New motor vehicles","AB68RX0",201782,197711,179275,176982,171106,192489,212055,228302,219327,175677,118253,163915,187665,212580,231146
"30","23","      Autos","B139RX0",79991,81288,77809,78116,72104,73559,78077,81530,83103,71465,51712,68350,70549,84758,90889
"31","24","        Domestic","GAP660",66465,63784,56985,53013,48132,50000,53831,55134,53792,44934,30964,43262,43524,56051,61281
"32","25","        Foreign","GAP690",13527,17504,20825,25103,23972,23559,24245,26396,29311,26531,20748,25091,27025,28716,29619
"33","26","      Trucks","B705RX0",121965,116583,101596,98988,99119,118993,134012,146791,136252,104226,66540,95537,116970,127734,140140
"34","27","        Light trucks (including utility vehicles)","B196RX0",82028,81532,75393,72891,73711,85670,95102,105036,104657,79014,48104,72085,84923,90888,103789
"35","28","          Domestic","BTRLDD0",NA,NA,NA,63435,62505,73078,81195,87304,86416,63949,38923,60518,71811,76812,87272
"36","29","          Foreign","BTRLMD0",NA,NA,NA,9466,11212,12600,13916,17737,18245,15065,9181,11569,13116,14081,16521
"37","30","        Other trucks, buses, and truck trailers","B197RX0",42580,36475,25964,26044,25149,33717,39640,42418,31490,25179,18436,23443,32056,36869,36352
"38","31","    Net purchases of used autos and used light trucks","W242RX0",-60573,-61104,-58291,-60327,-57340,-61997,-61321,-62659,-69335,-69987,-77742,-66429,-57845,-56452,-69930
"39","32","      Used autos","B140RX0",-32611,-32144,-29168,-29308,-27949,-30965,-30939,-30563,-31771,-32853,-34390,-30419,-27997,-27159,-28779
"40","33","        Margin","GAP720",1080,1105,1166,1017,1019,1026,1043,1032,1014,975,826,808,891,948,908
"41","34","        Net transactions","GAP750",-33718,-33265,-30306,-30325,-28962,-31989,-31980,-31594,-32779,-33822,-35216,-31228,-28891,-28109,-29688
"42","35","      Used light trucks (including utility vehicles)","W243RX0",-27907,-28918,-29108,-31022,-29391,-31016,-30362,-32086,-37564,-37131,-43352,-36012,-29853,-29297,-41139
"43","36","        Margin","W493RX0",2420,2511,2629,2548,2768,2868,2846,2860,2959,2654,2551,2627,2438,2645,2646
"44","37","        Net transactions","W494RX0",-30287,-31386,-31693,-33506,-32137,-33855,-33183,-34914,-40484,-39760,-45903,-38648,-32301,-31948,-43808
"45","38","  Gross government investment","AB64RX0",13587,14189,14518,14766,15730,15662,16672,18357,18969,19214,17522,17165,15779,16167,18090
"46","39","    Autos","B144RX0",3816,3694,3837,3591,3619,3635,4028,4445,4576,4319,3558,3407,3304,2819,2743
"47","40","      New autos","GAP810",2363,2314,2335,2227,2159,2126,2487,2873,2955,2766,2172,1965,1920,1450,1414
"48","41","      Net transactions in used autos","GAP840",-575,-583,-552,-569,-505,-505,-481,-427,-342,-338,-349,-343,-388,-383,-390
"49","42","      Employee reimbursement","GAP870",2114,2053,2137,2025,2048,2106,2075,2005,1947,1881,1735,1787,1785,1790,1758
"50","43","    Trucks","B708RX0",9755,10488,10673,11177,12119,12033,12653,13923,14403,14899,13963,13757,12481,13323,15302
"51","44","      New trucks","W495RX0",10522,11271,11447,12006,12971,13023,13616,14871,15427,15852,15177,15088,13920,14783,16796
"52","45","        Light trucks (including utility vehicles)","GOVLTD0",NA,NA,NA,3385,3944,4201,4390,4976,5542,5264,4376,4325,4107,4393,4597
"53","46","        Other trucks, buses, and truck trailers","QTKGHT0",NA,NA,NA,8784,9123,8857,9264,9907,9860,10581,10801,10763,9812,10388,12200
"54","47","      Net transactions in used light trucks","W496RX0",-753,-778,-775,-826,-859,-974,-957,-957,-1028,-965,-1214,-1324,-1410,-1436,-1483
"55","48","  Net exports","AB63RX0",-99586,-110574,-108465,-112024,-108565,-112077,-106417,-115099,-99306,-76598,-53263,-76060,-75103,-95018,-101235
"56","49","    Exports","AB69RX0",28831,29030,27951,31399,34549,38372,45399,50331,61785,65939,39974,54545,64846,70298,72677
"57","50","      Autos","B142RX0",12980,13142,14061,15746,16459,17001,20858,24270,32017,37468,20836,27855,33317,38046,40753
"58","51","      Trucks","B706RX0",15937,15969,13873,15636,18116,21453,24614,26118,29794,28459,19138,26689,31530,32307,32049
"59","52","    Imports","AB70RX0",128417,139604,136415,143423,143114,150449,151815,165430,161091,142537,93237,130605,139949,165316,173913
"60","53","      Autos","B143RX0",68978,74621,72551,76985,74308,74658,71804,79436,78193,77867,54981,73993,80608,96094,106192
"61","54","      Trucks","B707RX0",59345,64894,63788,66337,68776,75835,80113,86092,82985,64688,38256,56582,59316,69176,67504
"62","55","Change in private inventories","AB65RX0",12180,10631,-13896,13092,6944,1517,-1294,1703,-4410,-6273,-23228,14418,381,15846,12771
"63","56","  Autos","A145RX0",2252,3751,-3883,7081,-2704,-4162,-1786,3320,-2391,6168,-8460,5593,-2485,8593,4911
"64","57","    New","B146RX0",1189,1178,-6776,8043,-1362,-1603,-1106,2758,-3903,6548,-12164,3437,-662,8696,5787
"65","58","      Domestic","AB71RX0",-87,639,-7368,6772,-1123,-567,-636,1521,-3048,4425,-8996,2495,735,6762,4408
"66","59","      Foreign","AB72RX0",1326,551,669,1278,-242,-1024,-468,1230,-865,2118,-3167,944,-1355,1964,1392
"67","60","    Used","B147RX0",1043,2392,2013,-220,-1311,-2375,-682,733,1206,-428,3704,2200,-1810,193,-637
"68","61","  Trucks","B709RX0",10435,7035,-10246,5955,9717,5929,615,-1834,-1997,-12373,-14768,8756,2822,7273,7792
"69","62","    New trucks","W244RX0",10243,5328,-12957,6242,9001,5085,79,-2682,-3003,-13540,-16500,8542,2930,8406,3427
"70","63","      Domestic","AB73RX0",9832,4309,-12468,4689,8935,5131,-566,-3466,-2297,-14608,-12824,7694,3094,7369,3311
"71","64","      Foreign","AB74RX0",471,947,-559,1507,57,-63,663,795,-704,1024,-3676,843,-171,1034,102
"72","65","    Used \1\","W245RX0",802,1725,1483,-26,782,852,532,806,965,1223,1732,283,-35,-953,4374
"73",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","66","  Final sales of motor vehicles to domestic purchasers","AB75RX0",438155,444280,449282,464685,472583,496688,509603,509924,501336,409335,323315,383911,429886,481112,504600
"75","67","  Private fixed investment in new autos and new light trucks","AB76RX0",161574,162311,152637,150363,145395,159098,173150,186645,187814,150478,99816,140475,155602,175702,194796
"76","68","  Domestic output of new autos \2\","B148RX0",113144,114963,106733,111095,98380,97717,108837,109691,106089,101803,59868,77334,83556,111296,115318
"77","69","  Sales of imported new autos \3\","B149RX0",75568,80533,78856,85124,83344,86248,87342,96061,99820,89560,73943,84468,91658,99972,103809
"78","70","    Imports from Canada","GAP900",22666,19677,14634,19117,19706,20454,16169,14673,17039,14465,11372,18547,20946,25005,25190
"79","71","      Sales","GAP1090",22667,19600,15553,18137,19886,20553,16225,14495,17456,13907,12913,18046,20828,23647,24305
"80","72","      Inventory change","GAP1110",-1,78,-919,980,-180,-99,-57,178,-417,559,-1542,501,118,1358,885
"81","73","    Imports from Mexico","GAP1270",6604,9604,9409,10811,8108,8722,12199,18180,16529,16899,12847,17134,17890,18653,19642
"82","74","      Sales","GAP1300",6606,9544,10004,10206,8183,8774,12238,17952,16983,16062,14536,16690,17795,17644,18977
"83","75","      Inventory change","GAP1320",-2,60,-595,605,-75,-51,-40,228,-454,838,-1689,444,95,1009,665
"84","76","  Exports of used autos","GAP990",787,622,604,658,903,1931,3073,3955,6166,9267,6321,6588,7760,7087,6964
"85","77","  Imports of used autos","GAP1020",552,823,795,914,501,319,261,216,280,340,253,226,271,390,437
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","  This table is based on annual and quarterly data published in NIPA table 7.2.6B with underlying",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","detail added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","  Chain-type quantity indexes for the series in this table are shown in table NIPA table 7.2.4B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and the 2009 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","value of the corresponding series, divided by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
